C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:40:29

dec< 0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7195

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
75  |HD 80891                                                                                                 |Star                              |09 22 11.1824024712 -03 08 28.057860960|235.4204042646250 +31.2176223148257|  -30.509 1.016   |9.68     |F3IV/V         |    ~     ~          |    1|  202.815   pc  |  -0.6129     +0.6129    |paral   |2020yCat.1350....0G
76  |HD 79610                                                                                                 |Star                              |09 15 05.5887219576 -03 46 56.727965136|234.8761399600398 +29.3945409914857| -28.491 -2.496   |8.94     |F0             |    ~     ~          |    1|  199.446   pc  |  -1.4280     +1.4280    |paral   |2020yCat.1350....0G
77  |HD 79611                                                                                                 |Star                              |09 15 05.5493651592 -03 50 53.723742720|234.9385228882406 +29.3574100683009| -3.799 -17.308   |9.44     |F              |    ~     ~          |    1|  303.150   pc  |  -2.1137     +2.1137    |paral   |2020yCat.1350....0G
78  |HD 79637                                                                                                 |Long-Period Variable              |09 15 11.2391645160 -03 58 04.129199760|235.0671615755550 +29.3096938454785|  -11.411 0.036   |8.07     |M3/4(III)      |    ~     ~          |    1|  347.705   pc  |  -5.3921     +5.3921    |paral   |2020yCat.1350....0G
79  |HD 79686                                                                                                 |Star                              |09 15 23.9365381704 -04 03 15.527355516|235.1832127541015 +29.3045435240541|  -8.953 -7.773   |9.82     |F2V            |    ~     ~          |    1|  329.707   pc  |  -5.0005     +5.0005    |paral   |2020yCat.1350....0G
80  |HD 79703                                                                                                 |Star                              |09 15 31.3179808392 -04 05 40.618791312|235.2412212899427 +29.3071327573520| 26.779 -41.955   |9.724    |G2/3V          |    ~     ~          |    1|  150.683   pc  |  -1.5200     +1.5200    |ST-L    |2020AJ....160...83S
81  |HD 79892                                                                                                 |Star                              |09 16 33.8124150024 -04 03 58.628238156|235.3828860427527 +29.5374330457829|  -10.133 0.904   |10.02    |F6/7V          |    ~     ~          |    1|  359.996   pc  |  -8.9380     +8.9380    |ST-L    |2020AJ....160...83S
82  |HD 79957                                                                                                 |Star                              |09 16 52.4760567312 -04 12 12.871544292|235.5634144216563 +29.5235970084310| -28.395 -1.279   |9.47     |Fm_dD          |    ~     ~          |    1|  473.956   pc  |  -4.5376     +4.5376    |paral   |2020yCat.1350....0G
83  |HD 80028                                                                                                 |Star                              |09 17 17.6022118992 -04 12 00.818128800|235.6283511485432 +29.6114765976850|  -3.141 -6.739   |9.796    |F3IV           |    ~     ~          |    1|  535.559   pc  | -16.7900    +16.7900    |ST-L    |2020AJ....160...83S
84  |HD 80048                                                                                                 |Star                              |09 17 26.4088479024 -03 39 31.718856780|235.1379189014770 +29.9480497721604| -10.751 15.551   |9.787    |F2V            |    ~     ~          |    1|  143.576   pc  |  -1.2660     +1.2660    |ST-L    |2020AJ....160...83S
85  |HD 80411                                                                                                 |Star                              |09 19 30.2542286112 -03 42 19.821680892|235.5193711440583 +30.3462419837439| -39.184 11.495   |9.25     |A8/9V          |    ~     ~          |    1|  212.355   pc  |  -0.8523     +0.8523    |paral   |2020yCat.1350....0G
86  |HD 80445                                                                                                 |Star                              |09 19 41.6548693464 -04 11 10.448634372|236.0080548635986 +30.1115784324871| -8.233 -21.724   |9.835    |G8(IV)         |    ~     ~          |    1|  350.489   pc  |  -7.9170     +7.9170    |ST-L    |2020AJ....160...83S
87  |HD 80463                                                                                                 |Star                              |09 19 49.5770365248 -03 42 53.555534748|235.5811780134059 +30.4070660022725|  -24.330 9.036   |10.04    |K0(III)        |    ~     ~          |    1|  742.776   pc  |  -8.3309     +8.3309    |paral   |2020yCat.1350....0G
88  |HD 80746                                                                                                 |Star                              |09 21 24.2495420256 -04 14 49.083866664|236.3482730712845 +30.4263779597049|   0.578 -0.455   |9.727    |F6V            |    ~     ~          |    1|  283.165   pc  | -17.8100    +17.8100    |ST-L    |2020AJ....160...83S
89  |IRAS 09194-0304                                                                                          |Long-Period Variable Candidate    |09 21 57.5246911872 -03 17 51.099752436|235.5331719445036 +31.0820662686696|  -2.861 -1.796   |9.46     |~              |    ~     ~          |    1| 1715.85    pc  | -87.147     +87.147     |paral   |2020yCat.1350....0G
90  |BD-03 2634                                                                                               |Star                              |09 15 39.0808577256 -03 53 05.534698056|235.0633037874324 +29.4520411778129|   -4.694 4.020   |9.749    |~              |    ~     ~          |    1|  628.159   pc  | -25.2700    +25.2700    |ST-L    |2020AJ....160...83S
91  |BD-02 2831                                                                                               |Star                              |09 17 05.5056393096 -03 19 33.368936448|234.7636790858672 +30.0635238032528|  7.980 -17.944   |10.431   |~              |    ~     ~          |    1|  449.951   pc  | -12.3300    +12.3300    |ST-L    |2020AJ....160...83S
92  |BD-03 2648                                                                                               |Star                              |09 18 20.4749373792 -03 44 05.391612384|235.3570655436516 +30.0905706853464| -10.831 -0.027   |10.097   |~              |    ~     ~          |    1|  626.906   pc  | -19.7800    +19.7800    |ST-L    |2020AJ....160...83S
93  |BD-02 2842                                                                                               |Star                              |09 19 08.0683186968 -02 51 01.447319844|234.6390727408503 +30.7524484697902|  7.447 -28.165   |10.683   |~              |    ~     ~          |    1|  469.991   pc  | -18.9400    +18.9400    |ST-L    |2020AJ....160...83S
94  |BD-03 2652                                                                                               |Star                              |09 19 30.4701125064 -03 38 19.903301268|235.4563464413694 +30.3847798635198|   0.701 -6.797   |10.388   |~              |    ~     ~          |    1|  761.338   pc  | -28.7100    +28.7100    |ST-L    |2020AJ....160...83S
