C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1561|CD-36 1831                                                                                               |Star                                |04 40 11.5909625664 -36 29 56.949424836|239.0161805789901 -41.2157497699080|   13.553 3.943   |10.95    |~                |    ~     ~    |    1| 1463.486   pc  | -26.5582    +26.5582    |paral   |2020yCat.1350....0G
1562|TYC 7041-1479-1                                                                                          |Star                                |04 30 32.7950070720 -34 28 28.039214928|236.0112547711632 -42.9425242295154|    6.415 5.849   |10.95    |~                |    ~     ~    |    1|  754.091   pc  | -13.5339    +13.5339    |paral   |2020yCat.1350....0G
1563|TYC 7044-903-1                                                                                           |Star                                |04 30 30.6485151216 -35 32 42.940421268|237.4658722102993 -43.0654045711424|  10.719 24.482   |10.956   |~                |    ~     ~    |    1|  435.637   pc  |  -9.0550     +9.0550    |ST-L    |2020AJ....160...83S
1564|TYC 7044-980-1                                                                                           |Star                                |04 30 08.9306342112 -35 18 46.017133704|237.1389745052842 -43.1153369690870|  -7.354 12.013   |10.745   |~                |    ~     ~    |    1|  443.826   pc  | -10.8800    +10.8800    |ST-L    |2020AJ....160...83S
1565|TYC 7045-370-2                                                                                           |Star                                |04 38 37.7812110288 -35 18 07.988575608|237.3853159550025 -41.3947458405629|  4.821 -30.555   |9.89     |~                |    ~     ~    |    1|  103.679   pc  |  -0.5504     +0.5504    |paral   |2020yCat.1350....0G
1566|TYC 7045-829-1                                                                                           |Star                                |04 37 19.9973163288 -35 06 40.547800440|237.0894680643391 -41.6345721698029|  29.925 -1.062   |10.86    |~                |    ~     ~    |    1|  178.485   pc  |  -1.5520     +1.5520    |ST-L    |2020AJ....160...83S
1567|TYC 7045-958-1                                                                                           |Star                                |04 38 56.3335473024 -36 43 11.174732436|239.2740337112805 -41.4888156509939|   10.097 7.728   |10.358   |~                |    ~     ~    |    1|  796.126   pc  | -21.8600    +21.8600    |ST-L    |2020AJ....160...83S
1568|TYC 7045-1116-1                                                                                          |Star                                |04 41 06.6809127096 -35 07 35.721566688|237.2377930089395 -40.8699360443829|  3.407 -23.181   |10.942   |~                |    ~     ~    |    1|  909.392   pc  | -40.5500    +40.5500    |ST-L    |2020AJ....160...83S
1569|TYC 7045-1493-1                                                                                          |Spectroscopic Binary                |04 39 46.1848917960 -35 07 10.132964760|237.1822250921713 -41.1411350513010|  9.498 -13.372   |10.636   |~                |    ~     ~    |    1|  342.381   pc  | -11.2500    +11.2500    |ST-L    |2020AJ....160...83S
1570|HD 28852                                                                                                 |Star                                |04 31 03.7087612800 -39 51 40.097410920|243.3801144308589 -43.2366035684546|  38.965 -6.509   |9.30     |G3V              |    ~     ~    |    1|   82.485   pc  |  -0.0728     +0.0728    |paral   |2020yCat.1350....0G
1571|HD 29292                                                                                                 |Star                                |04 35 04.0406494008 -40 00 55.517607180|243.6265105672533 -42.4745773363149|  -7.705 -8.210   |9.09     |F0V              |    ~     ~    |    1|  323.311   pc  |  -1.4843     +1.4843    |paral   |2020yCat.1350....0G
1572|HD 29666                                                                                                 |High Proper Motion Star             |04 38 32.4690462168 -40 11 04.761658896|243.8921010345294 -41.8179564503033|230.881 178.145   |9.23     |G2V              |    ~     ~    |    1|   77.866   pc  |  -0.0722     +0.0722    |paral   |2020yCat.1350....0G
1573|HD 29874                                                                                                 |Star                                |04 40 38.4472672272 -40 25 28.945031808|244.2376162185931 -41.4291657281274|  8.127 -30.536   |9.57     |A2mA8/9-F0       |    ~     ~    |    1|  359.051   pc  |  -6.4760     +6.4760    |ST-L    |2020AJ....160...83S
1574|CD-40 1443                                                                                               |Star                                |04 32 24.9873979656 -40 02 07.638589464|243.6296931319064 -42.9824512823065| -24.027 30.703   |10.35    |~                |    ~     ~    |    1|  295.508   pc  |  -0.9606     +0.9606    |paral   |2020yCat.1350....0G
1575|CD-40 1484                                                                                               |Star                                |04 37 38.1450312192 -40 18 45.449489520|244.0539053897810 -41.9960619079872|    9.313 2.172   |10.910   |~                |    ~     ~    |    1|  455.698   pc  | -10.0300    +10.0300    |ST-L    |2020AJ....160...83S
1576|HD 28862                                                                                                 |High Proper Motion Star             |04 31 11.2270506528 -37 34 48.628903836|240.2579414351280 -43.1001776274461|  45.713 41.012   |8.58     |G8/K0III         |    ~     ~    |    1|  463.049   pc  |  -3.4949     +3.4949    |paral   |2020yCat.1350....0G
1577|HD 28741                                                                                                 |High Proper Motion Star             |04 30 10.9575985176 -38 01 45.277324212|240.8557443845581 -43.3264761063937|  49.374 69.905   |9.991    |G1V              |    ~     ~    |    1|  118.043   pc  |  -0.7428     +0.7428    |ST-L    |2020AJ....160...83S
1578|HD 28755                                                                                                 |Star                                |04 30 18.2173701408 -38 16 28.670380284|241.1943435622084 -43.3165168879687|  -1.833 -3.831   |7.13     |K3III            |    ~     ~    |    1|  536.078   pc  | -26.0941    +26.0941    |paral   |2020yCat.1350....0G
1579|HD 28902                                                                                                 |Star                                |04 31 35.8160010504 -38 18 33.709811832|241.2612908406290 -43.0650768970748|   2.093 19.412   |9.91     |F5V              |    ~     ~    |    1|  216.371   pc  |  -6.3904     +6.3904    |paral   |2020yCat.1350....0G
1580|HD 28756                                                                                                 |High Proper Motion Star             |04 30 13.8354418656 -38 59 19.976759268|242.1743332107550 -43.3653169407454|  49.278 61.099   |7.32     |K0III            |    ~     ~    |    1|  208.117   pc  |  -0.6410     +0.6410    |paral   |2020yCat.1350....0G
1581|HD 28851                                                                                                 |High Proper Motion Star             |04 30 59.5217467848 -39 10 44.147074908|242.4437162993332 -43.2256376138316|114.663 107.273   |9.18     |G2V              |    ~     ~    |    1|   88.275   pc  |  -0.1044     +0.1044    |paral   |2020yCat.1350....0G
1582|HD 28850                                                                                                 |Star                                |04 31 01.9242186000 -38 44 47.535096552|241.8515186501781 -43.1984582766869|  40.967 26.460   |8.75     |G8III            |    ~     ~    |    1|  411.743   pc  |  -2.3056     +2.3056    |paral   |2020yCat.1350....0G
1583|HD 28895                                                                                                 |Star                                |04 31 22.0988042496 -39 34 53.343134688|242.9993449295659 -43.1684719109721|   0.190 -0.080   |9.72     |K1/2III          |    ~     ~    |    1|  691.515   pc  |  -5.4992     +5.4992    |paral   |2020yCat.1350....0G
1584|CD-37 1785                                                                                               |Star                                |04 30 33.0626300760 -37 29 09.768318756|240.1174671760045 -43.2196009289740| -7.798 -37.187   |10.15    |~                |    ~     ~    |    1|  202.601   pc  |  -0.5418     +0.5418    |paral   |2020yCat.1350....0G
1585|CD-37 1787                                                                                               |Star                                |04 30 38.2703181432 -37 22 16.386177360|239.9619304348997 -43.1944991224848|   -4.436 0.435   |10.16    |~                |    ~     ~    |    1|  325.850   pc  |  -1.5396     +1.5396    |paral   |2020yCat.1350....0G
1586|CD-38 1608                                                                                               |Spectroscopic Binary                |04 30 41.6298330816 -38 11 44.535097788|241.0919423098710 -43.2356316164759| -17.275 -9.964   |10.63    |~                |    ~     ~    |    1|  267.888   pc  |  -7.9228     +7.9228    |paral   |2020yCat.1350....0G
1587|CD-37 1790                                                                                               |Spectroscopic Binary                |04 31 09.9291395736 -37 41 15.447362316|240.4043908855344 -43.1116467110619|  5.085 -10.870   |10.307   |~                |    ~     ~    |    1|  417.692   pc  | -14.1500    +14.1500    |ST-L    |2020AJ....160...83S
1588|HD 29265                                                                                                 |High Proper Motion Star             |04 34 53.9985394200 -37 24 32.601075696|240.0995511288803 -42.3531133773179| 49.280 -17.337   |9.54     |F6V              |    ~     ~    |    1|  118.526   pc  |  -0.1784     +0.1784    |paral   |2020yCat.1350....0G
1589|HD 29111                                                                                                 |Star                                |04 33 18.0821965248 -37 50 03.977258424|240.6432707641483 -42.7003769500257|       8.4 35.5   |9.85     |G2V              |    ~     ~    |    1|  142.671   pc  | +35.528      +8         |ST-L    |2017AJ....153...75K
1590|HD 29427                                                                                                 |High Proper Motion Star             |04 36 25.6553748600 -37 49 33.776629716|240.6928021001457 -42.0841098848955| 11.082 -82.226   |7.18     |F5IV             |    ~     ~    |    1|   62.768   pc  |  -0.0662     +0.0662    |paral   |2020yCat.1350....0G
1591|CD-38 1664                                                                                               |Star                                |04 37 48.4332315864 -37 47 49.055401392|240.6826064525337 -41.8101785628668|   0.187 -7.376   |9.55     |F8               |    ~     ~    |    1|  187.319   pc  |  -0.4807     +0.4807    |paral   |2020yCat.1350....0G
1592|HD 28963                                                                                                 |Star                                |04 32 02.6676168048 -37 58 01.338051144|240.8012553151207 -42.9565742261870|  10.531 16.583   |10.01    |F2V              |    ~     ~    |    1|  522.275   pc  | -51.7993    +51.7993    |paral   |2020yCat.1350....0G
1593|HD 29219                                                                                                 |Star                                |04 34 20.9753144712 -38 39 14.284828512|241.7725988723115 -42.5471669847278|   10.722 0.142   |9.64     |G8/K0III         |    ~     ~    |    1|  579.542   pc  |  -3.5938     +3.5938    |paral   |2020yCat.1350....0G
1594|HD 29232                                                                                                 |Star                                |04 34 24.8646059184 -38 17 19.464204012|241.2789831926275 -42.5120665237156|    5.138 0.655   |10.02    |G8(III)          |    ~     ~    |    1|  700.427   pc  |  -5.8872     +5.8872    |paral   |2020yCat.1350....0G
1595|HD 29379                                                                                                 |Star                                |04 35 56.8620747624 -38 10 25.046653116|241.1509533470692 -42.2038995907789|  16.167 44.994   |9.04     |A2mA8-A9         |    ~     ~    |    1|  277.616   pc  |  -6.7591     +6.7591    |paral   |2020yCat.1350....0G
1596|CD-38 1654                                                                                               |Star                                |04 36 15.7645220520 -38 21 44.792979264|241.4109019529978 -42.1552319540650|   8.880 -2.255   |9.53     |K0               |    ~     ~    |    1|  514.721   pc  |  -2.9938     +2.9938    |paral   |2020yCat.1350....0G
1597|CD-38 1656                                                                                               |Star                                |04 36 36.8617447032 -38 03 36.656549208|241.0110640508625 -42.0649714178950|   0.612 -0.792   |10.080   |A8               |    ~     ~    |    1|  354.416   pc  |  -6.5590     +6.5590    |ST-L    |2020AJ....160...83S
1598|CD-38 1667                                                                                               |Star                                |04 37 52.6262217504 -38 24 47.039421600|241.5084345797916 -41.8431693909151|  28.533 21.873   |9.87     |G8               |    ~     ~    |    1|   74.601   pc  |  -0.0562     +0.0562    |paral   |2020yCat.1350....0G
1599|HD 29687                                                                                                 |Star                                |04 38 48.8358819984 -38 10 15.916837296|241.2032841179953 -41.6419170620360|  9.186 -29.364   |9.35     |F3/5V            |    ~     ~    |    1|  226.812   pc  |  -2.6430     +2.6430    |ST-L    |2020AJ....160...83S
1600|CD-38 1677                                                                                               |Star                                |04 39 44.4232789920 -38 18 20.392954164|241.4013720161893 -41.4709387524439|  10.372 -8.539   |9.51     |G5               |    ~     ~    |    1|  593.507   pc  |  -3.7691     +3.7691    |paral   |2020yCat.1350....0G
1601|HD 29098                                                                                                 |Star                                |04 33 08.8965918336 -39 19 24.901273344|242.6659011315238 -42.8147952503131|    4.379 2.606   |10.04    |A1III            |    ~     ~    |    1|  278.329   pc  |  -4.3920     +4.3920    |ST-L    |2020AJ....160...83S
1602|HD 29112                                                                                                 |High Proper Motion Star             |04 33 09.9257451912 -39 29 08.069647776|242.8867268011793 -42.8184998051379|  43.007 62.616   |7.71     |F3/5V            |    ~     ~    |    1|   76.777   pc  |  -0.2181     +0.2181    |paral   |2020yCat.1350....0G
1603|CD-39 1549                                                                                               |High Proper Motion Star             |04 34 13.3923970992 -38 48 44.997519672|241.9855841175578 -42.5808114562342| -5.106 -60.626   |10.31    |G5               |    ~     ~    |    1|  173.461   pc  |  -0.3611     +0.3611    |paral   |2020yCat.1350....0G
1604|HD 29241                                                                                                 |Star                                |04 34 30.2383067760 -39 14 49.408776744|242.5786807412429 -42.5491622908849| -21.884 30.465   |9.84     |F5V              |    ~     ~    |    1|  212.970   pc  |  -0.5443     +0.5443    |paral   |2020yCat.1350....0G
1605|HD 29266                                                                                                 |Star                                |04 34 46.3028038128 -39 19 16.397885316|242.6826438458728 -42.5010585003406|   21.022 3.137   |9.53     |K1III            |    ~     ~    |    1|  448.430   pc  |  -2.1517     +2.1517    |paral   |2020yCat.1350....0G
1606|HD 29314                                                                                                 |Star                                |04 35 15.2400075048 -39 32 27.726790524|242.9862830101307 -42.4185335296997|   7.599 18.793   |9.99     |G0V              |    ~     ~    |    1|  183.993   pc  |  -5.9988     +5.9988    |paral   |2020yCat.1350....0G
1607|HD 29428                                                                                                 |High Proper Motion Star             |04 36 15.2519727336 -39 24 52.180369776|242.8281278955404 -42.2195642937382|  98.666 15.689   |8.99     |G3/5V            |    ~     ~    |    1|   63.707   pc  |  -0.0438     +0.0438    |paral   |2020yCat.1350....0G
1608|CD-39 1576                                                                                               |Star                                |04 39 35.6131368984 -39 24 00.183697056|242.8570346297988 -41.5747235469943|    6.530 4.874   |9.894    |F8               |    ~     ~    |    1|  285.709   pc  |  -3.8870     +3.8870    |ST-L    |2020AJ....160...83S
1609|CD-39 1582                                                                                               |Double or Multiple Star             |04 40 05.249376 -39 29 52.20204        |242.995067185 -41.485413827        |     10.8 -56.8   |10.08    |K0               |    ~     ~    |    0|                |                         |        |                   
1610|HD 29824                                                                                                 |Star                                |04 40 14.1939401064 -38 48 25.302858444|242.0779365047993 -41.4113748470229| -14.770 -7.345   |7.42     |K2III            |    ~     ~    |    1|  361.233   pc  |  -1.8138     +1.8138    |paral   |2020yCat.1350....0G
1611|HD 29904                                                                                                 |Double or Multiple Star             |04 41 03.3610629312 -39 34 58.860585120|243.1234787185321 -41.3041867696586|   5.045 11.525   |7.97     |G0V(+A/F)        |    ~     ~    |    1|  380.822   pc  | -37.7211    +37.7211    |paral   |2020yCat.1350....0G
1612|CD-39 1591                                                                                               |Double or Multiple Star             |04 41 10.1962 -39 10 30.697            |242.5838074 -41.2559544            |   16.050 8.303   |10.92    |F5               |    ~     ~    |    0|                |                         |        |                   
1613|CD-40 1487                                                                                               |Star                                |04 37 51.7025826840 -39 48 16.567181964|243.3740037460515 -41.9299697165497| 14.951 -19.912   |10.05    |G5               |    ~     ~    |    1|  290.265   pc  |  -3.7240     +3.7240    |ST-L    |2020AJ....160...83S
1614|CD-40 1492                                                                                               |Star                                |04 38 07.0823660184 -39 49 01.535624076|243.3940471225856 -41.8814240803574|    9.186 2.871   |9.81     |K0               |    ~     ~    |    1|  616.941   pc  |  -3.9965     +3.9965    |paral   |2020yCat.1350....0G
1615|CD-40 1507                                                                                               |High Proper Motion Star             |04 39 37.8161659656 -39 48 47.292592752|243.4089332707068 -41.5912183671427| 61.073 109.432   |10.085   |K0               |    ~     ~    |    1|   70.167   pc  |  -0.7304     +0.7304    |ST-L    |2020AJ....160...83S
1616|HD 29889                                                                                                 |Star                                |04 40 48.5023836072 -39 50 38.055792624|243.4666008840049 -41.3670758368185|  25.800 42.502   |8.99     |A2/3             |    ~     ~    |    1|  260.613   pc  |  -0.9101     +0.9101    |paral   |2020yCat.1350....0G
1617|HD 29890                                                                                                 |Star                                |04 40 48.6170899440 -39 51 10.683856836|243.4786858059081 -41.3672209919450|  24.590 41.059   |8.30     |A7/8V            |    ~     ~    |    1|  259.242   pc  |  -1.2904     +1.2904    |paral   |2020yCat.1350....0G
1618|V* R Cae                                                                                                 |Mira Variable                       |04 40 30.0847911768 -38 14 06.929226636|241.3235095657009 -41.3164834444749|  -6.147 -3.422   |6.70     |M6e              |    ~     ~    |    1|  501.002   pc  | -18.8252    +18.8252    |paral   |2020yCat.1350....0G
1619|CD-38 1631                                                                                               |High Proper Motion Star             |04 33 25.7309965598 -38 18 11.132834277|241.2818719547714 -42.7059586712445|464.067 147.064   |10.950   |G5:              |    ~     ~    |    1|  111.250   pc  |  -0.9898     +0.9898    |ST-L    |2020AJ....160...83S
1620|TYC 7579-826-1                                                                                           |Star                                |04 32 32.5617038976 -39 00 52.328889972|242.2372860669740 -42.9177368799564| -0.011 -17.933   |10.82    |~                |    ~     ~    |    1|  236.128   pc  |  -0.7193     +0.7193    |paral   |2020yCat.1350....0G
1621|CD-40 1466                                                                                               |Star                                |04 35 39.6359198568 -39 55 28.484430348|243.5097349393345 -42.3573613289193|  10.706 13.319   |10.25    |F0               |    ~     ~    |    1|  357.590   pc  |  -1.7007     +1.7007    |paral   |2020yCat.1350....0G
1622|CD-40 1482                                                                                               |Star                                |04 37 24.0698346720 -40 02 52.842941196|243.6955179297892 -42.0295680520061|    3.615 9.178   |10.28    |A5               |    ~     ~    |    1|  375.223   pc  |  -7.1830     +7.1830    |ST-L    |2020AJ....160...83S
1623|CD-40 1486                                                                                               |Star                                |04 37 46.5457556472 -39 57 09.921397716|243.5718862066232 -41.9535630595881|  29.569 -5.438   |9.21     |~                |    ~     ~    |    1|  382.817   pc  |  -8.1210     +8.1210    |ST-L    |2020AJ....160...83S
1624|HD 29719                                                                                                 |Star                                |04 39 07.1879764080 -39 56 08.426738760|243.5658341096861 -41.6954286996060|  11.432 12.322   |9.42     |F2IV             |    ~     ~    |    1|  477.943   pc  |  -3.3579     +3.3579    |paral   |2020yCat.1350....0G
1625|CD-39 1536                                                                                               |Star                                |04 33 02.9275514232 -39 42 45.614610684|243.1949326465489 -42.8500402758876|  -5.319 16.069   |9.84     |~                |    ~     ~    |    1|  225.342   pc  |  -0.6500     +0.6500    |paral   |2020yCat.1350....0G
1626|CD-37 1801                                                                                               |Star                                |04 33 14.2375170744 -37 39 01.678412196|240.3923463597018 -42.7000748399625|   17.786 5.604   |10.267   |~                |    ~     ~    |    1|  257.944   pc  |  -3.2150     +3.2150    |ST-L    |2020AJ....160...83S
1627|CD-37 1804                                                                                               |Star                                |04 33 17.3521414944 -37 33 16.281650304|240.2631726560069 -42.6828589959065|    5.710 4.622   |10.85    |~                |    ~     ~    |    1|  811.321   pc  | -37.8500    +37.8500    |ST-L    |2020AJ....160...83S
1628|CD-39 1542                                                                                               |Star                                |04 33 24.9106247904 -39 30 46.052730288|242.9265517002682 -42.7715107416901|   9.424 41.592   |10.35    |~                |    ~     ~    |    1|  225.383   pc  |  -0.6299     +0.6299    |paral   |2020yCat.1350....0G
1629|CD-39 1552                                                                                               |Star                                |04 34 37.3260316896 -39 11 45.849498972|242.5111186093584 -42.5237666023756|  16.894 12.753   |10.23    |~                |    ~     ~    |    1|  450.106   pc  |  -2.1475     +2.1475    |paral   |2020yCat.1350....0G
1630|CD-38 1644                                                                                               |Star                                |04 35 21.7710445608 -38 01 28.553615688|240.9391466613426 -42.3081663100106|  -0.085 -8.789   |9.80     |~                |    ~     ~    |    1|  462.577   pc  |  -2.1398     +2.1398    |paral   |2020yCat.1350....0G
1631|CD-38 1651                                                                                               |Star                                |04 35 56.0824057656 -38 37 53.251211928|241.7675834035752 -42.2368557443876|   14.047 6.843   |9.56     |~                |    ~     ~    |    1|  589.438   pc  | -19.4900    +19.4900    |ST-L    |2020AJ....160...83S
1632|CD-39 1560                                                                                               |Spectroscopic Binary                |04 36 33.1512874968 -39 23 29.774934744|242.8013064051678 -42.1608269587066|    1.879 7.075   |10.743   |~                |    ~     ~    |    1|  302.700   pc  |  -4.4980     +4.4980    |ST-L    |2020AJ....160...83S
1633|CD-38 1657                                                                                               |Star                                |04 36 36.1243350408 -38 38 33.822533436|241.7939355595373 -42.1075130568152|   7.317 12.841   |9.99     |~                |    ~     ~    |    1|  782.901   pc  |  -6.3745     +6.3745    |paral   |2020yCat.1350....0G
1634|CD-38 1663                                                                                               |Star                                |04 37 21.3157757760 -37 59 38.930539884|240.9371736102621 -41.9145295628079|  -5.683 -1.117   |10.52    |~                |    ~     ~    |    1|  293.680   pc  |  -6.7730     +6.7730    |ST-L    |2020AJ....160...83S
1635|CD-39 1565                                                                                               |Star                                |04 37 27.7909950528 -38 51 21.237334524|242.0947447970716 -41.9535465637997|    5.599 3.017   |10.178   |~                |    ~     ~    |    1|  838.021   pc  | -35.4400    +35.4400    |ST-L    |2020AJ....160...83S
1636|CD-40 1500                                                                                               |Star                                |04 38 47.3295123024 -39 46 27.151024764|243.3454075736868 -41.7505561415049|  -2.069 -6.808   |9.920    |~                |    ~     ~    |    1|  730.527   pc  | -25.6800    +25.6800    |ST-L    |2020AJ....160...83S
1637|CD-39 1577                                                                                               |Star                                |04 39 36.5317031856 -39 37 31.327976316|243.1579649141389 -41.5849443979299|    3.072 6.698   |10.802   |~                |    ~     ~    |    1|  504.013   pc  | -12.6500    +12.6500    |ST-L    |2020AJ....160...83S
1638|CD-39 1580                                                                                               |Star                                |04 40 01.4867243184 -39 09 33.260319504|242.5429819963297 -41.4763695733339| 13.134 -11.984   |10.43    |~                |    ~     ~    |    1|  379.853   pc  | -10.8937    +10.8937    |paral   |2020yCat.1350....0G
1639|CD-38 1680                                                                                               |Star                                |04 40 08.9636045880 -37 50 20.958365004|240.7901431506542 -41.3527201524492|  12.003 10.898   |10.52    |~                |    ~     ~    |    1|  328.893   pc  |  -1.2656     +1.2656    |paral   |2020yCat.1350....0G
1640|CPD-38 489                                                                                               |Star                                |04 40 33.0739503528 -38 23 31.401867732|241.5326536159217 -41.3191567272207|  7.158 -12.071   |10.01    |~                |    ~     ~    |    1|  813.131   pc  | -31.8400    +31.8400    |ST-L    |2020AJ....160...83S
1641|CD-39 1589                                                                                               |Star                                |04 40 51.5091676848 -38 58 31.199093796|242.3129568946686 -41.3025100245066|   7.399 16.434   |10.21    |~                |    ~     ~    |    1|  551.018   pc  | -15.4300    +15.4300    |ST-L    |2020AJ....160...83S
1642|CD-38 1691                                                                                               |Spectroscopic Binary                |04 41 00.1048304616 -38 36 36.836411004|241.8311570872079 -41.2480617096914|  14.224 11.333   |10.48    |~                |    ~     ~    |    1|  461.446   pc  |  -2.3423     +2.3423    |paral   |2020yCat.1350....0G
1643|CD-40 1523                                                                                               |Star                                |04 40 50.2208499576 -40 07 17.243539680|243.8363058224866 -41.3767004584933|  32.386 27.903   |10.536   |~                |    ~     ~    |    1|  230.967   pc  |  -2.4900     +2.4900    |ST-L    |2020AJ....160...83S
1644|CD-38 1643                                                                                               |Star                                |04 35 06.9889175808 -38 04 36.212798568|241.0048791860102 -42.3602103045063| -1.996 -19.346   |10.17    |~                |    ~     ~    |    1|  477.168   pc  |  -2.2541     +2.2541    |paral   |2020yCat.1350....0G
1645|CD-39 1559                                                                                               |Star                                |04 36 19.8939821688 -38 51 58.734081504|242.0904602421035 -42.1740584508054|  2.846 -18.143   |10.57    |~                |    ~     ~    |    1|  547.675   pc  |  -3.4794     +3.4794    |paral   |2020yCat.1350....0G
1646|CD-38 1666                                                                                               |Star                                |04 37 48.5293389144 -37 49 57.477737100|240.7303472881930 -41.8127248473331| 11.786 -14.766   |10.196   |~                |    ~     ~    |    1|  336.020   pc  |  -5.5560     +5.5560    |ST-L    |2020AJ....160...83S
1647|CD-39 1575                                                                                               |Star                                |04 39 32.0751260496 -39 28 12.886083408|242.9498053752558 -41.5902687801277|  7.686 -20.571   |10.18    |~                |    ~     ~    |    1| 1226.693   pc  | -21.8192    +21.8192    |paral   |2020yCat.1350....0G
1648|CD-39 1585                                                                                               |Star                                |04 40 24.9170491608 -38 50 48.137953308|242.1339808851593 -41.3794655520949|   8.541 10.406   |10.383   |~                |    ~     ~    |    1|  537.653   pc  | -13.9000    +13.9000    |ST-L    |2020AJ....160...83S
1649|CD-38 1687                                                                                               |Long-Period Variable Candidate      |04 40 36.2237953344 -38 01 40.923180912|241.0508101851733 -41.2794351843212|   14.955 4.961   |10.405   |~                |    ~     ~    |    1| 3844.68    pc  |-203.985    +203.985     |paral   |2020yCat.1350....0G
1650|AKARI-IRC-V1 J0436031-395342                                                                             |Long-Period Variable Candidate      |04 36 03.1114431768 -39 53 42.585297468|243.4742862724959 -42.2811530956333|   -0.093 0.570   |10.91    |~                |    ~     ~    |    1| 2217.79    pc  | -98.8634    +98.8634    |paral   |2020yCat.1350....0G
1651|TYC 7579-56-1                                                                                            |Star                                |04 32 35.0204897208 -38 43 38.366544828|241.8462158627428 -42.8953004110115| 13.569 -29.637   |10.861   |~                |    ~     ~    |    1|  345.378   pc  |  -5.8150     +5.8150    |ST-L    |2020AJ....160...83S
1652|TYC 7579-131-1                                                                                           |Star                                |04 33 59.9933516016 -37 35 17.551420044|240.3229760938416 -42.5449152534422|   5.865 -1.665   |10.58    |~                |    ~     ~    |    1|  947.598   pc  |  -9.8774     +9.8774    |paral   |2020yCat.1350....0G
1653|TYC 7579-304-1                                                                                           |High Proper Motion Star             |04 31 27.2609734560 -38 48 13.667839560|241.9353977708973 -43.1190314050760| 59.508 -81.301   |10.795   |~                |    ~     ~    |    1|  161.605   pc  |  -1.5770     +1.5770    |ST-L    |2020AJ....160...83S
1654|CD-38 1652                                                                                               |Rotating Variable                   |04 35 58.7336001528 -38 41 33.581034672|241.8508108097530 -42.2320646785671|  24.325 34.280   |10.768   |G7V              |    ~     ~    |    1|  230.478   pc  |  -6.6560     +6.6560    |paral   |2020yCat.1350....0G
1655|TYC 7579-485-1                                                                                           |Star                                |04 37 44.0802064464 -39 01 47.647794036|242.3325986821962 -41.9116722566810|   19.415 1.388   |10.647   |~                |    ~     ~    |    1| 1008.610   pc  | -48.7100    +48.7100    |ST-L    |2020AJ....160...83S
1656|TYC 7579-621-1                                                                                           |High Proper Motion Star             |04 34 15.8718481080 -38 34 47.187504588|241.6707270367938 -42.5593811728556|  63.253 67.368   |10.81    |~                |    ~     ~    |    1|   92.591   pc  |  -0.0866     +0.0866    |paral   |2020yCat.1350....0G
1657|TYC 7579-695-1                                                                                           |Star                                |04 34 09.4777209480 -39 04 38.445343464|242.3439166574908 -42.6076170172648|  10.183 17.619   |10.89    |~                |    ~     ~    |    1|  783.515   pc  |  -7.5509     +7.5509    |paral   |2020yCat.1350....0G
1658|TYC 7579-740-1                                                                                           |Star                                |04 32 59.2411819704 -38 59 44.283888708|242.2172695697713 -42.8305335683366|   -3.309 5.694   |10.81    |~                |    ~     ~    |    1|  119.370   pc  |  -0.6770     +0.6770    |ST-L    |2020AJ....160...83S
1659|TYC 7579-767-1                                                                                           |Star                                |04 31 59.4879669216 -38 18 45.678759624|241.2719185813795 -42.9880028818980|   1.667 -6.908   |10.99    |~                |    ~     ~    |    1|  263.290   pc  |  -0.7833     +0.7833    |paral   |2020yCat.1350....0G
1660|TYC 7579-827-1                                                                                           |Star                                |04 31 29.9481660912 -39 09 51.383221020|242.4293057033338 -43.1268234043794| 30.147 -28.780   |10.77    |~                |    ~     ~    |    1|  109.661   pc  |  -0.6140     +0.6140    |ST-L    |2020AJ....160...83S
1661|TYC 7579-1137-1                                                                                          |Star                                |04 37 53.9181583632 -39 02 45.412995804|242.3567333131397 -41.8808748856586|  4.939 -25.443   |10.689   |~                |    ~     ~    |    1|  265.157   pc  |  -3.4800     +3.4800    |ST-L    |2020AJ....160...83S
1662|TYC 7579-1148-1                                                                                          |Star                                |04 31 53.7380498832 -38 16 34.595556780|241.2207238621996 -43.0046570308279|  21.122 12.510   |10.38    |~                |    ~     ~    |    1|  414.680   pc  |  -2.0463     +2.0463    |paral   |2020yCat.1350....0G
1663|TYC 7579-1305-1                                                                                          |High Proper Motion Star             |04 33 47.4728203968 -38 59 44.413564416|242.2280603111834 -42.6745458498364|  48.720 18.907   |10.97    |~                |    ~     ~    |    1|  154.531   pc  |  -0.2913     +0.2913    |paral   |2020yCat.1350....0G
