C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:45:06

dec< 0&rah >=4.5&rah< 4.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3608

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
68  |StKM 1-497                                                                                               |T Tauri Star                        |04 37 37.4553491592 -02 29 28.950973764|198.6337024258629 -30.6619089877674| 54.782 -47.312   |10.59    |M1.1V            |    ~     ~    |    1|   27.771   pc  |  -0.3670     +0.3670    |paral   |2020yCat.1350....0G
69  |BD-02 971                                                                                                |Spectroscopic Binary                |04 39 09.9424351632 -02 30 30.925406736|198.8761581958651 -30.3380626276681| 14.962 -24.029   |10.42    |~                |    ~     ~    |    1|  207.095   pc  |  -0.8449     +0.8449    |paral   |2020yCat.1350....0G
70  |BD-02 975                                                                                                |Star                                |04 39 53.9255231832 -02 19 13.220284476|198.7946498722521 -30.0850747975767|   3.411 -6.498   |9.873    |~                |    ~     ~    |    1|  635.746   pc  | -16.8600    +16.8600    |ST-L    |2020AJ....160...83S
71  |* 51 Eri                                                                                                 |High Proper Motion Star             |04 37 36.1326090888 -02 28 24.775726260|198.6125824783448 -30.6576616723056| 44.049 -64.028   |5.209    |F0IV             |    ~     ~    |    1|   29.905   pc  |  -0.0695     +0.0695    |paral   |2020yCat.1350....0G
72  |TYC 4734-613-1                                                                                           |Star                                |04 33 10.9197634800 -00 38 38.357610144|196.1280582747394 -30.6642707390742|    3.130 0.612   |10.9     |~                |    ~     ~    |    1|  456.517   pc  |  -5.6478     +5.6478    |paral   |2020yCat.1350....0G
73  |TYC 4734-678-1                                                                                           |Star                                |04 34 00.5951235168 -01 04 35.340256128|196.6826953656135 -30.7131711275930| 36.505 -14.160   |10.94    |~                |    ~     ~    |    1|  244.577   pc  |  -1.3938     +1.3938    |paral   |2020yCat.1350....0G
74  |BD-01 672                                                                                                |Star                                |04 34 46.8032130648 -01 19 10.389889416|197.0404388926542 -30.6744183017078|   -0.319 1.582   |10.358   |~                |    ~     ~    |    1|  937.696   pc  | -60.7200    +60.7200    |ST-L    |2020AJ....160...83S
75  |TYC 4734-140-1                                                                                           |Star                                |04 34 47.9549543448 -01 40 04.234932912|197.3906775269538 -30.8497828878464| -5.048 -12.963   |10.473   |~                |    ~     ~    |    1|  526.801   pc  | -16.5300    +16.5300    |ST-L    |2020AJ....160...83S
76  |BD-00 725                                                                                                |Star                                |04 34 56.7484109592 -00 40 52.416035400|196.4321797549883 -30.3077377366153|-18.673 -27.881   |10.04    |~                |    ~     ~    |    1|  188.626   pc  |  -2.4870     +2.4870    |paral   |2020yCat.1350....0G
77  |BD-02 946                                                                                                |Star                                |04 35 20.2050682152 -01 54 56.135869488|197.7186716806483 -30.8615020751127|   2.942 -4.339   |10.49    |~                |    ~     ~    |    1|  824.946   pc  | -11.7733    +11.7733    |paral   |2020yCat.1350....0G
78  |TYC 4734-821-1                                                                                           |Pulsating Variable                  |04 35 24.6645645168 -01 07 51.686178744|196.9477316131219 -30.4419414163824|    1.866 6.739   |10.89    |~                |    ~     ~    |    1|  950.570   pc  | -27.9207    +27.9207    |paral   |2020yCat.1350....0G
79  |BD-01 674                                                                                                |Star                                |04 35 30.5683703208 -01 25 44.992006140|197.2588430040521 -30.5747851803250| -6.371 -14.469   |10.00    |~                |    ~     ~    |    1|  259.794   pc  |  -1.0934     +1.0934    |paral   |2020yCat.1350....0G
80  |TYC 4734-137-1                                                                                           |Star                                |04 35 46.5281523480 -01 14 00.631826772|197.1040755092933 -30.4169353778889|  -5.924 -3.680   |10.61    |~                |    ~     ~    |    1| 1494.545   pc  | -35.7386    +35.7386    |paral   |2020yCat.1350....0G
81  |BD-01 675                                                                                                |Star                                |04 36 02.0401100832 -01 16 11.506482948|197.1788349228373 -30.3803409378662| -2.108 -33.919   |9.86     |~                |    ~     ~    |    1|  160.241   pc  |  -0.4853     +0.4853    |paral   |2020yCat.1350....0G
82  |BD-01 676                                                                                                |Star                                |04 36 06.1800701784 -01 24 52.740176148|197.3330321115825 -30.4401420582920|    9.686 3.913   |9.71     |~                |    ~     ~    |    1|  590.702   pc  |  -5.8271     +5.8271    |paral   |2020yCat.1350....0G
83  |TYC 4734-183-1                                                                                           |Star                                |04 36 07.8645537696 -01 30 29.395674108|197.4302681269072 -30.4822067913430|   13.080 3.254   |10.55    |~                |    ~     ~    |    1|  348.821   pc  |  -1.9346     +1.9346    |paral   |2020yCat.1350....0G
84  |BD-01 677                                                                                                |Star                                |04 36 07.9150314072 -00 48 54.868505832|196.7431007032606 -30.1242001951460|   1.204 10.259   |10.67    |~                |    ~     ~    |    1|  237.423   pc  |  -0.9019     +0.9019    |paral   |2020yCat.1350....0G
