C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
68  |HD 36780                                                                                                                                                                       |Star                                  |05 34 04.0475348112 -01 28 12.872573256|205.1953728795425 -17.8412662958599| -8.295 -31.553   |5.895    |K4III             |    ~     ~    
69  |HD 36811                                                                                                                                                                       |Spectroscopic Binary                  |05 34 09.7403451960 -01 54 06.662865492|205.6075151981722 -18.0231709534726|    0.290 6.751   |7.08     |A0V               |    ~     ~    
70  |HD 290695                                                                                                                                                                      |Star                                  |05 34 15.7635191280 -01 52 52.061974824|205.6006401135413 -17.9912989894190|   -0.575 2.147   |10.8     |B9                |    ~     ~    
71  |HD 290694                                                                                                                                                                      |Star                                  |05 34 20.2743554472 -01 51 04.980717576|205.5822861990809 -17.9607563193859|  -1.276 -6.317   |10.18    |F2                |    ~     ~    
72  |HD 36863                                                                                                                                                                       |Star                                  |05 34 34.3400385456 -01 44 37.358466684|205.5112554466741 -17.8584988035968|  -7.098 -7.627   |8.28     |A5II/III          |    ~     ~    
73  |HD 36882                                                                                                                                                                       |Star                                  |05 34 48.1906635624 -00 57 13.094830476|204.8084733654036 -17.4353738888575| -11.820 36.870   |7.01     |K0III             |    ~     ~    
74  |HD 36955                                                                                                                                                                       |Double or Multiple Star               |05 35 04.5447943896 -01 24 06.593591448|205.2565641053922 -17.5867419085983|   -0.120 0.274   |9.58     |kA1mA3V           |0.0250 0.000   
75  |HD 36980                                                                                                                                                                       |Star                                  |05 35 15.1703735952 -01 54 07.591413942|205.7419689310341 -17.7826024942729|   1.840 -3.441   |9.02     |B9/A0V            |    ~     ~    
76  |HD 36996                                                                                                                                                                       |Star                                  |05 35 21.2933653080 -01 02 00.869664012|204.9505811964037 -17.3515982502585|  -0.978 -0.662   |9.73     |B9V               |    ~     ~    
77  |HD 290681                                                                                                                                                                      |Star                                  |05 35 30.4533991248 -01 35 52.828433268|205.4914184520661 -17.5837428372139|  -14.473 1.316   |9.79     |F5                |    ~     ~    
78  |HD 37038                                                                                                                                                                       |Double or Multiple Star               |05 35 32.8690274544 -01 50 46.189671504|205.7263343874400 -17.6912761520245|   -1.269 5.531   |8.11     |F0/2V             |    ~     ~    
79  |HD 290684                                                                                                                                                                      |Star                                  |05 35 35.8275009552 -01 46 51.723067404|205.6720142138537 -17.6498652897613|   1.772 -1.248   |9.70     |B8                |    ~     ~    
80  |HD 37075                                                                                                                                                                       |Star                                  |05 35 45.0229875672 -00 54 05.153419332|204.8775067836920 -17.2020450370482|  -1.269 -0.820   |9.42     |B9.5V             |    ~     ~    
81  |HD 37076                                                                                                                                                                       |Star                                  |05 35 48.0296257392 -00 59 12.777988272|204.9625524305774 -17.2313657699992|   1.655 -1.092   |7.99     |B9V+B9V           |    ~     ~    
82  |HD 290671                                                                                                                                                                      |Star                                  |05 35 48.8983412064 -00 59 21.293547036|204.9665245851770 -17.2292922179637|   0.462 -0.246   |8.98     |A2                |    ~     ~    
83  |HD 290691                                                                                                                                                                      |Star                                  |05 35 58.5440869677 -01 51 46.600662469|205.7944545962848 -17.6046716331220|  -0.525 -0.680   |10.33    |B9                |    ~     ~    
84  |HD 37113                                                                                                                                                                       |Star                                  |05 35 58.9870498512 -01 45 46.571335704|205.7026808489837 -17.5561845608715|   -1.728 0.995   |8.70     |A0V               |    ~     ~    
85  |HD 290678                                                                                                                                                                      |Star                                  |05 36 03.0648969336 -01 32 08.863478160|205.5007238984797 -17.4346068435175|  -1.741 -0.077   |10.6     |A0                |    ~     ~    
86  |HD 290677                                                                                                                                                                      |Star                                  |05 36 16.3809131304 -01 31 11.838443844|205.5133683856738 -17.3782015363403|   2.177 -3.104   |9.98     |B9                |    ~     ~    
87  |HD 37149                                                                                                                                                                       |Be Star                               |05 36 17.8324358232 -01 38 07.184455692|205.6231023191528 -17.4270204161214|  -0.578 -0.853   |8.02     |B7IV              |    ~     ~    
88  |HD 290685                                                                                                                                                                      |Star                                  |05 36 28.0764666048 -01 45 15.522226200|205.7542251242256 -17.4451221152001|  -6.647 -0.119   |9.46     |K0                |    ~     ~    
89  |HD 37172                                                                                                                                                                       |Star                                  |05 36 31.5431973336 -01 14 11.964332472|205.2826174094478 -17.1892544964028|  -3.360 -1.763   |8.29     |A2V               |    ~     ~    
90  |HD 37187                                                                                                                                                                       |Star                                  |05 36 37.0675390464 -01 01 40.769936940|205.1013662676447 -17.0706424211223|  -3.081 -3.896   |8.15     |B9V               |    ~     ~    
91  |HD 290673                                                                                                                                                                      |Spectroscopic Binary                  |05 36 50.7350785056 -01 25 07.935169260|205.4903057024355 -17.2043930720192|  -0.127 -2.640   |9.86     |A2                |    ~     ~    
92  |HD 290672                                                                                                                                                                      |Star                                  |05 36 56.7041452560 -01 18 26.635943592|205.3995587460368 -17.1300515736425|   -0.798 1.085   |10.17    |A2                |    ~     ~    
