C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:15:41

Vmag< 11&dec< 0&rah >=5.5&rah< 5.75
-----------------------------------

Number of objects : 5061

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
3281|CD-40 2049                                                                                                                                                                     |Spectroscopic Binary                  |05 43 38.2223263824 -40 32 58.173395028|246.2391588245685 -29.5769734611254|   -0.143 2.086   |10.197   |G0                |    ~     ~    
3282|HD 38487                                                                                                                                                                       |Spectroscopic Binary                  |05 44 14.2952039688 -40 00 17.239520484|245.6545426079661 -29.3516554481058|   1.380 48.143   |10.07    |F2/3V             |    ~     ~    
3283|HD 37814                                                                                                                                                                       |Star                                  |05 39 11.5178366616 -41 45 13.731610284|247.4181856040695 -30.6305977665062|-21.879 -38.575   |8.56     |K0III             |    ~     ~    
3284|HD 37833                                                                                                                                                                       |Star                                  |05 39 23.0034693528 -41 03 23.698611360|246.6303619598696 -30.4659927156150|  3.896 -12.245   |9.16     |K1/2III           |    ~     ~    
3285|HD 37892                                                                                                                                                                       |High Proper Motion Star               |05 39 40.6137480696 -41 50 45.894409224|247.5426874944893 -30.5585162469991| -10.621 94.781   |9.800    |G3V               |    ~     ~    
3286|HD 37919                                                                                                                                                                       |Star                                  |05 39 56.0891000400 -41 30 51.336040788|247.1744278977216 -30.4501065572518| -3.148 -19.881   |7.66     |K1III             |    ~     ~    
3287|HD 38122                                                                                                                                                                       |Star                                  |05 41 27.2104336320 -41 43 18.860679048|247.4722215659406 -30.2100773416754|  -10.077 4.102   |8.98     |K1(III)           |    ~     ~    
3288|HD 38386                                                                                                                                                                       |Star                                  |05 43 19.2096751824 -41 51 40.120575732|247.7063176394640 -29.8948204472051|  -1.256 -8.609   |9.24     |G8II/III          |    ~     ~    
3289|HD 38433                                                                                                                                                                       |Star                                  |05 43 41.2847004360 -41 47 38.021695476|247.6453817594004 -29.8146514313491|   2.915 10.181   |9.44     |A0V               |    ~     ~    
3290|HD 38432                                                                                                                                                                       |Star                                  |05 43 45.1200183240 -41 19 51.137303556|247.1249147887754 -29.7126498209384|    0.807 0.161   |10.01    |G8/K0             |    ~     ~    
3291|CD-41 2034                                                                                                                                                                     |Star                                  |05 43 56.4042845592 -41 55 36.976280844|247.8062424984726 -29.7941971268937|   1.935 22.049   |10.39    |F8                |    ~     ~    
3292|HD 38488                                                                                                                                                                       |Spectroscopic Binary                  |05 44 09.1574165472 -41 06 21.834256680|246.8886313507969 -29.5941179467377|   3.190 10.811   |8.57     |K2/3III           |    ~     ~    
3293|HD 38537                                                                                                                                                                       |Star                                  |05 44 33.8436162792 -41 19 27.057486000|247.1521534955784 -29.5618974280582| -10.647 -9.578   |9.86     |G3/5(V)           |    ~     ~    
3294|HD 38598                                                                                                                                                                       |Star                                  |05 44 54.0812712936 -41 55 04.567499328|247.8358591336574 -29.6170177587203|   -3.401 1.461   |9.39     |K1(III)           |    ~     ~    
3295|HD 38300                                                                                                                                                                       |Star                                  |05 42 39.6871974192 -41 56 33.663356412|247.7718622805103 -30.0306400248727|  6.082 -19.039   |9.53     |K0/2(III)         |    ~     ~    
3296|IRAS 05384-4106                                                                                                                                                                |Long-Period Variable Candidate        |05 40 04.9149460392 -41 05 12.027979284|246.6936043768579 -30.3424504160270|    2.466 4.516   |10.95    |~                 |    ~     ~    
3297|CD-40 2011                                                                                                                                                                     |Star                                  |05 39 46.8394909248 -40 45 00.246685068|246.2981843352310 -30.3337088575336|  3.123 -12.002   |9.80     |~                 |    ~     ~    
3298|CD-41 2007                                                                                                                                                                     |Star                                  |05 40 17.1512943096 -41 40 59.162713752|247.3809751122014 -30.4169612247417|   14.705 9.467   |10.14    |~                 |    ~     ~    
3299|CD-40 2028                                                                                                                                                                     |High Proper Motion Star               |05 41 55.4727927408 -40 11 25.920787056|245.7579715064571 -29.8230223084241| 25.324 112.648   |10.9     |~                 |    ~     ~    
3300|CD-41 2017                                                                                                                                                                     |Star                                  |05 41 59.4011757312 -40 59 24.079362360|246.6644217855138 -29.9707444879377|   0.379 -3.153   |10.499   |~                 |    ~     ~    
3301|CD-40 2062                                                                                                                                                                     |Star                                  |05 44 58.9946773296 -40 11 01.038799248|245.8894734059400 -29.2501292597822|    0.754 8.959   |10.10    |~                 |    ~     ~    
3302|CD-39 2100                                                                                                                                                                     |Star                                  |05 39 44.7490523136 -39 26 19.579818876|244.8098364362933 -30.0785558373536|   -1.981 9.682   |10.17    |~                 |    ~     ~    
3303|CD-39 2132                                                                                                                                                                     |Long-Period Variable                  |05 42 15.8683444176 -39 52 15.313812744|245.4130988066343 -29.6935988385227|   -0.006 5.851   |10.45    |~                 |    ~     ~    
3304|TYC 7597-1390-1                                                                                                                                                                |Star                                  |05 40 05.3081447904 -39 16 25.426617672|244.6391821113969 -29.9795765758201|   5.995 38.143   |10.85    |~                 |    ~     ~    
3305|TYC 7597-1445-1                                                                                                                                                                |Star                                  |05 44 04.7689174776 -39 20 21.994832292|244.9017927305379 -29.2391623210349|  19.015 16.105   |10.95    |~                 |    ~     ~    
3306|TYC 7600-180-1                                                                                                                                                                 |Star                                  |05 39 47.2923479856 -39 32 42.257653872|244.9320076941322 -30.0923898096518|  10.492 -1.130   |10.69    |~                 |    ~     ~    
3307|TYC 7600-196-1                                                                                                                                                                 |Star                                  |05 39 37.5302993904 -39 50 50.351194464|245.2668454195538 -30.1844836868437|   -4.435 3.826   |10.599   |~                 |    ~     ~    
3308|TYC 7600-419-1                                                                                                                                                                 |Star                                  |05 39 17.8415512056 -40 46 04.240200108|246.2979809870458 -30.4269392852046|   3.378 -0.019   |10.816   |~                 |    ~     ~    
3309|TYC 7600-458-1                                                                                                                                                                 |Star                                  |05 39 52.0900752984 -39 39 55.575059976|245.0718313243227 -30.1019256006796|   9.585 15.152   |10.38    |~                 |    ~     ~    
3310|TYC 7600-476-1                                                                                                                                                                 |Star                                  |05 39 34.5839596176 -40 07 16.716742644|245.5753138348265 -30.2485681127546|  3.761 -13.640   |10.814   |~                 |    ~     ~    
3311|TYC 7600-564-1                                                                                                                                                                 |Star                                  |05 39 58.9602446304 -40 03 24.847553628|245.5202398464960 -30.1595691815723|  -1.550 21.603   |10.54    |~                 |    ~     ~    
3312|TYC 7600-696-1                                                                                                                                                                 |Star                                  |05 37 49.8109497408 -40 15 51.894187812|245.6622231334331 -30.6036274264066|  7.848 -31.578   |10.423   |~                 |    ~     ~    
3313|TYC 7600-885-1                                                                                                                                                                 |Star                                  |05 39 43.4809302744 -41 04 15.231501840|246.6608059834193 -30.4055405395900|    5.745 0.700   |10.862   |~                 |    ~     ~    
3314|TYC 7600-1015-1                                                                                                                                                                |Star                                  |05 39 52.7789324424 -41 10 43.754973924|246.7900792680082 -30.3973429872755|  -4.182 -3.760   |10.82    |~                 |    ~     ~    
3315|TYC 7600-1158-1                                                                                                                                                                |Star                                  |05 39 18.7802765520 -40 02 02.133633012|245.4645559278901 -30.2805588794963|   2.541 -7.686   |10.92    |~                 |    ~     ~    
3316|TYC 7600-1234-1                                                                                                                                                                |High Proper Motion Star               |05 39 08.3872077768 -40 21 57.652179012|245.8341842926739 -30.3784914941963| -9.649 -60.434   |10.556   |~                 |    ~     ~    
3317|TYC 7601-133-1                                                                                                                                                                 |Star                                  |05 41 33.2071592496 -39 23 45.523730004|244.8454012400075 -29.7281789632174|  -3.130 -9.333   |10.63    |~                 |    ~     ~    
3318|TYC 7601-189-1                                                                                                                                                                 |Star                                  |05 40 46.2858220896 -39 53 28.456835496|245.3680729655914 -29.9780811336284|   4.476 30.950   |10.87    |~                 |    ~     ~    
3319|TYC 7601-254-1                                                                                                                                                                 |Star                                  |05 44 59.6082145032 -41 13 00.784320528|247.0499359277403 -29.4613483177426|   6.595 18.895   |10.754   |~                 |    ~     ~    
3320|TYC 7601-658-1                                                                                                                                                                 |Pulsating Variable                    |05 41 50.6759684712 -40 39 09.950640912|246.2765863435093 -29.9310442204304|    1.262 0.440   |10.851   |~                 |    ~     ~    
3321|TYC 7601-772-1                                                                                                                                                                 |Star                                  |05 40 14.1819772968 -39 57 54.149487876|245.4275049658157 -30.0935024806335|-26.041 -10.217   |10.825   |~                 |    ~     ~    
3322|CD-40 2059                                                                                                                                                                     |Spectroscopic Binary                  |05 44 29.0925347976 -40 05 41.933098932|245.7670951034823 -29.3245393791360|  1.440 -40.205   |10.32    |F2                |    ~     ~    
3323|TYC 7601-1004-1                                                                                                                                                                |Spectroscopic Binary                  |05 42 46.0215913680 -40 41 26.499131952|246.3597779491263 -29.7672636317648| -26.563 19.544   |10.992   |~                 |    ~     ~    
3324|TYC 7601-1061-1                                                                                                                                                                |Star                                  |05 44 24.9633735480 -40 43 48.589209156|246.4771344959489 -29.4692638859503|   3.676 15.365   |10.964   |~                 |    ~     ~    
3325|TYC 7601-1352-1                                                                                                                                                                |Star                                  |05 42 47.8246166952 -40 12 17.581595724|245.8134370439261 -29.6628753468783|  13.492 21.431   |10.51    |~                 |    ~     ~    
3326|TYC 7601-1435-1                                                                                                                                                                |Star                                  |05 43 14.4285450264 -40 28 40.652415228|246.1409077682403 -29.6361412985343|   0.279 -6.088   |10.68    |~                 |    ~     ~    
3327|TYC 7601-1490-1                                                                                                                                                                |Star                                  |05 43 07.5139314048 -40 05 45.733019316|245.7058323231791 -29.5790326705571|    2.083 9.160   |10.80    |~                 |    ~     ~    
3328|TYC 7604-1576-1                                                                                                                                                                |Star                                  |05 38 56.4328576248 -41 33 27.562337712|247.1840756631570 -30.6409822246162|    7.094 4.967   |10.392   |~                 |    ~     ~    
3329|CD-42 2048                                                                                                                                                                     |Spectroscopic Binary                  |05 38 00.3201974952 -42 19 35.252668560|248.0287161769427 -30.9490118624739|    3.797 9.341   |9.33     |K2Ba4             |    ~     ~    
3330|HD 37690                                                                                                                                                                       |Star                                  |05 38 17.8115591424 -42 36 33.964996248|248.3645255770718 -30.9447070999204|   -7.689 6.784   |9.878    |K1(III)           |    ~     ~    
3331|HD 37655                                                                                                                                                                       |Spectroscopic Binary                  |05 38 01.8758154744 -42 57 48.534425424|248.7620483567741 -31.0524775939155|110.259 274.132   |7.44     |G0V               |    ~     ~    
3332|HD 37691                                                                                                                                                                       |Star                                  |05 38 14.1244592304 -43 26 40.705639728|249.3233166349590 -31.0948805528157|  10.626 11.693   |8.76     |K2III             |    ~     ~    
3333|CD-43 1962                                                                                                                                                                     |Star                                  |05 38 57.3120918000 -43 17 50.066323764|249.1786655647448 -30.9416815593229|  -1.385 -1.460   |10.138   |~                 |    ~     ~    
3334|HD 37676                                                                                                                                                                       |Star                                  |05 38 13.0839212208 -44 05 24.847652580|250.0675016739304 -31.2005297213558|  37.094 24.839   |9.08     |F0IV/V            |    ~     ~    
3335|CD-44 2153                                                                                                                                                                     |High Proper Motion Star               |05 38 20.6196352680 -44 10 39.024479352|250.1723786646720 -31.1918148389679|114.077 133.213   |10.92    |~                 |    ~     ~    
3336|CD-42 2045                                                                                                                                                                     |Star                                  |05 37 45.4847519688 -42 36 21.107644308|248.3407366012663 -31.0417891867452|   -8.788 5.569   |10.71    |~                 |    ~     ~    
3337|CD-44 2149                                                                                                                                                                     |Star                                  |05 37 55.5012404520 -44 34 28.298836560|250.6180722261417 -31.3262270757171| 37.468 -18.934   |10.16    |~                 |    ~     ~    
3338|CD-42 2050                                                                                                                                                                     |Star                                  |05 38 12.8060184816 -42 12 34.465164084|247.9023453512722 -30.8907778836788|  0.877 -30.935   |10.741   |~                 |    ~     ~    
3339|CD-44 2163                                                                                                                                                                     |Star                                  |05 38 54.5494658808 -44 49 34.816419840|250.9399583966258 -31.1910281013762|  12.000 -2.151   |10.43    |~                 |    ~     ~    
3340|CD-42 2061                                                                                                                                                                     |Spectroscopic Binary                  |05 39 23.6964481704 -42 19 44.271395976|248.0838587248920 -30.6965672829308|  0.805 -22.819   |10.183   |F8                |    ~     ~    
3341|CD-42 2065                                                                                                                                                                     |Star                                  |05 39 46.3660326192 -42 40 22.568359800|248.4918653561286 -30.6883030418851|   4.946 27.181   |9.74     |G0                |    ~     ~    
3342|HD 37920                                                                                                                                                                       |Star                                  |05 39 47.6202519672 -42 53 31.988722344|248.7438311557061 -30.7224572755506|  -0.895 13.611   |8.69     |K0III+F/G         |    ~     ~    
3343|HD 37951                                                                                                                                                                       |Star                                  |05 40 04.9860590736 -42 12 05.669468928|247.9645332140123 -30.5486031512728|  1.238 -11.742   |10.12    |A9V               |    ~     ~    
3344|HD 38102                                                                                                                                                                       |Star                                  |05 41 09.0328210680 -42 34 41.307910176|248.4353984520453 -30.4221193990321| -9.685 -22.301   |10.03    |F5/7V             |    ~     ~    
3345|HD 38123                                                                                                                                                                       |Star                                  |05 41 25.1282250624 -42 16 24.052662120|248.0982759989137 -30.3184404766055|  -2.650 -2.926   |8.58     |K3III             |    ~     ~    
3346|HD 38227                                                                                                                                                                       |High Proper Motion Star               |05 42 09.1871008536 -42 29 29.901987600|248.3754000397850 -30.2248613491590|-12.900 -53.802   |10.09    |F8/G0V            |    ~     ~    
3347|HD 38354                                                                                                                                                                       |Star                                  |05 43 01.8339032040 -42 50 53.053602612|248.8147126933934 -30.1308896853846|    0.387 6.491   |8.78     |B8/9III           |    ~     ~    
3348|HD 38434                                                                                                                                                                       |Star                                  |05 43 39.994176 -42 10 52.33728        |248.082871303 -29.892460703        |     -1.4 -38.5   |9.778    |F6V               |    ~     ~    
3349|HD 38457                                                                                                                                                                       |Star                                  |05 43 53.5238221008 -42 09 42.716314944|248.0700906791233 -29.8477752377731| 31.620 -13.333   |9.44     |F5V               |    ~     ~    
3350|HD 37815                                                                                                                                                                       |Star                                  |05 39 04.2695937432 -43 44 19.584630888|249.6906755627248 -30.9931386778597|  7.123 -27.736   |8.67     |K2III             |    ~     ~    
3351|HD 37952                                                                                                                                                                       |Star                                  |05 39 56.8055771448 -43 28 48.114330240|249.4235040240088 -30.7943782503351|   -3.796 1.588   |8.81     |K3III             |    ~     ~    
3352|V* WY Pic                                                                                                                                                                      |Long-Period Variable                  |05 40 11.6116920960 -43 35 04.564616280|249.5521784094177 -30.7676510582302|   6.760 10.801   |8.09     |M2/3III           |    ~     ~    
3353|HD 38243                                                                                                                                                                       |Star                                  |05 42 08.8174994496 -43 30 29.920899456|249.5343003446669 -30.4058815724435|   7.444 27.529   |7.46     |K2III             |    ~     ~    
3354|CD-43 1993                                                                                                                                                                     |Star                                  |05 42 50.3314486968 -43 27 58.658077044|249.5115119539652 -30.2750061739399|  -4.029 -2.818   |9.20     |~                 |    ~     ~    
3355|HD 38326                                                                                                                                                                       |Star                                  |05 42 50.8974464640 -43 48 00.223796628|249.8926443767240 -30.3309082240323|   -0.756 2.071   |9.10     |A9III             |    ~     ~    
3356|CD-43 1999                                                                                                                                                                     |Star                                  |05 43 20.8258713480 -43 51 43.546531860|249.9812666820978 -30.2529019572508|    6.890 9.912   |9.77     |F5                |    ~     ~    
3357|CD-44 2174                                                                                                                                                                     |Spectroscopic Binary                  |05 40 12.4431553152 -44 31 46.523582904|250.6388981098414 -30.9175299913463| 23.837 -63.788   |10.35    |G0                |    ~     ~    
3358|HD 38409                                                                                                                                                                       |High Proper Motion Star               |05 43 18.4011022944 -44 32 43.450057068|250.7601157770984 -30.3749484145070|-49.823 -142.449  |9.83     |G3/5V             |    ~     ~    
3359|HD 38435                                                                                                                                                                       |Star                                  |05 43 32.8482703200 -44 38 10.339566216|250.8720928793651 -30.3476102682828|    2.281 4.490   |8.88     |K2III             |    ~     ~    
3360|HD 38446                                                                                                                                                                       |Star                                  |05 43 38.9777501232 -44 26 54.406850064|250.6610677128709 -30.2985766980016|  -21.797 5.714   |9.26     |G3III/IV          |    ~     ~    
3361|CD-44 2224                                                                                                                                                                     |Eclipsing Binary                      |05 44 41.8332558360 -44 23 07.585601244|250.6256437628013 -30.1035751756194| 6.784 -104.029   |10.46    |G9IV              |    ~     ~    
3362|CD-44 2164                                                                                                                                                                     |Star                                  |05 39 04.5155555568 -44 06 38.177332596|250.1191500514509 -31.0517245645112|   4.355 11.126   |10.687   |~                 |    ~     ~    
3363|CD-42 2069                                                                                                                                                                     |Star                                  |05 39 56.1984515928 -42 42 45.209290680|248.5433259861382 -30.6655479969495|  -0.250 18.247   |9.90     |~                 |    ~     ~    
3364|CD-42 2077                                                                                                                                                                     |Star                                  |05 41 03.3872311872 -42 06 58.534591356|247.9051266804397 -30.3557453327032|   -8.512 2.509   |10.645   |~                 |    ~     ~    
3365|CD-42 2078                                                                                                                                                                     |Spectroscopic Binary                  |05 41 08.4423445896 -42 11 24.414527004|247.9925807444398 -30.3538811992746|  -6.128 -5.088   |10.813   |~                 |    ~     ~    
3366|CD-43 1985                                                                                                                                                                     |Star                                  |05 41 39.3267326568 -43 49 43.444103880|249.8832034838271 -30.5478424498646|   1.250 -3.559   |9.50     |~                 |    ~     ~    
3367|CD-43 1989                                                                                                                                                                     |Star                                  |05 42 29.9823828264 -43 28 53.701327596|249.5165778431843 -30.3382558272994| -17.698 20.309   |10.18    |~                 |    ~     ~    
3368|CD-43 2008                                                                                                                                                                     |Star                                  |05 44 41.5417940496 -43 31 37.392526020|249.6491640788132 -29.9548446813075|   -5.715 4.810   |9.89     |~                 |    ~     ~    
3369|CD-44 2223                                                                                                                                                                     |Star                                  |05 44 42.3951806640 -44 03 51.088063860|250.2602586054625 -30.0467762315333|  -12.438 8.374   |10.30    |~                 |    ~     ~    
3370|TYC 7608-340-1                                                                                                                                                                 |Star                                  |05 39 01.9559464704 -44 24 28.502344188|250.4606478786903 -31.1056617944956|  -2.195 -2.235   |10.951   |~                 |    ~     ~    
3371|CD-42 2058                                                                                                                                                                     |Star                                  |05 39 05.6136724104 -42 05 49.237237140|247.8068553342423 -30.7103578019377|  -2.767 -1.998   |10.467   |~                 |    ~     ~    
3372|CD-42 2064                                                                                                                                                                     |Star                                  |05 39 40.5496546704 -42 46 50.740790412|248.6117842529667 -30.7245320295250|    6.979 5.542   |10.800   |~                 |    ~     ~    
3373|CD-44 2168                                                                                                                                                                     |Star                                  |05 39 43.0740664080 -44 15 43.715131560|250.3149386446545 -30.9618609142028|   9.654 27.497   |10.336   |~                 |    ~     ~    
3374|CD-42 2068                                                                                                                                                                     |Star                                  |05 39 54.9437842560 -42 22 31.591103736|248.1568266416323 -30.6100931894471|   -2.314 0.579   |9.60     |~                 |    ~     ~    
3375|CD-42 2067                                                                                                                                                                     |Star                                  |05 39 55.0989111600 -42 32 01.918006476|248.3381310794995 -30.6376040983239|  -1.097 -3.496   |10.95    |~                 |    ~     ~    
3376|CD-44 2178                                                                                                                                                                     |Star                                  |05 40 29.5597583184 -44 29 11.641727976|250.5986932425530 -30.8605438076475|   -4.228 1.975   |10.711   |~                 |    ~     ~    
3377|CD-42 2082                                                                                                                                                                     |Star                                  |05 41 26.4334926096 -42 50 41.641813572|248.7507960517586 -30.4170713415441|    1.785 9.769   |10.641   |~                 |    ~     ~    
3378|CD-44 2188                                                                                                                                                                     |Star                                  |05 41 29.2507474824 -44 19 11.446316760|250.4402235160965 -30.6584918525450|   3.756 19.017   |10.903   |~                 |    ~     ~    
3379|CD-42 2084                                                                                                                                                                     |Star                                  |05 41 50.6127734232 -42 20 47.677266636|248.1982468670974 -30.2545925102465|   4.960 31.073   |10.834   |~                 |    ~     ~    
3380|CD-44 2199                                                                                                                                                                     |Star                                  |05 42 46.9349212632 -44 30 02.223345456|250.6910861288477 -30.4598010686244|  -4.063 18.885   |10.86    |~                 |    ~     ~    
3381|CD-43 2004                                                                                                                                                                     |Star                                  |05 44 00.2760573672 -43 30 03.057041052|249.5937972960365 -30.0728972217840|  -7.240 -1.363   |9.83     |~                 |    ~     ~    
3382|CD-43 2011                                                                                                                                                                     |Star                                  |05 44 59.5011283896 -43 18 02.636471700|249.4036197055329 -29.8606481191831|  -3.233 13.604   |10.44    |~                 |    ~     ~    
3383|CD-44 2189                                                                                                                                                                     |Star                                  |05 41 29.0055088032 -44 53 51.419858748|251.1035046743632 -30.7511390650365|   -2.186 1.123   |10.46    |~                 |    ~     ~    
3384|CD-43 1996                                                                                                                                                                     |Star                                  |05 42 56.0781771216 -43 47 08.802308832|249.8794289765227 -30.3131123564408|    7.073 4.182   |10.75    |~                 |    ~     ~    
3385|TYC 7605-277-1                                                                                                                                                                 |Star                                  |05 41 58.6447803912 -43 04 03.981517824|249.0251889278398 -30.3596630833216|   -1.311 7.171   |10.733   |~                 |    ~     ~    
3386|TYC 7609-69-1                                                                                                                                                                  |Star                                  |05 42 40.4218741536 -43 19 34.516823088|249.3457780011526 -30.2800910957990| -10.074 -8.460   |10.519   |~                 |    ~     ~    
3387|TYC 7609-93-1                                                                                                                                                                  |Star                                  |05 44 22.2517555224 -43 18 44.245936800|249.3932060194100 -29.9738210126493| 24.705 -41.479   |10.884   |~                 |    ~     ~    
3388|TYC 7609-944-1                                                                                                                                                                 |High Proper Motion Star               |05 44 47.0947851576 -44 10 05.381791212|250.3813718992067 -30.0509002555098|  14.201 48.771   |10.45    |~                 |    ~     ~    
3389|TYC 7609-1081-1                                                                                                                                                                |Star                                  |05 43 25.0653084864 -44 08 18.560306040|250.2991219349807 -30.2874588740663|   8.619 33.973   |10.82    |~                 |    ~     ~    
3390|CD-45 2094                                                                                                                                                                     |Star                                  |05 38 49.1563284552 -45 21 14.699484036|251.5477609806721 -31.2842722146248| -10.430 35.260   |9.35     |~                 |    ~     ~    
3391|HD 38172                                                                                                                                                                       |Star                                  |05 41 39.6251982624 -44 55 36.406355988|251.1427150161115 -30.7247451988026|   0.482 -2.242   |8.02     |K3/4III           |    ~     ~    
3392|CD-45 2098                                                                                                                                                                     |Spectroscopic Binary                  |05 39 14.1809636136 -45 33 28.831554036|251.7961425368753 -31.2411771183631|    9.251 8.342   |9.52     |~                 |    ~     ~    
3393|HD 38027                                                                                                                                                                       |Star                                  |05 40 29.8239508032 -45 44 23.268144516|252.0433997815096 -31.0493208500824|   23.254 8.172   |8.74     |G8III             |    ~     ~    
3394|CD-45 2115                                                                                                                                                                     |Star                                  |05 41 12.7089623688 -45 44 13.893638568|252.0616125952162 -30.9255625448266|  -1.127 13.104   |9.838    |F8                |    ~     ~    
3395|TYC 8087-409-1                                                                                                                                                                 |Star                                  |05 41 14.7940201848 -45 16 55.268277996|251.5382096104382 -30.8516074163537| -9.740 -11.624   |10.735   |~                 |    ~     ~    
3396|HD 38343                                                                                                                                                                       |Star                                  |05 42 50.5856433264 -45 14 07.760083776|251.5350863489799 -30.5668420662576|   -4.944 4.947   |7.63     |B9IV              |    ~     ~    
3397|HD 38458                                                                                                                                                                       |High Proper Motion Star               |05 43 41.1396744600 -45 49 58.319206032|252.2468387910960 -30.5134897517719|  25.317 96.615   |6.364    |A9V               |    ~     ~    
3398|HD 38468                                                                                                                                                                       |Spectroscopic Binary                  |05 43 42.9585115224 -45 37 16.139959140|252.0050124602879 -30.4756584356217|   6.512 33.844   |7.92     |K0                |    ~     ~    
3399|CD-45 2133                                                                                                                                                                     |Star                                  |05 43 44.9895274104 -45 44 29.267323368|252.1440041257831 -30.4884112131014|  -6.970 10.373   |8.71     |M0                |    ~     ~    
3400|HD 37706                                                                                                                                                                       |Double or Multiple Star               |05 38 09.39036 -46 06 21.7432          |252.40123582 -31.50349978          |-126.12 -466.21   |7.33     |G9V+K5V           |    ~     ~    
3401|HD 37636                                                                                                                                                                       |Star                                  |05 37 27.7257289992 -47 12 04.130644032|253.6590802119368 -31.7613871428470|   -5.345 4.305   |7.55     |G8III             |    ~     ~    
3402|CD-47 1958                                                                                                                                                                     |Star                                  |05 38 11.5618761192 -47 34 06.622553532|254.1052719142955 -31.6826498628273|-13.682 -18.017   |9.09     |K7                |    ~     ~    
3403|CD-46 1949                                                                                                                                                                     |Star                                  |05 39 48.1241723256 -46 30 48.868594452|252.9191028455562 -31.2767628710299| 19.162 -22.898   |10.13    |~                 |    ~     ~    
3404|CD-46 1955                                                                                                                                                                     |Star                                  |05 41 05.6046345528 -46 08 41.542258236|252.5285830492625 -31.0048897270804| 24.654 -19.367   |10.001   |~                 |    ~     ~    
3405|HD 38568                                                                                                                                                                       |Star                                  |05 44 23.4531477600 -46 12 40.827542940|252.7025001608755 -30.4500137864626|  -5.192 15.702   |8.59     |K2III             |    ~     ~    
