C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1721|HD 210332                                                                                                                                   |Star                                  |22 15 16.6416918840 -79 21 10.469388708|311.1153711788243 -35.1591653188390| 15.153 -11.305   |8.95     |K2III          |    ~     ~    |    1|  416.927   pc  |  -2.1555     +2.1555  |paral   |2020yCat.1350....0G
1722|HD 210786                                                                                                                                   |Star                                  |22 17 42.3988219464 -78 25 50.692006668|311.7860382383832 -35.9116315598265| 14.180 -13.846   |8.54     |K0IIICNII      |    ~     ~    |    1|  442.517   pc  |  -3.0744     +3.0744  |paral   |2020yCat.1350....0G
1723|HD 211134                                                                                                                                   |Star                                  |22 20 18.7099496328 -79 17 41.308757088|310.9534376461575 -35.3598064482184|  -0.721 -4.293   |8.38     |A3V            |    ~     ~    |    1|  337.654   pc  |  -5.7550     +5.7550  |ST-L    |2020AJ....160...83S
1724|HD 211282                                                                                                                                   |Star                                  |22 21 22.6802056872 -79 15 29.358476064|310.9380820459135 -35.4201921621269| 32.988 -11.592   |9.27     |K5/M0(III)     |    ~     ~    |    1|  726.639   pc  |  -7.0224     +7.0224  |paral   |2020yCat.1350....0G
1725|HD 211714                                                                                                                                   |Spectroscopic Binary                  |22 24 08.4598877616 -79 12 25.956200520|310.8603837119757 -35.5436629151384|  18.677 -2.387   |8.90     |A5IV           |    ~     ~    |    1|  182.538   pc  |  -2.7970     +2.7970  |ST-L    |2020AJ....160...83S
1726|CD-79 892                                                                                                                                   |Star                                  |22 25 15.3282550032 -78 22 55.160730480|311.4781852910996 -36.2019240646775| 38.147 -27.333   |10.34    |G5             |    ~     ~    |    1|  129.016   pc  |  -0.8438     +0.8438  |ST-L    |2020AJ....160...83S
1727|HD 212182                                                                                                                                   |Star                                  |22 26 53.8290442488 -78 31 36.718664808|311.2838886816865 -36.1459109991610|  11.141 13.247   |8.60     |A3V            |    ~     ~    |    1|  294.882   pc  |  -5.5110     +5.5110  |ST-L    |2020AJ....160...83S
1728|CD-80 813                                                                                                                                   |Star                                  |22 15 33.8016670728 -79 44 32.693791704|310.7784930589497 -34.8838956131620|   8.814 -8.474   |10.556   |F5             |    ~     ~    |    1|  488.137   pc  | -11.1900    +11.1900  |ST-L    |2020AJ....160...83S
1729|HD 212264                                                                                                                                   |Star                                  |22 28 03.2324533656 -79 39 33.647617836|310.3334557152246 -35.3150911546346|   0.011 -1.640   |8.96     |K1/2(III)      |    ~     ~    |    1|  374.280   pc  |  -3.2360     +3.2360  |paral   |2020yCat.1350....0G
1730|CD-80 814                                                                                                                                   |Star                                  |22 17 27.1589144376 -80 04 42.377736900|310.4270123115807 -34.6930213182820|  11.750 -9.614   |10.707   |F0             |    ~     ~    |    1|  379.910   pc  |  -7.7150     +7.7150  |ST-L    |2020AJ....160...83S
1731|HD 210713                                                                                                                                   |Star                                  |22 18 10.7277895440 -80 13 44.563252440|310.2760328578515 -34.6023614474750|  -22.313 0.490   |8.84     |K2III          |    ~     ~    |    1|  221.946   pc  |  -1.5862     +1.5862  |paral   |2020yCat.1350....0G
1732|HD 210799                                                                                                                                   |Star                                  |22 18 29.9160355584 -79 52 07.875873372|310.5576299032618 -34.8787357304125|   13.492 8.069   |10.191   |F7/G0          |    ~     ~    |    1|  246.814   pc  |  -3.3490     +3.3490  |ST-L    |2020AJ....160...83S
1733|TYC 9483-26-1                                                                                                                               |Star                                  |22 25 40.2447828096 -79 22 06.859583076|310.6648935221818 -35.4677359849442|  6.972 -13.520   |10.335   |~              |    ~     ~    |    1|  656.105   pc  | -20.1700    +20.1700  |ST-L    |2020AJ....160...83S
1734|CD-79 894                                                                                                                                   |Star                                  |22 28 31.1181761112 -78 54 51.007833288|310.8997926756282 -35.9013970763934|  7.209 -10.193   |10.176   |~              |    ~     ~    |    1|  839.170   pc  | -35.0400    +35.0400  |ST-L    |2020AJ....160...83S
1735|TYC 9479-110-1                                                                                                                              |Star                                  |22 25 37.3269575160 -77 56 23.306226720|311.8216751424211 -36.5474554660475|   2.115 -0.045   |10.972   |~              |    ~     ~    |    1|  311.228   pc  |  -4.4100     +4.4100  |ST-L    |2020AJ....160...83S
1736|TYC 9479-549-1                                                                                                                              |High Proper Motion Star               |22 17 45.2668751808 -78 37 19.076689452|311.6229335614161 -35.7734702639696| 42.244 -33.320   |10.17    |~              |    ~     ~    |    1|  511.587   pc  |  -4.0567     +4.0567  |paral   |2020yCat.1350....0G
1737|TYC 9479-785-1                                                                                                                              |Star                                  |22 29 12.1966638936 -78 36 42.609862440|311.1078911358520 -36.1547628526161|   15.511 6.473   |10.73    |~              |    ~     ~    |    1|  130.781   pc  |  -0.8389     +0.8389  |ST-L    |2020AJ....160...83S
1738|TYC 9479-950-1                                                                                                                              |Star                                  |22 17 26.0605449792 -77 55 01.287336360|312.2342018761851 -36.2762721151453| 34.153 -18.643   |10.792   |~              |    ~     ~    |    1|  192.587   pc  |  -1.8800     +1.8800  |ST-L    |2020AJ....160...83S
1739|TYC 9479-1001-1                                                                                                                             |Star                                  |22 26 37.3188953760 -78 42 26.557762788|311.1515255632588 -35.9998879206495|    1.429 0.167   |10.712   |~              |    ~     ~    |    1| 1281.820   pc  | -69.2300    +69.2300  |ST-L    |2020AJ....160...83S
1740|TYC 9483-205-1                                                                                                                              |Star                                  |22 16 52.0506298824 -79 29 50.494292592|310.9296248313490 -35.1033810564765|   44.986 7.708   |10.873   |~              |    ~     ~    |    1|  289.156   pc  |  -4.1770     +4.1770  |ST-L    |2020AJ....160...83S
1741|TYC 9483-374-1                                                                                                                              |Star                                  |22 19 45.8106346200 -79 30 59.345849484|310.7947798803688 -35.1781578566257| 21.006 -12.722   |10.783   |~              |    ~     ~    |    1|  216.188   pc  |  -2.4290     +2.4290  |ST-L    |2020AJ....160...83S
1742|TYC 9487-647-1                                                                                                                              |Star                                  |22 23 44.5642368000 -80 38 20.624638092|309.7369656745730 -34.4465692676455|  6.849 -12.335   |10.29    |~              |    ~     ~    |    1|  606.023   pc  | -15.7000    +15.7000  |ST-L    |2020AJ....160...83S
1743|* psi Oct                                                                                                                                   |Star                                  |22 17 50.5954347336 -77 30 41.598735084|312.5612204608902 -36.5855480289465| -37.392 13.788   |5.472    |F0IIp          |    ~     ~    |    1|   38.824   pc  |  -0.0761     +0.0761  |paral   |2020yCat.1350....0G
1744|CD-78 1008                                                                                                                                  |Spectroscopic Binary                  |22 18 29.0874971760 -77 34 38.975042388|312.4735101702050 -36.5614099545046| -1.566 -51.470   |9.60     |K0             |    ~     ~    |    1|  421.585   pc  |  -3.6258     +3.6258  |paral   |2020yCat.1350....0G
1745|HD 211318                                                                                                                                   |Spectroscopic Binary                  |22 20 43.8606143688 -77 25 48.287964468|312.4881754694023 -36.7520808747506| 84.385 -59.745   |9.13     |A7V            |    ~     ~    |    1|  165.523   pc  |  -1.3500     +1.3500  |ST-L    |2020AJ....160...83S
1746|HD 212301                                                                                                                                   |High Proper Motion Star               |22 27 30.9220205424 -77 43 04.526779008|311.9090602941963 -36.7804271345764| 76.782 -92.412   |7.76     |F8V            |    ~     ~    |    1|   54.098   pc  |  -0.0518     +0.0518  |paral   |2020yCat.1350....0G
1747|HD 212555                                                                                                                                   |Spectroscopic Binary                  |22 29 22.4830032024 -77 46 38.882585604|311.7671019060322 -36.7991882273504|  54.177 -4.437   |9.69     |G8(III)        |    ~     ~    |    1|  531.204   pc  | -14.8300    +14.8300  |ST-L    |2020AJ....160...83S
1748|TYC 9475-173-1                                                                                                                              |Star                                  |22 21 45.5734486800 -76 42 24.830219808|313.0508629610971 -37.3217815681087|  19.121 35.417   |10.447   |~              |    ~     ~    |    1|  147.831   pc  |  -1.1310     +1.1310  |ST-L    |2020AJ....160...83S
1749|HD 211809                                                                                                                                   |Star                                  |22 23 55.7685717600 -76 51 11.385341316|312.8116222239582 -37.2977924334312|  34.050 -9.027   |8.23     |K0III          |    ~     ~    |    1|  244.829   pc  |  -3.3740     +3.3740  |ST-L    |2020AJ....160...83S
1750|HD 212246                                                                                                                                   |Star                                  |22 26 37.4803585488 -76 27 08.476362648|313.0031134246472 -37.6999820225307|   -2.293 7.121   |9.988    |A9III/IV       |    ~     ~    |    1|  392.345   pc  |  -8.0380     +8.0380  |ST-L    |2020AJ....160...83S
1751|CD-77 1119                                                                                                                                  |Star                                  |22 28 06.3882648432 -76 44 41.727945768|312.6777016456251 -37.5371014651336|  16.992 -6.650   |10.90    |~              |    ~     ~    |    1|  273.215   pc  |  -5.2810     +5.2810  |ST-L    |2020AJ....160...83S
1752|CD-77 1112                                                                                                                                  |Star                                  |22 21 41.1379848984 -77 09 27.801988956|312.6708151070618 -36.9878457470021|   5.254 -7.532   |10.241   |~              |    ~     ~    |    1|  659.386   pc  | -20.8900    +20.8900  |ST-L    |2020AJ....160...83S
1753|CD-77 1114                                                                                                                                  |Star                                  |22 22 42.3142548984 -77 17 27.161907684|312.5062799318612 -36.9276667144071| -7.550 -13.550   |10.070   |~              |    ~     ~    |    1|  476.930   pc  | -12.7700    +12.7700  |ST-L    |2020AJ....160...83S
1754|CD-77 1118                                                                                                                                  |Star                                  |22 27 35.8905810096 -77 00 54.343220796|312.4815374069880 -37.3144890669667|-14.428 -15.849   |10.601   |~              |    ~     ~    |    1|  428.225   pc  |  -8.6470     +8.6470  |ST-L    |2020AJ....160...83S
1755|TYC 9479-819-1                                                                                                                              |Star                                  |22 29 49.5562582752 -77 15 30.162004992|312.1640653692223 -37.2109586637411| 30.860 -16.910   |10.78    |~              |    ~     ~    |    1|  252.298   pc  |  -3.2200     +3.2200  |ST-L    |2020AJ....160...83S
1756|TYC 9479-159-1                                                                                                                              |Star                                  |22 20 55.6891844088 -76 59 20.450270400|312.8533131390635 -37.0828935165985|   11.626 4.182   |10.889   |~              |    ~     ~    |    1|  901.462   pc  | -32.3600    +32.3600  |ST-L    |2020AJ....160...83S
1757|HD 210530                                                                                                                                   |Star                                  |22 15 29.6718196488 -77 09 12.488178312|312.9865294571994 -36.7541578977447| -19.928 24.260   |9.98     |G6/8           |    ~     ~    |    1|   83.198   pc  |  -0.3342     +0.3342  |ST-L    |2020AJ....160...83S
1758|HD 210921                                                                                                                                   |Star                                  |22 17 24.6332710512 -74 57 00.305071092|314.8372727268460 -38.4025737628235|  -2.702 20.467   |8.80     |K1/2III        |    ~     ~    |    1|  355.720   pc  |  -1.8221     +1.8221  |paral   |2020yCat.1350....0G
1759|V* DN Oct                                                                                                                                   |Long-Period Variable                  |22 21 12.1921383648 -74 58 03.266298660|314.5972929579226 -38.5624506061426|   9.485 -5.009   |7.34     |M3III          |    ~     ~    |    1|  455.747   pc  |  -4.8811     +4.8811  |paral   |2020yCat.1350....0G
1760|HD 212167                                                                                                                                   |Star                                  |22 25 42.1827064824 -74 43 14.561524704|314.5405231637494 -38.9438652547841| -31.276 -0.577   |8.88     |F6V            |    ~     ~    |    1|  140.491   pc  |  -0.9687     +0.9687  |ST-L    |2020AJ....160...83S
1761|HD 212168                                                                                                                                   |High Proper Motion Star               |22 25 51.1550444400 -75 00 56.476290528|314.2744482321288 -38.7337363859887|  57.385 12.835   |6.119    |G0V            |    ~     ~    |    1|   23.407   pc  |  -0.0107     +0.0107  |paral   |2020yCat.1350....0G
1762|CPD-75 1748B                                                                                                                                |High Proper Motion Star               |22 25 56.5495411272 -75 00 52.343688132|314.2699595592015 -38.7385149964088|  33.330 -3.785   |8.73     |~              |    ~     ~    |    1|   23.424   pc  |  -0.1360     +0.1360  |paral   |2020yCat.1350....0G
1763|CD-76 1127                                                                                                                                  |Star                                  |22 24 05.5665767088 -75 24 39.842332524|314.0367300537582 -38.3671734593813|   -4.075 5.610   |9.72     |~              |    ~     ~    |    1| 1027.432   pc  | -13.3008    +13.3008  |paral   |2020yCat.1350....0G
1764|CD-76 1128                                                                                                                                  |Star                                  |22 26 19.9903173120 -75 44 24.162862272|313.6225344240316 -38.2188085097710|    2.169 5.455   |10.337   |K0             |    ~     ~    |    1|  632.423   pc  | -15.9100    +15.9100  |ST-L    |2020AJ....160...83S
1765|CD-76 1125                                                                                                                                  |Star                                  |22 21 19.2540953376 -75 57 40.674251664|313.7176551807116 -37.8484602717333|   0.636 -1.288   |10.276   |K0             |    ~     ~    |    1|  623.046   pc  | -16.1500    +16.1500  |ST-L    |2020AJ....160...83S
1766|HD 211901                                                                                                                                   |Star                                  |22 24 10.9531845696 -75 47 30.155891136|313.7024610757483 -38.0915445039689|  19.416 -6.915   |9.42     |K2             |    ~     ~    |    1|  800.576   pc  |  -9.1652     +9.1652  |paral   |2020yCat.1350....0G
1767|CD-76 1129                                                                                                                                  |Star                                  |22 26 25.9718075640 -75 46 30.395471844|313.5868449379669 -38.1968843394865|  15.553 -3.513   |9.78     |~              |    ~     ~    |    1|  534.318   pc  | -14.0600    +14.0600  |ST-L    |2020AJ....160...83S
1768|CD-77 1108                                                                                                                                  |Star                                  |22 15 01.2851731128 -76 56 11.400989532|313.1999992510667 -36.8904582921390| 11.886 -20.152   |9.53     |~              |    ~     ~    |    1|  623.830   pc  |  -5.0591     +5.0591  |paral   |2020yCat.1350....0G
1769|HD 211225                                                                                                                                   |High Proper Motion Star               |22 19 54.4036486656 -76 29 41.659885212|313.3318152894234 -37.4030021974015|114.240 -34.668   |8.43     |G0V            |    ~     ~    |    1|   66.795   pc  |  -0.2507     +0.2507  |ST-L    |2020AJ....160...83S
1770|CD-77 1115                                                                                                                                  |Star                                  |22 22 25.0871096136 -76 27 19.322256816|313.2308650103847 -37.5322427875025|   3.743 11.392   |10.412   |~              |    ~     ~    |    1|  398.116   pc  | -27.7700    +27.7700  |ST-L    |2020AJ....160...83S
1771|TYC 9475-1301-1                                                                                                                             |Star                                  |22 15 43.0825779168 -75 57 30.438464472|314.0285206797464 -37.6138757719120|  11.892 -6.460   |10.811   |~              |    ~     ~    |    1| 1190.520   pc  | -71.1600    +71.1600  |ST-L    |2020AJ....160...83S
1772|TYC 9475-741-1                                                                                                                              |Star                                  |22 17 14.1253007424 -76 25 16.419468396|313.5379462479785 -37.3477868968381|   8.488 -2.267   |10.28    |~              |    ~     ~    |    1| 1716.738   pc  | -63.3646    +63.3646  |paral   |2020yCat.1350....0G
1773|TYC 9475-119-1                                                                                                                              |Star                                  |22 18 28.2973535544 -76 44 37.285955916|313.1917516753618 -37.1655823480154|  23.728 -7.398   |10.468   |~              |    ~     ~    |    1|  988.097   pc  | -51.3400    +51.3400  |ST-L    |2020AJ....160...83S
1774|TYC 9475-167-1                                                                                                                              |Star                                  |22 21 11.9056047048 -76 35 47.690480868|313.1752431373572 -37.3804553735527|   3.293 -0.089   |10.805   |~              |    ~     ~    |    1|  935.946   pc  | -33.0800    +33.0800  |ST-L    |2020AJ....160...83S
1775|CD-75 1239                                                                                                                                  |Star                                  |22 21 24.4067458824 -75 19 05.906067600|314.2752896929688 -38.3183723525008|  19.676 -0.183   |10.417   |~              |    ~     ~    |    1|  708.358   pc  | -20.7500    +20.7500  |ST-L    |2020AJ....160...83S
1776|GSPC S 48-B                                                                                                                                 |Star                                  |22 17 24.4 -74 57 02                   |314.8371 -38.4021                  |            ~ ~   |8.84     |~              |    ~     ~    |    0|                |                       |        |                   
1777|TYC 9336-259-1                                                                                                                              |Star                                  |22 20 24.1233943632 -74 44 54.500667468|314.8405594164541 -38.6833672268076|  9.718 -22.204   |10.707   |~              |    ~     ~    |    1|  203.109   pc  |  -2.0490     +2.0490  |ST-L    |2020AJ....160...83S
1778|TYC 9336-970-1                                                                                                                              |Star                                  |22 16 04.4417323464 -74 07 57.471218256|315.6629052812878 -38.9129582505284| 20.020 -18.179   |10.093   |~              |    ~     ~    |    1|  629.131   pc  | -16.9000    +16.9000  |ST-L    |2020AJ....160...83S
1779|TYC 9336-29-1                                                                                                                               |High Proper Motion Star               |22 18 53.3752057896 -74 26 13.985456388|315.2124731573038 -38.8345700184969| 22.442 -50.586   |9.939    |~              |    ~     ~    |    1|  292.633   pc  |  -4.5150     +4.5150  |ST-L    |2020AJ....160...83S
1780|CD-74 1492                                                                                                                                  |High Proper Motion Star               |22 24 10.4231739720 -74 18 36.231200316|314.9980556238371 -39.1737127487793|  68.896 -7.957   |10.013   |~              |    ~     ~    |    1|  255.363   pc  |  -3.2950     +3.2950  |ST-L    |2020AJ....160...83S
1781|CPD-72 2672                                                                                                                                 |Star                                  |22 15 13.1300336880 -71 31 36.515666604|318.1888476924310 -40.6529163202523| 27.604 -12.811   |10.493   |~              |    ~     ~    |    1|  745.711   pc  | -21.2900    +21.2900  |ST-L    |2020AJ....160...83S
1782|HD 211028                                                                                                                                   |Star                                  |22 17 17.4385081368 -71 29 57.346985256|318.0688289989722 -40.7924111039915|   -7.665 9.652   |9.56     |G6/K0          |    ~     ~    |    1|  616.979   pc  |  -4.6060     +4.6060  |paral   |2020yCat.1350....0G
1783|HD 211091                                                                                                                                   |Spectroscopic Binary                  |22 17 50.4975652896 -71 58 22.324838664|317.5744557174356 -40.5000697130066| 26.520 -12.777   |9.60     |F7V            |    ~     ~    |    1|  253.608   pc  |  -3.8526     +3.8526  |paral   |2020yCat.1350....0G
1784|HD 211122                                                                                                                                   |High Proper Motion Star               |22 18 13.2725128224 -72 20 14.793842472|317.2011596808480 -40.2700475540605|225.989 -112.057  |9.94     |G6V            |    ~     ~    |    1|   77.097   pc  |  -0.2948     +0.2948  |ST-L    |2020AJ....160...83S
1785|HD 211334                                                                                                                                   |Spectroscopic Binary                  |22 19 27.2767455216 -72 16 55.361970264|317.1684057416327 -40.3759945471477| 55.126 -26.771   |9.94     |G5(V)          |    ~     ~    |    1|  121.197   pc  |  -0.7623     +0.7623  |paral   |2020yCat.1350....0G
1786|HD 211373                                                                                                                                   |Spectroscopic Binary                  |22 19 40.7758618464 -72 21 01.828600596|317.0882542143455 -40.3406563966480| -13.300 20.079   |9.61     |F5V            |    ~     ~    |    1|  186.592   pc  |  -2.2665     +2.2665  |paral   |2020yCat.1350....0G
1787|HD 211428                                                                                                                                   |Star                                  |22 20 04.4212425000 -72 16 35.592868020|317.1305393943634 -40.4136461604835|   29.476 4.622   |9.15     |G8/K0III       |    ~     ~    |    1|  450.187   pc  |  -2.6955     +2.6955  |paral   |2020yCat.1350....0G
1788|HD 211944                                                                                                                                   |Star                                  |22 23 35.9176419720 -71 45 17.535594420|317.3694137322135 -40.9734365019867| -0.280 -35.917   |9.20     |K2/3(III)      |    ~     ~    |    1|  635.970   pc  |  -5.4602     +5.4602  |paral   |2020yCat.1350....0G
1789|CD-72 1743                                                                                                                                  |Star                                  |22 24 29.2037634024 -71 50 10.285322568|317.2283055991136 -40.9649464836671|   14.370 3.481   |10.212   |~              |    ~     ~    |    1|  376.403   pc  |  -7.2250     +7.2250  |ST-L    |2020AJ....160...83S
1790|CPD-73 2250                                                                                                                                 |Star                                  |22 23 21.0341606232 -72 38 37.358090808|316.5601672256075 -40.3304253082843|   35.823 8.374   |10.14    |~              |    ~     ~    |    1|  684.088   pc  |  -5.2413     +5.2413  |paral   |2020yCat.1350....0G
1791|CD-73 1601                                                                                                                                  |Star                                  |22 23 37.3891245576 -73 15 54.654188076|315.9725060735856 -39.9007067231363|   -3.388 8.117   |9.99     |~              |    ~     ~    |    1|  697.593   pc  |  -5.4017     +5.4017  |paral   |2020yCat.1350....0G
1792|HD 211920                                                                                                                                   |Star                                  |22 23 39.2557002264 -72 48 14.801770548|316.3915494516219 -40.2319882033728| 18.874 -20.028   |8.39     |A2IV/V         |    ~     ~    |    1|  215.587   pc  |  -1.1294     +1.1294  |paral   |2020yCat.1350....0G
1793|HD 211931                                                                                                                                   |Star                                  |22 23 43.5253691808 -72 48 13.744393488|316.3869027557571 -40.2358824929703| 17.604 -20.732   |7.96     |A1V            |    ~     ~    |    1|  213.265   pc  |  -1.0961     +1.0961  |paral   |2020yCat.1350....0G
1794|CD-73 1604                                                                                                                                  |Spectroscopic Binary                  |22 24 29.5760942904 -72 50 12.429400272|316.3036135233073 -40.2519194046317|  6.674 -29.183   |9.37     |~              |    ~     ~    |    1|  553.097   pc  |  -4.0075     +4.0075  |paral   |2020yCat.1350....0G
1795|CD-73 1605                                                                                                                                  |Star                                  |22 25 02.5064470824 -72 54 02.276294580|316.2073684604439 -40.2342336752636|  13.846 -9.931   |9.52     |~              |    ~     ~    |    1|  713.165   pc  |  -6.3067     +6.3067  |paral   |2020yCat.1350....0G
1796|CD-73 1606                                                                                                                                  |Star                                  |22 26 03.5526656640 -72 37 56.388457380|316.3806291359290 -40.4796578237273|  -6.817 -5.968   |9.43     |~              |    ~     ~    |    1|  737.028   pc  |  -6.5185     +6.5185  |paral   |2020yCat.1350....0G
1797|HD 212286                                                                                                                                   |High Proper Motion Star               |22 26 07.2731869248 -72 24 47.452215852|316.5764460653143 -40.6406436733703| 48.348 -13.884   |9.23     |F5V            |    ~     ~    |    1|  142.086   pc  |  -1.1990     +1.1990  |ST-L    |2020AJ....160...83S
1798|HD 212348                                                                                                                                   |Spectroscopic Binary                  |22 26 34.2734345328 -73 06 28.995090372|315.9138762092086 -40.1617060274015| 27.374 -39.367   |9.47     |F8/G0V         |    ~     ~    |    1|  143.246   pc  |  -0.8885     +0.8885  |paral   |2020yCat.1350....0G
1799|HD 212662                                                                                                                                   |Star                                  |22 28 45.8094664656 -72 28 16.531938300|316.3333606510190 -40.7360722774288|  -2.055 -0.779   |8.43     |K0III          |    ~     ~    |    1|  319.387   pc  |  -2.7236     +2.7236  |paral   |2020yCat.1350....0G
1800|HD 211852                                                                                                                                   |Star                                  |22 23 16.4777568024 -73 40 01.435335060|315.6315436287119 -39.5950909808210|   19.116 7.306   |9.98     |F6/7V          |    ~     ~    |    1|  253.507   pc  |  -3.1660     +3.1660  |ST-L    |2020AJ....160...83S
1801|HD 211921                                                                                                                                   |Star                                  |22 23 39.0950320488 -73 26 30.094262772|315.8104428838166 -39.7755081876722|  -31.426 6.787   |9.15     |F7/8V          |    ~     ~    |    1|  137.748   pc  |  -0.8980     +0.8980  |ST-L    |2020AJ....160...83S
1802|AKARI-IRC-V1 J2228489-733306                                                                                                                |Long-Period Variable Candidate        |22 28 48.8690386752 -73 33 06.671890692|315.3645878135222 -39.9470855313944| 37.094 -22.541   |9.38     |~              |    ~     ~    |    1| 1617.08    pc  | -46.8074    +46.8074  |paral   |2020yCat.1350....0G
1803|CD-72 1739                                                                                                                                  |Star                                  |22 20 22.7226402216 -71 53 05.843428044|317.4791416831307 -40.7030498141910| 29.251 -25.531   |10.328   |~              |    ~     ~    |    1|  265.248   pc  |  -3.2870     +3.2870  |ST-L    |2020AJ....160...83S
1804|CPD-72 2688                                                                                                                                 |Star                                  |22 23 25.9042626072 -71 48 14.073687036|317.3355726993551 -40.9295994184219|  16.323 -7.873   |10.92    |~              |    ~     ~    |    1|  400.866   pc  |  -2.0890     +2.0890  |paral   |2020yCat.1350....0G
1805|TYC 9332-886-1                                                                                                                              |Star                                  |22 17 52.4096434416 -72 21 30.072591216|317.2051792010590 -40.2365409096597| 37.028 -13.324   |10.734   |~              |    ~     ~    |    1|  651.106   pc  | -21.6000    +21.6000  |ST-L    |2020AJ....160...83S
1806|TYC 9336-867-1                                                                                                                              |Star                                  |22 18 49.7317366128 -73 45 06.003073224|315.8415676212293 -39.3157024898841|  0.948 -13.785   |10.831   |~              |    ~     ~    |    1|  876.666   pc  | -31.3900    +31.3900  |ST-L    |2020AJ....160...83S
1807|TYC 9336-536-1                                                                                                                              |Star                                  |22 20 23.2552395000 -73 16 51.952567908|316.1734691125028 -39.7257144070782| 12.163 -15.043   |10.587   |~              |    ~     ~    |    1|  820.077   pc  | -29.3400    +29.3400  |ST-L    |2020AJ....160...83S
1808|TYC 9343-297-1                                                                                                                              |High Proper Motion Star               |22 24 41.1945166944 -73 25 43.703852952|315.7529757095538 -39.8359968055008| 41.489 -36.359   |10.73    |~              |    ~     ~    |    1|  254.214   pc  |  -0.7367     +0.7367  |paral   |2020yCat.1350....0G
1809|CD-73 1608                                                                                                                                  |Star                                  |22 26 22.6957175688 -73 14 02.323065264|315.8138574095818 -40.0607074761287|  30.149 14.984   |10.10    |~              |    ~     ~    |    1|  178.294   pc  |  -0.4419     +0.4419  |paral   |2020yCat.1350....0G
1810|CD-74 1497                                                                                                                                  |Star                                  |22 29 08.6540334936 -74 07 22.584686412|314.8419140096247 -39.5406936789176|  20.118 10.107   |9.82     |~              |    ~     ~    |    1|  536.625   pc  |  -2.8509     +2.8509  |paral   |2020yCat.1350....0G
1811|CD-72 1732                                                                                                                                  |Star                                  |22 18 02.3877978024 -71 59 19.017761496|317.5455605635905 -40.5003849285651|    2.561 5.917   |10.257   |~              |    ~     ~    |    1|  385.772   pc  |  -7.2930     +7.2930  |ST-L    |2020AJ....160...83S
1812|V* CL Ind                                                                                                                                   |Mira Variable                         |22 20 55.8159276192 -74 15 12.161446884|315.2526301489885 -39.0621054412020|   2.700 -3.125   |9.74     |~              |    ~     ~    |    1| 1284.687   pc  | -33.9986    +33.9986  |paral   |2020yCat.1350....0G
1813|TYC 9332-176-1                                                                                                                              |Star                                  |22 16 22.5866025480 -71 49 34.803005196|317.8174451706594 -40.5171395586467|    2.414 0.978   |10.635   |~              |    ~     ~    |    1|  916.712   pc  | -36.1600    +36.1600  |ST-L    |2020AJ....160...83S
1814|TYC 9332-396-1                                                                                                                              |Spectroscopic Binary                  |22 15 24.9096149256 -72 26 17.934846252|317.2957444313292 -40.0464359484928| 18.190 -29.972   |10.78    |~              |    ~     ~    |    1|  233.059   pc  |  -2.6940     +2.6940  |ST-L    |2020AJ....160...83S
1815|TYC 9332-450-1                                                                                                                              |Star                                  |22 22 58.2856698072 -72 49 42.433180464|316.4162223363342 -40.1792530553080| 11.846 -14.835   |10.716   |~              |    ~     ~    |    1|  483.527   pc  | -11.7500    +11.7500  |ST-L    |2020AJ....160...83S
1816|TYC 9332-492-1                                                                                                                              |Spectroscopic Binary                  |22 17 45.3503710512 -73 02 08.161674756|316.5750088699221 -39.7614600495777| -7.706 -39.205   |10.78    |~              |    ~     ~    |    1|  245.059   pc  |  -3.0880     +3.0880  |ST-L    |2020AJ....160...83S
1817|TYC 9332-576-1                                                                                                                              |High Proper Motion Star               |22 18 06.9265540272 -71 56 50.408912904|317.5797009627075 -40.5330148561651| 62.794 -62.534   |10.806   |~              |    ~     ~    |    1|  185.113   pc  |  -4.5690     +4.5690  |ST-L    |2020AJ....160...83S
1818|TYC 9332-729-1                                                                                                                              |Star                                  |22 16 48.1962976536 -72 50 34.941243840|316.8188668289003 -39.8443049467324|  -3.907 10.068   |10.82    |~              |    ~     ~    |    1|  266.361   pc  |  -1.4473     +1.4473  |paral   |2020yCat.1350....0G
1819|TYC 9332-1044-1                                                                                                                             |Star                                  |22 20 34.4980846608 -72 35 05.601384888|316.8066735185253 -40.2251600703516| 19.494 -11.453   |10.92    |~              |    ~     ~    |    1|  378.845   pc  |  -1.9376     +1.9376  |paral   |2020yCat.1350....0G
1820|TYC 9336-895-1                                                                                                                              |Star                                  |22 20 06.9350835288 -74 11 45.314405700|315.3553633090135 -39.0642216718597|   0.179 -9.296   |10.796   |~              |    ~     ~    |    1|  987.458   pc  | -33.7600    +33.7600  |ST-L    |2020AJ....160...83S
