C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |CD-42 15887                                                                                                                                 |Star                                  |22 21 33.4791617970 -41 47 17.595540956|357.4580533117691 -56.1530573990732|       30.4 1.6   |10.76    |~              |    ~     ~    |    0|                |                       |        |                   
33  |CD-41 14849                                                                                                                                 |Star                                  |22 20 57.3901922544 -40 32 26.972509776|359.6928605863618 -56.3146036159090|   4.319 -5.954   |10.32    |~              |    ~     ~    |    1| 1806.358   pc  | -63.3009    +63.3009  |paral   |2020yCat.1350....0G
34  |HD 212085                                                                                                                                   |Star                                  |22 22 28.2749823384 -39 43 47.484538608|001.0338578596242 -56.7558806203953|    5.058 3.077   |10.36    |F3V            |    ~     ~    |    1|  262.006   pc  |  -2.3477     +2.3477  |paral   |2020yCat.1350....0G
35  |HD 212036                                                                                                                                   |High Proper Motion Star               |22 22 13.6338911976 -39 49 12.560278044|000.8881730135815 -56.6929285088314|21.555 -234.978   |8.47     |G5V            |    ~     ~    |    1|   52.310   pc  |  -0.2197     +0.2197  |paral   |2020yCat.1350....0G
36  |HD 212068                                                                                                                                   |Star                                  |22 22 25.2643695144 -39 58 10.148236752|000.6082896020404 -56.7010472203956|    3.893 0.940   |9.24     |K3(III)        |    ~     ~    |    1|  981.354   pc  | -17.0461    +17.0461  |paral   |2020yCat.1350....0G
37  |HD 212261                                                                                                                                   |High Proper Motion Star               |22 23 40.8442519104 -40 03 29.525387184|000.3630782556558 -56.9201950396256|-14.052 -50.369   |9.45     |G6IV           |    ~     ~    |    1|  126.032   pc  |  -0.2510     +0.2510  |paral   |2020yCat.1350....0G
38  |HD 212577                                                                                                                                   |Star                                  |22 26 04.2911160600 -40 07 10.835410944|000.0797336437847 -57.3552020533333|   26.677 8.267   |9.09     |G5V            |    ~     ~    |    1|  131.089   pc  |  -0.4038     +0.4038  |paral   |2020yCat.1350....0G
39  |HD 212576                                                                                                                                   |High Proper Motion Star               |22 26 05.2107103344 -39 46 32.235587292|000.7034434847378 -57.4287802580067| 61.468 -30.840   |10.15    |G5V            |    ~     ~    |    1|  116.686   pc  |  -0.2342     +0.2342  |paral   |2020yCat.1350....0G
40  |HD 213008                                                                                                                                   |Star                                  |22 29 10.8456685104 -40 11 39.483098160|359.7028649926243 -57.9189475894332| -11.408 -3.053   |10.552   |F6V            |    ~     ~    |    1|  628.530   pc  | -31.3600    +31.3600  |ST-L    |2020AJ....160...83S
41  |HD 213033                                                                                                                                   |Star                                  |22 29 18.3721095456 -40 16 13.430716068|359.5531052676287 -57.9251389039288| -13.740 -6.225   |8.76     |F3V            |    ~     ~    |    1|  182.196   pc  |  -1.1154     +1.1154  |paral   |2020yCat.1350....0G
42  |CD-40 14800                                                                                                                                 |Star                                  |22 29 21.3463896528 -40 11 57.330736584|359.6796424578150 -57.9504035895321|  -0.790 22.580   |10.364   |G0             |    ~     ~    |    1|  333.461   pc  |  -9.5050     +9.5050  |ST-L    |2020AJ....160...83S
43  |HD 213058                                                                                                                                   |Star                                  |22 29 32.9619283536 -40 01 11.425109664|359.9940534748162 -58.0264527579015| 12.883 -13.719   |9.22     |K3III          |    ~     ~    |    1|  827.404   pc  | -12.8020    +12.8020  |paral   |2020yCat.1350....0G
44  |HD 211994                                                                                                                                   |Star                                  |22 21 57.1888429584 -40 32 43.361518128|359.6152354730645 -56.4990659916773| 22.658 -38.336   |10.08    |G1V            |    ~     ~    |    1|  195.126   pc  |  -1.0965     +1.0965  |paral   |2020yCat.1350....0G
45  |CD-41 14866                                                                                                                                 |Star                                  |22 22 52.5361620072 -41 17 53.054797920|358.2153784940572 -56.5062488710903|  19.868 -7.383   |10.624   |F8             |    ~     ~    |    1|  334.061   pc  |  -7.5800     +7.5800  |ST-L    |2020AJ....160...83S
46  |CD-41 14886                                                                                                                                 |High Proper Motion Star               |22 25 51.5291280672 -40 55 27.485032080|358.6453209313214 -57.1387792081746|-29.306 -42.469   |10.434   |~              |    ~     ~    |    1|  306.060   pc  |  -6.3930     +6.3930  |ST-L    |2020AJ....160...83S
