C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
45  |HD 210083                                                                                                |Star                              |22 08 46.2148478376 -39 27 49.428207972|002.2379398658825 -54.1925200253820|   15.283 0.164    |8.15     |A0V             |    ~     ~    |    1|  268.089   pc  |  -3.4283     +3.4283  |paral   |2020yCat.1350....0G
46  |HD 210233                                                                                                |Star                              |22 09 48.3073419504 -39 37 19.722151740|001.9228535618110 -54.3687624011395|  9.432 -27.462    |8.93     |K1/2III         |    ~     ~    |    1|  694.154   pc  | -34.0400    +34.0400  |ST-L    |2020AJ....160...83S
47  |HD 210192                                                                                                |Double or Multiple Star           |22 09 35.89383 -40 59 07.9011          |359.62808610 -54.11879819          |   19.45 -21.85    |9.793    |F7V             |    ~     ~    |    1|  159.028   pc  | +20.865     +85       |ST-L    |2017AJ....153...75K
48  |CD-40 14652                                                                                              |High Proper Motion Star           |22 07 43.9019996760 -39 56 20.951452500|001.4815077316491 -53.9301642272115| 45.609 -54.081    |10.64    |~               |    ~     ~    |    1|  131.674   pc  |  -0.5739     +0.5739  |paral   |2020yCat.1350....0G
49  |CD-41 14767                                                                                              |Star                              |22 08 40.0235401392 -40 55 19.999930368|359.7846687953516 -53.9561248691353|  9.679 -21.410    |10.37    |~               |    ~     ~    |    1|  196.217   pc  |  -0.8201     +0.8201  |paral   |2020yCat.1350....0G
50  |CD-40 14665                                                                                              |Star                              |22 09 28.7294973864 -40 13 47.867358252|000.9081106140069 -54.2183661468410|   0.986 -6.280    |10.66    |~               |    ~     ~    |    1|  411.800   pc  | -64.8400    +64.8400  |ST-L    |2020AJ....160...83S
51  |HD 210364                                                                                                |Star                              |22 10 49.2750580800 -39 02 12.758085168|002.8765905102644 -54.6417083297160|   2.202 -5.299    |8.92     |G8IV            |    ~     ~    |    1|  471.254   pc  |  -3.9752     +3.9752  |paral   |2020yCat.1350....0G
52  |HD 210454                                                                                                |Star                              |22 11 21.6918187152 -39 20 47.832353052|002.3216130075384 -54.7042842433575| -5.502 -10.925    |10.188   |F5V             |    ~     ~    |    1|  302.756   pc  |  -6.0760     +6.0760  |ST-L    |2020AJ....160...83S
53  |HD 210395                                                                                                |Spectroscopic Binary              |22 11 01.7902745184 -39 32 51.328735368|001.9930145493850 -54.6128477054109| -9.223 -90.885    |7.99     |G3V             |    ~     ~    |    1|  114.632   pc  |  -0.2957     +0.2957  |paral   |2020yCat.1350....0G
54  |HD 210900                                                                                                |High Proper Motion Star           |22 14 21.0150010872 -39 44 52.925240940|001.4819837423691 -55.2148641575730|143.374 -41.986    |8.66     |G3V             |    ~     ~    |    1|  137.400   pc  |  -0.3398     +0.3398  |paral   |2020yCat.1350....0G
