C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:45:13

dec< 0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3172

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1947|CPD-68 3459                                                                                              |High Proper Motion Star           |22 07 17.0998705728 -68 13 57.457738920|322.1368081522464 -42.2535330892349| 25.197 -82.282    |10.23    |~               |    ~     ~    |    1|  194.109   pc  |  -1.8710     +1.8710  |ST-L    |2020AJ....160...83S
1948|TYC 9324-667-1                                                                                           |Star                              |22 09 02.2379286312 -68 33 34.134564600|321.6553679615653 -42.1779641136870| -0.132 -28.718    |10.717   |~               |    ~     ~    |    1|  188.933   pc  |  -1.8730     +1.8730  |ST-L    |2020AJ....160...83S
1949|CD-68 2269                                                                                               |High Proper Motion Star           |22 09 05.1387774840 -68 19 30.377826516|321.8993711195630 -42.3274068283976|18.240 -166.704    |10.31    |~               |    ~     ~    |    1|   39.282   pc  |  -0.0853     +0.0853  |ST-L    |2020AJ....160...83S
1950|TYC 9328-472-1                                                                                           |Star                              |22 09 05.5760432112 -69 37 10.619593824|320.5447872154894 -41.5150136476693|   3.564 -9.583    |10.09    |~               |    ~     ~    |    1| 1114.703   pc  | -22.3661    +22.3661  |paral   |2020yCat.1350....0G
1951|TYC 9328-698-1                                                                                           |Spectroscopic Binary              |22 09 10.5326956512 -69 47 35.412481464|320.3598120257187 -41.4103369255476| 66.552 -38.963    |10.66    |~               |    ~     ~    |    1|  139.234   pc  |  -1.1190     +1.1190  |ST-L    |2020AJ....160...83S
1952|CD-70 1867                                                                                               |Star                              |22 10 05.7888751368 -69 44 29.081146560|320.3452928882288 -41.5046784631377|   -8.038 3.387    |9.87     |~               |    ~     ~    |    1|  988.680   pc  | -47.5500    +47.5500  |ST-L    |2020AJ....160...83S
1953|TYC 9324-107-1                                                                                           |Star                              |22 10 35.1654828696 -69 08 25.360362168|320.9291473908568 -41.9207723297859|    6.174 1.337    |10.596   |~               |    ~     ~    |    1|  631.187   pc  | -18.8500    +18.8500  |ST-L    |2020AJ....160...83S
1954|TYC 9324-1219-1                                                                                          |Star                              |22 11 03.4149905280 -68 45 50.971422492|321.2846821951586 -42.1921452383345|   1.206 -7.749    |10.564   |~               |    ~     ~    |    1| 1522.300   pc  |-111.2000   +111.2000  |ST-L    |2020AJ....160...83S
1955|TYC 9324-1241-1                                                                                          |High Proper Motion Star           |22 12 34.9972137672 -69 03 08.217773100|320.8672189788976 -42.1141129404213| 93.608 -21.627    |10.585   |~               |    ~     ~    |    1|  146.352   pc  |  -1.0660     +1.0660  |ST-L    |2020AJ....160...83S
1956|TYC 9324-996-1                                                                                           |Star                              |22 11 48.0443375544 -68 32 55.958494164|321.4517210459123 -42.3809737021590| 18.297 -13.541    |10.88    |~               |    ~     ~    |    1|  394.025   pc  | -11.9900    +11.9900  |ST-L    |2020AJ....160...83S
1957|TYC 9328-169-1                                                                                           |Star                              |22 05 37.3767757896 -70 06 20.569978224|320.2926731278178 -40.9769256912709|   18.632 0.784    |10.897   |~               |    ~     ~    |    1|  340.418   pc  |  -5.3390     +5.3390  |ST-L    |2020AJ....160...83S
1958|TYC 9328-393-1                                                                                           |Star                              |22 12 39.0059868432 -69 50 30.316960896|320.0528609462710 -41.6086763523274|  13.294 -0.598    |10.454   |~               |    ~     ~    |    1|  822.464   pc  | -36.0000    +36.0000  |ST-L    |2020AJ....160...83S
1959|TYC 9328-704-1                                                                                           |Star                              |22 01 51.9064380984 -70 18 15.706050012|320.3467206344055 -40.6040935365042|   -3.931 3.632    |10.417   |~               |    ~     ~    |    1|  793.481   pc  | -26.1000    +26.1000  |ST-L    |2020AJ....160...83S
1960|TYC 9328-823-1                                                                                           |High Proper Motion Star           |22 05 13.7409107712 -70 43 47.293273344|319.6783219222654 -40.5596809522971| 22.501 -55.227    |10.792   |~               |    ~     ~    |    1| 1596.700   pc  |-116.6000   +116.6000  |ST-L    |2020AJ....160...83S
1961|TYC 9328-923-1                                                                                           |Star                              |22 13 26.5720944072 -69 40 12.508547808|320.1677180608260 -41.7723764480674|  -11.213 4.636    |10.27    |~               |    ~     ~    |    1|  269.844   pc  |  -3.7730     +3.7730  |ST-L    |2020AJ....160...83S
1962|TYC 9328-1106-1                                                                                          |Star                              |22 06 19.4530682592 -70 46 57.770170788|319.5492591894756 -40.5962031155112|   18.742 4.673    |10.683   |~               |    ~     ~    |    1|  329.225   pc  |  -7.2790     +7.2790  |ST-L    |2020AJ....160...83S
1963|TYC 9328-1253-1                                                                                          |Spectroscopic Binary              |22 12 08.4125027136 -70 09 04.963768164|319.7765853030132 -41.3742787541596| 11.082 -64.250    |10.981   |~               |    ~     ~    |    1| 1253.240   pc  | -77.9000    +77.9000  |ST-L    |2020AJ....160...83S
1964|TYC 9328-1318-1                                                                                          |Star                              |22 10 01.7160901704 -70 31 48.487744020|319.5462930202528 -40.9935472448059|  10.614 -9.859    |10.483   |~               |    ~     ~    |    1| 1015.220   pc  | -59.1300    +59.1300  |ST-L    |2020AJ....160...83S
1965|CD-68 2274                                                                                               |Star                              |22 12 30.5821684920 -67 44 00.665609280|322.2544510244453 -42.9473196866035|   9.283 -9.583    |9.687    |~               |    ~     ~    |    1|  340.212   pc  |  -6.5350     +6.5350  |ST-L    |2020AJ....160...83S
1966|CD-68 2268                                                                                               |Star                              |22 08 18.8090041464 -67 46 41.454176556|322.5429409027312 -42.6084080152881|  -5.852 14.502    |9.25     |~               |    ~     ~    |    1|  176.016   pc  |  -1.5570     +1.5570  |ST-L    |2020AJ....160...83S
1967|HD 209930                                                                                                |delta Sct Variable                |22 09 27.9013836888 -67 55 03.693743292|322.3027691482628 -42.6079182174347|  18.846 -1.237    |9.03     |Fm_dD           |    ~     ~    |    1|  344.471   pc  |  -1.5189     +1.5189  |paral   |2020yCat.1350....0G
1968|V* BZ Ind                                                                                                |Long-Period Variable Candidate    |22 11 53.1553560216 -67 56 25.348457868|322.0855767591754 -42.7714598890927| 21.866 -14.242    |8.80     |M3III           |    ~     ~    |    1|  817.795   pc  | -12.9745    +12.9745  |paral   |2020yCat.1350....0G
1969|HD 210563                                                                                                |Star                              |22 13 43.1661088176 -68 07 34.975306560|321.7415073485662 -42.7863460130921|   26.773 0.616    |6.82     |K3III           |    ~     ~    |    1|  264.299   pc  |  -1.0199     +1.0199  |paral   |2020yCat.1350....0G
1970|CD-68 2266                                                                                               |Star                              |22 07 33.9001754952 -67 40 13.333860768|322.7177938125305 -42.6181805811712|   -6.089 2.927    |9.834    |~               |    ~     ~    |    1|  690.715   pc  | -24.5700    +24.5700  |ST-L    |2020AJ....160...83S
1971|CPD-68 3468                                                                                              |Star                              |22 12 15.1247969664 -68 02 03.978633516|321.9566543824078 -42.7388384780650|   -5.416 6.220    |10.137   |~               |    ~     ~    |    1|  735.940   pc  | -24.2100    +24.2100  |ST-L    |2020AJ....160...83S
1972|TYC 9324-498-1                                                                                           |Spectroscopic Binary              |22 13 33.5763527160 -67 49 10.710771816|322.0775337626401 -42.9698661530618|  0.576 -10.700    |10.619   |~               |    ~     ~    |    1| 1366.600   pc  | -88.0100    +88.0100  |ST-L    |2020AJ....160...83S
1973|CD-66 2532                                                                                               |Star                              |22 13 26.5056241200 -66 19 19.139710548|323.6949804479680 -43.8992521282184|  17.149 -1.452    |9.96     |~               |    ~     ~    |    1|  372.708   pc  |  -8.4470     +8.4470  |ST-L    |2020AJ....160...83S
1974|CD-67 2523                                                                                               |Star                              |22 08 43.6371969984 -67 07 42.342488580|323.2112919878223 -43.0367204836374| 29.672 -24.015    |10.052   |~               |    ~     ~    |    1|  316.488   pc  |  -4.9050     +4.9050  |ST-L    |2020AJ....160...83S
1975|V* SS Ind                                                                                                |Mira Variable                     |22 08 06.9924421128 -67 08 21.956693388|323.2486032900889 -42.9828982912340|  3.065 -13.093    |10.63    |~               |    ~     ~    |    1| 2529.084   pc  |-199.5636   +199.5636  |paral   |2020yCat.1350....0G
1976|CPD-67 3860                                                                                              |Star                              |22 08 22.3216615008 -67 02 13.783524936|323.3392639648417 -43.0646576132336|   21.652 1.449    |10.918   |~               |    ~     ~    |    1|  422.540   pc  |  -8.4860     +8.4860  |ST-L    |2020AJ....160...83S
1977|HD 210562                                                                                                |Star                              |22 13 37.5228356112 -66 46 55.743038040|323.1800563167724 -43.6275995425425|   -8.212 9.434    |7.59     |K2II            |    ~     ~    |    1|  650.111   pc  |  -6.6355     +6.6355  |paral   |2020yCat.1350....0G
1978|HD 210561                                                                                                |Star                              |22 13 37.2561643032 -66 35 34.811036520|323.3850025338910 -43.7451281071702|  23.055 -3.634    |8.98     |G8III           |    ~     ~    |    1|  246.615   pc  |  -0.7967     +0.7967  |paral   |2020yCat.1350....0G
1979|CD-67 2528                                                                                               |Star                              |22 14 11.8564957392 -66 26 55.961592792|323.4917389768282 -43.8798082598769|  15.769 11.839    |9.820    |~               |    ~     ~    |    1|  431.111   pc  | -10.5500    +10.5500  |ST-L    |2020AJ....160...83S
1980|CPD-67 3871                                                                                              |Star                              |22 14 17.6573017440 -67 10 03.714441204|322.7093435888582 -43.4366378655875|  -4.074 25.546    |10.00    |~               |    ~     ~    |    1|  146.475   pc  |  -2.5690     +2.5690  |ST-L    |2020AJ....160...83S
1981|CD-67 2524                                                                                               |High Proper Motion Star           |22 12 39.8314057176 -66 42 54.720839304|323.3339766837261 -43.5949271657458| 75.092 -60.110    |10.421   |~               |    ~     ~    |    1|  124.295   pc  |  -0.7683     +0.7683  |ST-L    |2020AJ....160...83S
1982|CD-67 2529                                                                                               |High Proper Motion Star           |22 14 27.9099920448 -66 55 58.532504160|322.9463490861638 -43.5974383042163| 87.332 -72.335    |10.485   |~               |    ~     ~    |    1|  176.323   pc  |  -1.6690     +1.6690  |ST-L    |2020AJ....160...83S
1983|CD-68 2267                                                                                               |Star                              |22 07 51.9557150784 -67 28 20.481762432|322.9077158881640 -42.7615181707308|  11.127 -3.983    |10.32    |~               |    ~     ~    |    1|  687.374   pc  | -18.5300    +18.5300  |ST-L    |2020AJ....160...83S
1984|CPD-67 3873                                                                                              |Star                              |22 14 50.2746209928 -67 15 54.945515124|322.5594445265908 -43.4157365804761|  33.968 13.987    |10.95    |~               |    ~     ~    |    1|  313.804   pc  |  -1.5657     +1.5657  |paral   |2020yCat.1350....0G
1985|TYC 9123-260-1                                                                                           |Star                              |22 06 41.3635524168 -67 29 00.134466936|322.9887481734720 -42.6652380717602| -15.253 -1.618    |10.87    |~               |    ~     ~    |    1|  571.732   pc  | -17.2000    +17.2000  |ST-L    |2020AJ....160...83S
1986|TYC 9324-806-1                                                                                           |Star                              |22 09 51.3730453296 -67 53 15.218814984|322.3039129177263 -42.6554653680440|  6.578 -10.655    |10.95    |~               |    ~     ~    |    1|  810.110   pc  | -10.1723    +10.1723  |paral   |2020yCat.1350....0G
1987|HD 208594                                                                                                |Star                              |22 00 06.5353222872 -67 53 54.999181068|323.0374949871615 -41.9162013248926|  38.518 -6.988    |10.125   |F3V             |    ~     ~    |    1|  154.322   pc  |  -1.3450     +1.3450  |ST-L    |2020AJ....160...83S
1988|CD-68 2261                                                                                               |High Proper Motion Star           |22 01 12.0305443632 -67 44 51.821181240|323.1215058795752 -42.0878954642964| 53.731 -27.653    |10.201   |~               |    ~     ~    |    1|  710.326   pc  | -24.5400    +24.5400  |ST-L    |2020AJ....160...83S
1989|CPD-67 3850                                                                                              |Star                              |22 00 16.4575569336 -67 15 14.951820456|323.7334272264213 -42.3022376163189| -9.503 -19.518    |10.664   |~               |    ~     ~    |    1|  300.787   pc  |  -4.5970     +4.5970  |ST-L    |2020AJ....160...83S
1990|HD 208759                                                                                                |Star                              |22 00 54.6053978976 -64 57 41.301416880|326.2700748465859 -43.6501886343112| -0.200 -11.309    |9.98     |ApSrEuCr        |    ~     ~    |    1|  517.821   pc  | -17.6000    +17.6000  |ST-L    |2020AJ....160...83S
1991|HD 208937                                                                                                |High Proper Motion Star           |22 02 06.9600202608 -65 14 22.363983312|325.8533845597009 -43.6006285627256| 48.967 -74.312    |7.37     |K0III           |    ~     ~    |    1|  220.794   pc  |  -0.7751     +0.7751  |paral   |2020yCat.1350....0G
1992|V* CK Ind                                                                                                |gamma Dor Variable                |22 04 38.4298621464 -64 43 42.005408160|326.2304383066806 -44.1091883167482| 26.131 -57.780    |7.32     |A9/F0V-IV       |    ~     ~    |    1|  118.359   pc  |  -0.3264     +0.3264  |paral   |2020yCat.1350....0G
1993|CD-65 2809                                                                                               |Star                              |22 05 30.9715571256 -65 11 36.951467568|325.6255102889648 -43.9199949781777| 12.640 -12.901    |9.96     |~               |    ~     ~    |    1|  876.501   pc  | -10.1410    +10.1410  |paral   |2020yCat.1350....0G
1994|HD 209553                                                                                                |Star                              |22 06 35.9121479016 -65 04 50.713814856|325.6625857090153 -44.0779990175408|   3.755 17.613    |8.84     |K0III           |    ~     ~    |    1|  458.439   pc  | -12.2400    +12.2400  |ST-L    |2020AJ....160...83S
1995|HD 209632                                                                                                |High Proper Motion Star           |22 07 08.1760929744 -64 58 39.266606964|325.7341372681860 -44.1839677788789| 57.775 -21.206    |8.95     |K2III           |    ~     ~    |    1|  369.481   pc  |  -1.8566     +1.8566  |paral   |2020yCat.1350....0G
1996|HD 209720                                                                                                |High Proper Motion Star           |22 07 45.6354071688 -65 06 11.803011840|325.5381281268310 -44.1645745265941|  1.428 -50.021    |7.51     |K2/3III         |    ~     ~    |    1|  406.851   pc  |  -2.4995     +2.4995  |paral   |2020yCat.1350....0G
1997|HD 210039                                                                                                |Star                              |22 09 53.7269712792 -65 14 26.200561488|325.1993127121009 -44.2651327554583| 22.710 -11.266    |9.869    |F3III/IV        |    ~     ~    |    1|  327.328   pc  |  -5.6480     +5.6480  |ST-L    |2020AJ....160...83S
1998|HD 209001                                                                                                |Star                              |22 02 33.4610514576 -65 43 51.884958396|325.2587764041063 -43.3607210689564| 39.516 -18.666    |9.92     |F5V             |    ~     ~    |    1|  244.636   pc  |  -0.6882     +0.6882  |paral   |2020yCat.1350....0G
1999|HD 209467                                                                                                |Star                              |22 06 03.8671865520 -65 40 05.829621168|325.0432833654478 -43.6919123491567|-23.160 -20.322    |7.49     |G8III           |    ~     ~    |    1|  338.123   pc  |  -1.7835     +1.7835  |paral   |2020yCat.1350....0G
2000|HD 209674                                                                                                |Star                              |22 07 33.2238438048 -65 43 51.928577040|324.8486560067613 -43.7793435193645| 10.757 -14.494    |8.70     |G8IV            |    ~     ~    |    1|  379.795   pc  |  -2.0194     +2.0194  |paral   |2020yCat.1350....0G
2001|CD-66 2524                                                                                               |Star                              |22 10 40.3025326416 -65 31 07.097124756|324.8206043024117 -44.1643362936111|  42.412 -8.811    |9.91     |~               |    ~     ~    |    1|  129.371   pc  |  -0.8481     +0.8481  |ST-L    |2020AJ....160...83S
2002|HD 210529                                                                                                |High Proper Motion Star           |22 13 13.5111294000 -65 40 19.059996108|324.4275648675262 -44.2815622172750| 60.867 -55.569    |8.62     |G0IV/V          |    ~     ~    |    1|  124.607   pc  |  -0.2593     +0.2593  |paral   |2020yCat.1350....0G
2003|HD 208655                                                                                                |Star                              |22 00 22.2234693288 -66 16 14.757863088|324.8227015843520 -42.8714425402708|  7.434 -10.870    |8.75     |K0/1IIICNIb/II  |    ~     ~    |    1|  439.618   pc  |  -3.2662     +3.2662  |paral   |2020yCat.1350....0G
2004|HD 208723                                                                                                |Star                              |22 00 43.2518382552 -65 48 40.025723760|325.3144214526238 -43.1600290908558|   -9.277 6.188    |9.283    |F5III           |    ~     ~    |    1|  270.255   pc  |  -4.0640     +4.0640  |ST-L    |2020AJ....160...83S
2005|HD 209633                                                                                                |Star                              |22 07 17.7065714112 -65 52 58.046092392|324.7006484377370 -43.6685557998382|  -6.241 21.970    |9.14     |G6IV            |    ~     ~    |    1|  238.255   pc  |  -2.9140     +2.9140  |ST-L    |2020AJ....160...83S
2006|CD-66 2520                                                                                               |Spectroscopic Binary              |22 07 49.5104590800 -66 03 11.652565140|324.4666334530494 -43.6112553944631|   18.345 6.214    |10.04    |~               |    ~     ~    |    1|  328.009   pc  |  -6.7490     +6.7490  |ST-L    |2020AJ....160...83S
2007|CD-66 2523                                                                                               |Star                              |22 10 20.7969397872 -65 55 03.422871084|324.4048320120654 -43.8979785402588|    6.531 0.363    |10.003   |~               |    ~     ~    |    1|  604.267   pc  | -15.8100    +15.8100  |ST-L    |2020AJ....160...83S
2008|HD 210196                                                                                                |Star                              |22 11 04.3134092256 -66 20 28.593606840|323.8762503565644 -43.6996957528376|  8.770 -27.326    |8.47     |F8IV/V          |    ~     ~    |    1|  144.857   pc  |  -1.2530     +1.2530  |ST-L    |2020AJ....160...83S
2009|CD-67 2515                                                                                               |Star                              |22 03 39.9380589216 -66 34 43.960700208|324.2199282465713 -42.9643319711606|  22.168 17.029    |10.278   |~               |    ~     ~    |    1|  303.461   pc  |  -9.6910     +9.6910  |ST-L    |2020AJ....160...83S
2010|HD 209235                                                                                                |Star                              |22 04 20.4837695952 -66 50 52.612534860|323.8686551431875 -42.8610289759146|  42.765 15.686    |9.30     |G2V             |    ~     ~    |    1|   82.391   pc  |  -0.0930     +0.0930  |paral   |2020yCat.1350....0G
2011|CD-67 2518                                                                                               |Star                              |22 06 09.9495978216 -67 13 45.969437172|323.3061174103764 -42.7777522748848|  31.217 -5.340    |10.282   |~               |    ~     ~    |    1|  288.546   pc  |  -4.2840     +4.2840  |ST-L    |2020AJ....160...83S
2012|HD 209554                                                                                                |Star                              |22 06 45.9656017728 -67 05 40.284514140|323.4057070606672 -42.9052728389537|   3.477 -8.470    |9.451    |M0III           |    ~     ~    |    1|  905.414   pc  | -45.5000    +45.5000  |ST-L    |2020AJ....160...83S
2013|HD 209652                                                                                                |Star                              |22 07 27.5171945016 -66 59 12.832275300|323.4677786804675 -43.0239361544865|  10.988 13.757    |9.843    |F2V             |    ~     ~    |    1|  229.076   pc  |  -2.8430     +2.8430  |ST-L    |2020AJ....160...83S
2014|HD 209758                                                                                                |Star                              |22 08 08.7459316968 -66 29 50.275356504|323.9488305116131 -43.3722630530611| 21.705 -28.044    |8.10     |A1IV            |    ~     ~    |    1|  167.151   pc  |  -0.6370     +0.6370  |paral   |2020yCat.1350....0G
2015|IRAS 22014-6724                                                                                          |Long-Period Variable Candidate    |22 05 18.7746368760 -67 10 19.894365516|323.4358689659500 -42.7456713111054|   3.206 -7.046    |10.81    |~               |    ~     ~    |    1| 2430.72    pc  |-131.167    +131.167   |paral   |2020yCat.1350....0G
2016|CD-67 2513                                                                                               |Double or Multiple Star           |22 01 49.2018893208 -66 40 33.165175584|324.2566940803801 -42.7589371177789|  10.458 -9.309    |10.607   |~               |    ~     ~    |    1|  353.705   pc  | -14.4600    +14.4600  |ST-L    |2020AJ....160...83S
2017|CD-66 2513                                                                                               |High Proper Motion Star           |22 01 50.8026483912 -65 28 25.147182864|325.6081121359458 -43.4458230354800| 31.924 -44.361    |10.175   |~               |    ~     ~    |    1|  210.146   pc  |  -2.3590     +2.3590  |ST-L    |2020AJ....160...83S
2018|CD-66 2521                                                                                               |Star                              |22 08 08.0182659552 -66 05 49.422783588|324.3922844488723 -43.6103604122915|  19.564 17.756    |10.500   |~               |    ~     ~    |    1|  104.090   pc  |  -3.1160     +3.1160  |ST-L    |2020AJ....160...83S
2019|CD-66 2529                                                                                               |Star                              |22 12 11.4949783848 -65 34 52.927853412|324.6185676498478 -44.2520576280473| 10.494 -11.622    |10.137   |~               |    ~     ~    |    1|  684.656   pc  | -17.0500    +17.0500  |ST-L    |2020AJ....160...83S
2020|CD-66 2533                                                                                               |Star                              |22 13 31.6573238736 -65 28 34.491389484|324.6176374874993 -44.4258191049696|   3.647 -3.889    |10.559   |~               |    ~     ~    |    1|  707.044   pc  | -56.4900    +56.4900  |ST-L    |2020AJ....160...83S
2021|TYC 9122-779-1                                                                                           |Star                              |22 00 31.2219178824 -67 04 26.637207996|323.9141475816426 -42.4254082850012| 21.047 -10.410    |10.986   |~               |    ~     ~    |    1| 1092.450   pc  | -55.9500    +55.9500  |ST-L    |2020AJ....160...83S
2022|CPD-67 3851                                                                                              |High Proper Motion Star           |22 00 37.0265324760 -66 39 27.568127448|324.3699850828774 -42.6718096249427| 46.207 -30.623    |10.681   |~               |    ~     ~    |    1|  897.203   pc  | -31.1200    +31.1200  |ST-L    |2020AJ....160...83S
2023|CD-65 2804                                                                                               |Star                              |22 01 41.4008 -65 22 56.129            |325.7248791 -43.4837150            |    40.20 -6.50    |10.607   |~               |    ~     ~    |    1|  193.127   pc  | +45.577      +4       |ST-L    |2017AJ....153...75K
2024|CD-65 2806                                                                                               |High Proper Motion Star           |22 02 24.0997994256 -64 54 27.861312132|326.2103458119216 -43.8113754199828| 72.465 -24.331    |10.67    |~               |    ~     ~    |    1|  254.784   pc  |  -0.7141     +0.7141  |paral   |2020yCat.1350....0G
2025|CD-67 2517                                                                                               |Star                              |22 05 41.3752852128 -67 03 08.806164804|323.5372648130738 -42.8463937538700|  6.459 -12.607    |10.312   |~               |    ~     ~    |    1|  735.711   pc  | -27.0900    +27.0900  |ST-L    |2020AJ....160...83S
2026|CD-66 2516                                                                                               |Star                              |22 06 32.1154975152 -65 58 01.906617072|324.6693657544040 -43.5562334533578|  16.300 -2.694    |10.488   |~               |    ~     ~    |    1|  548.027   pc  | -17.1400    +17.1400  |ST-L    |2020AJ....160...83S
2027|CD-66 2517                                                                                               |Star                              |22 06 48.7526180472 -66 21 09.299524212|324.2179457822728 -43.3514839020021|  23.391 -8.958    |10.541   |~               |    ~     ~    |    1|  660.200   pc  | -22.2900    +22.2900  |ST-L    |2020AJ....160...83S
2028|TYC 9123-1751-1                                                                                          |Star                              |22 09 48.3131810424 -66 30 51.138654156|323.7929483078679 -43.4940218896260| 12.545 -15.714    |10.621   |~               |    ~     ~    |    1|  815.882   pc  | -25.3900    +25.3900  |ST-L    |2020AJ....160...83S
2029|TYC 9123-1679-1                                                                                          |Star                              |22 10 01.4569535232 -66 39 58.171748436|323.6084620128077 -43.4189930081539|   8.628 -7.600    |10.385   |~               |    ~     ~    |    1|  823.315   pc  | -30.3800    +30.3800  |ST-L    |2020AJ....160...83S
2030|CD-66 2525                                                                                               |Star                              |22 10 49.7798131368 -65 56 35.675931372|324.3352230442470 -43.9218027988461|  12.382 -3.303    |10.366   |~               |    ~     ~    |    1|  845.000   pc  | -35.1400    +35.1400  |ST-L    |2020AJ....160...83S
2031|TYC 9123-648-1                                                                                           |Star                              |22 11 06.0676158240 -65 30 47.522886768|324.7894471070396 -44.2031936327321|  -5.301 -9.936    |10.543   |~               |    ~     ~    |    1| 1753.580   pc  |-150.5000   +150.5000  |ST-L    |2020AJ....160...83S
2032|CD-66 2527                                                                                               |Star                              |22 11 11.1171070896 -66 10 29.920512684|324.0492692077875 -43.8100009252121| -24.399 18.924    |10.05    |~               |    ~     ~    |    1|   90.899   pc  |  -0.4956     +0.4956  |ST-L    |2020AJ....160...83S
2033|CD-66 2528                                                                                               |High Proper Motion Star           |22 11 17.7891946176 -66 18 03.498227136|323.9014274024040 -43.7421439661575|-101.189 17.944    |10.074   |~               |    ~     ~    |    1|  128.257   pc  |  -0.9073     +0.9073  |ST-L    |2020AJ....160...83S
2034|CPD-66 3634                                                                                              |Star                              |22 12 14.7917256216 -65 53 13.984766520|324.2751815724651 -44.0706927585552|   1.423 -2.239    |10.709   |~               |    ~     ~    |    1| 1425.510   pc  | -94.8600    +94.8600  |ST-L    |2020AJ....160...83S
2035|CD-66 2530                                                                                               |Star                              |22 12 44.2798939872 -65 36 09.894487464|324.5469848179393 -44.2839332367909|    7.066 1.951    |10.447   |~               |    ~     ~    |    1|  332.645   pc  |  -5.3680     +5.3680  |ST-L    |2020AJ....160...83S
2036|TYC 9122-236-1                                                                                           |Star                              |22 03 01.3131095328 -65 23 03.531824052|325.6146387521879 -43.5970947839491|   2.471 -9.717    |10.937   |~               |    ~     ~    |    1|  170.486   pc  |  -1.4520     +1.4520  |ST-L    |2020AJ....160...83S
2037|TYC 9122-1696-1                                                                                          |Star                              |22 03 02.1140625960 -65 24 28.053803736|325.5868453626441 -43.5849318207209|  16.349 -9.620    |10.945   |~               |    ~     ~    |    1|  447.585   pc  | -11.5500    +11.5500  |ST-L    |2020AJ....160...83S
2038|TYC 9123-1277-1                                                                                          |Star                              |22 08 34.9958044944 -66 19 58.770918660|324.0938149019798 -43.5057888842513|   -5.312 9.730    |10.903   |~               |    ~     ~    |    1|  464.172   pc  | -10.9800    +10.9800  |ST-L    |2020AJ....160...83S
2039|HD 208959                                                                                                |Star                              |22 02 10.6213481880 -64 20 03.832060560|326.8915391904940 -44.1094921965299|   9.814 -3.232    |9.46     |K0/1III         |    ~     ~    |    1|  532.113   pc  |  -3.5959     +3.5959  |paral   |2020yCat.1350....0G
2040|HD 208815                                                                                                |Star                              |22 01 11.4531207624 -64 24 59.793407208|326.8774947186615 -43.9752372989540|   -1.677 2.668    |8.85     |K2III           |    ~     ~    |    1|  557.057   pc  | -18.0200    +18.0200  |ST-L    |2020AJ....160...83S
2041|CD-65 2816                                                                                               |Star                              |22 12 02.0364716078 -64 46 42.954595886|325.5317023546325 -44.7214736498205| -15.518 -3.869    |10.33    |~               |    ~     ~    |    1|  300.827   pc  | -49.4400    +49.4400  |ST-L    |2020AJ....160...83S
2042|NGC 7219                           NGC 7219                                                              |Galaxy towards a Group of Galaxies|22 13 08.9881914624 -64 50 56.433124104|325.3521770859328 -44.7743402013046|  -0.075 -0.123    |13.13    |~               |0.787 0.551    |    1|   40.93    Mpc |                       |        |2016AJ....152...50T
2043|NGC 7199                           NGC 7199                                                              |Galaxy towards a Group of Galaxies|22 08 29.8483733544 -64 42 21.928422672|325.9259476190118 -44.4592861659206|    0.013 0.112    |13.22    |~               |0.687 0.536    |    1|   39.90    Mpc |                       |redshift|2007ApJ...655..790C
2044|CPD-64 4204                                                                                              |Star                              |22 04 10.0037669568 -64 15 32.992806996|326.8118882302492 -44.3307261403635|    8.247 4.928    |9.73     |~               |    ~     ~    |    1|  601.902   pc  |  -4.7097     +4.7097  |paral   |2020yCat.1350....0G
2045|CPD-65 3988                                                                                              |Star                              |22 04 06.8463582360 -64 31 16.967559936|326.5129765765195 -44.1792218869248|   4.977 -9.997    |10.593   |~               |    ~     ~    |    1|  856.564   pc  | -27.6300    +27.6300  |ST-L    |2020AJ....160...83S
2046|CD-65 2817                                                                                               |Star                              |22 12 28.9692599352 -64 59 50.029992708|325.2453258954146 -44.6287514960071|  -7.182 -5.207    |10.56    |~               |    ~     ~    |    1|  864.827   pc  |  -8.3768     +8.3768  |paral   |2020yCat.1350....0G
2047|HD 208913                                                                                                |Star                              |22 01 39.5560545216 -63 21 39.711117024|328.0769722736739 -44.5913318665105|   6.703 -6.934    |9.37     |K0III           |    ~     ~    |    1|  829.256   pc  |  -9.0772     +9.0772  |paral   |2020yCat.1350....0G
2048|HD 209075                                                                                                |Star                              |22 02 46.0035245640 -62 57 31.945060656|328.4601199694902 -44.9127666331492|  29.807 -3.188    |9.71     |F3V             |    ~     ~    |    1|  213.165   pc  |  -1.3541     +1.3541  |paral   |2020yCat.1350....0G
2049|HD 209244                                                                                                |Double or Multiple Star           |22 03 56.1172 -62 57 13.970            |328.3648081 -45.0273136            |     -5.3 -12.3    |9.69     |G0IV/V          |    ~     ~    |    0|                |                       |        |                   
