C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1588|HD 237077                                                                                                                                                                      |Spectroscopic Binary                |03 10 19.6274797944 +60 32 03.842227788|139.2148312820411 +02.1305642709729|  -0.299 -1.701   |9.15     |G2V:                 |    ~     ~    |    1|  385.401   pc  |  -7.6792     +7.6792  |paral   |2020yCat.1350....0G
1589|HD 18877                                                                                                                                                                       |Be Star                             |03 04 54.2603320056 +60 01 32.660770152|138.8855877627894 +01.3546062098497|  -2.539 -2.584   |8.40     |B7II-III             |    ~     ~    |    1|  438.059   pc  |  -4.5095     +4.5095  |paral   |2020yCat.1350....0G
1590|TYC 4049-1511-1                                                                                                                                                                |Star                                |03 10 48.0625277760 +60 26 29.660877312|139.3123278043671 +02.0802588888535|    1.628 2.338   |10.8     |~                    |    ~     ~    |    1|  414.834   pc  |  -2.1339     +2.1339  |paral   |2020yCat.1350....0G
1591|TYC 4049-1193-1                                                                                                                                                                |Star                                |03 11 21.4387539432 +60 24 30.566833056|139.3882932213466 +02.0867795057898|   -1.115 2.776   |10.8     |~                    |    ~     ~    |    1|  684.744   pc  |  -7.5489     +7.5489  |paral   |2020yCat.1350....0G
1592|TYC 3713-209-1                                                                                                                                                                 |Star                                |03 03 06.1380290328 +59 58 04.762883964|138.7168553160686 +01.1945200907165| -18.539 36.861   |10.36    |~                    |    ~     ~    |    1|  209.450   pc  |  -0.7370     +0.7370  |paral   |2020yCat.1350....0G
1593|TYC 3713-1125-1                                                                                                                                                                |Star                                |03 02 01.4606065248 +59 34 58.386453708|138.7836000301233 +00.7917118297574|-38.942 -19.759   |10.71    |~                    |    ~     ~    |    1|  207.460   pc  |  -0.5638     +0.5638  |paral   |2020yCat.1350....0G
1594|TYC 3713-1373-1                                                                                                                                                                |Spectroscopic Binary                |03 06 33.9079671384 +59 00 40.215745656|139.5684364186351 +00.5751497532336| 17.941 -21.401   |10.89    |~                    |    ~     ~    |    1|  379.636   pc  |  -5.1452     +5.1452  |paral   |2020yCat.1350....0G
1595|TYC 3714-67-1                                                                                                                                                                  |Star                                |03 09 19.5820738440 +59 15 01.508460192|139.7558482404495 +00.9592930062213|   -8.296 0.986   |10.36    |~                    |    ~     ~    |    1|  290.453   pc  |  -2.7502     +2.7502  |paral   |2020yCat.1350....0G
1596|TYC 3714-157-1                                                                                                                                                                 |Star                                |03 12 51.6687018384 +59 13 55.935920604|140.1540854911085 +01.1738681830925| 11.541 -12.207   |10.71    |~                    |    ~     ~    |    1|  493.267   pc  |  -3.1631     +3.1631  |paral   |2020yCat.1350....0G
1597|TYC 3714-288-1                                                                                                                                                                 |Star                                |03 11 13.0139401560 +58 51 08.998358760|140.1670941197666 +00.7394526892250|   3.337 -9.759   |10.70    |~                    |    ~     ~    |    1|  527.955   pc  | -10.8707    +10.8707  |paral   |2020yCat.1350....0G
1598|TYC 3714-543-1                                                                                                                                                                 |Star                                |03 08 36.9046541688 +58 39 19.922048280|139.9755917640179 +00.3989195993884| -1.502 -11.001   |10.92    |~                    |    ~     ~    |    1|  367.742   pc  |  -9.4529     +9.4529  |paral   |2020yCat.1350....0G
1599|TYC 3714-572-1                                                                                                                                                                 |Star                                |03 13 39.3669620088 +59 30 12.120105492|140.1007645897657 +01.4583706708877|    6.559 5.140   |10.47    |~                    |    ~     ~    |    1|  577.834   pc  |  -4.5075     +4.5075  |paral   |2020yCat.1350....0G
1600|TYC 3714-585-1                                                                                                                                                                 |Star                                |03 14 47.4328015152 +59 28 58.321971912|140.2344798331474 +01.5156433140574|   -2.475 0.782   |10.48    |~                    |    ~     ~    |    1|  752.729   pc  | -10.2555    +10.2555  |paral   |2020yCat.1350....0G
1601|TYC 3714-606-1                                                                                                                                                                 |Star                                |03 11 35.3668632408 +58 37 36.351135192|140.3238815448511 +00.5700027577486|   0.257 -2.145   |9.94     |~                    |    ~     ~    |    1|  509.684   pc  |  -3.9226     +3.9226  |paral   |2020yCat.1350....0G
1602|TYC 3714-704-1                                                                                                                                                                 |Star                                |03 11 43.9247960976 +58 55 22.971455832|140.1882911890777 +00.8340929124065|  -11.081 7.822   |10.16    |~                    |    ~     ~    |    1|  464.253   pc  |  -3.2114     +3.2114  |paral   |2020yCat.1350....0G
1603|TYC 3714-780-1                                                                                                                                                                 |Star                                |03 12 57.9544635249 +59 31 28.027493759|140.0148893236115 +01.4312028588019|   -1.10 -12.10   |10.65    |~                    |    ~     ~    |    0|                |                       |        |                   
1604|TYC 3714-908-1                                                                                                                                                                 |Spectroscopic Binary                |03 09 27.5468904672 +58 43 19.645641660|140.0368979027195 +00.5116182184568|-53.774 -39.350   |10.35    |~                    |    ~     ~    |    1|  143.513   pc  |  -2.2450     +2.2450  |paral   |2020yCat.1350....0G
1605|GSC 03714-00930                                                                                                                                                                |Double or Multiple Star             |03 13 14.803272 +59 12 54.30420        |140.205183921 +01.184637389        |     20.1 -17.2   |10.309   |~                    |    ~     ~    |    0|                |                       |        |                   
1606|TYC 3714-1058-1                                                                                                                                                                |Star                                |03 11 33.9638462424 +58 38 07.960596252|140.3167790207479 +00.5759956643740|   3.547 -3.577   |10.93    |~                    |    ~     ~    |    1|  800.128   pc  | -14.9168    +14.9168  |paral   |2020yCat.1350....0G
1607|TYC 3714-1067-1                                                                                                                                                                |Star                                |03 09 43.1628827088 +58 51 42.505033104|139.9955180035576 +00.6492259969082|   -6.069 1.278   |10.59    |B/A                  |    ~     ~    |    1|  487.116   pc  |  -3.9626     +3.9626  |paral   |2020yCat.1350....0G
1608|TYC 3714-1097-1                                                                                                                                                                |Star                                |03 07 50.4649734288 +59 39 29.499345360|139.3880310085639 +01.2174633800044|  -5.073 -0.412   |10.55    |~                    |    ~     ~    |    1|  590.145   pc  |  -4.6320     +4.6320  |paral   |2020yCat.1350....0G
1609|TYC 4049-898-1                                                                                                                                                                 |Star                                |03 12 10.2769933176 +60 00 26.780398488|139.6805822475889 +01.7939830118100|   9.465 -5.536   |10.75    |~                    |    ~     ~    |    1|  764.059   pc  |  -8.6400     +8.6400  |paral   |2020yCat.1350....0G
1610|GSC 03714-00358                                                                                                                                                                |Double or Multiple Star             |03 08 31.253304 +59 57 15.01524        |139.313971714 +01.516505197        |      -0.4 -2.1   |10.69    |A0V                  |    ~     ~    |    0|                |                       |        |                   
1611|BD+58 576                                                                                                                                                                      |Star                                |03 14 28.2129016128 +58 45 12.982666248|140.5791887241646 +00.8716406677470|   0.242 -1.267   |9.764    |~                    |    ~     ~    |    1|  819.605   pc  | -15.4503    +15.4503  |paral   |2020yCat.1350....0G
1612|HD 18480                                                                                                                                                                       |High Proper Motion Star             |03 01 23.0574441432 +63 20 37.966373592|136.9110023181033 +04.0553752924526| 34.134 -41.067   |8.67     |F0                   |    ~     ~    |    1|  148.098   pc  |  -0.3729     +0.3729  |paral   |2020yCat.1350....0G
1613|BD+65 311                                                                                                                                                                      |Star                                |03 00 33.1058488368 +66 31 31.133726004|135.3028204317910 +06.8061389043182|  36.939 -1.751   |9.50     |K0                   |    ~     ~    |    1|  279.752   pc  |  -1.0409     +1.0409  |paral   |2020yCat.1350....0G
1614|BD+65 313                                                                                                                                                                      |Star                                |03 01 15.9301870800 +66 34 40.558493100|135.3401299442763 +06.8863753165532|    2.809 6.534   |9.82     |G0                   |    ~     ~    |    1|  198.255   pc  |  -0.5463     +0.5463  |paral   |2020yCat.1350....0G
1615|BD+65 313B                                                                                                                                                                     |Star                                |03 01 16.4703789936 +66 34 47.289640332|135.3400138547337 +06.8884448941674|    2.593 5.832   |10.5     |~                    |    ~     ~    |    1|  199.064   pc  |  -0.6697     +0.6697  |paral   |2020yCat.1350....0G
1616|BD+65 315                                                                                                                                                                      |Star                                |03 03 55.4878722672 +66 13 01.302220632|135.7509151826482 +06.7000412935685| 24.030 -24.368   |9.53     |F8                   |    ~     ~    |    1|  192.478   pc  |  -4.4383     +4.4383  |paral   |2020yCat.1350....0G
1617|BD+65 312                                                                                                                                                                      |Star                                |03 00 34.3326860424 +65 48 03.486613176|135.6533984424650 +06.1710421563979| 11.009 -11.443   |10.00    |G5                   |    ~     ~    |    1|  515.650   pc  |  -3.3503     +3.3503  |paral   |2020yCat.1350....0G
1618|BD+65 314                                                                                                                                                                      |Star                                |03 01 53.2446983616 +66 10 50.723329152|135.5878433701636 +06.5683973223938|   0.512 -3.558   |9.69     |K0                   |    ~     ~    |    1|  371.816   pc  |  -1.6728     +1.6728  |paral   |2020yCat.1350....0G
1619|TYC 4056-674-2                                                                                                                                                                 |Star                                |03 00 58.4056360056 +65 23 52.107029124|135.8840131796030 +05.8368946514243|   -1.968 1.025   |10.98    |~                    |    ~     ~    |    0|                |                       |        |                   
1620|TYC 4056-674-1                                                                                                                                                                 |Star                                |03 00 57.0559800504 +65 23 48.909720048|135.8823752014365 +05.8349933720144|  -16.076 2.963   |10.08    |F0                   |    ~     ~    |    1|  239.998   pc  |  -0.7661     +0.7661  |paral   |2020yCat.1350....0G
1621|BD+64 358                                                                                                                                                                      |Double or Multiple Star             |03 01 34.1710 +64 45 40.688            |136.2462826 +05.3086138            |       -0.4 0.8   |9.33     |B5                   |    ~     ~    |    0|                |                       |        |                   
1622|BD+64 359                                                                                                                                                                      |Star                                |03 01 40.3313731584 +64 42 43.615968840|136.2796807128731 +05.2707538183652|  8.315 -14.627   |9.59     |F5                   |    ~     ~    |    1|  191.810   pc  |  -0.9345     +0.9345  |paral   |2020yCat.1350....0G
1623|HD 18491                                                                                                                                                                       |Star                                |03 01 49.6430159904 +65 20 06.091790388|135.9927828615265 +05.8245991867192|   -5.204 1.047   |9.53     |A0                   |    ~     ~    |    1|  288.650   pc  |  -1.4498     +1.4498  |paral   |2020yCat.1350....0G
1624|HD 18526                                                                                                                                                                       |Star                                |03 02 09.8580939096 +65 09 51.979125420|136.1065450854139 +05.6921913109811|   -0.398 3.661   |9.36     |A2                   |    ~     ~    |    1|  343.136   pc  |  -3.2144     +3.2144  |paral   |2020yCat.1350....0G
1625|HD 18611                                                                                                                                                                       |Star                                |03 02 53.7707062488 +64 49 32.446829676|136.3392909125318 +05.4331982550820|  12.152 -3.587   |9.18     |F5                   |    ~     ~    |    1|  177.431   pc  |  -0.4470     +0.4470  |paral   |2020yCat.1350....0G
1626|AG+64 202                                                                                                                                                                      |Pulsating Variable                  |03 03 19.6129587720 +65 09 43.848304992|136.2149494454826 +05.7494104790482|  -1.753 -1.528   |9.63     |B5                   |    ~     ~    |    1|  872.524   pc  |  -9.7446     +9.7446  |paral   |2020yCat.1350....0G
1627|BD+63 377                                                                                                                                                                      |Star                                |03 02 16.1207495808 +64 18 36.482736168|136.5306038907799 +04.9494374327004|   -3.535 0.043   |10.11    |B8                   |    ~     ~    |    1|  648.466   pc  |  -6.6861     +6.6861  |paral   |2020yCat.1350....0G
1628|HD 18565                                                                                                                                                                       |Double or Multiple Star             |03 02 28.3720665744 +64 22 58.096660980|136.5147892171690 +05.0237421456927|   0.662 -3.654   |8.29     |A0                   |0.0067  0.0    |    1|  371.540   pc  | -14.2873    +14.2873  |paral   |2020yCat.1350....0G
1629|BD+63 381                                                                                                                                                                      |Star                                |03 02 46.4640143856 +64 27 22.982878764|136.5076351720119 +05.1038831392854|    3.935 2.366   |9.42     |K2                   |    ~     ~    |    1|  693.433   pc  |  -9.2804     +9.2804  |paral   |2020yCat.1350....0G
1630|BD+65 316                                                                                                                                                                      |Star                                |03 04 53.1306359544 +66 09 49.054520916|135.8623640286996 +06.7011552254499| 29.999 -19.161   |10.41    |G5                   |    ~     ~    |    1|  123.191   pc  |  -0.2170     +0.2170  |paral   |2020yCat.1350....0G
1631|BD+65 317                                                                                                                                                                      |Star                                |03 06 10.0956114264 +66 09 25.845796152|135.9789857033851 +06.7597015864918|  43.003 -4.025   |10.02    |F8                   |    ~     ~    |    1|  121.159   pc  |  -0.1850     +0.1850  |paral   |2020yCat.1350....0G
1632|BD+65 319                                                                                                                                                                      |Star                                |03 06 18.4719400104 +66 10 31.183665348|135.9822187784501 +06.7824609939861|        4.5 2.8   |10.11    |G0                   |    ~     ~    |    0|                |                       |        |                   
1633|HD 18799                                                                                                                                                                       |Star                                |03 05 03.1328792496 +65 10 57.598473900|136.3635915399879 +05.8559584609319| 32.671 -29.905   |8.77     |F8                   |    ~     ~    |    1|  129.181   pc  |  -0.2753     +0.2753  |paral   |2020yCat.1350....0G
1634|HD 18823                                                                                                                                                                       |Star                                |03 05 12.3589988544 +65 33 06.150784932|136.1946861189751 +06.1849475405693|-29.659 -13.779   |8.05     |F8                   |    ~     ~    |    1|   71.818   pc  |  -0.3796     +0.3796  |paral   |2020yCat.1350....0G
1635|HD 18892                                                                                                                                                                       |Spectroscopic Binary                |03 05 40.9741459248 +65 09 24.174298944|136.4343547177915 +05.8660685783155| 17.737 -28.581   |7.17     |K0                   |    ~     ~    |    1|  151.021   pc  |  -2.5909     +2.5909  |paral   |2020yCat.1350....0G
1636|HD 18914                                                                                                                                                                       |Star                                |03 06 04.5539090280 +65 27 48.200356944|136.3174455731151 +06.1528004009969| 19.742 -16.949   |7.95     |A5                   |    ~     ~    |    1|  266.461   pc  |  -3.8341     +3.8341  |paral   |2020yCat.1350....0G
1637|BD+64 368                                                                                                                                                                      |Spectroscopic Binary                |03 06 02.4434938056 +64 54 35.377179660|136.5901830905330 +05.6702568891931| 28.782 -13.871   |9.67     |F8                   |    ~     ~    |    1|  214.666   pc  |  -0.6912     +0.6912  |paral   |2020yCat.1350....0G
1638|BD+64 374                                                                                                                                                                      |Spectroscopic Binary                |03 10 45.1147960152 +65 02 40.365631968|136.9547288898400 +06.0374304311560|  74.361 27.475   |8.67     |B2                   |    ~     ~    |    1|   70.588   pc  |  -1.6931     +1.6931  |paral   |2020yCat.1350....0G
1639|HD 19439                                                                                                                                                                       |High Proper Motion Star             |03 11 00.7368278328 +64 53 46.552116912|137.0547824572181 +05.9240999575955|-49.209 -15.465   |6.50     |A4V                  |    ~     ~    |    1|   78.825   pc  |  -0.1678     +0.1678  |paral   |2020yCat.1350....0G
1640|HD 19535                                                                                                                                                                       |Star                                |03 12 05.3417685744 +65 05 03.683441868|137.0558111736288 +06.1439382763914| -34.247 -9.205   |7.38     |F0                   |    ~     ~    |    1|   81.060   pc  |  -0.1281     +0.1281  |paral   |2020yCat.1350....0G
1641|HD 19100                                                                                                                                                                       |High Proper Motion Star             |03 07 49.5445702536 +64 25 45.375051180|136.9970735222796 +05.3487759018605|-29.680 -45.258   |9.20     |G5                   |    ~     ~    |    1|  148.544   pc  |  -0.3155     +0.3155  |paral   |2020yCat.1350....0G
1642|HD 19267                                                                                                                                                                       |Spectroscopic Binary                |03 09 22.1585160600 +64 17 58.750679904|137.2074971975777 +05.3208684524023|  0.861 -22.363   |6.85     |G5                   |    ~     ~    |    1|  302.371   pc  |  -5.2937     +5.2937  |paral   |2020yCat.1350....0G
1643|HD 19547                                                                                                                                                                       |Star                                |03 12 04.9200579288 +64 21 26.779111740|137.4316260852470 +05.5205338192391| -10.476 -4.327   |7.67     |A0                   |    ~     ~    |    1|  275.588   pc  |  -1.9519     +1.9519  |paral   |2020yCat.1350....0G
1644|BD+63 400                                                                                                                                                                      |Star                                |03 12 23.0126432496 +64 22 59.030649120|137.4464312572883 +05.5593000469973| 20.796 -26.115   |9.26     |F8                   |    ~     ~    |    1|  223.879   pc  |  -0.7518     +0.7518  |paral   |2020yCat.1350....0G
1645|V* YY Cas                                                                                                                                                                      |Long-Period Variable                |03 10 18.0418623600 +65 44 33.733204692|136.5553760225164 +06.6136981544205| -10.187 10.883   |8.89     |K5                   |    ~     ~    |    1|  458.064   pc  |  -4.2174     +4.2174  |paral   |2020yCat.1350....0G
1646|BD+63 376                                                                                                                                                                      |Star                                |03 01 53.7166270608 +64 02 51.228514248|136.6218629085166 +04.6997831777225|  -1.103 -2.417   |9.62     |B8                   |    ~     ~    |    1|  952.472   pc  | -23.4965    +23.4965  |paral   |2020yCat.1350....0G
1647|BD+63 382                                                                                                                                                                      |Star                                |03 03 11.2150361016 +63 46 53.128626780|136.8756269299574 +04.5354329158759|   5.579 -8.631   |10.13    |A0                   |    ~     ~    |    1|  370.480   pc  |  -2.7863     +2.7863  |paral   |2020yCat.1350....0G
1648|BD+63 385                                                                                                                                                                      |High Proper Motion Star             |03 04 00.1128610992 +63 37 03.048640896|137.0347524215940 +04.4361855526481|  -61.077 2.408   |9.02     |K0                   |    ~     ~    |    1|  146.492   pc  |  -0.3584     +0.3584  |paral   |2020yCat.1350....0G
1649|BD+63 386                                                                                                                                                                      |High Proper Motion Star             |03 04 13.0274918448 +63 46 19.246369692|136.9799308594146 +04.5826501623768| 82.046 -30.569   |9.25     |G0                   |    ~     ~    |    1|   88.543   pc  |  -0.1051     +0.1051  |paral   |2020yCat.1350....0G
1650|HD 18800                                                                                                                                                                       |Star                                |03 04 39.0363086136 +63 45 46.961613972|137.0262385957111 +04.5982793171889| -14.090 -3.013   |8.59     |F5                   |    ~     ~    |    1|   93.140   pc  |  -0.1414     +0.1414  |paral   |2020yCat.1350....0G
1651|BD+63 388                                                                                                                                                                      |Star                                |03 04 40.0930606200 +63 45 26.400196260|137.0307500177906 +04.5942557733573| -23.374 10.887   |9.24     |~                    |    ~     ~    |    1|  421.354   pc  |  -2.6098     +2.6098  |paral   |2020yCat.1350....0G
1652|BD+63 389                                                                                                                                                                      |Star                                |03 04 44.9261292816 +63 42 42.129027108|137.0609909225155 +04.5588593926162|  0.582 -50.162   |8.84     |F8                   |    ~     ~    |    1|   85.028   pc  |  -0.2371     +0.2371  |paral   |2020yCat.1350....0G
1653|HD 19065                                                                                                                                                                       |Star                                |03 07 18.9785125632 +64 03 27.478027080|137.1355858167559 +04.9992790777395|  -4.704 -0.715   |5.877    |B9V                  |    ~     ~    |    1|  174.004   pc  |  -2.3889     +2.3889  |paral   |2020yCat.1350....0G
1654|BD+63 394                                                                                                                                                                      |Star                                |03 09 13.4599395936 +64 06 05.069420316|137.2945138822961 +05.1418688075762|  17.024 18.235   |9.17     |K2                   |    ~     ~    |    1|  447.387   pc  |  -3.6428     +3.6428  |paral   |2020yCat.1350....0G
1655|IRAS 03073+6437                                                                                                                                                                |Star                                |03 11 40.7404022712 +64 48 57.910539384|137.1572470113316 +05.8915963681650|  -1.064 -3.069   |10.58    |~                    |    ~     ~    |    1| 1195.314   pc  | -26.5752    +26.5752  |paral   |2020yCat.1350....0G
1656|TYC 4052-112-1                                                                                                                                                                 |Star                                |03 02 33.0922017792 +63 37 30.113209128|136.8898483275799 +04.3645238052066|  8.876 -10.856   |9.86     |~                    |    ~     ~    |    1|  411.455   pc  |  -2.6071     +2.6071  |paral   |2020yCat.1350....0G
1657|TYC 4052-389-1                                                                                                                                                                 |Star                                |03 04 12.7167523920 +63 37 09.142370292|137.0543480838776 +04.4490589335430|  -12.171 6.966   |10.39    |~                    |    ~     ~    |    1|  694.975   pc  |  -7.8244     +7.8244  |paral   |2020yCat.1350....0G
1658|TYC 4056-141-1                                                                                                                                                                 |Star                                |03 06 21.7235336064 +63 48 28.862582400|137.1689653155143 +04.7305956300545| 11.310 -10.354   |10.30    |~                    |    ~     ~    |    1|  624.142   pc  |  -5.7264     +5.7264  |paral   |2020yCat.1350....0G
1659|TYC 4056-383-1                                                                                                                                                                 |High Proper Motion Star             |03 07 01.2220141440 +65 31 14.498249268|136.3742082579985 +06.2512527294553| 75.097 -44.149   |10.87    |~                    |    ~     ~    |    1|  228.896   pc  |  -0.9745     +0.9745  |paral   |2020yCat.1350....0G
1660|TYC 4056-452-1                                                                                                                                                                 |Star                                |03 06 06.9535091640 +64 58 19.655836320|136.5660919979321 +05.7283080421637| -6.916 -19.350   |10.90    |~                    |    ~     ~    |    1|  360.088   pc  | -13.7313    +13.7313  |paral   |2020yCat.1350....0G
1661|TYC 4056-455-1                                                                                                                                                                 |Pulsating Variable                  |03 08 04.1432514480 +65 09 11.032401276|136.6546290265174 +05.9878576043925|  -13.607 3.930   |10.08    |~                    |    ~     ~    |    1|  267.895   pc  |  -3.1793     +3.1793  |paral   |2020yCat.1350....0G
1662|TYC 4056-491-1                                                                                                                                                                 |Star                                |03 01 30.9109194672 +64 41 15.612792360|136.2767103596317 +05.2412544194132|   5.015 -3.373   |10.55    |~                    |    ~     ~    |    1|  692.761   pc  | -14.3495    +14.3495  |paral   |2020yCat.1350....0G
1663|TYC 4056-532-1                                                                                                                                                                 |Star                                |03 05 48.0355691568 +65 18 54.575568900|136.3662919116190 +06.0098520399750|  -0.021 -0.302   |10.95    |~                    |    ~     ~    |    1|  989.903   pc  | -15.5805    +15.5805  |paral   |2020yCat.1350....0G
1664|TYC 4056-576-1                                                                                                                                                                 |Star                                |03 03 58.3703516424 +65 19 03.221871348|136.1980822906460 +05.9180411455652|   -1.989 1.188   |10.71    |~                    |    ~     ~    |    1|  574.020   pc  | -22.1423    +22.1423  |paral   |2020yCat.1350....0G
1665|TYC 4056-601-1                                                                                                                                                                 |Star                                |03 00 04.0702218240 +64 20 01.407979500|136.3092177782857 +04.8559303778976|  -1.968 -7.789   |10.85    |~                    |    ~     ~    |    1|  446.150   pc  |  -2.6673     +2.6673  |paral   |2020yCat.1350....0G
1666|TYC 4056-634-1                                                                                                                                                                 |Star                                |03 05 06.0105308784 +65 18 04.643648064|136.3092309013307 +05.9616609937048|  -2.409 -6.499   |10.67    |~                    |    ~     ~    |    1|  471.342   pc  |  -3.3102     +3.3102  |paral   |2020yCat.1350....0G
1667|TYC 4056-635-1                                                                                                                                                                 |Star                                |03 08 23.5390928376 +64 29 04.655130036|137.0222134433453 +05.4273124070568|   -0.876 9.284   |10.41    |~                    |    ~     ~    |    1|  251.029   pc  |  -0.8129     +0.8129  |paral   |2020yCat.1350....0G
1668|TYC 4056-655-1                                                                                                                                                                 |Star                                |03 00 30.2330247552 +64 22 20.385716124|136.3324119181717 +04.9123440593811| 14.006 -17.633   |10.35    |~                    |    ~     ~    |    1|  425.786   pc  |  -3.3177     +3.3177  |paral   |2020yCat.1350....0G
1669|TYC 4056-701-1                                                                                                                                                                 |Star                                |03 06 28.9875691392 +64 40 36.278251968|136.7474868804226 +05.4912711114425|   -4.716 0.910   |9.88     |~                    |    ~     ~    |    1|  302.444   pc  |  -1.4178     +1.4178  |paral   |2020yCat.1350....0G
1670|TYC 4056-932-1                                                                                                                                                                 |High Proper Motion Star             |03 06 24.6843113016 +65 04 51.890575080|136.5389440403515 +05.8383732778047| 72.017 -91.162   |9.91     |~                    |    ~     ~    |    1|  138.521   pc  |  -0.2763     +0.2763  |paral   |2020yCat.1350....0G
1671|TYC 4056-936-1                                                                                                                                                                 |Star                                |03 04 12.4093669968 +64 16 55.916378796|136.7286024451121 +05.0271371474849|   -2.577 3.354   |10.78    |~                    |    ~     ~    |    1|  670.961   pc  |  -6.7528     +6.7528  |paral   |2020yCat.1350....0G
1672|TYC 4056-1055-1                                                                                                                                                                |Star                                |03 04 11.4149847696 +64 20 24.636275340|136.6985624589599 +05.0768286160978|  -5.706 -2.401   |10.62    |~                    |    ~     ~    |    1|  445.752   pc  | -10.4315    +10.4315  |paral   |2020yCat.1350....0G
1673|TYC 4056-1190-1                                                                                                                                                                |Star                                |03 08 22.2959072448 +64 06 28.296163944|137.2105158366447 +05.1005117009408| 38.299 -17.787   |10.96    |~                    |    ~     ~    |    1|  278.917   pc  |  -1.1202     +1.1202  |paral   |2020yCat.1350....0G
1674|TYC 4056-1266-1                                                                                                                                                                |Star                                |03 06 22.5033424512 +65 24 14.738044860|136.3742052630389 +06.1167749848328|   -1.930 0.898   |10.00    |~                    |    ~     ~    |    1|  385.877   pc  |  -7.9215     +7.9215  |paral   |2020yCat.1350....0G
1675|TYC 4056-1297-1                                                                                                                                                                |Star                                |03 08 29.2486151952 +64 05 55.709140560|137.2260656278389 +05.0990497848482| 37.893 -18.655   |10.32    |~                    |    ~     ~    |    1|  281.809   pc  |  -1.1118     +1.1118  |paral   |2020yCat.1350....0G
1676|TYC 4056-1388-1                                                                                                                                                                |Star                                |03 04 16.8874533672 +65 07 24.234503772|136.3219680808140 +05.7645604394131|   0.897 -2.036   |10.75    |~                    |    ~     ~    |    1|  819.941   pc  |  -9.2106     +9.2106  |paral   |2020yCat.1350....0G
1677|TYC 4056-1441-1                                                                                                                                                                |Star                                |03 03 01.9329752256 +63 59 39.591218400|136.7570480315408 +04.7133353709709|    0.169 1.102   |10.79    |~                    |    ~     ~    |    1|  936.856   pc  | -25.8921    +25.8921  |paral   |2020yCat.1350....0G
1678|TYC 4056-1459-1                                                                                                                                                                |Star                                |03 03 48.7801213992 +64 03 37.100649672|136.7998021656135 +04.8125573755025|  -22.482 2.556   |9.95     |~                    |    ~     ~    |    1|  284.325   pc  |  -1.8593     +1.8593  |paral   |2020yCat.1350....0G
1679|TYC 4056-1597-1                                                                                                                                                                |Star                                |03 04 39.6126200208 +63 55 36.646363020|136.9465835147387 +04.7415591867656|  2.403 -18.484   |10.95    |~                    |    ~     ~    |    1|  222.767   pc  |  -2.5557     +2.5557  |paral   |2020yCat.1350....0G
1680|TYC 4056-1786-1                                                                                                                                                                |Star                                |03 02 39.6689815872 +64 46 44.705774172|136.3399998738881 +05.3803178217769|  7.171 -10.959   |10.74    |~                    |    ~     ~    |    1|  392.958   pc  |  -2.7486     +2.7486  |paral   |2020yCat.1350....0G
1681|TYC 4056-1806-1                                                                                                                                                                |Star                                |03 02 54.0289005792 +64 16 50.841445800|136.6050360303233 +04.9568951110169|  15.578 -2.313   |10.60    |~                    |    ~     ~    |    1|  253.711   pc  |  -1.1265     +1.1265  |paral   |2020yCat.1350....0G
1682|TYC 4056-1808-1                                                                                                                                                                |Star                                |03 03 35.1418524648 +64 24 40.648598064|136.6064400566795 +05.1069917295417|   6.469 -4.136   |9.78     |~                    |    ~     ~    |    1|  458.547   pc  |  -3.0909     +3.0909  |paral   |2020yCat.1350....0G
1683|TYC 4056-1818-1                                                                                                                                                                |Star                                |03 07 12.5931400008 +63 52 38.694953748|137.2156807595250 +04.8372708735570|   -3.001 0.121   |10.94    |~                    |    ~     ~    |    1|  666.622   pc  |  -8.3100     +8.3100  |paral   |2020yCat.1350....0G
1684|TYC 4056-1822-1                                                                                                                                                                |Star                                |03 01 38.9290945152 +63 53 12.103086192|136.6756807958194 +04.5457303409557|   3.139 -4.984   |10.53    |~                    |    ~     ~    |    1|  656.211   pc  |  -6.2439     +6.2439  |paral   |2020yCat.1350....0G
1685|TYC 4056-1827-1                                                                                                                                                                |Star                                |03 03 38.1025178688 +64 32 32.468249832|136.5469790548270 +05.2240314327369|  19.704 10.908   |10.37    |~                    |    ~     ~    |    1|  214.652   pc  |  -2.7185     +2.7185  |paral   |2020yCat.1350....0G
1686|TYC 4057-34-1                                                                                                                                                                  |Star                                |03 09 27.8786 +64 50 20.646            |136.9419094 +05.7911858            |      -13.6 7.2   |10.08    |~                    |    ~     ~    |    0|                |                       |        |                   
1687|TYC 4057-59-1                                                                                                                                                                  |Star                                |03 11 49.7002764408 +65 12 23.361049368|136.9689109517113 +06.2345081609926|  10.338 -0.804   |10.21    |~                    |    ~     ~    |    1|  451.814   pc  |  -2.6946     +2.6946  |paral   |2020yCat.1350....0G
