C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
50  |TYC 2351-847-1                                                                                                                                                                 |Star                                |03 04 37.3488961032 +37 00 12.313188468|150.4918172850510 -18.6406575373315|  17.323 -9.804   |10.87    |~                    |    ~     ~    |    1|  333.589   pc  |  -1.9474     +1.9474  |paral   |2020yCat.1350....0G
51  |TYC 2351-853-1                                                                                                                                                                 |High Proper Motion Star             |03 00 11.5342677072 +35 45 36.269897148|150.3515512512527 -20.1649295814643| 35.708 -26.817   |10.78    |~                    |    ~     ~    |    1|  202.061   pc  |  -0.7308     +0.7308  |paral   |2020yCat.1350....0G
52  |TYC 2847-125-1                                                                                                                                                                 |Star                                |03 01 00.0122182608 +37 42 50.309202559|149.4569857644302 -18.3954667260403|   13.60 -19.10   |10.47    |~                    |    ~     ~    |    0|                |                       |        |                   
53  |TYC 2847-821-1                                                                                                                                                                 |Star                                |03 03 24.1483678848 +37 31 58.524601224|149.9857316443722 -18.3106769957378|  30.719 -7.881   |10.83    |~                    |    ~     ~    |    1|  206.237   pc  |  -0.7571     +0.7571  |paral   |2020yCat.1350....0G
54  |BD+37 678                                                                                                                                                                      |Star                                |03 00 26.3476098792 +38 19 21.304491024|149.0355620195430 -17.9240097309621|  8.672 -22.120   |10.46    |G5                   |    ~     ~    |    1|  106.963   pc  |  -0.2105     +0.2105  |paral   |2020yCat.1350....0G
55  |HD 18552                                                                                                                                                                       |Be Star                             |03 00 11.8861086336 +38 07 54.197462964|149.0925762256158 -18.1130328133684| 20.165 -22.218   |6.11     |B7IVe                |    ~     ~    |    1|  224.065   pc  |  -2.8516     +2.8516  |paral   |2020yCat.1350....0G
56  |HD 18614                                                                                                                                                                       |Star                                |03 00 55.5442274208 +40 25 04.527373548|148.0308956877223 -16.0595415421719| -14.666 -3.428   |7.92     |A3                   |    ~     ~    |    1|  147.743   pc  |  -0.6701     +0.6701  |paral   |2020yCat.1350....0G
57  |BD+39 692                                                                                                                                                                      |Star                                |03 01 23.1655909944 +40 15 46.235020248|148.1903239379729 -16.1505573470016|  -8.699 -6.157   |9.22     |K0                   |    ~     ~    |    1|  420.964   pc  |  -3.6505     +3.6505  |paral   |2020yCat.1350....0G
58  |HD 18687                                                                                                                                                                       |Star                                |03 01 36.2173618296 +40 21 49.817029500|148.1754166620581 -16.0423242618677|   6.937 -5.432   |8.39     |A0                   |    ~     ~    |    1|  362.109   pc  | -16.6919    +16.6919  |paral   |2020yCat.1350....0G
59  |BD+39 685                                                                                                                                                                      |Star                                |03 00 20.4578559168 +40 01 22.670483916|148.1336860541836 -16.4579341674442| -10.717 -5.706   |9.62     |F8                   |    ~     ~    |    1|  122.269   pc  |  -0.2855     +0.2855  |paral   |2020yCat.1350....0G
60  |BD+39 686                                                                                                                                                                      |Star                                |03 00 28.5203497200 +39 54 41.376748356|148.2145864053157 -16.5420271519921|  7.473 -34.721   |9.96     |K0                   |    ~     ~    |    1|  212.404   pc  |  -0.7895     +0.7895  |paral   |2020yCat.1350....0G
61  |BD+38 605                                                                                                                                                                      |Star                                |03 00 03.3826901256 +39 24 37.833418944|148.4006778247803 -17.0171514338626| -4.492 -13.291   |9.93     |K0                   |    ~     ~    |    1|  568.150   pc  |  -6.1976     +6.1976  |paral   |2020yCat.1350....0G
62  |BD+38 607                                                                                                                                                                      |Star                                |03 00 16.7991551832 +39 27 12.332941200|148.4176472197816 -16.9584765182935|   7.838 -6.298   |9.84     |A0                   |    ~     ~    |    1|  352.995   pc  |  -5.0465     +5.0465  |paral   |2020yCat.1350....0G
63  |BD+38 608                                                                                                                                                                      |Star                                |03 00 21.4208835192 +39 29 42.175465656|148.4095571947478 -16.9149617294913| 38.754 -24.478   |8.94     |K2                   |    ~     ~    |    1|  311.643   pc  |  -3.3118     +3.3118  |paral   |2020yCat.1350....0G
64  |HD 18567                                                                                                                                                                       |Double or Multiple Star             |03 00 31.1722834 +39 34 21.279905      |148.3977794325 -16.8321022457      |   -21.65 -5.26   |8.76     |F0                   |0.0050  0.0    |    0|                |                       |        |                   
