C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
41  |V* AZ Cam                                                                                                |Spectroscopic Binary               |09 14 38.4375413640 +81 56 30.399394704|130.6056413824849 +31.6319509047020| -6.477 -11.529   |9.82     |F0               |    ~     ~    |    1|  518.807   pc  |  -4.0643     +4.0643  |paral   |2020yCat.1350....0G
42  |TYC 4547-1291-1                                                                                          |Star                               |09 08 41.0857239288 +81 53 54.996695808|130.7763362106118 +31.4754264351178|   -2.222 3.775   |10.89    |~                |    ~     ~    |    1| 1065.303   pc  | -12.8240    +12.8240  |paral   |2020yCat.1350....0G
43  |BD+81 275                                                                                                |Star                               |09 03 06.4695284352 +80 36 51.753419604|132.2135487040439 +31.9211678075775|  -7.986 -4.497   |10.67    |F8               |    ~     ~    |    1|  647.040   pc  |  -7.3684     +7.3684  |paral   |2020yCat.1350....0G
44  |BD+81 276                                                                                                |High Proper Motion Star            |09 06 33.7464004896 +81 18 34.310727036|131.4205453513077 +31.7031996844416|-59.770 -41.472   |9.84     |G5               |    ~     ~    |    1|   77.956   pc  |  -0.0711     +0.0711  |paral   |2020yCat.1350....0G
45  |BD+81 277                                                                                                |Star                               |09 06 43.1266447128 +81 04 19.667967420|131.6599532293163 +31.8255214739666|    0.551 2.905   |10.29    |K2               |    ~     ~    |    1|  778.028   pc  | -16.1017    +16.1017  |paral   |2020yCat.1350....0G
46  |HD 76809                                                                                                 |Star                               |09 08 46.8997680960 +81 05 28.266307872|131.5937220925840 +31.8854418736654| 20.646 -29.896   |8.61     |F8               |    ~     ~    |    1|   99.715   pc  |  -0.1372     +0.1372  |paral   |2020yCat.1350....0G
47  |BD+81 280                                                                                                |Star                               |09 10 16.2948109800 +80 42 50.636094804|131.9433856412317 +32.1257880771552|  -8.928 -4.524   |10.41    |F0               |    ~     ~    |    1|  435.673   pc  |  -3.0749     +3.0749  |paral   |2020yCat.1350....0G
48  |BD+81 281                                                                                                |Star                               |09 11 31.1454736080 +81 20 11.437200096|131.2823442581874 +31.8510916508825| -7.559 -13.840   |9.90     |K2               |    ~     ~    |    1|  820.546   pc  |  -8.4835     +8.4835  |paral   |2020yCat.1350....0G
49  |HD 77246                                                                                                 |Star                               |09 11 12.6508968552 +80 49 44.070191220|131.8039388262115 +32.1001641125970|-20.830 -15.464   |6.350    |F2               |    ~     ~    |    1|   75.085   pc  |  -0.1167     +0.1167  |paral   |2020yCat.1350....0G
50  |BD+81 283                                                                                                |Star                               |09 12 28.8159961704 +81 08 42.240589224|131.4535351174326 +31.9809925492376|    4.367 7.741   |10.35    |G5               |    ~     ~    |    1|  895.977   pc  | -10.0347    +10.0347  |paral   |2020yCat.1350....0G
51  |BD+81 284                                                                                                |Star                               |09 13 52.1984155488 +81 07 11.551925892|131.4462026651583 +32.0398497761287|  -8.910 -4.136   |9.71     |F0               |    ~     ~    |    1|  187.389   pc  |  -0.9446     +0.9446  |paral   |2020yCat.1350....0G
