C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1265|HD 78553                                                                                                 |Star                               |09 09 48.3809492064 +32 07 42.175246944|192.9072511991213 +42.0975944361054|-12.091 -18.712   |8.70     |K0               |    ~     ~    |    1|  472.010   pc  | -18.7369    +18.7369  |paral   |2020yCat.1350....0G
1266|BD+33 1813                                                                                               |High Proper Motion Star            |09 09 05.0408113152 +32 28 09.991060248|192.4214724854300 +42.0001354345565|-121.131 57.105   |10.76    |K5               |    ~     ~    |    1|   47.818   pc  |  -0.0425     +0.0425  |paral   |2020yCat.1350....0G
1267|BD+32 1840                                                                                               |Star                               |09 05 52.8776307672 +31 44 13.828424280|193.2401633915534 +41.2117792340292|  11.444 -4.033   |9.57     |G5               |    ~     ~    |    1|  512.426   pc  |  -6.7746     +6.7746  |paral   |2020yCat.1350....0G
1268|BD+31 1925                                                                                               |Star                               |09 04 16.6334737176 +31 15 49.325619060|193.7780862642235 +40.7919200404640|  -3.933 -1.503   |10.67    |K0               |    ~     ~    |    1|  939.496   pc  | -16.5939    +16.5939  |paral   |2020yCat.1350....0G
1269|HD 77931                                                                                                 |Star                               |09 06 25.8671185752 +30 54 48.035879244|194.3453805400124 +41.1818130936744|   6.076 -1.089   |9.01     |A5               |    ~     ~    |    1|  416.806   pc  |  -4.0131     +4.0131  |paral   |2020yCat.1350....0G
1270|BD+31 1931                                                                                               |Star                               |09 06 58.3856870952 +31 23 51.499010076|193.7387442987973 +41.3822398992665|  1.140 -20.847   |9.28     |K0               |    ~     ~    |    1|  545.524   pc  |  -5.5651     +5.5651  |paral   |2020yCat.1350....0G
1271|HD 78139                                                                                                 |Star                               |09 07 37.7629498224 +31 12 02.000603988|194.0303079407567 +41.4857493084133| -4.203 -29.043   |6.96     |K2               |    ~     ~    |    1|  340.704   pc  |  -2.4144     +2.4144  |paral   |2020yCat.1350....0G
1272|BD+31 1936                                                                                               |Star                               |09 08 06.3173132016 +31 04 29.756288748|194.2194896348786 +41.5637962324514|-16.964 -33.201   |9.48     |K0               |    ~     ~    |    1|  469.572   pc  |  -4.2777     +4.2777  |paral   |2020yCat.1350....0G
1273|BD+31 1944                                                                                               |Star                               |09 10 20.0975966328 +31 21 52.928459352|193.9472634777906 +42.0834607341047|   2.737 -4.634   |9.92     |K0               |    ~     ~    |    1|  818.465   pc  | -15.2064    +15.2064  |paral   |2020yCat.1350....0G
1274|NGC 2770                           NGC 2770                                                              |Galaxy towards a Group of Galaxies |09 09 33.622 +33 07 24.29              |191.570001 +42.196474              |            ~ ~   |     ~   |~                |1.967 0.511    |    1|   27.04    Mpc |  -1.70       +1.70    |T-F     |2020ApJ...902..145K
1275|NGC 2770E                          LEDA 82334                                                            |Galaxy                             |09 10 31.7472307440 +33 03 30.043695312|191.6962738159848 +42.3879947686590|            ~ ~   |     ~   |~                | 0.36  0.21    |    0|                |                       |        |                   
1276|BD+33 1803                                                                                               |Star                               |09 05 39.9856386000 +32 26 35.725172532|192.3040265039135 +41.2840804390690|-11.975 -29.924   |10.07    |~                |    ~     ~    |    1|  190.320   pc  |  -0.9997     +0.9997  |paral   |2020yCat.1350....0G
1277|TYC 2492-385-1                                                                                           |Star                               |09 05 39.7464861360 +32 26 32.635282992|192.3049737545092 +41.2831123504965|-12.390 -29.343   |10.50    |~                |    ~     ~    |    1|  192.286   pc  |  -0.7728     +0.7728  |paral   |2020yCat.1350....0G
1278|TYC 2492-1-1                                                                                             |Star                               |09 02 06.6589306512 +32 17 45.653524584|192.3321248969948 +40.5193321771939|    0.368 1.656   |10.72    |~                |    ~     ~    |    1|  277.177   pc  |  -1.6441     +1.6441  |paral   |2020yCat.1350....0G
1279|TYC 2492-11-1                                                                                            |Star                               |09 01 19.1780369376 +32 23 19.292157636|192.1748952712016 +40.3703048055358|  4.639 -12.053   |10.86    |~                |    ~     ~    |    1|  419.886   pc  |  -7.3695     +7.3695  |paral   |2020yCat.1350....0G
1280|TYC 2492-86-1                                                                                            |Star                               |09 01 06.2936811864 +31 15 06.469778916|193.6300646724201 +40.1232759422850|  5.780 -24.324   |10.35    |~                |    ~     ~    |    1|  280.300   pc  |  -1.5164     +1.5164  |paral   |2020yCat.1350....0G
1281|TYC 2492-119-1                                                                                           |Star                               |09 02 01.1519318184 +31 49 18.200649000|192.9417621240307 +40.4181711169145|   -4.353 1.184   |10.43    |~                |    ~     ~    |    1| 1432.460   pc  | -43.2959    +43.2959  |paral   |2020yCat.1350....0G
1282|TYC 2492-121-1                                                                                           |Star                               |09 01 01.1921234208 +31 49 35.276017476|192.8863010393979 +40.2100967310052| -17.903 -0.880   |10.29    |~                |    ~     ~    |    1|  541.389   pc  |  -6.7120     +6.7120  |paral   |2020yCat.1350....0G
1283|TYC 2492-185-1                                                                                           |Star                               |09 00 57.5647730064 +31 07 32.078376948|193.7845411606131 +40.0690947346456| 27.046 -37.294   |10.93    |~                |    ~     ~    |    1|  294.803   pc  |  -1.7729     +1.7729  |paral   |2020yCat.1350....0G
1284|TYC 2492-330-1                                                                                           |Star                               |09 02 31.2192584760 +30 48 53.686578924|194.2667951627763 +40.3389187886116|  -0.656 -3.638   |10.87    |~                |    ~     ~    |    1| 1025.220   pc  | -18.9194    +18.9194  |paral   |2020yCat.1350....0G
1285|TYC 2492-406-1                                                                                           |Star                               |09 08 39.6002925624 +32 20 02.525996400|192.5825617587351 +41.8906393868716| -17.960 -5.172   |10.72    |~                |    ~     ~    |    1|  415.386   pc  |  -4.1929     +4.1929  |paral   |2020yCat.1350....0G
1286|TYC 2492-525-1                                                                                           |Star                               |09 05 01.5233475288 +32 04 45.541074468|192.7515065800157 +41.0906538039966|-30.057 -18.519   |10.06    |~                |    ~     ~    |    1|  475.150   pc  |  -3.7929     +3.7929  |paral   |2020yCat.1350....0G
1287|TYC 2492-573-1                                                                                           |Star                               |09 03 08.4825942888 +31 49 38.646824268|192.9894187056392 +40.6538410716638|  -2.880 -8.922   |10.12    |~                |    ~     ~    |    1| 1174.398   pc  | -22.4811    +22.4811  |paral   |2020yCat.1350....0G
1288|TYC 2492-605-1                                                                                           |Star                               |09 08 03.9341472888 +31 29 40.655561604|193.6648728664334 +41.6284874957471|  -3.255 -8.525   |10.68    |~                |    ~     ~    |    1|  871.080   pc  | -15.5550    +15.5550  |paral   |2020yCat.1350....0G
1289|TYC 2492-715-1                                                                                           |Star                               |09 03 30.8748786096 +32 06 41.785461576|192.6379972063688 +40.7806960157587| -13.150 -2.798   |10.40    |~                |    ~     ~    |    1|  583.260   pc  |  -8.6749     +8.6749  |paral   |2020yCat.1350....0G
1290|TYC 2492-779-1                                                                                           |Star                               |09 09 14.5511534520 +31 32 15.303978384|193.6651516915399 +41.8829747155477|   -6.540 0.893   |10.66    |~                |    ~     ~    |    1|  841.893   pc  | -16.0185    +16.0185  |paral   |2020yCat.1350....0G
1291|TYC 2492-1424-1                                                                                          |Star                               |09 03 02.3330223072 +31 33 21.261443148|193.3364151671611 +40.5844741073187|  9.636 -14.338   |10.78    |~                |    ~     ~    |    1|  222.901   pc  |  -0.7701     +0.7701  |paral   |2020yCat.1350....0G
1292|TYC 2492-1727-1                                                                                          |Star                               |09 03 49.4781275496 +30 38 55.627491048|194.5512105866754 +40.5824986829584|   43.465 6.908   |10.46    |~                |    ~     ~    |    1|  111.794   pc  |  -3.0208     +3.0208  |paral   |2020yCat.1350....0G
1293|TYC 2495-502-1                                                                                           |Spectroscopic Binary               |09 09 45.8303872896 +33 36 51.952284180|190.9211108378186 +42.3069679916808|   0.143 -6.958   |10.61    |~                |    ~     ~    |    1|  921.234   pc  | -17.9919    +17.9919  |paral   |2020yCat.1350....0G
1294|TYC 2495-1013-1                                                                                          |Star                               |09 02 46.2936477696 +32 57 41.215039776|191.4970720087806 +40.7656352066812| 22.059 -15.404   |10.73    |~                |    ~     ~    |    1|  213.639   pc  |  -1.1639     +1.1639  |paral   |2020yCat.1350....0G
1295|TYC 2495-1141-1                                                                                          |Star                               |09 00 39.3377172072 +32 34 40.697953212|191.8992281540705 +40.2642115758460| 20.197 -19.783   |10.04    |~                |    ~     ~    |    1|  353.369   pc  |  -3.1717     +3.1717  |paral   |2020yCat.1350....0G
1296|TYC 2495-1325-1                                                                                          |Star                               |09 08 05.0047719168 +33 26 15.110633364|191.0919972558268 +41.9356474813215| 10.849 -24.984   |10.06    |~                |    ~     ~    |    1|  175.704   pc  |  -0.5526     +0.5526  |paral   |2020yCat.1350....0G
1297|TYC 2495-1380-1                                                                                          |Star                               |09 07 07.7817258480 +33 25 03.387754128|191.0804331005923 +41.7358492811970|-12.211 -23.470   |10.24    |~                |    ~     ~    |    1|  262.199   pc  |  -2.2137     +2.2137  |paral   |2020yCat.1350....0G
1298|TYC 2495-1447-1                                                                                          |High Proper Motion Star            |09 06 08.5239714336 +33 10 01.694299368|191.3714625497574 +41.4950389934284|-32.111 -46.452   |10.12    |~                |    ~     ~    |    1|  150.980   pc  |  -0.4969     +0.4969  |paral   |2020yCat.1350....0G
1299|NGC 2770C                          LEDA 5065934                                                          |Brightest Galaxy in a Cluster (BCG)|09 09 46.779 +33 08 34.68              |191.552736 +42.244705              |            ~ ~   |     ~   |~                |    ~     ~    |    0|                |                       |        |                   
1300|BD+30 1802                                                                                               |Star                               |09 00 29.3778907824 +29 48 20.228416272|195.4447882258425 +39.7088079424208|  -2.136 -3.749   |10.17    |F2               |    ~     ~    |    1|  231.567   pc  |  -1.3245     +1.3245  |paral   |2020yCat.1350....0G
1301|BD+30 1805                                                                                               |Star                               |09 00 52.2529105104 +30 07 29.308632312|195.0602592797839 +39.8550160086466|   4.365 -2.361   |8.64     |M0               |    ~     ~    |    1|  943.040   pc  | -28.5473    +28.5473  |paral   |2020yCat.1350....0G
1302|HD 76976                                                                                                 |Star                               |09 00 20.7054998352 +28 40 07.321871820|196.8763261979221 +39.4332325776661|   3.775 -1.546   |7.61     |M0III            |    ~     ~    |    1|  295.989   pc  |  -2.1815     +2.1815  |paral   |2020yCat.1350....0G
1303|BD+29 1852                                                                                               |Star                               |09 00 50.3471649504 +29 05 00.974825124|196.3824142567919 +39.6300221888181| -9.702 -10.373   |9.10     |M0               |    ~     ~    |    1|  689.275   pc  |  -8.6943     +8.6943  |paral   |2020yCat.1350....0G
1304|HD 77064                                                                                                 |Star                               |09 00 59.3295621624 +29 14 04.297085772|196.2001366720733 +39.6944889455103|   6.136 -3.206   |9.35     |A5               |    ~     ~    |    1|  323.112   pc  |  -2.2029     +2.2029  |paral   |2020yCat.1350....0G
1305|BD+29 1854                                                                                               |Star                               |09 01 38.9781072144 +28 58 00.061925376|196.5807537304200 +39.7775968132319| -12.013 -6.253   |9.96     |F8               |    ~     ~    |    1|  337.211   pc  | -13.7477    +13.7477  |paral   |2020yCat.1350....0G
1306|HD 77264                                                                                                 |Star                               |09 02 24.6260738112 +29 07 03.553480776|196.4354135705932 +39.9725358070067|  -7.028 -7.418   |8.86     |K2               |    ~     ~    |    1|  711.035   pc  | -12.7910    +12.7910  |paral   |2020yCat.1350....0G
1307|HD 77312                                                                                                 |Star                               |09 02 41.8172555160 +29 22 30.802190340|196.1240047684719 +40.0882561953324|-23.165 -12.833   |8.69     |A0               |    ~     ~    |    1|  236.300   pc  |  -1.7142     +1.7142  |paral   |2020yCat.1350....0G
1308|BD+28 1673                                                                                               |Star                               |09 01 44.7763822656 +27 55 37.869722256|197.9030043258969 +39.5650171098987|-19.326 -29.198   |9.10     |K7               |    ~     ~    |    1|  436.834   pc  |  -3.8928     +3.8928  |paral   |2020yCat.1350....0G
1309|* 67 Cnc                                                                                                 |High Proper Motion Star            |09 01 48.8312730216 +27 54 09.365191776|197.9385154758547 +39.5738467522000|-54.797 -81.038   |6.070    |A8Vn             |    ~     ~    |    1|   56.671   pc  |  -0.2434     +0.2434  |paral   |2020yCat.1350....0G
1310|HD 78065                                                                                                 |Double or Multiple Star            |09 07 08.8 +30 37 01                   |194.7704 +41.2784                  |            ~ ~   |8.6      |K0               |    ~     ~    |    0|                |                       |        |                   
1311|HD 78332                                                                                                 |High Proper Motion Star            |09 08 33.7086911784 +30 37 30.712546488|194.8343960303778 +41.5791480170024| -78.883 -9.484   |8.79     |K0               |    ~     ~    |    1|  403.926   pc  |  -3.2631     +3.2631  |paral   |2020yCat.1350....0G
1312|HD 78513                                                                                                 |Star                               |09 09 38.2039882560 +30 42 46.076737896|194.7752561875228 +41.8223580894293|-20.231 -42.361   |7.94     |A5               |    ~     ~    |    1|  125.411   pc  |  -0.5442     +0.5442  |paral   |2020yCat.1350....0G
1313|HD 77390                                                                                                 |Pulsating Variable                 |09 03 07.2043506048 +30 06 09.869072616|195.2161784004485 +40.3270840733513|  11.113 -0.596   |8.03     |A2               |    ~     ~    |    1|  258.853   pc  |  -2.2179     +2.2179  |paral   |2020yCat.1350....0G
1314|V* RS Cnc                                                                                                |S Star                             |09 10 38.7970163421 +30 57 47.291122681|194.4957083420434 +42.0801120408842|-10.723 -33.822   |5.95     |M6S              |    ~     ~    |    1|  150.399   pc  | -11.1877    +11.1877  |paral   |2020yCat.1350....0G
1315|BD+31 1939                                                                                               |Star                               |09 09 07.0365898656 +30 30 45.321418800|195.0118514331397 +41.6760107069336|-11.632 -11.336   |9.19     |K2               |    ~     ~    |    1|  446.528   pc  |  -4.9647     +4.9647  |paral   |2020yCat.1350....0G
1316|BD+31 1940                                                                                               |Star                               |09 09 35.1653848920 +30 29 09.216416796|195.0718799092776 +41.7703696688898|-16.111 -19.893   |9.33     |F8               |    ~     ~    |    1|  202.237   pc  |  -0.7853     +0.7853  |paral   |2020yCat.1350....0G
1317|BD+31 1947                                                                                               |Star                               |09 10 38.1433531560 +30 32 45.285757620|195.0479870230684 +42.0035857258203|   -7.513 7.612   |10.38    |F5               |    ~     ~    |    1|  396.479   pc  |  -3.7098     +3.7098  |paral   |2020yCat.1350....0G
1318|HD 78276                                                                                                 |Star                               |09 08 13.0695034704 +30 13 24.691761840|195.3428866611835 +41.4314078327159| -1.028 -19.336   |8.58     |K0               |    ~     ~    |    1|  393.391   pc  |  -4.9058     +4.9058  |paral   |2020yCat.1350....0G
1319|HD 78299                                                                                                 |Star                               |09 08 23.5204601976 +30 18 59.684216472|195.2304340653774 +41.4859142782022| -37.100 -9.142   |8.81     |K0               |    ~     ~    |    1|  131.931   pc  |  -0.4177     +0.4177  |paral   |2020yCat.1350....0G
1320|BD+30 1823                                                                                               |Star                               |09 10 30.4778040096 +30 21 39.964833216|195.2856299348287 +41.9427711501849|   3.750 -1.699   |9.21     |M0               |    ~     ~    |    1| 1110.248   pc  | -29.2138    +29.2138  |paral   |2020yCat.1350....0G
1321|BD+30 1824                                                                                               |Star                               |09 10 47.7272376624 +30 06 18.026229060|195.6394829473666 +41.9562029185314|   8.724 -4.044   |9.85     |K0               |    ~     ~    |    1|  598.480   pc  |  -6.9845     +6.9845  |paral   |2020yCat.1350....0G
1322|BD+30 1825                                                                                               |Star                               |09 10 51.6817918008 +30 00 21.070655388|195.7740381806389 +41.9515465571164|-16.613 -15.893   |10.66    |G5               |    ~     ~    |    1|  348.833   pc  |  -3.1151     +3.1151  |paral   |2020yCat.1350....0G
1323|V* WW Cnc                                                                                                |Eclipsing Binary                   |09 09 48.6028247880 +30 25 36.822149904|195.1615628870793 +41.8069595450814|-15.583 -14.514   |10.53    |A8(N)            |    ~     ~    |    1|  278.878   pc  |  -2.2787     +2.2787  |paral   |2020yCat.1350....0G
1324|BD+30 1809                                                                                               |Star                               |09 04 22.2484104240 +29 37 07.953829500|195.9104466040852 +40.4950610300113|  2.766 -14.675   |10.53    |F0               |    ~     ~    |    1|  314.961   pc  |  -4.2259     +4.2259  |paral   |2020yCat.1350....0G
1325|BD+30 1813                                                                                               |High Proper Motion Star            |09 05 41.3049373752 +29 35 59.702416512|196.0116795952085 +40.7716017444669|-57.731 -92.668   |9.29     |G0               |    ~     ~    |    1|   85.659   pc  |  -0.1460     +0.1460  |paral   |2020yCat.1350....0G
1326|BD+30 1816                                                                                               |Star                               |09 07 37.7895210120 +29 36 04.099882932|196.1225543655593 +41.1852278072003|   4.030 -3.759   |9.10     |K0               |    ~     ~    |    1|  473.979   pc  |  -4.7852     +4.7852  |paral   |2020yCat.1350....0G
1327|* tau Cnc                                                                                                |Star                               |09 08 00.0501376128 +29 39 15.235678080|196.0747156688302 +41.2748100983766|  -32.199 2.640   |5.420    |G8III            |    ~     ~    |    1|   83.094   pc  |  -0.6953     +0.6953  |paral   |2020yCat.1350....0G
1328|BD+30 1820                                                                                               |Star                               |09 08 37.1283845208 +29 33 02.823054192|196.2452825586527 +41.3858980350645|  3.727 -27.387   |10.70    |G5               |    ~     ~    |    1|  111.196   pc  |  -0.2695     +0.2695  |paral   |2020yCat.1350....0G
1329|HD 78607                                                                                                 |Star                               |09 10 05.4603160464 +29 33 29.007901836|196.3204239373559 +41.7011654896942|   6.592 -7.887   |8.06     |K5               |    ~     ~    |    1|  687.853   pc  | -14.1942    +14.1942  |paral   |2020yCat.1350....0G
1330|BD+29 1859                                                                                               |High Proper Motion Star            |09 03 23.1774628032 +29 22 38.497265760|196.1624644704781 +40.2355422873258|59.845 -116.543   |9.27     |F5               |    ~     ~    |    1|   90.002   pc  |  -0.2390     +0.2390  |paral   |2020yCat.1350....0G
1331|TYC 1956-1401-1                                                                                          |Star                               |09 03 56.9966869152 +29 16 19.299975204|196.3312152149496 +40.3336097094340|  4.561 -18.101   |10.06    |K5               |    ~     ~    |    1|  647.249   pc  |  -9.0070     +9.0070  |paral   |2020yCat.1350....0G
1332|V* GH Cnc                                                                                                |Long-Period Variable               |09 04 22.4645761272 +29 16 04.817284968|196.3618407212894 +40.4232796762271|-34.092 -17.062   |7.67     |M3III            |    ~     ~    |    1|  465.441   pc  |  -6.4124     +6.4124  |paral   |2020yCat.1350....0G
1333|BD+29 1861                                                                                               |Star                               |09 04 23.9828948016 +28 42 06.920748972|197.0892622538827 +40.3079645260052|   0.821 -0.355   |9.32     |K2               |    ~     ~    |    1|  516.182   pc  |  -4.6095     +4.6095  |paral   |2020yCat.1350....0G
1334|HD 77822                                                                                                 |Double or Multiple Star            |09 05 38.3844338616 +28 42 54.363778020|197.1496351706115 +40.5762767299060|-55.727 -14.287   |8.63     |F5               |0.0067  0.0    |    1|  217.813   pc  | -19.5273    +19.5273  |paral   |2020yCat.1350....0G
1335|BD+29 1867                                                                                               |Star                               |09 06 13.9220150160 +28 57 18.724223556|196.8768500272982 +40.7542085859327|-19.930 -18.039   |10.25    |F8               |    ~     ~    |    1|  198.035   pc  |  -0.9138     +0.9138  |paral   |2020yCat.1350....0G
1336|BD+29 1872                                                                                               |Star                               |09 10 20.5403401608 +28 44 32.028837612|197.4043928960360 +41.5895295744540| -24.291 -7.702   |9.50     |F2               |    ~     ~    |    1|  323.792   pc  |  -2.6106     +2.6106  |paral   |2020yCat.1350....0G
1337|TYC 1957-626-1                                                                                           |Star                               |09 10 25.2948719472 +29 02 13.728979644|197.0231180898090 +41.6673569088205|   -3.822 2.091   |10.51    |K2               |    ~     ~    |    1| 2056.767   pc  | -88.8361    +88.8361  |paral   |2020yCat.1350....0G
1338|HD 78713                                                                                                 |Star                               |09 10 32.4576132408 +29 04 12.874305396|196.9868511026024 +41.6996427745433|-31.694 -34.955   |8.14     |F8               |    ~     ~    |    1|  125.393   pc  |  -0.6022     +0.6022  |paral   |2020yCat.1350....0G
1339|BD+29 1875                                                                                               |Star                               |09 10 41.2198351488 +28 44 59.635367916|197.4154110030873 +41.6650154515495|  -2.537 -1.840   |9.96     |K0               |    ~     ~    |    1|  747.664   pc  | -11.1241    +11.1241  |paral   |2020yCat.1350....0G
1340|BD+28 1682                                                                                               |Star                               |09 04 03.9124849536 +28 05 25.120516596|197.8487683106261 +40.1005984968563|-21.933 -16.305   |9.88     |K0               |    ~     ~    |    1|  198.811   pc  |  -1.3597     +1.3597  |paral   |2020yCat.1350....0G
1341|HD 77620                                                                                                 |Star                               |09 04 31.9309256688 +28 25 42.592430028|197.4473771564631 +40.2764412208133| -4.982 -10.632   |9.25     |A5               |    ~     ~    |    1|  348.943   pc  |  -3.9207     +3.9207  |paral   |2020yCat.1350....0G
1342|NGC 2766                           NGC 2766                                                              |LINER-type Active Galaxy Nucleus   |09 08 47.5312562208 +29 51 53.121432168|195.8445347013621 +41.4845399418226|            ~ ~   |     ~   |~                |0.887 0.337    |    1|   75.16    Mpc |  -5.07       +5.07    |T-F     |2020ApJ...902..145K
1343|TYC 1956-317-1                                                                                           |Star                               |09 00 49.0276005768 +27 59 53.928503376|197.7518120520875 +39.3818993239309|  -46.285 4.766   |10.88    |~                |    ~     ~    |    1|  238.852   pc  |  -1.5917     +1.5917  |paral   |2020yCat.1350....0G
1344|TYC 1956-536-1                                                                                           |Star                               |09 00 00.7164049320 +28 09 47.825076420|197.4913047697910 +39.2472307328405|  -1.957 -0.041   |10.87    |~                |    ~     ~    |    1|  320.225   pc  |  -2.2662     +2.2662  |paral   |2020yCat.1350....0G
1345|TYC 1956-685-1                                                                                           |Star                               |09 01 39.5416956264 +29 56 31.703481888|195.3386326640805 +39.9849584061354|    3.133 9.201   |10.72    |~                |    ~     ~    |    1|  257.460   pc  |  -1.3589     +1.3589  |paral   |2020yCat.1350....0G
1346|TYC 1956-721-1                                                                                           |Spectroscopic Binary               |09 00 51.3425936136 +29 47 48.420079512|195.4774267759618 +39.7846716409583|  16.237 -4.827   |10.03    |~                |    ~     ~    |    1|  453.679   pc  | -15.0458    +15.0458  |paral   |2020yCat.1350....0G
1347|TYC 1956-738-1                                                                                           |Star                               |09 01 40.1392486080 +29 45 38.989891080|195.5707570392449 +39.9499083659995|  12.607 -9.766   |10.58    |~                |    ~     ~    |    1|  413.719   pc  |  -3.7314     +3.7314  |paral   |2020yCat.1350....0G
1348|TYC 1956-972-1                                                                                           |Star                               |09 02 22.1011449552 +29 12 32.215600188|196.3164631647440 +39.9830568819140| 27.063 -35.151   |10.32    |~                |    ~     ~    |    1|  324.907   pc  |  -1.7840     +1.7840  |paral   |2020yCat.1350....0G
1349|TYC 1956-1166-1                                                                                          |Star                               |09 02 58.2099554976 +28 05 11.788621764|197.7819268064039 +39.8645449902131|-28.159 -26.037   |10.19    |~                |    ~     ~    |    1|  345.650   pc  |  -2.5926     +2.5926  |paral   |2020yCat.1350....0G
1350|TYC 1956-1296-1                                                                                          |Star                               |09 02 46.7900454960 +28 18 30.995908560|197.4878159611226 +39.8739393102017|   1.409 -7.979   |10.48    |~                |    ~     ~    |    1| 1010.611   pc  | -34.3169    +34.3169  |paral   |2020yCat.1350....0G
1351|TYC 1956-1341-1                                                                                          |Star                               |09 04 51.1061392056 +29 47 49.902908136|195.7084436274217 +40.6334649890210|-28.813 -15.276   |9.96     |~                |    ~     ~    |    1|  709.471   pc  | -10.5200    +10.5200  |paral   |2020yCat.1350....0G
1352|TYC 1956-1412-1                                                                                          |Star                               |09 04 19.2643543315 +28 07 39.938518249|197.8177179641474 +40.1640198402762|   -4.60 -14.10   |10.73    |~                |    ~     ~    |    0|                |                       |        |                   
1353|TYC 1956-1541-1                                                                                          |High Proper Motion Star            |09 04 48.4498284744 +29 11 33.155967516|196.4848372967244 +40.4998594966080|-56.383 -34.062   |10.22    |~                |    ~     ~    |    1|  206.122   pc  |  -1.6655     +1.6655  |paral   |2020yCat.1350....0G
1354|TYC 1956-1630-1                                                                                          |Star                               |09 03 07.6423612512 +28 10 13.430914608|197.6858298555435 +39.9173236470088|-31.542 -21.791   |9.37     |~                |    ~     ~    |    1|  491.497   pc  |  -5.1937     +5.1937  |paral   |2020yCat.1350....0G
1355|TYC 1956-1646-1                                                                                          |Star                               |09 02 44.5620821256 +28 02 05.203798296|197.8327254117617 +39.8038589691611|  3.412 -22.668   |10.69    |~                |    ~     ~    |    1|  360.516   pc  |  -2.9504     +2.9504  |paral   |2020yCat.1350....0G
1356|TYC 1956-1658-1                                                                                          |Star                               |09 04 49.5405551448 +28 22 48.135938772|197.5280558815502 +40.3286718557842|   3.025 -4.562   |10.20    |~                |    ~     ~    |    1|  204.161   pc  |  -1.4005     +1.4005  |paral   |2020yCat.1350....0G
1357|TYC 1956-1673-1                                                                                          |Star                               |09 06 37.2655183776 +28 50 00.517950420|197.0577750181495 +40.8116614593145|-13.921 -10.567   |10.60    |~                |    ~     ~    |    1|  344.056   pc  |  -3.7762     +3.7762  |paral   |2020yCat.1350....0G
1358|TYC 1956-1721-1                                                                                          |Star                               |09 06 06.1770014040 +28 52 23.940592068|196.9745621233276 +40.7092580552257|  -7.043 -0.791   |10.43    |~                |    ~     ~    |    1|  499.700   pc  | -12.8096    +12.8096  |paral   |2020yCat.1350....0G
1359|TYC 1956-1779-1                                                                                          |Star                               |09 06 23.2525304544 +29 42 48.366703152|195.9050833111846 +40.9432282869083|  -7.898 -6.499   |10.57    |~                |    ~     ~    |    1| 1058.985   pc  | -20.8590    +20.8590  |paral   |2020yCat.1350....0G
1360|TYC 1956-1789-1                                                                                          |Star                               |09 06 15.6200828352 +28 46 10.979252544|197.1177972384895 +40.7208597004549|  0.073 -11.293   |10.59    |~                |    ~     ~    |    1|  522.166   pc  | -15.7596    +15.7596  |paral   |2020yCat.1350....0G
1361|TYC 1956-1906-1                                                                                          |Spectroscopic Binary               |09 04 48.1232072136 +28 43 43.959670680|197.0798258196860 +40.3999246284983|-42.783 -36.401   |9.99     |~                |    ~     ~    |    1|  298.187   pc  |  -8.6426     +8.6426  |paral   |2020yCat.1350....0G
1362|TYC 1957-70-1                                                                                            |Star                               |09 08 48.4941783024 +29 42 36.413781084|196.0478522402308 +41.4577557932682| -12.089 -7.068   |9.48     |~                |    ~     ~    |    1|  157.525   pc  |  -5.4368     +5.4368  |paral   |2020yCat.1350....0G
1363|TYC 1957-248-1                                                                                           |Star                               |09 09 34.3707735024 +29 04 51.035680812|196.9152604828103 +41.4947277247721|  -3.033 -5.994   |10.22    |~                |    ~     ~    |    1|  244.990   pc  |  -1.2184     +1.2184  |paral   |2020yCat.1350....0G
1364|TYC 1957-317-1                                                                                           |Star                               |09 09 23.0774806560 +28 53 29.327996004|197.1511709151374 +41.4154101077985|-13.180 -13.567   |10.45    |~                |    ~     ~    |    1|  343.112   pc  |  -2.5429     +2.5429  |paral   |2020yCat.1350....0G
1365|TYC 1957-419-1                                                                                           |Star                               |09 08 09.5763397776 +29 07 23.376558180|196.7756613738525 +41.2012865241239|-11.153 -21.413   |10.42    |~                |    ~     ~    |    1|  289.821   pc  |  -2.7383     +2.7383  |paral   |2020yCat.1350....0G
1366|TYC 1957-639-1                                                                                           |Star                               |09 08 21.3514181952 +29 44 36.093478452|195.9786546587512 +41.3679919358775|-21.621 -16.000   |10.16    |~                |    ~     ~    |    1|  286.558   pc  |  -3.3667     +3.3667  |paral   |2020yCat.1350....0G
1367|TYC 1957-645-1                                                                                           |Star                               |09 10 02.5632578472 +29 24 12.503019132|196.5205197666074 +41.6602588312861| -11.059 -8.412   |10.80    |~                |    ~     ~    |    1|  384.571   pc  |  -2.4846     +2.4846  |paral   |2020yCat.1350....0G
