C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
56  |HD 869                                                                |Star                                |00 12 54.3596128920 -43 34 13.081616184|325.7827653539461 -71.8077775959138|  4.616 -11.074    |9.42     |K2/4(III)            |    ~     ~    
57  |HD 880                                                                |Star                                |00 13 01.3307953080 -43 25 38.712641052|325.9428331801267 -71.9433478427721|-25.316 -24.751    |9.56     |A9/F0V               |    ~     ~    
58  |HD 933                                                                |Star                                |00 13 34.0620768240 -43 39 35.463932820|325.3094079919297 -71.7854751489846|  -12.586 4.961    |10.36    |F0V                  |    ~     ~    
59  |CD-45 27                                                              |High Proper Motion Star             |00 11 38.5661761056 -44 21 30.310372008|325.2368032706935 -71.0062111530783| 61.968 -19.019    |10.551   |~                    |    ~     ~    
60  |CD-43 27                                                              |Star                                |00 11 39.1619229768 -43 05 44.825552448|327.1736867931489 -72.1103803231320|-21.106 -40.560    |10.74    |~                    |    ~     ~    
61  |HD 985                                                                |High Proper Motion Star             |00 14 04.2088473816 -43 11 20.030861652|325.7672202469468 -72.2438859799201| 20.479 -57.810    |10.12    |G8(III)              |    ~     ~    
62  |HD 1003                                                               |Star                                |00 14 17.3593525848 -43 14 11.437421280|325.5782006317837 -72.2207626819731| -24.120 -1.636    |8.81     |K1III                |    ~     ~    
63  |CD-44 40                                                              |High Proper Motion Star             |00 14 19.7849410944 -44 08 46.899330000|324.2151412137190 -71.4163469562409|-47.160 -30.379    |10.33    |~                    |    ~     ~    
64  |HD 1054                                                               |Star                                |00 14 38.8452840672 -43 49 52.194855540|324.5044582663259 -71.7233445880474|  10.003 -6.738    |8.85     |K0III                |    ~     ~    
65  |CD-44 38                                                              |Star                                |00 13 45.1843718112 -43 53 59.588403144|324.8600397300575 -71.5884961558677|   0.255 -1.407    |10.92    |~                    |    ~     ~    
66  |CD-43 38                                                              |Star                                |00 14 01.6586403648 -42 46 33.196891404|326.4445648800278 -72.6027772581426|-21.156 -27.718    |10.524   |~                    |    ~     ~    
67  |CD-42 44                                                              |High Proper Motion Star             |00 14 07.0346206512 -42 17 36.212581752|327.1946132180097 -73.0317119768028| 55.886 -35.032    |10.561   |~                    |    ~     ~    
68  |CD-44 41                                                              |Star                                |00 14 21.4018537704 -43 30 46.446448068|325.1230386491780 -71.9820686343851| 19.240 -11.480    |10.283   |~                    |    ~     ~    
69  |CD-45 48                                                              |Star                                |00 14 53.0583354648 -44 28 43.984147872|323.4778113070738 -71.1624355355694|  26.268 -5.647    |10.880   |~                    |    ~     ~    
70  |TYC 7527-24-1                                                         |Star                                |00 14 09.0895565784 -42 14 20.745269196|327.2679258122195 -73.0820289387047| -4.661 -29.035    |10.801   |~                    |    ~     ~    
71  |TYC 7527-125-1                                                        |High Proper Motion Star             |00 13 43.5675106920 -42 29 20.229397044|327.0793599490110 -72.8260076554330| 31.249 -87.172    |10.93    |~                    |    ~     ~    
72  |HD 224733                                                             |Star                                |00 00 14.1578242680 -41 55 24.213590112|334.9333546334444 -71.8764698346951|   -0.763 3.480    |9.594    |F5V                  |    ~     ~    
73  |CD-42 16568                                                           |Spectroscopic Binary                |00 02 05.3334665064 -42 08 59.430016500|333.6133666110579 -71.9138259445166|-15.453 -44.080    |10.578   |~                    |    ~     ~    
74  |CD-42 16558                                                           |Star                                |00 00 52.7632423656 -42 07 55.777405116|334.2144281849932 -71.7891959864927|  23.978 16.716    |10.07    |~                    |    ~     ~    
75  |HD 244                                                                |Star                                |00 07 08.7245713560 -42 05 17.452242492|331.2560426047517 -72.5178310660034|-19.085 -30.527    |8.59     |K3III                |    ~     ~    
76  |CD-42 7                                                               |Star                                |00 07 54.6908721888 -42 09 14.248322460|330.7417361821093 -72.5437394913007|-10.939 -44.146    |10.118   |F8                   |    ~     ~    
77  |CD-42 16577                                                           |Double or Multiple Star             |00 03 40.6804267176 -42 09 51.299465868|332.8267805324200 -72.0806901365853|  26.059 -0.490    |10.181   |F5                   |    ~     ~    
