C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1262|HD 898                                                                |High Proper Motion Star             |00 13 18.8407866960 -08 19 28.735048560|095.5337978722306 -69.1432092838405|-15.938 -48.298    |9.478    |F5V                  |    ~     ~    
1263|BD-08 14                                                              |Star                                |00 11 16.8921529416 -08 09 24.733699956|094.4602719187811 -68.7791836892696|   4.607 -2.597    |10.66    |~                    |    ~     ~    
1264|BD-06 22                                                              |Star                                |00 13 40.1512603800 -05 37 39.134655444|098.5592469108050 -66.6952002049766| -4.259 -10.183    |10.506   |~                    |    ~     ~    
1265|BD-06 16                                                              |Star                                |00 12 12.0285220872 -05 52 04.082584080|097.4731516968417 -66.7800857561717|-18.056 -31.130    |10.63    |~                    |    ~     ~    
1266|HD 796                                                                |Star                                |00 12 16.7581098744 -05 56 03.622560864|097.4540838367238 -66.8490445198119| -19.134 -8.274    |9.77     |F2V                  |    ~     ~    
1267|HD 897                                                                |Spectroscopic Binary                |00 13 19.8472150440 -05 58 32.951666280|098.0304219878545 -66.9869739249056|  79.046 19.670    |9.932    |G3/5V                |    ~     ~    
1268|BD-07 15                                                              |Chemically Peculiar Star            |00 11 52.3241855184 -07 10 08.282274312|095.9403061053933 -67.9427560637227|  19.151 -2.307    |10.83    |~                    |    ~     ~    
1269|HD 778                                                                |High Proper Motion Star             |00 12 05.5195163880 -07 05 19.393590084|096.1595171324993 -67.8915292707605| 51.675 -22.322    |8.65     |F5V                  |    ~     ~    
1270|HD 844                                                                |High Proper Motion Star             |00 12 47.0213490264 -07 01 43.071812688|096.6414142254057 -67.9052175427919| 144.814 16.051    |8.92     |G5V                  |    ~     ~    
1271|HD 854                                                                |Star                                |00 12 53.8851077760 -06 54 42.468593400|096.8332626566282 -67.8091588884987|   -0.798 4.444    |8.17     |K0III                |    ~     ~    
1272|BD-08 15                                                              |Spectroscopic Binary                |00 11 53.7801886632 -07 15 00.328943520|095.8667549499584 -68.0192867347134|  10.896 -1.690    |9.68     |~                    |    ~     ~    
1273|HD 779                                                                |Star                                |00 12 06.0935041848 -07 42 07.230507300|095.4908420005741 -68.4521731554817|  18.784 -4.312    |8.90     |K2III                |    ~     ~    
1274|BD-08 17                                                              |Star                                |00 12 49.0226604912 -07 34 00.844754304|096.0812269780578 -68.4015580937989|  12.175 -7.741    |10.67    |~                    |    ~     ~    
1275|HD 876                                                                |High Proper Motion Star             |00 13 08.2906815840 -07 40 56.957139264|096.1518908843140 -68.5394703192153|  95.122 39.954    |7.57     |G8/K0III/IV          |    ~     ~    
1276|BD-08 21                                                              |High Proper Motion Star             |00 13 32.2668976368 -07 38 40.430699916|096.4413746555857 -68.5446148592896|-46.586 -28.603    |10.51    |~                    |    ~     ~    
1277|BD-08 19                                                              |Star                                |00 13 22.1697383256 -07 54 04.477366764|096.0521348297619 -68.7626697364340|   32.450 3.147    |9.97     |K0                   |    ~     ~    
1278|BD-08 22                                                              |High Proper Motion Star             |00 13 39.9236481336 -07 50 56.364674532|096.2953919161996 -68.7445234015172|  66.284 22.413    |10.81    |~                    |    ~     ~    
1279|BD-06 26                                                              |Star                                |00 14 06.8493812496 -05 47 11.087314224|098.6718955298600 -66.8836755670588| 16.986 -24.202    |10.009   |~                    |    ~     ~    
1280|BD-07 20                                                              |Star                                |00 14 12.7300411632 -07 04 57.825484212|097.4554552240719 -68.0937487276418|  8.760 -22.760    |9.88     |~                    |    ~     ~    
1281|BD-07 22                                                              |High Proper Motion Star             |00 14 57.6262779456 -06 21 51.019796304|098.6279519977333 -67.4983100959187|  9.342 -63.529    |10.163   |~                    |    ~     ~    
1282|HD 984                                                                |Double or Multiple Star             |00 14 10.2528328224 -07 11 56.812684848|097.3091362949237 -68.1971109276138|104.775 -68.016    |7.32     |F7V                  |    ~     ~    
1283|BD-08 25                                                              |Star                                |00 14 13.8053672568 -07 11 35.138995332|097.3518680569436 -68.1972536626159| -15.532 -9.762    |9.763    |~                    |    ~     ~    
1284|BD-08 27                                                              |Star                                |00 14 40.5818987400 -07 40 53.887241028|097.1116763570141 -68.6903301493561| -7.854 -43.068    |9.384    |F8                   |    ~     ~    
1285|V* AD Cet                                                             |Long-Period Variable Candidate      |00 14 27.6290894 -07 46 49.898505      |096.8690528576 -68.7602573973      |     62.62 4.37    |5.12     |M3+III               |    ~     ~    
1286|BD-08 23                                                              |Star                                |00 13 48.2243834784 -08 06 21.216873348|096.0941634514138 -68.9933409312303|   -4.549 5.929    |10.64    |~                    |    ~     ~    
1287|HD 224701                                                             |Star                                |00 00 00.0802491384 -05 29 39.692859756|091.1316179464210 -65.1403547324859| 22.498 -11.301    |9.13     |G8IV                 |    ~     ~    
1288|BD-06 6344                                                            |Star                                |00 01 49.3330823040 -05 30 27.858806640|092.0750830707720 -65.3628565292755|  29.147 -8.159    |9.80     |~                    |    ~     ~    
1289|BD-06 6347                                                            |Star                                |00 02 00.0275510016 -05 30 59.298555276|092.1601149176881 -65.3909350694450|   10.788 3.749    |10.51    |~                    |    ~     ~    
1290|HD 317                                                                |Star                                |00 07 47.8059968064 -05 29 09.361252176|095.3463934118333 -65.9923663891436|  14.282 29.157    |8.81     |K0III                |    ~     ~    
1291|HD 353                                                                |High Proper Motion Star             |00 08 16.7339896704 -05 20 49.305540156|095.7549944019222 -65.9150811244179|135.265 -82.935    |9.09     |G5V                  |    ~     ~    
1292|HD 225087                                                             |Star                                |00 03 16.9781371104 -05 27 33.080313744|092.9071844227093 -65.4842427256047| -26.750 40.807    |9.21     |G2V                  |    ~     ~    
1293|BD-06 6356                                                            |Star                                |00 04 57.8931262656 -05 34 54.766012260|093.6855590890554 -65.7793402590831|  18.020 -0.611    |10.202   |~                    |    ~     ~    
1294|BD-06 6360                                                            |High Proper Motion Star             |00 06 10.3041861888 -05 29 58.240973616|094.4333060703638 -65.8347043400527|11.249 -107.583    |10.18    |~                    |    ~     ~    
1295|BD-06 6361                                                            |Spectroscopic Binary                |00 06 18.2968348008 -05 27 12.327014124|094.5544470210991 -65.8071173612033| 18.128 -24.639    |10.00    |~                    |    ~     ~    
1296|BD-06 9                                                               |Star                                |00 09 58.2007580808 -05 35 10.500019044|096.4675903008069 -66.3037511828858| 17.862 -24.725    |10.77    |~                    |    ~     ~    
1297|HD 224727                                                             |Star                                |00 00 18.0 -02 56 00                   |093.9239 -62.8886                  |            ~ ~    |10.1     |G3V                  |    ~     ~    
1298|HD 224959                                                             |Spectroscopic Binary                |00 02 08.0214788256 -02 49 12.232785144|094.9405112302027 -62.9807360220287|-36.611 -91.826    |9.55     |CEMP-rs              |    ~     ~    
1299|HD 224776                                                             |Star                                |00 00 31.8610052448 -03 18 22.754165652|093.6813160003476 -63.2496518924148|  13.088 17.006    |7.92     |K0III                |    ~     ~    
1300|HD 224946                                                             |High Proper Motion Star             |00 02 02.1491102856 -03 16 28.182487548|094.4667981652339 -63.3825189040443| 44.567 -32.221    |9.59     |G5V                  |    ~     ~    
1301|HD 224828                                                             |High Proper Motion Star             |00 00 58.4178547320 -04 55 57.129040668|092.2531245127941 -64.7546990128514|-187.001 -173.233  |8.57     |G5V                  |    ~     ~    
1302|HD 224947                                                             |Star                                |00 02 00.1015827072 -05 12 50.128932816|092.4897495064537 -65.1216782887671|  38.786 29.721    |8.51     |G8IV                 |    ~     ~    
1303|BD-04 6001                                                            |High Proper Motion Star             |00 00 12.6837757128 -04 03 13.245442740|092.7787138250164 -63.8848621990144|-119.288 24.122    |10.718   |K5V                  |    ~     ~    
1304|BD-04 6000                                                            |Star                                |00 00 05.9588677056 -03 22 43.695608052|093.3955229399653 -63.2676856817709|  15.811 -3.595    |10.38    |~                    |    ~     ~    
1305|BD-03 5743                                                            |High Proper Motion Star             |00 00 23.9345311992 -02 49 33.414313116|094.0741650858166 -62.8023318709853|75.161 -105.895    |10.690   |~                    |    ~     ~    
1306|BD-03 5745                                                            |Star                                |00 00 39.4073968248 -03 07 46.107725520|093.9140782547624 -63.1039513386973|  13.415 -0.193    |10.632   |~                    |    ~     ~    
1307|BD-04 6004                                                            |Star                                |00 00 57.3656237784 -03 41 37.877611524|093.5160835590269 -63.6445929214138|  14.919 -0.051    |10.840   |~                    |    ~     ~    
1308|BD-05 6098                                                            |High Proper Motion Star             |00 01 18.2240314008 -04 53 23.080405488|092.4704470048953 -64.7539332186707|  8.728 -60.500    |10.35    |~                    |    ~     ~    
1309|BD-04 6005                                                            |Star                                |00 01 25.0725281352 -03 15 12.967586712|094.1758226282509 -63.2977869120088| 12.785 -14.212    |10.594   |~                    |    ~     ~    
1310|BD-03 5747                                                            |Star                                |00 01 16.2241267272 -03 10 23.526756084|094.1785389041174 -63.2093691203196|  -2.245 -8.086    |10.471   |~                    |    ~     ~    
1311|HD 225037                                                             |Star                                |00 02 46.9686049680 -02 55 00.185763180|095.1768374450148 -63.1361248788704|-15.473 -27.925    |8.60     |A9V                  |    ~     ~    
1312|HD 225153                                                             |Star                                |00 03 54.4883922216 -03 02 15.393816888|095.6350036714748 -63.3620021770401| -8.623 -23.217    |10.389   |G3/5V                |    ~     ~    
1313|HD 407                                                                |High Proper Motion Star             |00 08 42.8123112912 -03 41 30.208639416|097.5506517452887 -64.4372591255213|107.463 -124.792   |9.85     |G5V                  |    ~     ~    
1314|HD 518                                                                |High Proper Motion Star             |00 09 43.6929886920 -03 40 42.302269884|098.1062179534261 -64.5207226944418| -30.426 41.962    |9.55     |F2V                  |    ~     ~    
1315|HD 688                                                                |Star                                |00 11 09.6467003496 -03 19 16.998119004|099.1797435014799 -64.3196777652216| 27.385 -11.916    |6.74     |K0-III               |    ~     ~    
1316|HD 225029                                                             |Star                                |00 02 42.1515210144 -03 23 27.223478016|094.6939724412771 -63.5584175172178| -10.348 -4.512    |9.72     |K0III                |    ~     ~    
1317|HD 225130                                                             |Star                                |00 03 45.1407937344 -03 25 00.394939776|095.2052712663176 -63.6915225643623|   9.796 -7.162    |9.20     |K2III                |    ~     ~    
1318|HD 208                                                                |High Proper Motion Star             |00 06 53.8803210480 -03 37 34.547464416|096.6462708841557 -64.2009132623952|-124.137 -222.259  |8.19     |G1V                  |    ~     ~    
1319|HD 225223                                                             |Star                                |00 04 36.3942530952 -04 08 45.035174184|094.9534981795616 -64.4430709594857| 36.292 -30.119    |10.07    |G5/6V                |    ~     ~    
1320|HD 8                                                                  |Star                                |00 05 09.7329292176 -04 02 04.749395784|095.3524497670915 -64.3995691877263|   18.819 0.924    |9.83     |F8V                  |    ~     ~    
1321|HD 46                                                                 |Star                                |00 05 25.4655864000 -03 51 06.025358520|095.6636361218321 -64.2596185720108| -5.390 -32.261    |7.560    |K0III                |    ~     ~    
1322|HD 169                                                                |Star                                |00 06 30.1268307288 -03 50 54.878038512|096.2336239518834 -64.3655845051337| -14.383 -0.965    |9.94     |F0V                  |    ~     ~    
1323|HD 176                                                                |Star                                |00 06 40.4253186936 -03 46 16.159860048|096.3957010345564 -64.3117236409228| -1.859 -19.542    |9.71     |G0/1V                |    ~     ~    
1324|HD 209                                                                |Star                                |00 06 55.9262167824 -04 00 25.061772024|096.3145426872972 -64.5536534618351|   4.786 -6.592    |9.60     |G8IV                 |    ~     ~    
1325|HD 296                                                                |Double or Multiple Star             |00 07 35.6788632456 -04 32 51.014981976|096.1607430463297 -65.1150730158978|-60.330 -98.937    |9.34     |G8V                  |    ~     ~    
1326|HD 316                                                                |High Proper Motion Star             |00 07 53.2314347088 -04 51 17.824661028|096.0238804279088 -65.4258119288696|200.343 -25.927    |9.06     |G5V                  |    ~     ~    
1327|HD 401                                                                |High Proper Motion Star             |00 08 40.4116122576 -04 50 38.724704664|096.4663921542542 -65.4944390174969| 47.388 -63.025    |10.10    |G(6)(IV)             |    ~     ~    
1328|BD-05 6B                                                              |High Proper Motion Star             |00 08 40.6277888400 -04 50 23.196812532|096.4725156888409 -65.4908392951551| 46.093 -57.031    |10.32    |G5V                  |    ~     ~    
1329|HD 503                                                                |Star                                |00 09 29.3533650024 -04 40 28.667960688|097.0767426661978 -65.4186827595828|    2.800 3.632    |10.058   |F0V                  |    ~     ~    
1330|HD 586                                                                |Star                                |00 10 19.2578443632 -04 47 44.644316748|097.4246871334442 -65.6105492280086| -2.787 -30.720    |9.80     |G6V                  |    ~     ~    
1331|HD 225014                                                             |Star                                |00 02 34.9541204448 -05 11 11.936191560|092.8261225094567 -65.1624836921704| -23.293 -2.135    |8.53     |F0V                  |    ~     ~    
1332|HD 225162                                                             |High Proper Motion Star             |00 03 59.2346762088 -04 18 35.990876196|094.4676890847171 -64.5267309724504| 27.615 -42.762    |8.88     |K0IV                 |    ~     ~    
1333|HD 225184                                                             |delta Sct Variable                  |00 04 11.0933329920 -04 55 33.990698136|093.9509555947568 -65.1043763403407|  24.135 -0.769    |9.60     |kA5hF1mF2(III-IV)EuBa|    ~     ~    
1334|HD 225296                                                             |Star                                |00 05 02.6683586160 -04 58 16.511668464|094.3650366427879 -65.2371962908553| 36.002 -18.043    |10.141   |G0                   |    ~     ~    
1335|HD 170                                                                |Star                                |00 06 32.0118103776 -05 07 32.339040816|095.0151439518352 -65.5338934130280|-11.995 -14.427    |9.772    |G8V                  |    ~     ~    
1336|HD 200                                                                |High Proper Motion Star             |00 06 46.9724268864 -04 21 00.097981452|095.9115990247175 -64.8527074195661| 58.969 -88.524    |8.21     |F7/8V                |    ~     ~    
1337|HD 587                                                                |Star                                |00 10 18.8712067968 -05 14 54.916966860|096.9923788002780 -66.0273500323566| 37.379 -29.357    |5.844    |K0III                |    ~     ~    
1338|BD-06 6365                                                            |Star                                |00 06 52.7620174080 -05 20 48.508256112|094.9802084550076 -65.7707824073880|-16.289 -38.319    |10.672   |~                    |    ~     ~    
1339|BD-04 6009                                                            |High Proper Motion Star             |00 02 56.3267853216 -03 23 00.547725192|094.8211252745755 -63.5765154284099| 141.227 16.841    |10.68    |~                    |    ~     ~    
1340|BD-04 6011                                                            |Star                                |00 03 03.0340317984 -03 29 19.627751292|094.7784486927311 -63.6837861473853| -9.762 -37.754    |10.716   |~                    |    ~     ~    
1341|BD-03 5753                                                            |Star                                |00 03 18.6953547336 -03 02 22.809862788|095.3305882845729 -63.3026964976449|  2.726 -14.528    |10.753   |~                    |    ~     ~    
1342|BD-06 6353                                                            |High Proper Motion Star             |00 03 55.4574499272 -05 12 18.587358576|093.5214981489205 -65.3272508962451| 75.351 -25.181    |10.94    |~                    |    ~     ~    
1343|BD-05 6106                                                            |High Proper Motion Star             |00 04 20.2209550128 -04 24 40.949508924|094.5512675630640 -64.6555462824391| 86.666 -33.899    |10.31    |~                    |    ~     ~    
1344|BD-04 6017                                                            |Star                                |00 04 46.9621858872 -03 37 06.787940268|095.5476826096825 -63.9813866779347|  29.991 30.864    |10.40    |~                    |    ~     ~    
1345|BD-05 6109                                                            |Star                                |00 05 04.1426594592 -04 48 26.754344532|094.5443395041164 -65.0915825016907| 13.472 -10.162    |10.63    |~                    |    ~     ~    
1346|BD-04 6020                                                            |Star                                |00 05 48.2962357944 -03 31 33.720540564|096.1649039105848 -64.0003563807580|   3.380 -2.348    |10.92    |~                    |    ~     ~    
1347|BD-04 6021                                                            |Star                                |00 05 48.3272783808 -03 17 02.882211576|096.3850288845953 -63.7787028752943|  16.579 -8.790    |10.57    |~                    |    ~     ~    
1348|BD-05 6112                                                            |Star                                |00 05 56.7964849128 -04 47 06.052218180|095.0382145836586 -65.1633412462480|   13.603 2.641    |10.80    |~                    |    ~     ~    
1349|BD-05 6115                                                            |Star                                |00 06 29.2390378392 -04 14 51.396611172|095.8510970366528 -64.7291998016806|  8.334 -20.607    |10.25    |~                    |    ~     ~    
1350|BD-03 5762                                                            |High Proper Motion Star             |00 07 16.7962457568 -02 56 40.867489716|097.4489619071030 -63.6101540457560|37.169 -113.215    |10.63    |~                    |    ~     ~    
1351|BD-05 1                                                               |Star                                |00 07 25.9179706440 -04 19 32.681100900|096.2834187070731 -64.8956769216058|  5.984 -10.180    |10.23    |~                    |    ~     ~    
1352|BD-05 4                                                               |Star                                |00 08 09.0986276160 -05 08 00.486025584|095.8966194158321 -65.7071279564591|-16.705 -21.197    |9.86     |~                    |    ~     ~    
1353|BD-04 1                                                               |High Proper Motion Star             |00 08 13.0341621840 -03 18 57.767998068|097.6172480773850 -64.0427550296367| 92.556 -38.238    |10.11    |~                    |    ~     ~    
1354|BD-06 6                                                               |Star                                |00 08 51.4129987368 -05 12 31.696076232|096.2139371626766 -65.8469794974146|  -6.225 -2.995    |10.29    |~                    |    ~     ~    
1355|BD-04 3                                                               |Star                                |00 09 24.4372254744 -03 39 41.580684288|097.9485744567569 -64.4750206658704|  33.616 -5.326    |10.68    |~                    |    ~     ~    
1356|BD-03 8                                                               |Star                                |00 09 42.4411458168 -03 00 55.088652528|098.6596820819167 -63.9028388149810| 35.326 -31.962    |9.98     |~                    |    ~     ~    
1357|BD-05 12                                                              |Star                                |00 10 12.1872067776 -04 55 07.581428400|097.2437652633258 -65.7127283998601|   18.875 2.325    |10.01    |~                    |    ~     ~    
1358|BD-04 5                                                               |Star                                |00 11 02.1098920560 -03 47 27.516223212|098.7159663455951 -64.7459752119665| 38.491 -12.227    |10.35    |~                    |    ~     ~    
1359|BD-05 6113                                                            |Star                                |00 06 07.2660988056 -04 30 58.656717432|095.3965290297643 -64.9369415025902|    5.298 5.430    |10.36    |~                    |    ~     ~    
1360|BD-04 6010                                                            |Star                                |00 02 56.0525392824 -03 31 19.679417652|094.6873290973704 -63.7017956138056|   4.858 -4.224    |10.31    |~                    |    ~     ~    
1361|BD-05 6107                                                            |Star                                |00 04 22.7529554736 -05 09 30.290922612|093.8145422239500 -65.3346777710538| -3.335 -12.733    |10.801   |~                    |    ~     ~    
1362|TYC 4666-393-1                                                        |Star                                |00 07 21.4504949784 -04 01 03.852223968|096.5312562854519 -64.6057840083370| -24.526 31.138    |10.56    |~                    |    ~     ~    
1363|TYC 4666-722-1                                                        |High Proper Motion Star             |00 09 03.9668159040 -04 54 16.955758404|096.6250583825850 -65.5888977195571|-37.878 -40.782    |10.90    |~                    |    ~     ~    
1364|TYC 4667-12-1                                                         |Star                                |00 10 22.0688886360 -02 52 34.601717604|099.1231252592189 -63.8331648591002|  19.808 -3.014    |10.86    |~                    |    ~     ~    
1365|BD-05 15                                                              |High Proper Motion Star             |00 10 36.7603661448 -04 41 40.346083248|097.6807617974694 -65.5448800432173|-62.499 -36.663    |10.82    |~                    |    ~     ~    
1366|BD-06 8                                                               |Star                                |00 09 43.8475 -05 34 06.491            |096.3495660 -66.2636813            | -10.581 -5.199    |10.68    |~                    |    ~     ~    
1367|* 29 Psc                                                              |Variable Star                       |00 01 49.4481127032 -03 01 39.011820024|094.5931674455525 -63.1364210951315| 17.905 -10.329    |5.10     |B7III-IV             |    ~     ~    
1368|BD-06 20                                                              |Star                                |00 13 16.5841869120 -05 23 54.697438212|098.5433650768833 -66.4462838971792|  5.996 -14.339    |10.84    |~                    |    ~     ~    
1369|BD-06 24                                                              |Star                                |00 13 59.1475269216 -05 31 25.186768896|098.8404502828652 -66.6274870018205|  -3.712 -9.780    |10.712   |~                    |    ~     ~    
1370|BD-06 27                                                              |High Proper Motion Star             |00 14 15.3565819440 -05 34 54.130437696|098.9451299830949 -66.7060250785197|182.804 -49.755    |10.92    |~                    |    ~     ~    
1371|HD 853                                                                |Variable Star                       |00 12 55.1394492480 -03 22 53.561036928|100.0817820994904 -64.5307176308671|  0.469 -11.101    |7.40     |M2III                |    ~     ~    
1372|HD 777                                                                |High Proper Motion Star             |00 12 06.5455425264 -04 00 05.202730656|099.1241325617396 -65.0393221761030| 79.296 -35.698    |9.64     |F7V                  |    ~     ~    
1373|HD 729                                                                |Spectroscopic Binary                |00 11 35.6936670672 -05 04 05.384876448|097.8866866309002 -65.9834106059889|   14.116 5.254    |8.31     |K0III                |    ~     ~    
1374|HD 908                                                                |Star                                |00 13 27.4819625520 -04 38 48.305451012|099.3218083045558 -65.7623231318816|   16.333 1.614    |9.45     |K1/2III              |    ~     ~    
1375|HD 888                                                                |Star                                |00 13 12.1425130632 -05 14 31.404724908|098.6444244459877 -66.2940286343046|-13.654 -15.572    |8.03     |K0III                |    ~     ~    
1376|BD-04 8                                                               |Star                                |00 11 33.3450623112 -03 18 31.524452568|099.4027057596458 -64.3431208896916|    4.574 9.305    |10.87    |~                    |    ~     ~    
1377|BD-03 15                                                              |Star                                |00 11 36.5818180536 -02 49 13.098234432|099.8263156975703 -63.8908230257307|   8.450 -4.314    |10.49    |M0                   |    ~     ~    
1378|BD-05 18                                                              |High Proper Motion Star             |00 11 37.3758880680 -04 13 51.747800952|098.6572499344159 -65.2091446832637| 29.128 -49.919    |10.65    |~                    |    ~     ~    
1379|BD-04 9                                                               |Star                                |00 12 00.9049216248 -03 11 55.062493332|099.7399211608330 -64.2806253180283| -44.926 -9.072    |10.63    |~                    |    ~     ~    
1380|BD-05 20                                                              |Star                                |00 12 32.0412573480 -04 40 41.577640212|098.7717682958165 -65.7084144024385|  8.204 -18.717    |10.7     |~                    |    ~     ~    
1381|BD-05 21                                                              |Star                                |00 13 01.0681117560 -04 42 31.642238520|099.0180221411829 -65.7807384031355|-33.915 -20.644    |10.71    |~                    |    ~     ~    
1382|HD 1063                                                               |High Proper Motion Star             |00 14 55.7617831368 -03 01 38.688317580|101.4535606738243 -64.3659514068823|-57.224 -25.914    |6.66     |M0III                |    ~     ~    
1383|HD 966                                                                |High Proper Motion Star             |00 14 01.2300329736 -03 54 31.769664948|100.2604982133450 -65.1204392087845| 47.180 -19.380    |7.42     |G8III                |    ~     ~    
1384|BD-04 13                                                              |High Proper Motion Star             |00 14 07.3415306688 -03 40 48.866076552|100.5021634707304 -64.9143344408557|  104.369 3.166    |10.578   |~                    |    ~     ~    
1385|BD-04 14                                                              |Star                                |00 14 28.7825602848 -03 29 24.670081356|100.8505401795338 -64.7655600403404| 17.695 -14.000    |10.046   |~                    |    ~     ~    
1386|HD 224860                                                             |Star                                |00 01 20.0759089896 -02 33 53.537749740|094.7781277667417 -62.6653883845733| -5.856 -17.010    |10.030   |K1(III)              |    ~     ~    
1387|V* BU Psc                                                             |gamma Dor Variable                  |00 02 02.6171019192 -02 45 58.215204612|094.9451430353679 -62.9223753404897|  38.238 -3.320    |6.92     |A9V/IV               |    ~     ~    
1388|* 4 Cet                                                               |Variable Star                       |00 07 44.1111674208 -02 32 55.248548028|098.0203356851575 -63.2868670598102|   26.822 1.978    |6.43     |ApSi                 |    ~     ~    
1389|HD 545                                                                |Star                                |00 09 55.0209487296 -02 33 40.551712308|099.1416516869171 -63.4987417201762|  4.015 -14.559    |6.88     |K5/M0III             |    ~     ~    
1390|HD 225152                                                             |Star                                |00 03 54.7042594296 -02 33 39.953839788|096.0647318609246 -62.9268230698328|   8.552 -7.555    |10.432   |K0/2                 |    ~     ~    
1391|HD 240                                                                |Star                                |00 07 11.7575530080 -02 42 54.402769044|097.6022362991715 -63.3900029179528| -6.421 -13.384    |8.86     |K0/1II/III           |    ~     ~    
1392|BD-03 5763                                                            |Star                                |00 07 22.2293342904 -02 47 39.766924320|097.6247975116802 -63.4798971699247| 38.543 -18.402    |10.20    |~                    |    ~     ~    
1393|BD-03 1                                                               |Star                                |00 07 32.3150481168 -02 44 06.539603316|097.7620584671149 -63.4410556406820| 14.672 -43.718    |10.532   |~                    |    ~     ~    
1394|BD-03 4                                                               |Star                                |00 08 35.8327380792 -02 45 11.158102836|098.2961265760005 -63.5568768936561| -42.151 10.792    |10.90    |~                    |    ~     ~    
1395|HD 224839                                                             |High Proper Motion Star             |00 01 10.1598636168 -00 04 33.997468476|096.8183416001824 -60.3739668779084| 42.194 -64.748    |8.14     |G3V                  |    ~     ~    
1396|HD 224898                                                             |Red Giant Branch star Candidate     |00 01 35.2309951416 -00 08 16.628908416|096.9642037695148 -60.4717083512475|  21.128 -6.376    |10.136   |K0/1(III)            |    ~     ~    
1397|HD 224726                                                             |High Proper Motion Star             |00 00 11.6217025344 -00 21 37.608865092|096.1355981656819 -60.5382954483410| 58.726 -10.211    |7.27     |A5/8                 |    ~     ~    
1398|HD 224909                                                             |Star                                |00 01 42.0465079152 -01 08 23.861071644|096.2030424062425 -61.4034550320730|   21.843 4.456    |9.89     |A1/2III              |    ~     ~    
1399|HD 224908                                                             |High Proper Motion Star             |00 01 42.4308348672 -00 13 04.000640160|096.9571239810738 -60.5569134879372|20.228 -114.544    |8.64     |G5V                  |    ~     ~    
1400|HD 224972                                                             |Star                                |00 02 13.5920280216 -00 29 06.892358316|096.9885491659101 -60.8538327569284|  -1.242 -3.850    |9.66     |F0V                  |    ~     ~    
1401|HD 224985                                                             |High Proper Motion Star             |00 02 17.0928312624 -00 21 36.252860328|097.1157727627575 -60.7441530995466| 35.445 -40.733    |10.8     |G8/K0                |    ~     ~    
1402|HD 224859                                                             |High Proper Motion Star             |00 01 23.0022864072 -01 37 16.983323328|095.6411247694035 -61.8117084585268|   55.488 9.144    |10.41    |K0/1(III)            |    ~     ~    
1403|HD 224944                                                             |High Proper Motion Star             |00 02 03.6603938232 -01 33 09.065279196|096.0279789118859 -61.8174369268025|114.333 -55.843    |10.32    |G8V                  |    ~     ~    
1404|HD 224986                                                             |High Proper Motion Star             |00 02 17.2083493440 -02 08 20.924958264|095.6296289892764 -62.3765136760837| 46.345 -44.209    |9.71     |F8V                  |    ~     ~    
1405|HD 224775                                                             |Star                                |00 00 29.5097874408 -02 23 22.044282936|094.5248396239738 -62.4175208737324| 19.479 -36.013    |9.39     |G0V                  |    ~     ~    
1406|HD 224846                                                             |High Proper Motion Star             |00 01 15.2568091368 -02 20 25.996176312|094.9426525305656 -62.4533215355900|-18.127 -56.406    |9.538    |G8IV                 |    ~     ~    
1407|BD-02 6077                                                            |High Proper Motion Star             |00 00 52.4696201280 -02 01 00.408624492|095.0477455653783 -62.1194906541841|-31.538 -40.296    |10.766   |~                    |    ~     ~    
1408|HD 225085                                                             |High Proper Motion Star             |00 03 18.9327292200 -00 09 50.370830244|097.7556671690331 -60.6617441580317|162.383 -60.108    |9.606    |F7V                  |    ~     ~    
1409|HD 225183                                                             |Star                                |00 04 14.8825037040 -00 00 26.671158288|098.3160411706198 -60.6039081892696|   14.174 5.263    |9.629    |K2(III)              |    ~     ~    
1410|HD 423                                                                |Star                                |00 08 51.5594105304 -01 08 25.018969740|099.7051754681571 -62.0765365886297|  12.554 -4.149    |9.77     |A9V                  |    ~     ~    
1411|HD 450                                                                |Star                                |00 08 58.4105534376 -00 15 23.127384492|100.4059921034280 -61.2571363515572|  7.044 -15.124    |10.126   |F6V                  |    ~     ~    
1412|HD 473                                                                |Star                                |00 09 12.9781353408 -00 45 07.852073328|100.1694670254846 -61.7436778735795|    2.219 6.823    |9.877    |F3/5V                |    ~     ~    
1413|BD-01 4                                                               |Star                                |00 10 49.8582183192 -01 04 17.964343236|100.7456405511270 -62.1814289718302| -38.606 -9.179    |9.88     |G1                   |    ~     ~    
1414|HD 225059                                                             |Star                                |00 02 57.0864019032 -00 53 37.945964256|097.0047885324940 -61.3007686573292| 17.815 -18.099    |8.09     |K1III                |    ~     ~    
1415|HD 225174                                                             |Star                                |00 04 12.3418375128 -00 57 25.967127384|097.5580252280339 -61.4800221564343|-24.045 -26.898    |10.284   |G2/3V                |    ~     ~    
