C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
3589|HD 206465                                                                                                |Star                           |21 42 07.7846672904 +09 59 29.737879404|065.2914557459406 -30.9961908080098| 13.604 -10.203   |8.29     |K2               |    ~     ~    
3590|BD+09 4879                                                                                               |Star                           |21 42 28.4591313240 +10 09 07.886932200|065.4982963767683 -30.9570054642070|-20.913 -13.711   |9.52     |K5               |    ~     ~    
3591|HD 206557                                                                                                |Star                           |21 42 37.0017273336 +10 12 27.950827824|065.5741247270906 -30.9476859458255|  2.458 -16.602   |7.48     |K0               |    ~     ~    
3592|BD+09 4890                                                                                               |Star                           |21 44 04.6486727496 +09 54 17.369415180|065.5772475911425 -31.4178626014886|-34.618 -17.078   |8.60     |F8               |    ~     ~    
3593|HD 206794                                                                                                |Star                           |21 44 16.3245070872 +10 02 02.299853436|065.7287348881370 -31.3703890893205|   -3.373 2.563   |8.77     |F0               |    ~     ~    
3594|BD+09 4894                                                                                               |Star                           |21 44 29.3069700888 +09 54 06.749982288|065.6516742644188 -31.4967411224058|   6.781 -4.128   |9.75     |K0               |    ~     ~    
3595|BD+08 4717                                                                                               |High Proper Motion Star        |21 40 52.9267199016 +09 26 58.170026868|064.5761094492493 -31.1094439182215|  48.232 21.867   |10.25    |G5               |    ~     ~    
3596|BD+08 4727                                                                                               |Star                           |21 44 07.6095467592 +09 37 25.242299616|065.3353830627371 -31.6093711601357| -3.542 -10.355   |9.47     |M0               |    ~     ~    
3597|Cl* NGC 7078 LGDC 91                                                                                     |Star                           |21 39 43.6153767648 +11 35 02.341206024|066.2517970991245 -29.5143530439819| -8.682 -22.266   |10.76    |~                |    ~     ~    
3598|TYC 1123-515-1                                                                                           |Star                           |21 34 10.4749419368 +10 51 41.473352553|064.6139324546857 -28.9375529508737|   -8.400 3.764   |10.40    |~                |    ~     ~    
3599|TYC 1124-5-1                                                                                             |Star                           |21 38 19.6465973376 +11 07 10.357160124|065.5897722561565 -29.5542673934209|    3.794 0.648   |9.80     |~                |    ~     ~    
3600|TYC 1124-24-1                                                                                            |Star                           |21 38 03.3879003864 +10 05 50.138029356|064.6371142107665 -30.1599800299003| 27.364 -10.276   |10.37    |~                |    ~     ~    
3601|TYC 1124-206-1                                                                                           |Star                           |21 36 37.3920508680 +09 58 02.531326656|064.2615886574109 -29.9709271673940| -9.634 -10.167   |10.48    |~                |    ~     ~    
3602|TYC 1124-217-1                                                                                           |Star                           |21 34 48.7664590512 +10 51 57.909917880|064.7321085042886 -29.0554017003408|  45.948 15.296   |10.49    |~                |    ~     ~    
3603|TYC 1124-264-1                                                                                           |High Proper Motion Star        |21 42 05.5770971064 +10 04 08.976459792|065.3536681726416 -30.9391563533519|-26.124 -133.616  |10.27    |~                |    ~     ~    
3604|TYC 1124-356-1                                                                                           |Star                           |21 36 01.5216121752 +09 53 38.884342308|064.0884206248875 -29.9037066225369| -2.090 -11.148   |10.40    |~                |    ~     ~    
3605|TYC 1124-1179-1                                                                                          |Star                           |21 36 08.5485396960 +10 39 08.077698864|064.7824070430108 -29.4432907445255|   12.084 4.999   |10.43    |~                |    ~     ~    
3606|TYC 1124-1367-1                                                                                          |Star                           |21 38 09.7347403800 +10 33 30.004459560|065.0652651648456 -29.8845828311189| -3.532 -24.351   |10.29    |~                |    ~     ~    
3607|TYC 1124-1432-1                                                                                          |Star                           |21 35 41.2448379672 +10 07 16.260781728|064.2297730897739 -29.6953130567776|-17.798 -16.570   |10.43    |~                |    ~     ~    
3608|TYC 1124-1500-1                                                                                          |Star                           |21 40 25.3838174880 +09 28 04.554642360|064.5080778086587 -31.0106593116912|   27.755 9.948   |10.39    |~                |    ~     ~    
3609|TYC 1124-1568-1                                                                                          |Star                           |21 41 02.4284218992 +09 36 29.130319152|064.7474584988124 -31.0377532084187|-31.680 -35.176   |10.12    |~                |    ~     ~    
3610|TYC 1124-1641-1                                                                                          |Star                           |21 37 07.9457141640 +10 17 50.280849060|064.6470731106456 -29.8572688628171|    1.995 2.520   |10.55    |~                |    ~     ~    
3611|ASAS J213518+1047.6                                                                                      |Pulsating Variable             |21 35 17.8466497200 +10 47 32.219836836|064.7539749868154 -29.1941290492950|  -4.667 -1.044   |10.89    |~                |    ~     ~    
3612|TYC 1124-1845-1                                                                                          |Star                           |21 37 59.3357080800 +10 58 15.915648576|065.3977341364160 -29.5865305942065|    3.023 2.652   |10.77    |~                |    ~     ~    
3613|TYC 1124-2069-1                                                                                          |Star                           |21 41 27.4693366704 +10 43 05.548386216|065.8109477577854 -30.3997511237738|  1.516 -12.785   |10.02    |~                |    ~     ~    
3614|TYC 1124-2099-1                                                                                          |Star                           |21 39 09.047880 +10 09 44.56728        |064.894636418 -30.325142230        |     -9.1 -19.3   |10.485   |~                |    ~     ~    
3615|TYC 1124-2274-1                                                                                          |Star                           |21 42 01.7765492184 +09 24 51.517588176|064.7567743953004 -31.3491489259353|   -0.597 4.346   |10.87    |~                |    ~     ~    
3616|TYC 1125-917-1                                                                                           |Star                           |21 42 47.4980436288 +10 07 30.666351216|065.5333104467924 -31.0339892543236|   40.983 4.849   |10.92    |~                |    ~     ~    
3617|TYC 1125-1211-1                                                                                          |Star                           |21 44 14.1945363648 +10 59 23.345314152|066.5670401380461 -30.7395272185455|   7.855 -2.147   |10.80    |~                |    ~     ~    
3618|TYC 1125-1300-1                                                                                          |Star                           |21 44 01.9905207264 +11 02 39.014514960|066.5766829853193 -30.6662008475088|   4.670 -4.176   |10.83    |~                |    ~     ~    
3619|TYC 1125-1468-1                                                                                          |Star                           |21 42 18.2889495360 +10 57 23.114430180|066.1775670931095 -30.4027090015662|   17.857 1.117   |10.18    |~                |    ~     ~    
3620|TYC 1125-1470-1                                                                                          |Star                           |21 43 21.1874313936 +09 54 38.057930892|065.4469310506571 -31.2783310406504|   8.836 -7.727   |10.71    |~                |    ~     ~    
3621|TYC 1125-1816-1                                                                                          |Spectroscopic Binary           |21 44 37.7472549240 +10 13 46.463170008|065.9695354308757 -31.3097095141931|-39.524 -10.801   |10.55    |~                |    ~     ~    
3622|TYC 1125-1925-1                                                                                          |Star                           |21 43 22.0855067928 +11 03 15.054541092|066.4612363411986 -30.5363674776520|   11.638 3.437   |9.69     |~                |    ~     ~    
3623|TYC 1125-1940-1                                                                                          |High Proper Motion Star        |21 42 44.9140790880 +10 23 27.731606352|065.7611729938545 -30.8534460649714|-23.372 -52.017   |10.72    |~                |    ~     ~    
3624|TYC 1128-336-1                                                                                           |Star                           |21 40 28.0729206552 +11 31 51.476618676|066.3415094247546 -29.6865816025861|-11.822 -12.870   |10.58    |~                |    ~     ~    
3625|TYC 1128-1478-1                                                                                          |Star                           |21 38 12.2074955136 +11 22 35.809981212|065.7925067201772 -29.3649276053705| -7.552 -20.821   |10.70    |~                |    ~     ~    
3626|TYC 1129-161-1                                                                                           |Star                           |21 43 29.8994308176 +11 26 29.903601660|066.8246856352623 -30.3063303622407|-13.715 -16.310   |10.88    |~                |    ~     ~    
3627|TYC 1129-635-1                                                                                           |Star                           |21 44 32.4998496264 +11 34 04.310613372|067.1298415942721 -30.4155587869610|-30.891 -17.750   |10.82    |~                |    ~     ~    
3628|TYC 1129-695-1                                                                                           |Star                           |21 42 32.8702184952 +11 15 32.915309364|066.4882361057207 -30.2501097886466|  -0.960 -9.633   |10.94    |~                |    ~     ~    
3629|NAME Enif                          * eps Peg                                                             |Long-Period Variable           |21 44 11.1561394 +09 52 30.031152      |065.5709840542 -31.4575356441      |     26.92 0.44   |2.39     |K2Ib-II          |    ~     ~    
3630|BD+10 4561                                                                                               |Star                           |21 30 52.0895667480 +11 18 33.646625532|064.4215699187973 -28.0265238295891|  -0.047 -5.660   |8.85     |M0               |    ~     ~    
3631|V* NW Peg                                                                                                |Long-Period Variable           |21 31 01.9615042080 +11 22 25.639751424|064.5069942635602 -28.0168975486899|  0.932 -27.206   |8.03     |M3               |    ~     ~    
3632|BD+10 4564                                                                                               |Red Giant Branch star          |21 31 20.9752457208 +11 24 54.391537512|064.5989933826093 -28.0507288627665|   -6.036 3.543   |9.63     |K2               |    ~     ~    
3633|BD+10 4566                                                                                               |Star                           |21 31 34.2845242872 +11 25 35.423620536|064.6480853634565 -28.0854873893802|   6.821 -5.935   |10.03    |F5               |    ~     ~    
3634|BD+10 4574                                                                                               |Star                           |21 33 11.8116441120 +11 29 09.912329916|064.9880385459259 -28.3546323104397| 10.024 -24.235   |9.38     |K0               |    ~     ~    
3635|HD 204893                                                                                                |Star                           |21 31 17.7859266048 +13 30 47.436212592|066.4044944954228 -26.6973414904475|-11.662 -16.485   |8.82     |A2               |    ~     ~    
3636|BD+12 4641                                                                                               |Star                           |21 31 35.7453685512 +12 54 26.844176160|065.9377241217058 -27.1434266347797| -3.339 -22.406   |8.87     |K0               |    ~     ~    
3637|BD+12 4643                                                                                               |Red Giant Branch star          |21 31 42.5515810752 +12 49 21.288692604|065.8846423091905 -27.2191808074941|  -2.167 -3.143   |10.42    |K0               |    ~     ~    
3638|BD+12 4644                                                                                               |Star                           |21 31 51.0859210200 +12 53 37.848788196|065.9710721439213 -27.1998804399015|    5.366 8.316   |8.87     |K5               |    ~     ~    
3639|BD+12 4646                                                                                               |Star                           |21 31 59.5175696808 +12 53 26.486391696|065.9931445719411 -27.2281198572324|   2.605 -8.332   |9.72     |K0               |    ~     ~    
3640|BD+11 4582                                                                                               |Variable Star                  |21 30 56.4177909288 +12 33 19.306235448|065.5188032715678 -27.2467633753373|   7.336 -5.248   |8.45     |M0               |    ~     ~    
3641|HD 204948                                                                                                |Red Giant Branch star          |21 31 40.5650254824 +12 14 42.235807488|065.3797316108447 -27.5833935785868|  0.267 -21.316   |8.16     |~                |    ~     ~    
3642|HD 205127                                                                                                |Star                           |21 32 59.1431299152 +12 32 22.562417004|065.8662459853037 -27.6395942368426| 30.929 -26.308   |7.32     |K5               |    ~     ~    
3643|BD+11 4597                                                                                               |Star                           |21 33 02.9860864992 +12 36 30.221714232|065.9370047343971 -27.6072453860935|   3.930 23.309   |9.03     |K0               |    ~     ~    
3644|V* FT Peg                                                                                                |Long-Period Variable           |21 30 48.9299127624 +12 58 15.248629344|065.8551231011506 -26.9569973906510|  -2.205 -5.764   |10.00    |M7               |    ~     ~    
3645|HD 204862                                                                                                |Star                           |21 31 09.6293651688 +12 08 14.912561976|065.1955481550065 -27.5552427840594| 19.471 -15.379   |6.093    |B9.5V            |    ~     ~    
3646|BD+11 4584                                                                                               |Star                           |21 31 29.7493141008 +12 03 37.202871456|065.1875965168298 -27.6675833967700|-21.198 -20.561   |9.16     |K0III            |    ~     ~    
3647|BD+11 4585                                                                                               |Star                           |21 31 36.7074244344 +11 53 23.119831932|065.0596660308660 -27.7982713855719|   33.305 4.545   |9.49     |K2               |    ~     ~    
3648|BD+11 4589                                                                                               |High Proper Motion Star        |21 32 00.5579535624 +11 53 06.833859504|065.1259024030046 -27.8760314970729|  47.266 23.425   |9.83     |F8               |    ~     ~    
3649|HD 205061                                                                                                |Star                           |21 32 32.2905851904 +11 51 02.539190196|065.1894024434600 -27.9976349461591|  16.688 -2.226   |7.77     |K5               |    ~     ~    
3650|BD+11 4593                                                                                               |High Proper Motion Star        |21 32 44.0290161768 +11 53 56.191633908|065.2660699068990 -28.0035811545364|-34.456 -49.407   |8.58     |K2               |    ~     ~    
3651|TYC 1127-456-1                                                                                           |Star                           |21 31 03.5816514816 +11 26 35.210594832|064.5724566210896 -27.9780542835027|   7.928 -1.590   |10.21    |G5               |    ~     ~    
3652|BD+10 4563                                                                                               |Star                           |21 31 03.0349509168 +11 28 58.213102260|064.6056171969340 -27.9511271908566| 36.206 -19.837   |9.17     |K0               |    ~     ~    
3653|NGC 7078 1118                      NGC 7078 1118                                                         |Star                           |21 30 26.0546995584 +12 06 21.801104064|065.0406700781802 -27.4385203306865|    4.455 4.379   |10.43    |~                |    ~     ~    
3654|Cl* NGC 7078 JAN 56                                                                                      |Star                           |21 31 15.5838832680 +12 11 32.815272228|065.2607310838872 -27.5388051686647|   16.936 4.777   |10.31    |~                |    ~     ~    
3655|Cl* NGC 7078 JAN 59                                                                                      |Star                           |21 31 27.4701851016 +11 59 58.393824288|065.1280652763147 -27.6992293813197|   -6.084 3.995   |10.51    |~                |    ~     ~    
3656|Cl* NGC 7078 JAN 69                                                                                      |Star                           |21 31 50.3963717184 +11 55 02.377509096|065.1239291196969 -27.8236530400693|  6.551 -14.415   |9.74     |~                |    ~     ~    
3657|Cl* NGC 7078 LGDC 62                                                                                     |Red Giant Branch star          |21 30 43.2598310160 +12 20 13.097112180|065.2913219985193 -27.3452312894916|  19.229 -1.410   |10.35    |~                |    ~     ~    
3658|Cl* NGC 7078 LGDC 73                                                                                     |Star                           |21 32 12.8702545584 +11 37 44.659325064|064.9388155467844 -28.0781247716390|  -1.891 -0.477   |10.89    |~                |    ~     ~    
3659|Cl* NGC 7078 LGDC 75                                                                                     |Star                           |21 32 26.5570746768 +13 11 24.846033264|066.3300248817018 -27.1187812026264|  -3.125 -9.921   |10.34    |~                |    ~     ~    
3660|TYC 1127-234-1                                                                                           |Star                           |21 32 42.5901564528 +11 57 40.203379368|065.3159608359974 -27.9592499940365| -1.640 -13.589   |9.96     |~                |    ~     ~    
3661|TYC 1127-275-1                                                                                           |Red Giant Branch star          |21 33 30.3285226176 +12 46 58.248665580|066.1683082516760 -27.5796185029415| -9.433 -84.069   |10.77    |~                |    ~     ~    
3662|TYC 1127-296-1                                                                                           |Star                           |21 33 20.7992829528 +12 19 03.723917880|065.7384024705680 -27.8498383082338|   42.127 8.012   |10.63    |~                |    ~     ~    
3663|TYC 1127-429-1                                                                                           |High Proper Motion Star        |21 31 47.5221246271 +12 42 20.418524810|065.7984891545049 -27.3097943446186|-51.088 -77.288   |10.82    |~                |    ~     ~    
3664|TYC 1127-802-1                                                                                           |High Proper Motion Star        |21 32 30.1536945936 +12 17 26.231970444|065.5652441738571 -27.7092277389027| 60.372 -44.424   |10.06    |~                |    ~     ~    
3665|TYC 1127-982-1                                                                                           |Horizontal Branch Star         |21 33 42.0440814528 +11 43 16.623127380|065.2830979396985 -28.2990845707649|-10.696 -12.590   |10.08    |~                |    ~     ~    
3666|ASAS J213232+1126.7                                                                                      |High Proper Motion Star        |21 32 32.9244860256 +11 27 04.408132176|064.8425205954989 -28.2545499917622|   53.855 3.442   |10.498   |~                |    ~     ~    
3667|TYC 1127-1425-1                                                                                          |Star                           |21 31 40.3361007816 +11 22 55.884430488|064.6270746895774 -28.1327253658197|   1.049 -1.211   |10.78    |~                |    ~     ~    
3668|TYC 1127-1436-1                                                                                          |Star                           |21 32 31.2236701752 +11 25 59.252377620|064.8216577698255 -28.2607237212332|   10.576 2.146   |10.69    |~                |    ~     ~    
3669|2MASS J21325488+1321325                                                                                  |Red Giant Branch star          |21 32 54.8885901888 +13 21 32.507287272|066.5581193239292 -27.0971528901864| -0.863 -10.081   |10.64    |~                |    ~     ~    
3670|TYC 1131-1153-1                                                                                          |Star                           |21 31 39.2525584680 +13 07 50.725467696|066.1399144090873 -27.0105536733306|  18.825 -1.427   |10.47    |~                |    ~     ~    
3671|TYC 1131-1155-1                                                                                          |High Proper Motion Star        |21 33 16.7725694496 +13 10 35.610346092|066.4664812517669 -27.2829702911946|-37.858 -51.611   |10.56    |~                |    ~     ~    
3672|HD 205336                                                                                                |Star                           |21 34 22.6715227920 +11 26 51.853404768|065.1649617238708 -28.6016399426160|  18.623 -9.156   |8.23     |K2               |    ~     ~    
3673|BD+11 4636                                                                                               |Star                           |21 42 20.7674201136 +11 49 06.448632492|066.9386441269265 -29.8460396155830| -7.135 -16.166   |9.79     |M2               |    ~     ~    
3674|BD+10 4586                                                                                               |Star                           |21 36 21.7023208104 +11 29 13.542257652|065.5555254323824 -28.9489326747143|  14.644 23.904   |9.90     |F2               |    ~     ~    
3675|BD+10 4587                                                                                               |Star                           |21 36 27.0385339632 +11 32 42.525935772|065.6222922837768 -28.9281846625928|   10.398 8.385   |8.46     |K5               |    ~     ~    
3676|BD+10 4590                                                                                               |Star                           |21 37 50.0567359848 +11 36 15.542192232|065.9243697238894 -29.1486074204427|   7.216 -2.779   |9.46     |F2               |    ~     ~    
3677|HD 206030                                                                                                |Star                           |21 39 03.5583870816 +11 38 58.322537592|066.1868601122073 -29.3475428691640|   25.250 7.533   |8.20     |G5               |    ~     ~    
3678|HD 206351                                                                                                |High Proper Motion Star        |21 41 13.8227337432 +11 38 35.389955256|066.5797691193598 -29.7547378716752|  57.242 12.773   |8.39     |F5               |    ~     ~    
3679|BD+11 4600                                                                                               |Star                           |21 34 05.8088923248 +12 13 37.860022920|065.7935143359006 -28.0483464949523| 21.636 -15.650   |8.95     |K0               |    ~     ~    
3680|BD+11 4604                                                                                               |Star                           |21 35 12.5766918415 +12 30 40.624846053|066.2381921997601 -28.0722951018495|  29.178 -5.174   |9.67     |G0               |    ~     ~    
3681|BD+10 4582                                                                                               |Star                           |21 35 16.6836366456 +11 34 53.571306072|065.4431168512109 -28.6849633434280|  -1.145 -5.230   |9.63     |K5               |    ~     ~    
3682|Cl* NGC 7078 SLK 15                                                                                      |Star                           |21 34 17.7278020488 +13 38 04.387632972|067.0385303440156 -27.1731506276747|    8.445 4.828   |10.05    |A3               |    ~     ~    
3683|HD 205954                                                                                                |Star                           |21 38 29.7901810008 +13 41 02.954501988|067.8358064972257 -27.9108950057828| -13.317 -9.140   |7.56     |K2               |    ~     ~    
3684|BD+13 4754                                                                                               |High Proper Motion Star        |21 38 59.7015453000 +13 52 52.575689028|068.0936822887232 -27.8714158689551|-51.120 -35.183   |9.65     |G0               |    ~     ~    
3685|TYC 1132-548-1                                                                                           |High Proper Motion Star        |21 39 03.2972538336 +13 27 45.562512240|067.7487617436208 -28.1590408999375| 34.825 -74.990   |10.45    |K0               |    ~     ~    
3686|HD 206154                                                                                                |Star                           |21 39 55.4586060624 +13 46 05.672611236|068.1670979465068 -28.1152689556769|  24.664 34.449   |8.67     |G5               |    ~     ~    
3687|BD+13 4758                                                                                               |Star                           |21 39 56.8737167424 +13 52 20.320693068|068.2596561582863 -28.0505033273092|  -11.613 1.144   |8.76     |K2               |    ~     ~    
3688|BD+13 4761                                                                                               |Star                           |21 40 42.8216657904 +13 48 49.629937320|068.3501033802393 -28.2283202050671|   22.666 1.485   |10.04    |K2               |    ~     ~    
3689|BD+13 4763                                                                                               |Double or Multiple Star        |21 40 51.5797594344 +13 55 08.185001232|068.4659308218726 -28.1848033066479|    9.710 7.266   |9.699    |F5               |    ~     ~    
3690|BD+13 4766                                                                                               |Star                           |21 41 55.6392624072 +13 51 02.889495396|068.6044297659792 -28.4233699143454|   34.119 9.745   |9.34     |K0               |    ~     ~    
3691|BD+12 4648                                                                                               |Star                           |21 36 17.1889154304 +13 26 04.933976712|067.2242229536003 -27.6701016982228|  7.932 -42.916   |10.33    |G0               |    ~     ~    
3692|BD+12 4649                                                                                               |Star                           |21 36 50.4704618112 +13 33 04.320048672|067.4233867993353 -27.6955902068075|  23.462 -4.760   |10.71    |G5               |    ~     ~    
3693|BD+12 4650                                                                                               |Star                           |21 36 57.7165346232 +12 53 55.287556872|066.8869263031103 -28.1449705980489|  21.890 29.581   |9.89     |G0               |    ~     ~    
3694|BD+12 4651                                                                                               |Star                           |21 37 04.5029874912 +13 26 07.648323252|067.3668472044142 -27.8144400056844|    8.367 8.971   |9.73     |K0               |    ~     ~    
3695|BD+12 4654                                                                                               |Star                           |21 37 40.2308921352 +13 27 03.083880420|067.4875320588548 -27.9135219510950|  -0.467 -6.682   |10.46    |K2               |    ~     ~    
3696|TYC 1132-530-1                                                                                           |High Proper Motion Star        |21 39 41.6640036096 +13 24 21.283304436|067.8169509221207 -28.3132717724854|  74.371 42.935   |10.57    |G5               |    ~     ~    
3697|BD+12 4657                                                                                               |Star                           |21 39 38.3044607616 +13 24 41.597948340|067.8115412291335 -28.2993230133832|  39.878 11.432   |9.93     |F2               |    ~     ~    
3698|BD+12 4658                                                                                               |Star                           |21 40 04.2351893880 +12 59 46.602428928|067.5356443107126 -28.6524580862235| -1.065 -14.813   |9.80     |K2               |    ~     ~    
3699|BD+12 4660                                                                                               |Star                           |21 41 21.9427848336 +13 25 12.783295956|068.1354101552914 -28.6082417043552|  -10.849 2.340   |9.22     |K0               |    ~     ~    
3700|HD 206375                                                                                                |Star                           |21 41 23.8784432088 +12 45 20.718274860|067.5731030181884 -29.0542400556130|-15.248 -19.459   |8.537    |K2               |    ~     ~    
3701|BD+12 4662                                                                                               |Star                           |21 41 44.6462885208 +13 10 06.293309952|067.9903414105805 -28.8442431677062|-21.259 -12.600   |9.87     |G5               |    ~     ~    
3702|HD 206464                                                                                                |Star                           |21 41 57.2813795904 +12 46 51.626901972|067.6974939002188 -29.1393763151725|  22.857 -8.907   |9.08     |A3               |    ~     ~    
3703|HD 206486                                                                                                |Star                           |21 42 02.6120630064 +13 17 20.849320248|068.1486006754178 -28.8185619325304|  12.816 -6.760   |8.11     |K5               |    ~     ~    
3704|BD+12 4665                                                                                               |Star                           |21 42 10.1586382056 +13 15 01.704274236|068.1388596426945 -28.8671187140659|   5.505 17.662   |9.65     |F0               |    ~     ~    
3705|BD+12 4667                                                                                               |High Proper Motion Star        |21 42 26.0726096184 +12 43 21.287313120|067.7360768473781 -29.2657471595107| -3.161 -98.078   |10.14    |G0               |    ~     ~    
3706|BD+12 4668                                                                                               |Star                           |21 42 36.9545446440 +13 24 34.397704080|068.3569755799595 -28.8423162886694|   1.797 -7.665   |10.4     |G5               |    ~     ~    
3707|BD+12 4669                                                                                               |Star                           |21 42 47.7788206848 +13 13 26.275231956|068.2322331475397 -28.9986752244121|  9.404 -15.206   |9.77     |F2               |    ~     ~    
3708|BD+12 4670                                                                                               |Star                           |21 43 01.4282765760 +13 26 21.261254856|068.4577706580593 -28.8964274396142|  18.889 11.667   |9.16     |K2               |    ~     ~    
3709|PM J21429+1325                                                                                           |High Proper Motion Star        |21 42 56.2317184272 +13 25 21.713732400|068.4276481180959 -28.8917783906563|  41.272 24.515   |10.638   |G/K              |    ~     ~    
3710|TYC 1129-961-1                                                                                           |Star                           |21 43 06.3698414160 +13 05 19.221436896|068.1741794134136 -29.1450282474133|  8.161 -13.068   |10.35    |G5               |    ~     ~    
3711|AG+12 2551                                                                                               |Spectroscopic Binary           |21 43 06.3987206832 +13 05 42.142683372|068.1797087367653 -29.1408773498642|  34.051 16.370   |10.55    |G5               |    ~     ~    
3712|BD+12 4672                                                                                               |Star                           |21 43 22.0425750792 +12 41 19.308817284|067.8800870653966 -29.4584914815109| -9.669 -18.627   |9.52     |K5               |    ~     ~    
3713|BD+12 4673                                                                                               |Star                           |21 43 19.0459096944 +13 20 09.071637144|068.4242468536034 -29.0186074103281|   8.323 11.256   |9.59     |K0               |    ~     ~    
3714|BD+12 4675                                                                                               |Star                           |21 44 42.3734827200 +13 02 33.660980232|068.4329666392918 -29.4660010575057| -6.072 -24.939   |9.17     |K0               |    ~     ~    
3715|HD 206903                                                                                                |Star                           |21 44 53.6682105648 +13 03 44.663715576|068.4850274471092 -29.4868989668368| -12.768 -4.529   |8.98     |A2               |    ~     ~    
3716|HD 205643                                                                                                |Star                           |21 36 24.0 +12 23 00                   |066.3415 -28.3765                  |            ~ ~   |9.5      |K0               |    ~     ~    
3717|BD+11 4615                                                                                               |Star                           |21 37 24.6313416456 +12 24 17.123537988|066.5425175855773 -28.5500265155600| 18.392 -20.118   |9.89     |F5               |    ~     ~    
3718|TYC 1128-925-1                                                                                           |Star                           |21 37 19.8589969680 +12 23 56.010161004|066.5230557169628 -28.5391048620735|   0.974 -5.255   |10.74    |F2               |    ~     ~    
3719|BD+11 4616                                                                                               |Star                           |21 37 57.9775629648 +12 20 02.018311476|066.5820061405706 -28.6991547449355|-13.218 -16.664   |9.45     |K0               |    ~     ~    
3720|BD+11 4619                                                                                               |Star                           |21 38 33.1882850784 +12 14 16.309718016|066.6056007565414 -28.8704549923298|-16.946 -21.459   |8.73     |K5               |    ~     ~    
3721|BD+11 4628                                                                                               |Star                           |21 40 31.8153726528 +12 36 11.687659776|067.2823853781368 -28.9956793905873| 44.246 -19.025   |10.61    |G0               |    ~     ~    
3722|BD+11 4637                                                                                               |Star                           |21 42 23.0691559032 +12 34 02.431832160|067.5933563061258 -29.3593463332348|   18.136 3.758   |9.20     |F5               |    ~     ~    
3723|BD+11 4638                                                                                               |Star                           |21 42 28.4342122392 +12 31 18.017201784|067.5706066946341 -29.4059188897139|    6.251 3.445   |10.70    |F0               |    ~     ~    
3724|BD+11 4639                                                                                               |Star                           |21 42 55.6648651368 +12 22 19.278094260|067.5258305703645 -29.5879946408732|  -0.413 -6.764   |10.17    |F0               |    ~     ~    
3725|BD+11 4640                                                                                               |Star                           |21 42 55.3686300024 +12 16 34.081389732|067.4421552682235 -29.6504818559751|   46.135 9.775   |9.47     |F8               |    ~     ~    
3726|HD 206658                                                                                                |High Proper Motion Star        |21 43 18.4158630264 +12 31 06.071643048|067.7223899076172 -29.5604704001542| 75.483 -74.330   |7.83     |G0               |    ~     ~    
3727|BD+11 4642                                                                                               |Star                           |21 43 34.1540413416 +12 22 36.792010344|067.6493437521193 -29.7021805002697| -16.028 -1.357   |9.53     |K2               |    ~     ~    
3728|BD+11 4643                                                                                               |Star                           |21 43 43.9971914640 +12 23 13.259555664|067.6886486148213 -29.7254621024004|-11.966 -11.323   |10.01    |G0               |    ~     ~    
3729|V* AQ Peg                                                                                                |Eclipsing Binary               |21 37 20.9053929288 +13 28 28.499048292|067.4495588759975 -27.8388981290966|  -1.328 -5.723   |10.47    |A7:              |    ~     ~    
3730|BD+11 4608                                                                                               |Star                           |21 36 17.6159311656 +12 07 45.381760932|066.1023642954491 -28.5214333799361|  2.395 -21.575   |9.55     |K0               |    ~     ~    
3731|BD+11 4609                                                                                               |Star                           |21 36 26.5230173976 +11 51 19.903304160|065.8913305947831 -28.7262239408992|  17.090 -3.084   |9.87     |F5               |    ~     ~    
3732|HD 205690                                                                                                |Star                           |21 36 43.2664975008 +11 52 10.144726176|065.9538298040187 -28.7692773587115|  -4.252 -8.076   |8.27     |K2               |    ~     ~    
3733|HD 205746                                                                                                |Star                           |21 37 06.5408427456 +11 43 10.180742340|065.8933517704818 -28.9386960864886|  22.041 10.188   |7.260    |A0               |    ~     ~    
3734|BD+11 4624                                                                                               |Star                           |21 39 29.4523975416 +12 04 04.786719276|066.6295327903312 -29.1549551734152|   -2.754 5.737   |10.10    |A2               |    ~     ~    
3735|BD+11 4626                                                                                               |Star                           |21 40 05.0751814608 +12 05 32.612882460|066.7593937775445 -29.2488249158311|-23.249 -21.016   |9.31     |K0               |    ~     ~    
3736|BD+11 4630                                                                                               |Star                           |21 41 25.5735481848 +12 06 48.974779116|067.0245394359099 -29.4825081592441|   10.051 3.284   |9.87     |K0               |    ~     ~    
3737|BD+11 4632                                                                                               |Star                           |21 41 31.5060530232 +12 09 34.235393508|067.0825255244092 -29.4705460103683|  6.997 -15.840   |9.76     |K0               |    ~     ~    
3738|BD+11 4634                                                                                               |Spectroscopic Binary           |21 41 47.8356915192 +12 07 58.329756732|067.1097360974224 -29.5381728979108|  13.330 -5.933   |9.87     |B8               |    ~     ~    
