C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
60  |TYC 3183-532-1                                                                                           |Star                           |21 35 08.1054914208 +39 12 31.925149632|086.5304630790276 -09.4091332376006|  -1.727 -4.906   |10.79    |~                |    ~     ~    
61  |BD+38 4543                                                                                               |Star                           |21 35 07.1648887872 +39 13 17.545487340|086.5369665583558 -09.3977912063557|   6.292 -0.872   |9.49     |G5               |    ~     ~    
62  |BD+38 4551                                                                                               |Star                           |21 36 33.0232687248 +39 28 44.096943072|086.9199548005830 -09.3970875302564|  9.165 -23.352   |8.53     |F5               |    ~     ~    
63  |BD+38 4552                                                                                               |Star                           |21 36 36.9009335136 +39 09 24.994361844|086.7078925886238 -09.6422049651860|  -0.971 -4.859   |9.55     |A0               |    ~     ~    
64  |HD 205952                                                                                                |Star                           |21 37 48.6686508768 +39 19 01.837351236|086.9908599724276 -09.6809769805906|   17.443 1.017   |6.75     |B9               |    ~     ~    
65  |BD+38 4563                                                                                               |Star                           |21 38 30.0058516272 +39 30 38.755044360|087.2229453856170 -09.6277357807445|   12.651 4.962   |8.21     |K0               |    ~     ~    
66  |HD 206261                                                                                                |Star                           |21 39 53.7616142568 +39 30 53.836813980|087.4281704136351 -09.8054619386214|   48.061 5.772   |6.98     |A2               |    ~     ~    
67  |BD+39 4586                                                                                               |Star                           |21 32 39.9439623408 +39 48 04.938798852|086.5890612506621 -08.6511195331033|-10.039 -23.404   |9.51     |~                |    ~     ~    
68  |BD+39 4599                                                                                               |Star                           |21 34 34.8635343552 +40 23 06.384395832|087.2630383786247 -08.4757661154710|   -0.643 6.652   |10.24    |~                |    ~     ~    
69  |HD 205051                                                                                                |Star                           |21 31 41.2804019736 +39 07 37.690321656|085.9809926996101 -09.0105226667922|  0.992 -16.526   |8.600    |A3               |    ~     ~    
70  |HD 205223                                                                                                |Eclipsing Binary               |21 32 49.6516842 +39 04 20.012267      |086.1051150376 -09.2025426497      |    -6.31 -8.83   |8.81     |A                |0.0050  0.0    
71  |BD+38 4530                                                                                               |Star                           |21 33 37.2591604944 +39 19 01.059098268|086.3884835081430 -09.1299538626510|   -3.238 2.712   |9.76     |K2               |    ~     ~    
72  |HD 206462                                                                                                |Double or Multiple Star        |21 41 18.8482872576 +39 28 26.357201508|087.6069714817408 -10.0187784952016|   0.967 -6.638   |8.12     |K0               |    ~     ~    
73  |HD 206602                                                                                                |Star                           |21 42 14.7871605024 +39 31 34.794542208|087.7786845839046 -10.0993983833763|  32.431 16.754   |7.36     |K2               |    ~     ~    
74  |BD+38 4585                                                                                               |High Proper Motion Star        |21 42 56.5788868992 +39 35 08.276321364|087.9206909573227 -10.1441010003981|-30.744 -52.353   |8.55     |K2               |    ~     ~    
75  |BD+40 4550                                                                                               |Star                           |21 30 13.9928239824 +40 44 04.897607964|086.8985434998835 -07.6548571933394|  -1.417 -4.968   |9.79     |B9IV             |    ~     ~    
76  |BD+39 4578                                                                                               |Star                           |21 30 56.3221390008 +39 57 51.180644664|086.4594270192261 -08.3049312592520|    8.251 2.509   |10.75    |A1V              |    ~     ~    
77  |BD+39 4631                                                                                               |Star                           |21 39 54.2973 +39 40 44.005            |087.5408866 -09.6848928            |     1.70 -7.00   |10.68    |~                |    ~     ~    
78  |BD+38 4514                                                                                               |Star                           |21 30 43.0 +39 32 54                   |086.1378 -08.5762                  |            ~ ~   |9.5      |B8V              |    ~     ~    
79  |IRAS 21291+3902                                                                                          |Long-Period Variable           |21 31 10.8610614120 +39 16 10.185831552|086.0084900793545 -08.8397115179122|   -3.341 1.056   |10.33    |~                |    ~     ~    
80  |TYC 3183-166-1                                                                                           |Star                           |21 36 06.7449706272 +39 19 39.658200240|086.7529340450045 -09.4507656889407|    7.849 6.962   |10.21    |~                |    ~     ~    
81  |TYC 3183-493-1                                                                                           |Star                           |21 32 19.0042701936 +39 14 21.927655716|086.1487329142327 -09.0130548016444|-10.056 -10.278   |10.38    |~                |    ~     ~    
82  |TYC 3183-573-1                                                                                           |Spectroscopic Binary           |21 32 30.8939416080 +39 01 50.342400660|086.0315103394788 -09.1910036424580|    0.754 0.116   |9.92     |~                |    ~     ~    
83  |TYC 3183-717-1                                                                                           |Star                           |21 34 32.0045936352 +38 52 53.080696632|086.2172913261389 -09.5687099110507|  15.015 13.344   |9.37     |~                |    ~     ~    
84  |TYC 3183-886-1                                                                                           |Star                           |21 37 50.1479151072 +39 13 37.149354408|086.9326424626884 -09.7507226240047| 15.542 -15.289   |10.84    |~                |    ~     ~    
85  |TYC 3183-891-1                                                                                           |High Proper Motion Star        |21 36 06.8798751552 +39 00 20.310134904|086.5313721312966 -09.6873616364502|-29.795 -47.486   |10.94    |~                |    ~     ~    
86  |TYC 3183-1066-1                                                                                          |Star                           |21 38 59.5292170536 +39 19 41.032253100|087.1695468429287 -09.8268346555418| 10.607 -12.785   |10.14    |~                |    ~     ~    
87  |TYC 3183-1123-1                                                                                          |Star                           |21 34 38.0594478888 +39 11 16.382560020|086.4440558930378 -09.3582874986166|   5.942 -4.137   |10.49    |~                |    ~     ~    
88  |TYC 3183-1801-1                                                                                          |Star                           |21 36 07.2762031992 +39 03 07.920295128|086.5644241616354 -09.6540792209494|    5.025 7.224   |10.52    |~                |    ~     ~    
89  |TYC 3183-2113-1                                                                                          |Star                           |21 33 45.6903774936 +38 49 55.536768408|086.0719663741179 -09.5018175364077|  0.843 -12.408   |10.22    |~                |    ~     ~    
90  |BD+38 4531                                                                                               |Double or Multiple Star        |21 33 39.1318513464 +39 04 57.310661460|086.2302760264405 -09.3048270205010|       20.1 8.4   |10.417   |~                |    ~     ~    
91  |TYC 3187-26-1                                                                                            |Star                           |21 34 02.8589744136 +39 32 27.248976384|086.6045136497695 -09.0230410062525|   6.143 -2.104   |10.24    |~                |    ~     ~    
92  |TYC 3187-30-1                                                                                            |Star                           |21 35 52.7088925824 +39 25 36.155751348|086.7875029787274 -09.3473882118326|   0.572 -0.383   |10.19    |~                |    ~     ~    
93  |TYC 3187-33-1                                                                                            |Star                           |21 39 20.2896156912 +39 27 43.990583868|087.3112635452630 -09.7723889326467|  -3.058 -0.044   |10.61    |~                |    ~     ~    
94  |TYC 3187-61-1                                                                                            |Star                           |21 33 57.7494088488 +39 38 42.681639156|086.6645782357819 -08.9357195907895|  -0.550 -9.536   |10.68    |~                |    ~     ~    
95  |TYC 3187-174-1                                                                                           |Star                           |21 33 17.7106124400 +39 41 57.740203968|086.6073629117463 -08.8083266062848| -12.408 -2.139   |10.90    |~                |    ~     ~    
96  |GSC 03187-00196                                                                                          |Double or Multiple Star        |21 39 40.299264 +39 33 37.79604        |087.426566220 -09.742667456        |      24.0 -3.3   |10.077   |~                |    ~     ~    
97  |TYC 3187-248-1                                                                                           |Star                           |21 37 08.6564434728 +39 28 23.870517888|087.0015749311181 -09.4788362632310|    4.138 4.098   |10.14    |~                |    ~     ~    
98  |TYC 3187-254-1                                                                                           |Star                           |21 35 46.6894296288 +39 24 41.628000240|086.7626662727044 -09.3453280943608|  -8.280 -8.202   |10.64    |~                |    ~     ~    
99  |GSC 03187-00299                                                                                          |Double or Multiple Star        |21 33 36.1955380680 +39 42 44.708957748|086.6601009436122 -08.8393984892927|  -9.464 -9.212   |10.782   |~                |    ~     ~    
100 |IRAS 21305+3925                                                                                          |Star                           |21 32 36.3924794376 +39 39 30.666105864|086.4814569136385 -08.7471550565665|  -0.594 -4.159   |9.61     |~                |    ~     ~    
101 |TYC 3187-393-1                                                                                           |Star                           |21 36 55.6163414160 +39 35 06.816884964|087.0470811504950 -09.3680699906473|  -4.197 -3.127   |10.68    |~                |    ~     ~    
102 |TYC 3187-536-1                                                                                           |Star                           |21 39 59.5058285040 +39 34 08.429551212|087.4788195963984 -09.7776895848065|   10.743 0.990   |10.16    |~                |    ~     ~    
103 |GSC 03187-00555                                                                                          |Double or Multiple Star        |21 37 08.6100578544 +39 42 22.784188932|087.1612253403579 -09.3070969105756|   10.154 6.501   |10.667   |~                |    ~     ~    
