C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:03

dec< 0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5885

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
31  |HD 98749                                                                                                                                                                       |High Proper Motion Star               |11 21 48.9311296872 -01 43 39.691844400|262.5662188156561 +53.9671773925436| 48.610 -43.132   |9.00     |G5V            |    ~     ~    |    1|   84.579   pc  |  -0.3691     +0.3691  |paral   |2020yCat.1350....0G
32  |HD 98825                                                                                                                                                                       |Star                                  |11 22 23.1709453944 -01 04 38.494852104|262.1202155460092 +54.5799213344830| 10.858 -16.307   |8.98     |F5V            |    ~     ~    |    1|  116.503   pc  |  -0.2769     +0.2769  |paral   |2020yCat.1350....0G
33  |BD-00 2433                                                                                                                                                                     |Red Giant Branch star                 |11 22 37.0479917472 -00 55 28.901054316|262.0478223886094 +54.7377037562111|-23.409 -16.231   |9.62     |K0             |    ~     ~    |    1|  383.289   pc  |  -3.0998     +3.0998  |paral   |2020yCat.1350....0G
34  |BD-00 2434                                                                                                                                                                     |Star                                  |11 22 51.1776120360 -00 58 30.626953968|262.1816123004032 +54.7308968646015| 18.191 -20.952   |9.25     |K0             |    ~     ~    |    1|  417.659   pc  |  -3.8028     +3.8028  |paral   |2020yCat.1350....0G
35  |BD-00 2435                                                                                                                                                                     |Red Giant Branch star Candidate       |11 23 17.4639421536 -01 01 47.818251012|262.3911846575709 +54.7497628439574|  -0.082 -1.861   |9.54     |K2             |    ~     ~    |    1|  345.948   pc  |  -7.4330     +7.4330  |ST-L    |2020AJ....160...83S
36  |NAME Shama                         HD 99109                                                                                                                                    |High Proper Motion Star               |11 24 17.3585400216 -01 31 44.666848380|263.2385796342981 +54.4840237955823|-178.689 -159.528 |9.06     |G8/K0IV        |    ~     ~    |    1|   55.012   pc  |  -0.0514     +0.0514  |paral   |2020yCat.1350....0G
37  |HD 99237                                                                                                                                                                       |Star                                  |11 25 13.9152467568 -01 36 54.968067000|263.6571549382299 +54.5463304494229| -14.423 12.601   |9.29     |K1III          |    ~     ~    |    1|  513.769   pc  |  -5.7807     +5.7807  |paral   |2020yCat.1350....0G
38  |HD 99362                                                                                                                                                                       |High Proper Motion Star               |11 25 59.4004661328 -01 04 42.076983900|263.4018506090430 +55.0963682398314|  -56.096 1.746   |8.14     |F0V            |    ~     ~    |    1|  178.441   pc  |  -0.9457     +0.9457  |paral   |2020yCat.1350....0G
39  |BD-01 2509                                                                                                                                                                     |Star                                  |11 19 29.9449824696 -01 58 32.434264452|262.0127291950255 +53.4294599957046|-21.555 -25.703   |9.37     |K2             |    ~     ~    |    1|  341.309   pc  |  -2.8657     +2.8657  |paral   |2020yCat.1350....0G
40  |HD 98563                                                                                                                                                                       |High Proper Motion Star               |11 20 23.9491509264 -01 47 49.092060552|262.1452728480512 +53.7057170431073| -74.135 18.989   |8.27     |F5V            |    ~     ~    |    1|   84.922   pc  |  -0.1522     +0.1522  |paral   |2020yCat.1350....0G
