C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
3925|CD-35 2933                                                            |Star                                  |06 29 29.9149272408 -35 58 40.842133752|244.1175970118672 -19.6770940912946|   -4.120 0.064   |9.86     |~                   |    ~     ~          
3926|HD 45287                                                              |Spectroscopic Binary                  |06 24 49.1294876856 -36 22 51.742305012|244.1875066493144 -20.7017339283399|  -0.500 -1.079   |9.72     |F2V                 |    ~     ~          
3927|CD-36 2895                                                            |Star                                  |06 25 26.1046374120 -36 17 56.055172092|244.1480790420512 -20.5575622024130|   -1.510 3.163   |10.07    |M3III               |    ~     ~          
3928|CD-36 2918                                                            |Star                                  |06 27 21.7900559136 -36 19 20.685588636|244.3087617103996 -20.1987639046582|   3.326 29.737   |10.54    |G2                  |    ~     ~          
3929|HD 46096                                                              |Star                                  |06 29 42.7840034808 -36 11 06.988225056|244.3403198994519 -19.7064652326963|   -2.622 7.173   |8.89     |B9V                 |    ~     ~          
3930|CD-34 2858                                                            |High Proper Motion Star               |06 25 06.9049966008 -34 59 59.884764108|242.8181296775435 -20.1873386767876|-63.214 -109.534  |9.69     |~                   |    ~     ~          
3931|CD-34 2863                                                            |Star                                  |06 25 32.6243896032 -34 14 03.283121472|242.0829484500036 -19.8453666772374|   -2.505 0.600   |9.99     |~                   |    ~     ~          
3932|CD-35 2893                                                            |Star                                  |06 25 40.9024115520 -35 34 37.636914540|243.4390084360280 -20.2714577781393|   -4.543 3.270   |10.43    |~                   |    ~     ~          
3933|CD-35 2895                                                            |Double or Multiple Star               |06 25 46.2620789928 -35 22 57.193026204|243.2500387994194 -20.1893130290339| -18.136 62.138   |10.16    |~                   |    ~     ~          
3934|CD-36 2903                                                            |Star                                  |06 25 54.7011459672 -36 10 28.371125748|244.0565606204679 -20.4258362175975|  20.963 -5.973   |9.77     |~                   |    ~     ~          
3935|CD-35 2900                                                            |Star                                  |06 26 14.6794758960 -36 04 29.509671936|243.9799682981034 -20.3293854792525|   -1.705 6.731   |10.53    |~                   |    ~     ~          
3936|CD-34 2885                                                            |Star                                  |06 27 37.4918733552 -34 50 54.078144432|242.8516090639107 -19.6519394918039|  -1.297 -5.571   |9.36     |~                   |    ~     ~          
3937|CD-34 2888                                                            |Star                                  |06 27 47.7577073688 -34 31 24.695950836|242.5404672867077 -19.5076701870755|  -4.824 -4.301   |10.43    |~                   |    ~     ~          
3938|CD-33 3001                                                            |Star                                  |06 28 08.6276337480 -33 59 59.389963620|242.0457311117643 -19.2594356219707|   6.230 13.287   |10.28    |~                   |    ~     ~          
3939|CD-36 2880                                                            |Star                                  |06 24 26.3777330856 -36 09 55.502290476|243.9429550028841 -20.7033790190628|   0.994 10.570   |10.22    |~                   |    ~     ~          
3940|CD-33 2954                                                            |Star                                  |06 24 29.5881755280 -33 53 18.282882660|241.6583430888605 -19.9320938558764|   1.881 12.477   |10.667   |~                   |    ~     ~          
3941|CD-35 2886                                                            |Star                                  |06 24 38.5504936464 -35 34 55.900336836|243.3691894209743 -20.4724258475141|   -4.691 2.021   |10.87    |~                   |    ~     ~          
3942|CD-36 2881                                                            |Star                                  |06 24 39.3891289008 -36 14 56.551204716|244.0427336830736 -20.6894361232858| -0.381 -13.508   |9.94     |~                   |    ~     ~          
3943|CPD-34 915                                                            |High Proper Motion Star               |06 24 39.4376286240 -34 14 50.976164652|242.0299640230400 -20.0221640687093|-34.178 -78.153   |10.525   |~                   |    ~     ~          
3944|CD-34 2860                                                            |Star                                  |06 25 18.8922830160 -34 32 45.449112120|242.3777262074547 -19.9956586056330|   -2.572 0.547   |10.18    |~                   |    ~     ~          
3945|CPD-33 1150                                                           |Star                                  |06 25 20.4044084064 -33 38 30.033278592|241.4759463805456 -19.6822679243194|  3.536 -13.730   |10.71    |~                   |    ~     ~          
3946|CD-34 2861                                                            |Star                                  |06 25 20.8555479984 -34 42 41.363464824|242.5459482978025 -20.0452995779767| -4.034 -20.519   |10.09    |~                   |    ~     ~          
3947|CD-33 2965                                                            |High Proper Motion Star               |06 25 35.4325909872 -33 58 22.197842328|241.8253405783326 -19.7469777895613|  15.531 47.858   |10.05    |~                   |    ~     ~          
3948|CD-35 2899                                                            |Star                                  |06 26 05.3096828184 -35 48 49.291076412|243.7061254206504 -20.2724056640947|  -5.469 -3.745   |9.926    |~                   |    ~     ~          
3949|CPD-33 1159                                                           |Star                                  |06 26 23.2671163944 -33 49 46.860345768|241.7429172399943 -19.5424484652999|  -0.489 -5.102   |9.70     |~                   |    ~     ~          
3950|CD-34 2877                                                            |Star                                  |06 26 26.9624922312 -34 55 16.071299292|242.8372368320778 -19.9033864759945|   2.762 17.251   |10.75    |~                   |    ~     ~          
3951|CD-33 2984                                                            |Star                                  |06 26 43.0337659872 -33 38 32.391212316|241.5815154139855 -19.4134601098168|   -6.486 8.267   |10.28    |~                   |    ~     ~          
3952|CD-35 2904                                                            |Star                                  |06 26 44.7464000904 -35 08 22.566982884|243.0777295276467 -19.9202076507084|   4.968 16.832   |10.86    |~                   |    ~     ~          
3953|CD-35 2907                                                            |Star                                  |06 27 02.5121905536 -35 18 53.433089964|243.2748932217021 -19.9224945413847|       1.3 12.0   |10.24    |~                   |    ~     ~          
3954|CD-35 2912                                                            |Star                                  |06 27 35.7311944560 -35 54 42.623892144|243.9133293147754 -20.0174169058916| -7.647 -10.979   |9.43     |~                   |    ~     ~          
3955|CD-34 2887                                                            |Star                                  |06 27 49.4498192976 -34 22 48.205663824|242.3996876962841 -19.4528752749636|    3.654 1.158   |9.81     |~                   |    ~     ~          
3956|CD-35 2917                                                            |Star                                  |06 28 01.2856376064 -35 26 04.355003580|243.4664600524061 -19.7750743232554| -13.946 10.446   |9.89     |~                   |    ~     ~          
3957|CD-36 2931                                                            |Star                                  |06 28 34.1060876448 -36 08 40.533903384|244.2168462487409 -19.9102566735878|   19.792 2.663   |10.19    |~                   |    ~     ~          
3958|CD-35 2927                                                            |Spectroscopic Binary                  |06 28 46.4132737296 -35 29 22.941609288|243.5768042153354 -19.6497434480002|  -6.093 13.614   |10.65    |~                   |    ~     ~          
3959|CD-34 2904                                                            |Star                                  |06 29 01.7723036736 -34 46 26.918620824|242.8825406333829 -19.3556510822441|   5.517 27.077   |10.590   |~                   |    ~     ~          
3960|CD-34 2903                                                            |Star                                  |06 29 03.3487265400 -34 36 58.954163040|242.7275856674639 -19.2961651357078|  -7.098 -9.291   |10.300   |~                   |    ~     ~          
3961|CD-34 2906                                                            |Star                                  |06 29 11.5691433816 -34 34 56.418896820|242.7040704823953 -19.2579451732196|   -3.268 7.487   |10.367   |~                   |    ~     ~          
3962|CD-33 3017                                                            |Star                                  |06 29 25.7074521912 -33 37 44.924511216|241.7767752242552 -18.8799699509572|    1.762 7.102   |9.64     |~                   |    ~     ~          
3963|CD-34 2910                                                            |Star                                  |06 29 43.1152917168 -34 49 10.599674520|242.9794657969309 -19.2385646787329|    5.671 1.760   |9.98     |~                   |    ~     ~          
3964|CD-33 2948                                                            |Star                                  |06 23 53.8063876320 -33 38 12.631849584|241.3617991615518 -19.9628626583226|  -0.236 26.057   |10.33    |~                   |    ~     ~          
3965|TYC 7081-6-1                                                          |Star                                  |06 23 25.8002886960 -34 18 29.109941244|241.9995190847371 -20.2812647809444|   -4.070 2.818   |10.966   |~                   |    ~     ~          
3966|TYC 7081-194-1                                                        |Star                                  |06 25 03.7503240264 -34 21 08.393420916|242.1651202938707 -19.9789879760567|    4.928 9.513   |10.36    |~                   |    ~     ~          
3967|TYC 7081-258-1                                                        |Star                                  |06 23 51.3118083360 -34 15 20.718805824|241.9785443858974 -20.1809375147235|    1.157 1.885   |10.92    |~                   |    ~     ~          
3968|TYC 7081-523-1                                                        |Star                                  |06 26 55.0650736536 -34 23 29.671777896|242.3430240589455 -19.6324637607093|  -2.034 -7.854   |10.235   |~                   |    ~     ~          
3969|TYC 7081-561-1                                                        |Star                                  |06 22 55.5030679920 -34 51 57.745248408|242.5235838826489 -20.5657190149876|  -9.642 24.542   |10.82    |~                   |    ~     ~          
3970|TYC 7081-738-1                                                        |Star                                  |06 25 56.9499806736 -33 54 29.624053608|241.7879629795563 -19.6549575442907|   -8.990 8.180   |10.84    |~                   |    ~     ~          
3971|TYC 7081-857-1                                                        |Star                                  |06 24 56.1638558448 -34 34 10.636677516|242.3733569725524 -20.0770580004399|   8.976 -6.890   |10.67    |~                   |    ~     ~          
3972|TYC 7081-967-1                                                        |Star                                  |06 24 33.8064846816 -34 46 03.744721704|242.5445367884811 -20.2159158021236|  16.538 -2.036   |10.71    |~                   |    ~     ~          
3973|TYC 7081-971-1                                                        |Star                                  |06 22 36.3986840616 -34 11 16.829311056|241.8179389542860 -20.4011902996169|   -4.302 2.964   |10.70    |~                   |    ~     ~          
3974|TYC 7081-1023-1                                                       |High Proper Motion Star               |06 23 02.2270159896 -34 48 31.909243392|242.4741601163868 -20.5250238063164|-45.847 132.939   |10.81    |~                   |    ~     ~          
3975|TYC 7081-1205-1                                                       |Star                                  |06 25 00.2736379440 -35 18 41.874197400|243.1231163590643 -20.3129216594774|   0.392 -4.757   |10.85    |~                   |    ~     ~          
3976|TYC 7081-1345-1                                                       |Star                                  |06 24 34.3265525832 -35 08 19.121835408|242.9177887103475 -20.3384476284047|   -2.779 0.973   |10.98    |~                   |    ~     ~          
3977|TYC 7081-1347-1                                                       |Star                                  |06 23 12.1062534120 -35 07 11.536273452|242.7994499192467 -20.5964480176080|    4.429 7.224   |10.52    |~                   |    ~     ~          
3978|TYC 7081-1455-1                                                       |Star                                  |06 24 58.4228234736 -34 19 02.332733160|242.1234535569976 -19.9843531011214|   -0.268 9.623   |10.81    |~                   |    ~     ~          
3979|TYC 7082-667-1                                                        |Spectroscopic Binary                  |06 28 16.6829948424 -34 59 00.839076684|243.0350717742416 -19.5722824916444|  -8.711 12.279   |10.92    |~                   |    ~     ~          
3980|TYC 7082-691-1                                                        |Star                                  |06 28 09.4212697224 -34 16 30.343233180|242.3203624079251 -19.3521705728686|  -8.503 -2.153   |10.60    |~                   |    ~     ~          
3981|TYC 7082-781-1                                                        |High Proper Motion Star               |06 28 51.1868087208 -34 18 07.254540612|242.3998397487124 -19.2265921418259| -19.980 52.829   |10.61    |~                   |    ~     ~          
3982|TYC 7082-1419-1                                                       |Star                                  |06 27 05.0066454312 -34 56 38.698903680|242.9070588571088 -19.7889211945584|    0.616 8.649   |10.80    |~                   |    ~     ~          
3983|TYC 7082-1543-1                                                       |Star                                  |06 29 34.1244179448 -34 15 14.619640248|242.4066170029135 -19.0713077435892|   0.122 -3.347   |10.591   |~                   |    ~     ~          
3984|TYC 7085-471-1                                                        |Star                                  |06 23 34.2581577120 -35 37 52.454456220|243.3418272471305 -20.6942037007643|   12.979 6.695   |10.94    |~                   |    ~     ~          
3985|TYC 7085-657-1                                                        |Star                                  |06 23 23.0886004488 -36 02 22.966089036|243.7413980856422 -20.8636528146395| 25.235 -27.295   |10.20    |~                   |    ~     ~          
3986|TYC 7085-947-1                                                        |Star                                  |06 25 29.3235651768 -36 13 33.408195816|244.0783070809422 -20.5233433257675|  -2.986 -0.866   |10.91    |~                   |    ~     ~          
3987|TYC 7085-1005-1                                                       |Star                                  |06 24 09.8429796864 -36 07 45.728646132|243.8870641038930 -20.7441446737893|  -6.850 32.760   |10.83    |~                   |    ~     ~          
3988|TYC 7085-1053-1                                                       |Star                                  |06 24 45.6945846264 -36 19 54.531949296|244.1337493515524 -20.6965226638454|  -2.539 45.199   |10.43    |~                   |    ~     ~          
3989|TYC 7085-1177-1                                                       |Star                                  |06 24 09.7739265336 -36 18 20.025740592|244.0650877174071 -20.8019235275193|  -10.250 5.000   |10.59    |~                   |    ~     ~          
3990|TYC 7085-1225-1                                                       |Star                                  |06 22 44.6823227568 -36 12 52.592924484|243.8735300531528 -21.0427319133628|  33.827 21.755   |10.90    |~                   |    ~     ~          
3991|TYC 7085-1363-1                                                       |Star                                  |06 25 42.7989402240 -36 20 38.236963704|244.2131966741510 -20.5194548939778|-11.165 -27.793   |9.60     |~                   |    ~     ~          
3992|TYC 7085-1464-1                                                       |Star                                  |06 25 42.0049626192 -36 20 12.424643700|244.2050309068036 -20.5196116596843|  -7.342 22.174   |10.92    |~                   |    ~     ~          
3993|TYC 7085-1467-1                                                       |Star                                  |06 25 37.6291725720 -36 19 13.977772140|244.1834995811362 -20.5281396405992|   -0.872 1.922   |10.775   |~                   |    ~     ~          
3994|TYC 7086-593-1                                                        |Star                                  |06 28 31.6865381112 -36 02 59.366967828|244.1190157205523 -19.8860638542097|  -6.440 11.880   |10.608   |~                   |    ~     ~          
3995|TYC 7086-789-1                                                        |Star                                  |06 28 52.2924161880 -36 00 04.596503868|244.0952949530476 -19.8043286610287|   -2.016 6.336   |10.67    |~                   |    ~     ~          
3996|TYC 7086-994-1                                                        |Star                                  |06 29 59.5798452912 -36 14 27.551506344|244.4162876503800 -19.6721724843544|   4.482 25.644   |10.73    |~                   |    ~     ~          
3997|TYC 7086-1108-1                                                       |Star                                  |06 29 08.8115832792 -36 19 15.280440852|244.4351256644415 -19.8596606507477|   -2.341 5.463   |10.87    |~                   |    ~     ~          
3998|HD 45406                                                              |Star                                  |06 25 28.1874316104 -36 22 00.286121496|244.2189682665413 -20.5732535067170|-19.573 -35.099   |10.59    |F5V                 |    ~     ~          
3999|HD 44935                                                              |Spectroscopic Binary                  |06 22 51.0937567536 -37 00 09.083529144|244.6809294514212 -21.2757862343974|  50.205 76.329   |9.55     |F2V                 |    ~     ~          
4000|HD 45098                                                              |Star                                  |06 23 45.2488518936 -37 00 52.539455448|244.7550713378022 -21.1089478366379|   -1.495 6.313   |6.878    |B5V                 |    ~     ~          
4001|HD 45132                                                              |Star                                  |06 23 53.1600919344 -36 50 40.287445728|244.5915921179164 -21.0292824390946|  -4.841 18.934   |9.45     |A3/5IV              |    ~     ~          
4002|HD 45145                                                              |High Proper Motion Star               |06 24 01.0098891672 -36 42 27.947549016|244.4620156257202 -20.9603247958355| -12.462 55.032   |5.619    |K1II/III            |    ~     ~          
4003|HD 45145B                                                             |High Proper Motion Star               |06 23 59.9613779736 -36 42 31.198094208|244.4617174415579 -20.9639309982042| -11.488 54.542   |9.74     |~                   |    ~     ~          
4004|HD 45158                                                              |Star                                  |06 24 06.1056795288 -36 42 10.737638604|244.4630699023085 -20.9426712158028| -25.243 -5.063   |6.81     |G6/8III             |    ~     ~          
4005|CD-37 2790                                                            |Star                                  |06 23 08.8319972832 -37 13 32.485560420|244.9280978584280 -21.2910940350448|    6.323 3.229   |9.44     |K1                  |    ~     ~          
4006|HD 45115                                                              |Star                                  |06 23 48.8074665600 -37 58 45.462974232|245.7404132051507 -21.4047691981550|   -2.546 5.000   |9.03     |K0III               |    ~     ~          
4007|HD 45075                                                              |Star                                  |06 23 41.6232840984 -38 16 58.725969888|246.0422457859577 -21.5225550161410|   22.737 9.317   |9.56     |A7/9V               |    ~     ~          
4008|CD-39 2562                                                            |High Proper Motion Star               |06 22 48.0282563856 -39 10 57.241623540|246.9052107341177 -21.9665245011512| 37.068 -34.090   |10.20    |~                   |    ~     ~          
4009|CD-37 2791                                                            |Star                                  |06 23 06.8830855440 -37 54 54.082549512|245.6282737658698 -21.5152891319970|    0.343 9.775   |10.25    |~                   |    ~     ~          
4010|CD-39 2573                                                            |Star                                  |06 23 29.5622641632 -39 11 11.591788236|246.9535861062640 -21.8400534287337|   -2.679 4.447   |10.36    |~                   |    ~     ~          
4011|CPD-36 942                                                            |Star                                  |06 23 50.8800375288 -36 36 23.115394440|244.3475981669416 -20.9595689779540|   16.709 4.338   |9.97     |~                   |    ~     ~          
4012|CD-38 2612                                                            |Star                                  |06 22 52.4139687936 -38 18 20.933705916|246.0115397889949 -21.6825621869516|   2.920 15.895   |10.00    |~                   |    ~     ~          
4013|CD-37 2794                                                            |Star                                  |06 23 16.6711900296 -37 31 37.641285912|245.2437731560465 -21.3622608927507|  -0.091 -6.976   |10.00    |~                   |    ~     ~          
4014|CD-36 2861                                                            |Star                                  |06 23 21.4986232368 -36 29 31.546255920|244.1976538352515 -21.0156341984322|    0.061 1.701   |10.41    |~                   |    ~     ~          
4015|CD-38 2621                                                            |Star                                  |06 23 44.8255414896 -38 18 24.758096652|246.0701675823488 -21.5200938792715|   -9.044 8.987   |9.95     |~                   |    ~     ~          
4016|HD 45268                                                              |Star                                  |06 24 46.5824716632 -36 35 50.863095168|244.4032780308116 -20.7804318775841|    3.090 9.707   |7.88     |K4III               |    ~     ~          
4017|HD 45288                                                              |Star                                  |06 24 52.1946339024 -36 38 29.146743744|244.4542781357609 -20.7770046020585|  11.683 11.252   |9.38     |A8/9III             |    ~     ~          
4018|CD-36 2917                                                            |Star                                  |06 26 57.1988106720 -36 48 45.240657588|244.7730013427706 -20.4385384491605| -4.186 -29.247   |10.06    |G2                  |    ~     ~          
4019|CD-36 2936                                                            |Star                                  |06 29 17.6445450792 -36 51 05.868307404|244.9776058417151 -20.0095293840461|  -11.577 6.811   |9.15     |G8                  |    ~     ~          
4020|HD 45201                                                              |Star                                  |06 24 24.2690905488 -37 32 01.526783172|245.3267681591173 -21.1526127299697|  -4.872 -2.835   |9.09     |K1(III)             |    ~     ~          
4021|HD 45227                                                              |Star                                  |06 24 30.5120312040 -37 36 10.700288136|245.4041584620590 -21.1551665667154|  0.546 -22.961   |9.71     |F0V                 |    ~     ~          
4022|HD 45480                                                              |Star                                  |06 25 52.7785260072 -37 17 33.353688084|245.1830950624597 -20.7977006028136|  -9.413 32.316   |8.63     |F0/2V               |    ~     ~          
4023|HD 45525                                                              |High Proper Motion Star               |06 26 09.3452167128 -37 51 36.241874856|245.7768228627357 -20.9288979900592| -60.628 42.446   |9.67     |G8(III)             |    ~     ~          
4024|CD-37 2824                                                            |Star                                  |06 26 17.0211682560 -37 05 18.042377244|245.0045055824500 -20.6552398292831|    2.544 2.552   |9.45     |K1                  |    ~     ~          
4025|HD 45632                                                              |Star                                  |06 26 47.4162283800 -37 13 57.080847972|245.1853049662295 -20.6068265288889| -14.794 13.389   |8.04     |A2V                 |    ~     ~          
4026|HD 45699                                                              |Star                                  |06 27 09.2152850088 -37 32 47.445384480|245.5276213228967 -20.6408189510613|  -7.684 19.942   |9.23     |A8/9V               |    ~     ~          
4027|HD 45680                                                              |Star                                  |06 27 07.5842635056 -37 53 43.815227676|245.8787136451037 -20.7589695282179|  -1.984 45.848   |6.487    |F3V                 |    ~     ~          
4028|HD 45698                                                              |alpha2 CVn Variable                   |06 27 11.3339721960 -37 06 07.331905656|245.0813354682027 -20.4891182858872| -19.090 13.805   |8.15     |ApSrEu(Cr)          |    ~     ~          
4029|CD-37 2851                                                            |Star                                  |06 28 39.6128455104 -37 07 59.524827852|245.2156964257092 -20.2224142184899|   4.496 -2.941   |9.57     |F2                  |    ~     ~          
4030|V* AI Col                                                             |Long-Period Variable                  |06 28 52.7005581816 -37 20 29.071300668|245.4404325059267 -20.2501905806914|  -1.836 17.444   |8.22     |M3III               |    ~     ~          
4031|HD 46082                                                              |Star                                  |06 29 25.0963093992 -37 46 24.769520472|245.9129773042905 -20.2914032559906|  -7.260 -6.898   |9.61     |A7V                 |    ~     ~          
4032|HD 46142                                                              |Star                                  |06 29 49.0233278928 -38 00 20.919929940|246.1744249411592 -20.2933302335378| -15.909 13.581   |8.42     |A1V                 |    ~     ~          
4033|HD 45202                                                              |Star                                  |06 24 26.6733960960 -38 04 19.281454680|245.8770196503806 -21.3161157283267| 12.117 -10.846   |8.84     |M3/4(III)           |    ~     ~          
4034|HD 45244                                                              |Star                                  |06 24 37.9531208952 -38 16 21.055735632|246.0937716991655 -21.3443502043918|    5.179 4.906   |8.28     |K5III               |    ~     ~          
4035|CD-38 2636                                                            |Long-Period Variable Candidate        |06 24 54.9923331648 -39 02 18.511437012|246.8939136938979 -21.5316155571883|   -2.699 3.735   |9.29     |M2/3                |    ~     ~          
4036|HD 45384                                                              |Star                                  |06 25 15.4058768328 -38 47 48.262345836|246.6693637177300 -21.3932554927274|   6.859 10.983   |9.08     |G8III               |    ~     ~          
4037|HD 45481                                                              |Star                                  |06 25 49.9578292584 -38 56 08.039807808|246.8486595525770 -21.3303553982249|  -2.996 11.195   |7.27     |K3III               |    ~     ~          
4038|CD-38 2650                                                            |High Proper Motion Star               |06 26 35.2044515952 -38 36 24.266550168|246.5637462330419 -21.0870867075185| 3.105 -108.873   |9.74     |K0                  |    ~     ~          
4039|HD 45589                                                              |Star                                  |06 26 38.9253655896 -38 53 33.451155348|246.8585608632940 -21.1661549822486| 14.049 -17.686   |8.52     |G8/K0III/IV         |    ~     ~          
4040|CD-38 2654                                                            |Star                                  |06 26 49.5949887360 -38 59 21.287306220|246.9685785895511 -21.1638585581510|   -0.401 0.125   |9.53     |G5                  |    ~     ~          
4041|HD 45666                                                              |Spectroscopic Binary                  |06 27 00.0821786832 -38 24 11.801173464|246.3848212243616 -20.9453811378148|   8.453 14.171   |9.23     |G8IV                |    ~     ~          
4042|HD 45891                                                              |Star                                  |06 28 23.3146063824 -38 53 00.594050676|246.9645561197158 -20.8422523183913|   -3.903 6.614   |9.79     |A1IV/V              |    ~     ~          
4043|HD 45943                                                              |High Proper Motion Star               |06 28 41.2670312976 -38 34 15.356929224|246.6680077617421 -20.6866401907823| 2.507 -190.616   |9.03     |G6/8V               |    ~     ~          
4044|HD 45963                                                              |Star                                  |06 28 51.2788071432 -38 18 54.763149996|246.4207174850397 -20.5730652942005| -12.255 46.468   |8.30     |F0IV                |    ~     ~          
4045|IRAS 06229-3721                                                       |Star                                  |06 24 38.8685635248 -37 23 33.548475732|245.2000288391831 -21.0617159246367|   1.480 -3.651   |10.303   |~                   |    ~     ~          
4046|CD-38 2661                                                            |Star                                  |06 27 21.8589280392 -38 55 40.234952676|246.9416050127526 -21.0452635977183|   -0.750 6.079   |10.50    |~                   |    ~     ~          
4047|CD-38 2630                                                            |Star                                  |06 24 37.9423304112 -38 31 48.372413376|246.3563578158327 -21.4253910124353|  -9.649 -7.503   |9.83     |~                   |    ~     ~          
4048|CD-38 2641                                                            |Star                                  |06 25 28.3867275192 -38 37 01.595071380|246.5005102418559 -21.2967458777284| 33.863 -22.068   |10.31    |~                   |    ~     ~          
4049|CD-37 2817                                                            |Star                                  |06 25 39.5710709760 -37 07 34.772329380|244.9996463179085 -20.7852718164030|   1.874 -6.195   |10.323   |~                   |    ~     ~          
4050|CD-38 2645                                                            |Star                                  |06 25 41.6217524424 -38 49 00.138905040|246.7184016458883 -21.3187005761279|  -0.929 -1.471   |10.250   |~                   |    ~     ~          
4051|CD-36 2908                                                            |Star                                  |06 26 12.4092103992 -36 26 33.139636404|244.3474808708923 -20.4581445423810|    2.325 2.312   |9.81     |~                   |    ~     ~          
4052|CD-37 2825                                                            |Star                                  |06 26 15.3784240536 -37 41 03.057392544|245.6054104874919 -20.8535039264743|   7.523 -2.973   |10.445   |~                   |    ~     ~          
4053|CD-37 2828                                                            |Star                                  |06 26 36.7513505880 -37 27 05.683405932|245.3944023229307 -20.7114891574269|  -9.934 -3.729   |9.79     |~                   |    ~     ~          
4054|CPD-36 965                                                            |High Proper Motion Star               |06 26 37.6281037896 -37 02 45.548299212|244.9856174966279 -20.5766542816479|   0.298 76.627   |10.00    |~                   |    ~     ~          
4055|CD-37 2833                                                            |Star                                  |06 26 55.1708463720 -37 07 11.751613644|245.0806158978488 -20.5457235066503|  -4.040 14.042   |9.38     |~                   |    ~     ~          
4056|CPD-39 939                                                            |Spectroscopic Binary                  |06 26 56.2036414488 -39 05 32.041601412|247.0806144079027 -21.1760567157427| -1.085 -10.939   |10.31    |~                   |    ~     ~          
4057|CD-38 2657                                                            |Star                                  |06 27 12.4513514016 -38 25 04.554020424|246.4135130099733 -20.9118038583544|  -4.772 21.476   |10.139   |~                   |    ~     ~          
4058|CD-36 2921                                                            |Star                                  |06 27 29.3421206136 -36 37 16.682125764|244.6182120054406 -20.2740753072076|   -3.237 6.315   |10.39    |~                   |    ~     ~          
4059|CD-37 2843                                                            |Star                                  |06 27 42.5438355480 -37 31 08.298214824|245.5381199259107 -20.5277297906650|  -4.392 19.485   |9.48     |~                   |    ~     ~          
4060|CD-37 2844                                                            |Star                                  |06 27 43.6010599272 -37 20 59.319731688|245.3686658054694 -20.4691287299970|    1.760 1.647   |9.99     |~                   |    ~     ~          
4061|CD-37 2852                                                            |Star                                  |06 28 38.9669482296 -37 50 53.011613436|245.9350318414858 -20.4592811168460|   -8.182 0.634   |9.87     |~                   |    ~     ~          
4062|CD-37 2853                                                            |Star                                  |06 28 45.3319990392 -37 52 15.326645664|245.9653946181712 -20.4469551106671| -9.543 -14.106   |9.84     |~                   |    ~     ~          
4063|CD-38 2683                                                            |Star                                  |06 29 10.8857052696 -38 15 56.230299396|246.3928587208597 -20.4963169393434|   5.599 27.092   |9.70     |~                   |    ~     ~          
4064|CD-36 2940                                                            |Spectroscopic Binary                  |06 29 41.3689225560 -36 44 04.012697976|244.8882602982091 -19.8957533073198|  -1.029 10.370   |10.499   |~                   |    ~     ~          
4065|TYC 7085-131-1                                                        |Star                                  |06 23 47.5336071768 -37 20 25.886161716|245.0887708904219 -21.2061019726216|    2.362 7.006   |10.69    |~                   |    ~     ~          
4066|TYC 7085-283-1                                                        |Star                                  |06 24 13.8053741520 -37 10 21.819303120|244.9482444720172 -21.0698406568913|  -11.876 7.612   |10.82    |~                   |    ~     ~          
4067|TYC 7085-296-1                                                        |Star                                  |06 26 12.8514182592 -37 21 09.287287776|245.2668370896936 -20.7542133624516|   1.400 24.366   |10.90    |~                   |    ~     ~          
4068|TYC 7085-395-1                                                        |Star                                  |06 23 31.6048832520 -37 28 30.307437876|245.2076168874510 -21.2989329200840|   8.205 34.561   |10.44    |~                   |    ~     ~          
4069|TYC 7085-508-1                                                        |Star                                  |06 23 50.2297297272 -37 01 05.828923848|244.7645229354844 -21.0944401655581|   6.733 -8.840   |10.5     |~                   |    ~     ~          
4070|TYC 7085-680-1                                                        |Star                                  |06 24 04.4288414328 -36 40 06.938626656|244.4262903478369 -20.9368392667333|  -12.250 3.849   |10.9     |~                   |    ~     ~          
4071|TYC 7085-1439-1                                                       |Star                                  |06 23 35.2860686496 -36 27 49.242967524|244.1848724644335 -20.9627291954784| 13.054 -21.301   |10.81    |~                   |    ~     ~          
4072|TYC 7086-208-1                                                        |Star                                  |06 28 56.6814514560 -36 52 04.842384456|244.9692672902197 -20.0808811673784|   2.959 26.023   |10.93    |~                   |    ~     ~          
4073|TYC 7086-880-1                                                        |Star                                  |06 28 20.8886708760 -36 31 30.988507764|244.5827779541274 -20.0794823756257|   4.308 -9.530   |10.92    |~                   |    ~     ~          
4074|TYC 7086-1330-1                                                       |Star                                  |06 28 22.4619526152 -36 39 11.574269640|244.7131022108945 -20.1171338251736|   -3.800 2.704   |10.64    |~                   |    ~     ~          
4075|TYC 7086-1535-1                                                       |Star                                  |06 28 11.6582924088 -36 29 36.451138884|244.5398664619598 -20.0980210074256|       -1.7 1.4   |10.57    |~                   |    ~     ~          
4076|TYC 7613-158-1                                                        |Star                                  |06 28 42.2874207816 -39 05 23.137903644|247.1947053522574 -20.8499296124593|  -6.119 -1.010   |10.29    |~                   |    ~     ~          
4077|TYC 7613-164-1                                                        |Star                                  |06 27 52.0617580296 -38 48 58.385939940|246.8616500754106 -20.9168645858577|  5.220 -22.936   |10.75    |~                   |    ~     ~          
