C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
52  |HD 291482                                                             |Star                                  |06 17 16.5345336096 -01 02 50.597837052|209.9538607629242 -08.0759156686092|  -2.411 -3.132   |10.96    |F2                  |    ~     ~          
53  |HD 291470                                                             |Star                                  |06 17 29.1005660880 -00 43 55.110841572|209.6950129067383 -07.8848255155441|   2.258 -3.505   |10.8     |A3                  |    ~     ~          
54  |HD 291469                                                             |Star                                  |06 17 46.1026864416 -00 46 12.792492048|209.7621120501956 -07.8394121664777|    2.503 1.409   |10.6     |G0                  |    ~     ~          
55  |HD 291474                                                             |Star                                  |06 17 33.9738931992 -01 01 42.579634620|209.9705053339228 -08.0026785055827|  -8.429 -5.965   |10.50    |F0                  |    ~     ~          
56  |HD 291548                                                             |Star                                  |06 19 53.5372783152 -00 37 54.100316748|209.8834397526027 -07.3040437292961| -11.892 30.077   |10.75    |G5                  |    ~     ~          
57  |HD 291551                                                             |Star                                  |06 20 18.1422950376 -00 55 07.458426516|210.1880419426806 -07.3443950430838|   1.942 -1.953   |10.82    |F2                  |    ~     ~          
58  |HD 291533                                                             |Star                                  |06 20 35.2105840080 -00 33 39.952826676|209.9004078620376 -07.1173684972774| -3.352 -10.328   |10.77    |F0                  |    ~     ~          
59  |HD 291489                                                             |Star                                  |06 15 44.2291279632 -01 17 21.143950728|209.9931597303231 -08.5284903836245|     -12.4 -4.9   |10.70    |G0                  |    ~     ~          
60  |HD 291502                                                             |Star                                  |06 16 21.3366911880 -01 27 59.819850432|210.2241734322854 -08.4722326754219| -1.758 -14.252   |10.59    |G0                  |    ~     ~          
61  |HD 291477                                                             |Star                                  |06 18 15.6325034640 -01 07 41.740322700|210.1402918666446 -07.8940705907122|   1.659 -4.777   |10.69    |A0                  |    ~     ~          
62  |HD 291476                                                             |Star                                  |06 18 11.7989522112 -01 06 05.005815480|210.1087927892120 -07.8959697428574|  -2.108 -2.920   |10.60    |A2                  |    ~     ~          
63  |HD 291560                                                             |Star                                  |06 18 48.0733951848 -01 25 52.494793392|210.4747152648607 -07.9124743993654|  -1.305 -6.257   |10.91    |F5                  |    ~     ~          
64  |HD 291557                                                             |Star                                  |06 19 25.3237350936 -01 20 54.421456632|210.4719673640089 -07.7366221537917|   -3.410 1.919   |10.90    |A5                  |    ~     ~          
