C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
32   |HD 65789                                                                                                 |Star                           |08 00 25.0213463064 -00 03 57.942369936|221.0484962936647 +15.2668422083372|  -7.467 -3.279   |7.65     |K1III                  |    ~     ~    |    1|  337.439   pc  |  -2.9719     +2.9719    |paral   |2020yCat.1350....0G
33   |HD 65825                                                                                                 |Star                           |08 00 39.0252421656 -00 03 01.069693632|221.0626796547545 +15.3257240968723|  1.939 -14.924   |9.14     |A9V                    |    ~     ~    |    1|  202.135   pc  |  -0.8907     +0.8907    |paral   |2020yCat.1350....0G
34   |HD 66032                                                                                                 |Star                           |08 01 43.0056475416 -00 02 07.305270828|221.1799278706556 +15.5676303729755|   -7.750 5.061   |8.84     |K0III                  |    ~     ~    |    1|  402.366   pc  | -11.8671    +11.8671    |paral   |2020yCat.1350....0G
35   |TYC 4846-60-1                                                                                            |Star                           |08 03 29.3320376520 -01 19 06.243948444|222.5693054866050 +15.3458778227255|  -19.047 3.149   |10.63    |~                      |    ~     ~    |    1|  447.527   pc  |  -3.8454     +3.8454    |paral   |2020yCat.1350....0G
36   |TYC 4846-99-1                                                                                            |Star                           |08 00 08.3523597672 -00 03 46.661089824|221.0115927745885 +15.2071271988187|  -11.694 2.118   |10.4     |~                      |    ~     ~    |    1|  739.044   pc  |  -8.8482     +8.8482    |paral   |2020yCat.1350....0G
37   |TYC 4846-135-1                                                                                           |Star                           |08 00 17.1802787568 -00 05 23.279699400|221.0541269153504 +15.2268446258171|  -2.240 -7.630   |10.5     |~                      |    ~     ~    |    1|  885.583   pc  | -13.3324    +13.3324    |paral   |2020yCat.1350....0G
38   |TYC 4846-221-1                                                                                           |Star                           |08 03 35.8117583064 -00 04 11.909157420|221.4431317638744 +15.9650726817320|   -5.493 1.780   |10.6     |~                      |    ~     ~    |    1|  697.885   pc  |  -9.5948     +9.5948    |paral   |2020yCat.1350....0G
39   |TYC 4846-411-1                                                                                           |Star                           |08 00 00.9417548184 -00 03 02.827624896|220.9853476751499 +15.1856749745624|  -1.898 -2.700   |10.4     |~                      |    ~     ~    |    1|  974.754   pc  | -15.6774    +15.6774    |paral   |2020yCat.1350....0G
40   |TYC 4846-420-1                                                                                           |Star                           |08 02 56.9806558392 -01 19 23.598203808|222.5067551537074 +15.2252821651295|  -3.968 -9.536   |10.65    |~                      |    ~     ~    |    1|  314.475   pc  |  -1.6219     +1.6219    |paral   |2020yCat.1350....0G
41   |TYC 4846-553-1                                                                                           |Star                           |08 02 06.2009568408 -00 26 43.263176928|221.6020731600103 +15.4582141017097| -33.990 12.916   |10.4     |~                      |    ~     ~    |    1|  278.637   pc  |  -1.7080     +1.7080    |paral   |2020yCat.1350....0G
42   |TYC 4846-681-1                                                                                           |Star                           |08 01 24.2617836624 -00 18 27.525930228|221.3902924973633 +15.3698109556467|   -3.188 1.684   |10.3     |~                      |    ~     ~    |    1| 1994.813   pc  | -80.3815    +80.3815    |paral   |2020yCat.1350....0G
43   |TYC 4846-731-1                                                                                           |Star                           |08 02 41.9269665120 -00 32 44.504443896|221.7671412798595 +15.5414284342631|  12.132 29.585   |10.9     |~                      |    ~     ~    |    1|  291.979   pc  |  -1.6795     +1.6795    |paral   |2020yCat.1350....0G
44   |TYC 4846-1141-1                                                                                          |Star                           |08 03 42.8988972192 -00 29 49.129273464|221.8482755665851 +15.7880176513632| -2.365 -11.822   |10.58    |~                      |    ~     ~    |    1|  392.927   pc  |  -3.9679     +3.9679    |paral   |2020yCat.1350....0G
45   |TYC 4846-1156-1                                                                                          |Star                           |08 01 04.0376910408 -01 20 29.860029708|222.2904276182466 +14.8033548354940|  -7.676 -3.088   |10.0     |~                      |    ~     ~    |    1|  663.394   pc  |  -6.7774     +6.7774    |paral   |2020yCat.1350....0G
46   |TYC 4846-1530-1                                                                                          |Star                           |08 02 28.2278066232 -01 03 48.592299276|222.2109841929747 +15.2443421479691|  14.427 -0.364   |10.84    |~                      |    ~     ~    |    1|   88.792   pc  |  -0.1198     +0.1198    |paral   |2020yCat.1350....0G
47   |TYC 4846-1607-1                                                                                          |Star                           |08 01 33.6028045584 -00 22 13.240432632|221.4666839366695 +15.3743171934759|   -3.481 0.773   |10.2     |~                      |    ~     ~    |    1|  763.709   pc  | -11.5484    +11.5484    |paral   |2020yCat.1350....0G
48   |TYC 4846-1993-1                                                                                          |Star                           |08 01 09.4331537568 -00 32 31.728244992|221.5738441157344 +15.2041044248443|   0.126 -5.805   |10.6     |~                      |    ~     ~    |    1|  586.717   pc  |  -6.8503     +6.8503    |paral   |2020yCat.1350....0G
49   |TYC 4846-2208-1                                                                                          |Star                           |08 00 29.0406513744 -01 31 45.173935812|222.3887004973333 +14.5856319921732| -24.325 -1.759   |10.36    |~                      |    ~     ~    |    1|  245.682   pc  | -10.8225    +10.8225    |paral   |2020yCat.1350....0G
50   |TYC 4846-2245-1                                                                                          |Star                           |08 03 40.1087307528 -00 40 02.813439828|221.9982164089390 +15.6965459038931| -13.233 -1.920   |10.8     |~                      |    ~     ~    |    1|  384.290   pc  |  -3.1751     +3.1751    |paral   |2020yCat.1350....0G
51   |TYC 4846-2335-1                                                                                          |Star                           |08 01 38.2648922304 -00 33 52.969846248|221.6536029680200 +15.2990697963642|    1.619 2.492   |10.3     |~                      |    ~     ~    |    1|  889.442   pc  | -11.5502    +11.5502    |paral   |2020yCat.1350....0G
52   |TYC 4846-2403-1                                                                                          |Star                           |08 02 36.8167266720 -00 44 10.732750368|221.9305418401887 +15.4319168738592|   -3.899 2.499   |10.6     |~                      |    ~     ~    |    1|  499.476   pc  | -16.8895    +16.8895    |paral   |2020yCat.1350....0G
53   |TYC 4846-2482-1                                                                                          |Star                           |08 00 21.7702166064 -01 40 56.972880408|222.5127713779597 +14.4856967190883|   -3.389 2.531   |10.91    |~                      |    ~     ~    |    1|  786.164   pc  | -15.8222    +15.8222    |paral   |2020yCat.1350....0G
54   |TYC 4846-2556-1                                                                                          |Star                           |08 02 42.4709709360 -01 52 09.069931020|222.9727620177570 +14.9102529758873| -14.682 -3.870   |10.49    |~                      |    ~     ~    |    1|  263.255   pc  |  -1.1227     +1.1227    |paral   |2020yCat.1350....0G
55   |TYC 4846-2572-1                                                                                          |Star                           |08 02 02.1031198728 -01 47 51.860869008|222.8243687976491 +14.7971454854636|   -3.803 4.720   |10.07    |~                      |    ~     ~    |    1|  712.911   pc  |  -7.7761     +7.7761    |paral   |2020yCat.1350....0G
56   |TYC 4850-89-1                                                                                            |Star                           |08 01 25.0819751520 -01 57 42.357840516|222.8965608692468 +14.5831426344230|  -6.726 -4.924   |10.52    |A2/4                   |    ~     ~    |    1|  501.052   pc  |  -8.7869     +8.7869    |paral   |2020yCat.1350....0G
57   |TYC 4850-319-1                                                                                           |Star                           |08 00 48.9909867024 -02 00 38.792613888|222.8664109729957 +14.4277828232614| -1.044 -14.299   |10.59    |~                      |    ~     ~    |    1|  283.254   pc  |  -1.4041     +1.4041    |paral   |2020yCat.1350....0G
58   |TYC 4850-665-1                                                                                           |Star                           |08 02 07.0424125512 -02 07 13.414989972|223.1271281296054 +14.6600673207670|   0.839 -8.450   |10.18    |~                      |    ~     ~    |    1|  449.640   pc  | -14.3545    +14.3545    |paral   |2020yCat.1350....0G
59   |TYC 4850-1210-1                                                                                          |Star                           |08 00 44.9646546000 -02 02 33.242814024|222.8868912978562 +14.3978103142022|  -9.260 -3.557   |10.55    |~                      |    ~     ~    |    1|  391.589   pc  |  -2.8522     +2.8522    |paral   |2020yCat.1350....0G
60   |TYC 4850-1941-1                                                                                          |Star                           |08 01 35.2167234936 -02 02 14.690844528|222.9860657796120 +14.5838016160169|  -3.811 -5.389   |10.89    |~                      |    ~     ~    |    1| 1301.914   pc  | -52.3749    +52.3749    |paral   |2020yCat.1350....0G
61   |TYC 4850-2354-1                                                                                          |Star                           |08 01 48.4502715936 -01 55 25.411321704|222.9103951408043 +14.6867647253082|  -6.241 -1.647   |10.70    |~                      |    ~     ~    |    1| 1049.648   pc  | -17.6282    +17.6282    |paral   |2020yCat.1350....0G
62   |BD-02 2375                                                                                               |Star                           |08 00 06.0798400512 -02 50 27.134686356|223.5281077109248 +13.8716401845800|  -2.481 -0.945   |9.69     |B9                     |    ~     ~    |    1|  444.504   pc  |  -4.9198     +4.9198    |paral   |2020yCat.1350....0G
63   |BD-02 2376                                                                                               |Star                           |08 00 18.5371640880 -03 14 44.667667428|223.9188873037273 +13.7213654777090|  15.541 -4.617   |8.89     |K2                     |    ~     ~    |    1|  401.043   pc  |  -3.4901     +3.4901    |paral   |2020yCat.1350....0G
64   |HD 65875                                                                                                 |Be Star                        |08 00 44.1338106480 -02 52 54.913100736|223.6439172651737 +13.9905042269001|   -6.787 1.483   |6.59     |B2.5Ve                 |    ~     ~    |    1|  687.947   pc  | -18.5522    +18.5522    |paral   |2020yCat.1350....0G
65   |BD-02 2380                                                                                               |Star                           |08 01 24.9631525080 -03 11 30.031933524|224.0079971387241 +13.9893221212560|  -9.985 -3.104   |8.81     |K5                     |    ~     ~    |    1|  698.470   pc  |  -9.6109     +9.6109    |paral   |2020yCat.1350....0G
66   |HD 66122                                                                                                 |Star                           |08 02 02.6622253176 -02 58 50.029131828|223.8959042119709 +14.2288059056079| -43.120 -3.093   |8.26     |A5/7II/III             |    ~     ~    |    1|  170.303   pc  |  -0.7135     +0.7135    |paral   |2020yCat.1350....0G
67   |HD 66143                                                                                                 |Star                           |08 02 08.2838 -02 47 04.584            |223.7306337 +14.3441116            |   -7.099 3.384   |9.28     |A7II/III               |    ~     ~    |    0|                |                         |        |                   
68   |HD 66269                                                                                                 |Star                           |08 02 35.1610977408 -03 16 02.116038900|224.2221937965895 +14.2080323435438|  -29.046 0.736   |7.64     |K0III                  |    ~     ~    |    1|  231.460   pc  |  -0.9375     +0.9375    |paral   |2020yCat.1350....0G
69   |BD-02 2390                                                                                               |Star                           |08 02 37.8984688080 -02 40 01.329705948|223.6859236833485 +14.5088528591383|   -4.642 2.445   |9.53     |M3                     |    ~     ~    |    1| 1111.358   pc  | -44.2172    +44.2172    |paral   |2020yCat.1350....0G
70   |HD 66350                                                                                                 |Star                           |08 03 01.2185760864 -02 43 49.807306020|223.7918151176392 +14.5630913601950|  -3.820 -2.637   |8.67     |ApEuCr(Sr)             |    ~     ~    |    1|  471.698   pc  |  -5.9407     +5.9407    |paral   |2020yCat.1350....0G
71   |HD 66487                                                                                                 |Star                           |08 03 38.4250416984 -03 07 56.149152672|224.2323508088799 +14.5036571281060|  -2.069 -5.280   |8.94     |A0V                    |    ~     ~    |    1|  642.550   pc  | -11.8081    +11.8081    |paral   |2020yCat.1350....0G
72   |BD-02 2400                                                                                               |Star                           |08 03 41.9731417656 -02 56 13.805164788|224.0635437175516 +14.6112893187925| 15.593 -30.135   |9.76     |F2                     |    ~     ~    |    1|  288.675   pc  |  -2.2667     +2.2667    |paral   |2020yCat.1350....0G
73   |BD-03 2162                                                                                               |Cepheid Variable               |08 00 21.2334355728 -03 28 00.794602884|224.1235951562966 +13.6240639033768|   -7.280 6.977   |9.08     |K5                     |    ~     ~    |    1| 1123.974   pc  | -23.4977    +23.4977    |paral   |2020yCat.1350....0G
74   |BD-03 2163                                                                                               |Star                           |08 00 22.3371025632 -03 57 58.084316568|224.5747476294928 +13.3856721395536|  -1.047 -4.591   |8.94     |K8                     |    ~     ~    |    1|  873.362   pc  | -12.5093    +12.5093    |paral   |2020yCat.1350....0G
75   |HD 65972                                                                                                 |Star                           |08 01 13.4578958520 -03 31 10.110882108|224.2793821444614 +13.7884819114357| -5.408 -10.270   |7.99     |K0III                  |    ~     ~    |    1|  225.994   pc  |  -1.1849     +1.1849    |paral   |2020yCat.1350....0G
76   |HD 66092                                                                                                 |Double or Multiple Star        |08 01 51.9336 -03 32 39.168            |224.3817081 +13.9163298            |      -8.5 -1.3   |8.53     |A0V                    |    ~     ~    |    0|                |                         |        |                   
77   |BD-03 2178                                                                                               |Star                           |08 02 10.3419272520 -04 01 36.402686364|224.8541705382347 +13.7482071753727|  -5.825 -7.110   |9.46     |K0III                  |    ~     ~    |    1|  629.366   pc  |  -7.1694     +7.1694    |paral   |2020yCat.1350....0G
78   |HD 66447                                                                                                 |Star                           |08 03 28.9604069520 -03 28 08.341278708|224.5163384383532 +14.3054841876392|    3.646 6.630   |8.52     |F7V                    |    ~     ~    |    1|  109.379   pc  |  -0.2835     +0.2835    |paral   |2020yCat.1350....0G
79   |G 113-9                                                                                                  |High Proper Motion Star        |08 00 50.4192216993 -04 05 32.110102534|224.7464058151828 +13.4262516818180|85.839 -300.474   |10.980   |~                      |    ~     ~    |    1|  195.152   pc  |  -0.6360     +0.6360    |paral   |2020yCat.1350....0G
80   |HD 66241                                                                                                 |High Proper Motion Star        |08 02 32.6570063640 -04 18 49.101341184|225.1584613004629 +13.6890186147132| -47.919 20.938   |8.80     |F2V                    |    ~     ~    |    1|  149.497   pc  |  -0.4380     +0.4380    |paral   |2020yCat.1350....0G
