C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:27:41

dec< 0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 10487

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-------------------------|--------|-------------------
5460 |CD-34 4355                                                                                               |Star                           |08 07 25.0579052568 -34 53 42.533717820|252.0590071596802 -01.3330587956789| -20.250 10.232   |10.13    |~                      |    ~     ~    |    1|  405.877   pc  |  -2.0592     +2.0592    |paral   |2020yCat.1350....0G
5461 |CD-34 4401                                                                                               |Star                           |08 09 28.3684633344 -34 46 02.953806780|252.1803299505904 -00.9094447049546| 17.182 -22.651   |9.79     |~                      |    ~     ~    |    1|  253.794   pc  |  -0.7472     +0.7472    |paral   |2020yCat.1350....0G
5462 |CD-34 4519                                                                                               |Star                           |08 14 43.0968188688 -34 26 37.079412792|252.5029483472813 +00.1702801509811|   -2.860 2.724   |9.89     |~                      |    ~     ~    |    1| 1883.239   pc  | -44.6870    +44.6870    |paral   |2020yCat.1350....0G
5463 |CD-34 4335                                                                                               |Star                           |08 06 30.4427058984 -34 57 40.815045000|252.0142023206511 -01.5258903036140| -11.432 -3.311   |10.03    |~                      |    ~     ~    |    1|  634.679   pc  |  -4.8741     +4.8741    |paral   |2020yCat.1350....0G
5464 |CD-34 4280                                                                                               |High Proper Motion Star        |08 04 01.8929150832 -35 16 34.102200072|252.0090550165582 -02.1220398874134| 16.231 -82.449   |10.83    |M0                     |    ~     ~    |    1|   44.192   pc  |  -0.0635     +0.0635    |paral   |2020yCat.1350....0G
5465 |CD-35 4225                                                                                               |Star                           |08 07 49.2395798184 -36 11 01.967132328|253.1883820053786 -01.9600583537031|   -4.934 5.134   |10.00    |~                      |    ~     ~    |    1| 1420.455   pc  | -39.1432    +39.1432    |paral   |2020yCat.1350....0G
5466 |CD-34 4336                                                                                               |Star                           |08 06 32.0 -35 16 12                   |252.2774 -01.6875                  |            ~ ~   |10.56    |~                      |    ~     ~    |    0|                |                         |        |                   
5467 |TYC 7128-113-1                                                                                           |Star                           |08 05 06.0088576536 -35 24 38.659390272|252.2393447745492 -02.0096171387072|   -4.656 6.831   |10.51    |~                      |    ~     ~    |    1|  977.326   pc  | -11.5575    +11.5575    |paral   |2020yCat.1350....0G
5468 |TYC 7128-467-1                                                                                           |Star                           |08 04 56.6078158488 -35 29 20.265848448|252.2884169956471 -02.0784081347605|   9.807 -4.746   |10.65    |~                      |    ~     ~    |    1|  390.274   pc  |  -1.7211     +1.7211    |paral   |2020yCat.1350....0G
5469 |TYC 7128-689-1                                                                                           |Star                           |08 04 32.3000852016 -35 29 44.858943132|252.2501235829809 -02.1517734272532|  -9.198 -0.218   |10.57    |~                      |    ~     ~    |    1|  817.862   pc  |  -8.4950     +8.4950    |paral   |2020yCat.1350....0G
5470 |TYC 7128-737-1                                                                                           |Star                           |08 04 29.1447823416 -35 32 48.322537188|252.2875412226761 -02.1880165364652| -19.522 16.916   |10.80    |~                      |    ~     ~    |    1|  950.029   pc  |  -9.2963     +9.2963    |paral   |2020yCat.1350....0G
5471 |TYC 7128-2484-1                                                                                          |Star                           |08 03 49.6649188992 -35 10 43.109814504|251.9042967794883 -02.1053468480844|  -6.893 22.379   |10.60    |~                      |    ~     ~    |    1|  306.072   pc  |  -2.9884     +2.9884    |paral   |2020yCat.1350....0G
5472 |TYC 7128-2661-1                                                                                          |Star                           |08 03 50.6617330104 -35 18 25.910898228|252.0150071690826 -02.1709089292539| -12.236 20.398   |10.98    |~                      |    ~     ~    |    1|  825.764   pc  | -10.6374    +10.6374    |paral   |2020yCat.1350....0G
5473 |TYC 7129-44-1                                                                                            |Star                           |08 10 04.4910350022 -34 41 21.979197670|252.1822653317975 -00.7631941152821|   -0.936 7.171   |10.96    |~                      |    ~     ~    |    0|                |                         |        |                   
5474 |TYC 7129-994-1                                                                                           |Star                           |08 12 54.6199055376 -34 58 22.679924376|252.7384390010690 -00.4320436982144|   -6.800 5.222   |9.90     |~                      |    ~     ~    |    1|  789.702   pc  | -10.6017    +10.6017    |paral   |2020yCat.1350....0G
5475 |TYC 7129-1266-1                                                                                          |Star                           |08 11 37.8433899816 -34 45 31.941321156|252.4152742116807 -00.5335436274326|   -4.486 4.644   |10.21    |~                      |    ~     ~    |    1| 1581.778   pc  | -28.0226    +28.0226    |paral   |2020yCat.1350....0G
5476 |TYC 7129-1478-1                                                                                          |Star                           |08 10 01.6813695768 -34 51 51.820993368|252.3236886876995 -00.8666618432171|   -2.820 3.225   |10.25    |~                      |    ~     ~    |    1| 2646.903   pc  |-116.3012   +116.3012    |paral   |2020yCat.1350....0G
5477 |TYC 7129-1654-1                                                                                          |Star                           |08 08 54.2953398960 -35 03 00.052751772|252.3542328459331 -01.1607300895599|  -14.703 6.447   |10.85    |~                      |    ~     ~    |    1|  939.496   pc  |  -9.8857     +9.8857    |paral   |2020yCat.1350....0G
5478 |TYC 7129-1926-1                                                                                          |Star                           |08 10 48.1476120408 -34 52 33.996201600|252.4202520968192 -00.7399858212508|  -14.749 5.143   |10.07    |~                      |    ~     ~    |    1|  588.305   pc  |  -3.5649     +3.5649    |paral   |2020yCat.1350....0G
5479 |TYC 7129-2010-1                                                                                          |High Proper Motion Star        |08 12 08.9241730560 -35 10 16.609001664|252.8182445800889 -00.6712972819724|-136.422 111.100  |10.62    |~                      |    ~     ~    |    1|  142.994   pc  |  -0.2311     +0.2311    |paral   |2020yCat.1350....0G
5480 |TYC 7129-2488-1                                                                                          |Double or Multiple Star        |08 12 40.879560 -35 06 41.25816        |252.828193657 -00.547466330        |       0.0 -4.8   |10.312   |~                      |    ~     ~    |    0|                |                         |        |                   
5481 |TYC 7129-2636-1                                                                                          |Star                           |08 09 26.0820215040 -35 01 05.069169300|252.3863623885123 -01.0523373321418|   -4.747 4.496   |10.17    |~                      |    ~     ~    |    1|  953.562   pc  | -11.0023    +11.0023    |paral   |2020yCat.1350....0G
5482 |TYC 7129-2852-1                                                                                          |Star                           |08 06 28.9927270128 -35 01 28.910855532|252.0649702527040 -01.5641456336344|   -5.153 2.001   |9.89     |~                      |    ~     ~    |    1|  748.335   pc  | -11.3121    +11.3121    |paral   |2020yCat.1350....0G
5483 |TYC 7129-2866-1                                                                                          |Star                           |08 09 28.0679158248 -35 33 00.760086396|252.8366534416052 -01.3361351360459|   -4.699 3.041   |10.53    |~                      |    ~     ~    |    1| 1073.883   pc  | -17.8750    +17.8750    |paral   |2020yCat.1350....0G
5484 |TYC 7129-3010-1                                                                                          |Star                           |08 11 38.2820117976 -35 25 55.689215340|252.9790692224045 -00.9016086316217|   -0.709 2.118   |10.73    |~                      |    ~     ~    |    1|  708.516   pc  |  -5.3212     +5.3212    |paral   |2020yCat.1350....0G
5485 |TYC 7129-3092-1                                                                                          |Star                           |08 10 42.9585145608 -34 43 32.136960936|252.2845103020237 -00.6725515772154| -30.023 38.998   |9.59     |~                      |    ~     ~    |    1|  118.645   pc  |  -2.2748     +2.2748    |paral   |2020yCat.1350....0G
5486 |GSC 07129-03190                                                                                          |Double or Multiple Star        |08 12 42.472680 -35 05 51.49104        |252.819645503 -00.535319922        |       0.1 -3.5   |10.859   |~                      |    ~     ~    |    0|                |                         |        |                   
5487 |TYC 7129-3286-1                                                                                          |Star                           |08 09 36.3233879808 -35 32 47.438086956|252.8487788062965 -01.3106397368744|   -6.404 6.235   |10.50    |~                      |    ~     ~    |    1|  624.610   pc  |  -5.4619     +5.4619    |paral   |2020yCat.1350....0G
5488 |TYC 7129-3415-1                                                                                          |Star                           |08 09 58.7433062712 -35 30 46.776882636|252.8620754971248 -01.2286260419384|   -3.656 8.943   |10.67    |~                      |    ~     ~    |    1|  553.250   pc  |  -3.4282     +3.4282    |paral   |2020yCat.1350....0G
5489 |TYC 7129-3416-1                                                                                          |Star                           |08 09 06.0227720112 -35 30 48.604874256|252.7651891085816 -01.3789252445507|   -5.186 2.992   |10.57    |~                      |    ~     ~    |    1| 1053.852   pc  | -19.3245    +19.3245    |paral   |2020yCat.1350....0G
5490 |TYC 7129-3425-1                                                                                          |Star                           |08 09 36.7380675192 -34 55 42.595582620|252.3310021299228 -00.9730673162698| -22.168 29.644   |10.67    |~                      |    ~     ~    |    1|  197.985   pc  | -14.9971    +14.9971    |paral   |2020yCat.1350....0G
5491 |TYC 7129-3436-1                                                                                          |Star                           |08 06 11.1883647696 -35 12 39.369839508|252.1894441516100 -01.7154266431004|  17.841 -1.630   |10.66    |~                      |    ~     ~    |    1|  342.865   pc  |  -1.2461     +1.2461    |paral   |2020yCat.1350....0G
5492 |TYC 7129-3466-1                                                                                          |High Proper Motion Star        |08 13 28.5882678240 -35 00 54.645661836|252.8376249637375 -00.3586392081771| -58.556 39.376   |10.93    |~                      |    ~     ~    |    1|  225.266   pc  |  -1.1773     +1.1773    |paral   |2020yCat.1350....0G
5493 |TYC 7129-3470-1                                                                                          |Star                           |08 12 31.8319810344 -35 07 53.468180292|252.8279617958484 -00.5842503003163| -24.889 15.739   |10.81    |~                      |    ~     ~    |    1|  252.953   pc  |  -0.7678     +0.7678    |paral   |2020yCat.1350....0G
5494 |TYC 7129-3539-1                                                                                          |Star                           |08 14 58.5605621784 -35 32 46.046374368|253.4492015661641 -00.3979518256132|   -1.431 0.901   |10.14    |~                      |    ~     ~    |    1|  846.668   pc  | -13.9785    +13.9785    |paral   |2020yCat.1350....0G
5495 |TYC 7129-3591-1                                                                                          |Star                           |08 10 01.3699061760 -35 02 34.893071592|252.4728711702573 -00.9649496387732|   -3.723 2.962   |10.59    |~                      |    ~     ~    |    1| 1146.526   pc  | -16.9573    +16.9573    |paral   |2020yCat.1350....0G
5496 |2MASS J08120073-3456580                                                                                  |Young Stellar Object           |08 12 00.7340864064 -34 56 58.061738580|252.6175527913423 -00.5727510807408|   -7.184 7.407   |10.46    |~                      |    ~     ~    |    1|  430.385   pc  |  -2.4821     +2.4821    |paral   |2020yCat.1350....0G
5497 |TYC 7129-3657-1                                                                                          |Star                           |08 07 48.8856580272 -34 59 52.207419192|252.1894196863661 -01.3200545999555|   -4.264 2.349   |10.03    |~                      |    ~     ~    |    1| 1027.961   pc  | -21.4511    +21.4511    |paral   |2020yCat.1350....0G
5498 |TYC 7129-3725-1                                                                                          |Star                           |08 14 21.9830076288 -35 35 29.885603064|253.4182819562806 -00.5263412179525|   -7.796 3.188   |10.55    |~                      |    ~     ~    |    1|  975.610   pc  | -10.3748    +10.3748    |paral   |2020yCat.1350....0G
5499 |TYC 7129-3728-1                                                                                          |Star                           |08 13 20.9644719840 -35 35 32.133556248|253.3044400390502 -00.6989276492720| 12.178 -15.304   |10.65    |~                      |    ~     ~    |    1|  294.881   pc  |  -1.0435     +1.0435    |paral   |2020yCat.1350....0G
5500 |TYC 7129-3845-1                                                                                          |Star                           |08 08 33.3416569008 -35 37 18.835000968|252.7961523348778 -01.5307833509465|  -7.296 14.734   |10.70    |~                      |    ~     ~    |    1|  849.690   pc  |  -8.3749     +8.3749    |paral   |2020yCat.1350....0G
5501 |TYC 7129-3856-1                                                                                          |Star                           |08 10 54.5613076392 -34 41 44.421298296|252.2811950314012 -00.6229163261385|  -2.263 -3.332   |10.58    |~                      |    ~     ~    |    1|  966.651   pc  | -10.6523    +10.6523    |paral   |2020yCat.1350....0G
5502 |TYC 7129-3973-1                                                                                          |Star                           |08 08 46.7522794728 -35 23 09.141040788|252.6224544514687 -01.3645730912527|   -5.692 3.449   |10.97    |~                      |    ~     ~    |    1|  695.410   pc  | -15.3783    +15.3783    |paral   |2020yCat.1350....0G
5503 |TYC 7129-4061-1                                                                                          |Star                           |08 06 55.9587521904 -34 59 53.507660820|252.0921901496769 -01.4723271439821|   -5.115 6.138   |10.24    |~                      |    ~     ~    |    1|  477.601   pc  |  -4.1287     +4.1287    |paral   |2020yCat.1350....0G
5504 |TYC 7129-4078-1                                                                                          |Star                           |08 10 42.3938700144 -35 36 34.552831392|253.0238078879793 -01.1573703109196| -2.043 -18.319   |10.70    |~                      |    ~     ~    |    1|  283.310   pc  |  -1.3484     +1.3484    |paral   |2020yCat.1350....0G
5505 |TYC 7129-4095-1                                                                                          |Star                           |08 09 36.4081884480 -35 14 02.017630176|252.5866170361739 -01.1402518418746| -23.557 14.001   |10.55    |~                      |    ~     ~    |    1|  280.403   pc  |  -0.9671     +0.9671    |paral   |2020yCat.1350....0G
5506 |TYC 7129-4100-1                                                                                          |Star                           |08 06 26.2574798928 -35 26 17.367871920|252.4086965209783 -01.7943410639541|  -8.324 15.332   |10.27    |~                      |    ~     ~    |    1|  565.323   pc  |  -4.2186     +4.2186    |paral   |2020yCat.1350....0G
5507 |TYC 7129-4194-1                                                                                          |Star                           |08 13 26.0281233072 -35 28 10.701401808|253.2116804859147 -00.6169076154142|   -2.826 2.947   |10.89    |~                      |    ~     ~    |    1| 1461.988   pc  | -24.3665    +24.3665    |paral   |2020yCat.1350....0G
5508 |TYC 7129-4203-1                                                                                          |Star                           |08 10 00.1200004080 -34 44 23.949102588|252.2164753940207 -00.8033068667470| -18.271 13.026   |10.71    |~                      |    ~     ~    |    1|  295.238   pc  |  -1.0373     +1.0373    |paral   |2020yCat.1350....0G
5509 |TYC 7129-4240-1                                                                                          |Star                           |08 08 16.4745507792 -35 33 34.163045280|252.7127040952110 -01.5450141720999|  -1.759 13.231   |10.54    |~                      |    ~     ~    |    1|  386.608   pc  |  -1.5993     +1.5993    |paral   |2020yCat.1350....0G
5510 |TYC 7129-4256-1                                                                                          |Star                           |08 08 49.3377140376 -35 32 21.588559008|252.7561617008167 -01.4404632764081|   -6.337 6.564   |10.55    |~                      |    ~     ~    |    1| 1164.822   pc  | -14.6536    +14.6536    |paral   |2020yCat.1350....0G
5511 |TYC 7129-4322-1                                                                                          |Star                           |08 11 10.210752 -35 05 20.83416        |252.639775958 -00.793507323        |        0.1 5.8   |10.682   |~                      |    ~     ~    |    0|                |                         |        |                   
5512 |TYC 7129-4379-1                                                                                          |Star                           |08 08 50.0274345888 -35 30 07.371339552|252.7261045878240 -01.4182688507289|   -4.658 3.040   |10.37    |~                      |    ~     ~    |    1| 1084.834   pc  | -17.8883    +17.8883    |paral   |2020yCat.1350....0G
5513 |TYC 7129-4392-1                                                                                          |Star                           |08 13 39.7780170552 -35 20 20.066745984|253.1285092024619 -00.5057561625467|  -14.241 2.705   |10.48    |~                      |    ~     ~    |    1|  493.510   pc  |  -3.2392     +3.2392    |paral   |2020yCat.1350....0G
5514 |TYC 7129-4439-1                                                                                          |Star                           |08 10 15.6846245616 -34 49 32.970030672|252.3174839873042 -00.8054888762656|  -7.235 11.696   |9.94     |~                      |    ~     ~    |    1|  461.191   pc  |  -2.3609     +2.3609    |paral   |2020yCat.1350....0G
5515 |TYC 7129-4440-1                                                                                          |Star                           |08 06 46.2628411704 -35 18 58.905990612|252.3425672537625 -01.6715236038822|   -5.202 2.992   |10.73    |~                      |    ~     ~    |    1| 1041.450   pc  | -14.5339    +14.5339    |paral   |2020yCat.1350....0G
5516 |TYC 7129-4462-1                                                                                          |Star                           |08 09 36.3696393048 -35 02 00.513554856|252.4183904878461 -01.0312687706240|   -3.349 5.152   |10.81    |~                      |    ~     ~    |    1|  867.303   pc  |  -7.8982     +7.8982    |paral   |2020yCat.1350....0G
5517 |TYC 7129-4488-1                                                                                          |Star                           |08 11 59.7033151800 -35 04 27.322461084|252.7199056972218 -00.6442433382409|  23.968 -4.343   |10.41    |~                      |    ~     ~    |    1|  152.616   pc  |  -0.2888     +0.2888    |paral   |2020yCat.1350....0G
5518 |2MASS J08113923-3516572                                                                                  |Young Stellar Object           |08 11 39.2319017736 -35 16 57.298679976|252.8557798401355 -00.8168758383169|   -7.093 7.542   |9.98     |~                      |    ~     ~    |    1|  422.547   pc  |  -2.9460     +2.9460    |paral   |2020yCat.1350....0G
5519 |TYC 7129-4601-1                                                                                          |Star                           |08 06 14.9744464488 -35 19 35.198276880|252.2938337635229 -01.7666207154496|   -2.814 3.720   |10.51    |~                      |    ~     ~    |    1| 1052.632   pc  | -17.5069    +17.5069    |paral   |2020yCat.1350....0G
5520 |TYC 7132-53-1                                                                                            |Star                           |08 04 00.5028080952 -37 24 37.778382972|253.8157036972978 -03.2616974689225|   -3.193 7.511   |10.71    |~                      |    ~     ~    |    1|  767.990   pc  | -20.4074    +20.4074    |paral   |2020yCat.1350....0G
5521 |TYC 7132-283-1                                                                                           |Star                           |08 04 41.6789156328 -37 29 45.067684956|253.9606777391306 -03.1918033250862|   8.422 -9.843   |10.34    |~                      |    ~     ~    |    1|  307.324   pc  |  -1.1050     +1.1050    |paral   |2020yCat.1350....0G
5522 |TYC 7132-332-1                                                                                           |Star                           |08 04 17.2166161152 -37 17 06.367617888|253.7388285092943 -03.1481334942621|   -4.463 4.446   |10.94    |~                      |    ~     ~    |    1|  809.323   pc  | -17.0956    +17.0956    |paral   |2020yCat.1350....0G
5523 |TYC 7132-338-1                                                                                           |Star                           |08 04 31.0788009648 -37 15 49.481273736|253.7452264019350 -03.0978564746703|   -3.636 3.477   |10.49    |~                      |    ~     ~    |    1| 1218.621   pc  | -22.1270    +22.1270    |paral   |2020yCat.1350....0G
5524 |TYC 7132-403-1                                                                                           |Star                           |08 05 15.4343953104 -37 08 57.390771768|253.7269005566383 -02.9122881973566|   -4.713 2.510   |10.40    |~                      |    ~     ~    |    1| 1265.182   pc  | -22.7297    +22.7297    |paral   |2020yCat.1350....0G
5525 |TYC 7132-633-1                                                                                           |Star                           |08 05 36.2983871904 -36 49 22.164903300|253.4878938723954 -02.6790406288292| -20.389 22.856   |10.52    |~                      |    ~     ~    |    1|  278.683   pc  |  -1.0640     +1.0640    |paral   |2020yCat.1350....0G
5526 |TYC 7132-637-1                                                                                           |Star                           |08 05 50.3531725488 -36 53 46.505415156|253.5750928060600 -02.6787845712778|  -0.496 17.872   |10.97    |~                      |    ~     ~    |    1|  277.739   pc  |  -1.1802     +1.1802    |paral   |2020yCat.1350....0G
5527 |TYC 7132-640-1                                                                                           |Star                           |08 05 41.7697043784 -35 46 21.394796988|252.6100902466621 -02.1010317918238|   -3.751 6.173   |10.96    |~                      |    ~     ~    |    0|                |                         |        |                   
5528 |TYC 7132-859-1                                                                                           |Star                           |08 05 32.9777855664 -36 44 25.880603172|253.4123589848265 -02.6443553280618|   -6.684 3.947   |9.98     |~                      |    ~     ~    |    1|  656.599   pc  |  -3.9663     +3.9663    |paral   |2020yCat.1350....0G
5529 |TYC 7132-928-1                                                                                           |Star                           |08 05 14.1080916504 -35 53 48.558050088|252.6650038104126 -02.2464567916730|    9.107 8.515   |10.33    |~                      |    ~     ~    |    1|  671.998   pc  |  -4.7416     +4.7416    |paral   |2020yCat.1350....0G
5530 |TYC 7132-966-1                                                                                           |Star                           |08 05 22.8640507008 -36 18 46.145425104|253.0325417302190 -02.4441032926572|  -3.611 -0.887   |10.17    |~                      |    ~     ~    |    1|  967.680   pc  | -10.5814    +10.5814    |paral   |2020yCat.1350....0G
5531 |TYC 7132-974-1                                                                                           |Star                           |08 03 51.4481348064 -35 57 55.646940132|252.5742042100745 -02.5189555581057|  -8.841 11.788   |10.65    |~                      |    ~     ~    |    1|  515.517   pc  | -14.6698    +14.6698    |paral   |2020yCat.1350....0G
5532 |TYC 7132-980-1                                                                                           |Star                           |08 04 37.1360005656 -35 57 34.258953420|252.6513432039410 -02.3853994976594|   -3.370 1.654   |10.93    |~                      |    ~     ~    |    1| 1276.161   pc  | -65.6321    +65.6321    |paral   |2020yCat.1350....0G
5533 |TYC 7132-1258-1                                                                                          |Star                           |08 03 53.3535955464 -36 30 06.940995372|253.0323967856129 -02.7988724588322| -21.849 17.162   |10.76    |~                      |    ~     ~    |    1|  259.585   pc  |  -0.6738     +0.6738    |paral   |2020yCat.1350....0G
5534 |TYC 7132-1335-1                                                                                          |Star                           |08 05 39.7976250624 -36 48 16.932989412|253.4788268382586 -02.6594816808284|   -7.005 9.834   |10.97    |~                      |    ~     ~    |    1|  591.366   pc  |  -3.7070     +3.7070    |paral   |2020yCat.1350....0G
5535 |TYC 7132-1361-1                                                                                          |Star                           |08 04 40.8634166016 -36 56 46.494856392|253.4935480838306 -02.9011521741797|  -31.486 4.629   |10.27    |~                      |    ~     ~    |    1|  242.677   pc  |  -6.9964     +6.9964    |paral   |2020yCat.1350....0G
5536 |CD-35 4151                                                                                               |Star                           |08 03 45.3796040568 -35 58 12.327428172|252.5672359518703 -02.5387498661764|   -3.520 2.927   |10.43    |~                      |    ~     ~    |    1|  902.853   pc  | -18.1777    +18.1777    |paral   |2020yCat.1350....0G
5537 |TYC 7132-1644-1                                                                                          |Spectroscopic Binary           |08 05 06.0392016480 -36 18 49.302840024|253.0030492558447 -02.4923066430637| -14.858 23.154   |9.64     |~                      |    ~     ~    |    1|  252.742   pc  |  -3.5644     +3.5644    |paral   |2020yCat.1350....0G
5538 |TYC 7132-1825-1                                                                                          |Star                           |08 04 33.4245522648 -36 02 27.531389976|252.7136253355578 -02.4394439893045|  -2.961 -3.171   |10.61    |~                      |    ~     ~    |    1|  611.920   pc  |  -4.9801     +4.9801    |paral   |2020yCat.1350....0G
5539 |TYC 7132-1888-1                                                                                          |Star                           |08 04 00.5376138768 -36 33 49.434237468|253.0976044523613 -02.8113758903455|   -2.628 5.925   |10.99    |~                      |    ~     ~    |    1|  984.737   pc  | -44.7035    +44.7035    |paral   |2020yCat.1350....0G
5540 |TYC 7132-2019-1                                                                                          |Star                           |08 05 45.1963932912 -36 07 28.993407672|252.9137798814248 -02.2799814545475|   -6.389 6.843   |10.92    |~                      |    ~     ~    |    1| 1068.034   pc  | -20.4185    +20.4185    |paral   |2020yCat.1350....0G
5541 |TYC 7132-2080-1                                                                                          |Star                           |08 05 56.2631590224 -36 02 54.849939720|252.8694418121596 -02.2076992162205|   -5.221 9.471   |10.61    |~                      |    ~     ~    |    1|  956.023   pc  | -16.2688    +16.2688    |paral   |2020yCat.1350....0G
5542 |TYC 7132-2108-1                                                                                          |Star                           |08 03 48.9034962552 -36 39 19.814387076|253.1547066699770 -02.8931298600562|   -4.545 5.400   |10.86    |~                      |    ~     ~    |    1|  604.924   pc  |  -5.1963     +5.1963    |paral   |2020yCat.1350....0G
5543 |TYC 7132-2121-1                                                                                          |Star                           |08 03 45.7115514048 -36 38 32.572810788|253.1378983111748 -02.8951946411992|   -4.416 5.350   |10.61    |~                      |    ~     ~    |    1|  589.553   pc  |  -5.2484     +5.2484    |paral   |2020yCat.1350....0G
5544 |TYC 7133-5-1                                                                                             |Star                           |08 09 09.2217500376 -37 04 58.542659292|254.0896360658060 -02.2220270670785|   -3.863 6.302   |10.90    |~                      |    ~     ~    |    1|  378.659   pc  |  -1.8210     +1.8210    |paral   |2020yCat.1350....0G
5545 |TYC 7133-93-1                                                                                            |Star                           |08 11 28.6521299328 -37 09 02.982607704|254.3993091852455 -01.8706788135291|   -3.008 3.210   |10.54    |~                      |    ~     ~    |    1| 2012.477   pc  | -62.3710    +62.3710    |paral   |2020yCat.1350....0G
5546 |TYC 7133-177-1                                                                                           |Pulsating Variable             |08 08 22.5561503928 -37 10 23.224787904|254.0814369573404 -02.4011909688191|    0.114 0.792   |10.99    |~                      |    ~     ~    |    1| 1064.056   pc  | -15.1717    +15.1717    |paral   |2020yCat.1350....0G
5547 |TYC 7133-320-1                                                                                           |Star                           |08 07 59.8344369960 -37 28 12.171044892|254.2907708600541 -02.6250193469764|   -4.216 1.361   |10.87    |~                      |    ~     ~    |    1|  370.920   pc  |  -2.8342     +2.8342    |paral   |2020yCat.1350....0G
5548 |TYC 7133-471-1                                                                                           |Star                           |08 08 57.5262162048 -37 12 22.988093148|254.1723457509269 -02.3216282515838|   -2.335 3.165   |10.44    |~                      |    ~     ~    |    1|  760.456   pc  |  -7.1708     +7.1708    |paral   |2020yCat.1350....0G
5549 |TYC 7133-633-1                                                                                           |Star                           |08 12 55.4715241248 -37 01 26.179604220|254.4517868883635 -01.5598361177893|  -9.823 23.764   |10.33    |~                      |    ~     ~    |    1|  482.882   pc  |  -2.5183     +2.5183    |paral   |2020yCat.1350....0G
5550 |TYC 7133-687-1                                                                                           |Star                           |08 12 10.0208549520 -37 08 12.739002144|254.4630192796036 -01.7481287280290|  -11.109 6.120   |10.73    |~                      |    ~     ~    |    1|  410.425   pc  |  -2.9310     +2.9310    |paral   |2020yCat.1350....0G
5551 |TYC 7133-699-1                                                                                           |Star                           |08 11 20.5556936112 -37 05 19.643768088|254.3326323396181 -01.8592211691110|   -4.561 4.617   |10.86    |~                      |    ~     ~    |    1| 1722.060   pc  | -47.1513    +47.1513    |paral   |2020yCat.1350....0G
5552 |TYC 7133-818-1                                                                                           |Star                           |08 08 01.8631479648 -37 24 30.260482740|254.2424653008769 -02.5860815028623|  -7.428 13.215   |10.44    |~                      |    ~     ~    |    1|  658.501   pc  |  -5.0734     +5.0734    |paral   |2020yCat.1350....0G
5553 |TYC 7133-908-1                                                                                           |Star                           |08 08 59.2567051224 -37 18 13.028246100|254.2572284477726 -02.3695267180977|   1.700 11.689   |10.39    |~                      |    ~     ~    |    1| 1062.586   pc  | -12.7587    +12.7587    |paral   |2020yCat.1350....0G
5554 |TYC 7133-963-1                                                                                           |Star                           |08 09 14.6690 -37 08 42.953            |254.1518622 -02.2406595            |   -9.577 4.003   |10.41    |~                      |    ~     ~    |    0|                |                         |        |                   
5555 |TYC 7133-976-1                                                                                           |Star                           |08 07 29.9492831040 -37 27 03.784938732|254.2213804725068 -02.6979980438616|  -1.254 -1.032   |10.52    |~                      |    ~     ~    |    1|  568.602   pc  |  -4.2030     +4.2030    |paral   |2020yCat.1350....0G
5556 |TYC 7133-1003-1                                                                                          |Star                           |08 09 41.5294104792 -36 58 23.923096860|254.0559701027926 -02.0722488926441|   -1.404 2.414   |10.63    |~                      |    ~     ~    |    1| 1955.034   pc  | -47.0126    +47.0126    |paral   |2020yCat.1350....0G
5557 |TYC 7133-1080-1                                                                                          |Star                           |08 08 50.3281376592 -37 17 05.252939376|254.2253377131349 -02.3841921943738|   -4.471 5.518   |10.71    |~                      |    ~     ~    |    1| 1337.077   pc  | -44.5156    +44.5156    |paral   |2020yCat.1350....0G
5558 |TYC 7133-1122-1                                                                                          |Star                           |08 09 30.3329420712 -37 19 49.804481316|254.3357645326502 -02.2976279801055|   -5.845 5.941   |10.51    |~                      |    ~     ~    |    1|  778.331   pc  |  -8.7235     +8.7235    |paral   |2020yCat.1350....0G
5559 |TYC 7133-1123-1                                                                                          |Star                           |08 11 54.0758076744 -37 00 34.794344736|254.3275294591975 -01.7226178165254|   -1.428 2.276   |10.98    |~                      |    ~     ~    |    1| 1559.819   pc  | -42.0915    +42.0915    |paral   |2020yCat.1350....0G
5560 |GSC 07133-01173                                                                                          |Double or Multiple Star        |08 13 12.5849151000 -37 05 23.829961344|254.5382635585889 -01.5487332630792|   -6.796 4.973   |10.702   |~                      |    ~     ~    |    0|                |                         |        |                   
5561 |TYC 7133-1178-1                                                                                          |Star                           |08 10 11.4862368144 -37 18 11.978668620|254.3871981160316 -02.1684226812391| -0.710 -14.030   |9.88     |~                      |    ~     ~    |    1|  284.366   pc  |  -2.1833     +2.1833    |paral   |2020yCat.1350....0G
