C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
36  |NGC 7599                           NGC 7599                                                              |Galaxy in Pair of Galaxies        |23 19 21.145 -42 15 24.62              |348.089205 -65.906701              |            ~ ~   |11.41    |~              | 4.68  1.55    |    1|   15.85    Mpc |  -2.28       +2.28    |T-F     |2020ApJ...902..145K
37  |CD-42 16281                                                                                              |Star                              |23 20 15.2160262584 -42 16 18.685975692|347.8426836290316 -66.0406781064710| 39.477 -13.145   |10.908   |~              |    ~     ~    |    1|  379.709   pc  |  -9.2130     +9.2130  |ST-L    |2020AJ....160...83S
38  |CD-43 15351                                                                                              |Star                              |23 22 07.4273396904 -42 20 48.362555580|347.2285365442944 -66.2928281942390|  8.397 -31.321   |10.400   |~              |    ~     ~    |    1|  545.805   pc  | -19.7900    +19.7900  |ST-L    |2020AJ....160...83S
39  |CD-44 15222                                                                                              |High Proper Motion Star           |23 23 21.6917061648 -43 41 49.867249884|344.1703506055278 -65.7193948002881| 58.087 -15.307   |10.70    |~              |    ~     ~    |    1|  132.006   pc  |  -1.3240     +1.3240  |ST-L    |2020AJ....160...83S
40  |CD-44 15224                                                                                              |Star                              |23 23 45.6742015392 -44 16 13.975943592|342.9503565014221 -65.4374226711489|-10.480 -36.290   |10.22    |~              |    ~     ~    |    1| 1420.455   pc  | -31.8795    +31.8795  |paral   |2020yCat.1350....0G
41  |CD-45 14983                                                                                              |Star                              |23 16 57.0152809536 -44 23 05.820557928|344.4069650213684 -64.3813122741736|  24.174 -9.030   |10.67    |G0             |    ~     ~    |    1|  542.684   pc  | -18.7800    +18.7800  |ST-L    |2020AJ....160...83S
42  |CD-44 15210                                                                                              |Star                              |23 18 58.2375167160 -44 12 02.582642772|344.2808745857948 -64.7834563293520|  2.315 -17.169   |10.46    |~              |    ~     ~    |    1|  208.299   pc  |  -0.7680     +0.7680  |paral   |2020yCat.1350....0G
43  |CD-45 15021                                                                                              |Star                              |23 24 57.9643363344 -44 30 52.258313520|342.1692810912832 -65.4602075999033|  -16.349 4.736   |10.68    |K0             |    ~     ~    |    1|  168.802   pc  |  -0.7864     +0.7864  |paral   |2020yCat.1350....0G
44  |TYC 8019-1095-1                                                                                          |Star                              |23 25 27.0091965072 -44 11 47.266565100|342.6503432370180 -65.7231301392426|  14.977 -1.193   |10.99    |~              |    ~     ~    |    1| 1135.976   pc  | -21.9375    +21.9375  |paral   |2020yCat.1350....0G
45  |NGC 7552                           NGC 7552                                                              |Galaxy in Pair of Galaxies        |23 16 10.767 -42 35 05.39              |348.144659 -65.235918              |            ~ ~   |10.57    |~              | 4.07  3.24    |    1|   21.000   Mpc |  +2.300      +2.300   |Flow    |2010ApJS..190..233M
46  |NGC 7582                           NGC 7582                                                              |Galaxy in Pair of Galaxies        |23 18 23.621 -42 22 14.06              |348.077915 -65.696160              |            ~ ~   |10.62    |~              | 6.17  2.51    |    1|   19.1426  Mpc |                       |redshift|2019A&A...631A..38L
47  |HD 220789                                                                                                |Star                              |23 26 54.0645944376 -42 48 28.150317864|345.0306937065585 -66.7616137829981|  8.769 -23.910   |9.29     |A5IV           |    ~     ~    |    1|  238.281   pc  |  -3.8450     +3.8450  |ST-L    |2020AJ....160...83S
48  |HD 220993                                                                                                |High Proper Motion Star           |23 28 39.4379650128 -43 41 31.823447568|342.7625809736065 -66.4883125062566|56.357 -203.813   |9.38     |G3V            |    ~     ~    |    1|   89.703   pc  |  -0.1915     +0.1915  |paral   |2020yCat.1350....0G
49  |HD 221032                                                                                                |Star                              |23 28 52.3352722152 -43 46 14.782724652|342.5475390810141 -66.4703984657335|  -14.416 3.918   |9.05     |F5/6V          |    ~     ~    |    1|  101.570   pc  |  -0.2125     +0.2125  |paral   |2020yCat.1350....0G
50  |CD-43 15375                                                                                              |Star                              |23 26 53.2789519248 -42 33 53.517212712|345.5379043294450 -66.9002090002056|  -17.185 1.733   |10.49    |~              |    ~     ~    |    1|  155.630   pc  |  -0.4263     +0.4263  |paral   |2020yCat.1350....0G
51  |CD-43 15383                                                                                              |Star                              |23 28 38.3500830504 -42 46 06.075941988|344.6354076276469 -67.0430354300741|  -6.373 -5.961   |10.24    |~              |    ~     ~    |    1|  202.257   pc  |  -0.7077     +0.7077  |paral   |2020yCat.1350....0G
52  |CD-42 16330                                                                                              |Star                              |23 27 15.9426782400 -41 58 06.251652300|346.6974011437249 -67.2965338682449|  -3.770 -4.065   |10.60    |~              |    ~     ~    |    1|  900.155   pc  | -37.3200    +37.3200  |ST-L    |2020AJ....160...83S
53  |CD-43 15386                                                                                              |Star                              |23 29 02.0470845360 -42 53 06.249262596|344.2844745268493 -67.0319763435606|   21.855 7.877   |10.848   |~              |    ~     ~    |    1|  531.556   pc  | -18.0200    +18.0200  |ST-L    |2020AJ....160...83S
54  |CD-45 15033                                                                                              |Star                              |23 27 39.3430725504 -44 26 32.376922548|341.5838379322009 -65.8811891764631|    9.209 2.988   |10.19    |A0             |    ~     ~    |    1|  595.761   pc  | -26.7000    +26.7000  |ST-L    |2020AJ....160...83S
55  |HD 220945                                                                                                |High Proper Motion Star           |23 28 15.1668301392 -44 27 39.583476436|341.3839214767666 -65.9522297922441|12.135 -313.061   |8.98     |K2.5V          |    ~     ~    |    1|   38.1676  pc  |  -0.0278     +0.0278  |paral   |2020yCat.1350....0G
56  |HD 221051                                                                                                |Star                              |23 29 00.8266412256 -44 29 53.045717028|341.1019041499455 -66.0336895141968| 38.248 -13.321   |6.432    |K2III          |    ~     ~    |    1|  173.334   pc  |  -0.7631     +0.7631  |paral   |2020yCat.1350....0G
57  |TYC 8019-357-1                                                                                           |High Proper Motion Star           |23 26 25.3483448136 -43 15 26.932520376|344.2428851518818 -66.4270774321404| 28.477 -50.469   |10.95    |~              |    ~     ~    |    1|  197.048   pc  |  -0.6484     +0.6484  |paral   |2020yCat.1350....0G
58  |TYC 8019-824-1                                                                                           |Star                              |23 26 36.3812395608 -44 08 59.205780564|342.4309122157010 -65.9156950962235|    1.974 2.213   |10.75    |~              |    ~     ~    |    1| 1184.694   pc  | -19.6490    +19.6490  |paral   |2020yCat.1350....0G
59  |HD 220353                                                                                                |Star                              |23 23 18.4829486280 -41 36 04.230941904|348.5193945369143 -66.8770025301429|    4.257 9.480   |7.12     |F0V            |    ~     ~    |    1|  110.771   pc  |  -1.8099     +1.8099  |paral   |2020yCat.1350....0G
60  |CD-42 16279                                                                                              |Star                              |23 20 06.5027500896 -41 30 19.414263816|349.5053086291574 -66.4135722364681|   1.822 -6.172   |10.25    |~              |    ~     ~    |    1|  449.499   pc  |  -3.5965     +3.5965  |paral   |2020yCat.1350....0G
61  |CD-42 16288                                                                                              |High Proper Motion Star           |23 20 54.4002538824 -41 40 32.096762652|348.9487496361660 -66.4551959631119| 32.416 -52.476   |10.58    |~              |    ~     ~    |    1|  174.186   pc  |  -2.2930     +2.2930  |ST-L    |2020AJ....160...83S
62  |CD-39 14976                                                                                              |High Proper Motion Star           |23 15 50.4895136712 -39 16 12.049097088|355.4393770595065 -66.7157720227656| 46.641 -52.066   |10.36    |G2             |    ~     ~    |    1|  127.054   pc  |  -0.2470     +0.2470  |paral   |2020yCat.1350....0G
