C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1193|HD 219515                                                                                                |Star                              |23 16 27.2661753864 -08 09 32.319795780|068.6718938958977 -60.5878558165332|  3.417 -40.205   |8.79     |F7V            |    ~     ~    |    1|  119.154   pc  |  -0.6219     +0.6219  |paral   |2020yCat.1350....0G
1194|HD 219551                                                                                                |Star                              |23 16 44.2169664360 -08 11 52.967522580|068.7112463547293 -60.6655809737946|  -1.254 -1.701   |10.03    |F6/G0          |    ~     ~    |    1|  298.499   pc  |  -1.6484     +1.6484  |paral   |2020yCat.1350....0G
1195|HD 219577                                                                                                |Star                              |23 16 52.1909476944 -08 04 43.216607568|068.9345237221148 -60.6077391873215|  13.443 -1.756   |8.59     |K0II/III       |    ~     ~    |    1|  367.431   pc  |  -3.3886     +3.3886  |paral   |2020yCat.1350....0G
1196|HD 219867                                                                                                |High Proper Motion Star           |23 19 19.1742510408 -08 10 27.540155100|069.6512182072972 -61.1126555305796|116.853 -24.824   |10.11    |G6V            |    ~     ~    |    1|  166.932   pc  |  -5.2220     +5.2220  |ST-L    |2020AJ....160...83S
1197|BD-08 6089                                                                                               |Star                              |23 19 20.2 -08 02 48                   |069.8472 -61.0271                  |            ~ ~   |9.6      |~              |    ~     ~    |    0|                |                       |        |                   
1198|HD 220160                                                                                                |Star                              |23 21 40.8597282840 -08 05 20.961537360|070.6274999765317 -61.4716775925951|   -5.951 5.867   |8.97     |F0V            |    ~     ~    |    1|  162.182   pc  |  -0.4761     +0.4761  |paral   |2020yCat.1350....0G
1199|HD 220226                                                                                                |Star                              |23 22 15.7635032760 -08 03 22.365236304|070.8891158681696 -61.5507149864198| 13.296 -33.364   |9.45     |G8IV           |    ~     ~    |    1|  522.002   pc  |  -3.4878     +3.4878  |paral   |2020yCat.1350....0G
1200|HD 220513                                                                                                |Star                              |23 24 25.6711871616 -08 11 06.740950704|071.4993681655166 -62.0203386041362|  28.204 -1.307   |8.87     |G8/K0III       |    ~     ~    |    1|  424.827   pc  |  -3.8983     +3.8983  |paral   |2020yCat.1350....0G
1201|BD-08 6108                                                                                               |Star                              |23 24 57.4303454112 -08 10 13.933121628|071.7204641763048 -62.1018318941246| 40.822 -11.810   |10.890   |~              |    ~     ~    |    1|  355.684   pc  | -12.2000    +12.2000  |ST-L    |2020AJ....160...83S
1202|BD-09 6163                                                                                               |Star                              |23 18 56.4515344104 -08 15 55.086028344|069.3810502806985 -61.1079404476182|-11.534 -29.366   |10.97    |~              |    ~     ~    |    1|  263.731   pc  |  -4.2400     +4.2400  |ST-L    |2020AJ....160...83S
1203|HD 219868                                                                                                |Star                              |23 19 23.0601881016 -08 17 37.208479668|069.4956855484278 -61.2068529433135|  -2.274 -7.138   |10.023   |G8IV           |    ~     ~    |    1|  357.438   pc  |  -7.8630     +7.8630  |ST-L    |2020AJ....160...83S
1204|HD 220011                                                                                                |Star                              |23 20 31.6390724520 -08 13 48.592347780|069.9993469209514 -61.3663736356255|  14.275 -3.261   |10.023   |G6IV/V         |    ~     ~    |    1|  556.679   pc  | -43.2500    +43.2500  |ST-L    |2020AJ....160...83S
1205|HD 220214                                                                                                |Star                              |23 22 05.2560011664 -08 14 26.279338596|070.5494928434286 -61.6496939196457|  1.335 -10.861   |10.10    |G8(III)        |    ~     ~    |    1|  958.681   pc  | -16.7271    +16.7271  |paral   |2020yCat.1350....0G
1206|BD-06 6175                                                                                               |Star                              |23 15 23.7309062904 -05 32 15.162253368|071.9945625335061 -58.5598053045461| 22.609 -12.289   |10.731   |~              |    ~     ~    |    1|  368.289   pc  |  -9.4240     +9.4240  |ST-L    |2020AJ....160...83S
1207|HD 219422                                                                                                |Star                              |23 15 41.0507933640 -05 41 51.783903456|071.8799027260301 -58.7248909501895| 16.026 -40.308   |9.15     |F5V            |    ~     ~    |    1|  155.291   pc  |  -1.6310     +1.6310  |ST-L    |2020AJ....160...83S
1208|HD 219549                                                                                                |Star                              |23 16 40.1899137936 -05 42 46.332395856|072.2005107592448 -58.9059708048165|  38.069 -2.331   |9.95     |A5/7II/III     |    ~     ~    |    1|  375.573   pc  |  -6.8694     +6.8694  |paral   |2020yCat.1350....0G
1209|BD-06 6181                                                                                               |High Proper Motion Star           |23 17 04.1815469570 -05 33 04.223256924|072.5558050309875 -58.8577284035381|-147.081 -277.273 |10.211   |~              |    ~     ~    |    1|   64.1947  pc  |  -0.1079     +0.1079  |paral   |2020yCat.1350....0G
1210|HD 219349                                                                                                |Star                              |23 15 12.9620784384 -06 07 18.680249892|071.1458575769996 -58.9465934872164|   3.750 -3.286   |7.49     |G8III          |    ~     ~    |    1|  295.989   pc  |  -2.7159     +2.7159  |paral   |2020yCat.1350....0G
1211|HD 219550                                                                                                |Star                              |23 16 38.6409116016 -05 58 25.211124156|071.8399441224181 -59.0891827928296|  14.854 13.575   |9.06     |K0III          |    ~     ~    |    1|  413.104   pc  |  -3.3790     +3.3790  |paral   |2020yCat.1350....0G
1212|BD-06 6182                                                                                               |Star                              |23 17 12.1940564496 -06 07 46.927293996|071.8225225688881 -59.2979759596107|  -9.332 -8.311   |9.96     |~              |    ~     ~    |    1|  434.745   pc  |  -8.1838     +8.1838  |paral   |2020yCat.1350....0G
1213|BD-06 6183                                                                                               |Star                              |23 17 22.9865884296 -06 06 40.805764668|071.9104518824838 -59.3159237313396|   8.161 -8.010   |9.33     |~              |    ~     ~    |    1|  471.631   pc  |  -4.8046     +4.8046  |paral   |2020yCat.1350....0G
1214|BD-07 5972                                                                                               |Star                              |23 15 42.6793833096 -06 40 28.325713296|070.5535933417105 -59.4246673097910| 21.282 -24.262   |9.89     |~              |    ~     ~    |    1|  598.301   pc  |  -7.0519     +7.0519  |paral   |2020yCat.1350....0G
1215|HD 219448                                                                                                |Star                              |23 15 56.7492106368 -06 53 14.025175728|070.3361993838959 -59.6156343842521|   -2.794 1.780   |8.77     |G6/8III        |    ~     ~    |    1|  411.828   pc  |  -7.6660     +7.6660  |paral   |2020yCat.1350....0G
1216|HD 219543                                                                                                |Star                              |23 16 38.8081470672 -07 01 05.356070652|070.3936151649626 -59.8314223790146|  11.250 29.499   |8.90     |F7/8V          |    ~     ~    |    1|  129.039   pc  |  -0.4046     +0.4046  |paral   |2020yCat.1350....0G
1217|HD 219592                                                                                                |High Proper Motion Star           |23 16 59.1441824064 -07 09 38.784935664|070.3087097357355 -59.9914184084530| 131.212 43.802   |6.69     |F5VFe-0.7CH-0.4|    ~     ~    |    1|   48.419   pc  |  -0.7315     +0.7315  |paral   |2020yCat.1350....0G
1218|BD-07 5976                                                                                               |High Proper Motion Star           |23 17 27.2845664064 -06 24 50.690851308|071.5200587733628 -59.5451651119304| 47.567 -20.447   |10.05    |~              |    ~     ~    |    1|  225.276   pc  |  -0.9490     +0.9490  |paral   |2020yCat.1350....0G
1219|HD 219336                                                                                                |Star                              |23 15 10.4148257712 -07 14 56.251547808|069.5583416839933 -59.7309375539581| 12.351 -10.357   |9.29     |K1III          |    ~     ~    |    1|  297.150   pc  |  -1.9337     +1.9337  |paral   |2020yCat.1350....0G
1220|HD 219566                                                                                                |Star                              |23 16 45.9091629960 -07 35 16.838846484|069.6177130511430 -60.2503157414054|   6.065 -8.793   |9.32     |K0/1(III)      |    ~     ~    |    1|  559.691   pc  |  -6.0458     +6.0458  |paral   |2020yCat.1350....0G
1221|* chi Aqr                                                                                                |Long-Period Variable              |23 16 50.9391613 -07 43 35.402266      |069.4452222317 -60.3612649985      |  -19.18 -14.10   |5.06     |M3III          |    ~     ~    |    1|  137.8949  pc  |  -8.7108     +8.7108  |paral   |2018yCat.1345....0G
1222|HD 219337                                                                                                |Star                              |23 15 05.6255500608 -07 58 53.205013812|068.4688098556585 -60.2205785708063| 16.859 -17.757   |9.83     |G2V            |    ~     ~    |    1|  140.497   pc  |  -0.3632     +0.3632  |paral   |2020yCat.1350....0G
1223|BD-08 6071                                                                                               |High Proper Motion Star           |23 16 15.1556342328 -07 24 09.314073648|069.7084141897517 -60.0301271247019|  60.850 37.605   |10.63    |~              |    ~     ~    |    1|  218.012   pc  |  -0.9553     +0.9553  |paral   |2020yCat.1350....0G
1224|BD-08 6072                                                                                               |Star                              |23 16 26.1671233968 -07 41 39.463790496|069.3493545667848 -60.2651149433159|-23.134 -25.033   |10.1     |~              |    ~     ~    |    1|  245.008   pc  |  -1.4767     +1.4767  |paral   |2020yCat.1350....0G
1225|NGC 7596                           NGC 7596                                                              |Active Galaxy Nucleus             |23 17 11.9837523240 -06 54 43.122913596|070.7360046192272 -59.8540871923738|   -0.891 0.857   |     ~   |~              |0.580 0.325    |    0|                |                       |        |                   
1226|HD 219676                                                                                                |Double or Multiple Star           |23 17 46.7342806080 -05 34 02.712606060|072.7823913481357 -58.9908690069085|117.653 -35.658   |9.50     |G0V            |    ~     ~    |    1|  108.204   pc  |  -0.4718     +0.4718  |paral   |2020yCat.1350....0G
1227|HD 219789                                                                                                |Star                              |23 18 43.9007680608 -05 37 43.949670852|073.0365377080890 -59.1980733418417|-33.534 -15.916   |8.71     |F3V            |    ~     ~    |    1|  124.923   pc  |  -0.2934     +0.2934  |paral   |2020yCat.1350....0G
1228|BD-06 6197                                                                                               |Star                              |23 22 10.7844405792 -05 41 49.212170160|074.1879861903066 -59.8299542964456|  28.529 18.075   |10.36    |~              |    ~     ~    |    1|  250.451   pc  |  -1.7250     +1.7250  |paral   |2020yCat.1350....0G
1229|BD-06 6200                                                                                               |High Proper Motion Star           |23 23 40.1485125672 -05 37 49.483438788|074.8265002869651 -60.0283697424208| 23.305 -44.023   |10.733   |~              |    ~     ~    |    1|  222.927   pc  |  -3.0870     +3.0870  |ST-L    |2020AJ....160...83S
1230|BD-06 6207                                                                                               |High Proper Motion Star           |23 25 36.0193362192 -05 41 49.300138140|075.4621698873751 -60.3965253489986|-73.195 -11.000   |10.30    |~              |    ~     ~    |    1|   80.532   pc  |  -0.4273     +0.4273  |ST-L    |2020AJ....160...83S
1231|BD-06 6188                                                                                               |Star                              |23 19 25.4702348352 -05 50 20.032164744|073.0011316191753 -59.4691533887603| -42.192 -5.413   |10.355   |~              |    ~     ~    |    1|  187.207   pc  |  -2.3640     +2.3640  |ST-L    |2020AJ....160...83S
1232|BD-06 6189                                                                                               |High Proper Motion Star           |23 19 39.4785863520 -06 01 45.237566352|072.8269791124387 -59.6475131351060|-29.609 -43.415   |10.850   |~              |    ~     ~    |    1|  296.698   pc  |  -5.3020     +5.3020  |ST-L    |2020AJ....160...83S
1233|HD 220035                                                                                                |High Proper Motion Star           |23 20 40.8869039784 -05 54 28.690199136|073.3592035940294 -59.7330697404483|-103.410 -58.006  |6.172    |G8IV/V         |    ~     ~    |    1|  121.309   pc  |  -0.5371     +0.5371  |paral   |2020yCat.1350....0G
1234|HD 220120                                                                                                |Star                              |23 21 15.3621084696 -06 11 32.840937960|073.1805678046198 -60.0385282839491|  13.457 -1.668   |7.31     |K0III          |    ~     ~    |    1|  188.377   pc  |  -3.4812     +3.4812  |paral   |2020yCat.1350....0G
1235|HD 220135                                                                                                |Star                              |23 21 23.4804265008 -05 57 14.083545168|073.5543995971464 -59.8868101968476|  31.293 -0.680   |8.78     |K0III          |    ~     ~    |    1|  390.961   pc  |  -8.3915     +8.3915  |paral   |2020yCat.1350....0G
1236|BD-06 6196                                                                                               |Star                              |23 21 46.7 -05 49 48                   |073.8627 -59.8609                  |            ~ ~   |9.6      |~              |    ~     ~    |    0|                |                       |        |                   
1237|BD-06 6198                                                                                               |Star                              |23 22 56.2744426824 -05 52 08.228824716|074.2359599792234 -60.0840229801869| 20.506 -21.602   |10.31    |~              |    ~     ~    |    1|  285.050   pc  |  -4.5930     +4.5930  |ST-L    |2020AJ....160...83S
1238|HD 220488                                                                                                |High Proper Motion Star           |23 24 10.0626743544 -05 44 39.197377356|074.8602453895772 -60.1958599466263|-122.894 -44.810  |9.37     |G3V            |    ~     ~    |    1|  101.447   pc  |  -0.3314     +0.3314  |paral   |2020yCat.1350....0G
1239|HD 220556                                                                                                |Star                              |23 24 44.2648148712 -06 00 43.045437816|074.7132700203520 -60.4899506491007|  0.314 -15.857   |9.850    |ApSrEuCr       |    ~     ~    |    1|  406.287   pc  | -11.8100    +11.8100  |ST-L    |2020AJ....160...83S
1240|HD 220660                                                                                                |Star                              |23 25 34.0847494440 -06 00 35.520100164|075.0295114049517 -60.6258149194730|   -1.828 8.708   |9.618    |F6V            |    ~     ~    |    1|  165.477   pc  |  -1.7330     +1.7330  |ST-L    |2020AJ....160...83S
1241|BD-06 6209                                                                                               |Star                              |23 25 51.6857271888 -06 11 30.833694060|074.8934425478739 -60.8102706994573| -17.265 -3.813   |10.424   |~              |    ~     ~    |    1|  123.204   pc  |  -0.9287     +0.9287  |ST-L    |2020AJ....160...83S
1242|BD-06 6211                                                                                               |High Proper Motion Star           |23 26 05.0961162480 -06 07 19.722868032|075.0735704684265 -60.7950829954786|146.903 -96.128   |10.11    |K4V            |    ~     ~    |    1|   53.755   pc  |  -0.2804     +0.2804  |ST-L    |2020AJ....160...83S
1243|BD-07 5977                                                                                               |Hot Subdwarf                      |23 17 46.7880370560 -06 28 30.941880420|071.5493996189603 -59.6453813705081|    6.657 6.295   |10.54    |sdB            |    ~     ~    |    1|  775.314   pc  | -13.9458    +13.9458  |paral   |2020yCat.1350....0G
1244|BD-07 5980                                                                                               |Star                              |23 18 57.0445707624 -07 02 14.732250396|071.1746604029677 -60.2497987276651|   2.111 -1.775   |10.48    |~              |    ~     ~    |    1|  584.556   pc  |  -5.7065     +5.7065  |paral   |2020yCat.1350....0G
1245|BD-07 5981                                                                                               |Star                              |23 18 58.8352145760 -06 17 11.263400772|072.2339958290375 -59.7176303358044| -2.120 -10.045   |9.73     |~              |    ~     ~    |    1|  585.138   pc  |  -6.5396     +6.5396  |paral   |2020yCat.1350....0G
1246|HD 219830                                                                                                |Double or Multiple Star           |23 18 59.5508 -06 43 00.943            |071.6412446 -60.0287576            |  -44.60 -20.40   |9.15     |F5IV           |    ~     ~    |    0|                |                       |        |                   
1247|BD-07 5983                                                                                               |Star                              |23 19 10.1620723272 -06 20 44.951208576|072.2194769930300 -59.7929316692897| 32.413 -29.946   |10.26    |~              |    ~     ~    |    1|  205.036   pc  |  -1.2318     +1.2318  |paral   |2020yCat.1350....0G
1248|BD-07 5986                                                                                               |Double or Multiple Star           |23 19 52.6321834896 -07 05 38.691838392|071.4245265422699 -60.4517031078669|    9.184 6.549   |10.125   |~              |    ~     ~    |    1|  191.902   pc  |  -2.5400     +2.5400  |ST-L    |2020AJ....160...83S
1249|BD-07 5987                                                                                               |High Proper Motion Star           |23 20 01.1398771128 -06 42 07.927279884|072.0284260825824 -60.1959389565481| 52.358 -45.998   |10.787   |~              |    ~     ~    |    1|  131.735   pc  |  -1.0380     +1.0380  |ST-L    |2020AJ....160...83S
1250|BD-07 5988                                                                                               |High Proper Motion Star           |23 20 34.4646478368 -06 36 37.807033788|072.3564105782555 -60.2255805674096|-53.346 -161.541  |9.770    |G2V            |    ~     ~    |    1|  107.396   pc  |  -0.6997     +0.6997  |ST-L    |2020AJ....160...83S
1251|HD 220018                                                                                                |Star                              |23 20 38.4564000168 -06 27 04.931158320|072.6014387652470 -60.1219279495665| 20.046 -15.129   |8.54     |K5III          |    ~     ~    |    1|  643.542   pc  | -12.5486    +12.5486  |paral   |2020yCat.1350....0G
1252|HD 220036                                                                                                |Star                              |23 20 43.1294944440 -06 37 26.747367996|072.3896256694210 -60.2602099859374| -0.148 -10.420   |8.13     |A3IV           |    ~     ~    |    1|  329.001   pc  |  -3.9941     +3.9941  |paral   |2020yCat.1350....0G
1253|HD 220121                                                                                                |Star                              |23 21 14.6353942896 -07 01 23.165871744|072.0185510582829 -60.6379697511942| -17.758 -5.406   |7.86     |F0V            |    ~     ~    |    1|  107.806   pc  |  -0.2708     +0.2708  |paral   |2020yCat.1350....0G
1254|HD 220185                                                                                                |Star                              |23 21 53.3627347992 -06 29 01.929465780|073.0102036475102 -60.3587120704829|-22.935 -13.945   |8.68     |F1IV           |    ~     ~    |    1|  191.227   pc  |  -0.8337     +0.8337  |paral   |2020yCat.1350....0G
1255|BD-07 5995                                                                                               |Star                              |23 22 08.1 -06 54 02                   |072.5173 -60.7030                  |            ~ ~   |9.8      |~              |    ~     ~    |    0|                |                       |        |                   
1256|HD 220258                                                                                                |High Proper Motion Star           |23 22 24.8215828584 -06 58 22.750392540|072.5171993715329 -60.8031697326246|-119.906 -113.572 |9.31     |G5V            |    ~     ~    |    1|   77.650   pc  |  -0.3879     +0.3879  |ST-L    |2020AJ....160...83S
1257|HD 220257                                                                                                |High Proper Motion Star           |23 22 24.9472157184 -06 48 07.150542876|072.7592653702196 -60.6797029913960|-121.626 -114.382 |8.63     |G1V            |    ~     ~    |    1|   77.271   pc  |  -0.1648     +0.1648  |paral   |2020yCat.1350....0G
1258|BD-07 6000                                                                                               |High Proper Motion Star           |23 22 58.9597688592 -06 30 12.750172560|073.3849854161279 -60.5586877841595|196.661 -19.644   |9.934    |~              |    ~     ~    |    1|  146.568   pc  |  -1.6390     +1.6390  |ST-L    |2020AJ....160...83S
1259|HD 220338                                                                                                |Rotating Variable                 |23 23 01.1752178760 -06 35 43.668351348|073.2709080769028 -60.6321500823008|  -3.382 -8.592   |8.942    |G9IIIe         |    ~     ~    |    1|  232.878   pc  |  -1.2907     +1.2907  |paral   |2020yCat.1350....0G
1260|BD-07 6002                                                                                               |Star                              |23 24 14.1638137008 -06 17 07.316048148|074.1522793779936 -60.6092187387991|    7.325 1.779   |10.43    |~              |    ~     ~    |    1|  816.993   pc  | -10.6797    +10.6797  |paral   |2020yCat.1350....0G
1261|BD-07 6003                                                                                               |Star                              |23 24 20.0283317592 -06 14 05.995916952|074.2579168649879 -60.5883056449416|  1.332 -11.276   |10.117   |~              |    ~     ~    |    1|  718.224   pc  | -25.5600    +25.5600  |ST-L    |2020AJ....160...83S
1262|HD 220531                                                                                                |Star                              |23 24 27.0395347608 -06 57 43.551354456|073.2894934503889 -61.1425940026770|   2.900 -6.205   |9.09     |G8III          |    ~     ~    |    1|  479.180   pc  |  -6.7736     +6.7736  |paral   |2020yCat.1350....0G
1263|BD-07 6005                                                                                               |Star                              |23 24 29.3349476016 -06 42 11.705140908|073.6681021015620 -60.9595408324232| -7.418 -16.690   |10.283   |~              |    ~     ~    |    1|  417.424   pc  | -12.2200    +12.2200  |ST-L    |2020AJ....160...83S
1264|BD-07 6006                                                                                               |Star                              |23 24 35.6051223792 -06 25 07.458164400|074.1027183322041 -60.7675959228997| -9.569 -33.915   |9.856    |~              |    ~     ~    |    1|  240.850   pc  |  -3.4080     +3.4080  |ST-L    |2020AJ....160...83S
1265|BD-07 6007                                                                                               |Star                              |23 24 42.8697559584 -06 22 56.803831104|074.1982946780711 -60.7610374192785|   5.604 10.677   |10.850   |~              |    ~     ~    |    1|  212.408   pc  | -19.1400    +19.1400  |ST-L    |2020AJ....160...83S
1266|HD 220604                                                                                                |Star                              |23 25 08.2902697872 -06 59 09.417687468|073.5147561479065 -61.2764064938503|  16.324 -4.458   |9.58     |K1(III)        |    ~     ~    |    1|  482.812   pc  |  -4.0328     +4.0328  |paral   |2020yCat.1350....0G
1267|BD-07 6009                                                                                               |Star                              |23 25 20.2 -07 00 58                   |073.5471 -61.3320                  |            ~ ~   |10.0     |~              |    ~     ~    |    0|                |                       |        |                   
1268|BD-07 6010                                                                                               |Star                              |23 25 32.1987325272 -06 36 46.190181672|074.1897801116067 -61.0688762447774|-29.632 -16.356   |10.96    |~              |    ~     ~    |    1|  132.116   pc  |  -1.1150     +1.1150  |ST-L    |2020AJ....160...83S
1269|HD 220713                                                                                                |Star                              |23 26 05.2747375968 -07 08 14.217736812|073.6604958641992 -61.5476296620713|-26.372 -26.284   |9.98     |G6/8(IV)       |    ~     ~    |    1|  263.957   pc  |  -1.3795     +1.3795  |paral   |2020yCat.1350....0G
1270|HD 219677                                                                                                |Star                              |23 17 47.5534570872 -07 32 33.771412500|070.0413962797755 -60.4015962741213|  22.471 -7.196   |8.11     |K1/2IIICNIb    |    ~     ~    |    1|  298.918   pc  |  -2.2963     +2.2963  |paral   |2020yCat.1350....0G
1271|HD 219716                                                                                                |Star                              |23 18 03.7877391264 -07 18 19.938137976|070.4784347837648 -60.2833317261925| -20.202 -7.102   |8.37     |F6/7V          |    ~     ~    |    1|   75.767   pc  |  -0.1464     +0.1464  |paral   |2020yCat.1350....0G
1272|HD 219729                                                                                                |Star                              |23 18 10.0567778760 -07 22 43.065928344|070.4101182081106 -60.3531103371716|  15.848 -0.338   |9.14     |K2III          |    ~     ~    |    1|  504.414   pc  |  -5.6993     +5.6993  |paral   |2020yCat.1350....0G
1273|HD 219740                                                                                                |Star                              |23 18 22.1058159696 -07 26 14.776375812|070.3960605915486 -60.4298486499105|-25.508 -30.824   |7.61     |K3II/III       |    ~     ~    |    1|  333.344   pc  |  -4.3003     +4.3003  |paral   |2020yCat.1350....0G
1274|HD 219893                                                                                                |Star                              |23 19 29.6600288808 -07 38 08.594098944|070.5075724074013 -60.7677612151061|    7.851 0.024   |10.53    |A5/7II/III     |    ~     ~    |    1|  592.641   pc  | -35.9100    +35.9100  |ST-L    |2020AJ....160...83S
1275|BD-08 6097                                                                                               |Star                              |23 22 30.1694234400 -07 14 21.742519704|072.1703573100949 -61.0105581794611|  6.132 -20.193   |9.09     |M0             |    ~     ~    |    1|  684.275   pc  | -11.2844    +11.2844  |paral   |2020yCat.1350....0G
1276|V* NX Aqr                                                                                                |High Proper Motion Star           |23 24 06.3371510064 -07 33 02.725393572|072.3153804369795 -61.5105554572791| 144.318 -4.188   |7.61     |G5V            |    ~     ~    |    1|   30.425   pc  |  -0.0230     +0.0230  |paral   |2020yCat.1350....0G
1277|BD-08 6109                                                                                               |Star                              |23 24 59.5053965376 -07 43 07.924273968|072.4029078223206 -61.7839501177943|  7.391 -11.214   |10.689   |~              |    ~     ~    |    1| 1294.620   pc  |-147.1000   +147.1000  |ST-L    |2020AJ....160...83S
1278|HD 219658                                                                                                |High Proper Motion Star           |23 17 36.7580888856 -07 56 00.817072008|069.4071992177274 -60.6410758905236| 50.215 -13.585   |9.23     |G8/K0III/IV    |    ~     ~    |    1|  186.286   pc  |  -6.1354     +6.1354  |paral   |2020yCat.1350....0G
1279|HD 220450                                                                                                |Star                              |23 23 54.1762390056 -07 46 09.853157604|071.9199591365385 -61.6325902045517| -6.473 -12.611   |10.18    |A7II           |    ~     ~    |    1|  522.848   pc  |  -9.4586     +9.4586  |paral   |2020yCat.1350....0G
1280|HD 220670                                                                                                |Star                              |23 25 42.8385310656 -07 49 45.927093180|072.5141091227660 -61.9876173009618|  -5.105 -8.839   |9.39     |K1III          |    ~     ~    |    1|  693.914   pc  |  -9.2451     +9.2451  |paral   |2020yCat.1350....0G
1281|NGC 7600                           NGC 7600                                                              |Galaxy                            |23 18 53.8425354720 -07 34 49.679666040|070.3758366994320 -60.6236165707667|  -1.613 -1.632   |     ~   |~              |1.620 0.713    |    0|                |                       |        |                   
1282|BD-07 5979                                                                                               |Star                              |23 18 46.8877307712 -06 34 10.956059508|071.7717500750983 -59.8868027075952|  13.015 -5.834   |10.90    |~              |    ~     ~    |    1|  152.144   pc  |  -0.4051     +0.4051  |paral   |2020yCat.1350....0G
1283|BD-08 6087                                                                                               |Star                              |23 19 01.7662811856 -07 50 23.155838304|070.0436845907878 -60.8283776592630| 18.637 -12.856   |10.389   |~              |    ~     ~    |    1|  895.512   pc  | -59.8100    +59.8100  |ST-L    |2020AJ....160...83S
1284|BD-08 6091                                                                                               |High Proper Motion Star           |23 19 54.3024537240 -07 22 02.914101840|071.0430038730686 -60.6507233175815|   70.278 1.867   |10.62    |~              |    ~     ~    |    1|  151.720   pc  |  -0.4880     +0.4880  |paral   |2020yCat.1350....0G
1285|BD-08 6093                                                                                               |Star                              |23 20 30.5887403256 -07 29 18.685869144|071.0854130963378 -60.8422964705976|  -7.407 -3.163   |10.659   |~              |    ~     ~    |    1|  389.724   pc  | -10.0900    +10.0900  |ST-L    |2020AJ....160...83S
1286|BD-08 6092                                                                                               |Star                              |23 20 32.0080301352 -07 48 00.492990912|070.6393373429916 -61.0664264289963|  11.498 -7.482   |10.565   |~              |    ~     ~    |    1|  816.142   pc  | -30.1500    +30.1500  |ST-L    |2020AJ....160...83S
1287|BD-08 6107                                                                                               |Star                              |23 24 55.6681037256 -07 19 33.226703220|072.9497440743041 -61.4886664990985|  -4.145 -9.391   |10.146   |~              |    ~     ~    |    1| 1344.500   pc  |-102.9000   +102.9000  |ST-L    |2020AJ....160...83S
1288|BD-08 6110                                                                                               |Star                              |23 25 39.5378166528 -07 26 54.312157104|073.0498308869081 -61.7022205102986|-13.583 -14.087   |10.713   |~              |    ~     ~    |    1|  580.541   pc  | -22.3900    +22.3900  |ST-L    |2020AJ....160...83S
1289|TYC 5249-1372-1                                                                                          |Star                              |23 15 34.1553281448 -06 17 20.170375620|071.0384593897583 -59.1270637887160|-10.118 -26.733   |10.64    |~              |    ~     ~    |    1| 1169.864   pc  | -21.8973    +21.8973  |paral   |2020yCat.1350....0G
1290|HD 220944                                                                                                |Star                              |23 27 59.9314440984 -08 11 20.395944348|072.8594518599045 -62.6383914075051| -4.406 -10.854   |9.83     |K0III          |    ~     ~    |    1|  583.189   pc  | -22.0100    +22.0100  |ST-L    |2020AJ....160...83S
1291|BD-09 6195                                                                                               |Star                              |23 27 32.9201275224 -08 16 34.066067340|072.5533447281485 -62.6243784224770| 37.369 -17.775   |10.96    |~              |    ~     ~    |    1|  271.569   pc  |  -1.2242     +1.2242  |paral   |2020yCat.1350....0G
1292|BD-06 6214                                                                                               |High Proper Motion Star           |23 27 09.6876030216 -05 35 31.028535708|076.1974994347602 -60.5715993826939| 87.650 -42.138   |9.86     |~              |    ~     ~    |    1|   68.300   pc  |  -0.0886     +0.0886  |paral   |2020yCat.1350....0G
1293|BD-06 6217                                                                                               |Star                              |23 28 01.4882736312 -05 42 18.761858604|076.3803548670233 -60.7973119226492| -12.233 -7.491   |10.19    |~              |    ~     ~    |    1|  716.483   pc  | -30.7700    +30.7700  |ST-L    |2020AJ....160...83S
1294|HD 220977                                                                                                |Spectroscopic Binary              |23 28 16.9959765000 -05 49 04.063913832|076.3305130446948 -60.9246665703349|  77.508 18.826   |8.11     |F6V            |    ~     ~    |    1|  137.278   pc  |  -0.9743     +0.9743  |paral   |2020yCat.1350....0G
1295|HD 220774                                                                                                |High Proper Motion Star           |23 26 34.3226542944 -06 36 27.552978720|074.5919258749262 -61.2376890483743| 46.196 -20.254   |7.29     |K0III          |    ~     ~    |    1|  223.145   pc  |  -1.0108     +1.0108  |paral   |2020yCat.1350....0G
1296|BD-07 6014                                                                                               |Star                              |23 26 55.9566789600 -07 02 20.598927792|074.1242739867762 -61.6172872423314|-20.661 -38.113   |10.066   |~              |    ~     ~    |    1|  157.677   pc  |  -2.4200     +2.4200  |ST-L    |2020AJ....160...83S
1297|BD-07 6016                                                                                               |Star                              |23 27 25.5189742992 -06 30 53.810888364|075.0491166244613 -61.3099439478406|   -1.510 3.167   |10.57    |~              |    ~     ~    |    1|  382.512   pc  |  -6.5549     +6.5549  |paral   |2020yCat.1350....0G
