C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
3288|HD 203537                                                             |Star                           |21 22 38.5491030144 +08 04 56.722195848|060.1198873601530 -28.4222211779579|  27.227 -0.896   |8.77     |K0                |    ~     ~    
3289|HD 203681                                                             |Star                           |21 23 39.1121386464 +07 56 48.717177900|060.1674954514024 -28.7034112669306|   17.690 7.921   |8.86     |K2                |    ~     ~    
3290|BD+07 4676                                                            |Star                           |21 23 44.8421074392 +08 08 51.178677684|060.3663141700762 -28.6014688559881| -11.913 -6.279   |9.67     |K5                |    ~     ~    
3291|BD+07 4678                                                            |Double or Multiple Star        |21 24 26.2865046240 +07 39 41.626422900|060.0408065709250 -29.0305380850758|   26.274 7.622   |9.828    |F2                |    ~     ~    
3292|HD 203821                                                             |Star                           |21 24 23.5972038216 +08 01 04.584690768|060.3583010860897 -28.8071612310302|  13.063 -4.790   |9.33     |A0                |    ~     ~    
3293|HD 203904                                                             |Star                           |21 24 56.8496971920 +08 07 01.350963480|060.5430229904616 -28.8566882627688|   14.528 4.082   |8.50     |K0                |    ~     ~    
3294|* bet Equ                                                             |High Proper Motion Star        |21 22 53.6134419432 +06 48 40.103417448|058.9979572614181 -29.2309060102819|  53.843 10.742   |5.148    |A3V               |    ~     ~    
3295|BD+06 4813                                                            |Star                           |21 23 02.2783290024 +06 56 59.407692108|059.1502013444900 -29.1774175543294|  -5.508 -5.026   |10.18    |K2                |    ~     ~    
3296|BD+06 4815                                                            |Star                           |21 24 06.5429632920 +06 59 03.389266104|059.3632709459134 -29.3705187951477|  -0.465 -4.957   |10.02    |G5                |    ~     ~    
3297|BD+06 4816                                                            |Star                           |21 24 10.3255330608 +07 22 05.022762924|059.7267885241173 -29.1538024627984|  -9.610 -9.830   |9.31     |K5                |    ~     ~    
3298|BD+06 4818                                                            |Star                           |21 24 39.8362814952 +07 31 46.359397632|059.9584809728682 -29.1545761630067|  11.410 -3.045   |9.97     |A2                |    ~     ~    
3299|TYC 1119-1396-1                                                       |Star                           |21 28 59.0970573672 +08 25 03.504357696|061.5124594430890 -29.4661625131446| -12.903 11.885   |9.85     |K2                |    ~     ~    
3300|BD+08 4680                                                            |Star                           |21 29 09.0896693712 +08 48 57.583022760|061.9020982149293 -29.2538912541731|  46.597 13.819   |9.20     |K2                |    ~     ~    
3301|BD+08 4681                                                            |High Proper Motion Star        |21 29 48.2948457912 +08 37 53.777506260|061.8494653836717 -29.4946547796459|  82.404 18.661   |10.06    |K0                |    ~     ~    
3302|BD+07 4684                                                            |Star                           |21 25 25.1430786648 +08 25 38.509189176|060.9054491505552 -28.7615047302576|  25.674 36.604   |9.47     |K0                |    ~     ~    
3303|HD 204342                                                             |Star                           |21 27 41.8611929592 +08 24 17.519718204|061.2773865572090 -29.2221863957222| -11.470 -9.903   |8.57     |F0                |    ~     ~    
3304|TYC 1119-1392-1                                                       |Star                           |21 27 42.4440113520 +08 24 48.986718696|061.2869976097848 -29.2187492066712| -2.952 -15.457   |10.5     |~                 |    ~     ~    
3305|BD+07 4694                                                            |Star                           |21 28 15.2811966168 +08 29 33.755293968|061.4535880792594 -29.2774479810820|  41.629 -4.863   |10.14    |F7                |    ~     ~    
3306|BD+07 4697                                                            |Star                           |21 28 28.4952246312 +08 29 20.104032372|061.4883940515928 -29.3228176772698|   3.193 -4.331   |8.50     |K5                |    ~     ~    
3307|BD+07 4701                                                            |Star                           |21 29 40.6513918800 +08 32 20.936314716|061.7434555660409 -29.5267250547854|  -6.776 13.265   |10.12    |F8                |    ~     ~    
3308|TYC 1106-1903-1                                                       |Star                           |21 25 42.0308280408 +07 53 35.722876056|060.4680137486225 -29.1404635209282|  -0.538 -0.369   |10.66    |F8                |    ~     ~    
3309|BD+07 4686                                                            |Star                           |21 26 13.9241203536 +07 47 19.331765124|060.4637565995925 -29.3085357725893| 37.537 -17.438   |9.16     |G0                |    ~     ~    
3310|BD+07 4688                                                            |Star                           |21 26 35.9354004936 +07 56 06.958562748|060.6605943909884 -29.2921323047266|  16.143 -4.557   |9.19     |K0                |    ~     ~    
3311|HD 204173                                                             |Star                           |21 26 36.9519352776 +07 53 07.627983612|060.6180650856631 -29.3256542771438|   4.030 -2.331   |8.27     |F2                |    ~     ~    
3312|HD 204196                                                             |Star                           |21 26 50.9260595592 +07 55 13.875468312|060.6901604635932 -29.3502706761736|  0.417 -21.061   |7.93     |K2                |    ~     ~    
3313|HD 204445                                                             |Variable Star                  |21 28 24.8381812536 +08 11 44.331741312|061.2114842539464 -29.4902745899413|  7.429 -26.345   |6.41     |M1                |    ~     ~    
3314|BD+07 4698                                                            |Double or Multiple Star        |21 28 40.1323 +07 43 05.951            |060.8202403 -29.8312142            |      2.50 6.00   |9.45     |F5                |    ~     ~    
3315|HD 204500                                                             |Star                           |21 28 52.7682750696 +07 45 25.497051264|060.8922991472283 -29.8490307806517|   8.926 -5.956   |8.78     |A0                |    ~     ~    
3316|BD+07 4700                                                            |Star                           |21 29 25.3577947896 +08 12 19.423984752|061.3958841413173 -29.6817797023243| 30.910 -10.046   |9.62     |F2                |    ~     ~    
3317|TYC 1119-281-1                                                        |Star                           |21 29 58.2219168120 +08 11 19.786010928|061.4764755484757 -29.7990293695580| 17.049 -13.267   |10.32    |F8                |    ~     ~    
3318|BD+06 4820                                                            |Star                           |21 25 29.7717755832 +07 07 23.739230928|059.7275096013368 -29.5633901612982|  -2.833 -8.257   |9.83     |A5                |    ~     ~    
3319|BD+06 4822                                                            |Star                           |21 25 58.9481261064 +07 05 40.937359704|059.7844094339083 -29.6770616377835|   19.101 1.630   |9.55     |K0                |    ~     ~    
3320|BD+06 4825                                                            |Spectroscopic Binary           |21 26 27.6642273024 +06 57 08.365621860|059.7352030813277 -29.8574780518759|-20.887 -19.669   |10.72    |K0                |    ~     ~    
3321|HD 204247                                                             |Star                           |21 27 10.5644293896 +06 54 40.693139424|059.8202232656487 -30.0240353394218|   -5.460 1.816   |7.28     |K0                |    ~     ~    
3322|BD+06 4829                                                            |Star                           |21 27 12.1558376856 +07 22 09.871542588|060.2466856141862 -29.7534873839860|  7.684 -41.841   |10.13    |F8                |    ~     ~    
3323|BD+06 4831                                                            |Star                           |21 27 13.4200576968 +07 04 10.209712440|059.9743777563578 -29.9383792236057|  -1.234 -1.914   |9.52     |M2                |    ~     ~    
3324|BD+06 4833                                                            |Star                           |21 27 37.4546115408 +06 51 22.025558880|059.8464643855229 -30.1461133613896| 28.971 -14.223   |10.13    |K0                |    ~     ~    
3325|BD+06 4834                                                            |Double or Multiple Star        |21 27 41.7078221688 +07 29 16.021214520|060.4403379057478 -29.7792351936642| 105.195 31.180   |9.600    |G0                |    ~     ~    
3326|BD+06 4836                                                            |Star                           |21 28 06.3654716904 +07 19 18.913069200|060.3590978895562 -29.9606958569284|-17.774 -14.443   |9.92     |K0                |    ~     ~    
3327|HD 204501                                                             |Star                           |21 28 51.2168931288 +07 03 12.765717936|060.2415038845323 -30.2706239132998|   -1.205 0.931   |9.06     |A3                |    ~     ~    
3328|HD 204602                                                             |Star                           |21 29 37.4476902528 +06 52 46.673132664|060.2148068050292 -30.5280648295341| 33.119 -16.835   |7.50     |K2                |    ~     ~    
3329|BD+06 4840                                                            |Star                           |21 29 39.1234259280 +07 13 23.226042936|060.5366993311766 -30.3256006946097|  4.860 -12.891   |9.02     |K5                |    ~     ~    
3330|BD+06 4841                                                            |Star                           |21 29 58.9572271296 +07 09 22.636554300|060.5327775537863 -30.4313238653092| -9.369 -14.910   |9.57     |K0                |    ~     ~    
3331|IRAS 21272+0759                                                       |Star                           |21 29 42.5013815400 +08 13 06.724098480|061.4577138891366 -29.7296008500443|  -9.793 -6.826   |10.15    |~                 |    ~     ~    
3332|2MASS J21263015+0705512                                               |Red Giant Branch star          |21 26 30.1583660640 +07 05 51.278913888|059.8762521352061 -29.7785523002725|  -6.637 -9.799   |10.79    |~                 |    ~     ~    
3333|TYC 541-6-1                                                           |Star                           |21 22 56.9880806208 +07 18 03.411132876|059.4580976623306 -28.9508561176191|-17.542 -26.869   |10.11    |~                 |    ~     ~    
3334|TYC 541-142-1                                                         |Star                           |21 22 48.5994430176 +07 26 30.915534300|059.5637065081591 -28.8389365265236| -11.984 -8.713   |10.76    |~                 |    ~     ~    
3335|TYC 541-172-1                                                         |Star                           |21 27 25.8701422128 +07 26 55.384865232|060.3589140147612 -29.7507501212773|  13.451 -0.376   |10.71    |~                 |    ~     ~    
3336|TYC 541-276-1                                                         |Star                           |21 26 44.1921361392 +06 48 11.199030732|059.6446753810155 -30.0016442562052|  -6.237 -5.154   |10.19    |~                 |    ~     ~    
3337|TYC 541-586-1                                                         |Star                           |21 23 04.4574999024 +07 23 20.637199104|059.5599466497332 -28.9230556881910|  10.708 13.433   |10.85    |~                 |    ~     ~    
3338|TYC 541-596-1                                                         |Star                           |21 24 25.0389811920 +07 00 17.881946424|059.4346970466711 -29.4195774914028| -3.136 -11.944   |10.81    |~                 |    ~     ~    
3339|TYC 541-630-1                                                         |Star                           |21 25 21.8739942048 +06 51 48.213502020|059.4654766130983 -29.6926878275363|   -5.179 0.885   |10.21    |~                 |    ~     ~    
3340|TYC 541-898-1                                                         |Star                           |21 27 07.2549191256 +06 41 22.754456412|059.6057656584293 -30.1460238447831|  -8.981 -5.440   |10.11    |~                 |    ~     ~    
3341|TYC 541-974-1                                                         |Star                           |21 25 52.2417885696 +06 44 52.039605156|059.4451331076028 -29.8625056913992|   33.549 6.997   |10.40    |~                 |    ~     ~    
3342|TYC 541-1245-1                                                        |Star                           |21 24 08.5801363128 +06 56 31.345887660|059.3301121056389 -29.4024556237324|   0.944 -2.482   |10.80    |~                 |    ~     ~    
3343|TYC 541-1717-1                                                        |Star                           |21 22 46.2837732432 +07 26 29.529876804|059.5568353886946 -28.8314899171699|  16.006 18.575   |10.94    |~                 |    ~     ~    
3344|TYC 541-1749-1                                                        |High Proper Motion Star        |21 22 57.1090109448 +06 34 09.766106472|058.7844101027993 -29.3857679102556|  51.967 -1.861   |10.24    |~                 |    ~     ~    
3345|TYC 1106-60-1                                                         |Star                           |21 23 14.0945372400 +08 09 16.842508452|060.2858318372501 -28.4959402723151|   5.059 -3.127   |10.60    |~                 |    ~     ~    
3346|TYC 1106-250-1                                                        |Star                           |21 26 26.1324311256 +08 26 14.293721400|061.0889738137265 -28.9550323774838|-34.725 -13.178   |10.94    |~                 |    ~     ~    
3347|TYC 1106-432-1                                                        |Star                           |21 22 48.5078699880 +08 19 36.017831964|060.3697244478576 -28.3081413664940|   3.992 -3.029   |10.87    |~                 |    ~     ~    
3348|TYC 1106-720-1                                                        |High Proper Motion Star        |21 23 29.9779579117 +08 37 46.005821526|060.7609878883157 -28.2615851467467| 18.515 -53.888   |10.15    |~                 |    ~     ~    
3349|TYC 1106-1125-1                                                       |Star                           |21 26 26.2534089408 +07 49 35.284415988|060.5335542340355 -29.3262234315159|-20.624 -30.082   |10.30    |~                 |    ~     ~    
3350|TYC 1106-1284-1                                                       |Star                           |21 24 43.2669586536 +07 49 29.249034888|060.2381251184727 -28.9883415682173|  -15.363 5.272   |10.46    |~                 |    ~     ~    
3351|TYC 1106-1345-1                                                       |Star                           |21 26 34.7855916336 +08 06 03.224550924|060.8082038193222 -29.1878927839040|   8.822 -9.246   |10.80    |~                 |    ~     ~    
3352|TYC 1106-1353-1                                                       |Star                           |21 26 15.7043065512 +08 26 49.242538824|061.0678767227459 -28.9150248815477|   17.367 1.876   |10.01    |~                 |    ~     ~    
3353|TYC 1106-1438-1                                                       |Star                           |21 24 45.3353534064 +07 54 16.368985908|060.3167550301640 -28.9470936488822|  -0.597 -4.383   |10.01    |~                 |    ~     ~    
3354|TYC 1106-1485-1                                                       |Star                           |21 25 59.7741668352 +08 14 15.348637968|060.8322140412473 -28.9901593751066| -12.169 -3.385   |10.10    |~                 |    ~     ~    
3355|TYC 1106-1503-1                                                       |Star                           |21 24 39.5902 +08 04 08.123            |060.4501433 -28.8290193            |    7.920 0.697   |10.71    |~                 |    ~     ~    
3356|TYC 1106-1511-1                                                       |Star                           |21 26 39.7918884384 +07 38 23.726908536|060.4018207243494 -29.4835531965229|   8.749 -0.354   |10.90    |~                 |    ~     ~    
3357|TYC 1106-1515-1                                                       |Star                           |21 22 59.5944457920 +07 34 07.274410716|059.7107051398353 -28.7996262322603|   8.525 10.807   |10.74    |~                 |    ~     ~    
3358|TYC 1106-1550-1                                                       |Star                           |21 24 58.5327669096 +08 13 54.116416272|060.6520329257410 -28.7928640618292|  -7.404 -1.156   |10.51    |~                 |    ~     ~    
3359|TYC 1106-1729-1                                                       |Star                           |21 26 20.3749261512 +07 30 20.157280884|060.2231698839721 -29.5007034918479|  25.533 -2.705   |10.31    |~                 |    ~     ~    
3360|TYC 1106-1766-1                                                       |Star                           |21 22 37.4157737208 +07 49 44.266557504|059.8859219208220 -28.5704921959535|   6.271 -0.717   |9.64     |~                 |    ~     ~    
3361|TYC 1106-1772-1                                                       |Star                           |21 24 08.7858354600 +07 53 42.358152192|060.2043654400314 -28.8323758173933|-31.203 -17.990   |10.54    |~                 |    ~     ~    
3362|TYC 1119-642-1                                                        |Star                           |21 27 20.3900304552 +08 32 34.674933840|061.3406716845985 -29.0677647522776|-12.270 -26.921   |10.73    |~                 |    ~     ~    
3363|TYC 1119-655-1                                                        |Star                           |21 28 55.0290718512 +07 39 21.515084352|060.8063099881866 -29.9179581238892|   7.637 -3.344   |10.71    |~                 |    ~     ~    
3364|TYC 1119-694-1                                                        |Star                           |21 27 13.7160141600 +08 36 50.705163720|061.3858330957009 -29.0025346100840|  -2.326 -2.469   |10.49    |~                 |    ~     ~    
3365|TYC 1119-1273-1                                                       |Star                           |21 28 22.1551955520 +07 46 52.388124240|060.8257697624091 -29.7340444430768|   5.698 -2.985   |10.89    |~                 |    ~     ~    
3366|TYC 1119-1343-1                                                       |Star                           |21 27 20.8212073752 +07 39 17.440987572|060.5333011165265 -29.6094403610337| -14.868 -3.436   |10.06    |~                 |    ~     ~    
3367|BD+08 4652                                                            |Star                           |21 19 52.1132327616 +08 47 15.078156864|060.2919444115606 -27.4503038546924|  -5.064 -4.252   |9.46     |K2                |    ~     ~    
3368|BD+08 4658                                                            |Star                           |21 22 07.3751976192 +08 47 04.832394180|060.6680256560899 -27.8967389151871|   -1.400 2.851   |9.78     |K0                |    ~     ~    
3369|HD 203456                                                             |Star                           |21 22 10.4519082888 +08 46 01.587546192|060.6608371516857 -27.9174463466506|  -2.049 -1.446   |10.06    |A0                |    ~     ~    
3370|BD+07 4652                                                            |Spectroscopic Binary           |21 15 13.4237904816 +08 34 39.775980360|059.3346312843023 -26.6535469488391|  -0.678 -6.741   |8.69     |K0                |    ~     ~    
3371|BD+07 4655                                                            |Star                           |21 16 45.4340676336 +08 36 14.318024976|059.6101435679365 -26.9432192352187|  -3.548 -6.046   |10.58    |K0                |    ~     ~    
3372|HD 202508                                                             |Star                           |21 16 01.7692461120 +10 41 08.065492404|061.3479958510576 -25.5518111995962|-25.899 -16.711   |7.32     |K5                |    ~     ~    
3373|BD+10 4506                                                            |Star                           |21 17 24.3181531464 +10 43 32.122255728|061.6104814034348 -25.7964688120886|-34.136 -10.107   |9.54     |F8                |    ~     ~    
3374|BD+10 4512                                                            |Star                           |21 18 26.9318517456 +10 40 00.950199816|061.7318998703181 -26.0357042997637|  23.354 -5.171   |9.08     |K2                |    ~     ~    
3375|BD+10 4523                                                            |Star                           |21 20 02.7047911776 +10 38 03.345553932|061.9695137125330 -26.3664884110557|-24.506 -34.334   |9.79     |F5                |    ~     ~    
3376|BD+10 4531                                                            |Star                           |21 21 53.2052213664 +10 50 20.910169536|062.4601605205831 -26.5983048109472|  11.750 -5.770   |9.21     |K0                |    ~     ~    
3377|BD+10 4533                                                            |Double or Multiple Star        |21 22 28.109 +10 57 17.91              |062.660621 -26.639473              |     28.0 -20.0   |9.6      |F8                |    ~     ~    
3378|BD+10 4534                                                            |High Proper Motion Star        |21 22 26.6007250152 +10 52 25.546697436|062.5848105511288 -26.6846784140003| -56.796 32.881   |9.921    |K7.5V             |    ~     ~    
3379|BD+09 4753                                                            |Spectroscopic Binary           |21 15 23.3403257664 +10 23 39.663918024|060.9852179881506 -25.6019422553823|-101.743 -46.430  |9.04     |F0                |    ~     ~    
3380|HD 202619                                                             |Star                           |21 16 41.0465253552 +10 13 40.814288112|061.0509462388306 -25.9564000770019|  -31.997 9.827   |8.12     |K0                |    ~     ~    
3381|HD 202748                                                             |Star                           |21 17 45.1718194656 +10 32 17.351363184|061.5024781391804 -25.9780842193180|  10.892 -3.003   |8.39     |K2                |    ~     ~    
3382|BD+09 4768                                                            |Star                           |21 18 01.5207531288 +10 18 48.007328904|061.3486340853937 -26.1676508971185|  5.260 -14.696   |9.96     |K0                |    ~     ~    
3383|HD 202835                                                             |High Proper Motion Star        |21 18 16.8405794904 +10 14 56.597212140|061.3340452435745 -26.2565637104604| 135.268 60.227   |7.17     |K0                |    ~     ~    
3384|BD+09 4770                                                            |Spectroscopic Binary           |21 18 19.8964273032 +10 14 53.382240240|061.3417187592557 -26.2670723998603|  25.223 -0.259   |9.34     |F8                |    ~     ~    
3385|BD+09 4777                                                            |Star                           |21 19 25.8148431120 +10 35 38.431168800|061.8310758222393 -26.2713710428485|  10.118 -8.438   |10.39    |F5                |    ~     ~    
3386|BD+09 4778                                                            |Star                           |21 19 38.7053469408 +10 35 24.404400240|061.8635423954880 -26.3155895305114|    4.396 4.796   |8.97     |G5                |    ~     ~    
3387|BD+09 4779                                                            |Star                           |21 19 40.6347983640 +10 18 09.486970344|061.6143962381899 -26.4969987376061|    3.493 0.006   |9.49     |A5                |    ~     ~    
3388|BD+09 4780                                                            |Star                           |21 19 44.8773055248 +10 34 06.930957108|061.8617215990058 -26.3487483967295|  12.357 -0.699   |9.14     |K0                |    ~     ~    
3389|BD+09 4781                                                            |High Proper Motion Star        |21 20 01.4161207416 +10 31 57.859651164|061.8761572726202 -26.4242985723838|-50.847 -15.030   |9.12     |K2                |    ~     ~    
3390|HD 203187                                                             |Star                           |21 20 25.6232788152 +10 30 01.150277616|061.9151145304184 -26.5226317051491|  -8.079 -1.058   |8.44     |kA7hA9mF1(III)    |    ~     ~    
3391|BD+09 4783                                                            |Star                           |21 20 30.1723443432 +10 18 18.758005812|061.7550030441794 -26.6564797803238|    1.589 2.995   |10.18    |A0                |    ~     ~    
3392|HD 203345                                                             |Spectroscopic Binary           |21 21 21.5865231096 +10 19 56.166839688|061.9230950508073 -26.8068602386465| 38.634 -36.052   |6.711    |F5                |    ~     ~    
3393|AG+10 2887                                                            |Long-Period Variable Candidate |21 22 11.4603726168 +10 24 30.261400704|062.1308831889672 -26.9218474363823|  3.086 -14.062   |9.85     |M2                |    ~     ~    
3394|BD+09 4748                                                            |Star                           |21 15 00.8649344952 +09 50 06.432302652|060.4272313185440 -25.8638252463977|   -0.497 1.480   |10.49    |K0III             |    ~     ~    
3395|BD+09 4750                                                            |Star                           |21 15 16.7714912544 +09 59 12.008652900|060.6055262819733 -25.8253331944520|   7.013 -4.230   |9.85     |M1III             |    ~     ~    
3396|BD+09 4751                                                            |Star                           |21 15 19.7153311560 +09 57 00.863800884|060.5811784085585 -25.8568425148918|-18.028 -14.208   |9.12     |F2                |    ~     ~    
3397|BD+09 4752                                                            |Star                           |21 15 24.1792518792 +09 54 49.283594892|060.5608689212677 -25.8934163506811|  40.217 -5.570   |9.37     |F7V               |    ~     ~    
3398|BD+09 4756                                                            |Star                           |21 15 58.0662605064 +10 01 17.133692844|060.7494725406803 -25.9399968175166|   2.997 -1.955   |10.02    |K0                |    ~     ~    
3399|BD+09 4757                                                            |Star                           |21 16 14.9494960536 +09 39 40.231709748|060.4749610363102 -26.2116364205659|   4.360 -8.626   |9.19     |K0                |    ~     ~    
3400|BD+09 4760                                                            |Star                           |21 16 48.8593676400 +09 57 17.244662220|060.8297298364790 -26.1465977505545|   4.494 -0.863   |9.85     |K5                |    ~     ~    
3401|BD+09 4762                                                            |Star                           |21 16 54.8972125608 +09 45 27.439353036|060.6707624597099 -26.2849830436838|  1.227 -13.803   |9.83     |G5                |    ~     ~    
3402|BD+09 4764                                                            |Star                           |21 17 28.9109090640 +09 53 41.081411400|060.8866610438960 -26.3139881313262|  19.177 -6.484   |9.71     |F8                |    ~     ~    
3403|BD+09 4766                                                            |Star                           |21 17 52.4441184384 +09 52 11.802394668|060.9295767671977 -26.4060095654757|   0.377 -3.091   |9.93     |K0                |    ~     ~    
3404|BD+09 4772                                                            |Star                           |21 18 44.2500395712 +10 08 13.755665544|061.3107179999890 -26.4137870949932| 44.394 -11.198   |9.79     |G0                |    ~     ~    
3405|HD 202927                                                             |Star                           |21 18 44.4577525392 +09 58 18.045266196|061.1641961151332 -26.5146713634318|   15.759 9.068   |8.70     |K2                |    ~     ~    
3406|BD+09 4776                                                            |Star                           |21 19 25.4328992112 +10 01 24.443996340|061.3241371148134 -26.6170747161652|  8.805 -38.525   |10.07    |F8                |    ~     ~    
3407|BD+09 4785                                                            |Star                           |21 21 09.5532802872 +09 59 46.233031596|061.5908119741122 -26.9728942864650|  12.663 11.797   |9.75     |F8                |    ~     ~    
3408|BD+09 4787                                                            |Red Giant Branch star Candidate|21 21 30.1254661752 +10 00 55.181130552|061.6656024091361 -27.0281373739775|   6.774 -1.117   |9.81     |K2                |    ~     ~    
3409|HD 203403                                                             |Star                           |21 21 41.9686136136 +09 43 35.565219912|061.4415662284214 -27.2426312972501|   0.956 -2.299   |8.39     |K5                |    ~     ~    
3410|HD 202463                                                             |Star                           |21 15 45.6917190864 +08 46 36.042238524|059.6020645908310 -26.6426807087837| 13.285 -13.397   |8.02     |A0                |    ~     ~    
3411|HD 202575                                                             |High Proper Motion Star        |21 16 32.4670760976 +09 23 37.775303340|060.2841838733206 -26.4293897258572|145.631 -118.603  |7.878    |K3V               |    ~     ~    
3412|HD 202603                                                             |Star                           |21 16 42.5317360368 +09 18 59.273976420|060.2425902351244 -26.5088291676821|-13.712 -33.534   |8.17     |K2                |    ~     ~    
3413|HD 202683                                                             |Star                           |21 17 20.3601044088 +09 00 29.553196896|060.0701760890056 -26.8178514862111|   26.813 4.083   |8.02     |A0                |    ~     ~    
3414|HD 202749                                                             |Star                           |21 17 47.7923399376 +08 54 04.707030924|060.0497072403898 -26.9722629832450| 24.657 -23.248   |8.18     |K0                |    ~     ~    
3415|BD+08 4646                                                            |Star                           |21 18 24.5436371352 +08 58 43.874308056|060.2210336010422 -27.0470774018245|  6.100 -19.977   |9.74     |K0                |    ~     ~    
3416|HD 202884                                                             |High Proper Motion Star        |21 18 37.1778080736 +08 57 34.773020172|060.2387606565733 -27.1002107261883|142.724 -41.353   |7.270    |F5                |    ~     ~    
3417|BD+08 4653                                                            |Star                           |21 20 30.3349893984 +09 17 21.103949796|060.8495520282408 -27.2737569983255|  -2.264 -4.526   |9.92     |K0                |    ~     ~    
3418|BD+08 4656                                                            |Star                           |21 21 40.6147093920 +09 30 12.387655260|061.2384037892318 -27.3738532448411|   22.929 6.322   |9.82     |F8                |    ~     ~    
3419|V* T Equ                                                              |Mira Variable                  |21 15 45.3731655720 +09 16 10.405006356|060.0438073279357 -26.3483456523171|-11.863 -10.913   |9.64     |M3                |    ~     ~    
3420|TYC 1110-1758-1                                                       |Star                           |21 20 43.5138842736 +10 19 42.366171468|061.8129355685025 -26.6856433796244|   0.142 -1.704   |10.95    |~                 |    ~     ~    
3421|ASAS J212136+0948.5                                                   |BY Dra Variable                |21 21 35.8725203784 +09 48 35.336976516|061.4987131999977 -27.1720805973237|-26.664 -32.660   |10.30    |~                 |    ~     ~    
3422|TYC 1105-31-1                                                         |Star                           |21 18 02.4221757000 +09 12 13.095340308|060.3616890223566 -26.8394979150687|  -2.762 -6.116   |10.25    |~                 |    ~     ~    
3423|TYC 1105-343-1                                                        |Star                           |21 17 18.8611917768 +09 12 27.348766596|060.2450156226431 -26.6936741941089|   3.026 -5.431   |10.09    |~                 |    ~     ~    
3424|TYC 1105-676-1                                                        |High Proper Motion Star        |21 19 06.5310067320 +09 19 07.307982120|060.6424790533214 -26.9810998181410|-88.328 -31.693   |10.66    |~                 |    ~     ~    
3425|TYC 1105-693-1                                                        |Star                           |21 17 11.8887948192 +08 56 56.520799692|059.9936583413038 -26.8252248434096|   8.162 -3.509   |10.44    |~                 |    ~     ~    
3426|TYC 1105-923-1                                                        |Star                           |21 15 17.2956098688 +09 01 10.479449820|059.7428626413617 -26.4043672509201|  0.702 -11.879   |10.20    |~                 |    ~     ~    
3427|TYC 1105-1291-1                                                       |Spectroscopic Binary           |21 15 23.5924007928 +08 44 19.724371008|059.5075775790950 -26.5918832780894|  -2.922 -5.320   |10.77    |~                 |    ~     ~    
3428|TYC 1105-1964-1                                                       |Star                           |21 17 23.4003224520 +08 46 13.951877124|059.8647281798316 -26.9697389291381|   2.770 49.654   |10.23    |~                 |    ~     ~    
3429|TYC 1106-133-1                                                        |Star                           |21 20 37.6057609848 +09 03 49.858727616|060.6675961241200 -27.4336230932089|  0.501 -12.099   |10.71    |~                 |    ~     ~    
3430|TYC 1106-136-1                                                        |Star                           |21 21 13.7525652744 +08 51 10.665357984|060.5790061699723 -27.6794658745476|   0.048 -2.244   |10.44    |~                 |    ~     ~    
3431|TYC 1106-651-1                                                        |Star                           |21 20 17.7509353704 +09 16 03.351177588|060.7950306475974 -27.2455558235569|  -8.830 -9.349   |10.91    |~                 |    ~     ~    
3432|TYC 1106-1243-1                                                       |Star                           |21 21 03.2579654832 +08 50 20.609772432|060.5370781068374 -27.6533650293199|  7.598 -27.671   |10.78    |~                 |    ~     ~    
3433|TYC 1109-248-1                                                        |Star                           |21 18 56.9354931072 +09 33 46.627263936|060.8343871078849 -26.8024325871780|   13.652 0.331   |10.40    |~                 |    ~     ~    
3434|TYC 1109-770-1                                                        |Star                           |21 19 08.6829582072 +09 40 40.931773716|060.9698011113087 -26.7714351184614| -3.467 -14.418   |10.57    |~                 |    ~     ~    
3435|TYC 1109-854-1                                                        |Star                           |21 19 01.9490539032 +09 28 21.289745892|060.7675132967787 -26.8733612901673| 17.377 -26.534   |10.95    |~                 |    ~     ~    
3436|TYC 1109-918-1                                                        |Star                           |21 17 38.8445837280 +09 28 04.970766864|060.5333525319550 -26.6032787529816| -8.109 -33.746   |10.51    |~                 |    ~     ~    
3437|TYC 1109-1048-1                                                       |Star                           |21 18 31.3277538600 +09 36 12.901864464|060.7996494880483 -26.6939991970483|   5.664 -3.742   |10.23    |~                 |    ~     ~    
3438|TYC 1109-1158-1                                                       |Star                           |21 18 54.5196219912 +09 38 02.556848832|060.8911834104117 -26.7516247448611|  -7.401 -2.606   |10.02    |~                 |    ~     ~    
3439|TYC 1109-1178-1                                                       |Star                           |21 16 00.2092903488 +09 26 13.937743248|060.2344817048947 -26.2971763090956|    1.717 1.548   |10.47    |~                 |    ~     ~    
3440|TYC 1109-1220-1                                                       |Star                           |21 19 00.5765293152 +09 35 46.586368104|060.8742701593470 -26.7942588853994|   9.904 -1.508   |10.91    |~                 |    ~     ~    
3441|TYC 1109-1771-1                                                       |Star                           |21 17 38.9421782112 +10 02 49.291431288|061.0498196385060 -26.2549669485920|   21.848 0.212   |10.50    |~                 |    ~     ~    
