C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
55  |TYC 3169-1435-1                                                       |Spectroscopic Binary           |21 16 41.7847765104 +38 03 18.179085528|083.1211849152751 -07.6976943202619|  -3.334 -5.027   |10.79    |~                 |    ~     ~    
56  |TYC 3169-1616-1                                                       |Star                           |21 16 44.6899293672 +38 03 15.141435876|083.1272075367491 -07.7051738206757|  -5.055 -6.974   |10.46    |~                 |    ~     ~    
57  |TYC 3169-1744-1                                                       |Star                           |21 17 17.8038105408 +37 48 23.813858520|083.0223594044782 -07.9548852625241|   9.045 -6.326   |10.73    |~                 |    ~     ~    
58  |TYC 3169-1796-1                                                       |Star                           |21 18 28.9921327656 +38 08 07.112510772|083.4252477199956 -07.8958672542011|  -1.708 -1.722   |10.88    |~                 |    ~     ~    
59  |TYC 3169-1817-1                                                       |Star                           |21 15 38.8131641808 +37 47 56.591657556|082.7900507483798 -07.7240135064162|    3.604 4.473   |10.55    |~                 |    ~     ~    
60  |TYC 3169-1869-1                                                       |Star                           |21 19 16.724688 +38 05 53.78712        |083.508168363 -08.034113077        |       12.6 2.0   |10.961   |~                 |    ~     ~    
61  |TYC 3169-1917-1                                                       |Star                           |21 17 17.9898412344 +38 06 17.209429344|083.2402555354195 -07.7491901917167|     -6.1 -16.6   |10.752   |~                 |    ~     ~    
62  |TYC 3169-1945-1                                                       |Star                           |21 19 42.9874497168 +37 47 48.689046204|083.3502415728021 -08.3058866004129|  -0.042 -4.179   |10.79    |~                 |    ~     ~    
63  |TYC 3169-2000-1                                                       |Star                           |21 15 09.3041099976 +38 11 30.195266532|083.0106076779781 -07.3837606968532|   15.272 1.493   |10.35    |~                 |    ~     ~    
64  |TYC 3169-2089-1                                                       |Star                           |21 17 20.0406713016 +38 07 51.816245916|083.2641038677545 -07.7358711458030|    4.924 1.407   |10.10    |~                 |    ~     ~    
65  |TYC 3169-2109-1                                                       |Star                           |21 17 04.1493808752 +38 06 41.408254908|083.2135011032846 -07.7117555698347|  -0.061 -6.015   |9.62     |~                 |    ~     ~    
66  |TYC 3169-2130-1                                                       |Star                           |21 15 20.1360487392 +38 20 03.288982668|083.1395547063094 -07.3115519805070|  -4.653 -8.718   |9.88     |~                 |    ~     ~    
67  |TYC 3169-2158-1                                                       |Star                           |21 15 28.4109952536 +38 10 30.269416728|083.0417872930427 -07.4406562025274|  -2.059 -9.915   |9.89     |~                 |    ~     ~    
68  |TYC 3169-2222-1                                                       |Star                           |21 18 15.3463003080 +38 02 43.578612276|083.3285608949359 -07.9259993191146|   7.557 -7.279   |10.54    |~                 |    ~     ~    
69  |TYC 3169-2517-1                                                       |Star                           |21 15 02.8308288144 +38 44 52.172798496|083.4031843866459 -06.9862765477468|  -1.227 -6.026   |10.91    |~                 |    ~     ~    
70  |TYC 3169-2577-1                                                       |Star                           |21 18 35.9295726840 +38 06 20.261415204|083.4196202079259 -07.9328405900486|  -4.396 -3.438   |10.38    |~                 |    ~     ~    
71  |TYC 3169-2733-1                                                       |Star                           |21 19 14.6683037664 +37 46 16.094665344|083.2659973756106 -08.2568119403332|    1.966 2.029   |10.12    |~                 |    ~     ~    
72  |TYC 3169-2778-1                                                       |Star                           |21 15 46.2155950584 +38 07 31.198143468|083.0458544609203 -07.5172165048314|  -3.430 -6.724   |9.61     |~                 |    ~     ~    
73  |TYC 3169-2784-1                                                       |Star                           |21 16 15.4588235760 +38 18 41.890489740|083.2485765683334 -07.4582692346239| -9.033 -13.035   |10.14    |~                 |    ~     ~    
74  |TYC 3169-2805-1                                                       |Star                           |21 16 44.1710121792 +38 08 03.844060476|083.1845694708973 -07.6485832904823|  -5.949 -4.949   |10.47    |~                 |    ~     ~    
75  |TYC 3169-2815-1                                                       |Star                           |21 18 42.4830135648 +38 13 20.408863224|083.5194426220368 -07.8672256168456|  11.847 -2.142   |10.07    |~                 |    ~     ~    
76  |TYC 3182-201-1                                                        |Star                           |21 20 17.2142561688 +37 56 38.034288456|083.5360873700369 -08.2840957128555|  -16.111 1.602   |10.98    |~                 |    ~     ~    
77  |TYC 3182-278-1                                                        |Star                           |21 20 39.6334073808 +37 49 18.890309532|083.4998427379446 -08.4220451820175|   0.221 -1.213   |10.63    |~                 |    ~     ~    
78  |TYC 3182-347-1                                                        |Star                           |21 21 21.8888466168 +37 35 52.731450528|083.4363952887818 -08.6781903589802|  -2.816 -6.761   |10.84    |~                 |    ~     ~    
79  |BD+39 4527                                                            |High Proper Motion Star        |21 20 45.1231206144 +40 15 46.688945940|085.2708580364185 -06.7257842902489| 72.394 -17.538   |8.58     |F8                |    ~     ~    
80  |BD+39 4495                                                            |Star                           |21 15 39.7623031128 +39 43 42.996165780|084.2019127747879 -06.3973423725757|   9.857 -0.906   |8.74     |K0                |    ~     ~    
81  |HD 202879                                                             |Double or Multiple Star        |21 17 36.80572 +39 44 46.2162          |084.47586038 -06.65593286          |     27.43 6.23   |7.89     |F0                |    ~     ~    
82  |HD 203112                                                             |Star                           |21 19 00.0379486296 +39 44 57.632944020|084.6649375364466 -06.8452809888997|   14.604 7.651   |6.672    |A0                |    ~     ~    
83  |BD+39 4519B                                                           |Star                           |21 19 01.8893266056 +39 44 45.009704724|084.6665706713327 -06.8519775629098|     12.20 9.40   |9.87     |~                 |    ~     ~    
84  |BD+39 4526                                                            |Star                           |21 20 46.0688075184 +39 47 26.975174748|084.9339830006211 -07.0590675394844|  -6.722 -8.159   |10.12    |K2                |    ~     ~    
85  |HD 203438                                                             |High Proper Motion Star        |21 20 55.4292854088 +40 01 54.886655748|085.1282457147664 -06.9112912717131|-32.044 -47.399   |7.83     |K5                |    ~     ~    
86  |BD+39 4536                                                            |Star                           |21 22 15.7011096576 +39 53 57.070251060|085.2147580431898 -07.1868948500146|    5.290 1.212   |9.72     |K0                |    ~     ~    
87  |BD+39 4538                                                            |Star                           |21 22 36.0509476824 +40 00 07.298678088|085.3344586542439 -07.1605016372667|  -0.390 -5.644   |9.47     |K2                |    ~     ~    
88  |HD 203856                                                             |Star                           |21 23 35.5297279464 +40 01 07.023676800|085.4814665257965 -07.2831254314705|   28.306 7.490   |7.21     |A0V               |    ~     ~    
89  |HD 202682                                                             |Star                           |21 16 20.5483652784 +39 05 46.049598312|083.8323614569904 -06.9288940771624|  -1.896 -8.509   |8.270    |A2                |    ~     ~    
90  |* sig Cyg                                                             |Evolved Supergiant             |21 17 24.9524404 +39 23 40.852798      |084.1943267398 -06.8723420796      |    -0.13 -3.58   |4.24     |A0Ia              |    ~     ~    
91  |HD 202880                                                             |High Proper Motion Star        |21 17 36.3721383072 +39 12 35.801058060|084.0859497784677 -07.0269696868674| 29.969 -47.837   |6.978    |F5                |    ~     ~    
92  |BD+38 4436                                                            |Star                           |21 18 04.6140917016 +38 55 34.515440148|083.9439500121874 -07.2896034934073|  -4.580 -4.344   |10.13    |A2                |    ~     ~    
93  |BD+38 4437                                                            |Star                           |21 18 06.5446759560 +38 54 14.467368348|083.9321961378326 -07.3095452027361|   1.711 -2.986   |9.60     |A0                |    ~     ~    
94  |HD 202989                                                             |High Proper Motion Star        |21 18 10.3922311464 +39 21 17.249161932|084.2677360820793 -07.0053877441477| 114.169 29.855   |8.70     |G0                |    ~     ~    
95  |HD 203047                                                             |Star                           |21 18 35.5345222224 +38 56 22.509431412|084.0238205694478 -07.3524188725874| -9.735 -16.498   |8.72     |G0                |    ~     ~    
96  |HD 203097                                                             |Star                           |21 18 57.5360625768 +39 09 46.398185316|084.2354410195708 -07.2481494156367|  17.112 -3.095   |9.17     |F0                |    ~     ~    
97  |** AG 270B                                                            |Star                           |21 18 57.2 +39 09 13                   |084.2280 -07.2538                  |            ~ ~   |10.0     |~                 |    ~     ~    
98  |HD 203155                                                             |Star                           |21 19 19.8169547016 +38 48 23.675606640|084.0283576285693 -07.5481381169938|   0.845 -3.087   |6.99     |F5                |    ~     ~    
99  |BD+38 4446                                                            |Star                           |21 19 26.0205003960 +39 28 09.586950456|084.5213951675509 -07.1003550747155|   0.249 -4.971   |9.65     |B8                |    ~     ~    
100 |HD 203204                                                             |Star                           |21 19 36.8780041560 +38 48 08.533069236|084.0642745906154 -07.5907875405393|  -26.994 5.129   |8.88     |G0                |    ~     ~    
101 |HD 203301                                                             |High Proper Motion Star        |21 20 13.2966070968 +38 41 27.814053192|084.0672068788222 -07.7532313140784|  42.095 46.153   |7.44     |G5                |    ~     ~    
102 |BD+38 4455                                                            |Star                           |21 20 15.9988984032 +38 38 56.552747352|084.0430656094499 -07.7888763203471|   22.578 4.887   |9.02     |F8                |    ~     ~    
103 |HD 203357                                                             |Star                           |21 20 35.1716739408 +38 51 25.868313072|084.2372069033025 -07.6878943958536|-10.094 -25.999   |8.56     |G5                |    ~     ~    
104 |BD+38 4462                                                            |Star                           |21 21 06.9319410624 +38 44 22.875565416|084.2254130645978 -07.8437986759121|-33.562 -30.415   |10.38    |~                 |    ~     ~    
105 |HD 203455                                                             |Star                           |21 21 11.5434867192 +38 55 42.768477624|084.3719694905006 -07.7221149754822| 37.550 -17.777   |8.75     |K                 |    ~     ~    
106 |HD 203663                                                             |Double or Multiple Star        |21 22 33.3824961600 +38 45 41.271635736|084.4402449136735 -08.0285080237879| -1.323 -16.812   |8.43     |F8                |0.0017  0.0    
107 |HD 203696                                                             |Star                           |21 22 46.8344482968 +38 38 03.411518712|084.3801132736017 -08.1491104409145| -8.773 -25.836   |6.617    |A1V               |    ~     ~    
108 |HD 203713                                                             |Star                           |21 22 54.7070221200 +38 42 30.658601340|084.4515673212185 -08.1150040701657|   22.122 9.754   |7.26     |K0                |    ~     ~    
109 |HD 203783                                                             |Star                           |21 23 17.5289757240 +39 20 58.756938252|084.9630320734300 -07.7151534176522|  13.654 -5.131   |7.350    |B9                |    ~     ~    
110 |HD 203920                                                             |Star                           |21 24 02.2012266192 +39 09 33.638350788|084.9299790958639 -07.9516272852482|   7.809 -2.833   |8.93     |A                 |    ~     ~    
111 |BD+37 4279                                                            |Star                           |21 21 18.8871655056 +38 33 02.829290400|084.1168746577127 -08.0039261966682|  -0.214 -1.868   |8.45     |K2                |    ~     ~    
112 |HD 203628                                                             |Star                           |21 22 27.3794624904 +38 16 51.127972032|084.0812131999246 -08.3526497452208|  -2.590 -4.630   |9.50     |A                 |    ~     ~    
113 |HD 203732                                                             |Variable Star                  |21 22 58.3842942360 +38 18 08.878920660|084.1688340008719 -08.4095089872918|   7.393 -1.990   |8.86     |A2                |    ~     ~    
114 |BD+37 4293                                                            |Star                           |21 23 50.5266417120 +38 36 09.657515988|084.5052414502440 -08.3183924556445|  27.888 -9.751   |9.09     |K0                |    ~     ~    
115 |HD 204006                                                             |Star                           |21 24 31.6990192464 +39 47 08.249523396|085.4439125399344 -07.5749021802969|   19.500 8.992   |8.74     |A                 |    ~     ~    
116 |BD+39 4551                                                            |Star                           |21 25 29.0055547872 +39 59 59.686229832|085.7273354415740 -07.5515605787656|    7.050 1.373   |10.67    |F0                |    ~     ~    
117 |BD+39 4552                                                            |Star                           |21 25 40.1742455544 +39 47 25.567859076|085.6045192844086 -07.7257392333846|   8.940 -0.240   |9.16     |F2                |    ~     ~    
118 |BD+39 4559                                                            |High Proper Motion Star        |21 26 56.4231166416 +39 39 31.544702208|085.6872596340696 -07.9909344503575|  67.598 13.350   |8.27     |G0                |    ~     ~    
119 |BD+38 4482                                                            |Star                           |21 24 32.7833461944 +38 38 11.418843732|084.6277403328555 -08.3917327301335|  -1.432 -7.320   |9.43     |K2                |    ~     ~    
120 |BD+38 4485                                                            |Star                           |21 24 51.6071808696 +38 49 58.871352720|084.8117231844068 -08.2956898140734|   4.972 -9.755   |9.76     |A5                |    ~     ~    
121 |BD+38 4486                                                            |Star                           |21 24 48.4690408248 +39 02 24.383941512|084.9519930550296 -08.1416935451278|    2.222 0.056   |8.23     |K0                |    ~     ~    
122 |BD+38 4490                                                            |Star                           |21 25 18.0609847560 +38 51 24.261866856|084.8901675085670 -08.3393672018009|   15.474 3.728   |9.96     |A2                |    ~     ~    
123 |BD+38 4491                                                            |Star                           |21 25 21.3112903176 +38 56 42.587146068|084.9606569276479 -08.2840056138069|  -2.697 -9.705   |9.82     |K                 |    ~     ~    
124 |BD+38 4492                                                            |Star                           |21 25 23.3904434784 +38 55 19.986950568|084.9491687227378 -08.3050443789626|  -2.442 -4.448   |10.30    |A0                |    ~     ~    
125 |BD+38 4493                                                            |High Proper Motion Star        |21 25 28.0943489760 +39 26 39.744367116|085.3311861265126 -07.9446908007985|  52.228 16.091   |8.71     |F5                |    ~     ~    
126 |BD+38 4494                                                            |Chemically Peculiar Star       |21 25 43.3104780984 +39 16 21.928201068|085.2445526296142 -08.1012021219177|-10.182 -20.210   |9.43     |A2                |    ~     ~    
127 |BD+38 4495                                                            |Star                           |21 25 58.4308441632 +38 45 53.124141096|084.9188942767611 -08.4969516064380| -2.480 -14.411   |8.89     |F8                |    ~     ~    
128 |BD+38 4497                                                            |Double or Multiple Star        |21 26 24.2743 +39 08 39.079            |085.2484824 -08.2856090            |       4.1 -3.0   |9.40     |A2                |    ~     ~    
129 |BD+38 4499                                                            |Eclipsing Binary               |21 26 40.9434066744 +38 56 48.873790176|085.1475042940449 -08.4640705398289|  -0.392 -7.005   |9.97     |A0                |    ~     ~    
130 |BD+38 4501                                                            |Spectroscopic Binary           |21 27 01.0316093760 +39 20 39.066575316|085.4755969380813 -08.2260272842122|  -4.590 -1.618   |8.80     |K2                |    ~     ~    
131 |BD+38 4504                                                            |Star                           |21 28 05.1695431752 +39 29 14.552200176|085.7259430568397 -08.2678042951219| -5.065 -23.218   |8.96     |K2                |    ~     ~    
132 |BD+38 4509                                                            |Variable Star                  |21 29 25.6194290184 +38 39 10.366597116|085.3270673110151 -09.0479417854465|  -8.582 -2.225   |8.29     |M0                |    ~     ~    
133 |BD+37 4301                                                            |Star                           |21 24 58.6040695296 +38 20 49.848579744|084.4815198893550 -08.6560983866187|  38.271 -3.337   |9.04     |F2                |    ~     ~    
