C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
40  |BD+83 474                                                                                                                                   |Star                                |16 08 46.1371213152 +82 58 42.385225332|116.6844887388551 +31.5647420460982|   0.498 -5.092  |10.08    |K5             |    ~     ~          |    1| 1130.071   pc  | -14.1754    +14.1754  |paral   |2020yCat.1350....0G
41  |BD+83 475                                                                                                                                   |Star                                |16 08 58.5417923976 +83 21 46.319405508|117.0367701158988 +31.3249639987479| -22.931 28.067  |9.24     |G0             |    ~     ~          |    1|  222.519   pc  |  -0.6387     +0.6387  |paral   |2020yCat.1350....0G
42  |BD+83 476                                                                                                                                   |Star                                |16 14 49.4570961360 +82 56 38.755769640|116.5218972901207 +31.4367929923245|  -2.996 -8.641  |10.47    |F0             |    ~     ~          |    1|  337.758   pc  |  -4.8142     +4.8142  |paral   |2020yCat.1350....0G
43  |BD+82 476                                                                                                                                   |Star                                |16 00 20.7067456896 +82 07 24.090624912|116.0961702615616 +32.3105322903984|  -5.706 29.723  |9.88     |F5             |    ~     ~          |    1|  579.307   pc  |  -3.2888     +3.2888  |paral   |2020yCat.1350....0G
44  |BD+82 478                                                                                                                                   |Star                                |16 03 37.4391222240 +82 24 51.901913988|116.2812976291185 +32.0416132185126|   -0.106 8.478  |10.47    |F0             |    ~     ~          |    1|  624.727   pc  |  -8.7423     +8.7423  |paral   |2020yCat.1350....0G
45  |HD 146945                                                                                                                                   |High Proper Motion Star             |16 03 45.4924811760 +82 28 23.982915468|116.3323028399637 +32.0013650525036| 35.007 -37.078  |8.84     |F5             |    ~     ~          |    1|  155.841   pc  |  -0.3546     +0.3546  |paral   |2020yCat.1350....0G
46  |HD 147901                                                                                                                                   |Star                                |16 10 02.5129145064 +82 04 44.224550904|115.8119886354983 +32.0757898119004|   20.051 2.673  |7.97     |A2             |    ~     ~          |    1|  163.380   pc  |  -3.0937     +3.0937  |paral   |2020yCat.1350....0G
47  |BD+82 483                                                                                                                                   |High Proper Motion Star             |16 12 12.3653916360 +82 24 00.883883124|116.0645194156622 +31.8254853488199| -60.049 15.568  |10.20    |G5             |    ~     ~          |    1|  117.601   pc  |  -0.1507     +0.1507  |paral   |2020yCat.1350....0G
48  |HD 148465                                                                                                                                   |Star                                |16 13 38.5645791264 +82 05 16.695629772|115.7338600689008 +31.9705943038287|   -5.646 6.993  |8.64     |A2             |    ~     ~          |    1|  320.965   pc  |  -1.9986     +1.9986  |paral   |2020yCat.1350....0G
49  |HD 148589                                                                                                                                   |Star                                |16 13 15.8382557064 +82 37 54.833585412|116.2599271003247 +31.6604574885053| -23.325 37.191  |7.73     |A3             |    ~     ~          |    1|  207.271   pc  |  -2.5347     +2.5347  |paral   |2020yCat.1350....0G
