C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
45  |BD+38 504                                                                                                                                   |Star                              |02 33 26.5378475880 +38 52 45.960650976|143.8028216090379 -19.8230722031661|   2.722 -6.710   |9.67     |K2               |    ~     ~    |    1|  834.794   pc  | -13.4498    +13.4498  |paral   |2020yCat.1350....0G
46  |HD 15865                                                                                                                                    |Star                              |02 34 08.3079416088 +38 44 06.105291288|143.9971795860711 -19.8994369525978|  12.376 -8.421   |6.67     |K0               |    ~     ~    |    1|  465.658   pc  |  -5.0089     +5.0089  |paral   |2020yCat.1350....0G
47  |HD 15882                                                                                                                                    |Star                              |02 34 17.5029894552 +39 32 23.495100000|143.6763204855390 -19.1529869881316|  -6.089 -5.079   |9.14     |A2               |    ~     ~    |    1|  402.528   pc  |  -3.3378     +3.3378  |paral   |2020yCat.1350....0G
48  |HD 15993                                                                                                                                    |High Proper Motion Star           |02 35 17.3504355624 +39 10 21.116650152|144.0224634775512 -19.4086326966576| 52.153 -75.545   |8.87     |G5               |    ~     ~    |    1|   85.613   pc  |  -0.1847     +0.1847  |paral   |2020yCat.1350....0G
49  |HD 16053                                                                                                                                    |Star                              |02 35 49.2141925680 +39 32 53.328744420|143.9569173269152 -19.0241948683095|  18.701 -4.254   |7.91     |K0               |    ~     ~    |    1|  473.171   pc  |  -5.5749     +5.5749  |paral   |2020yCat.1350....0G
50  |HD 16110                                                                                                                                    |Star                              |02 36 26.7263620776 +38 55 58.683950940|144.3445961026298 -19.5333008661533|  15.806 -0.775   |8.59     |M3               |    ~     ~    |    1|  714.490   pc  | -21.8492    +21.8492  |paral   |2020yCat.1350....0G
51  |BD+38 516                                                                                                                                   |Star                              |02 37 03.7130775120 +38 47 59.460765828|144.5194159358562 -19.6039057928350|  -4.978 -9.480   |9.42     |G5               |    ~     ~    |    1|  429.240   pc  |  -4.1824     +4.1824  |paral   |2020yCat.1350....0G
52  |BD+38 517                                                                                                                                   |High Proper Motion Star           |02 37 12.1809907128 +38 50 17.878766676|144.5287356426848 -19.5574627303694| 47.630 -25.969   |8.69     |F5               |    ~     ~    |    1|  268.125   pc  |  -2.6456     +2.6456  |paral   |2020yCat.1350....0G
53  |BD+38 518                                                                                                                                   |Long-Period Variable Candidate    |02 37 13.8712972488 +38 58 35.601796848|144.4723469504885 -19.4297158567869|   0.411 -1.776   |9.86     |M7               |    ~     ~    |    1| 1315.79    pc  | -96.7798    +96.7798  |paral   |2020yCat.1350....0G
54  |BD+38 519                                                                                                                                   |Star                              |02 37 14.7404282616 +38 43 54.255943416|144.5843366226575 -19.6506350821799|   0.520 -6.484   |9.74     |B8               |    ~     ~    |    1|  524.934   pc  | -12.0694    +12.0694  |paral   |2020yCat.1350....0G
55  |BD+38 520                                                                                                                                   |Star                              |02 37 28.4242906704 +39 15 09.438161868|144.3946018199560 -19.1594542135868| -25.892 -0.027   |9.83     |F8               |    ~     ~    |    1|  255.402   pc  |  -1.1807     +1.1807  |paral   |2020yCat.1350....0G
56  |BD+38 522                                                                                                                                   |Star                              |02 37 45.3826038456 +38 46 48.599369868|144.6584836850861 -19.5647300964862|  -4.471 -1.834   |10.34    |A0               |    ~     ~    |    1|  634.035   pc  | -12.6630    +12.6630  |paral   |2020yCat.1350....0G
57  |HD 16284                                                                                                                                    |Star                              |02 37 54.4779786118 +38 55 06.818432591|144.6247986817815 -19.4268324828682|-11.141 -19.794   |7.61     |A2               |    ~     ~    |    1|  159.877   pc  |  -0.8026     +0.8026  |paral   |2020yCat.1350....0G
58  |V* UY And                                                                                                                                   |Carbon Star                       |02 38 23.7856545720 +39 10 09.931915704|144.6033069812383 -19.1594063409399|   0.594 -0.699   |10.00    |C5,4             |    ~     ~    |    1| 3163.556   pc  |-258.2086   +258.2086  |paral   |2020yCat.1350....0G
