C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |TYC 4553-4-1                                                                                             |Star                                |11 51 16.5325629072 +79 34 36.140108484|126.3089518130341 +37.1539615126683|  42.089 19.390    |10.09    |~                 |    ~     ~    |    1|   94.570   pc  |  -0.1037     +0.1037  |paral   |2020yCat.1350....0G
44  |TYC 4553-115-1                                                                                           |Star                                |11 56 11.8601037168 +79 30 22.968453456|126.0641347729820 +37.2836900760907|  7.787 -21.124    |10.68    |~                 |    ~     ~    |    1|  209.096   pc  |  -1.1367     +1.1367  |paral   |2020yCat.1350....0G
45  |TYC 4553-213-1                                                                                           |Star                                |11 56 36.8116593096 +78 45 35.997787440|126.2922667952493 +38.0081485924614|-19.468 -18.158    |10.81    |~                 |    ~     ~    |    1|  293.832   pc  |  -0.8893     +0.8893  |paral   |2020yCat.1350....0G
46  |TYC 4553-281-1                                                                                           |Star                                |11 56 56.2213476864 +79 21 32.576955228|126.0722351746918 +37.4347329436008|   7.932 -8.543    |10.76    |~                 |    ~     ~    |    1|  790.264   pc  |  -7.4318     +7.4318  |paral   |2020yCat.1350....0G
47  |TYC 4553-335-1                                                                                           |Star                                |11 58 39.1994363088 +79 38 24.839743092|125.8855436055999 +37.1834787385466|   19.940 8.544    |10.91    |~                 |    ~     ~    |    1|  469.043   pc  | -27.8302    +27.8302  |paral   |2020yCat.1350....0G
48  |TYC 4553-363-1                                                                                           |Star                                |11 56 06.3395387760 +79 18 50.083642584|126.1340617782998 +37.4680101838434|    0.345 2.526    |10.76    |~                 |    ~     ~    |    1|  385.490   pc  |  -4.1609     +4.1609  |paral   |2020yCat.1350....0G
49  |TYC 4553-472-1                                                                                           |Spectroscopic Binary                |11 57 02.2979075088 +79 12 10.539965160|126.1184803107935 +37.5865564759762|    2.308 2.408    |10.99    |~                 |    ~     ~    |    1|  256.476   pc  |  -6.0189     +6.0189  |paral   |2020yCat.1350....0G
50  |TYC 4553-477-1                                                                                           |Star                                |11 50 53.1304694280 +79 09 51.571095948|126.4817825910083 +37.5431968180263|   -5.360 6.583    |10.56    |~                 |    ~     ~    |    1|  754.432   pc  |  -6.3178     +6.3178  |paral   |2020yCat.1350....0G
51  |TYC 4553-609-1                                                                                           |Star                                |11 57 59.9164495608 +78 57 05.568534468|126.1463218023474 +37.8410686948663| -19.921 -6.427    |10.88    |~                 |    ~     ~    |    1|  443.361   pc  |  -1.9460     +1.9460  |paral   |2020yCat.1350....0G
52  |TYC 4553-666-1                                                                                           |High Proper Motion Star             |11 51 40.2723466392 +78 58 37.862683932|126.5057190075102 +37.7330635466121| 60.259 -17.252    |10.94    |~                 |    ~     ~    |    1|   85.889   pc  |  -0.3593     +0.3593  |paral   |2020yCat.1350....0G
53  |TYC 4553-784-1                                                                                           |Star                                |11 46 17.0792234664 +79 48 12.063171564|126.4902361963099 +36.8706369405649|  16.712 -4.662    |10.01    |~                 |    ~     ~    |    1|  348.444   pc  |  -1.4448     +1.4448  |paral   |2020yCat.1350....0G
54  |TYC 4553-1545-1                                                                                          |Star                                |11 52 04.8629650512 +78 55 34.131376020|126.5006192497569 +37.7875980276613|  42.600 -0.528    |10.88    |~                 |    ~     ~    |    1|  132.113   pc  |  -0.3421     +0.3421  |paral   |2020yCat.1350....0G
55  |TYC 4553-1563-1                                                                                          |Star                                |11 52 01.2220218888 +78 55 34.217257944|126.5041407839996 +37.7867343594032|  44.367 -3.591    |10.53    |~                 |    ~     ~    |    1|  132.876   pc  |  -0.2136     +0.2136  |paral   |2020yCat.1350....0G
56  |TYC 4556-637-1                                                                                           |High Proper Motion Star             |11 48 20.6225720448 +80 33 39.159674784|126.0979158443546 +36.1762697149930|-74.965 -14.384    |10.80    |~                 |    ~     ~    |    1|  289.293   pc  |  -0.9541     +0.9541  |paral   |2020yCat.1350....0G
57  |TYC 4556-1296-1                                                                                          |Star                                |11 46 41.3681217576 +80 59 39.203039976|126.0139036626564 +35.7431938764560|   6.925 -0.422    |10.93    |~                 |    ~     ~    |    1|  706.464   pc  |  -8.3847     +8.3847  |paral   |2020yCat.1350....0G
58  |TYC 4556-1301-1                                                                                          |Star                                |11 55 17.8706180352 +81 28 49.155456144|125.4572554061942 +35.3708872908514|   6.404 -7.701    |10.93    |~                 |    ~     ~    |    1|  298.258   pc  | -11.4756    +11.4756  |paral   |2020yCat.1350....0G
59  |BD+79 374                                                                                                |Star                                |11 47 02.7039417720 +78 42 59.085099108|126.8752799234966 +37.9142412598921|   1.131 -7.304    |9.11     |G5                |    ~     ~    |    1|  506.329   pc  |  -3.0764     +3.0764  |paral   |2020yCat.1350....0G
60  |HD 101997                                                                                                |Star                                |11 45 04.2396448296 +78 13 14.820696048|127.1948474106247 +38.3526443461203|    2.530 0.426    |8.59     |G5                |    ~     ~    |    1|  349.211   pc  |  -2.2682     +2.2682  |paral   |2020yCat.1350....0G
61  |BD+79 376                                                                                                |High Proper Motion Star             |11 51 56.8174869576 +78 24 36.031753512|126.6984671468173 +38.2796941411021|-47.844 -14.828    |9.77     |F8                |    ~     ~    |    1|  124.262   pc  |  -0.1683     +0.1683  |paral   |2020yCat.1350....0G
62  |HD 103470                                                                                                |High Proper Motion Star             |11 55 12.9329212776 +78 17 29.463814104|126.5395161426580 +38.4400961695543|-48.041 -14.326    |9.30     |G5                |    ~     ~    |    1|  122.802   pc  |  -0.2021     +0.2021  |paral   |2020yCat.1350....0G
63  |BD+79 380                                                                                                |High Proper Motion Star             |11 59 11.3323147752 +78 23 49.691430096|126.2567423614887 +38.3917380489266| -67.891 13.667    |9.93     |G0                |    ~     ~    |    1|  171.312   pc  |  -0.3815     +0.3815  |paral   |2020yCat.1350....0G
64  |HD 104073                                                                                                |Star                                |11 59 22.7239207896 +78 00 12.970259460|126.3740532414899 +38.7745613630185|   -1.935 8.844    |9.27     |K5                |    ~     ~    |    1|  605.877   pc  |  -4.8823     +4.8823  |paral   |2020yCat.1350....0G
65  |HD 102373                                                                                                |High Proper Motion Star             |11 47 39.5211819192 +76 13 57.177315372|127.8479854836047 +40.2808971237085|-35.302 -49.125    |8.84     |F5                |    ~     ~    |    1|  148.701   pc  |  -0.3140     +0.3140  |paral   |2020yCat.1350....0G
66  |BD+77 442                                                                                                |High Proper Motion Star             |11 48 49.8444820776 +77 00 50.479051824|127.4421671005469 +39.5608775702661| 68.349 -11.678    |10.19    |G0                |    ~     ~    |    1|  128.217   pc  |  -0.2186     +0.2186  |paral   |2020yCat.1350....0G
