C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1064|BD+43 2163                                                                                               |Star                                |11 53 11.6735523504 +42 29 18.324236256|156.8517498974210 +70.5961891979873|   -9.331 0.228    |9.81     |A2                |    ~     ~    |    1|  344.768   pc  |  -1.8900     +1.8900  |paral   |2020yCat.1350....0G
1065|BD+43 2164                                                                                               |Star                                |11 53 27.1580247240 +42 35 24.887601060|156.5402800976885 +70.5526333235511|    0.211 4.534    |9.7      |G8III             |    ~     ~    |    1|  708.466   pc  |  -6.8764     +6.8764  |paral   |2020yCat.1350....0G
1066|HD 103406                                                                                                |High Proper Motion Star             |11 54 26.7210151224 +43 09 48.725583012|155.0069572380759 +70.2409909651812| -39.398 32.455    |10.0     |G9III             |    ~     ~    |    1|  306.683   pc  |  -1.7870     +1.7870  |paral   |2020yCat.1350....0G
1067|BD+43 2167                                                                                               |Star                                |11 56 00.9306619560 +42 15 59.789011320|156.1171429623339 +71.1085999377337|   7.985 19.468    |10.1     |K0III             |    ~     ~    |    1|  377.230   pc  |  -2.8034     +2.8034  |paral   |2020yCat.1350....0G
1068|HD 103658                                                                                                |High Proper Motion Star             |11 56 18.1801871592 +43 01 43.485525408|154.4905191655423 +70.5621817864675|-65.569 -27.494    |10.3     |G6                |    ~     ~    |    1|  170.689   pc  |  -0.5506     +0.5506  |paral   |2020yCat.1350....0G
1069|HD 103693                                                                                                |Star                                |11 56 41.9400338112 +42 29 02.839843644|155.3847334096153 +71.0262734064386|  -42.941 1.734    |9.67     |F8                |    ~     ~    |    1|  159.714   pc  |  -0.4566     +0.4566  |paral   |2020yCat.1350....0G
1070|HD 103798                                                                                                |Star                                |11 57 17.0050031328 +42 30 25.009489152|155.0858714457228 +71.0783209566451|  17.428 -8.340    |9.86     |G0                |    ~     ~    |    1|  196.982   pc  |  -0.6984     +0.6984  |paral   |2020yCat.1350....0G
1071|HD 103954                                                                                                |Star                                |11 58 23.2703063736 +42 41 42.416102364|154.2335189862611 +71.0623128087348| 38.733 -22.550    |8.95     |F8                |    ~     ~    |    1|  148.412   pc  |  -2.7973     +2.7973  |paral   |2020yCat.1350....0G
1072|BD+43 2172                                                                                               |Star                                |11 59 08.8045955376 +42 27 58.997368332|154.3428725826032 +71.3280001410822|  6.997 -16.837    |10.75    |G0                |    ~     ~    |    1|  277.208   pc  |  -1.1988     +1.1988  |paral   |2020yCat.1350....0G
1073|NGC 4013                           NGC 4013                                                              |Galaxy towards a Group of Galaxies  |11 58 31.417 +43 56 49.28              |151.864592 +70.088826              |            ~ ~    |     ~   |~                 | 4.79  1.17    |    1|   16.60    Mpc |  -1.42       +1.42    |T-F     |2020ApJ...902..145K
1074|BD+44 2131                                                                                               |Star                                |11 50 19.6751211504 +43 27 59.032345032|156.0639485359851 +69.5195376081985|   5.473 -0.958    |9.77     |K4                |    ~     ~    |    1| 1676.727   pc  | -60.7265    +60.7265  |paral   |2020yCat.1350....0G
1075|BD+44 2142                                                                                               |Star                                |11 53 27.0 +43 16 24                   |155.2023 +70.0397                  |            ~ ~    |9.5      |~                 |    ~     ~    |    0|                |                       |        |                   
1076|BD+43 2157                                                                                               |Star                                |11 51 21.1742614872 +42 28 40.633580316|157.6181926770996 +70.3729258214075| 17.876 -40.574    |10.46    |G6                |    ~     ~    |    1|  309.511   pc  | -12.0705    +12.0705  |paral   |2020yCat.1350....0G
1077|TYC 3016-74-1                                                                                            |Star                                |11 51 12.0522576528 +44 09 32.870502432|154.4359799789693 +69.1024900844915| 37.956 -11.304    |10.83    |~                 |    ~     ~    |    1|  252.048   pc  |  -1.0800     +1.0800  |paral   |2020yCat.1350....0G
1078|TYC 3016-199-1                                                                                           |Horizontal Branch Star              |11 55 09.6475767408 +44 34 26.519753208|152.1555277917354 +69.2254518629629|  0.153 -17.706    |10.84    |~                 |    ~     ~    |    1| 1060.783   pc  | -16.2037    +16.2037  |paral   |2020yCat.1350....0G
1079|TYC 3016-322-1                                                                                           |Horizontal Branch Star              |11 53 18.6507215784 +44 52 50.468101824|152.3546494483229 +68.7817072045144| -5.476 -12.038    |10.87    |K0III             |    ~     ~    |    1|  900.414   pc  | -13.7827    +13.7827  |paral   |2020yCat.1350....0G
1080|GSC 03016-00645                                                                                          |Double or Multiple Star             |11 50 01.3538147616 +42 39 30.733298640|157.7750413219973 +70.0732774534898| -28.443 17.194    |10.534   |~                 |    ~     ~    |    1|  244.415   pc  |  -3.2259     +3.2259  |paral   |2020yCat.1350....0G
1081|TYC 3016-795-1                                                                                           |Star                                |11 51 08.2050719760 +43 48 38.804247756|155.1015900706342 +69.3589560871701| 16.297 -18.163    |10.96    |~                 |    ~     ~    |    1|  275.277   pc  |  -1.3185     +1.3185  |paral   |2020yCat.1350....0G
1082|TYC 3016-853-1                                                                                           |Star                                |11 53 09.9988034112 +43 36 24.894870588|154.6854736865306 +69.7526588731564| 34.500 -23.098    |10.24    |~                 |    ~     ~    |    1|  270.541   pc  |  -1.1638     +1.1638  |paral   |2020yCat.1350....0G
1083|TYC 3016-905-1                                                                                           |Star                                |11 52 17.6188249920 +42 32 22.398895392|157.1149315936056 +70.4462730234731| -0.906 -11.347    |10.91    |~                 |    ~     ~    |    1|  305.418   pc  |  -1.2500     +1.2500  |paral   |2020yCat.1350....0G
1084|TYC 3016-1210-1                                                                                          |Star                                |11 59 57.2051248392 +42 33 16.892400564|153.8076155646984 +71.3518513355085| 11.612 -34.592    |10.97    |~                 |    ~     ~    |    1|  283.913   pc  |  -1.1527     +1.1527  |paral   |2020yCat.1350....0G
1085|NGC 3938                           NGC 3938                                                              |Galaxy towards a Group of Galaxies  |11 52 49.4335936248 +44 07 14.697085116|153.8771125082530 +69.3190948068924|            ~ ~    |10.38    |~                 | 4.37  4.27    |    1|   13.400   Mpc |  +2.300      +2.300   |Flow    |2010ApJS..190..233M
1086|BD+42 2249                                                                                               |High Proper Motion Star             |11 50 23.6927305920 +41 57 48.406443876|159.0726053604184 +70.6186828097304|-61.795 -18.563    |10.95    |F8                |    ~     ~    |    1|  258.224   pc  |  -0.9802     +0.9802  |paral   |2020yCat.1350....0G
1087|HD 102759                                                                                                |Star                                |11 49 59.0819217792 +41 19 53.854596444|160.6105342640970 +71.0054765103816|  30.179 -3.594    |9.14     |G5                |    ~     ~    |    1|  150.639   pc  |  -2.4575     +2.4575  |paral   |2020yCat.1350....0G
1088|BD+42 2250                                                                                               |Spectroscopic Binary                |11 50 37.4169243168 +41 43 14.040889824|159.5024192022982 +70.8203363103645|  -1.116 -6.708    |10.0     |K1III             |    ~     ~    |    1|  736.648   pc  | -17.4191    +17.4191  |paral   |2020yCat.1350....0G
1089|BD+41 2239                                                                                               |Star                                |11 50 43.7990059032 +40 47 24.858626784|161.5387753938051 +71.4785014693375| 10.696 -36.684    |9.4      |K1III             |    ~     ~    |    1|  307.257   pc  |  -1.8126     +1.8126  |paral   |2020yCat.1350....0G
1090|BD+41 2240                                                                                               |High Proper Motion Star             |11 51 15.5396808888 +40 36 34.253896212|161.7431581936001 +71.6748229362898|-55.935 -46.566    |10.63    |G8III             |    ~     ~    |    1|  152.022   pc  |  -0.3651     +0.3651  |paral   |2020yCat.1350....0G
1091|BD+40 2471                                                                                               |Star                                |11 50 17.9902925304 +39 49 06.172236444|164.0362176561439 +72.0625432333632| -25.198 -7.150    |10.2     |K0III             |    ~     ~    |    1|  496.179   pc  |  -3.5698     +3.5698  |paral   |2020yCat.1350....0G
1092|BD+41 2238                                                                                               |Star                                |11 50 01.7081673288 +40 18 47.880784908|162.9421594794805 +71.6993777319698|   -0.645 5.940    |10.11    |F0                |    ~     ~    |    1|  376.194   pc  |  -2.9154     +2.9154  |paral   |2020yCat.1350....0G
1093|BD+41 2237                                                                                               |Star                                |11 49 50.8418 +40 24 13.874            |162.7989584 +71.6135917            | -38.952 26.317    |10.12    |G0:               |    ~     ~    |    0|                |                       |        |                   
1094|BD+42 2254                                                                                               |Star                                |11 53 41.2620416640 +41 56 40.845927264|157.7709427225667 +71.0575722494751| -12.483 -1.210    |10.6     |K4III:            |    ~     ~    |    1|  974.279   pc  | -15.3774    +15.3774  |paral   |2020yCat.1350....0G
1095|HD 103683                                                                                                |High Proper Motion Star             |11 56 22.8214838664 +42 00 49.735817784|156.4777744343361 +71.3431374981777|  -51.725 2.474    |7.041    |K0III             |    ~     ~    |    1|  202.237   pc  |  -1.3088     +1.3088  |paral   |2020yCat.1350....0G
1096|BD+42 2260                                                                                               |Star                                |11 59 08.8777197480 +42 04 36.048907956|155.1198520885958 +71.6295974793829|-43.916 -21.834    |9.99     |G0                |    ~     ~    |    1|  117.328   pc  |  -0.1955     +0.1955  |paral   |2020yCat.1350....0G
1097|BD+42 2251                                                                                               |High Proper Motion Star             |11 52 21.5637623592 +41 51 32.407881120|158.5024434629662 +70.9492543243153| -62.766 42.954    |9.85     |F5                |    ~     ~    |    1|  158.544   pc  |  -0.4349     +0.4349  |paral   |2020yCat.1350....0G
1098|HD 103943                                                                                                |High Proper Motion Star             |11 58 20.8562780208 +41 49 51.638131308|155.9855876863887 +71.7213147201442|-66.299 -29.413    |9.8      |G5                |    ~     ~    |    1|  149.853   pc  |  -0.4132     +0.4132  |paral   |2020yCat.1350....0G
1099|BD+42 2252                                                                                               |High Proper Motion Star             |11 52 52.7558704272 +41 25 27.783430608|159.2271026679221 +71.3280033747861|-97.144 -74.378    |9.7      |G7III             |    ~     ~    |    1|  143.509   pc  |  -0.3419     +0.3419  |paral   |2020yCat.1350....0G
1100|BD+42 2253                                                                                               |Star                                |11 53 26.6209704264 +41 35 23.821487916|158.6303645639879 +71.2833293936888| -20.660 -2.678    |9.4      |K2III             |    ~     ~    |    1|  378.258   pc  |  -2.1891     +2.1891  |paral   |2020yCat.1350....0G
1101|BD+42 2255                                                                                               |High Proper Motion Star             |11 55 13.6359115608 +41 36 00.060687324|157.8499980289778 +71.5053958111044|-47.897 -80.358    |9.38     |G5                |    ~     ~    |    1|  122.220   pc  |  -0.2017     +0.2017  |paral   |2020yCat.1350....0G
1102|HD 103769                                                                                                |Star                                |11 57 04.2864399264 +41 23 31.608013020|157.4890161371671 +71.8922075307077|  -21.658 1.413    |9.0      |G8III             |    ~     ~    |    1|  464.037   pc  |  -3.3592     +3.3592  |paral   |2020yCat.1350....0G
1103|HD 103109                                                                                                |Star                                |11 52 29.3023248912 +40 17 43.356757524|161.9753000679222 +72.0597376521773|   -2.196 0.114    |8.94     |F5                |    ~     ~    |    1|  248.490   pc  |  -1.9821     +1.9821  |paral   |2020yCat.1350....0G
1104|BD+41 2242                                                                                               |Star                                |11 52 59.1793242936 +40 18 07.722374004|161.7492083863547 +72.1247549962000| -14.390 -6.683    |10.01    |F8                |    ~     ~    |    1|  330.775   pc  |  -1.8600     +1.8600  |paral   |2020yCat.1350....0G
1105|BD+41 2243                                                                                               |Star                                |11 53 02.0310399456 +40 11 41.404121484|161.9858068014812 +72.2044198785701|   4.271 22.596    |10.84    |G8III             |    ~     ~    |    1|  289.436   pc  |  -1.6168     +1.6168  |paral   |2020yCat.1350....0G
1106|HD 103309                                                                                                |High Proper Motion Star             |11 53 50.4517629648 +40 54 46.439332380|159.9639205641904 +71.8180337745989|-36.137 -60.579    |6.731    |K1III             |    ~     ~    |    1|  150.137   pc  |  -0.4779     +0.4779  |paral   |2020yCat.1350....0G
1107|BD+41 2246                                                                                               |High Proper Motion Star             |11 55 05.9331070344 +40 44 50.602964244|159.7983739961527 +72.1033330999336| -69.445 28.510    |10.51    |G7                |    ~     ~    |    1|  122.974   pc  |  -0.2843     +0.2843  |paral   |2020yCat.1350....0G
1108|HD 103612                                                                                                |Star                                |11 56 03.5573904288 +40 38 51.412404624|159.6040002847128 +72.3022366017223| -1.462 -30.153    |6.898    |K0III             |    ~     ~    |    1|  215.871   pc  |  -0.8994     +0.8994  |paral   |2020yCat.1350....0G
1109|HD 103739                                                                                                |Double or Multiple Star             |11 56 53.86917 +40 21 21.5476          |159.90590802 +72.62189301          |    -32.81 0.33    |8.77     |F8                |    ~     ~    |    0|                |                       |        |                   
1110|HD 103770                                                                                                |Star                                |11 57 06.6977965944 +40 17 20.345387820|159.9665502511981 +72.6982031088192|  -31.203 2.537    |7.1      |K0III             |    ~     ~    |    1|  190.302   pc  |  -0.6700     +0.6700  |paral   |2020yCat.1350....0G
1111|HD 103812                                                                                                |High Proper Motion Star             |11 57 24.4097889624 +40 55 24.562912980|158.3710514887487 +72.2795002115472|  -63.017 9.655    |9.30     |G5                |    ~     ~    |    1|   91.384   pc  |  -0.1311     +0.1311  |paral   |2020yCat.1350....0G
1112|BD+41 2259                                                                                               |High Proper Motion Star             |11 58 14.5409490456 +40 15 52.492439484|159.5030171852056 +72.8663743436773|-54.246 -18.004    |9.49     |G0                |    ~     ~    |    1|  124.321   pc  |  -1.3431     +1.3431  |paral   |2020yCat.1350....0G
1113|BD+41 2261                                                                                               |Star                                |11 59 26.3909356152 +41 01 21.399322008|157.2141402056402 +72.4648198279868|-16.994 -26.047    |9.72     |G0                |    ~     ~    |    1|  126.566   pc  |  -0.7048     +0.7048  |paral   |2020yCat.1350....0G
1114|BD+41 2262                                                                                               |High Proper Motion Star             |11 59 27.0369044688 +41 08 39.816951900|156.9418859046494 +72.3749689040943| -63.652 -1.748    |10.1     |K0III             |    ~     ~    |    1|  337.769   pc  |  -4.9514     +4.9514  |paral   |2020yCat.1350....0G
1115|HD 103140                                                                                                |High Proper Motion Star             |11 52 38.8102807536 +40 07 52.321612944|162.3027235629313 +72.1930440980294|-92.003 -101.538   |8.6      |K0III             |    ~     ~    |    1|  105.639   pc  |  -0.2109     +0.2109  |paral   |2020yCat.1350....0G
1116|BD+40 2477                                                                                               |High Proper Motion Star             |11 55 30.0059651544 +39 48 26.916714108|161.8555882815076 +72.8139968575313|-65.797 -31.429    |9.7      |G8III             |    ~     ~    |    1|  698.714   pc  |  -8.1530     +8.1530  |paral   |2020yCat.1350....0G
1117|HD 103985                                                                                                |Star                                |11 58 36.1852270248 +40 10 48.205754292|159.5343238528538 +72.9750088650203|-35.653 -26.137    |8.2      |K3III             |    ~     ~    |    1|  409.266   pc  |  -4.4722     +4.4722  |paral   |2020yCat.1350....0G
1118|BD+40 2487                                                                                               |Double or Multiple Star             |11 59 39.3125569176 +40 05 49.440304860|159.2326708116504 +73.1740314232100|  -2.284 -9.541    |10.863   |G9III             |    ~     ~    |    1|  984.349   pc  | -13.3714    +13.3714  |paral   |2020yCat.1350....0G
1119|HD 104128                                                                                                |Star                                |11 59 39.4638775200 +39 59 59.662227516|159.4635995757587 +73.2446731625872|-13.039 -10.547    |8.4      |K1III             |    ~     ~    |    1|  334.773   pc  |  -2.5665     +2.5665  |paral   |2020yCat.1350....0G
1120|HD 103324                                                                                                |High Proper Motion Star             |11 53 57.6496827024 +39 36 34.918311204|163.0237675827711 +72.7300036198567|-51.924 -15.785    |8.1      |G9III             |    ~     ~    |    1|  227.899   pc  |  -1.4231     +1.4231  |paral   |2020yCat.1350....0G
1121|BD+40 2476                                                                                               |Star                                |11 55 14.5819887024 +39 43 17.127750072|162.1826659751591 +72.8367464897042|-16.570 -23.373    |9.78     |F2                |    ~     ~    |    1|  255.984   pc  |  -1.0026     +1.0026  |paral   |2020yCat.1350....0G
1122|BD+40 2481                                                                                               |Star                                |11 57 01.0563186384 +39 37 54.171425820|161.6042804054494 +73.1466145059041|   1.813 -3.523    |10.41    |G9III             |    ~     ~    |    1|  767.048   pc  |  -9.3550     +9.3550  |paral   |2020yCat.1350....0G
1123|BD+40 2484                                                                                               |Star                                |11 58 04.8484368288 +39 41 32.935122384|160.9602527432514 +73.2510551736556|  -2.184 21.519    |10.08    |F8                |    ~     ~    |    1|  264.047   pc  |  -1.4641     +1.4641  |paral   |2020yCat.1350....0G
1124|BD+40 2480                                                                                               |Star                                |11 56 55.7030890992 +39 25 44.487472728|162.1542422330232 +73.2736664053191|    1.795 0.210    |10.99    |A5                |    ~     ~    |    1|  608.051   pc  |  -8.4297     +8.4297  |paral   |2020yCat.1350....0G
1125|BD+40 2486                                                                                               |Star                                |11 59 26.2580811576 +40 08 24.267912900|159.2344385036102 +73.1142018080794| -46.363 -5.425    |10.14    |F5                |    ~     ~    |    1|  257.248   pc  |  -5.1485     +5.1485  |paral   |2020yCat.1350....0G
1126|TYC 3014-700-1                                                                                           |High Proper Motion Star             |11 56 10.0040182464 +40 16 21.202655448|160.4329410267806 +72.5825223895034|-52.298 -12.410    |10.95    |F                 |    ~     ~    |    1|  283.399   pc  |  -1.1565     +1.1565  |paral   |2020yCat.1350....0G
1127|BD+41 2249                                                                                               |Star                                |11 56 40.6908131016 +40 43 13.255151592|159.1601564980149 +72.3319130588464|  -11.064 7.330    |10.05    |F5                |    ~     ~    |    1|  347.041   pc  |  -1.8788     +1.8788  |paral   |2020yCat.1350....0G
1128|BD+41 2256                                                                                               |Star                                |11 57 50.7219725472 +40 56 18.310115508|158.1381051928017 +72.3249837780764|   4.058 -4.133    |10.96    |G0                |    ~     ~    |    1|  341.799   pc  |  -1.7057     +1.7057  |paral   |2020yCat.1350....0G
1129|BD+41 2258                                                                                               |Star                                |11 58 07.5230066880 +40 28 00.211207836|159.0842987496712 +72.7051187490874| 22.728 -23.905    |10.46    |G0                |    ~     ~    |    1|  160.655   pc  |  -1.3034     +1.3034  |paral   |2020yCat.1350....0G
1130|BD+41 2260                                                                                               |Star                                |11 58 26.0748169488 +40 26 41.646216444|158.9914041356001 +72.7614703074762|-14.911 -18.644    |10.76    |K0III             |    ~     ~    |    1| 1301.575   pc  | -23.3785    +23.3785  |paral   |2020yCat.1350....0G
1131|TYC 3016-1156-1                                                                                          |Star                                |11 58 23.8229504904 +41 38 45.143590272|156.3506194967692 +71.8674469670641|  0.649 -15.643    |10.72    |F5                |    ~     ~    |    1|  432.975   pc  |  -4.0306     +4.0306  |paral   |2020yCat.1350....0G
1132|BD+42 2258                                                                                               |High Proper Motion Star             |11 57 44.1745405992 +41 15 52.377680808|157.4674087455584 +72.0705455502076| -83.464 -0.128    |10.52    |G5                |    ~     ~    |    1|  241.260   pc  |  -1.1700     +1.1700  |paral   |2020yCat.1350....0G
1133|TYC 3014-758-1                                                                                           |Star                                |11 51 14.3047302600 +39 38 36.910560444|164.0886265919808 +72.3132614692561| -20.404 14.563    |10.91    |G9III             |    ~     ~    |    1|  455.353   pc  |  -2.8199     +2.8199  |paral   |2020yCat.1350....0G
1134|TYC 3014-1043-1                                                                                          |Star                                |11 58 09.5439919632 +40 34 44.296812768|158.8093483205410 +72.6281128861985|-10.444 -22.224    |10.94    |~                 |    ~     ~    |    1|  349.565   pc  |  -2.1995     +2.1995  |paral   |2020yCat.1350....0G
1135|TYC 3014-1183-1                                                                                          |Star                                |11 56 39.4818057240 +39 58 58.596388104|160.9055873274023 +72.8526707257098| -25.268 -8.553    |10.82    |K2:               |    ~     ~    |    1| 2769.316   pc  |-117.3374   +117.3374  |paral   |2020yCat.1350....0G
1136|BD+41 2257                                                                                               |Star                                |11 57 55.5709131768 +40 52 31.088915904|158.2426968339462 +72.3816548688097|   1.527 -3.582    |10.0     |F5                |    ~     ~    |    1|  244.218   pc  |  -1.0020     +1.0020  |paral   |2020yCat.1350....0G
1137|TYC 3014-1690-1                                                                                          |Star                                |11 48 45.5765037864 +40 35 17.758952304|162.7939390418542 +71.3365180198250|-21.383 -20.394    |10.76    |~                 |    ~     ~    |    1|  257.096   pc  |  -1.0708     +1.0708  |paral   |2020yCat.1350....0G
1138|TYC 3014-1799-1                                                                                          |Star                                |11 50 27.4848369456 +40 16 53.613171732|162.8449977415060 +71.7817848812380|  -0.333 -3.225    |10.93    |K0III             |    ~     ~    |    1|  950.119   pc  | -12.3673    +12.3673  |paral   |2020yCat.1350....0G
1139|TYC 3016-1714-1                                                                                          |Star                                |11 49 10.5168381984 +41 31 49.520979408|160.4899940671884 +70.7585371379749|  -10.647 0.742    |10.36    |K5V:              |    ~     ~    |    1| 1426.534   pc  | -37.6475    +37.6475  |paral   |2020yCat.1350....0G
1140|BD+40 2470                                                                                               |Double or Multiple Star             |11 49 58.1244015816 +39 16 21.062045316|165.5456306034299 +72.3616047201780|  -3.888 -3.706    |10.600   |K3III             |    ~     ~    |    1| 1138.434   pc  | -23.0693    +23.0693  |paral   |2020yCat.1350....0G
1141|BD+39 2470                                                                                               |Star                                |11 49 04.4155377912 +38 38 07.419923664|167.5725164689686 +72.6151816698354|  -15.560 1.954    |9.5      |K3IV              |    ~     ~    |    1|  868.734   pc  | -16.4524    +16.4524  |paral   |2020yCat.1350....0G
1142|HD 102799                                                                                                |High Proper Motion Star             |11 50 11.2329257376 +38 47 25.473077340|166.7172920850312 +72.6940076777716|-127.829 -23.934   |8.73     |G0                |    ~     ~    |    1|  121.832   pc  |  -0.2716     +0.2716  |paral   |2020yCat.1350....0G
1143|BD+39 2473                                                                                               |Star                                |11 51 03.0909863712 +38 40 37.264997784|166.6697946966491 +72.8966649619019|  3.038 -16.735    |9.85     |F8                |    ~     ~    |    1|  287.455   pc  |  -1.3551     +1.3551  |paral   |2020yCat.1350....0G
1144|V* V347 UMa                                                                                              |Rotating Variable                   |11 49 03.6426728664 +38 00 31.483459260|169.2920149445728 +72.9814481348673|-23.318 -40.201    |10.63    |G7III:            |    ~     ~    |    1|  234.714   pc  |  -1.0412     +1.0412  |paral   |2020yCat.1350....0G
1145|BD+38 2283                                                                                               |Double or Multiple Star             |11 49 52.11682 +37 54 18.9925          |169.26660607 +73.17121775          |  -54.78 -61.56    |9.98     |G8V               |    ~     ~    |    0|                |                       |        |                   
1146|BD+38 2284                                                                                               |Star                                |11 50 42.0479604360 +37 20 22.657281360|170.5643906998108 +73.6291265782977| -13.212 -6.612    |10.4     |K1III             |    ~     ~    |    1|  804.829   pc  |  -9.1980     +9.1980  |paral   |2020yCat.1350....0G
1147|HD 102645                                                                                                |Star                                |11 49 08.6277496512 +37 06 57.981464244|171.8273928780591 +73.4939045614411| -2.020 -30.846    |8.3      |K0III             |    ~     ~    |    1|  289.830   pc  |  -2.3856     +2.3856  |paral   |2020yCat.1350....0G
1148|HD 102760                                                                                                |Double or Multiple Star             |11 49 56.5502466408 +36 44 53.618380944|172.6267966491497 +73.8259208243762| -16.058 -0.599    |9.12     |G5                |0.0017  0.0    |    1|  237.057   pc  | -22.8717    +22.8717  |paral   |2020yCat.1350....0G
1149|BD+37 2219                                                                                               |Double or Multiple Star             |11 51 00.6810230890 +36 53 20.972795504|171.7842255721497 +73.9302333709776| 15.959 -45.408    |9.016    |K0III             |    ~     ~    |    1|  245.73    pc  |  -9.4258     +9.4258  |paral   |2018yCat.1345....0G
1150|HD 102941                                                                                                |Star                                |11 51 07.1239116984 +36 50 06.696755844|171.9055617466610 +73.9776546402739|  18.398 -4.544    |7.556    |K0III             |    ~     ~    |    1|  216.863   pc  |  -0.9829     +0.9829  |paral   |2020yCat.1350....0G
1151|V* HU UMa                                                                                                |Double or Multiple Star             |11 50 18.97113 +37 40 51.1206          |169.72744545 +73.37267271          | -126.96 -64.76    |10.94    |M0V               |    ~     ~    |    0|                |                       |        |                   
1152|BD+46 1748                                                                                               |Star                                |11 49 09.6062219232 +45 52 58.914748344|152.2162791544974 +67.5434796266176|    1.366 3.612    |10.24    |F2                |    ~     ~    |    1|  286.041   pc  |  -1.4809     +1.4809  |paral   |2020yCat.1350....0G
1153|BD+39 2472                                                                                               |Star                                |11 50 51.8707057416 +38 54 36.222613776|166.1266724778008 +72.7238251998808|  -2.560 48.871    |10.73    |G5                |    ~     ~    |    1|  123.221   pc  |  -0.2353     +0.2353  |paral   |2020yCat.1350....0G
1154|BD+40 2475                                                                                               |Star                                |11 54 44.1036610392 +39 15 08.316740916|163.5928108332029 +73.0794308306861|   8.721 -0.974    |9.76     |F5                |    ~     ~    |    1|  197.656   pc  |  -1.3400     +1.3400  |paral   |2020yCat.1350....0G
1155|BD+40 2479                                                                                               |Star                                |11 56 24.7612908840 +39 14 51.881965224|162.8526523719872 +73.3238733240675| -25.335 -9.076    |9.99     |F5                |    ~     ~    |    1|  282.829   pc  |  -1.3679     +1.3679  |paral   |2020yCat.1350....0G
1156|BD+40 2482                                                                                               |Spectroscopic Binary                |11 57 03.9045287952 +39 21 38.147582844|162.2650018282716 +73.3397537239387|   -3.391 7.666    |9.85     |G0                |    ~     ~    |    1|  192.831   pc  | -10.2367    +10.2367  |paral   |2020yCat.1350....0G
1157|BD+39 2475                                                                                               |Star                                |11 52 26.8421751720 +39 03 46.360400220|165.0698643160685 +72.8661291170271|  -38.053 2.981    |10.33    |F8                |    ~     ~    |    1|  183.604   pc  |  -0.5360     +0.5360  |paral   |2020yCat.1350....0G
1158|BD+39 2476                                                                                               |Star                                |11 54 19.4715074112 +38 42 58.125093408|165.1811673189490 +73.3687250681758|  -0.496 37.049    |10.59    |G8IV              |    ~     ~    |    1|   83.545   pc  |  -0.1194     +0.1194  |paral   |2020yCat.1350....0G
1159|BD+39 2477                                                                                               |Star                                |11 55 07.3031028672 +38 19 13.868021316|165.9060200066380 +73.7411940357714|-17.943 -18.894    |10.33    |G7III             |    ~     ~    |    1|  118.778   pc  |  -0.2469     +0.2469  |paral   |2020yCat.1350....0G
1160|HD 103520                                                                                                |High Proper Motion Star             |11 55 22.5814668864 +38 45 24.867491112|164.6069987838945 +73.4988557422082| 56.478 -24.226    |7.019    |K0III             |    ~     ~    |    1|  181.032   pc  |  -0.7439     +0.7439  |paral   |2020yCat.1350....0G
1161|BD+39 2480                                                                                               |Star                                |11 57 21.4188890136 +38 47 45.195585000|163.5994500159741 +73.7632642384936|  9.485 -10.508    |9.4      |G8III             |    ~     ~    |    1|  534.274   pc  |  -4.5386     +4.5386  |paral   |2020yCat.1350....0G
1162|HD 103095                                                                                                |Chemically Peculiar Star            |11 52 58.7673387755 +37 43 07.254113125|168.5310032095700 +73.7783033636523|4002.655 -5817.800 |6.45     |K1V_Fe-1.5        |    ~     ~    |    1|    9.1718  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
1163|TYC 3014-246-1                                                                                           |Star                                |11 52 51.2626608264 +37 52 17.777171208|168.1460767218566 +73.6671456203803| 10.126 -31.295    |10.86    |K0III             |    ~     ~    |    1|  533.846   pc  | -14.5061    +14.5061  |paral   |2020yCat.1350....0G
1164|BD+38 2287                                                                                               |Star                                |11 53 18.5794 +38 08 50.030            |167.1762372 +73.5712079            |  17.332 -1.649    |10.39    |F8III             |    ~     ~    |    0|                |                       |        |                   
1165|HD 103353                                                                                                |High Proper Motion Star             |11 54 04.7465639088 +37 57 07.589017188|167.3945479394118 +73.8105008634340|-91.597 -42.174    |9.03     |F5/6V             |    ~     ~    |    1|  144.202   pc  |  -0.4200     +0.4200  |paral   |2020yCat.1350....0G
1166|BD+38 2290                                                                                               |High Proper Motion Star             |11 55 09.8631224160 +37 45 33.319172052|167.4706927297978 +74.0979731341468|-19.768 -50.530    |10.68    |G6III             |    ~     ~    |    1|  749.457   pc  | -13.1996    +13.1996  |paral   |2020yCat.1350....0G
