C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1126|HD 214426                                                             |Star                          |22 38 10.5597899928 -12 47 07.293591096|050.9907935217503 -55.7098791090082| 30.350 -13.238   |9.69     |K0/1III         |    ~     ~    
1127|HD 214615B                                                            |High Proper Motion Star       |22 39 34.4119711248 -12 36 53.705936196|051.5568576056929 -55.9197893693988|228.173 -167.990  |8.68     |G9Vk:           |    ~     ~    
1128|HD 214631                                                             |High Proper Motion Star       |22 39 42.1742875368 -12 17 34.746917136|052.0799229574596 -55.7840333639678|-49.583 -82.924   |9.08     |G5V             |    ~     ~    
1129|TYC 5814-629-1                                                        |Star                          |22 32 40.4789343144 -10 48 23.111540316|052.7446265908793 -53.5422656875646|  5.677 -16.343   |10.81    |~               |    ~     ~    
1130|BD-12 6293                                                            |High Proper Motion Star       |22 33 00.2443846296 -11 42 51.104608200|051.4974435245576 -54.0792286154347|103.003 -23.034   |10.863   |~               |    ~     ~    
1131|BD-13 6218                                                            |Star                          |22 34 03.2552892144 -12 40 14.327023584|050.2937481283504 -54.7795357455514|-13.868 -22.870   |10.57    |~               |    ~     ~    
1132|BD-11 5866                                                            |Star                          |22 34 12.4785034920 -10 42 07.990062696|053.2282282071038 -53.8080135556464| -10.061 -5.643   |10.788   |~               |    ~     ~    
1133|BD-11 5870                                                            |Star                          |22 34 58.5003848880 -10 46 24.228219180|053.2943643819094 -54.0056062798824| -5.791 -22.018   |10.42    |~               |    ~     ~    
1134|BD-11 5872                                                            |High Proper Motion Star       |22 35 08.3844500592 -10 41 51.422156916|053.4402014952313 -53.9998910772633|-24.961 -54.766   |10.57    |~               |    ~     ~    
1135|BD-12 6306                                                            |Star                          |22 35 45.9465501984 -11 48 08.747386704|051.9583149254443 -54.7058701124820|-14.995 -41.569   |10.65    |~               |    ~     ~    
1136|BD-12 6316                                                            |High Proper Motion Star       |22 37 09.4082808336 -11 33 17.199335088|052.6305431181151 -54.8704099017067| 49.219 -20.813   |10.404   |~               |    ~     ~    
1137|BD-13 6229                                                            |Star                          |22 37 50.4914934144 -12 33 24.501127824|051.2694250582971 -55.5251246936240|  -6.169 -8.350   |10.26    |~               |    ~     ~    
1138|BD-11 5884                                                            |High Proper Motion Star       |22 37 51.1092841080 -10 56 40.762069872|053.6863740491256 -54.6955551734633| -87.603 18.662   |10.55    |~               |    ~     ~    
1139|BD-11 5885                                                            |High Proper Motion Star       |22 38 14.6495346408 -11 05 35.506424364|053.5563313834523 -54.8558904420442| 56.430 -10.227   |10.899   |~               |    ~     ~    
1140|BD-12 6319                                                            |Star                          |22 38 18.4444135440 -11 46 01.634053188|052.5678042841850 -55.2213515745112|  39.670 -9.601   |10.807   |~               |    ~     ~    
1141|BD-13 6232                                                            |Star                          |22 39 14.5172689320 -12 54 20.691933912|051.0347241008906 -55.9951714459330| -11.823 -4.548   |10.63    |~               |    ~     ~    
1142|BD-13 6234                                                            |Star                          |22 39 18.2456283024 -12 35 36.095097300|051.5311199452923 -55.8521307285885|  10.480 -9.758   |10.633   |~               |    ~     ~    
1143|BD-12 6326                                                            |High Proper Motion Star       |22 40 36.3869422584 -11 45 39.933796824|053.0919141548293 -55.6992165094470|  68.744 21.954   |10.525   |~               |    ~     ~    
1144|BD-13 6239                                                            |Star                          |22 40 42.9696027216 -12 34 00.843981456|051.8828188075898 -56.1362430298901| -4.903 -11.506   |10.094   |~               |    ~     ~    
1145|BD-11 5868                                                            |Star                          |22 34 35.7943154616 -11 10 25.031773056|052.6304916115590 -54.1362113112804| -11.360 -6.437   |10.75    |~               |    ~     ~    
1146|BD-12 6304                                                            |Star                          |22 34 47.1115334688 -11 57 38.274755760|051.5120516467814 -54.5798167416410|  6.022 -14.978   |10.71    |~               |    ~     ~    
1147|BD-12 6305                                                            |Star                          |22 34 49.4917541448 -11 21 56.830781376|052.3991843116046 -54.2837317745897| 24.784 -13.309   |10.48    |~               |    ~     ~    
1148|BD-12 6312                                                            |High Proper Motion Star       |22 36 42.7198528056 -11 45 11.743909956|052.2373699249464 -54.8795380230819|-63.186 -76.326   |10.50    |~               |    ~     ~    
1149|BD-11 5882                                                            |Star                          |22 37 35.0578955880 -11 12 48.370117068|053.2309387594487 -54.7816989346012| -1.579 -11.914   |10.749   |~               |    ~     ~    
1150|BD-11 5888                                                            |Star                          |22 38 37.3864599888 -10 50 26.753847468|054.0133713494188 -54.8005572774772|  4.503 -24.288   |10.99    |~               |    ~     ~    
1151|BD-12 6324                                                            |High Proper Motion Star       |22 40 25.7017870248 -12 00 21.361439844|052.6799079503780 -55.7890012618524|-17.606 -63.406   |10.61    |~               |    ~     ~    
1152|BD-12 6325                                                            |Star                          |22 40 28.7978652384 -12 06 01.545019632|052.5473583317618 -55.8485249307993|  3.582 -10.132   |10.802   |~               |    ~     ~    
1153|BD-12 6311                                                            |Star                          |22 36 25.8027014112 -11 46 07.619465460|052.1526929053033 -54.8282844107404|-13.740 -15.372   |10.75    |~               |    ~     ~    
1154|TYC 5814-156-1                                                        |Star                          |22 31 45.8659570056 -11 59 55.630852152|050.8188914624896 -53.9606546961609| -21.498 -3.064   |10.709   |~               |    ~     ~    
1155|TYC 5814-215-1                                                        |Star                          |22 34 27.7675068888 -11 30 54.449768916|052.1016303234914 -54.2846890648852|   0.404 -8.186   |10.88    |~               |    ~     ~    
1156|TYC 5814-1054-1                                                       |Star                          |22 31 45.9927324504 -12 15 52.220076768|050.4270087955040 -54.0933886842230|   2.901 -4.559   |10.84    |~               |    ~     ~    
1157|BD-14 6327                                                            |Star                          |22 42 00.0366780240 -13 16 22.535172552|051.0603276799252 -56.7605857632738| 11.123 -15.338   |10.817   |~               |    ~     ~    
1158|BD-13 6248                                                            |Double or Multiple Star       |22 42 39.97680 -13 06 48.7980          |051.45986387 -56.82197192          |            ~ ~   |10.79    |~               |    ~     ~    
1159|BD-13 6253                                                            |Star                          |22 43 26.4910240944 -13 01 18.533286948|051.7782703783811 -56.9394104842741| -6.626 -13.815   |10.452   |~               |    ~     ~    
1160|HD 215313                                                             |Star                          |22 44 23.1905822280 -13 08 29.299534656|051.8006007824786 -57.1984942344911|  17.900 -4.912   |10.261   |K0/1(III)       |    ~     ~    
1161|HD 215340                                                             |Star                          |22 44 36.1812473448 -13 03 52.076313000|051.9724250576073 -57.2053135427252| 27.352 -26.103   |10.11    |K1(III)         |    ~     ~    
1162|HD 214964                                                             |Star                          |22 42 02.2095092040 -11 34 08.494713012|053.7096276241435 -55.8966292010717|   -8.007 0.410   |10.16    |A1IV            |    ~     ~    
1163|HD 214984                                                             |Star                          |22 42 09.9112531224 -11 29 44.797944120|053.8501463579203 -55.8845982737793|  10.243 -6.783   |10.19    |K0III           |    ~     ~    
1164|HD 215098                                                             |High Proper Motion Star       |22 43 00.2536101576 -11 26 35.804561352|054.1245484674889 -56.0309512537041| 108.912 48.601   |8.99     |K1V             |    ~     ~    
1165|HD 215233                                                             |High Proper Motion Star       |22 43 50.7809132664 -11 28 59.411694576|054.2611934673811 -56.2268186311776|  84.711 55.044   |8.91     |F6V             |    ~     ~    
1166|HD 214873                                                             |Star                          |22 41 25.6451568648 -12 13 47.764006068|052.5617374420276 -56.1137038061444| 14.415 -12.408   |6.75     |K2III           |    ~     ~    
1167|HD 215070                                                             |High Proper Motion Star       |22 42 44.7044545416 -11 48 22.688610732|053.5118702599962 -56.1689458764906| 63.043 -59.014   |9.43     |K0III           |    ~     ~    
1168|HD 215218                                                             |Star                          |22 43 48.1927619952 -11 45 41.847845616|053.8257411689002 -56.3656089775410|  -9.073 -8.346   |9.898    |F5V             |    ~     ~    
1169|HD 214874                                                             |Star                          |22 41 23.4169222008 -12 37 26.062286196|051.9441850074380 -56.3069399290351| -5.354 -18.655   |9.06     |F8/G0V          |    ~     ~    
1170|HD 214899                                                             |Star                          |22 41 32.7207907080 -12 31 54.344320536|052.1218882842420 -56.2927810582314|-29.655 -26.502   |9.70     |K0/1(III)       |    ~     ~    
1171|HD 214910                                                             |High Proper Motion Star       |22 41 45.7502357784 -12 52 55.281333216|051.6240106981396 -56.5154749424547| 60.642 -41.681   |9.51     |F6/7V           |    ~     ~    
1172|HD 214934                                                             |Star                          |22 41 54.7972646112 -12 23 59.837747316|052.4087735131826 -56.3027867325865| 22.877 -30.794   |9.71     |G0V             |    ~     ~    
1173|HD 215047                                                             |Star                          |22 42 32.2364751168 -12 33 34.932256524|052.3012023161618 -56.5153335941677|-28.917 -10.015   |7.43     |B9IV            |    ~     ~    
1174|HD 215100                                                             |Star                          |22 42 56.5670860488 -12 21 00.084829860|052.7193849341461 -56.4929001462348| 23.421 -18.292   |8.56     |K0III           |    ~     ~    
1175|HD 215099                                                             |High Proper Motion Star       |22 43 01.0445712000 -12 20 00.152156868|052.7622429242639 -56.4999461973254| 88.311 -16.714   |8.35     |G1V             |    ~     ~    
1176|BD-11 5903                                                            |Star                          |22 43 00.2493 -10 38 57.523            |055.3144537 -55.6026198            | -27.139 -1.101   |10.586   |~               |    ~     ~    
1177|BD-11 5906                                                            |Star                          |22 43 45.3032722392 -11 06 43.222387644|054.8014690482002 -56.0087699895381|   9.652 -2.058   |10.202   |~               |    ~     ~    
1178|TYC 5818-471-1                                                        |Star                          |22 41 31.9467649968 -12 36 12.333845880|052.0077113712039 -56.3264611614970|   2.394 -6.636   |10.93    |~               |    ~     ~    
1179|BD-13 6245                                                            |Star                          |22 41 46.928904 -12 15 45.98532        |052.591171429 -56.204920237        |    -14.2 -12.2   |10.915   |~               |    ~     ~    
1180|BD-13 6251                                                            |Star                          |22 43 02.5760541984 -12 18 00.513545796|052.8196467954496 -56.4881501133555|   0.639 -1.414   |10.673   |~               |    ~     ~    
1181|BD-13 6252                                                            |Star                          |22 43 05.6231635416 -12 43 18.895466064|052.1729855764108 -56.7147332623380|   39.446 4.439   |10.881   |~               |    ~     ~    
1182|HD 215261                                                             |Star                          |22 44 03.0355272192 -12 41 10.313353356|052.4461867537564 -56.8973866423540| -9.947 -28.168   |8.65     |K0III           |    ~     ~    
1183|BD-13 6259                                                            |High Proper Motion Star       |22 44 34.3921514640 -12 39 53.017124184|052.5995093826407 -56.9959567249075| 61.812 -28.938   |10.08    |~               |    ~     ~    
1184|BD-13 6261                                                            |Star                          |22 44 35.0034542928 -12 18 15.763628412|053.1673088176537 -56.8122937357209|    5.976 0.491   |10.74    |~               |    ~     ~    
1185|BD-13 6256                                                            |Star                          |22 44 00.1675116504 -12 40 16.388845716|052.4588647833687 -56.8797137286684|-17.360 -11.099   |10.241   |~               |    ~     ~    
1186|TYC 5815-267-1                                                        |High Proper Motion Star       |22 43 50.4139266552 -12 12 10.417718844|053.1535256862536 -56.6044358873658|   54.524 5.971   |10.888   |~               |    ~     ~    
1187|TYC 5815-702-1                                                        |Star                          |22 42 55.6332552792 -10 56 17.521714572|054.8663596069790 -55.7439141683060|   8.686 -7.276   |10.876   |~               |    ~     ~    
1188|TYC 5815-861-1                                                        |Star                          |22 44 22.5222772440 -10 54 53.543015496|055.2455114881049 -56.0297311086986|  10.309 -0.034   |10.78    |~               |    ~     ~    
1189|TYC 5815-1270-1                                                       |Star                          |22 43 18.7612463424 -10 47 26.897405388|055.1775395301814 -55.7433423448357|  -27.339 1.021   |10.930   |~               |    ~     ~    
1190|HD 215069                                                             |Double or Multiple Star       |22 42 45.473 -11 09 12.58              |054.504058 -55.824995              |     10.9 -10.6   |10.216   |F6V             |    ~     ~    
1191|HD 215279                                                             |Double or Multiple Star       |22 44 08.689848 -12 07 55.58700        |053.333796755 -56.631145704        |    -34.3 -99.2   |9.80     |K0V             |    ~     ~    
1192|BD-11 5848                                                            |Star                          |22 30 36.2951634264 -10 15 25.819333776|053.0782362930933 -52.8208120288533|   -7.585 2.535   |10.910   |~               |    ~     ~    
1193|HD 213818                                                             |Star                          |22 34 21.0764321640 -10 15 03.259626228|053.9056197358422 -53.5979429893923|  -1.044 -7.855   |9.60     |K0(III)         |    ~     ~    
1194|HD 214170                                                             |High Proper Motion Star       |22 36 39.4324599096 -10 17 13.438290804|054.3708145537255 -54.0957032623918|  80.715 45.997   |9.31     |F6V             |    ~     ~    
1195|HD 214285                                                             |S Star                        |22 37 14.1404476656 -10 16 11.787693312|054.5266984189670 -54.2061879017021|  -5.729 -4.151   |8.75     |M4S             |    ~     ~    
1196|HD 214839                                                             |High Proper Motion Star       |22 41 00.1760489760 -10 25 24.355496928|055.1744540036795 -55.0672539026483| 48.779 -19.269   |10.17    |G1/2V           |    ~     ~    
1197|BD-11 5893                                                            |Star                          |22 41 00.9460464432 -10 28 18.271200396|055.1067499600888 -55.0962695963370|   0.536 -7.010   |10.721   |~               |    ~     ~    
1198|BD-11 5862                                                            |Star                          |22 33 19.4149396824 -10 19 09.534311724|053.5813761554322 -53.4207320657672|-18.813 -31.615   |10.780   |~               |    ~     ~    
1199|BD-11 5865                                                            |Star                          |22 33 45.8599958352 -10 21 22.335899220|053.6258998191521 -53.5321278149101|   6.051 -9.748   |10.31    |~               |    ~     ~    
1200|BD-11 5879                                                            |Star                          |22 37 07.2644390904 -10 27 58.627672488|054.2176919874152 -54.2883314415286|  -5.820 -5.910   |10.833   |~               |    ~     ~    
1201|BD-09 5989                                                            |Star                          |22 30 36.4353383088 -08 42 14.699738484|055.2200582057537 -51.9813513351574|  34.278 -1.601   |10.08    |~               |    ~     ~    
1202|HD 213319                                                             |Star                          |22 30 37.8144065520 -08 50 06.059674104|055.0477604764231 -52.0583801574343|  28.440 -0.004   |9.946    |K0/1III/IV      |    ~     ~    
1203|HD 213562                                                             |Star                          |22 32 26.1296981472 -08 16 53.347267200|056.2005726553079 -52.1204892328648|  14.395 -4.759   |9.41     |A3II/III        |    ~     ~    
1204|BD-09 5998                                                            |Star                          |22 32 37.8985037616 -09 01 20.757029412|055.2381301510882 -52.5740371084899| -4.877 -20.282   |10.69    |~               |    ~     ~    
1205|HD 213375                                                             |High Proper Motion Star       |22 31 04.2725529936 -09 28 56.635476744|054.2587746874914 -52.5033116758647| 37.606 -90.791   |10.231   |G8/K0V          |    ~     ~    
1206|HD 213409                                                             |Star                          |22 31 16.9756803024 -09 39 55.323403344|054.0518890070145 -52.6461182515691|-18.260 -26.924   |8.92     |F6V             |    ~     ~    
1207|BD-10 5938                                                            |Star                          |22 31 32.3397796176 -09 16 40.523439540|054.6436917260992 -52.4889301668154| -10.207 -8.581   |10.428   |~               |    ~     ~    
1208|BD-08 5886                                                            |Star                          |22 30 10.2090730680 -08 12 50.773271940|055.7811246396736 -51.6188883353096|  13.003 -3.980   |10.297   |~               |    ~     ~    
1209|BD-08 5887                                                            |High Proper Motion Star       |22 30 24.5852117016 -08 00 43.607704140|056.1037195788914 -51.5545335348777| -9.599 -61.778   |10.03    |~               |    ~     ~    
1210|BD-10 5932                                                            |Star                          |22 30 28.2676408824 -09 46 41.996580384|053.7180829822319 -52.5381606373189|  9.047 -13.423   |10.590   |~               |    ~     ~    
1211|BD-10 5934                                                            |Star                          |22 30 50.0975713152 -09 59 57.736713552|053.4891293739107 -52.7320181163672| -21.474 11.354   |10.230   |~               |    ~     ~    
1212|BD-09 5994                                                            |High Proper Motion Star       |22 31 49.1178447672 -08 21 14.042947068|055.9635491091727 -52.0350000661889|  45.294 33.906   |10.667   |~               |    ~     ~    
1213|BD-09 5995                                                            |Star                          |22 32 03.4860694224 -08 49 11.412784704|055.3864948548829 -52.3439561864930|  17.233 -7.451   |10.859   |~               |    ~     ~    
1214|BD-10 5942                                                            |Star                          |22 32 20.5570743672 -09 37 38.069381856|054.3381031021121 -52.8452357407314|   6.569 12.178   |10.641   |~               |    ~     ~    
1215|BD-10 5931                                                            |Star                          |22 30 04.7849478648 -10 04 07.878724860|053.2290796626777 -52.6114920745888|  17.821 -0.451   |10.22    |~               |    ~     ~    
1216|HD 213293B                                                            |High Proper Motion Star       |22 30 32.5154793840 -08 06 45.848225700|055.9994463923503 -51.6381966185217|  48.711 -5.326   |8.55     |~               |    ~     ~    
1217|BD-08 5919                                                            |High Proper Motion Star       |22 39 58.1127283776 -08 05 24.979766496|058.2278834762488 -53.5387927627843| 49.854 -57.995   |10.250   |~               |    ~     ~    
1218|HD 213651                                                             |Star                          |22 33 08.3831718192 -09 12 44.855938476|055.0906373852124 -52.7834241637329|  -5.305 -5.468   |9.37     |G8IV            |    ~     ~    
1219|HD 213677                                                             |High Proper Motion Star       |22 33 21.5273902045 -09 03 48.798530824|055.3451930635654 -52.7463864083084|297.577 -61.242   |8.71     |G3V             |    ~     ~    
1220|HD 213751                                                             |Star                          |22 33 48.1674114624 -08 22 08.803718364|056.3941825161322 -52.4491911383314|-20.200 -25.861   |10.22    |G5V             |    ~     ~    
1221|HD 213765                                                             |Star                          |22 33 57.4943676168 -09 07 15.617915436|055.4014618719386 -52.9014421902291| 10.269 -10.717   |10.428   |A0III/IV        |    ~     ~    
1222|BD-09 6006                                                            |Star                          |22 34 08.0197916112 -08 39 31.778245512|056.0760270270320 -52.6798974770766|  12.329 -0.581   |10.720   |~               |    ~     ~    
1223|HD 213859                                                             |Star                          |22 34 33.4733792160 -09 08 14.569626156|055.5149317466027 -53.0337523072620|  13.461 -2.132   |9.52     |K1III           |    ~     ~    
1224|HD 213897                                                             |Star                          |22 34 41.8530468984 -08 36 36.054262476|056.2720172139680 -52.7677463643175| -13.406 -1.085   |9.30     |G8/K0III/IV     |    ~     ~    
1225|HD 213922                                                             |Star                          |22 34 55.0510836096 -08 54 03.285447012|055.9235387743555 -52.9759102553700|-43.259 -11.479   |9.49     |G8V             |    ~     ~    
1226|HD 213935                                                             |Star                          |22 34 59.3906185152 -09 14 28.246845948|055.4693389017946 -53.1800029392795|  -40.839 4.017   |9.51     |G0V             |    ~     ~    
1227|HD 213965                                                             |Star                          |22 35 11.5047975408 -08 23 56.947330824|056.6735800442179 -52.7493836982290| -28.454 -3.772   |9.19     |F3IV/V          |    ~     ~    
1228|BD-09 6013                                                            |Star                          |22 35 58.5514809792 -08 51 50.588696700|056.2181324751875 -53.1717941105074| -2.160 -10.219   |9.88     |K0              |    ~     ~    
1229|HD 214186                                                             |Star                          |22 36 43.3468450656 -08 56 54.359035836|056.2746215194474 -53.3717469340930|  -1.528 -2.100   |9.40     |K0III           |    ~     ~    
1230|HD 214206                                                             |Star                          |22 36 48.4641415752 -08 34 25.132370772|056.8116719736726 -53.1773905259665|-15.939 -17.578   |9.89     |F2V             |    ~     ~    
1231|HD 214318                                                             |High Proper Motion Star       |22 37 24.0979951056 -08 31 19.232463828|057.0221584901513 -53.2687335999637|-20.016 -63.958   |9.15     |G8V             |    ~     ~    
1232|BD-09 6019                                                            |Star                          |22 37 59.7046183968 -08 51 48.403363356|056.6903976503467 -53.5833907013105|   16.488 0.039   |10.728   |~               |    ~     ~    
1233|HD 214528                                                             |High Proper Motion Star       |22 38 57.3257055120 -08 41 05.712954792|057.1655468958884 -53.6771109370866|-47.686 -37.156   |9.01     |G0V             |    ~     ~    
1234|BD-09 6022                                                            |Star                          |22 39 05.4896953584 -08 56 22.176786408|056.8437779470437 -53.8496218168696|  17.994 -2.971   |10.654   |~               |    ~     ~    
1235|BD-09 6024                                                            |High Proper Motion Star       |22 39 47.5564373184 -08 34 04.498525848|057.5280122240479 -53.7797006185196|-46.436 -22.475   |10.633   |~               |    ~     ~    
1236|BD-09 6025                                                            |Star                          |22 39 48.2267227848 -08 14 49.076684304|057.9732702034634 -53.5966862065185|   1.455 -9.204   |10.933   |~               |    ~     ~    
1237|BD-09 6027                                                            |Star                          |22 40 16.7644003272 -08 56 57.510016584|057.1135565060174 -54.0965692393731|   12.614 4.581   |10.333   |~               |    ~     ~    
1238|BD-09 6030                                                            |Star                          |22 40 37.3507079784 -08 55 59.620978416|057.2185432609543 -54.1570135755208|-18.404 -15.605   |10.955   |~               |    ~     ~    
1239|BD-09 6031                                                            |Star                          |22 41 14.4464173944 -08 48 47.275196832|057.5362065982151 -54.2135081477920|  10.023 -6.643   |10.91    |~               |    ~     ~    
1240|HD 213621                                                             |High Proper Motion Star       |22 32 58.7003250048 -09 16 21.292768704|054.9714092405943 -52.7831959052464| 141.333 -6.212   |9.53     |G5V             |    ~     ~    
1241|HD 213707                                                             |Star                          |22 33 33.3595040088 -09 40 36.246134712|054.5386404807076 -53.1232726281624| -6.526 -13.869   |9.94     |G1V             |    ~     ~    
1242|HD 213780                                                             |Star                          |22 34 06.6107952360 -09 36 30.536363412|054.7581926344871 -53.2006533709443|  -20.383 1.552   |6.55     |K0/1III         |    ~     ~    
1243|HD 213817                                                             |Star                          |22 34 20.6181221496 -09 18 18.805245192|055.2335745411210 -53.0824654892580|-12.002 -11.612   |8.53     |K2III           |    ~     ~    
1244|HD 214187                                                             |Star                          |22 36 47.0737910688 -09 23 35.326377888|055.6687328593282 -53.6327744133593|    5.376 6.685   |9.28     |K5/M0(III)      |    ~     ~    
1245|HD 214230                                                             |Star                          |22 36 55.7484042336 -09 23 21.606844740|055.7074680640123 -53.6603233262785|  -3.847 -2.479   |8.90     |M1III           |    ~     ~    
1246|HD 214404                                                             |Star                          |22 37 58.3271299224 -09 24 15.649848828|055.9284327507334 -53.8824643615207| -19.941 -9.978   |9.461    |G5V             |    ~     ~    
1247|HD 214595                                                             |High Proper Motion Star       |22 39 28.3016325912 -09 35 04.516024848|056.0245648894006 -54.2899299671735|  50.929 49.179   |9.730    |F6V             |    ~     ~    
1248|HD 214686                                                             |Spectroscopic Binary          |22 40 07.9821127800 -09 21 33.257878488|056.5009462536543 -54.2988554567330| 173.485 45.947   |6.886    |F7V             |    ~     ~    
1249|BD-10 5968                                                            |High Proper Motion Star       |22 40 42.4702559952 -09 41 34.312753608|056.1622902463114 -54.6031976468689| 112.218 25.113   |10.06    |K0              |    ~     ~    
1250|BD-10 5970                                                            |High Proper Motion Star       |22 41 08.9671208112 -09 39 51.824253816|056.3082018751191 -54.6775266988040|-61.160 -65.120   |10.64    |G0              |    ~     ~    
1251|HD 213752                                                             |Star                          |22 33 51.5439788592 -10 05 25.235780136|054.0242157754804 -53.4095966235860| 30.247 -13.356   |10.02    |F3V             |    ~     ~    
1252|HD 213898                                                             |Star                          |22 34 47.6346987768 -10 06 11.177140968|054.2143274203032 -53.6104038732289|   26.931 3.918   |9.44     |F5V             |    ~     ~    
1253|HD 214104                                                             |Star                          |22 36 10.4839146936 -09 58 04.461224412|054.7174214693783 -53.8229840611037|-21.358 -19.488   |10.07    |K0III           |    ~     ~    
1254|HD 214529                                                             |Star                          |22 38 57.6059654520 -10 06 08.109961128|055.1641303515592 -54.4708781038514|  26.239 24.948   |8.25     |G1V             |    ~     ~    
1255|* 64 Aqr                                                              |High Proper Motion Star       |22 39 16.0352836992 -10 01 40.112970492|055.3426560373752 -54.4932678800511| -57.651 -0.173   |6.95     |G2/3IV/V        |    ~     ~    
1256|BD-08 5893                                                            |High Proper Motion Star       |22 33 29.0577596496 -07 52 26.446085256|056.9867745846646 -52.1029625136954|  51.636 -9.817   |10.258   |~               |    ~     ~    
1257|BD-08 5896                                                            |High Proper Motion Star       |22 34 59.7968295864 -07 53 33.652461516|057.3125223705171 -52.4205370224628|  48.820 19.234   |10.85    |~               |    ~     ~    
1258|BD-08 5904                                                            |Star                          |22 35 59.1642976392 -08 15 03.634698528|057.0599362232807 -52.8265809162195|  -7.143 -8.854   |10.707   |~               |    ~     ~    
1259|BD-10 5951                                                            |Star                          |22 36 09.7265627424 -09 38 22.542665748|055.1792486663943 -53.6408855497089|  1.868 -13.922   |10.73    |~               |    ~     ~    
1260|BD-09 6018                                                            |Star                          |22 37 25.5964318584 -08 18 31.841869068|057.3200535772984 -53.1519026765983|  -3.114 -2.950   |10.665   |~               |    ~     ~    
1261|BD-10 5956                                                            |Star                          |22 37 35.5281872808 -09 46 22.476857448|055.3188420179634 -54.0085293284391|  12.646 12.007   |10.722   |~               |    ~     ~    
1262|BD-10 5960                                                            |Star                          |22 38 21.7380625296 -09 28 11.444283516|055.9270772490686 -53.9988633979064| -4.668 -16.886   |10.10    |~               |    ~     ~    
1263|BD-10 5969                                                            |Star                          |22 41 04.2355694712 -09 35 52.981332216|056.3843758768804 -54.6242609934373| -0.155 -20.615   |10.661   |~               |    ~     ~    
1264|BD-10 5964                                                            |Long-Period Variable          |22 39 27.8469501000 -10 04 39.248098752|055.3168631563504 -54.5610936456738|    0.837 4.284   |10.43    |~               |    ~     ~    
1265|BD-11 5891                                                            |Star                          |22 40 47.0804865696 -10 17 24.909836604|055.3176123712366 -54.9494479856417|    1.261 0.957   |10.318   |~               |    ~     ~    
1266|BD-08 5900                                                            |Star                          |22 35 24.2870841288 -07 59 53.780469396|057.2658826384240 -52.5639135200480|  -0.572 -6.807   |10.514   |~               |    ~     ~    
1267|BD-10 5967                                                            |Star                          |22 40 38.7532812288 -10 07 12.989660232|055.5319027799480 -54.8275168809685|  -1.090 -1.388   |10.946   |~               |    ~     ~    
1268|TYC 5811-21-1                                                         |Star                          |22 31 17.6476679232 -09 53 31.208856072|053.7388775512787 -52.7702375210091|   6.922 -8.133   |10.70    |~               |    ~     ~    
1269|TYC 5811-161-1                                                        |Star                          |22 32 01.0221686064 -09 58 29.848253232|053.7807659594146 -52.9650002385304|  29.845 -7.999   |10.92    |~               |    ~     ~    
1270|TYC 5811-378-1                                                        |Star                          |22 33 30.6958308168 -08 00 12.449230560|056.8198708256998 -52.1823994661610|-21.755 -30.253   |10.32    |~               |    ~     ~    
1271|TYC 5811-853-1                                                        |Star                          |22 34 38.3833485240 -09 00 44.729458740|055.7062717745070 -52.9811519596640|  13.906 38.860   |10.54    |~               |    ~     ~    
1272|TYC 5811-1193-1                                                       |High Proper Motion Star       |22 38 00.7489114560 -09 50 01.129381224|055.3294891783584 -54.1284164323271| 55.819 -11.291   |10.858   |~               |    ~     ~    
1273|HD 215017                                                             |Star                          |22 42 21.7253553672 -10 22 10.072947936|055.5745177847325 -55.3171709003857| -1.377 -37.390   |9.32     |G2V             |    ~     ~    
1274|BD-11 5894                                                            |Star                          |22 41 31.4399052264 -10 25 38.502407136|055.2912151550070 -55.1766665231662|   6.081 -7.735   |9.7      |~               |    ~     ~    
1275|BD-11 5896                                                            |High Proper Motion Star       |22 41 54.3532908264 -10 36 50.862850344|055.1065879940201 -55.3572977905336|-102.759 -74.872  |10.88    |~               |    ~     ~    
1276|BD-11 5897                                                            |Star                          |22 42 05.4830874600 -10 20 14.684149968|055.5572001800520 -55.2439438751785|    2.067 1.015   |10.864   |~               |    ~     ~    
1277|BD-11 5905                                                            |Star                          |22 43 33.1137074472 -10 34 22.749217572|055.5582385118672 -55.6733880979143| 10.953 -14.636   |10.04    |~               |    ~     ~    
1278|BD-11 5907                                                            |Star                          |22 44 21.9269333952 -10 30 39.991371660|055.8455836327211 -55.8062199113448| -16.077 -8.586   |10.167   |G0              |    ~     ~    
1279|BD-08 5926                                                            |Star                          |22 43 00.0038291256 -08 07 31.667348316|058.9247504509018 -54.1674765528167|  1.193 -17.711   |9.86     |F5              |    ~     ~    
1280|HD 214999                                                             |High Proper Motion Star       |22 42 12.5422548528 -08 26 37.115757708|058.2882147045248 -54.1951890360286|121.397 -24.005   |9.05     |G3V             |    ~     ~    
1281|BD-09 6036                                                            |Star                          |22 42 13.9831709376 -08 17 57.697909800|058.4942539093219 -54.1158451797360|   8.812 -1.326   |10.84    |~               |    ~     ~    
