C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
44  |CD-41 14950                                                           |High Proper Motion Star       |22 35 42.2358325752 -40 56 00.478674960|357.7503879038966 -58.9369800381585| 32.767 -36.242   |10.529   |~               |    ~     ~    
45  |CD-41 14975                                                           |Star                          |22 39 21.9052158528 -40 36 08.730710280|358.0033070588128 -59.6942482433184|  17.646 -5.456   |10.27    |~               |    ~     ~    
46  |CD-42 16019                                                           |Star                          |22 39 38.4178164528 -42 17 47.111046324|354.7918184869881 -59.2352997934509| -10.560 -5.414   |10.05    |~               |    ~     ~    
47  |CD-43 15068                                                           |Double or Multiple Star       |22 30 54.0126567983 -42 42 00.873559595|355.0104250049261 -57.5784544225828| -7.885 -15.809   |10.495   |F2              |    ~     ~    
48  |HD 213334                                                             |High Proper Motion Star       |22 31 23.6773404240 -42 37 53.907976236|355.0826171361335 -57.6855664264077| 57.362 -45.120   |9.74     |G0/1V           |    ~     ~    
49  |HD 213436                                                             |Double or Multiple Star       |22 32 03.1587610 -42 44 24.239433      |354.8211705716 -57.7685774911      |    16.91 20.40   |8.34     |K0IV            |    ~     ~    
50  |KK 345-59                                                             |Star                          |22 32 18.0 -42 36 00                   |355.0463 -57.8540                  |            ~ ~   |10.91    |A0              |    ~     ~    
51  |CD-43 15061                                                           |Star                          |22 30 07.1131698960 -42 42 49.318605036|355.0651014010180 -57.4372507721739|  9.821 -22.039   |10.569   |~               |    ~     ~    
52  |HD 214409                                                             |Star                          |22 38 30.4897274376 -42 51 26.757934344|353.8943403651226 -58.8544091815171|   16.083 0.290   |9.82     |F0V             |    ~     ~    
53  |CD-43 15085                                                           |Star                          |22 33 35.5820617896 -42 40 34.923325512|354.7734511865490 -58.0575242992223|  -6.396 -0.765   |10.71    |~               |    ~     ~    
54  |TYC 8000-52-1                                                         |Star                          |22 36 22.4415640512 -41 23 16.794670416|356.8363041380050 -58.9320221226999|  14.338 -8.724   |10.220   |~               |    ~     ~    
55  |TYC 8000-115-1                                                        |High Proper Motion Star       |22 35 21.4879910232 -41 46 05.271211668|356.2393459754832 -58.6406596192093|109.415 -16.833   |10.66    |~               |    ~     ~    
56  |TYC 8000-301-1                                                        |Star                          |22 37 39.0325108152 -41 16 16.939455528|356.9203003488642 -59.1950141198422| 30.623 -10.189   |10.66    |~               |    ~     ~    
57  |TYC 8000-725-1                                                        |Star                          |22 39 56.4103230816 -40 34 46.931005236|357.9865509586079 -59.8054437261601|  -2.001 -4.751   |10.557   |~               |    ~     ~    
58  |TYC 8000-900-1                                                        |Star                          |22 30 12.7157684328 -41 24 47.801662308|357.3903431869742 -57.8133082428309|  17.332 -9.803   |10.824   |~               |    ~     ~    
59  |TYC 8000-1002-1                                                       |Star                          |22 32 14.1507376056 -41 14 30.427728432|357.5149726925497 -58.2249200076039|  17.999 -2.312   |10.498   |~               |    ~     ~    
60  |TYC 8003-19-1                                                         |Star                          |22 38 57.7614950088 -42 35 00.080819376|354.3423282470224 -59.0237099901500|  12.543 -9.881   |10.84    |~               |    ~     ~    
61  |TYC 8007-4-1                                                          |Star                          |22 40 04.6763450928 -40 35 51.830876184|357.9376166852073 -59.8255373831967|   29.470 1.273   |10.690   |~               |    ~     ~    
62  |HD 214832                                                             |Star                          |22 41 25.7153240304 -41 15 25.852235328|356.5335600460612 -59.8775152805605|-13.987 -20.467   |8.83     |K0III           |    ~     ~    
63  |HD 214831                                                             |High Proper Motion Star       |22 41 30.0609800808 -41 06 04.903829676|356.8217032105500 -59.9374528290527|106.829 -44.819   |9.66     |G1V             |    ~     ~    
64  |HD 214951                                                             |Star                          |22 42 29.6723797800 -40 54 15.984992556|357.0860175600516 -60.1751684407811|   9.633 -5.920   |9.64     |K1III           |    ~     ~    
65  |HD 215064                                                             |Star                          |22 43 08.1836751984 -41 17 04.135547508|356.2841365852592 -60.1744860434473|  1.790 -14.578   |8.74     |K4III           |    ~     ~    
66  |HD 214973                                                             |Star                          |22 42 32.3603586984 -41 27 32.902363224|356.0216022516378 -60.0134922833058|  9.757 -10.278   |8.84     |K2/3III         |    ~     ~    
67  |HD 215072                                                             |Star                          |22 43 17.6959947864 -41 32 36.338784396|355.7716380059743 -60.1210202907947|  24.076 -7.344   |8.30     |M0III           |    ~     ~    
68  |* rho Gru                                                             |High Proper Motion Star       |22 43 29.9765442 -41 24 51.646698      |355.9930895102 -60.1984128333      |   10.11 -93.79   |4.835    |K0III           |    ~     ~    
69  |CD-42 16035                                                           |Star                          |22 41 48.8813731622 -42 11 03.725052458|354.7416311096657 -59.6522696222211| 17.644 -13.079   |10.71    |~               |    ~     ~    
70  |CD-43 15129                                                           |High Proper Motion Star       |22 41 20.8718395872 -42 22 50.769948288|354.4322088783320 -59.5057039524620| 68.346 -40.140   |10.23    |G0              |    ~     ~    
71  |CD-43 15136                                                           |Star                          |22 42 33.5588304072 -42 53 22.998045588|353.3389566094041 -59.5407509078279|-12.319 -18.377   |10.39    |G0              |    ~     ~    
72  |CD-43 15143                                                           |Star                          |22 44 04.8984521856 -42 29 32.387591796|353.8833055905295 -59.9419165969147|  18.393 17.347   |10.47    |G0              |    ~     ~    
73  |HD 215204                                                             |Double or Multiple Star       |22 44 07.963 -42 28 37.06              |353.905525 -59.956096              |      -12.9 2.3   |10.20    |F7V             |    ~     ~    
74  |TYC 8007-179-1                                                        |Star                          |22 43 23.2116016008 -41 32 45.195027072|355.7559222647632 -60.1365328535136|  18.031 -0.511   |10.10    |~               |    ~     ~    
75  |CD-42 16034                                                           |Star                          |22 41 34.7722519536 -41 44 01.384436688|355.6149912804301 -59.7566392301040|   7.427 -3.964   |10.34    |~               |    ~     ~    
76  |CD-41 14988                                                           |Star                          |22 42 01.6027505592 -40 59 39.945735996|356.9665281177791 -60.0640034607159|  3.102 -37.240   |10.82    |~               |    ~     ~    
77  |CD-42 16039                                                           |Star                          |22 42 10.2295276656 -41 29 14.294194368|356.0113945732942 -59.9390562281854|-40.264 -25.416   |10.35    |~               |    ~     ~    
78  |CD-41 15001                                                           |Star                          |22 43 37.6998945024 -40 48 46.730100852|357.1325895960479 -60.4070959460964|  8.732 -20.756   |10.425   |~               |    ~     ~    
79  |V* DS Gru                                                             |Mira Variable                 |22 43 11.5506619296 -41 31 58.397813976|355.8039518129849 -60.1062162462253|  -0.656 -9.687   |9.6      |MIII            |    ~     ~    
80  |CD-42 16036                                                           |Star                          |22 41 52.3602391680 -41 54 15.352818408|355.2595050735267 -59.7538503862651|  -2.713 -3.513   |10.25    |MIII            |    ~     ~    
81  |CD-42 16054                                                           |Star                          |22 44 30.0803536584 -41 27 33.832857240|355.7859690442616 -60.3619198531819|-17.379 -40.609   |10.86    |~               |    ~     ~    
