C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2777|TYC 2581-3-1                                                                                                                                |Star                                |16 33 32.2731183480 +32 19 07.330706904|053.2307501380568 +42.0296845791684| -2.040 -10.995    |10.97    |~                  |    ~     ~    |    1|  402.123   pc  |  -2.1183     +2.1183  |paral   |2020yCat.1350....0G
2778|TYC 2581-41-1                                                                                                                               |Star                                |16 35 52.9992596040 +32 25 10.081785252|053.4688510929669 +41.5564911656573|  -12.844 8.854    |10.43    |~                  |    ~     ~    |    1|  351.161   pc  |  -8.0154     +8.0154  |paral   |2020yCat.1350....0G
2779|TYC 2581-85-1                                                                                                                               |Star                                |16 35 08.3917225248 +32 26 43.882927008|053.4701132492054 +41.7155117661511|    2.371 4.888    |10.57    |~                  |    ~     ~    |    1|  419.164   pc  |  -1.9678     +1.9678  |paral   |2020yCat.1350....0G
2780|TYC 2581-191-1                                                                                                                              |Star                                |16 35 50.1902505384 +32 18 39.652934868|053.3236777878416 +41.5489374279974|  -12.313 7.052    |10.06    |~                  |    ~     ~    |    1|  218.160   pc  |  -0.6853     +0.6853  |paral   |2020yCat.1350....0G
2781|TYC 2581-209-1                                                                                                                              |Star                                |16 34 45.7834948176 +32 04 20.483810472|052.9594959435360 +41.7345851167445| -21.928 -2.332    |10.11    |~                  |    ~     ~    |    1|  645.745   pc  |  -5.8795     +5.8795  |paral   |2020yCat.1350....0G
2782|TYC 2581-417-1                                                                                                                              |Star                                |16 31 01.7819377368 +32 21 31.347605484|053.1741622289199 +42.5593327273919|    5.328 7.666    |9.84     |~                  |    ~     ~    |    1|  542.682   pc  |  -3.4457     +3.4457  |paral   |2020yCat.1350....0G
2783|TYC 2581-591-1                                                                                                                              |Star                                |16 35 22.5583906800 +32 16 49.717891524|053.2625207741715 +41.6401087947476|   -6.432 2.580    |10.61    |~                  |    ~     ~    |    1|  359.170   pc  |  -1.7028     +1.7028  |paral   |2020yCat.1350....0G
2784|TYC 2581-705-1                                                                                                                              |Star                                |16 35 09.0610166328 +31 55 59.003085036|052.7934941504051 +41.6306654467331|-15.819 -45.975    |10.03    |~                  |    ~     ~    |    1|  260.274   pc  |  -0.7384     +0.7384  |paral   |2020yCat.1350....0G
2785|TYC 2581-767-1                                                                                                                              |Star                                |16 30 18.8602656384 +32 13 59.734123140|052.9745317198481 +42.6897711640257|  1.037 -15.567    |10.54    |~                  |    ~     ~    |    1|  437.388   pc  |  -2.2957     +2.2957  |paral   |2020yCat.1350....0G
2786|TYC 2581-863-1                                                                                                                              |Star                                |16 31 45.8898416448 +32 07 43.596358464|052.8985130588022 +42.3704373698462|    1.215 6.779    |10.28    |~                  |    ~     ~    |    1|  823.859   pc  |  -7.6019     +7.6019  |paral   |2020yCat.1350....0G
2787|TYC 2581-867-1                                                                                                                              |Star                                |16 33 41.1887024904 +32 14 21.096506616|053.1317049675106 +41.9861891795787|  48.189 -0.355    |10.50    |~                  |    ~     ~    |    1|  151.983   pc  |  -0.2541     +0.2541  |paral   |2020yCat.1350....0G
2788|TYC 2581-901-1                                                                                                                              |Star                                |16 33 38.8114939464 +32 00 44.129453616|052.8285695200434 +41.9583034163348|-29.637 -14.129    |9.69     |~                  |    ~     ~    |    1|  155.092   pc  |  -0.3199     +0.3199  |paral   |2020yCat.1350....0G
2789|TYC 2581-1017-1                                                                                                                             |Star                                |16 31 35.4259577376 +31 57 47.846037024|052.6694247601545 +42.3809384124801|  -5.145 -6.872    |10.03    |~                  |    ~     ~    |    1|  314.832   pc  |  -1.1696     +1.1696  |paral   |2020yCat.1350....0G
2790|TYC 2581-1083-1                                                                                                                             |Star                                |16 31 25.1083879968 +32 28 04.206101088|053.3373147035177 +42.4946464294347| -31.308 22.928    |10.99    |~                  |    ~     ~    |    1|  199.322   pc  |  -0.4887     +0.4887  |paral   |2020yCat.1350....0G
2791|TYC 2581-1145-1                                                                                                                             |Star                                |16 31 17.7728228520 +31 53 00.170588112|052.5491646808381 +42.4299060472062|   -3.918 1.298    |10.82    |~                  |    ~     ~    |    1| 1058.761   pc  | -11.6581    +11.6581  |paral   |2020yCat.1350....0G
2792|TYC 2582-257-1                                                                                                                              |High Proper Motion Star             |16 38 53.4425714640 +32 25 19.430533020|053.6086069214291 +40.9305875182082|-12.115 -58.458    |10.86    |~                  |    ~     ~    |    1|  214.114   pc  |  -0.5822     +0.5822  |paral   |2020yCat.1350....0G
2793|TYC 2582-921-1                                                                                                                              |Star                                |16 36 11.1576681888 +32 18 21.749103576|053.3329748374327 +41.4752596034768|   7.602 -8.975    |10.52    |~                  |    ~     ~    |    1|  966.464   pc  | -26.5271    +26.5271  |paral   |2020yCat.1350....0G
2794|TYC 2582-1587-1                                                                                                                             |Star                                |16 36 36.4911898872 +32 19 29.384465844|053.3769033958690 +41.3902521513532|   -5.907 5.932    |10.64    |~                  |    ~     ~    |    1|  258.051   pc  |  -1.5649     +1.5649  |paral   |2020yCat.1350....0G
2795|TYC 2584-44-1                                                                                                                               |Star                                |16 31 55.1074983408 +32 31 55.543254924|053.4448458314895 +42.4000578385107|-18.836 -10.782    |10.05    |~                  |    ~     ~    |    1|  164.082   pc  |  -0.3608     +0.3608  |paral   |2020yCat.1350....0G
2796|TYC 2584-246-1                                                                                                                              |High Proper Motion Star             |16 35 25.6702926168 +32 32 00.339337716|053.5991236248615 +41.6693124614708| 38.212 -85.076    |10.26    |~                  |    ~     ~    |    1|  137.574   pc  |  -0.2404     +0.2404  |paral   |2020yCat.1350....0G
2797|TYC 2584-594-1                                                                                                                              |Star                                |16 34 57.1275655464 +33 53 20.702742612|055.3793628789681 +41.9650530171221|  -8.112 -9.391    |10.94    |~                  |    ~     ~    |    1|  446.409   pc  |  -2.1323     +2.1323  |paral   |2020yCat.1350....0G
2798|GSC 02584-00688                                                                                                                             |Long-Period Variable Candidate      |16 33 24.3569364744 +34 28 15.214466388|056.1022456198718 +42.3570144110030|  0.706 -15.265    |10.57    |~                  |    ~     ~    |    1| 3075.03    pc  |-156.021    +156.021   |paral   |2020yCat.1350....0G
2799|TYC 2584-762-1                                                                                                                              |Star                                |16 33 19.1035638648 +34 17 14.697890196|055.8528488574247 +42.3522106429993|-10.176 -15.613    |10.85    |~                  |    ~     ~    |    1|  601.395   pc  |  -3.7976     +3.7976  |paral   |2020yCat.1350....0G
2800|TYC 2584-1001-1                                                                                                                             |Star                                |16 34 02.4989067984 +33 35 20.907161376|054.9445738212097 +42.1117472885935|   0.296 -5.595    |10.94    |~                  |    ~     ~    |    1|  320.657   pc  |  -1.1824     +1.1824  |paral   |2020yCat.1350....0G
2801|TYC 2584-1146-1                                                                                                                             |Star                                |16 33 32.8069610424 +34 33 55.383470532|056.2339310129436 +42.3397434384200|   7.839 -3.382    |9.90     |~                  |    ~     ~    |    1|  571.690   pc  |  -4.0200     +4.0200  |paral   |2020yCat.1350....0G
2802|TYC 2584-1415-1                                                                                                                             |Star                                |16 34 21.9914640696 +33 11 55.002422508|054.4367540067412 +41.9895990942601| -17.853 27.321    |10.83    |~                  |    ~     ~    |    1|  337.143   pc  |  -1.5572     +1.5572  |paral   |2020yCat.1350....0G
2803|TYC 2584-1684-1                                                                                                                             |High Proper Motion Star             |16 34 17.9613588413 +34 09 27.950212370|055.7139888699684 +42.1345827687322|-28.113 127.629    |10.67    |~                  |    ~     ~    |    1|   79.9949  pc  |  -3.1803     +3.1803  |paral   |2018yCat.1345....0G
2804|TYC 2584-1744-1                                                                                                                             |Star                                |16 30 28.9933732800 +33 28 39.079373808|054.6589590103109 +42.8314431041047|  -2.884 12.631    |9.80     |~                  |    ~     ~    |    1|  821.288   pc  |  -7.0824     +7.0824  |paral   |2020yCat.1350....0G
2805|TYC 2584-1911-1                                                                                                                             |Star                                |16 32 22.4629301976 +32 57 58.045002012|054.0451485283403 +42.3690372093262|  -8.948 -7.903    |9.75     |~                  |    ~     ~    |    1| 1181.056   pc  | -15.6228    +15.6228  |paral   |2020yCat.1350....0G
2806|TYC 2584-1937-1                                                                                                                             |Star                                |16 35 31.5279642120 +33 43 37.350170760|055.1855501504086 +41.8249504979153|  -3.870 -2.830    |10.50    |~                  |    ~     ~    |    1|  375.263   pc  |  -1.7180     +1.7180  |paral   |2020yCat.1350....0G
2807|TYC 2584-2023-1                                                                                                                             |Star                                |16 35 01.5197175456 +33 24 12.155698836|054.7356852169158 +41.8826936540175|   -3.829 9.908    |9.78     |~                  |    ~     ~    |    1|  327.139   pc  |  -1.4769     +1.4769  |paral   |2020yCat.1350....0G
2808|TYC 2584-2100-1                                                                                                                             |Star                                |16 34 17.1039753432 +33 07 22.401712308|054.3326245624220 +41.9955108083493|-26.175 -17.901    |10.87    |~                  |    ~     ~    |    1|  157.667   pc  |  -0.7905     +0.7905  |paral   |2020yCat.1350....0G
2809|TYC 2585-86-1                                                                                                                               |Star                                |16 38 53.1034871424 +32 38 43.093947444|053.8999874667534 +40.9680540995525| -21.514 17.530    |10.17    |~                  |    ~     ~    |    1|  211.238   pc  |  -1.7536     +1.7536  |paral   |2020yCat.1350....0G
2810|TYC 2585-201-1                                                                                                                              |High Proper Motion Star             |16 38 05.6242167048 +32 45 02.308706496|054.0027026300025 +41.1491974555366|-10.441 -93.336    |9.98     |~                  |    ~     ~    |    1|  119.634   pc  |  -0.9303     +0.9303  |paral   |2020yCat.1350....0G
2811|TYC 2585-381-1                                                                                                                              |Star                                |16 40 59.2182067680 +32 46 50.640338712|054.1708942898360 +40.5536683984680|  -4.960 -1.198    |10.60    |~                  |    ~     ~    |    1|  324.844   pc  |  -1.2030     +1.2030  |paral   |2020yCat.1350....0G
2812|TYC 2585-457-1                                                                                                                              |High Proper Motion Star             |16 38 26.3096328800 +32 59 55.965329667|054.3432610868299 +41.1165213986779| 29.386 -74.415    |10.55    |~                  |    ~     ~    |    1|  264.4873  pc  | -11.7802    +11.7802  |paral   |2018yCat.1345....0G
2813|TYC 2585-621-1                                                                                                                              |Star                                |16 38 15.0521789952 +32 57 13.092732972|054.2758209092738 +41.1483816651510|  -11.246 6.057    |10.48    |~                  |    ~     ~    |    1|  760.052   pc  |  -7.2787     +7.2787  |paral   |2020yCat.1350....0G
2814|TYC 2585-1316-1                                                                                                                             |Star                                |16 40 51.8632709304 +33 44 08.018645964|055.4086297527452 +40.7276278961515|   1.646 10.301    |10.59    |~                  |    ~     ~    |    1|  917.095   pc  | -12.2795    +12.2795  |paral   |2020yCat.1350....0G
2815|TYC 2585-1345-1                                                                                                                             |Star                                |16 39 31.7996640120 +33 20 36.686068152|054.8411496517388 +40.9436557356477|   -5.875 9.071    |10.22    |~                  |    ~     ~    |    1|  346.620   pc  |  -1.3937     +1.3937  |paral   |2020yCat.1350....0G
2816|TYC 2585-1657-1                                                                                                                             |Star                                |16 38 39.3347588664 +34 15 49.095880668|056.0146957728049 +41.2559991711387| -15.248 27.769    |10.73    |~                  |    ~     ~    |    1|  225.068   pc  |  -0.6332     +0.6332  |paral   |2020yCat.1350....0G
2817|TYC 2585-1730-1                                                                                                                             |Star                                |16 40 25.3183779912 +34 03 50.056663968|055.8200560613499 +40.8662972700838|  -1.607 -3.925    |10.76    |~                  |    ~     ~    |    1|  385.713   pc  |  -1.8151     +1.8151  |paral   |2020yCat.1350....0G
2818|TYC 2585-1750-1                                                                                                                             |Star                                |16 39 17.4864530640 +33 55 06.157521408|055.5849589268354 +41.0774470255280| -2.681 -13.739    |9.72     |~                  |    ~     ~    |    1|  905.797   pc  |  -9.1892     +9.1892  |paral   |2020yCat.1350....0G
2819|TYC 2585-1897-1                                                                                                                             |Star                                |16 39 07.4324651040 +34 10 47.165253744|055.9219697154816 +41.1485844211223| -20.391 -0.392    |10.11    |~                  |    ~     ~    |    1|  490.268   pc  |  -4.1823     +4.1823  |paral   |2020yCat.1350....0G
2820|TYC 2585-1947-1                                                                                                                             |Star                                |16 37 43.3601794872 +33 51 16.218189900|055.4395206367418 +41.3906837795639|  0.658 -22.533    |10.93    |~                  |    ~     ~    |    1|  214.307   pc  |  -0.5374     +0.5374  |paral   |2020yCat.1350....0G
2821|TYC 2585-2736-1                                                                                                                             |Star                                |16 36 06.0157627680 +32 31 34.091432976|053.6192468596369 +41.5281928446451| -3.367 -16.044    |10.47    |~                  |    ~     ~    |    1| 1007.151   pc  | -11.7665    +11.7665  |paral   |2020yCat.1350....0G
2822|GSC 02585-02891                                                                                                                             |Double or Multiple Star             |16 36 48.809016 +34 33 33.19704        |056.338610750 +41.671690047        |     -2.8 -33.6    |10.734   |~                  |    ~     ~    |    0|                |                       |        |                   
2823|TYC 2585-3021-1                                                                                                                             |Star                                |16 36 10.5836470824 +33 20 05.058617604|054.6909992159670 +41.6349903981825| -30.331 18.165    |10.22    |~                  |    ~     ~    |    1|  797.512   pc  |  -7.5051     +7.5051  |paral   |2020yCat.1350....0G
2824|TYC 2585-3052-1                                                                                                                             |Star                                |16 37 27.8282459520 +33 51 37.979559108|055.4374415110215 +41.4447423268835| -2.455 -11.325    |10.66    |~                  |    ~     ~    |    1|  368.297   pc  |  -2.2924     +2.2924  |paral   |2020yCat.1350....0G
2825|BD+35 2856                                                                                                                                  |Star                                |16 42 17.3788569504 +34 51 41.893092720|056.9331281402873 +40.5958247883806|-23.759 -14.463    |8.78     |K0                 |    ~     ~    |    1|  320.359   pc  |  -3.2944     +3.2944  |paral   |2020yCat.1350....0G
2826|HD 150749                                                                                                                                   |High Proper Motion Star             |16 41 39.4387519416 +34 35 21.716989476|056.5543277386193 +40.6874494882877|-59.086 -34.480    |7.63     |F5                 |    ~     ~    |    1|   74.445   pc  |  -0.0948     +0.0948  |paral   |2020yCat.1350....0G
2827|BD+34 2828                                                                                                                                  |Star                                |16 43 04.2599719704 +34 19 22.682120088|056.2614043835268 +40.3613898179723|  -5.023 10.011    |8.76     |M0                 |    ~     ~    |    1|  616.979   pc  |  -6.2048     +6.2048  |paral   |2020yCat.1350....0G
2828|BD+33 2769                                                                                                                                  |Star                                |16 41 18.6983650416 +33 17 46.781117268|054.8551676930024 +40.5686330077652| -11.921 10.663    |10.69    |F8                 |    ~     ~    |    1|  280.018   pc  |  -0.9017     +0.9017  |paral   |2020yCat.1350....0G
2829|HD 150813                                                                                                                                   |High Proper Motion Star             |16 42 02.1124931568 +33 06 07.611625116|054.6344764315306 +40.3884923213500| -28.452 52.944    |7.89     |F5                 |    ~     ~    |    1|   79.389   pc  |  -0.1141     +0.1141  |paral   |2020yCat.1350....0G
2830|BD+33 2772                                                                                                                                  |Star                                |16 42 44.4449501208 +32 53 40.232333616|054.3973332514435 +40.2088491055325|-11.149 -15.725    |9.83     |F8                 |    ~     ~    |    1|  221.435   pc  |  -0.5590     +0.5590  |paral   |2020yCat.1350....0G
2831|BD+33 2773                                                                                                                                  |High Proper Motion Star             |16 43 06.9383411040 +32 50 02.398008120|054.3362468573755 +40.1212161189462|-27.621 -45.907    |9.78     |K0                 |    ~     ~    |    1| 1354.463   pc  | -22.3818    +22.3818  |paral   |2020yCat.1350....0G
2832|BD+32 2767                                                                                                                                  |Star                                |16 41 17.7538502520 +32 18 04.493694384|053.5635546203252 +40.4096289702811|  -1.106 -0.480    |10.14    |K0                 |    ~     ~    |    1|  690.179   pc  |  -5.5733     +5.5733  |paral   |2020yCat.1350....0G
2833|HD 150844                                                                                                                                   |High Proper Motion Star             |16 42 17.9203131816 +32 26 19.791838464|053.7886183869352 +40.2243901563737| -40.768 43.466    |8.48     |A5                 |    ~     ~    |    1|  166.201   pc  |  -0.4806     +0.4806  |paral   |2020yCat.1350....0G
2834|BD+32 2773                                                                                                                                  |Star                                |16 43 01.5852133344 +32 23 44.974862232|053.7675498767258 +40.0657131323752|  3.752 -11.138    |8.80     |K0                 |    ~     ~    |    1|  380.170   pc  |  -2.8472     +2.8472  |paral   |2020yCat.1350....0G
2835|BD+35 2863                                                                                                                                  |Star                                |16 44 44.4286237680 +35 00 26.108087976|057.2123067287340 +40.1180671760826|-10.853 -38.740    |9.38     |K2                 |    ~     ~    |    1|  365.617   pc  |  -1.3769     +1.3769  |paral   |2020yCat.1350....0G
2836|BD+35 2859                                                                                                                                  |High Proper Motion Star             |16 43 05.1414271440 +34 48 38.358917532|056.8959296595290 +40.4270611875090|  -8.214 53.379    |9.39     |G5                 |    ~     ~    |    1|   88.342   pc  |  -0.1428     +0.1428  |paral   |2020yCat.1350....0G
2837|HD 151087                                                                                                                                   |High Proper Motion Star             |16 43 51.6875811288 +34 02 19.689178848|055.9246161273208 +40.1578685333774| -72.872 57.257    |6.010    |F2.5III-IV         |    ~     ~    |    1|   53.642   pc  |  -0.0731     +0.0731  |paral   |2020yCat.1350....0G
2838|V* V450 Her                                                                                                                                 |Eclipsing Binary                    |16 44 09.4202922480 +34 12 30.549717864|056.1560261262461 +40.1226822228559|  -1.518 -2.571    |10.49    |A0                 |    ~     ~    |    1| 2479.544   pc  |-150.0145   +150.0145  |paral   |2020yCat.1350....0G
2839|HD 151216                                                                                                                                   |Star                                |16 44 45.9247942680 +33 18 58.793492736|055.0312423695401 +39.8593696172474|   1.165 -4.715    |9.18     |K2                 |    ~     ~    |    1|  308.499   pc  |  -1.1230     +1.1230  |paral   |2020yCat.1350....0G
2840|HD 151058                                                                                                                                   |Star                                |16 43 38.5230427824 +32 41 32.305359012|054.1779418646096 +39.9883951122899| -2.575 -17.752    |7.34     |K0                 |    ~     ~    |    1|  185.350   pc  |  -0.4913     +0.4913  |paral   |2020yCat.1350....0G
2841|V* V911 Her                                                                                                                                 |Long-Period Variable Candidate      |16 44 44.6719578888 +32 35 30.924375396|054.1006485993343 +39.7425862701388|  -1.827 11.465    |8.54     |M2                 |    ~     ~    |    1|  600.024   pc  |  -7.1286     +7.1286  |paral   |2020yCat.1350....0G
2842|TYC 2582-337-1                                                                                                                              |High Proper Motion Star             |16 42 43.0794443400 +32 14 23.886913416|053.5521866658539 +40.1029616948611| 30.707 -56.866    |10.99    |~                  |    ~     ~    |    1|  112.471   pc  |  -0.1354     +0.1354  |paral   |2020yCat.1350....0G
2843|TYC 2585-136-1                                                                                                                              |High Proper Motion Star             |16 42 36.6999023304 +32 39 55.483092504|054.0956360229900 +40.1976089580495| 13.000 -51.924    |10.62    |~                  |    ~     ~    |    1|  263.234   pc  |  -0.7345     +0.7345  |paral   |2020yCat.1350....0G
2844|TYC 2585-684-1                                                                                                                              |Star                                |16 44 56.5376219448 +33 13 34.693926528|054.9234114444853 +39.8082288079834|  7.787 -13.276    |9.91     |~                  |    ~     ~    |    1|  452.468   pc  |  -3.3575     +3.3575  |paral   |2020yCat.1350....0G
2845|TYC 2585-761-1                                                                                                                              |Star                                |16 43 28.9262174328 +33 12 10.608753672|054.8286099213732 +40.1057833952347|  -45.390 2.887    |10.49    |~                  |    ~     ~    |    1| 1013.479   pc  | -12.4284    +12.4284  |paral   |2020yCat.1350....0G
2846|TYC 2585-904-1                                                                                                                              |High Proper Motion Star             |16 44 11.0158637424 +32 52 22.788501960|054.4352352476585 +39.9065585401005|-15.665 -97.142    |10.53    |~                  |    ~     ~    |    1|  200.590   pc  |  -0.4305     +0.4305  |paral   |2020yCat.1350....0G
2847|GSC 02585-00912                                                                                                                             |Double or Multiple Star             |16 44 05.5361571840 +33 07 53.328406764|054.7635820437245 +39.9681854244672|-12.094 -14.474    |10.315   |~                  |    ~     ~    |    1|  744.048   pc  |  -5.7575     +5.7575  |paral   |2020yCat.1350....0G
2848|TYC 2585-1018-1                                                                                                                             |Star                                |16 44 29.2367789160 +33 31 26.798829168|055.2864677840492 +39.9499678604790|  -1.655 -4.520    |10.80    |~                  |    ~     ~    |    1|  846.310   pc  | -13.6086    +13.6086  |paral   |2020yCat.1350....0G
2849|TYC 2585-1069-1                                                                                                                             |Star                                |16 44 56.1102327960 +33 32 06.272576988|055.3199186127074 +39.8595564566914|   -9.851 1.011    |10.59    |~                  |    ~     ~    |    1|  316.736   pc  |  -3.4310     +3.4310  |paral   |2020yCat.1350....0G
2850|TYC 2585-2161-1                                                                                                                             |Star                                |16 44 47.1324779040 +34 31 01.802419212|056.5799498590073 +40.0396097555801|  -6.735 11.925    |10.89    |~                  |    ~     ~    |    1|  299.922   pc  |  -0.9175     +0.9175  |paral   |2020yCat.1350....0G
2851|TYC 2585-2468-1                                                                                                                             |Star                                |16 44 43.0713577200 +34 26 09.393793980|056.4723335672717 +40.0415941282203|  -20.793 9.313    |9.71     |~                  |    ~     ~    |    1|  581.328   pc  |  -4.0891     +4.0891  |paral   |2020yCat.1350....0G
2852|TYC 2585-2678-1                                                                                                                             |Star                                |16 43 10.9679151648 +34 55 51.247565364|057.0559821522360 +40.4237413802587|   1.891 -1.909    |10.00    |~                  |    ~     ~    |    1| 1303.781   pc  | -18.0184    +18.0184  |paral   |2020yCat.1350....0G
2853|TYC 2588-296-1                                                                                                                              |Star                                |16 43 58.8254107824 +35 01 45.567194772|057.2130463431313 +40.2752387113220|  -5.925 -1.369    |10.55    |~                  |    ~     ~    |    1|  379.780   pc  |  -3.8943     +3.8943  |paral   |2020yCat.1350....0G
2854|BD+36 2744                                                                                                                                  |Star                                |16 31 06.8611434552 +36 15 59.806730520|058.4641789470457 +43.0116387825852|  -3.439 -5.614    |9.64     |K2                 |    ~     ~    |    1|  501.027   pc  |  -3.0374     +3.0374  |paral   |2020yCat.1350....0G
2855|BD+36 2745                                                                                                                                  |Star                                |16 31 23.9187379728 +36 22 00.757198740|058.6076358839254 +42.9634696170142|   -7.906 3.354    |10.67    |K2                 |    ~     ~    |    1| 1127.269   pc  | -16.0113    +16.0113  |paral   |2020yCat.1350....0G
2856|HD 148928                                                                                                                                   |Star                                |16 30 05.5594164576 +34 47 09.225443148|056.4198760415310 +43.0706828131198| 10.698 -16.684    |8.05     |K2                 |    ~     ~    |    1|  352.983   pc  |  -3.3267     +3.3267  |paral   |2020yCat.1350....0G
2857|BD+35 2825                                                                                                                                  |Star                                |16 30 08.2612536960 +35 10 16.087484820|056.9456686323684 +43.1029577692272|  25.848 -0.805    |9.71     |F8                 |    ~     ~    |    1|  134.517   pc  |  -0.1900     +0.1900  |paral   |2020yCat.1350....0G
2858|NGC 6179                           NGC 6179                                                                                                 |Galaxy towards a Cluster of Galaxies|16 30 47.0455009296 +35 06 08.033688684|056.8710550245164 +42.9642566997031|            ~ ~    |     ~   |~                  |0.273 0.241    |    0|                |                       |        |                   
2859|NGC 6177                           NGC 6177                                                                                                 |LINER-type Active Galaxy Nucleus    |16 30 38.8780879848 +35 03 23.015021436|056.8046827838503 +42.9870296418429|            ~ ~    |     ~   |~                  |0.833 0.383    |    1|   93.33    Mpc | -11.34      +11.34    |T-F     |2020ApJ...902..145K
2860|HD 149084                                                                                                                                   |Double or Multiple Star             |16 31 02.7835865928 +35 13 30.239572692|057.0456930387093 +42.9240112319849| -8.366 -17.070    |6.260    |K5                 |0.0033  0.0    |    1|  378.401   pc  |  -7.2453     +7.2453  |paral   |2020yCat.1350....0G
2861|HD 150119                                                                                                                                   |Star                                |16 37 26.6466286344 +37 29 25.254369672|060.2645436184262 +41.8565382970196| 18.905 -19.421    |7.64     |K5                 |    ~     ~    |    1|  313.982   pc  |  -1.3703     +1.3703  |paral   |2020yCat.1350....0G
2862|HD 150510                                                                                                                                   |Star                                |16 39 56.7287297664 +37 31 03.786641976|060.3588317429384 +41.3647210377014|  33.659 29.353    |8.63     |G6V                |    ~     ~    |    1|   45.255   pc  |  -0.0344     +0.0344  |paral   |2020yCat.1350....0G
2863|BD+37 2765                                                                                                                                  |Star                                |16 32 01.2648795744 +36 42 56.570460300|059.0968686488588 +42.8688860140920|  12.944 14.737    |10.74    |A5                 |    ~     ~    |    1|  324.065   pc  |  -9.7772     +9.7772  |paral   |2020yCat.1350....0G
2864|BD+37 2770                                                                                                                                  |Star                                |16 35 08.6187362160 +37 03 44.744044212|059.6378126941714 +42.2761475646800|  5.880 -20.553    |10.50    |K2                 |    ~     ~    |    1|  812.876   pc  |  -8.0614     +8.0614  |paral   |2020yCat.1350....0G
2865|HD 149750                                                                                                                                   |High Proper Motion Star             |16 35 14.6425767672 +37 01 19.663173588|059.5858882369649 +42.2527196386334| -62.057 79.102    |8.56     |G0V                |    ~     ~    |    1|   85.256   pc  |  -0.1083     +0.1083  |paral   |2020yCat.1350....0G
2866|BD+37 2773                                                                                                                                  |Star                                |16 35 22.2037824408 +37 03 52.411328316|059.6459197991961 +42.2313288306259|  3.746 -13.145    |10.29    |A0                 |    ~     ~    |    1|  588.789   pc  | -12.0989    +12.0989  |paral   |2020yCat.1350....0G
2867|HD 149772                                                                                                                                   |Double or Multiple Star             |16 35 24.8871343176 +36 54 44.505841644|059.4422466002858 +42.2091349494334|   1.990 31.870    |8.56     |F7V                |    ~     ~    |    1|   87.527   pc  |  -0.1318     +0.1318  |paral   |2020yCat.1350....0G
2868|BD+37 2777                                                                                                                                  |High Proper Motion Star             |16 36 54.2760834864 +36 54 45.822384072|059.4789768225598 +41.9125893609992|  88.831 49.875    |9.25     |G0V                |    ~     ~    |    1|   92.543   pc  |  -0.0985     +0.0985  |paral   |2020yCat.1350....0G
2869|BD+37 2779                                                                                                                                  |High Proper Motion Star             |16 37 38.0498925264 +37 18 35.750388600|060.0276671281685 +41.8034161092973| -55.702 25.500    |9.60     |G7V                |    ~     ~    |    1|  131.780   pc  |  -0.7519     +0.7519  |paral   |2020yCat.1350....0G
2870|BD+37 2782                                                                                                                                  |High Proper Motion Star             |16 38 10.6841614752 +37 08 41.059422096|059.8201571337227 +41.6807891830756| -33.047 95.395    |9.17     |G6V                |    ~     ~    |    1|   64.617   pc  |  -0.0463     +0.0463  |paral   |2020yCat.1350....0G
2871|HD 150292                                                                                                                                   |Star                                |16 38 31.5569722320 +37 12 04.725878724|059.9040309194410 +41.6169530836338|    3.330 2.648    |8.47     |K0                 |    ~     ~    |    1|  333.356   pc  |  -1.6336     +1.6336  |paral   |2020yCat.1350....0G
2872|HD 150566                                                                                                                                   |Star                                |16 40 15.4349157432 +37 21 20.354592744|060.1514689227147 +41.2882615730454|   1.096 -8.328    |7.74     |K2                 |    ~     ~    |    1|  420.009   pc  |  -2.7696     +2.7696  |paral   |2020yCat.1350....0G
2873|HD 150579                                                                                                                                   |Spectroscopic Binary                |16 40 23.4543823560 +37 02 15.526210020|059.7337609068157 +41.2313390662935|  18.543 57.024    |8.93     |G2V                |    ~     ~    |    1|  131.427   pc  |  -4.2854     +4.2854  |paral   |2020yCat.1350....0G
2874|BD+37 2789                                                                                                                                  |Red Giant Branch star               |16 40 34.1756997120 +36 47 23.520039900|059.4108670963332 +41.1709422686992|-12.807 -13.308    |10.51    |~                  |    ~     ~    |    1|  750.300   pc  |  -6.6991     +6.6991  |paral   |2020yCat.1350....0G
2875|BD+37 2790                                                                                                                                  |Red Giant Branch star               |16 41 09.5001530880 +36 58 33.925626012|059.6726830052397 +41.0727596118763|  7.945 -21.007    |9.76     |K0                 |    ~     ~    |    1|  624.259   pc  |  -4.1698     +4.1698  |paral   |2020yCat.1350....0G
2876|HD 149432                                                                                                                                   |Star                                |16 33 13.9404889200 +36 26 54.555571788|058.7633609280774 +42.6033043781157| -21.320 -9.347    |8.50     |F5                 |    ~     ~    |    1|  141.481   pc  |  -0.4624     +0.4624  |paral   |2020yCat.1350....0G
