C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+74 683                                                                                                                                   |Star                                |16 43 23.5312173816 +74 22 30.117362520|106.8461910909090 +34.4856635500540|    3.447 8.043    |9.53     |K0                 |    ~     ~    |    1|  227.381   pc  |  -1.3443     +1.3443  |paral   |2020yCat.1350....0G
34  |HD 151746                                                                                                                                   |Spectroscopic Binary                |16 41 57.18628 +73 53 14.5699          |106.35188658 +34.77209804          |   -15.19 35.39    |6.82     |A2                 |    ~     ~    |    0|                |                       |        |                   
35  |BD+73 740                                                                                                                                   |Star                                |16 43 07.3786845216 +73 41 52.707079716|106.1008024141440 +34.7730110210132| -17.991 27.266    |9.40     |F8                 |    ~     ~    |    1|  189.236   pc  |  -0.3939     +0.3939  |paral   |2020yCat.1350....0G
36  |TYC 4426-618-1                                                                                                                              |Star                                |16 41 19.1492977392 +74 24 28.244409012|106.9514277000193 +34.5997127760633|  5.107 -13.007    |10.13    |~                  |    ~     ~    |    1|  942.329   pc  |  -8.9686     +8.9686  |paral   |2020yCat.1350....0G
37  |TYC 4426-714-1                                                                                                                              |Star                                |16 38 34.2463430280 +74 17 23.208397080|106.9146877036274 +34.8173972688131|    6.403 1.599    |9.49     |~                  |    ~     ~    |    1|  476.213   pc  |  -3.1295     +3.1295  |paral   |2020yCat.1350....0G
38  |TYC 4426-1040-1                                                                                                                             |Star                                |16 43 23.6640949080 +74 29 11.848554168|106.9700020525086 +34.4405827987180|   -6.433 9.589    |10.80    |~                  |    ~     ~    |    1|  283.825   pc  |  -0.8056     +0.8056  |paral   |2020yCat.1350....0G
39  |TYC 4426-1190-1                                                                                                                             |Star                                |16 42 19.0322331048 +74 48 13.986879696|107.3564223720647 +34.3765486252835|       5.9 25.4    |10.217   |~                  |    ~     ~    |    0|                |                       |        |                   
40  |TYC 4426-1421-1                                                                                                                             |Star                                |16 42 34.8991026504 +73 39 21.374479116|106.0722315498787 +34.8246186345635|  -8.255 -6.268    |10.54    |~                  |    ~     ~    |    0|                |                       |        |                   
41  |HD 151341                                                                                                                                   |High Proper Motion Star             |16 36 46.7056199544 +77 57 32.632751088|110.9438190247207 +33.2895100970469|  -8.013 53.526    |8.68     |F                  |    ~     ~    |    1|  111.635   pc  |  -0.1795     +0.1795  |paral   |2020yCat.1350....0G
42  |HD 151043                                                                                                                                   |Star                                |16 35 21.3625649688 +77 45 18.671465772|110.7694198636901 +33.4505935918656|  17.587 -1.781    |6.88     |F8                 |    ~     ~    |    1|   85.763   pc  |  -0.1030     +0.1030  |paral   |2020yCat.1350....0G
43  |HD 151698                                                                                                                                   |High Proper Motion Star             |16 39 07.5071574192 +77 52 10.027844688|110.7812568513108 +33.2214015179390| -86.289 92.028    |8.06     |K0                 |    ~     ~    |    1|  275.839   pc  |  -1.1641     +1.1641  |paral   |2020yCat.1350....0G
44  |HD 150730                                                                                                                                   |Star                                |16 33 20.0441910648 +77 41 14.346403116|110.7583548708947 +33.5773908071308|  -32.570 8.609    |7.54     |A2                 |    ~     ~    |    1|  127.244   pc  |  -0.3271     +0.3271  |paral   |2020yCat.1350....0G
45  |HD 150902                                                                                                                                   |Star                                |16 34 30.1948134456 +77 39 14.215179060|110.6876837774702 +33.5381387153413|-13.695 -12.352    |7.89     |G5                 |    ~     ~    |    1|  293.815   pc  |  -1.2604     +1.2604  |paral   |2020yCat.1350....0G
46  |HD 150962                                                                                                                                   |Star                                |16 35 18.1987819176 +77 07 12.986093748|110.0959867868892 +33.7480705621089|   15.847 1.748    |8.23     |F5                 |    ~     ~    |    1|  154.871   pc  |  -0.4845     +0.4845  |paral   |2020yCat.1350....0G
47  |BD+77 631                                                                                                                                   |Star                                |16 35 41.6568493656 +77 37 41.400640776|110.6246232913316 +33.4938428359730| -12.028 24.279    |9.29     |K2                 |    ~     ~    |    1|  613.874   pc  |  -6.2179     +6.2179  |paral   |2020yCat.1350....0G
48  |BD+77 632                                                                                                                                   |Star                                |16 36 35.6464940712 +77 13 18.695422956|110.1648418981081 +33.6377454283386| -25.137 13.007    |8.94     |A5                 |    ~     ~    |    1|  235.977   pc  |  -1.2028     +1.2028  |paral   |2020yCat.1350....0G
49  |BD+77 633                                                                                                                                   |Star                                |16 38 45.1761376176 +77 40 00.874619760|110.5759515150590 +33.3307215272461|-15.849 -17.587    |9.26     |G0                 |    ~     ~    |    1|  182.399   pc  |  -0.4125     +0.4125  |paral   |2020yCat.1350....0G
50  |BD+76 613                                                                                                                                   |Star                                |16 32 04.9996351128 +76 10 33.681272916|109.1904901208348 +34.3507820348922|   9.425 -5.411    |9.72     |K0                 |    ~     ~    |    1|  882.145   pc  | -10.5833    +10.5833  |paral   |2020yCat.1350....0G
51  |BD+76 614                                                                                                                                   |High Proper Motion Star             |16 34 12.9856375152 +75 58 55.692388560|108.9105022939962 +34.3262579297786|106.891 143.283    |9.918    |K7                 |    ~     ~    |    1|   33.482   pc  |  -0.0132     +0.0132  |paral   |2020yCat.1350....0G
52  |BD+76 615                                                                                                                                   |Star                                |16 34 51.8103183192 +76 30 39.734027820|109.4580753721928 +34.0504818060494|  -4.216 34.182    |8.52     |K0                 |    ~     ~    |    1|  538.938   pc  |  -4.9377     +4.9377  |paral   |2020yCat.1350....0G
53  |BD+76 616                                                                                                                                   |Star                                |16 37 12.5140039776 +76 09 49.117216968|109.0084175107676 +34.0837693630652| -17.272 20.785    |10.02    |B8                 |    ~     ~    |    1|  452.817   pc  | -11.4619    +11.4619  |paral   |2020yCat.1350....0G
54  |BD+76 619                                                                                                                                   |Star                                |16 41 01.5667513248 +76 15 50.452661124|108.9971731255225 +33.8353550472466|   -2.719 6.700    |9.36     |K0                 |    ~     ~    |    1|  525.762   pc  | -11.9692    +11.9692  |paral   |2020yCat.1350....0G
55  |BD+76 620                                                                                                                                   |Star                                |16 42 08.3740331016 +76 10 16.399088004|108.8620634994075 +33.8151015176853|  22.719 16.188    |8.78     |K0                 |    ~     ~    |    1|  371.209   pc  |  -2.0807     +2.0807  |paral   |2020yCat.1350....0G
56  |BD+76 621                                                                                                                                   |Star                                |16 44 13.8533488152 +76 19 12.483582708|108.9614470913918 +33.6396172835267|-10.425 -11.878    |9.30     |F8                 |    ~     ~    |    1|  255.728   pc  |  -4.4535     +4.4535  |paral   |2020yCat.1350....0G
57  |BD+76 617                                                                                                                                   |Star                                |16 38 01.9266916776 +75 48 43.114701996|108.6006301795199 +34.1943926497603|  -7.235 10.833    |10.07    |G0                 |    ~     ~    |    1|  290.116   pc  |  -1.0268     +1.0268  |paral   |2020yCat.1350....0G
58  |TYC 4567-1228-1                                                                                                                             |Star                                |16 33 00.0252787560 +75 39 26.857248480|108.6014771146291 +34.5407274862313|   -2.316 1.617    |10.12    |K0                 |    ~     ~    |    1|  797.512   pc  |  -7.3143     +7.3143  |paral   |2020yCat.1350....0G
59  |TYC 4567-346-1                                                                                                                              |Star                                |16 30 34.7954370984 +76 45 07.758035640|109.8552986110386 +34.1565773599904|  7.077 -19.438    |10.74    |~                  |    ~     ~    |    1|  661.026   pc  |  -4.7628     +4.7628  |paral   |2020yCat.1350....0G
60  |TYC 4567-527-1                                                                                                                              |Star                                |16 38 49.5973911768 +76 05 07.976075496|108.8721490406190 +34.0311981292702|   -5.629 9.556    |10.77    |~                  |    ~     ~    |    1|  441.560   pc  |  -3.5290     +3.5290  |paral   |2020yCat.1350....0G
