C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:20:27

Vmag< 11&dec >=0&rah >=23.25&rah< 23.5
--------------------------------------

Number of objects : 4862

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------
2417|BD+10 4936                                                            |Star                           |23 27 04.2196779120 +11 05 42.979988760|091.9762855350084 -46.6431700180913|   11.693 5.932  |9.87     |F8                   |    ~     ~    
2418|BD+09 5218                                                            |Star                           |23 27 20.3774202216 +10 16 09.099540660|091.4935001760654 -47.4037439074620| -9.878 -10.929  |10.48    |K0                   |    ~     ~    
2419|HD 220795                                                             |Star                           |23 26 39.6354624552 +09 44 59.373120840|090.9093645467529 -47.7812419249994|  -0.315 -0.090  |8.78     |G5                   |    ~     ~    
2420|BD+08 5062                                                            |Star                           |23 27 17.9521509840 +09 44 39.776366652|091.1113965383577 -47.8611556363917|   -1.057 5.447  |9.53     |K2                   |    ~     ~    
2421|HD 221026                                                             |Double or Multiple Star        |23 28 31.6953217152 +09 25 37.806381300|091.2850917581629 -48.2841771272420|  98.494 -7.314  |7.40     |F5                   |    ~     ~    
2422|HD 220965                                                             |Star                           |23 28 04.4482757712 +08 37 53.240781648|090.5613038265671 -48.9297008976443|  -6.784 -2.906  |7.82     |K2                   |    ~     ~    
2423|BD+08 5063                                                            |Double or Multiple Star        |23 27 19.8370 +09 25 48.507            |090.8973927 -48.1409833            |  6.041 -61.502  |10.94    |~                    |    ~     ~    
2424|BD+10 4941                                                            |Spectroscopic Binary           |23 29 24.1258565808 +10 54 42.374046672|092.5943398092750 -47.0703627679409|   1.426 -7.784  |9.52     |G5                   |    ~     ~    
2425|HD 221077                                                             |Star                           |23 28 50.3110899504 +09 52 30.499995720|091.7019915700256 -47.9249797749503|  10.581 -3.878  |9.90     |F5                   |    ~     ~    
2426|BD+09 5222                                                            |Star                           |23 29 08.9527199688 +10 04 15.870538884|091.9391540457169 -47.7874315526981|  2.970 -42.488  |9.59     |K0                   |    ~     ~    
2427|HD 221205                                                             |Star                           |23 29 58.1595612624 +10 15 17.232509556|092.3317139849518 -47.7180142919259| 11.752 -10.137  |8.83     |K0                   |    ~     ~    
2428|BD+08 5069                                                            |Star                           |23 29 48.9637939920 +08 53 04.400730348|091.3207272049937 -48.9125885891815|   18.952 0.781  |9.83     |G5                   |    ~     ~    
2429|TYC 1162-210-1                                                        |Star                           |23 28 22.2640329120 +09 45 45.320471928|091.4712834524337 -47.9702293287543| -14.988 -8.223  |10.28    |~                    |    ~     ~    
2430|TYC 1162-222-1                                                        |Star                           |23 27 47.6534190624 +09 49 44.742289944|091.3312817734771 -47.8444895364037|   5.218 -8.113  |10.64    |~                    |    ~     ~    
2431|TYC 1162-639-1                                                        |High Proper Motion Star        |23 26 16.1151051672 +08 34 08.865196572|089.9225645130743 -48.7671936706474| 60.599 -49.869  |10.51    |~                    |    ~     ~    
2432|TYC 1162-1048-1                                                       |Star                           |23 26 39.2340052752 +09 02 11.390007120|090.3926653269802 -48.4055363705174|   1.310 -4.864  |10.66    |~                    |    ~     ~    
2433|TYC 1162-1100-1                                                       |Star                           |23 26 47.4842340876 +08 22 23.777382203|089.9479880875952 -49.0012742677140|  39.428 -8.220  |10.05    |~                    |    ~     ~    
2434|TYC 1162-1636-1                                                       |Star                           |23 26 33.8978327520 +09 28 33.893094576|090.6824895704308 -48.0100487408832|-28.056 -24.338  |10.28    |~                    |    ~     ~    
2435|TYC 1165-962-1                                                        |Star                           |23 28 41.2538351880 +10 45 00.511450524|092.2562536188620 -47.1331721026955|   13.662 1.117  |10.57    |~                    |    ~     ~    
2436|TYC 1165-1506-1                                                       |Star                           |23 27 10.9165853112 +10 27 54.146952396|091.5791993983218 -47.2127390110448|   8.552 -7.248  |10.50    |~                    |    ~     ~    
2437|TYC 1169-1556-1                                                       |Star                           |23 29 59.9504176968 +09 56 48.264195984|092.1295333013832 -47.9946781419720|  38.848 -4.228  |10.96    |~                    |    ~     ~    
2438|TYC 1169-1691-1                                                       |Star                           |23 29 59.0260574064 +08 26 10.769150868|091.0521036968643 -49.3269808922784|  21.210 -7.352  |10.34    |~                    |    ~     ~    
2439|TYC 1169-1717-1                                                       |High Proper Motion Star        |23 29 24.7674637728 +08 52 01.913460636|091.1747486413044 -48.8807527149259| 38.443 -48.853  |10.40    |~                    |    ~     ~    
2440|BD+10 4905                                                            |Star                           |23 15 09.5164898376 +11 12 14.282881524|088.3957052221268 -45.1144048353178|    7.090 2.626  |10.06    |K0                   |    ~     ~    
2441|BD+10 4915                                                            |Horizontal Branch Star         |23 19 27.9851245008 +11 10 36.594915600|089.6738332607952 -45.6723766816112|   7.310 -2.696  |9.66     |G5                   |    ~     ~    
2442|BD+10 4916                                                            |Star                           |23 19 45.9051245376 +11 06 37.808311248|089.7176423274706 -45.7663498548416| 27.657 -12.765  |9.74     |F0                   |    ~     ~    
2443|BD+10 4917                                                            |Star                           |23 19 55.3723119000 +11 10 51.912460056|089.8159836888938 -45.7242744739289|-15.150 -16.831  |10.20    |F5                   |    ~     ~    
2444|BD+10 4923                                                            |Horizontal Branch Star         |23 22 09.6666058512 +11 12 48.840084576|090.5253523200090 -45.9654693817039| -21.448 -1.163  |9.58     |K0                   |    ~     ~    
2445|HD 220302                                                             |High Proper Motion Star        |23 22 41.0948916648 +11 11 52.846298844|090.6761871154021 -46.0413991616167| 94.483 -35.930  |8.74     |F8                   |    ~     ~    
2446|BD+10 4928                                                            |Star                           |23 23 24.3576061032 +11 10 57.536000760|090.8887919249476 -46.1402239714255|  0.195 -24.604  |9.65     |G0                   |    ~     ~    
2447|BD+10 4931                                                            |Spectroscopic Binary           |23 24 04.1189986992 +11 09 39.827679624|091.0797838419125 -46.2371805748673|  2.901 -22.522  |9.41     |M0                   |    ~     ~    
2448|BD+10 4932                                                            |Star                           |23 24 20.5368417504 +11 07 19.970039100|091.1381721155607 -46.3034007490368|   8.762 -6.579  |9.85     |K5                   |    ~     ~    
2449|BD+10 4934                                                            |Star                           |23 25 09.5470761384 +11 16 54.826213872|091.5030198069624 -46.2581917086637| 11.589 -13.303  |9.96     |M0                   |    ~     ~    
2450|BD+12 4956                                                            |Star                           |23 15 06.8183594208 +12 56 05.082729468|089.6123253152380 -43.6179297801595|  23.140 -6.203  |9.44     |A5                   |    ~     ~    
2451|BD+12 4957                                                            |Star                           |23 15 18.0467351280 +13 12 15.006029040|089.8525914042401 -43.4074443428633|   0.588 -8.260  |9.30     |G0                   |    ~     ~    
2452|BD+12 4958                                                            |Star                           |23 15 30.7348871280 +13 31 29.080643844|090.1329163747554 -43.1549210023535|   25.652 5.299  |9.77     |F0                   |    ~     ~    
2453|BD+11 4965                                                            |Star                           |23 15 08.0691770328 +12 40 03.280129824|089.4325905764871 -43.8514653788326|-13.605 -43.735  |9.84     |G5                   |    ~     ~    
2454|HD 219386                                                             |High Proper Motion Star        |23 15 18.8688599592 +12 26 15.745527204|089.3243566164629 -44.0721468127822|  76.182 17.990  |7.65     |F0                   |    ~     ~    
2455|HD 219488                                                             |Star                           |23 15 56.8147432896 +12 44 31.963437528|089.7222749144503 -43.8862861935115| -1.337 -18.501  |9.31     |F                    |    ~     ~    
2456|HD 219563                                                             |Star                           |23 16 36.9676762680 +12 40 42.423643560|089.8746130395649 -44.0229400932467|  7.820 -45.268  |9.25     |G                    |    ~     ~    
2457|BD+11 4964                                                            |Star                           |23 15 06.6948042960 +11 52 27.086988252|088.8654622390557 -44.5327512993608|  10.759 -5.605  |9.60     |G5                   |    ~     ~    
2458|HD 219500                                                             |Star                           |23 16 02.9191215072 +11 49 26.795415576|089.1071987934173 -44.6923203574061| 19.556 -20.322  |9.09     |A3                   |    ~     ~    
2459|BD+11 4970                                                            |Star                           |23 16 34.2869550264 +11 55 05.726638344|089.3293330694729 -44.6756104907922|-12.608 -31.496  |10.60    |F5                   |    ~     ~    
2460|BD+11 4972                                                            |Star                           |23 16 40.0907988264 +12 15 12.946234536|089.5941712604329 -44.3974476057821|   20.547 4.934  |10.38    |K5                   |    ~     ~    
2461|BD+10 4906                                                            |Red Giant Branch star          |23 15 24.5153208456 +11 36 02.032592148|088.7572197703115 -44.8052043474086|-13.898 -23.656  |9.77     |K0                   |    ~     ~    
2462|BD+10 4907                                                            |Star                           |23 15 30.8016623880 +11 44 15.901187352|088.8867465315479 -44.7002427017756|   3.871 -3.910  |10.46    |K0                   |    ~     ~    
2463|BD+12 4963                                                            |Star                           |23 17 48.0044206512 +13 38 35.763844488|090.8776466277364 -43.3246216512725| -1.852 -20.298  |8.82     |K5                   |    ~     ~    
2464|BD+12 4965                                                            |Star                           |23 18 12.3157425864 +13 10 31.187040456|090.6820287121530 -43.7813232822922|-21.995 -12.111  |9.91     |K2                   |    ~     ~    
2465|BD+12 4966                                                            |Star                           |23 18 13.9630986312 +13 23 45.544535412|090.8386733717629 -43.5918445813469| -29.259 -0.778  |9.83     |G0                   |    ~     ~    
2466|BD+12 4967                                                            |Star                           |23 18 24.6852788304 +12 54 40.800792060|090.5639248473554 -44.0362256441188|  24.182 -0.399  |10.43    |A2                   |    ~     ~    
2467|BD+12 4968                                                            |Star                           |23 18 30.5902188552 +13 45 00.429390396|091.1560879624620 -43.3146217209200| -28.431 -6.183  |9.30     |F8                   |    ~     ~    
2468|BD+12 4973                                                            |High Proper Motion Star        |23 20 32.2684969392 +13 21 54.217601748|091.4981340393867 -43.8889349368761| 74.137 -27.995  |9.35     |G5                   |    ~     ~    
2469|HD 220184                                                             |Star                           |23 21 38.8080517896 +13 11 13.376770116|091.7106035321431 -44.1738321045790| -9.328 -15.388  |8.38     |A0                   |    ~     ~    
2470|BD+12 4975                                                            |Star                           |23 22 19.3416733416 +13 02 51.202254768|091.8208763318306 -44.3745283298551|   1.074 16.183  |9.43     |F8                   |    ~     ~    
2471|BD+12 4976                                                            |Star                           |23 22 25.9190245752 +13 26 33.656878068|092.1130201363499 -44.0384017987761|-33.124 -23.093  |10.05    |F5                   |    ~     ~    
2472|BD+12 4977                                                            |Star                           |23 23 03.0430338312 +13 34 41.506067784|092.3859490159663 -43.9888258300477|   24.498 0.562  |9.54     |F5                   |    ~     ~    
2473|BD+12 4979                                                            |Star                           |23 23 32.7501671904 +13 41 16.106246520|092.6046647032989 -43.9475306892897|  -7.103 -9.317  |10.73    |F8                   |    ~     ~    
2474|BD+12 4982                                                            |Star                           |23 25 28.1889751488 +13 30 14.491379412|093.0657792895607 -44.3254613938635| -10.407 -6.287  |9.33     |K0                   |    ~     ~    
2475|BD+11 4978                                                            |Star                           |23 18 58.7613614160 +12 16 52.474022148|090.3011283452040 -44.6533929153351|  16.946 -5.467  |10.50    |F5                   |    ~     ~    
2476|BD+11 4981                                                            |Star                           |23 19 28.5954212520 +12 30 40.242926736|090.6077568947096 -44.5122687127181|  -1.064 -7.672  |10.12    |F0                   |    ~     ~    
2477|BD+11 4983                                                            |Star                           |23 20 14.9578807968 +12 33 50.266617228|090.8749638137575 -44.5577198229790|   8.480 17.908  |9.75     |G5                   |    ~     ~    
2478|BD+11 4985                                                            |Star                           |23 21 22.1401308576 +12 24 54.434841948|091.1107767459855 -44.8199069705778|-16.430 -38.416  |8.62     |K5                   |    ~     ~    
2479|BD+11 4989                                                            |Star                           |23 22 30.7649270520 +12 43 13.899609840|091.6613263959300 -44.6846307455159|-13.380 -11.579  |10.33    |F5                   |    ~     ~    
2480|BD+11 4990                                                            |Star                           |23 22 34.6168103400 +12 28 45.638633208|091.5195439036689 -44.9043844203899| -5.743 -39.567  |9.83     |G5                   |    ~     ~    
2481|* 66 Peg                                                              |Star                           |23 23 04.5677946672 +12 18 50.076368928|091.5602167322193 -45.1078485612184| 21.568 -21.096  |5.081    |K3III                |    ~     ~    
2482|BD+11 4994                                                            |Star                           |23 23 13.3116701304 +12 26 15.674721108|091.6875626321625 -45.0156737060356|   7.822 -0.992  |8.69     |K2                   |    ~     ~    
2483|BD+11 4996                                                            |Red Giant Branch star          |23 23 37.3683003192 +12 16 47.628803172|091.7042041270771 -45.2010028245864|    0.456 2.120  |9.60     |K0                   |    ~     ~    
2484|BD+11 4998                                                            |High Proper Motion Star        |23 23 59.1155948088 +12 20 13.661219328|091.8532859769334 -45.1922447954519| 54.173 -77.198  |9.38     |G0                   |    ~     ~    
2485|BD+11 5000                                                            |High Proper Motion Star        |23 25 18.5207883600 +12 39 40.696544700|092.4725250951408 -45.0561142520778|-64.283 -48.445  |9.74     |F8                   |    ~     ~    
2486|V* EI Peg                                                             |RV Tauri Variable              |23 21 46.0224026952 +12 35 44.835212256|091.3527742152202 -44.7078549059860|   23.006 5.613  |9.20     |M5II                 |    ~     ~    
2487|BD+11 4980                                                            |Red Giant Branch star          |23 19 20.3005907160 +12 10 03.517866588|090.3302060252000 -44.7954184740828|   11.571 7.216  |9.76     |K5                   |    ~     ~    
2488|TYC 1165-1153-1                                                       |High Proper Motion Star        |23 20 57.0397717272 +11 31 30.161211384|090.3717515248411 -45.5488773043974|46.068 -121.735  |10.86    |K0                   |    ~     ~    
2489|BD+11 4992                                                            |Star                           |23 22 41.4966066192 +12 11 47.708143296|091.3639846678793 -45.1664001807390| 30.466 -26.336  |9.65     |F8                   |    ~     ~    
2490|BD+11 4995                                                            |Star                           |23 23 33.6055054440 +11 48 34.415341920|091.3673888643980 -45.6078585550034|-37.056 -31.567  |10.12    |F5                   |    ~     ~    
2491|BD+11 4999                                                            |Star                           |23 24 31.8689528880 +12 15 15.714698868|091.9653528818797 -45.3279181852290|   8.076 -1.983  |10.77    |A5                   |    ~     ~    
2492|TYC 1165-7-1                                                          |Star                           |23 25 15.7292715096 +12 14 55.425697980|092.1863881946599 -45.4163201445654|    9.592 0.327  |10.24    |K0                   |    ~     ~    
2493|BD+10 4913                                                            |Horizontal Branch Star         |23 19 13.1165045016 +11 27 55.744003512|089.8033346093041 -45.3916971962801|  15.322 -3.870  |9.37     |K0                   |    ~     ~    
2494|BD+10 4914                                                            |Star                           |23 19 16.8739268808 +11 35 43.321453224|089.9138796000142 -45.2864971818700|  36.353 -0.779  |9.60     |F5                   |    ~     ~    
2495|BD+10 4918                                                            |Star                           |23 20 11.5361281560 +11 33 04.092021504|090.1590351546574 -45.4350589452037|    7.176 6.490  |9.51     |K0                   |    ~     ~    
2496|BD+10 4920                                                            |Star                           |23 21 04.7089540104 +11 41 27.065606172|090.5261176214545 -45.4194223525740|   3.269 -4.172  |10.21    |F2                   |    ~     ~    
2497|BD+10 4925                                                            |Red Giant Branch star          |23 22 41.2740215016 +11 29 21.024273552|090.8792772299911 -45.7868205258584|   7.118 -1.131  |10.76    |K0                   |    ~     ~    
2498|BD+10 4929                                                            |High Proper Motion Star        |23 23 35.9234253288 +11 46 55.716816252|091.3606189524841 -45.6364699492950|-28.126 -63.994  |10.25    |F8                   |    ~     ~    
2499|BD+10 4930                                                            |Star                           |23 23 52.7393994288 +11 39 34.925173164|091.3635889296212 -45.7768070270791|  -4.742 -8.032  |9.59     |G0                   |    ~     ~    
2500|BD+10 4933                                                            |Star                           |23 24 44.0858244240 +11 34 00.306941664|091.5652300762117 -45.9580321055550|   3.474 -4.637  |10.12    |K0                   |    ~     ~    
2501|BD+12 4971                                                            |Star                           |23 19 20.7120818208 +13 26 48.344313228|091.1997594251595 -43.6782497403642| -11.681 -9.857  |10.19    |~                    |    ~     ~    
2502|TYC 1164-236-1                                                        |Star                           |23 17 43.2043261656 +11 39 54.033015420|089.4928932146253 -45.0357580651286|   1.328 -0.124  |10.70    |~                    |    ~     ~    
2503|TYC 1164-288-1                                                        |Star                           |23 17 46.2357126336 +11 44 30.255434988|089.5623404947066 -44.9755148882823| -9.688 -11.509  |10.49    |~                    |    ~     ~    
2504|TYC 1165-149-1                                                        |High Proper Motion Star        |23 21 24.6929062176 +12 10 31.992992580|090.9607882245507 -45.0349039797547|  58.183 14.652  |10.60    |~                    |    ~     ~    
2505|TYC 1165-258-1                                                        |Star                           |23 21 12.3277194552 +11 36 50.246902548|090.5114308059723 -45.5017218640707|  9.895 -10.198  |10.00    |~                    |    ~     ~    
2506|TYC 1165-560-1                                                        |High Proper Motion Star        |23 20 26.0436435912 +11 19 25.337813448|090.0728718372917 -45.6622031899496|  94.710 -4.987  |10.40    |~                    |    ~     ~    
2507|TYC 1165-631-1                                                        |Star                           |23 24 36.3026410152 +12 08 22.836672780|091.9114982668332 -45.4376846572766|  9.517 -40.508  |10.35    |~                    |    ~     ~    
2508|TYC 1165-907-1                                                        |High Proper Motion Star        |23 19 31.1580076320 +11 24 36.979239780|089.8554939644833 -45.4761807053432| 90.397 -43.337  |10.90    |~                    |    ~     ~    
2509|BD+12 4969                                                            |Horizontal Branch Star         |23 18 52.7253040488 +13 17 12.142308480|090.9553654258154 -43.7636450355411|  7.590 -13.914  |10.00    |~                    |    ~     ~    
2510|TYC 1167-934-1                                                        |Star                           |23 19 03.4836806712 +13 28 40.230071868|091.1359046129370 -43.6173825441644|  36.128 14.594  |10.02    |~                    |    ~     ~    
2511|TYC 1167-1061-1                                                       |Horizontal Branch Star         |23 17 31.0441154136 +13 02 41.877985884|090.3912789318911 -43.8129992705350| 22.303 -34.595  |10.48    |~                    |    ~     ~    
2512|TYC 1167-1115-1                                                       |High Proper Motion Star        |23 15 11.1732512928 +13 14 12.152982192|089.8416921863951 -43.3653315579105| 14.409 -60.473  |10.66    |~                    |    ~     ~    
2513|TYC 1167-1202-1                                                       |Star                           |23 18 27.2345975256 +12 38 27.804386688|090.3920276313718 -44.2769489527237|   -2.044 1.311  |10.30    |~                    |    ~     ~    
2514|TYC 1167-1215-1                                                       |Star                           |23 16 05.0534103504 +13 11 09.966423480|090.0681131169004 -43.5179824048214|   24.522 6.722  |10.52    |~                    |    ~     ~    
2515|TYC 1167-1234-1                                                       |High Proper Motion Star        |23 17 09.0025416096 +12 37 49.478020428|089.9987333860003 -44.1293265831766| 29.587 -64.328  |10.65    |~                    |    ~     ~    
2516|TYC 1167-1238-1                                                       |Star                           |23 16 02.8669121208 +13 42 54.990119772|090.4168067203642 -43.0535741460187| 25.879 -17.566  |9.77     |~                    |    ~     ~    
2517|2MASS J23175094+1257053                                               |Red Giant Branch star          |23 17 50.9255468784 +12 57 05.317335432|090.4251300634798 -43.9340774267138|-17.262 -30.035  |10.22    |~                    |    ~     ~    
2518|2MASS J23180877+1319133                                               |Red Giant Branch star          |23 18 08.7712289832 +13 19 13.312904304|090.7624526685403 -43.6476717448730| -6.836 -12.274  |10.61    |~                    |    ~     ~    
2519|TYC 1167-1533-1                                                       |High Proper Motion Star        |23 18 22.5334482216 +12 40 03.697209876|090.3870236382224 -44.2443611998626| 69.075 -10.154  |10.12    |~                    |    ~     ~    
2520|TYC 1167-1655-1                                                       |Star                           |23 17 27.3090416592 +12 55 51.606909696|090.2952160867599 -43.9047600027124|   -1.094 1.831  |10.14    |~                    |    ~     ~    
2521|2MASS J23191628+1306324                                               |Red Giant Branch star          |23 19 16.2893468160 +13 06 32.347474596|090.9520406755952 -43.9654281300894| 14.028 -29.053  |10.50    |~                    |    ~     ~    
2522|TYC 1168-328-1                                                        |Star                           |23 21 44.6754792480 +12 44 31.841813364|091.4441676679197 -44.5765853574885| -5.264 -39.929  |10.86    |~                    |    ~     ~    
2523|TYC 1168-476-1                                                        |Star                           |23 20 03.8536344696 +13 18 14.522814252|091.3172525939672 -43.8874364783786| 39.621 -11.000  |9.96     |~                    |    ~     ~    
2524|TYC 1168-494-1                                                        |Star                           |23 21 37.1925933744 +13 31 00.414099696|091.9193582393413 -43.8801698856677|-24.807 -12.804  |10.82    |~                    |    ~     ~    
2525|TYC 1168-516-1                                                        |Star                           |23 22 21.4809206496 +13 20 43.536060564|092.0273757831751 -44.1158401261833|    4.083 0.246  |10.27    |~                    |    ~     ~    
2526|TYC 1168-536-1                                                        |Star                           |23 24 15.1687795776 +13 43 08.841878832|092.8364634576900 -43.9988927950450|   19.481 7.449  |10.44    |~                    |    ~     ~    
2527|TYC 1168-700-1                                                        |Star                           |23 26 10.0225749864 +13 47 19.593182436|093.4566895755548 -44.1484457926632|  5.153 -16.392  |10.21    |~                    |    ~     ~    
2528|TYC 1168-1399-1                                                       |Star                           |23 24 59.9175243744 +13 33 47.108288628|092.9611351763472 -44.2206263033377|  14.854 -8.488  |9.79     |~                    |    ~     ~    
2529|TYC 1168-1426-1                                                       |Star                           |23 26 09.1937136960 +12 32 43.417630284|092.6560281624450 -45.2539683700488| 33.031 -15.490  |10.88    |~                    |    ~     ~    
2530|TYC 1168-1430-1                                                       |Star                           |23 26 04.3859662248 +13 46 49.298905704|093.4230297705000 -44.1456656778297|  -2.112 -6.172  |10.90    |~                    |    ~     ~    
2531|BD+10 4935                                                            |High Proper Motion Star        |23 26 42.3700420680 +11 22 00.407697672|092.0454326039373 -46.3613456348244|-135.480 -72.884 |9.88     |K0                   |    ~     ~    
2532|BD+13 5111                                                            |Star                           |23 26 51.4126431552 +13 49 10.188212484|093.6845347767042 -44.1962578524773| 36.626 -10.023  |10.84    |G0                   |    ~     ~    
2533|BD+12 4985                                                            |Star                           |23 26 39.9940708944 +13 24 53.097851160|093.3722147532560 -44.5370056444884| 11.855 -31.900  |9.41     |F5                   |    ~     ~    
2534|HD 220848                                                             |Double or Multiple Star        |23 27 04.1453386536 +13 06 38.834678376|093.3020586292161 -44.8524405853962| 17.072 -50.268  |8.64     |G5                   |0.0067  0.0    
2535|HD 220976                                                             |Star                           |23 28 04.0591585296 +13 26 01.090473360|093.8118555619668 -44.6728718698913|   1.482 -2.783  |8.44     |K0                   |    ~     ~    
2536|HD 221058                                                             |Star                           |23 28 44.9134700328 +13 38 19.290560604|094.1479400661967 -44.5623854346171| 13.790 -22.326  |8.95     |K0                   |    ~     ~    
2537|BD+11 5002                                                            |Star                           |23 27 10.6646379888 +12 27 46.663522128|092.9186558253035 -45.4417288011747|-10.744 -14.486  |10.64    |K0                   |    ~     ~    
2538|BD+11 5006                                                            |High Proper Motion Star        |23 28 27.3769120488 +12 39 58.269616200|093.4460506684659 -45.4016531227351| 49.562 -13.641  |10.56    |F8                   |    ~     ~    
2539|BD+11 5001                                                            |Star                           |23 26 57.2377129272 +11 51 18.392159088|092.4499328255346 -45.9568115567673|  15.229 -1.478  |10.79    |G5                   |    ~     ~    
2540|BD+11 5004                                                            |Star                           |23 27 21.7602764760 +11 56 08.291231448|092.6308798637639 -45.9313204847882|   14.080 2.718  |9.49     |K2                   |    ~     ~    
2541|HD 221041                                                             |Double or Multiple Star        |23 28 40.7018 +11 56 42.888            |093.0494610 -46.0695432            |   4.050 -8.961  |9.58     |K                    |    ~     ~    
2542|HD 221059                                                             |Star                           |23 28 46.0034030112 +11 30 44.210242224|092.7925856494130 -46.4650106011758|   33.234 0.926  |8.890    |G5                   |    ~     ~    
2543|IRAS 23249+1337                                                       |Long-Period Variable Candidate |23 27 29.8097275968 +13 54 00.067023684|093.9285309094682 -44.1934978890562|   17.902 5.403  |10.05    |~                    |    ~     ~    
2544|HD 221192                                                             |Star                           |23 29 49.3534781208 +13 53 15.357355548|094.6295233429367 -44.4527828167467|  43.615 -9.361  |8.78     |K2                   |    ~     ~    
2545|BD+12 4993                                                            |Star                           |23 28 50.7122989488 +13 46 24.690373932|094.2607385997459 -44.4516613795698| -12.134 -9.404  |9.63     |A5                   |    ~     ~    
2546|BD+12 4994                                                            |Star                           |23 29 01.9331433960 +13 23 37.453082892|094.0829618555830 -44.8126314051257|  -0.016 -8.323  |8.89     |K2                   |    ~     ~    
2547|BD+11 5008                                                            |Star                           |23 29 08.3852497488 +12 17 03.577200576|093.4141362195947 -45.8177676130054|   13.997 0.097  |9.09     |K5                   |    ~     ~    
2548|* 70 Peg                                                              |Spectroscopic Binary           |23 29 09.2992398120 +12 45 37.979571348|093.7231935658566 -45.3934395745276|  60.447 28.353  |4.56     |G8IIIa               |    ~     ~    
2549|V* TY Peg                                                             |Eclipsing Binary               |23 29 57.0323200728 +13 32 31.487529012|094.4574128539306 -44.7773439719362|   18.356 8.833  |10.21    |F0V                  |    ~     ~    
2550|HD 221179                                                             |High Proper Motion Star        |23 29 46.4085570528 +12 01 27.970800672|093.4456805851633 -46.1195124220278| 98.587 -37.395  |8.63     |G0                   |    ~     ~    
2551|HD 221193                                                             |Star                           |23 29 52.0754867712 +11 40 44.491743732|093.2511875331360 -46.4385316321514|    3.981 6.287  |8.44     |F2                   |    ~     ~    
2552|TYC 1165-267-1                                                        |Star                           |23 27 59.4105788976 +11 48 43.590424356|092.7459190478263 -46.1114490393285| -13.876 -8.059  |10.98    |~                    |    ~     ~    
2553|TYC 1168-164-1                                                        |Star                           |23 28 32.3136209520 +13 31 46.039798092|094.0158652477796 -44.6378380592114|  3.966 -10.535  |10.94    |~                    |    ~     ~    
2554|TYC 1168-226-1                                                        |High Proper Motion Star        |23 26 43.2189436848 +13 20 05.939171988|093.3380262508971 -44.6140800774275|-45.800 -67.078  |10.60    |~                    |    ~     ~    
2555|TYC 1168-306-1                                                        |Star                           |23 27 37.6249721256 +13 36 44.600517792|093.7890962231672 -44.4651275932552|   18.481 1.335  |10.97    |~                    |    ~     ~    
2556|TYC 1168-640-1                                                        |Star                           |23 27 17.4206475937 +13 39 09.304802526|093.7117197209151 -44.3926305617897|  3.337 -15.130  |10.96    |~                    |    ~     ~    
2557|TYC 1168-812-1                                                        |Star                           |23 29 04.5597471288 +13 55 31.029964320|094.4243599540944 -44.3398516946275| 20.827 -12.711  |10.99    |~                    |    ~     ~    
2558|TYC 1168-1475-1                                                       |High Proper Motion Star        |23 27 52.0541349360 +12 53 50.638783092|093.4115191069633 -45.1305991925663|-71.388 -124.615 |10.88    |~                    |    ~     ~    
2559|TYC 1168-1570-1                                                       |Star                           |23 28 31.2379071672 +12 45 01.740503520|093.5198349805129 -45.3333508334829|  11.165 -1.713  |10.74    |~                    |    ~     ~    
2560|TYC 1175-1852-1                                                       |Star                           |23 29 32.5590074064 +13 33 21.971080260|094.3405129529711 -44.7213826255669|   7.802 -4.209  |10.80    |~                    |    ~     ~    
2561|[RRW93] Pn23s2-22                                                     |Star                           |23 27 37.60 +13 36 44.5                |093.78895 -44.46511                |            ~ ~  |10.7     |F1                   |    ~     ~    
2562|[RRW93] Pn23s1-19                                                     |Star                           |23 28 32.31 +13 31 46.2                |094.01587 -44.63779                |            ~ ~  |10.9     |A1                   |    ~     ~    
2563|BD+13 5078                                                            |Star                           |23 15 05.4788870448 +14 01 23.584799388|090.3485080757280 -42.6711947476463|  28.350 12.275  |8.91     |K0                   |    ~     ~    
2564|BD+13 5093                                                            |Star                           |23 20 01.7396597232 +13 52 15.167503776|091.6808424374419 -43.3852957834390| -2.709 -15.669  |10.18    |K0                   |    ~     ~    
2565|BD+13 5101                                                            |Star                           |23 23 01.7688035808 +13 56 43.804278456|092.6158990070382 -43.6610800755732|  0.721 -34.775  |10.84    |F8                   |    ~     ~    
2566|BD+15 4788                                                            |Star                           |23 15 05.3356307640 +16 23 19.501537956|091.8867723446452 -40.6036884018204|  22.934 -8.160  |9.66     |F6V                  |    ~     ~    
2567|BD+15 4792                                                            |Star                           |23 16 49.0188910536 +16 03 20.883021948|092.1594357107232 -41.0939793606797|   0.428 -1.010  |10.55    |F2                   |    ~     ~    
2568|BD+14 4958                                                            |Star                           |23 15 39.4044327408 +15 45 06.889418352|091.6412275733847 -41.2279793473206|  16.152 -3.949  |9.81     |K2                   |    ~     ~    
