C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:00:37

dec< 0&rah >=18.25&rah< 18.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 9484

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
48  |CD-43 12462                                                                                                                                                                    |Star                                  |18 20 55.0314908232 -43 47 54.122868816|350.2518801887072 -13.3149145059839|  -0.084 -6.158   |10.17    |F0               |    ~     ~    |    1|  686.766   pc  | -14.0079    +14.0079    |paral   |2020yCat.1350....0G
49  |HD 168257                                                                                                                                                                      |Star                                  |18 20 56.8258282128 -43 13 00.714602928|350.7953845405406 -13.0737337843252|  6.969 -19.176   |9.39     |A0V              |    ~     ~    |    1|  463.070   pc  |  -4.4388     +4.4388    |paral   |2020yCat.1350....0G
50  |HD 168287                                                                                                                                                                      |Star                                  |18 21 01.3709569656 -43 46 29.406120528|350.2820752830876 -13.3222663336026| -17.558 21.187   |6.65     |A3mA5-F3         |    ~     ~    |    1|   73.289   pc  |  -0.1880     +0.1880    |paral   |2020yCat.1350....0G
51  |CD-43 12468                                                                                                                                                                    |Star                                  |18 21 05.8020549336 -42 58 44.399480772|351.0283635960220 -12.9975235506539| -0.674 -18.223   |9.59     |~                |    ~     ~    |    1|  963.670   pc  | -19.6876    +19.6876    |paral   |2020yCat.1350....0G
52  |HD 168407                                                                                                                                                                      |Star                                  |18 21 27.4274444184 -43 08 01.731412536|350.9130701107176 -13.1227769756295| -0.875 -11.394   |9.79     |M0/1             |    ~     ~    |    1| 1257.071   pc  | -30.0243    +30.0243    |paral   |2020yCat.1350....0G
53  |CD-44 12525                                                                                                                                                                    |High Proper Motion Star               |18 21 14.3879415312 -43 58 12.051573528|350.1170796785403 -13.4399871763302| 14.488 -51.524   |10.44    |F5               |    ~     ~    |    1|  240.981   pc  |  -1.3589     +1.3589    |paral   |2020yCat.1350....0G
54  |V* TZ CrA                                                                                                                                                                      |Eclipsing Binary                      |18 18 48.2158977936 -43 21 37.106714412|350.4915779058970 -12.7821010585407|   15.311 8.051   |10.14    |A1III/IV         |    ~     ~    |    1|  336.270   pc  |  -2.3520     +2.3520    |paral   |2020yCat.1350....0G
55  |HD 167096                                                                                                                                                                      |High Proper Motion Star               |18 15 53.4521091432 -44 12 23.232159396|349.4765332722447 -12.6724772349480|  67.283 12.211   |5.451    |G8/K0III         |    ~     ~    |    1|   68.613   pc  |  -2.2239     +2.2239    |paral   |2020yCat.1350....0G
56  |HD 167097                                                                                                                                                                      |Star                                  |18 15 59.1254319240 -44 53 49.663099824|348.8451644017816 -12.9860771314721| -9.134 -12.536   |8.75     |K4/5III          |    ~     ~    |    1|  788.955   pc  | -15.9347    +15.9347    |paral   |2020yCat.1350....0G
57  |HD 167422                                                                                                                                                                      |Star                                  |18 17 22.7183772000 -44 33 47.661088932|349.2637477859765 -13.0660755799909|  5.658 -26.616   |8.65     |A8/F0(V)         |    ~     ~    |    1|  305.998   pc  |  -3.8297     +3.8297    |paral   |2020yCat.1350....0G
58  |HD 167487                                                                                                                                                                      |Star                                  |18 17 36.4535979120 -44 33 12.578632524|349.2907144129724 -13.0987545168682| -6.880 -17.664   |9.10     |F6V              |    ~     ~    |    1|  223.914   pc  |  -0.8423     +0.8423    |paral   |2020yCat.1350....0G
59  |HD 167712                                                                                                                                                                      |Star                                  |18 18 42.3285750984 -44 43 54.968993976|349.2104041802315 -13.3514763498356|-10.881 -25.844   |9.19     |F5IV/V           |    ~     ~    |    1|  217.316   pc  |  -0.7556     +0.7556    |paral   |2020yCat.1350....0G
60  |CD-44 12501A                                                                                                                                                                   |Star                                  |18 19 29.6 -44 27 53                   |349.5203 -13.3652                  |            ~ ~   |10.8     |~                |    ~     ~    |    0|                |                         |        |                   
61  |CD-44 12501B                                                                                                                                                                   |Star                                  |18 19 29.9 -44 27 51                   |349.5212 -13.3658                  |            ~ ~   |10.8     |~                |    ~     ~    |    0|                |                         |        |                   
62  |HD 167915                                                                                                                                                                      |Star                                  |18 19 32.7582947544 -44 44 44.107557612|349.2626752753180 -13.4924677256462|  -4.199 -2.982   |10.00    |G8/K0(III)       |    ~     ~    |    1|  583.328   pc  |  -5.7506     +5.7506    |paral   |2020yCat.1350....0G
63  |CD-44 12505                                                                                                                                                                    |Star                                  |18 19 47.2753726512 -44 35 04.547812164|349.4314164073462 -13.4634616877063|   -3.269 0.929   |10.22    |F8               |    ~     ~    |    1|  626.645   pc  |  -9.1495     +9.1495    |paral   |2020yCat.1350....0G
64  |HD 168030                                                                                                                                                                      |Star                                  |18 20 04.3011618360 -44 39 24.815634624|349.3859140728155 -13.5397427848397|  -2.561 -0.252   |9.40     |K4/M0            |    ~     ~    |    1| 1193.745   pc  | -25.6505    +25.6505    |paral   |2020yCat.1350....0G
65  |HD 168107                                                                                                                                                                      |Star                                  |18 20 17.7434916384 -44 27 21.451517784|349.5906194423411 -13.4912453815789|  -0.575 -0.752   |10.79    |A0/1(IV)         |    ~     ~    |    1| 1130.071   pc  | -37.5456    +37.5456    |paral   |2020yCat.1350....0G
66  |HD 168148                                                                                                                                                                      |Star                                  |18 20 30.5751416856 -44 22 24.129869592|349.6841929146780 -13.4910733829367| 11.136 -42.351   |9.52     |G8/K0(III)       |    ~     ~    |    1|  502.841   pc  |  -4.6271     +4.6271    |paral   |2020yCat.1350....0G
67  |HD 168216                                                                                                                                                                      |Star                                  |18 20 51.8322918960 -44 29 17.848489452|349.6043186768131 -13.5967966836467|  -5.114 -8.005   |10.10    |F7/8V            |    ~     ~    |    1|  301.796   pc  |  -1.5393     +1.5393    |paral   |2020yCat.1350....0G
68  |HD 168258                                                                                                                                                                      |Double or Multiple Star               |18 20 57.943008 -44 06 09.73512        |349.972007382 -13.451167039        |        1.7 6.5   |10.20    |G0/3             |    ~     ~    |    0|                |                         |        |                   
69  |HD 168408                                                                                                                                                                      |Star                                  |18 21 41.5761149208 -44 50 44.045989332|349.3337392392817 -13.8801555151505| -0.010 -18.047   |9.92     |A3/5II/III       |    ~     ~    |    1|  530.588   pc  |  -7.1789     +7.1789    |paral   |2020yCat.1350....0G
70  |HD 168437                                                                                                                                                                      |Double or Multiple Star               |18 21 46.3402 -44 13 16.947            |349.9237067 -13.6322871            |    4.30 -10.50   |9.96     |A3III            |    ~     ~    |    0|                |                         |        |                   
71  |HD 168473                                                                                                                                                                      |Star                                  |18 22 02.3979544992 -44 16 25.301213940|349.8954293787685 -13.6977053482332|  -8.879 -5.893   |9.79     |F3IV/V           |    ~     ~    |    1|  455.643   pc  |  -3.1349     +3.1349    |paral   |2020yCat.1350....0G
72  |HD 168147                                                                                                                                                                      |Variable Star                         |18 20 28.4109499200 -44 04 36.867313992|349.9577336670748 -13.3601513801222| -4.544 -13.005   |7.23     |M3III            |    ~     ~    |    1|  379.334   pc  |  -4.2305     +4.2305    |paral   |2020yCat.1350....0G
73  |V* V747 CrA                                                                                                                                                                    |Long-Period Variable                  |18 21 58.5386922000 -44 51 17.169780492|349.3466113253530 -13.9295442563792|   -0.271 0.103   |10.98    |~                |    ~     ~    |    1| 1699.81    pc  |-128.577    +128.577     |paral   |2020yCat.1350....0G
74  |HD 167756                                                                                                                                                                      |Star                                  |18 18 40.1582045736 -42 17 18.223045728|351.4717346244053 -12.2981669331898|   4.352 -4.605   |6.290    |B0Ia/ab          |    ~     ~    |    0|                |                         |        |                   
75  |CD-43 12394                                                                                                                                                                    |Star                                  |18 15 59.4980205552 -43 24 08.008726500|350.2266040999053 -12.3394743328355|  -0.558 -8.689   |10.169   |~                |    ~     ~    |    1| 1131.210   pc  | -76.4600    +76.4600    |ST-L    |2020AJ....160...83S
76  |CD-42 13050                                                                                                                                                                    |Star                                  |18 16 21.7057827192 -42 46 46.196375448|350.8301770971688 -12.1287323293003|  1.607 -12.909   |10.41    |~                |    ~     ~    |    1| 1111.976   pc  | -34.6217    +34.6217    |paral   |2020yCat.1350....0G
77  |CD-43 12408                                                                                                                                                                    |Star                                  |18 16 41.5027512648 -43 17 21.543612684|350.3873602224344 -12.4049851779627|   1.309 -1.928   |10.24    |~                |    ~     ~    |    1| 2033.347   pc  | -63.6713    +63.6713    |paral   |2020yCat.1350....0G
78  |CD-43 12412                                                                                                                                                                    |Star                                  |18 17 00.7695624144 -43 11 51.159620040|350.4980051323229 -12.4178436609440|    0.175 0.842   |10.07    |~                |    ~     ~    |    1| 1480.823   pc  | -35.9625    +35.9625    |paral   |2020yCat.1350....0G
