C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:00:37

dec< 0&rah >=18.25&rah< 18.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 9484

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
4459|BD-12 4962                                                                                                                                                                     |Star                                  |18 17 16.2332116824 -12 28 17.562796140|017.9539327479957 +01.7535366456501| 34.333 -26.466   |10.31    |~                |    ~     ~    |    1|   54.036   pc  |  -0.0491     +0.0491    |paral   |2020yCat.1350....0G
4460|BD-11 4580                                                                                                                                                                     |Star                                  |18 17 17.5935271776 -11 30 02.786599152|018.8119854382106 +02.2085714897791|   2.153 -6.274   |10.59    |~                |    ~     ~    |    1|  377.444   pc  |  -2.2937     +2.2937    |paral   |2020yCat.1350....0G
4461|TYC 5685-1458-1                                                                                                                                                                |Star                                  |18 17 52.9146894312 -11 15 43.826705496|019.0906591766642 +02.1943793148169|  -0.272 -5.682   |10.59    |~                |    ~     ~    |    1|  544.633   pc  |  -3.8561     +3.8561    |paral   |2020yCat.1350....0G
4462|2MASS J18181833-1210569                                                                                                                                                        |Long-Period Variable Candidate        |18 18 18.3254678880 -12 10 56.817079464|018.3284101929927 +01.6677923449039|   4.503 -4.557   |10.85    |~                |    ~     ~    |    1| 1169.45    pc  | -68.7914    +68.7914    |paral   |2020yCat.1350....0G
4463|BD-12 4990                                                                                                                                                                     |Star                                  |18 18 48.6835955232 -12 12 57.970940544|018.3572162065888 +01.5429353756831|   0.581 -1.155   |10.27    |~                |    ~     ~    |    1|  928.333   pc  | -61.3603    +61.3603    |paral   |2020yCat.1350....0G
4464|BD-11 4589                                                                                                                                                                     |Star                                  |18 18 53.7341480688 -11 30 31.196503728|018.9907580090750 +01.8589593789523|    6.645 5.055   |9.83     |~                |    ~     ~    |    1|  712.860   pc  | -10.9765    +10.9765    |paral   |2020yCat.1350....0G
4465|BD-12 4993                                                                                                                                                                     |Star                                  |18 19 04.0688766792 -12 46 34.014247212|017.8931085504404 +01.2231531660527|  -0.782 -2.734   |9.51     |~                |    ~     ~    |    1| 1643.926   pc  | -63.7788    +63.7788    |paral   |2020yCat.1350....0G
4466|BD-12 4995                                                                                                                                                                     |Star                                  |18 19 05.9014095984 -12 09 34.681878396|018.4401437844880 +01.5078067660667|  -0.264 -2.046   |10.42    |~                |    ~     ~    |    1| 1270.325   pc  | -28.7243    +28.7243    |paral   |2020yCat.1350....0G
4467|TYC 5685-3901-1                                                                                                                                                                |Star                                  |18 19 16.3782994392 -12 03 26.883376632|018.5503957072759 +01.5184240600628|  9.499 -44.424   |10.84    |~                |    ~     ~    |    1|  219.096   pc  |  -3.9555     +3.9555    |paral   |2020yCat.1350....0G
4468|BD-12 4997                                                                                                                                                                     |Star                                  |18 19 24.7781674392 -12 13 15.591123228|018.4223444033687 +01.4110629323476|-11.579 -24.352   |9.96     |~                |    ~     ~    |    1|  458.148   pc  |  -3.4004     +3.4004    |paral   |2020yCat.1350....0G
4469|TYC 5685-4268-1                                                                                                                                                                |Star                                  |18 19 41.6855199888 -11 34 53.049591876|019.0190144596468 +01.6520463265406| -0.692 -16.469   |10.60    |~                |    ~     ~    |    1|  409.786   pc  |  -2.6196     +2.6196    |paral   |2020yCat.1350....0G
4470|BD-12 5005                                                                                                                                                                     |Star                                  |18 19 54.0979148496 -12 24 44.751844080|018.3098498105569 +01.2155028839418|  -7.777 10.575   |10.24    |~                |    ~     ~    |    1|  967.867   pc  | -17.3302    +17.3302    |paral   |2020yCat.1350....0G
4471|BD-11 4597                                                                                                                                                                     |Star                                  |18 20 06.8840613528 -11 46 23.640392424|018.8982655878393 +01.4709338891618|    1.984 3.339   |9.88     |~                |    ~     ~    |    1|  602.700   pc  |  -8.1004     +8.1004    |paral   |2020yCat.1350....0G
4472|TYC 5685-886-1                                                                                                                                                                 |Star                                  |18 20 07.6569507840 -11 27 55.914189804|019.1712474880289 +01.6131491684383|   -0.400 2.873   |10.17    |~                |    ~     ~    |    1|  709.371   pc  |  -8.1016     +8.1016    |paral   |2020yCat.1350....0G
4473|BD-13 4943                                                                                                                                                                     |Star                                  |18 20 24.8442526104 -12 57 28.506025008|017.8876710696397 +00.8480788305280|    4.349 0.644   |10.13    |~                |    ~     ~    |    1|  416.077   pc  |  -3.0469     +3.0469    |paral   |2020yCat.1350....0G
4474|BD-12 5013                                                                                                                                                                     |Star                                  |18 20 43.5680758464 -12 22 34.486739940|018.4366737146414 +01.0549982382386|  -1.070 -0.655   |10.26    |~                |    ~     ~    |    1| 1369.488   pc  | -36.3846    +36.3846    |paral   |2020yCat.1350....0G
4475|TYC 5685-1927-1                                                                                                                                                                |Star                                  |18 20 57.0930300792 -12 32 27.952607076|018.3171345292284 +00.9288289337322|  -5.788 -4.599   |10.88    |~                |    ~     ~    |    1|  733.084   pc  | -10.1034    +10.1034    |paral   |2020yCat.1350....0G
4476|TYC 5689-640-1                                                                                                                                                                 |Star                                  |18 21 02.0319577488 -13 22 57.995855724|017.5839724558819 +00.5148407678854|   1.663 -1.924   |10.39    |~                |    ~     ~    |    1|  655.996   pc  |  -6.7562     +6.7562    |paral   |2020yCat.1350....0G
4477|BD-11 4602                                                                                                                                                                     |Star                                  |18 21 14.7414708984 -11 18 34.651662876|019.4378737684075 +01.4447666121700| -3.896 -16.707   |10.21    |~                |    ~     ~    |    1|  450.106   pc  |  -9.9272     +9.9272    |paral   |2020yCat.1350....0G
4478|BD-14 5012                                                                                                                                                                     |Star                                  |18 22 10.0441223808 -13 57 32.734075500|017.2049066133019 +00.0007656918664|  -3.348 -6.813   |9.7      |M3               |    ~     ~    |    1|  510.699   pc  |  -6.8072     +6.8072    |paral   |2020yCat.1350....0G
4479|BD-12 5020                                                                                                                                                                     |Star                                  |18 22 13.4769582192 -12 21 17.137354644|018.6277592352222 +00.7421699443052|   -4.272 6.072   |10.39    |~                |    ~     ~    |    1|  304.414   pc  |  -1.8719     +1.8719    |paral   |2020yCat.1350....0G
4480|NGC 6611 560                       NGC 6611 560                                                                                                                                |Star                                  |18 17 37.6332435792 -13 49 05.605354884|016.8090174576145 +01.0386616717248|-12.850 -30.843   |12.996   |~                |    ~     ~    |    1|  293.703   pc  |  -4.7616     +4.7616    |paral   |2020yCat.1350....0G
4481|NGC 6611 558                       NGC 6611 558                                                                                                                                |Star                                  |18 17 37.8969570000 -13 51 00.586442376|016.7813975149168 +01.0225795127796|  -3.199 -1.529   |12.730   |~                |    ~     ~    |    1| 1415.629   pc  | -24.8497    +24.8497    |paral   |2020yCat.1350....0G
4482|NGC 6611 559                       NGC 6611 559                                                                                                                                |Star                                  |18 17 40.4881386576 -13 53 26.062506564|016.7507822783179 +00.9941922867979|  -0.351 -1.231   |11.58    |G0               |    ~     ~    |    1| 1925.669   pc  | -55.2522    +55.2522    |paral   |2020yCat.1350....0G
4483|NGC 6611 561                       NGC 6611 561                                                                                                                                |Star                                  |18 17 42.9850512168 -13 46 58.171790280|016.8504581143702 +01.0363752522659|   0.426 -2.815   |11.14    |~                |    ~     ~    |    1| 1350.804   pc  | -58.3895    +58.3895    |paral   |2020yCat.1350....0G
4484|NGC 6611 552                       NGC 6611 552                                                                                                                                |Star                                  |18 17 46.3527146016 -13 57 19.917677772|016.7048218129679 +00.9425149708035|   2.001 -6.844   |11.73    |~                |    ~     ~    |    1| 1098.780   pc  | -23.5427    +23.5427    |paral   |2020yCat.1350....0G
4485|NGC 6611 562                       NGC 6611 562                                                                                                                                |Star                                  |18 17 48.6852055176 -13 38 56.066711424|016.9793372201897 +01.0795292823767|  -4.710 -5.777   |12.598   |~                |    ~     ~    |    1| 1203.080   pc  | -19.1057    +19.1057    |paral   |2020yCat.1350....0G
4486|NGC 6611 554                       2MASS J18175195-1356248                                                                                                                     |Young Stellar Object Candidate        |18 17 51.9681455568 -13 56 24.863542980|016.7290536175878 +00.9297678585181|    3.160 1.535   |12.677   |~                |    ~     ~    |    1|  583.669   pc  |  -5.7573     +5.7573    |paral   |2020yCat.1350....0G
4487|NGC 6611 1                         NGC 6611 1                                                                                                                                  |Star                                  |18 18 02.30 -13 45 07.0                |016.91470 +00.98217                |      6.53 1.63   |16.327   |~                |    ~     ~    |    0|                |                         |        |                   
4488|NGC 6611 4                         NGC 6611 4                                                                                                                                  |Star                                  |18 18 03.8087510472 -13 44 06.850838184|016.9323119813942 +00.9847115264591|  -0.401 -5.305   |15.554   |~                |    ~     ~    |    1| 1690.617   pc  | -85.1739    +85.1739    |paral   |2020yCat.1350....0G
4489|NGC 6611 5                         NGC 6611 5                                                                                                                                  |Star                                  |18 18 04.1755018584 -13 45 46.753617564|016.9085715772241 +00.9702593344055|   -6.783 8.505   |14.537   |~                |    ~     ~    |    1|  606.796   pc  |  -7.0326     +7.0326    |paral   |2020yCat.1350....0G
4490|NGC 6611 6                         NGC 6611 6                                                                                                                                  |Star                                  |18 18 04.3657552104 -13 43 35.183014428|016.9411283830903 +00.9868926802079|   0.447 -5.745   |15.191   |~                |    ~     ~    |    1| 1440.092   pc  | -57.8608    +57.8608    |paral   |2020yCat.1350....0G
4491|NGC 6611 7                         NGC 6611 7                                                                                                                                  |Star                                  |18 18 04.8943859232 -13 45 37.335949632|016.9122541211822 +00.9689361904172|  -1.092 -0.625   |15.952   |~                |    ~     ~    |    1| 1350.986   pc  | -58.2227    +58.2227    |paral   |2020yCat.1350....0G
4492|NGC 6611 565                       NGC 6611 565                                                                                                                                |Star                                  |18 18 05.54 -13 59 57.5                |016.70304 +00.85346                |      0.85 6.12   |12.784   |~                |    ~     ~    |    0|                |                         |        |                   
4493|NGC 6611 9                         NGC 6611 9                                                                                                                                  |Star                                  |18 18 05.9797868568 -13 45 09.884015568|016.9210519299560 +00.9686793230699|  -1.344 -2.877   |16.183   |~                |    ~     ~    |    1| 1791.152   pc  |-124.4791   +124.4791    |paral   |2020yCat.1350....0G
4494|NGC 6611 13                        NGC 6611 13                                                                                                                                 |Star                                  |18 18 06.63 -13 43 46.0                |016.94282 +00.97740                |    -19.43 2.35   |15.785   |~                |    ~     ~    |    0|                |                         |        |                   
4495|NGC 6611 15                        NGC 6611 15                                                                                                                                 |Star                                  |18 18 06.6723345576 -13 42 15.494233284|016.9650495440958 +00.9891542344742|-31.620 -17.123   |15.876   |~                |    ~     ~    |    1|  813.273   pc  | -18.9825    +18.9825    |paral   |2020yCat.1350....0G
4496|NGC 6611 10                        2MASS J18180685-1350238                                                                                                                     |Young Stellar Object                  |18 18 06.8580064080 -13 50 23.856432468|016.8459138998738 +00.9242403168382|  -0.997 -1.948   |14.225   |~                |    ~     ~    |    1|  756.029   pc  | -14.9182    +14.9182    |paral   |2020yCat.1350....0G
4497|NGC 6611 16                        NGC 6611 16                                                                                                                                 |Star                                  |18 18 06.9729905520 -13 43 54.950807172|016.9412907990200 +00.9749975942106|   0.929 -3.691   |15.525   |~                |    ~     ~    |    1| 1633.987   pc  | -70.7527    +70.7527    |paral   |2020yCat.1350....0G
4498|NGC 6611 12                        NGC 6611 12                                                                                                                                 |Star                                  |18 18 07.0446610008 -13 48 49.262205276|016.8694164774873 +00.9360208962021|    0.720 0.939   |15.797   |~                |    ~     ~    |    1| 2053.388   pc  |-185.9434   +185.9434    |paral   |2020yCat.1350....0G
4499|NGC 6611 11                        NGC 6611 11                                                                                                                                 |Star                                  |18 18 07.18 -13 51 23.3                |016.83199 +00.91527                |    24.21 -5.59   |15.523   |~                |    ~     ~    |    0|                |                         |        |                   
4500|NGC 6611 14                        NGC 6611 14                                                                                                                                 |Star                                  |18 18 07.2340559904 -13 49 03.156147084|016.8663799712818 +00.9335179959446|  -4.483 -6.465   |16.221   |~                |    ~     ~    |    1| 1298.870   pc  | -62.4213    +62.4213    |paral   |2020yCat.1350....0G
4501|NGC 6611 19                        NGC 6611 19                                                                                                                                 |Star                                  |18 18 07.2880699512 -13 41 22.282752984|016.9792502529077 +00.9939594726436|   -6.898 2.802   |14.817   |~                |    ~     ~    |    1| 1121.831   pc  | -25.6735    +25.6735    |paral   |2020yCat.1350....0G
4502|NGC 6611 17                        NGC 6611 17                                                                                                                                 |Star                                  |18 18 07.39 -13 44 56.8                |016.92696 +00.96537                |     2.18 18.09   |15.916   |~                |    ~     ~    |    0|                |                         |        |                   
4503|NGC 6611 21                        NGC 6611 21                                                                                                                                 |Star                                  |18 18 08.3211760416 -13 49 26.542867980|016.8627413446697 +00.9265672445311|   -1.644 8.911   |15.422   |~                |    ~     ~    |    1| 1235.330   pc  | -47.9177    +47.9177    |paral   |2020yCat.1350....0G
4504|NGC 6611 24                        NGC 6611 24                                                                                                                                 |Star                                  |18 18 08.6478813960 -13 43 58.587223512|016.9436122295617 +00.9685485066836|    3.327 1.891   |14.183   |A7IV             |    ~     ~    |    1|  998.502   pc  | -18.3449    +18.3449    |paral   |2020yCat.1350....0G
4505|NGC 6611 23                        NGC 6611 23                                                                                                                                 |Star                                  |18 18 09.15 -13 52 29.1                |016.81966 +00.89960                |     -2.17 4.78   |16.166   |~                |    ~     ~    |    0|                |                         |        |                   
4506|NGC 6611 30                        NGC 6611 30                                                                                                                                 |Star                                  |18 18 10.03 -13 49 44.2                |016.86170 +00.91816                |     -1.93 3.56   |15.123   |~                |    ~     ~    |    0|                |                         |        |                   
4507|NGC 6611 33                        NGC 6611 33                                                                                                                                 |Star                                  |18 18 10.27 -13 49 53.6                |016.85986 +00.91606                |    -0.87 -2.82   |15.127   |~                |    ~     ~    |    0|                |                         |        |                   
4508|NGC 6611 29                        NGC 6611 29                                                                                                                                 |Star                                  |18 18 10.25 -13 52 29.0                |016.82179 +00.89569                |     -6.01 6.49   |15.783   |~                |    ~     ~    |    0|                |                         |        |                   
4509|NGC 6611 34                        NGC 6611 34                                                                                                                                 |Star                                  |18 18 10.2650158320 -13 45 45.829354212|016.9204717439912 +00.9486759556189|  -0.453 -1.572   |16.140   |~                |    ~     ~    |    1| 1871.958   pc  |-119.4941   +119.4941    |paral   |2020yCat.1350....0G
4510|NGC 6611 37                        NGC 6611 37                                                                                                                                 |Star                                  |18 18 11.5498438368 -13 50 56.959687824|016.8468053015371 +00.9031677511616|  -4.153 -7.441   |16.218   |~                |    ~     ~    |    1| 1214.624   pc  | -74.6508    +74.6508    |paral   |2020yCat.1350....0G
4511|NGC 6611 40                        NGC 6611 40                                                                                                                                 |Star                                  |18 18 12.23 -13 50 46.1                |016.85077 +00.90217                |    -7.51 13.84   |16.231   |~                |    ~     ~    |    0|                |                         |        |                   
4512|NGC 6611 39                        NGC 6611 39                                                                                                                                 |Star                                  |18 18 12.3002658024 -13 53 04.408162080|016.8170586277711 +00.8837282998206|  -2.934 -5.814   |15.114   |~                |    ~     ~    |    1| 1185.818   pc  | -37.9664    +37.9664    |paral   |2020yCat.1350....0G
4513|NGC 6611 49                        NGC 6611 49                                                                                                                                 |Star                                  |18 18 12.4663370688 -13 41 45.784464792|016.9834285358793 +00.9724047000711|   1.076 -4.607   |16.015   |~                |    ~     ~    |    1| 1422.677   pc  | -89.0565    +89.0565    |paral   |2020yCat.1350....0G
4514|NGC 6611 51                        NGC 6611 51                                                                                                                                 |Star                                  |18 18 13.1740945848 -13 40 14.515675392|017.0071187060425 +00.9818860100061| -3.364 -14.303   |15.605   |~                |    ~     ~    |    1|  766.636   pc  | -17.5144    +17.5144    |paral   |2020yCat.1350....0G
4515|NGC 6611 54                        NGC 6611 54                                                                                                                                 |Star                                  |18 18 13.8975816216 -13 48 43.451173800|016.8839718029540 +00.9123639847232|   4.031 -8.928   |15.353   |~                |    ~     ~    |    1|  909.256   pc  | -23.4796    +23.4796    |paral   |2020yCat.1350....0G
4516|NGC 6611 45                        NGC 6611 45                                                                                                                                 |Star                                  |18 18 13.0438107624 -13 48 43.403718996|016.8823473456301 +00.9154128611322|   0.942 -0.454   |15.850   |~                |    ~     ~    |    1| 1529.052   pc  | -79.7258    +79.7258    |paral   |2020yCat.1350....0G
4517|NGC 6611 44                        NGC 6611 44                                                                                                                                 |Star                                  |18 18 13.0427112768 -13 49 18.496725456|016.8737583861067 +00.9108005785371|  -1.016 -7.247   |16.355   |~                |    ~     ~    |    1| 1144.427   pc  | -52.1266    +52.1266    |paral   |2020yCat.1350....0G
4518|NGC 6611 43                        NGC 6611 43                                                                                                                                 |Star                                  |18 18 13.22 -13 50 52.2                |016.85117 +00.89784                |    28.37 41.96   |14.406   |~                |    ~     ~    |    0|                |                         |        |                   
4519|NGC 6611 47                        NGC 6611 47                                                                                                                                 |Star                                  |18 18 13.36 -13 50 48.8                |016.85227 +00.89779                |            ~ ~   |16.025   |~                |    ~     ~    |    0|                |                         |        |                   
4520|NGC 6611 52                        NGC 6611 52                                                                                                                                 |Star                                  |18 18 13.56 -13 47 19.1                |016.90396 +00.92466                |     -5.32 3.11   |15.280   |~                |    ~     ~    |    0|                |                         |        |                   
4521|NGC 6611 56                        NGC 6611 56                                                                                                                                 |Star                                  |18 18 13.5825016872 -13 42 24.783407280|016.9760255036207 +00.9632953143904|   1.853 -5.591   |15.407   |~                |    ~     ~    |    1| 1398.993   pc  | -47.3638    +47.3638    |paral   |2020yCat.1350....0G
4522|NGC 6611 50                        NGC 6611 50                                                                                                                                 |Star                                  |18 18 14.0416404600 -13 53 52.026648144|016.8087430996773 +00.8712606454307|   1.234 -1.200   |14.619   |~                |    ~     ~    |    1| 1529.052   pc  | -52.8388    +52.8388    |paral   |2020yCat.1350....0G
4523|NGC 6611 59                        NGC 6611 59                                                                                                                                 |Star                                  |18 18 14.1509216664 -13 43 45.603419340|016.9573387588831 +00.9506383177789|    3.624 0.381   |15.414   |~                |    ~     ~    |    1| 1805.706   pc  | -89.3397    +89.3397    |paral   |2020yCat.1350....0G
4524|NGC 6611 58                        NGC 6611 58                                                                                                                                 |Star                                  |18 18 14.1860243208 -13 45 47.850591456|016.9274927179905 +00.9344336849751|  -1.999 -2.073   |16.032   |~                |    ~     ~    |    1| 1812.579   pc  |-111.7051   +111.7051    |paral   |2020yCat.1350....0G
4525|NGC 6611 61                        NGC 6611 61                                                                                                                                 |Star                                  |18 18 14.8655067696 -13 50 11.568352380|016.8642650145090 +00.8973240652915|   2.305 -1.018   |15.919   |~                |    ~     ~    |    1| 1157.006   pc  | -71.4846    +71.4846    |paral   |2020yCat.1350....0G
4526|NGC 6611 57                        NGC 6611 57                                                                                                                                 |Star                                  |18 18 14.9637222000 -13 54 12.304154412|016.8055477580589 +00.8653085136067|   1.447 -0.100   |14.932   |~                |    ~     ~    |    1| 1952.362   pc  |-128.4549   +128.4549    |paral   |2020yCat.1350....0G
4527|NGC 6611 60                        NGC 6611 60                                                                                                                                 |Star                                  |18 18 15.07 -13 53 28.9                |016.81637 +00.87064                |   -17.08 -3.76   |16.173   |~                |    ~     ~    |    0|                |                         |        |                   
4528|NGC 6611 65                        NGC 6611 65                                                                                                                                 |Star                                  |18 18 15.16 -13 42 01.9                |016.98465 +00.96068                |    -4.64 11.09   |15.776   |~                |    ~     ~    |    0|                |                         |        |                   
4529|NGC 6611 68                        NGC 6611 68                                                                                                                                 |Star                                  |18 18 15.5141543928 -13 42 29.340639144|016.9786133422652 +00.9558087167993|  -0.215 -0.562   |16.552   |~                |    ~     ~    |    1| 1604.621   pc  |-118.4412   +118.4412    |paral   |2020yCat.1350....0G
4530|NGC 6611 67                        NGC 6611 67                                                                                                                                 |Star                                  |18 18 15.5702469840 -13 43 13.228319496|016.9679815308646 +00.9498364120985|   0.834 -3.396   |14.737   |~                |    ~     ~    |    1| 1727.414   pc  | -58.4856    +58.4856    |paral   |2020yCat.1350....0G
4531|NGC 6611 69                        NGC 6611 69                                                                                                                                 |Star                                  |18 18 15.8136273480 -13 46 01.105695768|016.9273686164640 +00.9268885646296|  -1.717 -2.881   |16.423   |~                |    ~     ~    |    1| 1962.323   pc  |-145.1719   +145.1719    |paral   |2020yCat.1350....0G
4532|NGC 6611 71                        NGC 6611 71                                                                                                                                 |Double or Multiple Star               |18 18 16.054944 -13 45 19.80720        |016.937936767 +00.931460178        |        1.0 3.7   |16.434   |~                |    ~     ~    |    0|                |                         |        |                   
4533|NGC 6611 73                        NGC 6611 73                                                                                                                                 |Star                                  |18 18 16.3775794512 -13 44 48.902869392|016.9461173904334 +00.9343747064811|  -0.136 -3.985   |15.410   |~                |    ~     ~    |    1| 1561.768   pc  | -63.4171    +63.4171    |paral   |2020yCat.1350....0G
4534|NGC 6611 70                        NGC 6611 70                                                                                                                                 |Star                                  |18 18 16.44 -13 50 38.1                |016.86079 +00.88822                |      0.33 2.81   |15.024   |~                |    ~     ~    |    0|                |                         |        |                   
4535|NGC 6611 72                        NGC 6611 72                                                                                                                                 |Star                                  |18 18 16.99 -13 51 41.4                |016.84635 +00.87794                |     2.95 -4.62   |15.678   |~                |    ~     ~    |    0|                |                         |        |                   
4536|NGC 6611 74                        NGC 6611 74                                                                                                                                 |Star                                  |18 18 17.3215852248 -13 53 30.994300824|016.8201722462712 +00.8623422378958|   -3.858 3.212   |15.138   |~                |    ~     ~    |    1|  940.734   pc  | -23.0980    +23.0980    |paral   |2020yCat.1350....0G
4537|NGC 6611 78                        2MASS J18181749-1339290                                                                                                                     |Young Stellar Object                  |18 18 17.5019183568 -13 39 29.032061940|017.0265463359118 +00.9724344921385|   3.306 -1.769   |13.376   |~                |    ~     ~    |    1| 1483.680   pc  | -88.9327    +88.9327    |paral   |2020yCat.1350....0G
4538|NGC 6611 76                        NGC 6611 76                                                                                                                                 |Star                                  |18 18 17.7430482528 -13 48 03.863674152|016.9010272451743 +00.9038659323873|  -2.028 -7.347   |15.341   |~                |    ~     ~    |    1| 1828.154   pc  | -83.2194    +83.2194    |paral   |2020yCat.1350....0G
4539|NGC 6611 75                        NGC 6611 75                                                                                                                                 |Star                                  |18 18 17.9662924032 -13 50 48.818771880|016.8610907518862 +00.8813752521774|   0.857 -1.470   |15.881   |~                |    ~     ~    |    1| 1049.979   pc  | -43.1060    +43.1060    |paral   |2020yCat.1350....0G
4540|NGC 6611 81                        NGC 6611 81                                                                                                                                 |Star                                  |18 18 18.4208256768 -13 43 07.598141544|016.9748231120867 +00.9404136194869|  -0.832 -1.813   |16.123   |~                |    ~     ~    |    1|  971.440   pc  | -34.1618    +34.1618    |paral   |2020yCat.1350....0G
4541|NGC 6611 77                        NGC 6611 77                                                                                                                                 |Star                                  |18 18 18.5160160632 -13 52 20.654604372|016.8396718779315 +00.8673380941059|  -0.096 -5.156   |14.041   |~                |    ~     ~    |    1|  807.103   pc  | -12.0512    +12.0512    |paral   |2020yCat.1350....0G
4542|NGC 6611 82                        NGC 6611 82                                                                                                                                 |Star                                  |18 18 18.98 -13 46 27.4                |016.92700 +00.91214                |      5.06 4.12   |14.920   |~                |    ~     ~    |    0|                |                         |        |                   
4543|NGC 6611 83                        NGC 6611 83                                                                                                                                 |Star                                  |18 18 18.9576977688 -13 46 09.963392700|016.9312263076224 +00.9145162970205|    3.270 0.419   |15.903   |~                |    ~     ~    |    1| 1464.558   pc  | -82.3653    +82.3653    |paral   |2020yCat.1350....0G
4544|NGC 6611 87                        NGC 6611 87                                                                                                                                 |Star                                  |18 18 19.3417904112 -13 41 50.719903260|016.9954010473878 +00.9472400879832|  -0.540 -4.348   |16.487   |~                |    ~     ~    |    1| 1432.460   pc  | -88.8490    +88.8490    |paral   |2020yCat.1350....0G
4545|NGC 6611 84                        NGC 6611 84                                                                                                                                 |Star                                  |18 18 19.69 -13 51 01.6                |016.86127 +00.87355                |    -12.38 1.41   |15.822   |~                |    ~     ~    |    0|                |                         |        |                   
4546|NGC 6611 89                        NGC 6611 89                                                                                                                                 |Star                                  |18 18 20.0104707816 -13 46 28.831315908|016.9286265527760 +00.9082822468588|   1.420 -4.985   |15.350   |~                |    ~     ~    |    1| 1162.385   pc  | -36.6159    +36.6159    |paral   |2020yCat.1350....0G
4547|NGC 6611 86                        NGC 6611 86                                                                                                                                 |Star                                  |18 18 20.5402566480 -13 54 16.142053788|016.8152893966995 +00.8449375740376|   0.580 -4.121   |15.889   |~                |    ~     ~    |    1| 1287.830   pc  | -60.7013    +60.7013    |paral   |2020yCat.1350....0G
4548|NGC 6611 97                        NGC 6611 97                                                                                                                                 |Star                                  |18 18 20.5698318216 -13 41 02.448546000|017.0095674725518 +00.9492089090202|    0.912 0.919   |16.459   |~                |    ~     ~    |    1| 1429.593   pc  | -90.5375    +90.5375    |paral   |2020yCat.1350....0G
4549|NGC 6611 88                        NGC 6611 88                                                                                                                                 |Star                                  |18 18 20.7263804616 -13 54 29.518152084|016.8123727230909 +00.8425153639812|   -5.152 2.193   |15.066   |~                |    ~     ~    |    1| 1201.346   pc  | -60.6157    +60.6157    |paral   |2020yCat.1350....0G
4550|NGC 6611 96                        2MASS J18182104-1345593                                                                                                                     |Young Stellar Object                  |18 18 21.0557003064 -13 45 59.361903324|016.9378407337385 +00.9084317807446|   0.676 -1.673   |15.852   |~                |    ~     ~    |    0|                |                         |        |                   
4551|NGC 6611 93                        NGC 6611 93                                                                                                                                 |Star                                  |18 18 21.23 -13 51 28.7                |016.85758 +00.86450                |            ~ ~   |15.646   |~                |    ~     ~    |    0|                |                         |        |                   
4552|NGC 6611 92                        NGC 6611 92                                                                                                                                 |Star                                  |18 18 21.3880934520 -13 55 08.547126564|016.8040895395112 +00.8350252772421|   0.275 -4.490   |15.763   |~                |    ~     ~    |    1| 1696.929   pc  |-104.2403   +104.2403    |paral   |2020yCat.1350....0G
4553|NGC 6611 91                        NGC 6611 91                                                                                                                                 |Star                                  |18 18 21.44 -13 50 17.3                |016.87546 +00.87314                |            ~ ~   |16.306   |~                |    ~     ~    |    0|                |                         |        |                   
4554|NGC 6611 95                        NGC 6611 95                                                                                                                                 |Star                                  |18 18 21.5297298528 -13 51 06.443011548|016.8636041728800 +00.8663595033169|  -1.191 -7.046   |13.508   |~                |    ~     ~    |    1| 1649.893   pc  | -51.1763    +51.1763    |paral   |2020yCat.1350....0G
4555|NGC 6611 102                       NGC 6611 102                                                                                                                                |Star                                  |18 18 21.9155299608 -13 43 20.858409156|016.9782759326556 +00.9262097190942|    1.380 8.761   |16.345   |~                |    ~     ~    |    1| 1455.816   pc  | -82.0208    +82.0208    |paral   |2020yCat.1350....0G
4556|NGC 6611 99                        NGC 6611 99                                                                                                                                 |Star                                  |18 18 22.1543056152 -13 48 54.215831088|016.8971573803349 +00.8815221439008|    0.550 1.271   |15.599   |~                |    ~     ~    |    1| 2072.539   pc  | -99.6537    +99.6537    |paral   |2020yCat.1350....0G
4557|NGC 6611 101                       2MASS J18182219-1346168                                                                                                                     |Young Stellar Object Candidate        |18 18 22.1895239280 -13 46 16.779799272|016.9357509027493 +00.9020995394952|    2.270 0.182   |15.136   |~                |    ~     ~    |    1| 1149.293   pc  | -35.1353    +35.1353    |paral   |2020yCat.1350....0G
4558|NGC 6611 100                       NGC 6611 100                                                                                                                                |Star                                  |18 18 22.63 -13 52 33.0                |016.84453 +00.85106                |     1.89 -2.88   |15.706   |~                |    ~     ~    |    0|                |                         |        |                   
4559|NGC 6611 108                       NGC 6611 108                                                                                                                                |Star                                  |18 18 22.8083543544 -13 40 58.300121280|017.0148732741656 +00.9417717049310|   1.624 -2.631   |16.249   |~                |    ~     ~    |    1| 1618.647   pc  |-102.1807   +102.1807    |paral   |2020yCat.1350....0G
