C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:15:33

dec >=0&rah >=7.25&rah< 7.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6226

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
32  |TYC 4538-829-1                                                                                                                                                                 |Spectroscopic Binary              |07 15 24.1715552568 +81 58 50.376881388|131.9456739020439 +27.6768402682254|-32.320 -16.112   |10.79    |~               |    ~     ~          |    1|  263.331   pc  |  -5.5475     +5.5475  |paral   |2020yCat.1350....0G
33  |TYC 4538-879-1                                                                                                                                                                 |Spectroscopic Binary              |07 15 48.1423226736 +82 03 43.608955608|131.8532219825496 +27.6879856507098|   2.559 14.895   |10.93    |~               |    ~     ~          |    1|  288.384   pc  |  -4.7654     +4.7654  |paral   |2020yCat.1350....0G
34  |TYC 4618-637-1                                                                                                                                                                 |Star                              |07 15 26.6306205744 +83 42 50.807321748|129.9903571628072 +27.6087024844508|    2.299 1.638   |10.85    |~               |    ~     ~          |    1| 2066.970   pc  | -51.2684    +51.2684  |paral   |2020yCat.1350....0G
35  |TYC 4618-742-1                                                                                                                                                                 |Star                              |07 17 50.8926597744 +83 13 07.533774804|130.5449292294742 +27.7022715157889|   1.935 -3.318   |10.95    |~               |    ~     ~          |    1|  892.937   pc  |  -8.6112     +8.6112  |paral   |2020yCat.1350....0G
36  |TYC 4618-991-1                                                                                                                                                                 |Star                              |07 23 01.2679790208 +83 03 25.951914936|130.7158855022017 +27.8668720207058|    1.671 4.034   |10.47    |~               |    ~     ~          |    1| 1785.714   pc  | -39.8597    +39.8597  |paral   |2020yCat.1350....0G
37  |TYC 4618-1388-1                                                                                                                                                                |Star                              |07 23 33.1213396632 +83 31 55.696854216|130.1789868514846 +27.8451516604000|    5.462 2.003   |10.83    |~               |    ~     ~          |    1|  661.507   pc  |  -5.2073     +5.2073  |paral   |2020yCat.1350....0G
38  |BD+82 197                                                                                                                                                                      |Star                              |07 26 14.3446103928 +82 17 47.949935388|131.5650789032283 +28.0287392743985| -23.593 17.536   |9.64     |F8              |    ~     ~          |    1|  108.128   pc  |  -0.1333     +0.1333  |paral   |2020yCat.1350....0G
39  |BD+82 199                                                                                                                                                                      |Star                              |07 25 21.5780184528 +81 48 27.409651524|132.1201177714770 +28.0364434328898|  -3.319 -5.664   |9.61     |K2              |    ~     ~          |    1|  767.695   pc  |  -6.8365     +6.8365  |paral   |2020yCat.1350....0G
40  |BD+81 238                                                                                                                                                                      |Star                              |07 21 27.1404864504 +81 16 25.853922732|132.7335259112577 +27.9264665904886|    4.197 4.181   |10.26    |B8              |    ~     ~          |    1|  422.048   pc  |  -2.9925     +2.9925  |paral   |2020yCat.1350....0G
41  |BD+81 240                                                                                                                                                                      |Star                              |07 21 30.5332579848 +81 10 01.948749060|132.8539408937160 +27.9340976323213| -1.541 -13.812   |10.24    |A2              |    ~     ~          |    1|  441.423   pc  |  -2.9033     +2.9033  |paral   |2020yCat.1350....0G
42  |HD 55075                                                                                                                                                                       |Star                              |07 25 21.9367663008 +81 15 26.891719452|132.7419272888018 +28.0757414374754|  0.542 -28.323   |6.290    |A0III           |    ~     ~          |    1|  233.334   pc  |  -3.5226     +3.5226  |paral   |2020yCat.1350....0G
43  |HD 55528                                                                                                                                                                       |Star                              |07 26 40.5725246616 +80 58 27.191031564|133.0582527040433 +28.1460516779593|-23.112 -33.956   |8.74     |F2              |    ~     ~          |    1|  138.449   pc  |  -2.2158     +2.2158  |paral   |2020yCat.1350....0G
44  |BD+81 244                                                                                                                                                                      |Star                              |07 27 16.8719964312 +81 02 46.124643552|132.9749307737568 +28.1643583771184|        0.3 2.4   |10.03    |F0              |    ~     ~          |    0|                |                       |        |                   
45  |BD+81 245                                                                                                                                                                      |Variable Star                     |07 28 02.6201095344 +81 06 47.643334344|132.8964734017109 +28.1886768526804|   9.787 -6.024   |10.22    |F8              |    ~     ~          |    1|  296.288   pc  |  -1.7733     +1.7733  |paral   |2020yCat.1350....0G
46  |TYC 4538-918-1                                                                                                                                                                 |Star                              |07 18 15.5407863648 +81 03 36.603404748|132.9810838255830 +27.8133642285543|   0.753 -6.162   |10.93    |~               |    ~     ~          |    1| 1084.716   pc  | -14.0017    +14.0017  |paral   |2020yCat.1350....0G
