C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
57  |BD+76 571                                                             |Star                              |15 44 22.6370419224 +75 33 01.954414296|110.5556866374550 +37.1104506662554|  -8.365 -4.537  |9.96     |K0               |    ~     ~    |    1|  799.105   pc  | -31.2899    +31.2899  |paral   |2020yCat.1350....0G
58  |TYC 4560-792-1                                                        |Star                              |15 42 35.0056266408 +75 17 51.754780356|110.4052483978530 +37.3600822484471| -0.413 -15.836  |10.90    |K5               |    ~     ~    |    1| 1455.816   pc  | -26.7044    +26.7044  |paral   |2020yCat.1350....0G
59  |TYC 4560-1684-1                                                       |Star                              |15 43 45.6141083304 +76 14 07.890299376|111.2382981492955 +36.6949258667877| -3.363 -16.460  |10.88    |~                |    ~     ~    |    1|  241.458   pc  |  -0.8920     +0.8920  |paral   |2020yCat.1350....0G
60  |TYC 4560-2744-1                                                       |Star                              |15 38 59.4910311984 +75 58 01.899744240|111.2223573611728 +37.0871437713481|  -1.585 15.572  |10.58    |~                |    ~     ~    |    1|  269.382   pc  |  -0.8926     +0.8926  |paral   |2020yCat.1350....0G
61  |BD+80 483                                                             |Star                              |15 37 31.3337372544 +79 36 14.433683112|114.5696698963345 +34.6624458996728|-11.274 -12.652  |9.71     |K0               |    ~     ~    |    1|  708.065   pc  |  -6.2669     +6.2669  |paral   |2020yCat.1350....0G
62  |HD 140317                                                             |Star                              |15 33 25.7568793944 +79 11 51.137838060|114.3781611614364 +35.0819009561617| -9.324 -14.746  |8.55     |G0               |    ~     ~    |    1|  187.024   pc  |  -0.4897     +0.4897  |paral   |2020yCat.1350....0G
63  |TYC 4563-1417-1                                                       |Star                              |15 37 52.5536415432 +78 59 33.031835736|114.0193692222215 +35.0751823300165|   8.097 -5.182  |10.36    |~                |    ~     ~    |    1|  782.656   pc  |  -8.3307     +8.3307  |paral   |2020yCat.1350....0G
64  |BD+79 471                                                             |Star                              |15 37 28.2816712104 +79 01 30.907524684|114.0645448929910 +35.0664158838320| 33.027 -14.973  |10.03    |~                |    ~     ~    |    1|  180.914   pc  |  -0.5466     +0.5466  |paral   |2020yCat.1350....0G
65  |BD+78 519                                                             |Star                              |15 31 11.7673948248 +78 19 14.867787288|113.7139765500819 +35.7802053778581|   24.048 6.024  |9.10     |K2               |    ~     ~    |    1|  162.022   pc  |  -0.3019     +0.3019  |paral   |2020yCat.1350....0G
66  |HD 140099                                                             |Star                              |15 33 29.5353352656 +77 57 26.838892116|113.2933444281217 +35.9526561505317| -12.016 -3.998  |8.98     |K0               |    ~     ~    |    1|  423.388   pc  |  -2.1511     +2.1511  |paral   |2020yCat.1350....0G
67  |BD+78 526                                                             |Star                              |15 43 42.3387304416 +77 59 45.324247704|112.8806359737926 +35.5377600885480|  -13.582 8.441  |8.78     |K2               |    ~     ~    |    1|  853.242   pc  | -11.0659    +11.0659  |paral   |2020yCat.1350....0G
68  |* zet UMi                                                             |Variable Star                     |15 44 03.5189152 +77 47 40.178845      |112.6802298322 +35.6576011380      |    19.91 -1.99  |4.274    |A3Vn             |    ~     ~    |    1|  103.3773  pc  |  -2.8737     +2.8737  |paral   |2018yCat.1345....0G
69  |BD+77 590                                                             |Star                              |15 30 24.7900030656 +76 44 53.310868296|112.3685386200248 +36.9207755778971|  -1.749 11.776  |9.86     |K5               |    ~     ~    |    1|  500.626   pc  |  -2.9574     +2.9574  |paral   |2020yCat.1350....0G
70  |BD+77 591                                                             |Spectroscopic Binary              |15 31 19.9078608888 +76 49 19.673652144|112.3884761016328 +36.8314649279124| -32.239 53.714  |9.54     |F2               |    ~     ~    |    1|  212.441   pc  |  -4.0347     +4.0347  |paral   |2020yCat.1350....0G
