C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1422|BD+11 2831                                                            |Star                              |15 36 46.0632631752 +11 10 48.255704508|018.7825435746481 +48.0744099514932| -6.800 -14.579  |9.02     |M0               |    ~     ~    |    1|  850.557   pc  | -16.3499    +16.3499  |paral   |2020yCat.1350....0G
1423|HD 139391                                                             |Star                              |15 37 34.0358958888 +11 09 04.200934968|018.8837926206052 +47.8881349076059|-37.374 -24.787  |7.53     |G5               |    ~     ~    |    1|  180.271   pc  |  -0.6467     +0.6467  |paral   |2020yCat.1350....0G
1424|HD 139610                                                             |Star                              |15 38 49.5440085168 +10 36 56.716077492|018.4052997966957 +47.3607644359003|  17.664 -4.400  |7.080    |G5               |    ~     ~    |    1|  185.450   pc  |  -0.6328     +0.6328  |paral   |2020yCat.1350....0G
1425|HD 139706                                                             |Star                              |15 39 23.5950897192 +10 44 44.405875032|018.6721974775264 +47.3008192943977|   3.722 -0.018  |9.07     |K0               |    ~     ~    |    1|  582.411   pc  |  -5.5968     +5.5968  |paral   |2020yCat.1350....0G
1426|BD+11 2839                                                            |Star                              |15 40 07.8038 +11 18 16.520            |019.5251127 +47.4066701            |  -46.945 2.498  |10.09    |G5               |    ~     ~    |    0|                |                       |        |                   
1427|HD 140187                                                             |Star                              |15 41 59.2187975592 +10 34 12.755368848|018.8932107609415 +46.6572891563459| -4.625 -10.798  |8.02     |K0               |    ~     ~    |    1|  429.185   pc  |  -3.9603     +3.9603  |paral   |2020yCat.1350....0G
1428|BD+11 2847                                                            |High Proper Motion Star           |15 42 28.9790730288 +10 36 04.469997816|019.0176398160938 +46.5650167732778| -45.136 32.308  |9.58     |K0               |    ~     ~    |    1|  395.601   pc  |  -2.6918     +2.6918  |paral   |2020yCat.1350....0G
1429|BD+11 2851                                                            |Star                              |15 44 03.6153116952 +10 49 48.881759268|019.5770335252549 +46.3326305481888|-11.272 -43.222  |10.32    |G5               |    ~     ~    |    1|  111.403   pc  |  -0.1824     +0.1824  |paral   |2020yCat.1350....0G
1430|HD 140647                                                             |Star                              |15 44 30.6189436896 +10 49 26.561028108|019.6445572928730 +46.2322628385611|  3.050 -10.382  |8.50     |G5               |    ~     ~    |    1|  338.742   pc  |  -1.8818     +1.8818  |paral   |2020yCat.1350....0G
1431|HD 140667                                                             |Spectroscopic Binary              |15 44 31.8594909552 +11 15 59.255790480|020.2141318363696 +46.4349921102690|-124.316 -33.006 |7.53     |G0V              |    ~     ~    |    1|   42.426   pc  |  -1.0459     +1.0459  |paral   |2020yCat.1350....0G
1432|HD 140666                                                             |Star                              |15 44 36.5415102792 +11 25 19.421273568|020.4271181936100 +46.4902516922297|-31.665 -24.287  |7.48     |K0               |    ~     ~    |    1|  202.061   pc  |  -0.8533     +0.8533  |paral   |2020yCat.1350....0G
1433|HD 139725                                                             |Star                              |15 39 25.3832306112 +09 57 31.321095264|017.6658687857001 +46.9132038050218|-22.152 -41.577  |8.42     |K0               |    ~     ~    |    1|  309.109   pc  |  -2.4365     +2.4365  |paral   |2020yCat.1350....0G
1434|HD 140210                                                             |High Proper Motion Star           |15 42 06.9661537776 +10 17 54.270919284|018.5684711462003 +46.4989880295321| 52.596 -90.507  |9.00     |G0               |    ~     ~    |    1|  125.298   pc  |  -0.3799     +0.3799  |paral   |2020yCat.1350....0G
1435|BD+10 2894                                                            |Star                              |15 42 16.3975513272 +10 03 13.534860780|018.2849126592707 +46.3468610141782|  22.376 15.692  |10.61    |F2               |    ~     ~    |    1|  383.259   pc  |  -3.1581     +3.1581  |paral   |2020yCat.1350....0G
1436|BD+10 2896                                                            |Star                              |15 42 44.6278256544 +10 22 40.601800056|018.7774307151180 +46.4018754057127| -27.180 -6.671  |9.92     |K0               |    ~     ~    |    1|  624.727   pc  |  -6.7519     +6.7519  |paral   |2020yCat.1350....0G
1437|BD+10 2899                                                            |Star                              |15 44 22.4188087920 +10 20 22.292699856|019.0062875453731 +46.0316615188126| -9.606 -12.030  |10.44    |F2               |    ~     ~    |    1|  362.096   pc  |  -6.0181     +6.0181  |paral   |2020yCat.1350....0G
1438|BD+11 2836                                                            |Long-Period Variable              |15 39 10.2079840656 +10 34 42.739276944|018.4172773090029 +47.2686691021366|   2.895 -9.384  |10.15    |M4               |    ~     ~    |    1|  870.474   pc  | -42.6599    +42.6599  |paral   |2020yCat.1350....0G
1439|BD+10 2883                                                            |Star                              |15 36 23.6925707304 +09 36 46.222871436|016.6813455301524 +47.3906158147033|  -6.513 13.128  |10.80    |F0               |    ~     ~    |    1|  322.612   pc  |  -1.8110     +1.8110  |paral   |2020yCat.1350....0G
1440|BD+10 2889                                                            |Star                              |15 40 13.8008411424 +09 47 48.196185216|017.6021451972757 +46.6605483259877|   -2.789 0.609  |10.06    |F5               |    ~     ~    |    1|  246.798   pc  |  -4.7448     +4.7448  |paral   |2020yCat.1350....0G
1441|HD 140254                                                             |Spectroscopic Binary              |15 42 15.8691688872 +09 39 03.029842512|017.7747629079258 +46.1521917846802|-42.676 -24.743  |7.68     |F5               |    ~     ~    |    1|  106.579   pc  |  -0.4157     +0.4157  |paral   |2020yCat.1350....0G
1442|BD+10 2900                                                            |Star                              |15 44 25.6066998840 +09 49 24.040558164|018.3654579875597 +45.7713813612903| -2.825 -14.092  |10.74    |F8               |    ~     ~    |    1|  310.752   pc  |  -1.7768     +1.7768  |paral   |2020yCat.1350....0G
1443|BD+09 3072B                                                           |High Proper Motion Star           |15 36 35.4406129536 +09 14 54.500079372|016.2523710273189 +47.1661244471669|  -53.651 3.790  |10.44    |~                |    ~     ~    |    1|  176.224   pc  |  -1.1304     +1.1304  |paral   |2020yCat.1350....0G
1444|BD+09 3072                                                            |High Proper Motion Star           |15 36 35.9702937120 +09 14 45.354850980|016.2507581267518 +47.1629628212065|  -52.386 2.868  |9.86     |G5               |    ~     ~    |    1|  175.954   pc  |  -0.7121     +0.7121  |paral   |2020yCat.1350....0G
1445|BD+09 3073                                                            |Star                              |15 36 37.0531583136 +09 11 51.574439508|016.1927652635593 +47.1347762225349|    2.616 0.151  |10.08    |G                |    ~     ~    |    1|  157.901   pc  | -10.4318    +10.4318  |paral   |2020yCat.1350....0G
1446|BD+09 3077                                                            |High Proper Motion Star           |15 38 22.1063135352 +09 21 09.280751580|016.7072071773466 +46.8390246733476| -69.394 -0.794  |10.59    |G5               |    ~     ~    |    1|  139.274   pc  |  -0.3104     +0.3104  |paral   |2020yCat.1350....0G
1447|HD 140006                                                             |Spectroscopic Binary              |15 41 04.4325611616 +09 18 09.000076572|017.1277339504124 +46.2354710260676|  -19.276 0.405  |7.40     |G5               |    ~     ~    |    1|  216.821   pc  |  -3.5353     +3.5353  |paral   |2020yCat.1350....0G
1448|HD 140322                                                             |Star                              |15 42 42.8360824752 +09 31 09.723463428|017.6881525249151 +45.9911011106837|   -2.833 1.462  |8.81     |F8               |    ~     ~    |    1|  176.832   pc  |  -0.7598     +0.7598  |paral   |2020yCat.1350....0G
1449|BD+09 3096                                                            |High Proper Motion Star           |15 44 33.2047029576 +09 28 49.996351056|017.9589964000428 +45.5769133978679|-42.071 -57.476  |10.73    |G0               |    ~     ~    |    1|  146.823   pc  |  -0.3535     +0.3535  |paral   |2020yCat.1350....0G
1450|NGC 5988                           NGC 5988                           |LINER-type Active Galaxy Nucleus  |15 44 33.8563161384 +10 17 35.332244556|018.9799810905680 +45.9682954749661|            ~ ~  |     ~   |~                |0.670 0.469    |    1|  165.20    Mpc | -20.07      +20.07    |T-F     |2020ApJ...902..145K
1451|IRAS 15363+0923                                                       |Long-Period Variable              |15 38 46.3174678872 +09 14 10.387793004|016.6328796655968 +46.6945992689881|  -6.777 -5.964  |10.01    |~                |    ~     ~    |    1| 1841.282   pc  |-107.4731   +107.4731  |paral   |2020yCat.1350....0G
1452|* 16 Ser                                                              |Spectroscopic Binary              |15 36 29.5738934952 +10 00 36.529391340|017.2094839999408 +47.5667517128533|42.906 -123.903  |5.253    |K0III:CN1Ba0.7Sr2|    ~     ~    |    1|   69.884   pc  |  -0.4537     +0.4537  |paral   |2020yCat.1350....0G
1453|TYC 929-77-1                                                          |Star                              |15 38 38.4579357696 +09 14 22.105776948|016.6133671542144 +46.7242029108950|  -5.184 -1.955  |10.66    |~                |    ~     ~    |    1|  911.826   pc  | -12.2220    +12.2220  |paral   |2020yCat.1350....0G
1454|TYC 930-451-1                                                         |Star                              |15 42 18.0589622328 +09 22 22.024320492|017.4322883040866 +46.0074077450272|   1.480 -4.367  |10.62    |~                |    ~     ~    |    1| 1450.326   pc  | -44.3827    +44.3827  |paral   |2020yCat.1350....0G
1455|TYC 932-981-1                                                         |Star                              |15 34 25.9730620488 +10 07 06.677068296|016.9769540138749 +48.0612115805199|  -6.092 -4.896  |10.76    |~                |    ~     ~    |    1|  340.669   pc  |  -2.5996     +2.5996  |paral   |2020yCat.1350....0G
1456|TYC 932-1024-1                                                        |Spectroscopic Binary              |15 34 23.6316894504 +09 51 44.293522140|016.6373949305821 +47.9423862257157|  4.813 -15.235  |9.71     |~                |    ~     ~    |    1| 1454.757   pc  | -54.8126    +54.8126  |paral   |2020yCat.1350....0G
1457|TYC 933-66-1                                                          |Star                              |15 37 47.9789382984 +09 55 12.458796348|017.3281039196372 +47.2424263658703|   5.251 -9.126  |10.70    |~                |    ~     ~    |    1|  895.736   pc  | -12.7573    +12.7573  |paral   |2020yCat.1350....0G
1458|TYC 933-94-1                                                          |Star                              |15 35 06.0381931224 +10 42 40.941145620|017.8719854451097 +48.2083010099812|  -4.858 -0.374  |10.19    |~                |    ~     ~    |    1|  648.088   pc  |  -7.4763     +7.4763  |paral   |2020yCat.1350....0G
1459|TYC 933-95-1                                                          |High Proper Motion Star           |15 36 47.6243636784 +09 54 22.778715024|017.1299680117474 +47.4510751591498|-92.834 -17.348  |10.46    |~                |    ~     ~    |    1|  187.255   pc  |  -0.4874     +0.4874  |paral   |2020yCat.1350....0G
1460|TYC 933-112-1                                                         |Star                              |15 37 30.9459253584 +11 00 31.311527868|018.6880963971913 +47.8314165467446|  -0.754 -2.257  |10.19    |~                |    ~     ~    |    1|  636.335   pc  |  -7.6530     +7.6530  |paral   |2020yCat.1350....0G
1461|TYC 933-120-1                                                         |High Proper Motion Star           |15 34 34.9008966528 +09 56 18.798594036|016.7704876150674 +47.9401992147211|  6.050 -78.437  |10.38    |~                |    ~     ~    |    1|  216.732   pc  |  -1.3293     +1.3293  |paral   |2020yCat.1350....0G
1462|TYC 933-160-1                                                         |Star                              |15 41 59.5239914136 +11 03 36.634080348|019.5237805645596 +46.8887148535598|  3.523 -13.852  |9.43     |~                |    ~     ~    |    1|  727.008   pc  |  -9.2495     +9.2495  |paral   |2020yCat.1350....0G
1463|TYC 933-235-1                                                         |High Proper Motion Star           |15 37 24.7931666448 +10 29 04.299757188|017.9870971395578 +47.6013002693524|  -79.284 2.648  |10.18    |~                |    ~     ~    |    1|  131.227   pc  |  -0.2721     +0.2721  |paral   |2020yCat.1350....0G
1464|TYC 933-303-1                                                         |Star                              |15 41 27.7136295528 +11 01 45.089368608|019.3939158492537 +46.9888188775558|  5.533 -21.399  |10.15    |~                |    ~     ~    |    1|  513.373   pc  | -12.7296    +12.7296  |paral   |2020yCat.1350....0G
1465|TYC 933-392-1                                                         |High Proper Motion Star           |15 40 37.7311234536 +10 01 15.215382984|017.9571044770501 +46.6846045592488|  -57.482 5.414  |10.08    |~                |    ~     ~    |    1|  200.449   pc  |  -0.9844     +0.9844  |paral   |2020yCat.1350....0G
1466|TYC 933-573-1                                                         |Star                              |15 40 33.9865573488 +10 39 32.284147068|018.7631001274176 +47.0062814469200|-28.686 -10.238  |9.68     |~                |    ~     ~    |    1|  697.837   pc  |  -7.9864     +7.9864  |paral   |2020yCat.1350....0G
1467|TYC 933-684-1                                                         |Star                              |15 41 02.7969456240 +10 01 33.009129228|018.0363834838672 +46.5972018923801| 19.909 -39.470  |10.05    |~                |    ~     ~    |    1|  174.134   pc  |  -0.5185     +0.5185  |paral   |2020yCat.1350....0G
1468|TYC 933-756-1                                                         |Star                              |15 39 43.8131454048 +10 16 07.384244592|018.1164176684891 +46.9983679247414|   -3.767 5.156  |10.92    |~                |    ~     ~    |    1|  348.675   pc  |  -1.9695     +1.9695  |paral   |2020yCat.1350....0G
1469|TYC 933-758-1                                                         |High Proper Motion Star           |15 36 08.5931416464 +09 41 10.951605564|016.7298543126579 +47.4810473789852| -72.682 -6.768  |10.78    |~                |    ~     ~    |    1|  230.261   pc  |  -1.1346     +1.1346  |paral   |2020yCat.1350....0G
1470|TYC 933-1006-1                                                        |Star                              |15 39 40.0393265952 +09 59 04.577290224|017.7420178088453 +46.8734476578676|   -5.760 3.143  |9.66     |~                |    ~     ~    |    1|  447.989   pc  |  -3.5924     +3.5924  |paral   |2020yCat.1350....0G
1471|TYC 933-1093-1                                                        |Star                              |15 38 42.3215487600 +09 22 55.907163336|016.8053516826710 +46.7818232392839|  -15.378 4.280  |10.67    |~                |    ~     ~    |    1|  860.067   pc  | -13.0930    +13.0930  |paral   |2020yCat.1350....0G
1472|TYC 934-412-1                                                         |Star                              |15 43 27.3588467136 +10 09 52.626453768|018.6287526167429 +46.1456735799374|   11.379 3.898  |10.72    |~                |    ~     ~    |    1|  353.807   pc  |  -2.6413     +2.6413  |paral   |2020yCat.1350....0G
1473|TYC 934-514-1                                                         |Star                              |15 43 15.1770245088 +10 55 55.246786104|019.5715881636915 +46.5553970541647|  -26.422 3.056  |10.66    |~                |    ~     ~    |    1|  266.347   pc  |  -1.0286     +1.0286  |paral   |2020yCat.1350....0G
1474|TYC 934-529-1                                                         |Star                              |15 44 48.3019845696 +10 38 36.414103488|019.4641868086311 +46.0831124214419|   -4.826 0.141  |9.80     |~                |    ~     ~    |    1|  850.268   pc  | -42.3652    +42.3652  |paral   |2020yCat.1350....0G
1475|TYC 934-842-1                                                         |Star                              |15 43 06.8394501528 +10 37 53.840253180|019.1637772039061 +46.4431717938324|   1.891 -5.758  |10.27    |~                |    ~     ~    |    1| 1231.224   pc  | -22.1323    +22.1323  |paral   |2020yCat.1350....0G
1476|IRAS 15399+1007                                                       |Long-Period Variable Candidate    |15 42 22.2497943696 +09 58 30.470703780|018.2022670919319 +46.2876921042687|  -3.458 -3.553  |9.63     |~                |    ~     ~    |    1| 1669.73    pc  | -54.3658    +54.3658  |paral   |2020yCat.1350....0G
1477|TYC 934-1141-1                                                        |Star                              |15 42 48.3761225928 +10 08 55.561560180|018.4971994898313 +46.2780615080641| -14.402 14.892  |10.54    |~                |    ~     ~    |    1|  261.780   pc  |  -5.0437     +5.0437  |paral   |2020yCat.1350....0G
1478|TYC 934-1183-1                                                        |Star                              |15 44 26.2183189728 +10 46 15.798759420|019.5647396069239 +46.2231340889307|-34.253 -10.407  |10.82    |~                |    ~     ~    |    1|  211.466   pc  |  -0.6752     +0.6752  |paral   |2020yCat.1350....0G
1479|TYC 937-803-1                                                         |High Proper Motion Star           |15 35 41.7417137160 +11 16 09.518573604|018.7127440767526 +48.3480996353153| 19.387 -47.051  |9.83     |~                |    ~     ~    |    1|  259.983   pc  |  -6.3468     +6.3468  |paral   |2020yCat.1350....0G
1480|TYC 937-906-1                                                         |Star                              |15 39 09.3554480688 +11 32 32.251388424|019.6706414154309 +47.7289185517611|  15.358 -2.488  |10.82    |~                |    ~     ~    |    1|  323.029   pc  | -20.9321    +20.9321  |paral   |2020yCat.1350....0G
1481|TYC 937-1046-1                                                        |Star                              |15 39 28.0670823120 +11 29 26.781951732|019.6560333304434 +47.6373009406563|  9.796 -10.906  |10.36    |~                |    ~     ~    |    1| 1272.427   pc  | -35.7814    +35.7814  |paral   |2020yCat.1350....0G
1482|TYC 936-935-1                                                         |Star                              |15 30 37.7492572320 +13 03 09.302398560|020.2526089535643 +50.2731275411189| -0.043 -10.283  |10.19    |G0               |    ~     ~    |    1|  203.957   pc  |  -0.7612     +0.7612  |paral   |2020yCat.1350....0G
1483|TYC 936-813-1                                                         |Star                              |15 30 38.3690756352 +13 03 23.112531216|020.2597433731706 +50.2726242142675|   0.037 -9.952  |10.10    |G0               |    ~     ~    |    1|  203.994   pc  |  -0.7116     +0.7116  |paral   |2020yCat.1350....0G
1484|BD+13 2957                                                            |Star                              |15 32 44.5932501984 +12 44 27.207005568|020.1852112137962 +49.6725547298484|    -44.3 -14.3  |9.99     |K2               |    ~     ~    |    0|                |                       |        |                   
1485|HD 138701                                                             |Star                              |15 33 17.6255675112 +13 05 48.865286580|020.7698232562508 +49.7141474452262| -12.215 23.202  |8.57     |G5               |    ~     ~    |    1|  332.768   pc  |  -2.7794     +2.7794  |paral   |2020yCat.1350....0G
1486|BD+12 2843                                                            |High Proper Motion Star           |15 30 19.3958761104 +12 05 04.979286456|018.8608321940474 +49.8926067903812| 54.287 -29.722  |9.53     |F8               |    ~     ~    |    1|  175.082   pc  |  -0.5303     +0.5303  |paral   |2020yCat.1350....0G
1487|HD 138216                                                             |Star                              |15 30 23.7995793984 +12 00 00.029363292|018.7579510512325 +49.8369324013052|  -14.474 1.833  |7.15     |K0               |    ~     ~    |    1|  285.845   pc  |  -1.6995     +1.6995  |paral   |2020yCat.1350....0G
1488|HD 138712                                                             |Star                              |15 33 27.1838476584 +12 06 59.646682584|019.4555851116907 +49.2311487524030|-12.016 -11.075  |9.01     |K0               |    ~     ~    |    1|  516.742   pc  |  -4.3792     +4.3792  |paral   |2020yCat.1350....0G
1489|BD+12 2847                                                            |Star                              |15 30 57.6826446120 +11 36 32.918840784|018.3270857936536 +49.5300799679232|   -6.645 1.087  |10.19    |K0               |    ~     ~    |    1|  754.034   pc  | -10.6891    +10.6891  |paral   |2020yCat.1350....0G
1490|BD+12 2850                                                            |Star                              |15 31 49.8606818856 +11 47 00.385905552|018.7186876774550 +49.4253744439286|   3.330 -4.837  |8.97     |K0               |    ~     ~    |    1|  887.311   pc  | -12.1248    +12.1248  |paral   |2020yCat.1350....0G
1491|HD 138702                                                             |High Proper Motion Star           |15 33 21.4216534056 +11 39 35.141879592|018.8220692654490 +49.0377181770408| 22.260 -73.823  |8.60     |F5               |    ~     ~    |    1|  136.795   pc  |  -0.2975     +0.2975  |paral   |2020yCat.1350....0G
1492|HD 138713                                                             |High Proper Motion Star           |15 33 27.1668954216 +11 46 29.754649560|018.9939105426347 +49.0713570253631| 10.861 -48.942  |8.72     |G5               |    ~     ~    |    1|  272.970   pc  |  -1.6914     +1.6914  |paral   |2020yCat.1350....0G
1493|TYC 936-108-1                                                         |Star                              |15 31 18.0240679128 +11 47 40.717144428|018.6393815306582 +49.5450962209165| -32.145 11.939  |10.61    |~                |    ~     ~    |    1|  164.742   pc  |  -0.5292     +0.5292  |paral   |2020yCat.1350....0G
1494|TYC 936-119-1                                                         |Star                              |15 30 51.2112537384 +12 06 41.661719424|018.9918949112031 +49.7907318866396|  19.614 -8.076  |10.71    |~                |    ~     ~    |    1|  305.176   pc  |  -6.3609     +6.3609  |paral   |2020yCat.1350....0G
1495|TYC 936-558-1                                                         |Star                              |15 31 15.5306628360 +11 42 16.473375540|018.5097556850939 +49.5113815741046|  -21.707 4.822  |9.96     |~                |    ~     ~    |    1|  462.706   pc  |  -4.3890     +4.3890  |paral   |2020yCat.1350....0G
1496|TYC 936-622-1                                                         |Star                              |15 33 26.8231726968 +11 28 37.336644084|018.5928063915378 +48.9317129506430| -12.599 -9.251  |9.82     |~                |    ~     ~    |    1|  186.661   pc  |  -0.5366     +0.5366  |paral   |2020yCat.1350....0G
1497|TYC 936-999-1                                                         |Star                              |15 32 50.2344479952 +11 50 01.470328008|018.9648900244171 +49.2319433389761|-13.330 -31.273  |9.87     |~                |    ~     ~    |    1|  399.026   pc  |  -2.1017     +2.1017  |paral   |2020yCat.1350....0G
1498|TYC 936-1010-1                                                        |Star                              |15 33 13.9680991344 +12 44 36.813684408|020.2728528615719 +49.5675067806758|-11.254 -20.043  |10.50    |~                |    ~     ~    |    1|  772.977   pc  | -10.4561    +10.4561  |paral   |2020yCat.1350....0G
1499|TYC 940-554-1                                                         |Star                              |15 33 37.5104959200 +13 18 27.318973824|021.1171069795497 +49.7363275784311|  -32.811 8.647  |10.64    |~                |    ~     ~    |    1|  346.909   pc  |  -1.8172     +1.8172  |paral   |2020yCat.1350....0G
1500|TYC 940-624-1                                                         |High Proper Motion Star           |15 33 15.7588161096 +13 09 21.909419784|020.8463627369149 +49.7474925060123|-40.229 -72.326  |10.78    |~                |    ~     ~    |    1|  950.841   pc  | -13.8327    +13.8327  |paral   |2020yCat.1350....0G
1501|TYC 940-680-1                                                         |Star                              |15 33 09.1977943176 +13 29 40.725443292|021.2978111203780 +49.9222632590817|  -29.448 2.523  |10.26    |~                |    ~     ~    |    1|  271.798   pc  |  -4.4103     +4.4103  |paral   |2020yCat.1350....0G
1502|NGC 5936                           NGC 5936                           |HII Galaxy                        |15 30 00.846 +12 59 21.55              |020.057729 +50.377847              |            ~ ~  |     ~   |~                |0.957 0.861    |    1|   55.22    Mpc |  -1.97       +1.97    |redshift|2015ApJ...809..146B
1503|BD+13 2965                                                            |Star                              |15 34 34.1275921848 +13 17 39.990857604|021.2567725831464 +49.5249165915636| -18.099 -7.504  |10.00    |F5               |    ~     ~    |    1|  191.688   pc  |  -4.9899     +4.9899  |paral   |2020yCat.1350....0G
1504|HD 138901                                                             |Star                              |15 34 36.3683663328 +13 00 20.429099496|020.8656969119296 +49.3876336467369|-28.793 -20.250  |9.38     |G                |    ~     ~    |    1|  136.114   pc  |  -0.2742     +0.2742  |paral   |2020yCat.1350....0G
1505|BD+13 2967                                                            |Star                              |15 35 02.2138089912 +12 43 18.225985440|020.5500632414109 +49.1657243734689|  -21.012 0.660  |9.41     |M0               |    ~     ~    |    1| 1021.346   pc  | -24.9312    +24.9312  |paral   |2020yCat.1350....0G
1506|HD 139086                                                             |Double or Multiple Star           |15 35 51.0163094232 +12 54 58.736094876|020.9521678524311 +49.0767128182581| -59.325 12.617  |7.62     |F8               |0.0050  0.0    |    1|   75.851   pc  |  -2.9388     +2.9388  |paral   |2020yCat.1350....0G
1507|HD 138759                                                             |Star                              |15 33 49.0601522712 +11 25 45.610393332|018.5946324699404 +48.8291444224954|  -9.949 -3.726  |8.39     |K5               |    ~     ~    |    1|  618.162   pc  |  -7.9864     +7.9864  |paral   |2020yCat.1350....0G
1508|NGC 5957                           NGC 5957                           |Seyfert 2 Galaxy                  |15 35 23.2175160360 +12 02 51.281778048|019.6972714287849 +48.7804487008822|   -0.514 0.477  |     ~   |~                |1.170 0.796    |    1|   26.05    Mpc |  -1.68       +1.68    |redshift|2015ApJ...809..146B
1509|NGC 5956                           NGC 5956                           |LINER-type Active Galaxy Nucleus  |15 34 58.5343014096 +11 45 00.936150696|019.2271607254162 +48.7307594902963|    1.218 0.171  |     ~   |~                |0.677 0.650    |    1|   26.94    Mpc |  -1.79       +1.79    |redshift|2015ApJ...809..146B
1510|BD+14 2918                                                            |Star                              |15 42 04.7814736200 +13 57 12.509535348|023.3668808295512 +48.1696096355636|  -33.849 1.767  |9.90     |F8               |    ~     ~    |    1|  175.781   pc  |  -0.8312     +0.8312  |paral   |2020yCat.1350....0G
1511|BD+14 2928                                                            |Star                              |15 44 29.8879797648 +14 08 08.259601740|023.9847249208391 +47.7158304482724| -8.159 -26.462  |10.93    |F8               |    ~     ~    |    1|  322.987   pc  |  -1.6274     +1.6274  |paral   |2020yCat.1350....0G
1512|BD+14 2911                                                            |High Proper Motion Star           |15 38 03.7893099720 +13 47 40.417000116|022.5164489657332 +48.9813915559351|-47.385 -28.953  |9.41     |F5               |    ~     ~    |    1|  169.632   pc  |  -0.4316     +0.4316  |paral   |2020yCat.1350....0G
1513|BD+14 2908                                                            |Star                              |15 37 25.1389697088 +13 34 46.452190836|022.1175726143779 +49.0286974007817| 16.133 -11.841  |9.09     |K5               |    ~     ~    |    1|  648.088   pc  |  -8.9044     +8.9044  |paral   |2020yCat.1350....0G
1514|BD+14 2914                                                            |Star                              |15 39 00.7865330784 +13 30 50.074655832|022.2851083640530 +48.6515160127280|-11.261 -44.874  |9.45     |F8               |    ~     ~    |    1|  112.632   pc  |  -0.5797     +0.5797  |paral   |2020yCat.1350....0G
1515|BD+14 2920                                                            |Star                              |15 42 45.6216643248 +13 42 51.762366432|023.1496488791881 +47.9178638501530|  13.023 -5.408  |9.49     |K0               |    ~     ~    |    1|  502.159   pc  |  -4.2111     +4.2111  |paral   |2020yCat.1350....0G
1516|HD 140438                                                             |Double or Multiple Star           |15 43 10.5393553130 +13 40 03.569048356|023.1514800931594 +47.8067027792903|-19.446 -23.550  |6.500    |G5III            |    ~     ~    |    0|                |                       |        |                   
1517|BD+13 2972                                                            |High Proper Motion Star           |15 37 46.1454202128 +12 58 42.352133556|021.3551824069875 +48.6866053702097| 48.934 -36.349  |10.27    |F8               |    ~     ~    |    1|  196.905   pc  |  -0.6940     +0.6940  |paral   |2020yCat.1350....0G
1518|BD+13 2973                                                            |Star                              |15 38 15.5237946696 +13 15 03.658860684|021.8053886485979 +48.7008656150747|  1.731 -13.376  |9.65     |K5               |    ~     ~    |    1|  833.194   pc  | -11.7322    +11.7322  |paral   |2020yCat.1350....0G
1519|BD+13 2976                                                            |Star                              |15 38 37.5316122288 +13 29 55.078197396|022.2019114242038 +48.7295784590833|   5.258 -3.533  |10.81    |G0               |    ~     ~    |    1|  453.268   pc  |  -3.0818     +3.0818  |paral   |2020yCat.1350....0G
1520|BD+13 2979                                                            |Star                              |15 39 47.1671618544 +12 44 01.317491880|021.3568585887040 +48.1374434609541| -10.932 11.228  |10.18    |F2               |    ~     ~    |    1|  325.425   pc  |  -2.4993     +2.4993  |paral   |2020yCat.1350....0G
1521|BD+13 2983                                                            |Star                              |15 41 59.9723154912 +13 20 29.753124252|022.5287558078290 +47.9229751730293|    0.669 5.959  |10.29    |F2               |    ~     ~    |    1|  273.748   pc  |  -1.5362     +1.5362  |paral   |2020yCat.1350....0G
1522|BD+13 2991                                                            |Star                              |15 43 46.5846717072 +13 08 06.559829916|022.5339464487759 +47.4438224054746|   1.733 16.588  |10.05    |A5               |    ~     ~    |    1|  475.579   pc  |  -8.3006     +8.3006  |paral   |2020yCat.1350....0G
1523|HD 140557                                                             |Star                              |15 43 54.8338092576 +12 49 06.197314836|022.1359267802460 +47.2742077545206|  -9.770 11.188  |8.150    |K5               |    ~     ~    |    1|  496.007   pc  |  -6.0768     +6.0768  |paral   |2020yCat.1350....0G
1524|BD+13 2997                                                            |Star                              |15 44 38.1901492056 +13 16 13.131420312|022.8485243217874 +47.3145325510648| -10.538 -6.203  |10.906   |G5               |    ~     ~    |    1|  330.186   pc  |  -1.4827     +1.4827  |paral   |2020yCat.1350....0G
1525|BD+12 2859                                                            |Star                              |15 36 26.2440854736 +12 11 24.423605736|020.0685964072503 +48.6186474362536|   7.097 -7.727  |9.67     |K0               |    ~     ~    |    1|  615.385   pc  |  -6.2107     +6.2107  |paral   |2020yCat.1350....0G
1526|HD 139375                                                             |High Proper Motion Star           |15 37 23.5733588040 +12 18 05.877116208|020.3800847753530 +48.4624543186428| -70.621 32.331  |7.13     |F0               |    ~     ~    |    1|   92.290   pc  |  -0.1797     +0.1797  |paral   |2020yCat.1350....0G
