C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
88  |HD 25100                                                                                                 |High Proper Motion Star           |04 01 05.9281303896 +43 27 39.424246020|155.5164289965445 -07.0928128692121|-67.032 -39.168    |8.25     |K0             |    ~     ~    |    1|   34.125   pc  |  -0.0291     +0.0291  |paral   |2020yCat.1350....0G
89  |HD 25124                                                                                                 |Star                              |04 01 20.8514377200 +43 29 02.285864088|155.5352420602653 -07.0457230327207|  -3.286 -5.032    |9.50     |A2             |    ~     ~    |    1|  307.031   pc  |  -5.1470     +5.1470  |paral   |2020yCat.1350....0G
90  |BD+42 863                                                                                                |Star                              |04 00 45.1013520552 +42 59 17.484669996|155.7831889467642 -07.4896590705003| 34.154 -19.329    |9.94     |F2             |    ~     ~    |    1|  207.749   pc  |  -0.8459     +0.8459  |paral   |2020yCat.1350....0G
91  |BD+42 865                                                                                                |Star                              |04 02 02.7768546936 +43 05 25.861422948|155.8938024659731 -07.2564371364327|   1.285 -2.175    |9.16     |K0             |    ~     ~    |    1|  803.665   pc  | -14.0155    +14.0155  |paral   |2020yCat.1350....0G
92  |BD+42 870                                                                                                |Star                              |04 02 57.0886743000 +42 48 18.920876364|156.2096870979951 -07.3596047706202|  12.233 -8.669    |9.68     |K2             |    ~     ~    |    1|  613.685   pc  |  -7.3062     +7.3062  |paral   |2020yCat.1350....0G
93  |BD+42 871                                                                                                |Star                              |04 03 05.3255307552 +42 46 43.408408368|156.2464458337171 -07.3626327938572|   2.027 -1.749    |8.65     |G0             |    ~     ~    |    1| 1050.641   pc  | -26.2715    +26.2715  |paral   |2020yCat.1350....0G
94  |HD 25431                                                                                                 |Star                              |04 04 14.4590329944 +43 02 18.090128436|156.2302327835199 -07.0284695860498|   7.061 -7.596    |8.69     |A2             |    ~     ~    |    1|  522.030   pc  |  -5.3958     +5.3958  |paral   |2020yCat.1350....0G
95  |BD+42 881                                                                                                |Star                              |04 04 43.6384490232 +42 25 17.158492776|156.7134023926416 -07.4269870931813|   0.568 -3.719    |10.43    |A0             |    ~     ~    |    1|  720.981   pc  |  -9.3047     +9.3047  |paral   |2020yCat.1350....0G
96  |BD+41 804                                                                                                |Star                              |04 03 38.2207042344 +42 21 34.443735588|156.6042399136867 -07.6076585113031|-19.896 -10.154    |9.86     |F0             |    ~     ~    |    1|  192.426   pc  |  -0.7554     +0.7554  |paral   |2020yCat.1350....0G
97  |HD 276036                                                                                                |Star                              |04 07 50.5124161176 +42 09 51.202846692|157.3171138290578 -07.2285942417018|   1.726 -0.715    |10.49    |A0             |    ~     ~    |    1|  770.772   pc  | -11.5253    +11.5253  |paral   |2020yCat.1350....0G
98  |HD 276037                                                                                                |Star                              |04 07 09.9571862064 +41 45 22.156383996|157.5027271928274 -07.6138622781031| 12.294 -10.937    |10.17    |K5             |    ~     ~    |    1|  496.130   pc  |  -4.4306     +4.4306  |paral   |2020yCat.1350....0G
99  |HD 25949                                                                                                 |Star                              |04 08 19.2199633608 +41 29 25.701750060|157.8445004518480 -07.6626667933272| 14.120 -11.272    |7.88     |A0             |    ~     ~    |    1|  179.443   pc  |  -7.1323     +7.1323  |paral   |2020yCat.1350....0G
100 |BD+41 815B                                                                                               |Star                              |04 08 16.1935827840 +41 27 53.747469360|157.8550353395018 -07.6878201031479|  5.704 -15.577    |10.84    |~              |    ~     ~    |    1|  264.634   pc  |  -2.4791     +2.4791  |paral   |2020yCat.1350....0G
