C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1700|TYC 4514-220-1                                                                                           |Star                              |04 14 48.1517023992 +78 31 24.103587252|132.3561935980270 +19.5753363937041|  -20.826 1.932    |9.69     |~              |    ~     ~    |    1|  175.113   pc  |  -0.9475     +0.9475  |paral   |2020yCat.1350....0G
1701|TYC 4514-254-1                                                                                           |Star                              |04 14 45.5967986016 +78 16 32.903646096|132.5468687949266 +19.4051054230738|   3.145 -8.963    |10.98    |~              |    ~     ~    |    1|  544.989   pc  |  -3.3265     +3.3265  |paral   |2020yCat.1350....0G
1702|TYC 4514-1017-1                                                                                          |Star                              |04 11 39.7192051752 +78 16 10.722910944|132.4371032592346 +19.2863971609208| 25.460 -26.370    |10.14    |~              |    ~     ~    |    1|  226.055   pc  |  -0.7103     +0.7103  |paral   |2020yCat.1350....0G
1703|TYC 4514-1158-1                                                                                          |Star                              |04 13 50.7960719160 +78 18 23.221534860|132.4895831837972 +19.3921958154635|   4.960 -7.818    |9.74     |~              |    ~     ~    |    1|  248.071   pc  |  -0.8800     +0.8800  |paral   |2020yCat.1350....0G
1704|TYC 4514-1220-1                                                                                          |Star                              |04 12 29.2234720152 +77 59 16.358758836|132.6840246618723 +19.1226280813804|    1.063 0.562    |10.24    |~              |    ~     ~    |    1| 2030.045   pc  | -65.9373    +65.9373  |paral   |2020yCat.1350....0G
1705|TYC 4518-172-1                                                                                           |Star                              |04 09 44.4172553376 +80 11 49.581747132|130.8885016337834 +20.5526653304509|   17.768 9.030    |10.97    |~              |    ~     ~    |    1|  253.254   pc  |  -3.7970     +3.7970  |paral   |2020yCat.1350....0G
1706|GSC 04518-00291                                                                                          |Horizontal Branch Star            |04 00 09.1914087936 +78 55 21.069511356|131.5218063473870 +19.3451422517590| 15.922 -13.216    |10.345   |~              |    ~     ~    |    1|  725.163   pc  |  -6.3629     +6.3629  |paral   |2020yCat.1350....0G
1707|TYC 4518-360-1                                                                                           |Star                              |04 10 56.0372229600 +79 47 12.043815792|131.2439948837276 +20.3073859041357|  -7.179 -2.309    |10.22    |~              |    ~     ~    |    1|  402.123   pc  |  -2.5226     +2.5226  |paral   |2020yCat.1350....0G
1708|TYC 4518-579-1                                                                                           |Star                              |04 08 04.3406128416 +79 51 47.262602736|131.0919049221908 +20.2690976797687|  -6.415 -3.291    |10.00    |~              |    ~     ~    |    1|  398.216   pc  |  -3.3460     +3.3460  |paral   |2020yCat.1350....0G
1709|TYC 4518-581-1                                                                                           |Star                              |04 08 11.7881527896 +80 14 59.221269132|130.7994501281954 +20.5418590691630| 16.422 -14.497    |10.77    |~              |    ~     ~    |    1|  374.280   pc  |  -3.4881     +3.4881  |paral   |2020yCat.1350....0G
1710|TYC 4518-781-1                                                                                           |High Proper Motion Star           |04 09 45.9843352824 +79 44 04.043708772|131.2461320323067 +20.2337970213915| 50.798 -62.983    |10.35    |~              |    ~     ~    |    1|  221.459   pc  |  -1.5890     +1.5890  |paral   |2020yCat.1350....0G
1711|TYC 4518-832-1                                                                                           |Star                              |04 12 04.2130512312 +80 03 23.337547416|131.0708959803365 +20.5286286599994|      13.3 10.5    |10.596   |~              |    ~     ~    |    0|                |                       |        |                   
1712|GSC 04518-00837                                                                                          |Double or Multiple Star           |04 13 13.2931482144 +80 23 18.570916212|130.8468190673803 +20.7906565114226|  0.984 -11.805    |10.738   |~              |    ~     ~    |    1|  843.882   pc  |  -7.2638     +7.2638  |paral   |2020yCat.1350....0G
1713|TYC 4518-963-1                                                                                           |Star                              |04 08 08.4229730040 +79 12 40.673472408|131.5915517628837 +19.8168028235138|  3.322 -37.624    |10.49    |~              |    ~     ~    |    1|  230.431   pc  |  -0.6266     +0.6266  |paral   |2020yCat.1350....0G
1714|TYC 4518-1028-1                                                                                          |Star                              |04 00 27.5978236896 +80 12 33.133846680|130.5828510073895 +20.2807850651171| -5.148 -17.028    |10.55    |~              |    ~     ~    |    1|  792.079   pc  |  -8.2815     +8.2815  |paral   |2020yCat.1350....0G
1715|GSC 04518-01062                                                                                          |Double or Multiple Star           |04 10 26.7181693800 +79 45 23.396033628|131.2513863917020 +20.2708709926625|  -1.762 -3.380    |10.335   |~              |    ~     ~    |    1|  747.105   pc  |  -7.6469     +7.6469  |paral   |2020yCat.1350....0G
1716|TYC 4518-1112-1                                                                                          |Star                              |04 09 05.1568903872 +79 51 38.364009228|131.1268410288895 +20.2994586225135|  -0.996 -5.637    |10.44    |~              |    ~     ~    |    1|  956.663   pc  | -28.8289    +28.8289  |paral   |2020yCat.1350....0G
1717|TYC 4518-1159-1                                                                                          |High Proper Motion Star           |04 05 31.3924352016 +80 00 31.920215544|130.8978374168642 +20.2915348737634| 58.569 -61.793    |10.99    |~              |    ~     ~    |    1|  189.147   pc  |  -1.3166     +1.3166  |paral   |2020yCat.1350....0G
1718|TYC 4518-1295-1                                                                                          |Star                              |04 14 08.4147924768 +79 20 22.326538524|131.6973715500824 +20.1074165057685|   -4.135 2.177    |10.52    |~              |    ~     ~    |    1|  480.908   pc  | -12.3037    +12.3037  |paral   |2020yCat.1350....0G
1719|TYC 4518-1425-1                                                                                          |Star                              |04 01 58.5154515480 +79 10 07.176190764|131.4064157399295 +19.5822929655958|   2.539 -0.768    |10.91    |~              |    ~     ~    |    1| 1030.078   pc  | -11.1411    +11.1411  |paral   |2020yCat.1350....0G
1720|TYC 4518-1560-1                                                                                          |Star                              |04 13 33.4917599976 +79 39 17.438762880|131.4319154800534 +20.3025115910298|  -12.187 3.588    |10.92    |~              |    ~     ~    |    1|  337.975   pc  |  -1.3365     +1.3365  |paral   |2020yCat.1350....0G
1721|TYC 4518-1582-1                                                                                          |Star                              |04 07 08.2834766640 +79 16 15.097831752|131.5115259661266 +19.8250492297362|   5.325 10.899    |10.02    |~              |    ~     ~    |    1|  981.547   pc  | -12.4283    +12.4283  |paral   |2020yCat.1350....0G
1722|TYC 4518-1756-1                                                                                          |Star                              |04 09 37.4453929920 +79 13 29.366949036|131.6325755649224 +19.8760389195909|  -6.817 12.660    |9.50     |~              |    ~     ~    |    1|  252.360   pc  |  -0.8470     +0.8470  |paral   |2020yCat.1350....0G
1723|TYC 4518-1769-2                                                                                          |Star                              |04 02 34.3343497368 +79 00 32.205646728|131.5462502661917 +19.4877453171187| 10.932 -30.384    |10.52    |~              |    ~     ~    |    1|  275.839   pc  |  -4.7174     +4.7174  |paral   |2020yCat.1350....0G
1724|2MASS J04042971+7921262                                                                                  |Red Giant Branch star             |04 04 29.7734521800 +79 21 26.170291944|131.3546325288319 +19.7990453339599|   -4.764 2.446    |10.35    |~              |    ~     ~    |    1|  831.601   pc  |  -7.6072     +7.6072  |paral   |2020yCat.1350....0G
1725|TYC 4518-1886-1                                                                                          |Star                              |04 06 59.7592494936 +79 05 30.665593140|131.6421193593228 +19.6947291408192| 19.743 -25.882    |9.35     |~              |    ~     ~    |    1|  192.411   pc  |  -0.4258     +0.4258  |paral   |2020yCat.1350....0G
1726|TYC 4518-1904-1                                                                                          |Star                              |04 09 31.7746453032 +79 34 43.958242020|131.3578895241456 +20.1184108318084|   -3.590 3.629    |9.97     |~              |    ~     ~    |    1|  993.345   pc  | -75.4851    +75.4851  |paral   |2020yCat.1350....0G
1727|BD+88 14                                                                                                 |Star                              |04 01 55.1609400960 +88 44 58.455761208|123.9620757120427 +26.2816632936295|    5.126 0.471    |9.54     |G8             |    ~     ~    |    1|  407.183   pc  |  -2.2051     +2.2051  |paral   |2020yCat.1350....0G
1728|BD+87 27                                                                                                 |Star                              |04 06 16.8956434968 +88 20 15.499995432|124.3218870514395 +26.0245070141157|   3.055 -7.431    |9.02     |G8             |    ~     ~    |    1|  368.229   pc  |  -2.0068     +2.0068  |paral   |2020yCat.1350....0G
1729|BD+87 28                                                                                                 |Spectroscopic Binary              |04 07 39.5003240472 +87 50 25.033693236|124.7422274843132 +25.7013597655338| 34.229 -44.506    |10.71    |G8             |    ~     ~    |    1|  151.291   pc  |  -0.2289     +0.2289  |paral   |2020yCat.1350....0G
1730|BD+86 49                                                                                                 |Pulsating Variable                |04 08 58.6955018688 +87 17 51.436350276|125.2016513195194 +25.3509240607105|   6.925 -9.186    |9.60     |B8             |    ~     ~    |    1|  587.786   pc  |  -5.4588     +5.4588  |paral   |2020yCat.1350....0G
1731|BD+86 50                                                                                                 |Star                              |04 12 39.7458679824 +86 52 34.008020328|125.5861262777551 +25.1082619724228|    6.925 2.272    |10.52    |G0             |    ~     ~    |    1|  218.938   pc  |  -0.5512     +0.5512  |paral   |2020yCat.1350....0G
1732|TYC 4625-516-1                                                                                           |Star                              |04 11 51.0528478584 +87 19 53.232726144|125.1980620460628 +25.3985288990075|   28.378 6.343    |10.94    |~              |    ~     ~    |    1|  223.459   pc  |  -1.7027     +1.7027  |paral   |2020yCat.1350....0G
1733|TYC 4629-75-1                                                                                            |Star                              |04 14 24.1488623208 +88 21 16.604928324|124.3503129600671 +26.0799046138458| -0.587 -29.677    |10.81    |~              |    ~     ~    |    1|  331.290   pc  |  -1.3170     +1.3170  |paral   |2020yCat.1350....0G
1734|TYC 4629-102-1                                                                                           |Spectroscopic Binary              |04 09 32.3082924624 +88 34 27.747170868|124.1405042053035 +26.1976978201455|  -9.859 16.836    |10.89    |~              |    ~     ~    |    1|  225.017   pc  |  -2.3494     +2.3494  |paral   |2020yCat.1350....0G
1735|HD 17376                                                                                                 |Star                              |04 07 05.6927439000 +88 55 21.571889196|123.8386107734752 +26.4173307440707| 14.065 -24.973    |8.84     |A              |    ~     ~    |    1|  172.744   pc  |  -0.4357     +0.4357  |paral   |2020yCat.1350....0G
1736|HD 23241                                                                                                 |Star                              |04 03 11.9167820400 +84 39 53.677936512|127.2486617241561 +23.4889858314881| -13.532 -2.906    |8.69     |A2             |    ~     ~    |    1|  256.384   pc  |  -1.0057     +1.0057  |paral   |2020yCat.1350....0G
1737|BD+84 70                                                                                                 |Star                              |04 04 19.0546256328 +84 41 23.219384280|127.2486494214729 +23.5249308339841|  25.036 -7.327    |9.99     |F5             |    ~     ~    |    1|  190.942   pc  |  -0.4120     +0.4120  |paral   |2020yCat.1350....0G
1738|BD+84 71                                                                                                 |Star                              |04 05 43.0996182960 +84 46 24.541225752|127.2064750764467 +23.6058334996550|   -2.585 4.206    |10.65    |F0             |    ~     ~    |    1|  883.783   pc  | -11.8723    +11.8723  |paral   |2020yCat.1350....0G
1739|BD+83 96                                                                                                 |Star                              |04 07 14.8688763144 +84 05 58.823644128|127.7694092034686 +23.1717428806163|   3.676 -8.463    |8.75     |K0             |    ~     ~    |    1|  325.935   pc  |  -1.5085     +1.5085  |paral   |2020yCat.1350....0G
1740|BD+86 52                                                                                                 |Star                              |04 13 17.5756034352 +86 42 07.428511512|125.7379012745267 +25.0011789071838|   0.658 -7.373    |9.60     |A5             |    ~     ~    |    1|  350.336   pc  |  -1.5465     +1.5465  |paral   |2020yCat.1350....0G
1741|BD+85 57                                                                                                 |Star                              |04 07 31.6120671048 +85 37 16.973620932|126.5553140009372 +24.2108048404955|   32.919 8.398    |8.69     |G0             |    ~     ~    |    1|   85.380   pc  |  -0.3579     +0.3579  |paral   |2020yCat.1350....0G
1742|BD+84 72                                                                                                 |Star                              |04 08 13.8106320264 +85 10 46.558097652|126.9222759392898 +23.9225283935476| -5.261 -14.694    |8.82     |K2             |    ~     ~    |    1|  556.793   pc  |  -5.1153     +5.1153  |paral   |2020yCat.1350....0G
1743|BD+84 73                                                                                                 |Star                              |04 09 37.1704885560 +85 15 46.662288444|126.8761742095693 +24.0000631630739|  3.400 -15.116    |10.30    |G0             |    ~     ~    |    1|  267.265   pc  |  -0.7572     +0.7572  |paral   |2020yCat.1350....0G
1744|BD+84 74                                                                                                 |Star                              |04 10 15.4077 +85 01 52.428            |127.0741132 +23.8546459            |    4.738 2.136    |9.76     |K2             |    ~     ~    |    0|                |                       |        |                   
1745|TYC 4621-1096-1                                                                                          |Star                              |04 00 56.6968286736 +85 54 07.689943332|126.2397446876270 +24.3148521279474|  -6.466 -3.993    |10.56    |~              |    ~     ~    |    1|  874.279   pc  |  -8.7137     +8.7137  |paral   |2020yCat.1350....0G
1746|TYC 4625-47-1                                                                                            |Star                              |04 01 40.6332686736 +86 24 51.710901012|125.8433984974911 +24.6787836571930|  3.618 -11.708    |10.98    |~              |    ~     ~    |    1|  407.034   pc  |  -5.1028     +5.1028  |paral   |2020yCat.1350....0G
1747|HD 276013                                                                                                |Star                              |04 03 01.4630247672 +41 03 05.713531524|157.4006729902475 -08.6575597283731|  8.112 -27.972    |10.45    |G0             |    ~     ~    |    1|  308.528   pc  |  -1.7324     +1.7324  |paral   |2020yCat.1350....0G
1748|HD 276015                                                                                                |Star                              |04 01 54.2025724248 +40 55 00.609711312|157.3320141136591 -08.8990362207984|  -3.455 -2.480    |9.43     |K0             |    ~     ~    |    1|  397.488   pc  |  -2.7333     +2.7333  |paral   |2020yCat.1350....0G
1749|HD 25199                                                                                                 |Star                              |04 01 54.2089382136 +40 32 08.199952584|157.5889881230056 -09.1835141523986|  -1.167 -4.886    |8.78     |A0             |    ~     ~    |    1|  398.279   pc  |  -3.4581     +3.4581  |paral   |2020yCat.1350....0G
1750|HD 276014                                                                                                |Star                              |04 02 13.0890092304 +40 55 54.924697164|157.3667508089459 -08.8481927678082|  -5.536 -3.001    |9.40     |A0             |    ~     ~    |    1|  378.544   pc  |  -2.7943     +2.7943  |paral   |2020yCat.1350....0G
1751|HD 276020                                                                                                |Star                              |04 02 41.2513873848 +40 25 04.333854216|157.7810680290469 -09.1718010270493| 11.677 -14.278    |9.28     |K2             |    ~     ~    |    1|  398.153   pc  |  -2.9486     +2.9486  |paral   |2020yCat.1350....0G
1752|HD 25475                                                                                                 |Star                              |04 04 30.5144100168 +41 06 02.190275928|157.5775348908289 -08.4338389666326| -9.265 -18.932    |7.97     |F5             |    ~     ~    |    1|  168.987   pc  |  -0.6882     +0.6882  |paral   |2020yCat.1350....0G
1753|HD 276053                                                                                                |Star                              |04 05 12.9278593728 +40 26 08.552449752|158.1301111267041 -08.8357690767171| -1.252 -11.646    |9.46     |A0             |    ~     ~    |    1|  367.755   pc  |  -7.7224     +7.7224  |paral   |2020yCat.1350....0G
1754|HD 276051                                                                                                |High Proper Motion Star           |04 06 49.2314872560 +40 32 28.269354732|158.2855508412052 -08.5517819882848| 27.005 -84.066    |9.70     |F5             |    ~     ~    |    1|  100.963   pc  |  -0.1927     +0.1927  |paral   |2020yCat.1350....0G
1755|HD 276042                                                                                                |Spectroscopic Binary              |04 06 59.3414207784 +41 02 50.992171764|157.9625448445584 -08.1577781104367|   0.139 -3.629    |10.78    |A3             |    ~     ~    |    1|  399.090   pc  |  -8.8556     +8.8556  |paral   |2020yCat.1350....0G
1756|HD 276044                                                                                                |Star                              |04 07 17.8787335824 +40 44 10.407385176|158.2191522581457 -08.3470125938052|   5.635 -5.937    |9.40     |G0             |    ~     ~    |    1|  101.883   pc  |  -1.3536     +1.3536  |paral   |2020yCat.1350....0G
1757|HD 276048                                                                                                |High Proper Motion Star           |04 07 18.8284011552 +40 36 29.500640712|158.3092037520928 -08.4390131207188| 36.144 -43.108    |9.91     |G5             |    ~     ~    |    1|  110.903   pc  |  -4.0330     +4.0330  |paral   |2020yCat.1350....0G
1758|HD 276050                                                                                                |High Proper Motion Star           |04 07 26.6701838568 +40 33 59.855958612|158.3561519003721 -08.4526882301243| 93.190 -95.506    |9.18     |G0             |    ~     ~    |    1|  121.002   pc  |  -0.4187     +0.4187  |paral   |2020yCat.1350....0G
1759|HD 276024                                                                                                |Star                              |04 00 29.3990532696 +40 12 09.174300372|157.6093605684528 -09.6113129317054| -15.493 -2.304    |8.61     |G0             |    ~     ~    |    1|   67.444   pc  |  -0.1101     +0.1101  |paral   |2020yCat.1350....0G
1760|HD 25595                                                                                                 |Star                              |04 05 28.7388534048 +40 18 05.425530516|158.2592202822665 -08.9010107828739|  1.033 -23.467    |7.60     |K0             |    ~     ~    |    1|  205.960   pc  |  -0.9248     +0.9248  |paral   |2020yCat.1350....0G
1761|HD 276016                                                                                                |Star                              |04 01 46.9740451440 +40 39 23.374978596|157.4901805665371 -09.1085466526820|  -7.910 -5.407    |10.06    |A3             |    ~     ~    |    1|  361.598   pc  | -15.1805    +15.1805  |paral   |2020yCat.1350....0G
1762|HD 276045                                                                                                |Star                              |04 07 00.2426448288 +40 47 52.180217448|158.1355899099160 -08.3394782603723|  7.422 -24.189    |10.89    |F5             |    ~     ~    |    1|  315.428   pc  |  -3.4923     +3.4923  |paral   |2020yCat.1350....0G
1763|HD 25022                                                                                                 |Star                              |04 00 10.4451662976 +40 00 49.417486272|157.6904269750131 -09.7927427603961|   -2.382 3.786    |6.89     |A0             |    ~     ~    |    1|  259.909   pc  |  -1.8645     +1.8645  |paral   |2020yCat.1350....0G
1764|HD 25142                                                                                                 |High Proper Motion Star           |04 01 16.6796928024 +40 05 40.651836504|157.7962352869558 -09.5920189977536| 63.414 -65.706    |7.19     |F2             |    ~     ~    |    1|   67.922   pc  |  -0.1213     +0.1213  |paral   |2020yCat.1350....0G
1765|HD 276027                                                                                                |Star                              |04 01 20.7299376024 +39 54 05.282726400|157.9363767628204 -09.7276307137456|   7.556 -7.262    |8.71     |B9             |    ~     ~    |    1|  369.399   pc  |  -2.7291     +2.7291  |paral   |2020yCat.1350....0G
1766|HD 25200                                                                                                 |Star                              |04 01 46.5489536424 +39 59 21.732328248|157.9394085657494 -09.6071305760080|   -2.910 8.365    |7.42     |A2             |    ~     ~    |    1|  139.942   pc  |  -0.6051     +0.6051  |paral   |2020yCat.1350....0G
1767|HD 276025                                                                                                |High Proper Motion Star           |04 02 17.0056011192 +40 04 56.915954400|157.9498526377838 -09.4729546284198| 43.376 -25.544    |9.82     |F0             |    ~     ~    |    1|  141.965   pc  |  -0.3063     +0.3063  |paral   |2020yCat.1350....0G
1768|HD 276028                                                                                                |Star                              |04 02 22.9152291792 +39 58 50.563828344|158.0329752494903 -09.5361250813758| 10.467 -24.175    |9.63     |F8             |    ~     ~    |    1|  279.759   pc  |  -1.6044     +1.6044  |paral   |2020yCat.1350....0G
1769|HD 25444                                                                                                 |Double or Multiple Star           |04 04 07.09605 +39 30 35.0024          |158.60436103 -09.66192662          |  145.76 -96.30    |7.130    |G5             |    ~     ~    |    0|                |                       |        |                   
1770|HD 25619                                                                                                 |Star                              |04 05 40.3761655008 +39 46 41.226121416|158.6449210338433 -09.2619200340734|  -1.761 -6.833    |8.28     |A0             |    ~     ~    |    0|                |                       |        |                   
1771|HD 276056                                                                                                |Star                              |04 05 47.2318145352 +40 06 01.125334332|158.4407050372034 -09.0096581931114|  -2.237 -2.666    |9.80     |B9             |    ~     ~    |    1|  906.947   pc  | -17.2736    +17.2736  |paral   |2020yCat.1350....0G
1772|HD 276058                                                                                                |Star                              |04 06 59.3859162744 +39 55 05.951612532|158.7370283496825 -08.9875716895201|   2.741 -7.844    |9.76     |A0             |    ~     ~    |    1|  512.033   pc  | -28.1841    +28.1841  |paral   |2020yCat.1350....0G
1773|HD 276064                                                                                                |High Proper Motion Star           |04 06 58.8942399360 +39 23 35.348659656|159.0971957370220 -09.3740760014044| 30.173 -64.546    |9.49     |F8             |    ~     ~    |    1|  140.235   pc  |  -0.5801     +0.5801  |paral   |2020yCat.1350....0G
1774|HD 276063                                                                                                |Double or Multiple Star           |04 07 02.3118 +39 34 24.988            |158.9811064 -09.2342172            |    -10.6 -23.6    |9.39     |F0             |    ~     ~    |    0|                |                       |        |                   
1775|HD 275998                                                                                                |Star                              |04 00 05.7857535072 +38 30 35.509178736|158.6934730328366 -10.9277776395627|  -1.410 -5.743    |9.77     |K7             |    ~     ~    |    1|  900.252   pc  | -18.0731    +18.0731  |paral   |2020yCat.1350....0G
1776|HD 25184                                                                                                 |Star                              |04 01 34.8222612360 +38 39 55.727821116|158.8080250624931 -10.6185166285773|  -3.871 -4.954    |7.74     |K2             |    ~     ~    |    1|  407.116   pc  |  -4.4419     +4.4419  |paral   |2020yCat.1350....0G
1777|HD 276034                                                                                                |Star                              |04 01 32.7909680688 +38 40 04.026970848|158.8014546075319 -10.6212149903255| -43.452 18.437    |9.10     |G5             |    ~     ~    |    1|  144.645   pc  |  -0.3954     +0.3954  |paral   |2020yCat.1350....0G
1778|HD 276030                                                                                                |High Proper Motion Star           |04 01 44.3354390760 +39 09 34.142941116|158.4959492544248 -10.2302011262412|  64.954 27.137    |10.22    |F8             |    ~     ~    |    1|  174.993   pc  |  -0.6859     +0.6859  |paral   |2020yCat.1350....0G
1779|HD 25271                                                                                                 |Pulsating Variable                |04 02 29.4063593160 +39 05 50.131394376|158.6482993596174 -10.1790891977734| 17.801 -34.312    |7.75     |A3             |    ~     ~    |    1|  121.499   pc  |  -0.5949     +0.5949  |paral   |2020yCat.1350....0G
1780|HD 276032                                                                                                |Star                              |04 03 12.8496933072 +38 58 23.235222576|158.8388481264134 -10.1769343698595| 19.720 -19.898    |9.88     |F2             |    ~     ~    |    1|  234.384   pc  |  -1.3734     +1.3734  |paral   |2020yCat.1350....0G
1781|HD 25476                                                                                                 |High Proper Motion Star           |04 04 23.5025373528 +38 47 47.454804276|159.1317967033205 -10.1533779756729| 17.906 -57.025    |7.49     |A3             |    ~     ~    |    1|  106.423   pc  |  -2.1179     +2.1179  |paral   |2020yCat.1350....0G
1782|HD 276067                                                                                                |Star                              |04 04 37.3147787016 +38 51 53.737079004|159.1185299203927 -10.0726344075097|  11.007 -8.185    |9.55     |F8             |    ~     ~    |    1|  185.405   pc  |  -0.6978     +0.6978  |paral   |2020yCat.1350....0G
1783|HD 25518                                                                                                 |Star                              |04 04 43.8244691736 +38 54 01.991544840|159.1099306899469 -10.0320963396177| -2.602 -15.692    |8.18     |F5II           |    ~     ~    |    1|  239.275   pc  |  -1.3168     +1.3168  |paral   |2020yCat.1350....0G
1784|HD 25136                                                                                                 |Star                              |04 01 04.6151899416 +38 22 38.045773416|158.9292809727173 -10.8988579517437|  4.082 -41.095    |7.54     |K5             |    ~     ~    |    1|  184.682   pc  |  -0.8970     +0.8970  |paral   |2020yCat.1350....0G
1785|HD 276033                                                                                                |Star                              |04 00 09.3435932040 +38 56 09.349404504|158.4141180346611 -10.6016640573569| 16.147 -24.979    |10.88    |F              |    ~     ~    |    1|  252.755   pc  |  -2.2104     +2.2104  |paral   |2020yCat.1350....0G
1786|TYC 2877-845-1                                                                                           |Star                              |04 00 03.9109662384 +38 52 16.507688304|158.4444189361423 -10.6617197457959|   -0.333 9.188    |10.02    |~              |    ~     ~    |    1|  732.279   pc  | -19.4116    +19.4116  |paral   |2020yCat.1350....0G
1787|HD 276017                                                                                                |Star                              |04 01 42.5082 +40 35 21.603            |157.5247657 -09.1680767            |   4.367 -5.755    |10.53    |A0             |    ~     ~    |    0|                |                       |        |                   
1788|HD 276018                                                                                                |High Proper Motion Star           |04 03 05.1254936208 +40 32 52.807247160|157.7499809309184 -09.0244357142377| 18.074 -60.399    |10.39    |F8             |    ~     ~    |    1|  179.804   pc  |  -0.5755     +0.5755  |paral   |2020yCat.1350....0G
1789|HD 276019                                                                                                |Star                              |04 04 06.5896447896 +40 20 21.717985632|158.0380349805209 -09.0486863821951|  27.968 -5.283    |10.73    |G5             |    ~     ~    |    1|  337.439   pc  |  -1.8560     +1.8560  |paral   |2020yCat.1350....0G
1790|HD 276021                                                                                                |Star                              |04 02 02.1636197208 +40 22 05.345298444|157.7210723371774 -09.2915983087094| 20.784 -15.086    |10.69    |F5             |    ~     ~    |    1|  283.094   pc  |  -1.3143     +1.3143  |paral   |2020yCat.1350....0G
1791|HD 276022                                                                                                |Star                              |04 01 08.4549016944 +40 19 31.285853472|157.6209004017679 -09.4370360166307| 14.081 -13.684    |10.49    |K5             |    ~     ~    |    1|  489.141   pc  |  -3.8521     +3.8521  |paral   |2020yCat.1350....0G
1792|HD 276023                                                                                                |High Proper Motion Star           |04 00 34.8627438528 +40 17 08.532304008|157.5666392183140 -09.5375424409419|  62.326 -5.342    |9.86     |K2             |    ~     ~    |    1|  284.990   pc  |  -1.3970     +1.3970  |paral   |2020yCat.1350....0G
1793|HD 276035                                                                                                |Star                              |04 00 46.6583661936 +38 16 41.351317536|158.9520498884940 -11.0118294458482|  31.347 10.256    |10.17    |F5             |    ~     ~    |    1|  219.486   pc  |  -0.9442     +0.9442  |paral   |2020yCat.1350....0G
1794|HD 276041                                                                                                |Star                              |04 06 30.2231761008 +41 02 42.154008036|157.8961708015729 -08.2215154798636| 11.716 -32.442    |10.99    |F8             |    ~     ~    |    1|  232.142   pc  |  -0.9646     +0.9646  |paral   |2020yCat.1350....0G
1795|HD 276046                                                                                                |Star                              |04 06 48.3363376248 +40 47 56.141068848|158.1069180182404 -08.3641129185427| -4.729 -11.269    |10.29    |G5             |    ~     ~    |    1|  442.595   pc  |  -4.2312     +4.2312  |paral   |2020yCat.1350....0G
1796|HD 276047                                                                                                |Star                              |04 06 02.3100764232 +40 45 18.741146472|158.0286833442142 -08.4945445212598|  1.482 -22.425    |10.47    |G0             |    ~     ~    |    1|  260.322   pc  |  -1.1859     +1.1859  |paral   |2020yCat.1350....0G
1797|HD 276052                                                                                                |Double or Multiple Star           |04 06 12.8053853064 +40 25 35.233284504|158.2781803752984 -08.7143749761079|   3.013 -7.522    |9.73     |G5             |    ~     ~    |    1|  279.501   pc  | -15.8898    +15.8898  |paral   |2020yCat.1350....0G
1798|HD 276054                                                                                                |High Proper Motion Star           |04 04 57.7650350064 +40 18 46.291935888|158.1778928914046 -08.9589773673378| -7.672 -62.078    |10.26    |G5             |    ~     ~    |    1|  175.039   pc  |  -0.5975     +0.5975  |paral   |2020yCat.1350....0G
1799|HD 276055                                                                                                |Star                              |04 06 22.7802629256 +40 08 14.474662584|158.4997863655752 -08.9057560445212|   -7.661 0.889    |10.63    |A0             |    ~     ~    |    1|  438.039   pc  |  -3.5689     +3.5689  |paral   |2020yCat.1350....0G
1800|HD 276057                                                                                                |Star                              |04 05 42.5251450848 +40 03 09.760382604|158.4620744172720 -09.0548873823088|  1.381 -29.009    |10.28    |G0             |    ~     ~    |    1|  146.716   pc  |  -0.3638     +0.3638  |paral   |2020yCat.1350....0G
1801|HD 276059                                                                                                |Star                              |04 07 18.5619750288 +39 53 13.433834040|158.8040633810534 -08.9688739681948|  -1.849 -4.439    |10.53    |A              |    ~     ~    |    1|  782.350   pc  | -12.9147    +12.9147  |paral   |2020yCat.1350....0G
1802|HD 276060                                                                                                |Star                              |04 06 27.3261151008 +39 43 10.069943700|158.7973060866884 -09.2032753033089|-22.149 -18.728    |9.99     |F5             |    ~     ~    |    1|  228.337   pc  | -13.9468    +13.9468  |paral   |2020yCat.1350....0G
1803|HD 276061                                                                                                |Star                              |04 04 11.7671525904 +39 41 23.865058392|158.4926572358738 -09.5184699726996| -23.908 -5.234    |9.90     |G0             |    ~     ~    |    1|  251.206   pc  |  -1.3946     +1.3946  |paral   |2020yCat.1350....0G
1804|HD 276062                                                                                                |Star                              |04 06 35.2609693896 +39 31 35.418118908|158.9488612192092 -09.3278070020462| -20.626 -3.777    |10.15    |F5             |    ~     ~    |    1|  288.201   pc  |  -2.0350     +2.0350  |paral   |2020yCat.1350....0G
