C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
30 |M 93                               NGC 2447                           NGC 2447                                                                                                                                                                                                          |Open Cluster                        |07 44 33.8 -23 51 11                   |240.0428 +00.1491                  | -3.5680 5.0434   |     ~   |~              |24.2  24.2     |    1|    1.029   kpc |  -0.066      +0.066     |        |2021MNRAS.503.3279S
31 |M 48                               NGC 2548                           NGC 2548                                                                                                                                                                                                          |Open Cluster                        |08 13 38.9 -05 43 34                   |227.8421 +15.3902                  | -1.3302 1.0164   |     ~   |~              |44.3  44.3     |    1|    0.780   kpc |  -0.044      +0.044     |        |2021MNRAS.503.3279S
32 |M 44                               NGC 2632                           NAME Beehive                       NAME Praesepe                      NAME Praesepe Cluster              NGC 2632                                                                                                 |Open Cluster                        |08 40 13.0 +19 37 16                   |205.9525 +32.4278                  |-36.047 -12.917   |     ~   |~              |118.2  118.2   |    1|    0.186   kpc |  -0.006      +0.006     |        |2021MNRAS.503.3279S
33 |M 67                               NGC 2682                           NGC 2682                                                                                                                                                                                                          |Open Cluster                        |08 51 23.0 +11 48 50                   |215.6912 +31.9208                  |-10.9737 -2.9396  |     ~   |~              |25.0  25.0     |    1|    0.882   kpc |  -0.042      +0.042     |        |2021MNRAS.503.3279S
34 |M 30                               NGC 7099                           M 30                                                                                                                                                                                                              |Globular Cluster                    |21 40 22.12 -23 10 47.5                |027.17915 -46.83551                |    -0.73 -7.24   |7.10     |~              |11.0  11.0     |    1|    0.007   Mpc |                         |        |2008MNRAS.389.1924F
35 |M 2                                NGC 7089                           M 2                                                                                                                                                                                                               |Globular Cluster                    |21 33 27.02 -00 49 23.7                |053.37088 -35.76976                |     3.51 -2.16   |6.25     |~              |12.9  12.9     |    1|    0.012   Mpc |                         |        |2008MNRAS.389.1924F
36 |M 77                               NGC 1068                           NAME OKM2018 SWIFT J0242.6+0000    M 77                                                                                                                                                                           |Galaxy in Pair of Galaxies          |02 42 40.7091669408 -00 00 47.859690204|172.1037082138010 -51.9337915309647|            ~ ~   |8.87     |~              | 6.92  6.03    |    1|   10.0925  Mpc |                         |redshift|2019A&A...631A..38L
37 |M 15                               NGC 7078                           M 15                                                                                                                                                                                                              |Globular Cluster                    |21 29 58.33 +12 10 01.2                |065.01264 -27.31263                |    -0.63 -3.80   |     ~   |~              |12.3  12.3     |    1|   10.36    kpc |  -0.16       +0.15      |PM      |2015ApJ...812..149W
38 |M 74                               NGC 628                            M 74                                                                                                                                                                                                              |Galaxy                              |01 36 41.7451236624 +15 47 01.107512304|138.6168076727335 -45.7052708002080|   0.344 -0.229   |9.46     |~              | 9.33  8.71    |    1|    7.30    Mpc |                         |T-F     |2011ApJS..192....6L
39 |M 33                               NGC 598                            NAME Triangulum Galaxy             NAME Triangulum Pinwheel           M 33                                                                                                                                        |Galaxy towards a Group of Galaxies  |01 33 50.8965749232 +30 39 36.630403128|133.6101946984090 -31.3306789592433|    0.707 0.827   |5.72     |~              |60.26 35.48    |    1|    0.75    Mpc |  -0.08       +0.08      |T-F     |2020ApJ...902..145K
