C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
70   |HD 228269                                                                                                |Star                           |20 12 01.8907017120 +40 45 02.127677688|077.4748628126882 +03.7506926372297|  37.589 10.568    |10.62    |~                      |    ~     ~    
71   |HD 228268                                                                                                |Star                           |20 12 02.8650067272 +40 46 38.311443264|077.4989667283763 +03.7627253332252|    0.768 1.601    |10.09    |~                      |    ~     ~    
72   |HD 192224                                                                                                |Pulsating Variable             |20 12 07.9944390096 +41 21 00.631144224|077.9886337628077 +04.0623565962751|-14.995 -13.683    |8.83     |Ap                     |    ~     ~    
73   |HD 228322                                                                                                |Star                           |20 12 33.0264773616 +41 00 56.232546480|077.7509650351094 +03.8136217134313| -12.636 -5.544    |10.92    |~                      |    ~     ~    
74   |HD 192381                                                                                                |Star                           |20 12 56.8954400664 +40 43 16.196246184|077.5455167793965 +03.5892854936524|  -2.653 -9.464    |7.97     |A0                     |    ~     ~    
75   |HD 228365                                                                                                |beta Cep Variable              |20 13 01.1729040816 +41 01 42.057033672|077.8102468104757 +03.7466011899379|  -3.768 -2.273    |9.97     |B1V                    |    ~     ~    
76   |HD 228387                                                                                                |Star                           |20 13 11.3854075104 +40 37 22.538545212|077.4884537915132 +03.4970691042520|  1.376 -25.579    |10.00    |~                      |    ~     ~    
77   |HD 192421                                                                                                |Star                           |20 13 13.6517055552 +40 49 04.581764976|077.6556466422073 +03.5982347742219|    9.024 8.517    |9.59     |M5                     |    ~     ~    
78   |HD 228445                                                                                                |Star                           |20 13 41.1539342592 +41 13 33.777072516|078.0448785628331 +03.7503821596636|  -6.850 -0.051    |9.315    |Am                     |    ~     ~    
79   |HD 228446                                                                                                |Double or Multiple Star        |20 13 44.68890 +40 50 19.4389          |077.72696893 +03.52794561          |    -1.82 -8.74    |9.904    |A                      |    ~     ~    
80   |HD 228454                                                                                                |Double or Multiple Star        |20 13 50.4934718424 +40 54 43.893163620|077.7984948462308 +03.5531307530630|   6.523 -0.331    |10.925   |~                      |    ~     ~    
81   |HD 228473                                                                                                |Star                           |20 14 00.6605620416 +40 38 21.084586944|077.5879703158621 +03.3759281969294|   1.289 -8.513    |10.21    |B0III                  |    ~     ~    
82   |HD 228479                                                                                                |Spectroscopic Binary           |20 14 02.3602106160 +41 06 32.781468384|077.9837526907660 +03.6304689074861|   8.396 -0.849    |10.57    |~                      |    ~     ~    
83   |HD 228480                                                                                                |Star                           |20 14 03.8477257272 +40 43 44.805775044|077.6686844205761 +03.4171055829289| -4.200 -10.996    |9.686    |~                      |    ~     ~    
84   |HD 192638                                                                                                |Star                           |20 14 17.7940750536 +40 42 37.935892584|077.6775026825492 +03.3701244161472|-12.941 -30.763    |8.43     |A                      |    ~     ~    
85   |HD 228496                                                                                                |Double or Multiple Star        |20 14 19.732464 +41 15 27.54720        |078.138030994 +03.666914139        |      -2.3 -3.3    |10.078   |B2                     |    ~     ~    
86   |HD 228508                                                                                                |Double or Multiple Star        |20 14 22.5899278920 +40 48 03.314941308|077.7613711376667 +03.4073921538983| -1.216 -11.768    |10.358   |~                      |    ~     ~    
87   |HD 228527                                                                                                |Star                           |20 14 32.4506310288 +41 14 53.732782968|078.1522116046863 +03.6285061524582|-18.855 -22.316    |9.00     |F8                     |    ~     ~    
88   |HD 228531                                                                                                |Star                           |20 14 44.6524096680 +40 47 07.252673280|077.7868839731668 +03.3407783790594|  -5.032 -4.527    |10.19    |~                      |    ~     ~    
89   |HD 228541                                                                                                |Double or Multiple Star        |20 14 47.8030307424 +40 34 35.660142264|077.6181686942679 +03.2170258485609|     -23.3 -3.3    |10.176   |~                      |    ~     ~    
90   |HD 228547                                                                                                |Star                           |20 14 54.4777654320 +41 23 33.954897624|078.3110643844844 +03.6508831161369|   1.036 -1.923    |9.863    |~                      |    ~     ~    
91   |HD 192143                                                                                                |Star                           |20 11 47.3871170256 +40 19 47.985830796|077.0967891780464 +03.5592493541806|    2.090 0.786    |7.096    |B9                     |    ~     ~    
92   |BD+39 4081                                                                                               |Star                           |20 12 32.0818886808 +40 18 01.683326448|077.1498983635228 +03.4242481408031|   0.357 -1.423    |9.49     |A0                     |    ~     ~    
93   |HD 228331                                                                                                |Star                           |20 12 45.5276833704 +40 24 29.202480612|077.2635289073935 +03.4475823492964| -11.033 -7.670    |10.53    |~                      |    ~     ~    
94   |HD 228488                                                                                                |Star                           |20 14 15.8238886824 +40 10 10.062594336|077.2221855898664 +03.0766206764957|  -2.140 -9.781    |10.39    |A2                     |    ~     ~    
95   |HD 228517                                                                                                |Star                           |20 14 32.7264575304 +40 23 29.363962092|077.4372550463901 +03.1544986891880|    2.954 0.240    |9.098    |A0                     |    ~     ~    
96   |HD 228565                                                                                                |Emission-line Star             |20 14 58.5174935424 +41 14 22.523575704|078.1901885677061 +03.5556503958190|  10.485 11.041    |10.9     |~                      |    ~     ~    
97   |V* V2011 Cyg                                                                                             |Spectroscopic Binary           |20 12 33.1203741480 +40 16 05.445674868|077.1246598803230 +03.4037858901349|  -7.360 -2.348    |7.55     |O4.5V(n)((f))          |    ~     ~    
98   |HD 192660                                                                                                |Star                           |20 14 26.0814038904 +40 19 45.050865708|077.3735691945821 +03.1376500624785|  -3.135 -5.661    |7.56     |B0Ib                   |    ~     ~    
99   |LS III +42 4                                                                                             |Star                           |20 14 02.4454456584 +42 35 50.683490736|079.2295727055240 +04.4494428623704|  -3.566 -4.779    |10.35    |B                      |    ~     ~    
100  |BD+41 3659                                                                                               |Star                           |20 13 25.0869225576 +42 23 02.931579996|078.9875838623107 +04.4282602094987|  -5.021 -3.646    |9.63     |B5                     |    ~     ~    
101  |HD 227924                                                                                                |Star                           |20 08 34.2434907984 +41 26 10.816727064|077.6978507501212 +04.6704412499623|   -0.202 8.028    |10.38    |~                      |    ~     ~    
102  |HD 227949                                                                                                |Star                           |20 08 41.4410637840 +41 26 12.312680136|077.7103444046880 +04.6517168961973| -18.437 17.843    |9.219    |K0                     |    ~     ~    
103  |HD 227986                                                                                                |High Proper Motion Star        |20 09 11.8749408816 +41 37 08.507317836|077.9157264485387 +04.6699798815074|-73.105 -77.533    |9.746    |~                      |    ~     ~    
104  |HD 228089                                                                                                |Star                           |20 10 13.4292487416 +41 43 51.447253980|078.1140885981037 +04.5693105622926|    2.689 3.237    |9.757    |A7                     |    ~     ~    
105  |HD 228149                                                                                                |Star                           |20 10 45.6132978720 +41 58 31.696666752|078.3745367592055 +04.6179506347775|  -1.195 -1.943    |10.52    |~                      |    ~     ~    
106  |HD 228194                                                                                                |Star                           |20 11 10.7299058064 +41 58 20.133947280|078.4142278624346 +04.5508801767434|   -5.620 2.703    |10.14    |~                      |    ~     ~    
107  |HD 192039                                                                                                |Star                           |20 11 16.9304731968 +41 57 32.916597696|078.4136650811900 +04.5276264163598|  -3.972 -4.341    |8.79     |B0IV                   |    ~     ~    
108  |HD 228212                                                                                                |Star                           |20 11 19.9729701048 +42 04 47.974253016|078.5205350231675 +04.5854551393502|   1.373 -6.338    |9.711    |~                      |    ~     ~    
109  |HD 190812                                                                                                |Star                           |20 05 10.3387641720 +40 48 49.784590584|076.8266284410801 +04.8785590999094|  4.801 -34.099    |7.21     |A5                     |    ~     ~    
110  |HD 227639                                                                                                |Star                           |20 05 51.4582624704 +40 53 12.679837512|076.9578539275392 +04.8076278822558|    6.614 4.486    |9.87     |~                      |    ~     ~    
111  |HD 227676                                                                                                |Star                           |20 06 08.6504976264 +41 05 08.032834212|077.1555332060909 +04.8677127387057| -8.791 -20.718    |9.92     |~                      |    ~     ~    
112  |HD 227677                                                                                                |Star                           |20 06 10.5590003280 +41 05 20.391763128|077.1616543575107 +04.8644708713300|  -1.320 -8.638    |10.70    |~                      |    ~     ~    
113  |HD 227772                                                                                                |Star                           |20 07 08.0661904896 +41 12 27.147060396|077.3589301039230 +04.7752250336427|  -1.440 -3.474    |9.812    |~                      |    ~     ~    
114  |HD 227899                                                                                                |Star                           |20 08 21.3454789560 +41 24 05.193997524|077.6465852182439 +04.6856443594944| -5.739 -16.055    |9.903    |A0                     |    ~     ~    
115  |HD 190587                                                                                                |Star                           |20 03 59.4643921344 +40 39 23.538670128|076.5737520771120 +04.9850376725090|  10.482 -2.376    |7.89     |B9                     |    ~     ~    
116  |HD 227553                                                                                                |Star                           |20 05 04.4855299344 +40 38 48.547843836|076.6747481543327 +04.8055474264775|  -2.567 -6.220    |10.19    |~                      |    ~     ~    
117  |BD+40 4008                                                                                               |Double or Multiple Star        |20 05 10.8667 +40 44 05.114            |076.7602696 +04.8351572            |       10.2 3.7    |9.16     |A                      |    ~     ~    
118  |HD 227593                                                                                                |Star                           |20 05 21.0248615832 +40 36 00.582482556|076.6629670406747 +04.7364463677484|    5.670 5.502    |10.43    |~                      |    ~     ~    
119  |HD 227592                                                                                                |Star                           |20 05 23.1692187792 +40 37 41.556005112|076.6904230079666 +04.7456128075593|  3.808 -23.521    |9.345    |~                      |    ~     ~    
120  |HD 227591                                                                                                |Star                           |20 05 24.0080137848 +40 41 50.718368184|076.7506611971915 +04.7801624122455|   2.209 -2.995    |10.30    |~                      |    ~     ~    
121  |HD 227600                                                                                                |Star                           |20 05 30.2731927920 +40 32 22.279603380|076.6270588658504 +04.6794088247241|   3.627 -0.134    |9.95     |A0                     |    ~     ~    
122  |HD 227678                                                                                                |Star                           |20 06 09.6620848608 +40 35 27.065535180|076.7372788875256 +04.6012419635363|  5.615 -18.887    |10.40    |~                      |    ~     ~    
123  |HD 227801                                                                                                |Star                           |20 07 33.2966144736 +40 20 32.979330600|076.6691578035266 +04.2443745042307|    9.255 2.728    |10.80    |~                      |    ~     ~    
124  |HD 227927                                                                                                |Star                           |20 08 34.7824017480 +40 29 24.179100432|076.8990912931792 +04.1593320563516|  -4.475 -9.875    |10.86    |~                      |    ~     ~    
125  |HD 228013                                                                                                |Star                           |20 09 30.1144491048 +40 23 06.110837304|076.9055119243933 +03.9549320853205|  -3.876 -7.595    |10.98    |A0                     |    ~     ~    
126  |HD 228039                                                                                                |Star                           |20 09 40.4969490384 +40 20 51.725724828|076.8919437469039 +03.9070085971167|  -3.575 -2.531    |10.82    |~                      |    ~     ~    
127  |HD 228038                                                                                                |Star                           |20 09 40.5769473120 +40 25 42.415274496|076.9601180125608 +03.9505315398689|  15.316 13.913    |8.55     |K0                     |    ~     ~    
128  |HD 228255                                                                                                |Star                           |20 11 55.1160375648 +40 14 05.430905412|077.0304174049851 +03.4866595330845|  -2.736 -5.050    |10.66    |B                      |    ~     ~    
129  |HD 228303                                                                                                |Star                           |20 12 24.6931876752 +40 10 19.364689056|077.0293922653486 +03.3735152140908|  -2.962 -8.120    |10.98    |~                      |    ~     ~    
130  |HD 227890                                                                                                |Star                           |20 08 15.0622486608 +40 22 06.983332788|076.7627245767970 +04.1465983843864|   3.321 -7.483    |8.59     |M2                     |    ~     ~    
131  |HD 227889                                                                                                |Star                           |20 08 20.1140511696 +40 25 22.379447748|076.8172353604382 +04.1623182767953|   -0.018 0.141    |9.333    |B9                     |    ~     ~    
132  |HD 227956                                                                                                |Star                           |20 08 52.8223538856 +40 24 21.074781420|076.8589503203330 +04.0657484631506|  -14.653 9.068    |10.24    |~                      |    ~     ~    
133  |HD 228060                                                                                                |Star                           |20 09 56.8881645864 +40 22 02.180152056|076.9367004295346 +03.8738787286887|   3.532 -1.688    |10.11    |A8                     |    ~     ~    
134  |HD 228134                                                                                                |Star                           |20 10 42.6515682624 +40 17 34.823181840|076.9533393990265 +03.7114913118700|  -1.133 -3.208    |9.322    |B8                     |    ~     ~    
135  |HD 228160                                                                                                |Star                           |20 10 54.6141399384 +40 16 55.346896668|076.9648597101701 +03.6736269196154|    7.015 0.012    |8.70     |F0                     |    ~     ~    
136  |HD 228197                                                                                                |Star                           |20 11 14.9552425320 +40 10 01.042395132|076.9035096882202 +03.5566516337192| -6.286 -12.848    |9.50     |B8                     |    ~     ~    
137  |HD 228227                                                                                                |Star                           |20 11 21.5758528056 +40 07 06.378762828|076.8742962698716 +03.5125100526940|   3.324 -5.157    |10.43    |G5                     |    ~     ~    
138  |HD 228256                                                                                                |Emission-line Star             |20 11 54.3687249000 +40 00 29.625124788|076.8390576801582 +03.3647119620363|  -2.260 -5.247    |10.02    |Beq                    |    ~     ~    
139  |HD 228343                                                                                                |Star                           |20 12 53.3826481392 +39 57 27.972866124|076.9002263042069 +03.1794682866380| -34.858 -7.811    |10.97    |~                      |    ~     ~    
140  |HD 228366                                                                                                |Star                           |20 13 03.3279653424 +39 55 05.237609916|076.8845327084170 +03.1311362424626|  -4.550 -5.189    |10.31    |K0                     |    ~     ~    
141  |HD 228353                                                                                                |Star                           |20 12 59.1326299776 +40 07 44.090806800|077.0535550883988 +03.2581514506743|  -2.817 -3.988    |10.04    |A6:II:                 |    ~     ~    
142  |HD 228388                                                                                                |Star                           |20 13 17.7107325024 +39 58 31.576239084|076.9577784438091 +03.1242814847247|   3.874 -1.318    |10.35    |~                      |    ~     ~    
143  |HD 228436                                                                                                |Star                           |20 13 37.5586673616 +39 52 47.356297500|076.9128093222620 +03.0186970896015|   1.730 -9.112    |10.19    |~                      |    ~     ~    
