C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
5728 |TYC 1629-2799-1                                                                                          |Star                           |20 02 37.5307860864 +22 11 13.390804860|060.7470777556306 -04.5704044014948|  -3.015 -4.153    |10.97    |~                      |    ~     ~    
5729 |TYC 2141-843-1                                                                                           |Star                           |20 02 49.9434564192 +23 58 11.276409720|062.2905950261936 -03.6702093576225|  -2.270 -4.854    |10.48    |~                      |    ~     ~    
5730 |TYC 2141-1146-1                                                                                          |Star                           |20 00 11.7289159752 +22 42 46.773447948|060.9003581181425 -03.8164252632214|    0.066 2.107    |10.18    |~                      |    ~     ~    
5731 |TYC 2141-1508-1                                                                                          |Star                           |20 00 58.8769384464 +22 41 06.924075216|060.9718549038328 -03.9853242186420|-11.444 -14.486    |10.44    |~                      |    ~     ~    
5732 |TYC 2141-2022-1                                                                                          |Star                           |20 03 32.1006521736 +23 00 02.277227016|061.5513439414094 -04.3193651639579| -15.600 -8.975    |10.82    |~                      |    ~     ~    
5733 |HD 339530                                                                                                |Star                           |20 04 50.6069461056 +24 33 14.486194188|063.0305358332374 -03.7488722908929|   0.409 -7.971    |9.67     |B9                     |    ~     ~    
5734 |HD 339529                                                                                                |Star                           |20 04 43.9594315560 +24 33 38.689614936|063.0228027010170 -03.7239660819714|    5.952 3.908    |10.45    |K5                     |    ~     ~    
5735 |HD 345539                                                                                                |Star                           |20 03 56.5788754056 +24 15 26.010240228|062.6694031269904 -03.7329584805855|       0.4 -4.0    |10.87    |A5                     |    ~     ~    
5736 |HD 345674                                                                                                |Star                           |20 05 44.9134570920 +24 11 45.219363900|062.8368830613093 -04.1141284322508|   17.104 2.619    |10.99    |F8                     |    ~     ~    
5737 |HD 190384                                                                                                |Star                           |20 03 55.5230062656 +23 50 50.212111668|062.3189613618003 -03.9469951024344|   24.041 7.872    |7.34     |K0                     |    ~     ~    
5738 |HD 345689                                                                                                |Star                           |20 04 56.8312464720 +23 41 30.231748932|062.3112679301301 -04.2276924345824|  -5.744 -6.288    |9.32     |K0                     |    ~     ~    
5739 |HD 190631                                                                                                |Star                           |20 05 08.6712468576 +23 39 54.201081924|062.3127140821900 -04.2801398634993| 20.918 -31.038    |8.07     |K2                     |    ~     ~    
5740 |HD 190404                                                                                                |High Proper Motion Star        |20 03 52.1269218534 +23 20 26.469023374|061.8813782971898 -04.2044744824328|-1003.993 -912.718 |7.270    |K1V                    |    ~     ~    
5741 |HD 190449                                                                                                |Star                           |20 04 17.7218704584 +22 35 54.254884524|061.3020379371625 -04.6809236868292|  16.702 12.606    |8.09     |K0                     |    ~     ~    
5742 |HD 345577                                                                                                |Star                           |20 04 34.0233283320 +22 56 29.826240756|061.6273274685652 -04.5521189219726| -3.884 -18.629    |9.25     |A0                     |    ~     ~    
5743 |HD 190591                                                                                                |Star                           |20 04 50.6652571656 +22 27 18.444172788|061.2475453775592 -04.8643805639085|  -6.627 -6.063    |8.07     |A0                     |    ~     ~    
5744 |HD 190590                                                                                                |Double or Multiple Star        |20 04 58.5864082032 +23 12 37.359259920|061.9059398456802 -04.4892348967825|    4.285 6.204    |6.530    |A5Vn                   |    ~     ~    
5745 |HD 345701                                                                                                |Star                           |20 05 18.0649236408 +23 20 46.512626820|062.0611334017690 -04.4801388890560|   1.415 -9.283    |10.30    |F2                     |    ~     ~    
5746 |HD 190750                                                                                                |Star                           |20 05 44.3073622752 +22 47 49.898441472|061.6483946172570 -04.8574478564194|  4.579 -10.160    |6.90     |A0                     |    ~     ~    
5747 |HD 345600                                                                                                |Star                           |20 04 20.5791432576 +22 21 49.498208496|061.1081461184658 -04.8145175934576|   2.119 -6.067    |9.36     |F0                     |    ~     ~    
5748 |HD 345720                                                                                                |Star                           |20 05 52.2852200688 +22 34 21.335068560|061.4739042280885 -05.0029270690560| -5.584 -26.446    |10.87    |K2                     |    ~     ~    
5749 |HD 345715                                                                                                |Star                           |20 05 30.9645001512 +22 49 48.393199092|061.6490071583335 -04.7965446569499|  -1.763 -4.821    |10.59    |B8                     |    ~     ~    
5750 |HD 345712                                                                                                |Star                           |20 05 10.9901744136 +22 57 48.155476032|061.7213713876302 -04.6607607356324| -11.348 -1.982    |10.79    |K7                     |    ~     ~    
5751 |HD 345700                                                                                                |Star                           |20 05 06.7597832160 +23 27 25.700327568|062.1322518198436 -04.3845522585702|   10.853 3.295    |10.56    |G0                     |    ~     ~    
5752 |HD 345699                                                                                                |Star                           |20 05 31.3895818176 +23 26 14.987138136|062.1658197299194 -04.4747187118190| 10.252 -23.359    |10.65    |F5                     |    ~     ~    
5753 |HD 345687                                                                                                |Star                           |20 04 57.3749202624 +24 00 51.486993828|062.5862437630087 -04.0578712361633|   4.983 29.416    |10.40    |K2                     |    ~     ~    
5754 |HD 345672                                                                                                |Star                           |20 05 21.2893451616 +24 07 09.770174688|062.7239783353251 -04.0789384234241|    3.800 2.857    |10.32    |A2                     |    ~     ~    
5755 |HD 345591                                                                                                |Star                           |20 04 28.2365115936 +22 34 53.076887076|061.3090773536448 -04.7242336479358| -9.480 -11.197    |10.62    |G5                     |    ~     ~    
5756 |HD 345590                                                                                                |Star                           |20 04 05.7370153608 +22 39 50.537346912|061.3334119733933 -04.6070697814102|   4.955 -8.543    |10.53    |K5                     |    ~     ~    
5757 |HD 345576                                                                                                |Star                           |20 04 32.1899593728 +23 13 29.051714208|061.8643109692146 -04.3959590748986|    5.931 1.445    |10.47    |K5                     |    ~     ~    
5758 |HD 345575                                                                                                |Star                           |20 04 21.9515635056 +23 14 10.857008868|061.8533257954836 -04.3565684009821|   0.924 -9.239    |10.50    |K5                     |    ~     ~    
5759 |HD 345574                                                                                                |Star                           |20 04 13.2541274904 +23 08 00.421815336|061.7481132328206 -04.3828827144039| -3.496 -25.619    |10.70    |F2                     |    ~     ~    
5760 |HD 345563                                                                                                |Star                           |20 04 40.1105960712 +23 31 11.563476204|062.1312715962932 -04.2649436151340|  -2.330 -4.942    |10.97    |F0                     |    ~     ~    
5761 |HD 345562                                                                                                |Pulsating Variable             |20 04 36.5644563432 +23 30 12.250908540|062.1100571050164 -04.2622132900897|    4.280 3.676    |10.82    |A8                     |    ~     ~    
5762 |HD 345560                                                                                                |Star                           |20 04 06.8750962896 +23 29 06.518947272|062.0341760176255 -04.1757400716404|    9.774 0.788    |10.09    |K2                     |    ~     ~    
5763 |HD 345550                                                                                                |Star                           |20 04 06.5495544096 +23 49 03.418116960|062.3160948365766 -03.9983570439937|    3.150 8.101    |10.53    |G5                     |    ~     ~    
5764 |BD+21 4047                                                                                               |Star                           |20 05 16.7937853896 +22 15 47.109402072|061.1377794034628 -05.0516158166737|  -5.428 -0.512    |10.2     |M2                     |    ~     ~    
5765 |HD 345581                                                                                                |Star                           |20 03 46.6885466256 +22 48 22.710786336|061.4156452992904 -04.4696675170852|  12.419 -1.561    |10.69    |G0                     |    ~     ~    
5766 |HD 345593                                                                                                |Star                           |20 03 47.9373848160 +22 33 41.110632108|061.2097105404140 -04.6032707961694| -0.463 -16.093    |9.84     |G0                     |    ~     ~    
5767 |HD 345580                                                                                                |Star                           |20 03 49.8924033960 +22 47 01.599775404|061.4029984819284 -04.4920310907153|  11.730 -0.717    |10.05    |A2                     |    ~     ~    
5768 |HD 345579                                                                                                |Pulsating Variable             |20 04 24.1890016896 +22 50 24.588359268|061.5209556174416 -04.5739080625745|  -1.861 -7.329    |10.41    |A0                     |    ~     ~    
5769 |HD 345714                                                                                                |High Proper Motion Star        |20 05 01.7047958904 +22 57 18.661671648|061.6954185071319 -04.6349329172069|  81.912 69.729    |9.76     |G5                     |    ~     ~    
5770 |HD 345728                                                                                                |Star                           |20 05 42.5182198536 +22 28 44.525425368|061.3743032204798 -05.0208597701121|   16.439 5.574    |10.44    |F2                     |    ~     ~    
5771 |HD 345565                                                                                                |Star                           |20 03 52.1421779304 +23 24 40.322013840|061.9413779130263 -04.1671709309203|    1.409 2.726    |10.67    |F5                     |    ~     ~    
5772 |HD 345561                                                                                                |Star                           |20 04 18.4311206280 +23 31 34.010439456|062.0924828665556 -04.1914425245635| -9.940 -25.689    |10.35    |M0                     |    ~     ~    
5773 |HD 345564                                                                                                |Star                           |20 04 25.1793071568 +23 25 28.095997404|062.0198148489910 -04.2672349723743|   22.379 1.766    |10.29    |G5                     |    ~     ~    
5774 |HD 345551                                                                                                |Star                           |20 04 27.4912287456 +23 45 45.511153668|062.3118699331200 -04.0952035691630|  -2.017 -8.607    |9.86     |A3                     |    ~     ~    
5775 |HD 345690                                                                                                |Star                           |20 04 47.8213940544 +23 35 35.015846064|062.2091321599475 -04.2510151883243|    4.290 3.773    |10.64    |A0                     |    ~     ~    
5776 |HD 345730                                                                                                |Spectroscopic Binary           |20 04 36.9023443632 +22 15 08.830617552|061.0468445651089 -04.9268360277890|   0.421 -6.481    |9.61     |F5                     |    ~     ~    
5777 |HD 345740                                                                                                |Star                           |20 04 59.9633291256 +22 04 27.398676072|060.9425117492088 -05.0967273919811| -2.951 -29.480    |9.50     |F4II                   |    ~     ~    
5778 |HD 345738                                                                                                |Star                           |20 05 30.6279180840 +22 08 45.025023696|061.0664760057853 -05.1590901155584|   2.269 -0.581    |10.26    |G5                     |    ~     ~    
5779 |TYC 1629-1641-1                                                                                          |Star                           |20 04 25.3187352192 +22 07 29.034545484|060.9143430616271 -04.9565611806548|  -2.501 -7.116    |10.77    |~                      |    ~     ~    
5780 |HD 190816                                                                                                |Eclipsing Binary               |20 05 55.9173358848 +24 27 36.890917992|063.0833455185874 -04.0083504426667|    3.408 2.390    |8.24     |A0                     |    ~     ~    
5781 |HD 190968                                                                                                |High Proper Motion Star        |20 06 44.4326118798 +24 26 22.527612386|063.1644933343038 -04.1748985859121| 73.066 108.844    |8.43     |G                      |    ~     ~    
5782 |HD 339637                                                                                                |Star                           |20 06 11.6116131264 +24 21 23.684814000|063.0273810474680 -04.1140708524785|  0.766 -13.449    |9.09     |K2                     |    ~     ~    
5783 |HD 345677                                                                                                |Star                           |20 07 08.8040051520 +24 14 12.954897060|063.0425726258686 -04.3615770452118|  1.688 -11.898    |9.86     |K1                     |    ~     ~    
5784 |V* DK Vul                                                                                                |S Star                         |20 06 33.9524469312 +24 26 00.133136196|063.1378905366197 -04.1446459203873|    2.625 4.171    |10.99    |S4,2                   |    ~     ~    
5785 |HD 345795                                                                                                |Star                           |20 10 00.5362028424 +24 13 07.656028392|063.3795866795412 -04.9212947100202|   26.353 9.794    |10.80    |G0                     |    ~     ~    
5786 |HD 345794                                                                                                |Star                           |20 09 48.1405516920 +24 13 33.636215388|063.3601340398331 -04.8777633680728|   2.398 -4.825    |10.68    |A5                     |    ~     ~    
5787 |HD 345678                                                                                                |Star                           |20 07 18.8993716560 +24 15 51.493140180|063.0863645007122 -04.3792832865330|  -0.711 -1.838    |10.82    |G0                     |    ~     ~    
5788 |HD 345791                                                                                                |Star                           |20 07 54.3590065776 +24 15 40.618200852|063.1563095637833 -04.4945638912792| -5.112 -12.365    |9.79     |M0                     |    ~     ~    
5789 |HD 345691                                                                                                |Star                           |20 06 01.9870747920 +23 38 59.535022488|062.4085466020005 -04.4604289650202|    1.811 4.425    |9.83     |M0                     |    ~     ~    
5790 |* 17 Vul                                                                                                 |Star                           |20 06 53.4076821840 +23 36 51.929192484|062.4836618388086 -04.6453003391622|   15.246 0.316    |5.056    |B3V                    |    ~     ~    
5791 |HD 345696                                                                                                |Star                           |20 07 01.5617103168 +23 27 37.153599228|062.3697286835520 -04.7540419842775|  9.256 -38.440    |10.83    |G5                     |    ~     ~    
5792 |HD 345803                                                                                                |Star                           |20 09 18.2511796896 +23 57 58.553964180|063.0790810186118 -04.9222347968361|  -4.707 -4.485    |9.47     |K0                     |    ~     ~    
5793 |HD 191497                                                                                                |Star                           |20 09 25.9441309152 +23 54 22.898748024|063.0442989406443 -04.9792090087113| -8.978 -10.691    |9.10     |A0                     |    ~     ~    
5794 |HD 191513                                                                                                |Star                           |20 09 31.0038211536 +23 37 23.643400476|062.8153656303139 -05.1481194943873|   4.013 -3.566    |8.66     |A0                     |    ~     ~    
5795 |HD 191768                                                                                                |Star                           |20 10 50.0597069712 +23 31 38.400497328|062.8980815284266 -05.4539966048381|  13.507 11.612    |7.66     |A0                     |    ~     ~    
5796 |HD 345958                                                                                                |Star                           |20 10 55.7165082504 +23 54 36.339121116|063.2330276296237 -05.2648897392912|  8.956 -10.576    |9.40     |F5                     |    ~     ~    
5797 |HD 345960                                                                                                |Star                           |20 11 17.1036006024 +23 45 04.350168972|063.1432874937135 -05.4195053477809|  -1.582 -4.653    |9.62     |B3                     |    ~     ~    
5798 |HD 345977                                                                                                |Star                           |20 11 44.1778717248 +23 40 05.838462984|063.1295986478767 -05.5512565676854|  -2.292 -4.783    |9.78     |M0                     |    ~     ~    
5799 |HD 345976                                                                                                |Star                           |20 11 47.2016041344 +23 40 30.952343820|063.1417784204135 -05.5571602003286|  -2.087 -6.008    |9.24     |K5                     |    ~     ~    
5800 |HD 345965                                                                                                |Star                           |20 12 01.4158033848 +23 46 31.560522744|063.2558689203122 -05.5482781686396|   10.183 2.808    |9.85     |F0                     |    ~     ~    
5801 |HD 192023                                                                                                |Star                           |20 12 02.2199720016 +23 55 08.771568348|063.3786993188030 -05.4727652059108|  -1.604 -6.470    |7.83     |A2                     |    ~     ~    
5802 |HD 192060                                                                                                |Star                           |20 12 15.6086506176 +24 04 03.239698080|063.5316963783952 -05.4347884420402|   15.277 7.166    |8.77     |~                      |    ~     ~    
5803 |HD 192104                                                                                                |Star                           |20 12 26.4662449680 +23 47 40.043281236|063.3240934356791 -05.6180909569936|   3.394 -6.988    |8.20     |A0                     |    ~     ~    
5804 |HD 345981                                                                                                |Star                           |20 12 29.5134595296 +23 30 14.608619172|063.0855687199109 -05.7858234167095|  -6.901 -5.772    |8.90     |K0                     |    ~     ~    
5805 |HD 345966                                                                                                |Star                           |20 12 33.5445977880 +23 46 57.069883560|063.3287884982961 -05.6472282686642|   5.961 -5.757    |8.76     |G5                     |    ~     ~    
5806 |HD 345967                                                                                                |Star                           |20 12 59.6392527600 +23 46 21.855512316|063.3750056187598 -05.7360012554929|  -3.400 -8.382    |9.88     |M0                     |    ~     ~    
5807 |HD 345953                                                                                                |Star                           |20 13 04.3829554152 +24 00 40.112261964|063.5857451618949 -05.6211664122887| -1.104 -25.842    |9.03     |F8                     |    ~     ~    
5808 |HD 192304                                                                                                |Spectroscopic Binary           |20 13 25.6981356624 +23 27 13.064002380|063.1606047769295 -05.9933733577912|   13.380 4.854    |8.16     |A0                     |    ~     ~    
5809 |HD 346111                                                                                                |Star                           |20 13 56.0677208424 +23 58 07.511697948|063.6580461607208 -05.8091342496439| -4.526 -11.578    |8.95     |K0                     |    ~     ~    
5810 |HD 345707                                                                                                |Double or Multiple Star        |20 06 06.729336 +23 03 02.67300        |061.909748001 -04.795248587        |     -5.1 -10.2    |9.903    |A3                     |    ~     ~    
5811 |HD 190843                                                                                                |Star                           |20 06 08.9366970360 +23 02 36.398732172|061.9080779073262 -04.8062995355671|  -3.805 -9.712    |8.49     |A0                     |    ~     ~    
5812 |HD 190865                                                                                                |Star                           |20 06 12.4964026248 +23 10 05.395865412|062.0212616696838 -04.7513459668218|  16.966 -6.160    |8.01     |A0                     |    ~     ~    
5813 |HD 190946                                                                                                |Star                           |20 06 40.1922719544 +22 42 43.083311796|061.6908451957291 -05.0845696639376|  -1.519 -7.734    |7.88     |A0                     |    ~     ~    
5814 |HD 345723                                                                                                |RS CVn Variable                |20 06 51.3325666296 +22 39 51.713619768|061.6733702984183 -05.1461905683727|   2.532 -7.380    |9.80     |K6                     |    ~     ~    
5815 |HD 345726                                                                                                |Star                           |20 07 16.2426949824 +22 27 55.469763756|061.5558386474840 -05.3334652308442|   3.029 -1.757    |9.83     |A2                     |    ~     ~    
5816 |HD 345865                                                                                                |Spectroscopic Binary           |20 07 50.3785029936 +22 26 18.981810240|061.6036757233540 -05.4588831204782| 30.080 -14.701    |9.84     |K0                     |    ~     ~    
5817 |HD 345827                                                                                                |Star                           |20 08 07.3602021840 +23 15 51.658268328|062.3389500104022 -05.0715458217865|   1.149 15.264    |8.53     |K0                     |    ~     ~    
5818 |HD 345862                                                                                                |Star                           |20 08 19.6162054968 +22 29 13.719562224|061.7054190575689 -05.5279738629478|   1.113 -4.427    |8.91     |K1                     |    ~     ~    
5819 |HD 345833                                                                                                |Star                           |20 08 40.2921517224 +22 57 17.503345944|062.1447501871724 -05.3441398783003|  -11.449 4.579    |9.40     |K0                     |    ~     ~    
5820 |HD 191399                                                                                                |Star                           |20 08 57.3171441288 +23 24 53.693981064|062.5695328394057 -05.1518632302879|   5.611 -3.260    |7.92     |B9                     |    ~     ~    
5821 |HD 345859                                                                                                |Star                           |20 09 07.5290434632 +22 26 31.159003416|061.7665797321714 -05.7078902969725|   2.739 -3.915    |8.86     |G0                     |    ~     ~    
5822 |HD 345834                                                                                                |Star                           |20 09 05.9783321928 +22 59 54.449340972|062.2348610145951 -05.4038138284433|  10.618 11.261    |8.64     |M2                     |    ~     ~    
5823 |HD 345835                                                                                                |Star                           |20 10 05.9005050648 +23 03 47.958175188|062.4140823623727 -05.5624859734458| -5.383 -10.966    |10.11    |G2                     |    ~     ~    
5824 |HD 345824                                                                                                |Star                           |20 10 24.6950787696 +23 22 20.664782400|062.7144987575103 -05.4562080629652|  1.558 -33.234    |9.09     |G0                     |    ~     ~    
5825 |HD 345992                                                                                                |Star                           |20 10 41.1409130880 +23 10 27.957560520|062.5813156604470 -05.6161570041443| -7.033 -15.615    |9.00     |G0                     |    ~     ~    
5826 |HD 346009                                                                                                |Double or Multiple Star        |20 10 56.2032534888 +22 37 18.642266796|062.1453627713118 -05.9633964793878|  -0.042 -0.523    |9.92     |A0                     |0.0083  0.0    
5827 |HD 346006                                                                                                |Star                           |20 11 39.2851822608 +22 54 00.019396404|062.4706103382824 -05.9521397999467|    6.929 2.498    |8.90     |K0                     |    ~     ~    
5828 |HD 346011                                                                                                |Spectroscopic Binary           |20 11 41.1711811464 +22 40 50.637909072|062.2892076230539 -06.0769890429112|  -0.777 -7.442    |10.73    |A2                     |    ~     ~    
5829 |HD 346023                                                                                                |Star                           |20 12 13.3025649336 +22 26 56.403001788|062.1606587628107 -06.3064489952937|    5.749 1.602    |9.53     |A2                     |    ~     ~    
5830 |HD 346002                                                                                                |Star                           |20 12 32.2394719800 +22 50 10.637072232|062.5276672536213 -06.1574975053461|    8.984 8.269    |8.44     |K0                     |    ~     ~    
5831 |HD 192226                                                                                                |Star                           |20 13 05.0411962128 +23 12 50.458761036|062.9152692918166 -06.0576681362197| 19.986 -10.847    |8.19     |F0                     |    ~     ~    
5832 |HD 346000                                                                                                |Star                           |20 13 23.1545722392 +22 50 00.872447928|062.6323253451365 -06.3230613721908| 35.127 -30.199    |8.57     |F8                     |    ~     ~    
5833 |HD 192423                                                                                                |Pulsating Variable             |20 14 07.2021649584 +23 03 38.834190576|062.9166756115538 -06.3408687541037|   17.351 9.821    |8.41     |F2                     |    ~     ~    
5834 |HD 346143                                                                                                |Spectroscopic Binary           |20 14 18.9218477520 +23 00 56.431492200|062.9033404642449 -06.4031488514153|    9.286 1.206    |8.64     |F8                     |    ~     ~    
5835 |HD 192497                                                                                                |Star                           |20 14 28.2450295656 +23 06 29.724405156|063.0010165879104 -06.3824979984497|    7.349 2.524    |8.29     |A0                     |    ~     ~    
5836 |HD 192560                                                                                                |Star                           |20 14 44.1841679016 +22 49 42.886134084|062.7989489831147 -06.5865762755975|   3.358 -4.572    |8.82     |F2                     |    ~     ~    
5837 |HD 346159                                                                                                |Star                           |20 14 45.6495722784 +22 48 58.956214428|062.7917596600449 -06.5979593581461|   6.332 -9.474    |9.45     |K5                     |    ~     ~    
5838 |HD 190789                                                                                                |Star                           |20 05 56.5427716464 +22 13 45.621117948|061.1908501193305 -05.1994113745943|  -1.405 -2.628    |8.23     |K2                     |    ~     ~    
5839 |HD 345733                                                                                                |Star                           |20 06 13.2100235928 +22 13 27.704054316|061.2209639012295 -05.2564921624590|    9.182 4.656    |9.39     |F5                     |    ~     ~    
5840 |BD+21 4055                                                                                               |Star                           |20 06 13.6153351872 +22 13 55.849696680|061.2284462032416 -05.2536542995655|    2.820 0.683    |9.86     |G5                     |    ~     ~    
5841 |HD 345734                                                                                                |Star                           |20 06 26.2986479568 +22 12 47.483825292|061.2384606262892 -05.3051764587393| -8.413 -11.592    |9.59     |G5                     |    ~     ~    
5842 |HD 345736                                                                                                |Spectroscopic Binary           |20 07 00.6237307824 +22 11 00.075729372|061.2839974515080 -05.4331216214234|   4.977 -6.220    |10.77    |B8                     |    ~     ~    
5843 |HD 345866                                                                                                |Star                           |20 08 08.7441946560 +22 21 07.133935752|061.5682090070023 -05.5650121143466|    6.142 1.738    |9.61     |F6                     |    ~     ~    
5844 |HD 191359                                                                                                |High Proper Motion Star        |20 08 42.9491334072 +22 09 12.090591144|061.4706880611889 -05.7828032346424|-44.000 -63.976    |7.05     |K0                     |    ~     ~    
5845 |HD 345871                                                                                                |Star                           |20 08 59.0166708288 +22 25 11.237752668|061.7300667012113 -05.6921536342022|  -0.477 -8.880    |9.92     |B9                     |    ~     ~    
5846 |HD 346030                                                                                                |Star                           |20 11 36.7259197752 +22 15 45.069645096|061.9261467234791 -06.2889120826593| -13.338 -2.287    |10.13    |G5                     |    ~     ~    
5847 |HD 346024                                                                                                |Star                           |20 12 26.7692684064 +22 24 28.805759892|062.1542915533733 -06.3722597487534|    1.109 1.890    |10.36    |F0                     |    ~     ~    
5848 |HD 192424B                                                                                               |Star                           |20 14 04.5479060088 +22 13 27.715750968|062.2053346032694 -06.7884352880154|   10.566 4.102    |7.95     |~                      |    ~     ~    
5849 |BD+21 4110                                                                                               |Star                           |20 14 06.4483483176 +22 12 27.190645884|062.1951567101792 -06.8037408795216| -1.214 -18.390    |9.96     |K0                     |    ~     ~    
5850 |V* KP Vul                                                                                                |Pulsating Variable             |20 11 12.0487018272 +22 10 11.428324032|061.7959461678270 -06.2589057260675|  -5.961 -4.324    |10.94    |~                      |    ~     ~    
5851 |HD 346003                                                                                                |Double or Multiple Star        |20 12 17.8114612198 +22 48 28.908102621|062.4735450127777 -06.1263023119208| 18.581 -14.854    |8.63     |K0                     |    ~     ~    
5852 |HD 346183                                                                                                |Star                           |20 14 59.0298141408 +22 15 15.643581444|062.3460815224706 -06.9481952693321|   21.099 8.764    |10.57    |F5                     |    ~     ~    
5853 |HD 346167                                                                                                |Spectroscopic Binary           |20 14 41.8637053704 +22 18 50.830472700|062.3601239926822 -06.8601108647116|   9.476 -8.965    |10.95    |A5                     |    ~     ~    
5854 |HD 346158                                                                                                |Star                           |20 14 54.4422143712 +22 44 49.489051308|062.7519374964540 -06.6641279639700|  22.815 -0.873    |10.93    |F8                     |    ~     ~    
5855 |HD 346142                                                                                                |Star                           |20 14 03.3871935048 +23 00 17.498848752|062.8614923304450 -06.3591395454004|    2.055 5.152    |10.97    |K7                     |    ~     ~    
5856 |HD 346141                                                                                                |Star                           |20 14 03.0881831007 +23 08 31.340404623|062.9765048615627 -06.2832999094725|    0.519 5.806    |10.50    |A5                     |    ~     ~    
5857 |HD 346140                                                                                                |Star                           |20 14 54.6168015432 +23 08 39.272679816|063.0869526883507 -06.4474112621677|    8.274 1.075    |9.82     |K2                     |    ~     ~    
5858 |HD 346127                                                                                                |Star                           |20 14 00.0453869376 +23 29 04.833945312|063.2588168692874 -06.0864221604997| -5.068 -11.984    |10.57    |F5                     |    ~     ~    
5859 |HD 346124                                                                                                |Star                           |20 14 21.4312091520 +23 37 43.511217240|063.4250474945008 -06.0760492087571|  -8.527 -9.752    |10.83    |G0                     |    ~     ~    
5860 |HD 346123                                                                                                |Star                           |20 14 28.7372466816 +23 36 51.287265144|063.4281845404076 -06.1073322792205|   0.909 -5.342    |10.52    |A5                     |    ~     ~    
5861 |HD 346122                                                                                                |Star                           |20 14 48.4809966912 +23 34 33.851677692|063.4375693577397 -06.1913187384362|   6.153 -2.091    |10.56    |F0                     |    ~     ~    
5862 |HD 346113                                                                                                |Spectroscopic Binary           |20 14 36.3719176536 +23 50 39.323351292|063.6377685892403 -06.0057634998650|   2.085 -2.052    |10.32    |F0                     |    ~     ~    
5863 |HD 346112                                                                                                |Star                           |20 14 34.8998249976 +23 51 27.311390100|063.6458923841827 -05.9937682844198|    5.588 1.556    |10.77    |G0                     |    ~     ~    
5864 |HD 346037                                                                                                |Star                           |20 10 35.3088997368 +22 09 22.832562420|061.7075724903805 -06.1468221008923|   14.803 1.278    |10.05    |F0                     |    ~     ~    
5865 |HD 346034                                                                                                |Star                           |20 10 49.0370360448 +22 21 36.924875280|061.9089825829642 -06.0814174833326|   3.331 -5.522    |10.73    |G5                     |    ~     ~    
5866 |HD 346029                                                                                                |Star                           |20 12 10.5010355520 +22 15 32.146274484|061.9940376257934 -06.4003693490997|  22.805 20.374    |10.25    |F8                     |    ~     ~    
5867 |HD 346022                                                                                                |Star                           |20 11 56.4340795080 +22 33 50.609011860|062.2225401340747 -06.1895285172854|   1.782 -0.948    |10.18    |K7                     |    ~     ~    
5868 |HD 346018                                                                                                |Star                           |20 12 31.6944472008 +22 38 43.226893176|062.3652242799570 -06.2594099879424| -3.836 -10.014    |10.57    |K2                     |    ~     ~    
5869 |HD 346015                                                                                                |Spectroscopic Binary           |20 13 24.0231138648 +22 37 29.399118600|062.4579506262861 -06.4394816954008| -34.931 -0.062    |10.62    |K0                     |    ~     ~    
5870 |HD 346014                                                                                                |Star                           |20 13 32.9758140000 +22 42 52.640304228|062.5526032176269 -06.4194782819067| -8.718 -12.129    |10.98    |F0                     |    ~     ~    
5871 |HD 346013                                                                                                |Star                           |20 13 01.7080744992 +22 43 35.437637244|062.4968445373703 -06.3121847787634|  -2.530 -6.238    |10.73    |K0                     |    ~     ~    
5872 |TYC 2154-3838-1                                                                                          |Star                           |20 12 12.8623448400 +22 41 38.101804152|062.3667525944812 -06.1722330007613|  -0.750 -7.163    |9.99     |~                      |    ~     ~    
5873 |HD 346008                                                                                                |Star                           |20 11 06.8766405480 +22 41 52.894756176|062.2321089781218 -05.9567593418080|   0.182 -2.216    |10.62    |K2                     |    ~     ~    
5874 |HD 346004                                                                                                |Star                           |20 12 21.5580537912 +22 56 33.632780928|062.5951249523605 -06.0652994025441|   -0.037 0.650    |10.91    |F0                     |    ~     ~    
5875 |HD 345999                                                                                                |Star                           |20 13 04.8817779840 +23 00 03.114283104|062.7351024523130 -06.1731763058698|   5.651 10.413    |10.36    |G5                     |    ~     ~    
5876 |HD 345998                                                                                                |Star                           |20 12 53.7122843352 +23 01 37.035205212|062.7336807402476 -06.1230412581249|   3.603 -0.236    |10.88    |F8                     |    ~     ~    
5877 |HD 345982                                                                                                |Star                           |20 12 40.4813037360 +23 29 30.565041432|063.0981663032301 -05.8276447923124| -0.462 -11.178    |10.69    |F2                     |    ~     ~    
5878 |HD 345975                                                                                                |Star                           |20 12 05.5876968744 +23 37 41.630410884|063.1403926229410 -05.6416268974596|  -3.128 -5.254    |10.58    |K0                     |    ~     ~    
5879 |HD 345974                                                                                                |Star                           |20 12 09.1641495312 +23 43 44.401378980|063.2328435385828 -05.5983188966663|-18.912 -12.850    |9.45     |K2                     |    ~     ~    
