C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:48:17

dec >=0&rah >=10.25&rah< 10.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2565

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
46  |HD 89544                                                                                                 |High Proper Motion Star            |10 26 14.0827840608 +81 16 18.853763808|129.1546743394152 +34.0242829738435|-38.863 -35.692   |8.66     |F8                 |    ~     ~    |    1|  171.792   pc  |  -0.4427     +0.4427  |paral   |2020yCat.1350....0G
47  |BD+81 328                                                                                                |Star                               |10 16 31.2426915559 +81 17 04.043504176|129.4808045817946 +33.7743399843711|     5.182 7.34   |10.36    |F5                 |    ~     ~    |    0|                |                       |        |                   
48  |BD+81 329                                                                                                |Star                               |10 16 26.6044270104 +80 55 21.492296436|129.7760266008024 +34.0405912179384|  -3.069 -8.354   |10.63    |G5                 |    ~     ~    |    1|  412.337   pc  |  -2.0743     +2.0743  |paral   |2020yCat.1350....0G
49  |BD+81 331                                                                                                |Star                               |10 18 17.1269282160 +81 04 33.594599928|129.5877039873869 +33.9747213355921| -19.400 -7.783   |10.64    |F5                 |    ~     ~    |    1|  359.699   pc  | -30.3793    +30.3793  |paral   |2020yCat.1350....0G
50  |BD+81 333                                                                                                |Star                               |10 22 44.7264743304 +81 01 23.179965600|129.4718862286043 +34.1286070154547|-19.160 -27.467   |10.64    |K0                 |    ~     ~    |    1|  313.421   pc  |  -2.5639     +2.5639  |paral   |2020yCat.1350....0G
51  |HD 89881                                                                                                 |Star                               |10 28 26.4493875360 +81 11 14.885999880|129.1404183051760 +34.1428639294534|  35.520 11.118   |7.72     |G0                 |    ~     ~    |    1|   64.491   pc  |  -0.0707     +0.0707  |paral   |2020yCat.1350....0G
52  |TYC 4548-524-1                                                                                           |Star                               |10 18 27.6830740728 +80 49 36.675797808|129.7816017461563 +34.1653078598170| 22.538 -10.939   |10.96    |~                  |    ~     ~    |    1|  146.927   pc  |  -0.2677     +0.2677  |paral   |2020yCat.1350....0G
53  |TYC 4548-1368-1                                                                                          |Star                               |10 17 07.5174886632 +81 42 38.648460888|129.1190658058527 +33.4718823772124|    6.184 3.158   |10.79    |~                  |    ~     ~    |    1| 1096.251   pc  | -15.1422    +15.1422  |paral   |2020yCat.1350....0G
54  |BD+81 330                                                                                                |Star                               |10 16 44.9038560672 +80 31 16.390086636|130.0915937427736 +34.3458052683246|  19.370 14.031   |9.710    |G5                 |    ~     ~    |    1|  145.556   pc  |  -0.3093     +0.3093  |paral   |2020yCat.1350....0G
55  |BD+81 332                                                                                                |Star                               |10 19 41.2844065167 +80 21 21.719530342|130.1155615752937 +34.5502468630211|     -4.70 8.20   |10.52    |G0                 |    ~     ~    |    0|                |                       |        |                   
56  |BD+81 335                                                                                                |Star                               |10 26 08.8993171752 +80 41 02.038779312|129.6113959959244 +34.4751031972227|   -7.370 6.069   |10.36    |G5                 |    ~     ~    |    1|  294.837   pc  |  -6.9109     +6.9109  |paral   |2020yCat.1350....0G
57  |BD+81 336                                                                                                |Star                               |10 26 30.6566049336 +80 44 42.878654160|129.5502323985613 +34.4372401546461|  -5.103 -5.221   |9.77     |A5                 |    ~     ~    |    1|  310.800   pc  |  -1.4296     +1.4296  |paral   |2020yCat.1350....0G
58  |BD+81 338                                                                                                |Star                               |10 29 19.4768659800 +80 43 18.311463588|129.4618648210456 +34.5271047300101|   0.760 -1.764   |10.38    |K0                 |    ~     ~    |    1|  855.871   pc  | -10.2552    +10.2552  |paral   |2020yCat.1350....0G
59  |BD+81 334                                                                                                |High Proper Motion Star            |10 25 53.0844586752 +80 20 55.832691120|129.8824162349587 +34.7253311872291|   63.958 2.536   |10.53    |G0                 |    ~     ~    |    1|  213.662   pc  |  -0.5980     +0.5980  |paral   |2020yCat.1350....0G
60  |BD+80 315                                                                                                |Star                               |10 21 31.6702979016 +80 04 28.545281184|130.2708621705447 +34.8129372570728| -27.880 -4.500   |9.45     |K0                 |    ~     ~    |    1|  625.391   pc  |  -4.2240     +4.2240  |paral   |2020yCat.1350....0G
61  |BD+80 313                                                                                                |Star                               |10 15 57.5923702152 +79 28 10.044312528|130.9899190373478 +35.0956118614263|   3.234 13.278   |9.62     |F0                 |    ~     ~    |    1|  302.792   pc  |  -6.7387     +6.7387  |paral   |2020yCat.1350....0G
62  |BD+80 314                                                                                                |Star                               |10 20 45.5740433976 +79 25 24.807681264|130.8292632364527 +35.2777214288466|    0.857 3.084   |9.91     |K2                 |    ~     ~    |    1| 1120.574   pc  | -17.0773    +17.0773  |paral   |2020yCat.1350....0G
63  |BD+80 317                                                                                                |High Proper Motion Star            |10 22 17.1804072528 +79 26 11.835500244|130.7544609592086 +35.3144028279766| -49.362 25.837   |9.79     |F0                 |    ~     ~    |    1|  128.566   pc  |  -0.2430     +0.2430  |paral   |2020yCat.1350....0G
64  |HD 88295                                                                                                 |Star                               |10 16 17.2009515984 +78 56 49.139220984|131.4138611242157 +35.4873722242603|   22.148 8.935   |6.842    |A0                 |    ~     ~    |    1|  128.007   pc  |  -0.9340     +0.9340  |paral   |2020yCat.1350....0G
65  |HD 89069                                                                                                 |alpha2 CVn Variable                |10 21 16.0361505960 +78 45 51.457200984|131.3479275156178 +35.7847223225390|    3.200 7.780   |8.42     |~                  |0.0583 0.000   |    1|  314.100   pc  |  -2.2889     +2.2889  |paral   |2020yCat.1350....0G
66  |HD 89342                                                                                                 |Star                               |10 23 20.7811476888 +78 20 33.861225660|131.5998795626735 +36.1678303267709|-31.470 -10.941   |7.32     |K0                 |    ~     ~    |    1|  309.655   pc  |  -2.0520     +2.0520  |paral   |2020yCat.1350....0G
67  |BD+79 331                                                                                                |Star                               |10 28 03.7222942584 +78 21 01.591529400|131.3706085590585 +36.3180700783913|   7.256 -4.597   |9.74     |K2                 |    ~     ~    |    1| 1060.558   pc  | -16.6468    +16.6468  |paral   |2020yCat.1350....0G
68  |BD+78 342                                                                                                |High Proper Motion Star            |10 19 23.0995032648 +77 57 13.744305216|132.1107011318361 +36.3191172858280|-50.023 -42.006   |10.46    |F8                 |    ~     ~    |    1|  240.778   pc  |  -1.0435     +1.0435  |paral   |2020yCat.1350....0G
69  |TYC 4545-323-1                                                                                           |Star                               |10 22 23.3388009720 +77 54 24.949006056|132.0061206954028 +36.4597232369210|-16.702 -12.185   |10.27    |G5                 |    ~     ~    |    1|  381.854   pc  |  -2.6538     +2.6538  |paral   |2020yCat.1350....0G
70  |TYC 4545-555-1                                                                                           |Star                               |10 28 50.6410310040 +78 16 56.492264568|131.3876462311928 +36.3956221355488| -12.213 -6.039   |10.50    |G5                 |    ~     ~    |    1|  308.918   pc  |  -1.3360     +1.3360  |paral   |2020yCat.1350....0G
71  |BD+78 341                                                                                                |Star                               |10 19 05.3948204448 +77 40 40.835702280|132.3584760474738 +36.5103089597956|  -6.616 -4.278   |9.58     |G0                 |    ~     ~    |    1| 1119.821   pc  | -16.6782    +16.6782  |paral   |2020yCat.1350....0G
72  |BD+78 343                                                                                                |High Proper Motion Star            |10 19 54.1935811152 +77 40 41.673027396|132.3187699140783 +36.5397150907463|-41.729 -41.077   |10.31    |G5                 |    ~     ~    |    1|  105.298   pc  |  -0.1319     +0.1319  |paral   |2020yCat.1350....0G
73  |NGC 3212                           NGC 3212                                                              |Galaxy in Pair of Galaxies         |10 28 16.5973302600 +79 49 23.945053152|130.1960279723006 +35.1951277777647|    0.083 2.279   |     ~   |~                  |0.517 0.310    |    0|                |                       |        |                   
74  |StKM 1-839                                                                                               |Star                               |10 20 13.3558528776 +78 40 29.993303172|131.4684866873329 +35.8166995664719|-13.017 -10.812   |10.34    |K4                 |    ~     ~    |    1|  610.612   pc  |  -4.8470     +4.8470  |paral   |2020yCat.1350....0G
75  |NGC 3215                           NGC 3215                                                              |Galaxy in Pair of Galaxies         |10 28 40.6633308336 +79 48 47.208587580|130.1872367251764 +35.2142781592175|            ~ ~   |     ~   |~                  |0.830 0.548    |    0|                |                       |        |                   
76  |TYC 4545-310-1                                                                                           |Star                               |10 16 12.9984442536 +78 31 53.517820080|131.7676609699612 +35.7872582217133|   2.422 10.824   |10.93    |~                  |    ~     ~    |    1|  394.586   pc  |  -1.6660     +1.6660  |paral   |2020yCat.1350....0G
77  |TYC 4545-482-1                                                                                           |Star                               |10 27 17.2612186968 +78 03 08.536238244|131.6484822220102 +36.5191016789595|  -7.915 -1.107   |10.93    |~                  |    ~     ~    |    1|  595.522   pc  |  -4.8232     +4.8232  |paral   |2020yCat.1350....0G
78  |TYC 4545-637-1                                                                                           |Star                               |10 28 50.5027825944 +77 57 11.282690448|131.6521772742574 +36.6470107203876|  -6.516 -3.113   |10.34    |~                  |    ~     ~    |    1|  765.580   pc  |  -7.4436     +7.4436  |paral   |2020yCat.1350....0G
79  |TYC 4545-670-1                                                                                           |Star                               |10 15 20.5580683992 +77 51 42.339811788|132.3799053071737 +36.2404053629795| -2.948 -14.046   |10.76    |~                  |    ~     ~    |    1|  962.001   pc  | -10.1799    +10.1799  |paral   |2020yCat.1350....0G
80  |TYC 4545-924-1                                                                                           |High Proper Motion Star            |10 19 21.1834550184 +79 37 35.437788696|130.7215766716464 +35.0839963925486|-49.188 -59.658   |10.35    |~                  |    ~     ~    |    1|  188.939   pc  |  -0.5712     +0.5712  |paral   |2020yCat.1350....0G
81  |TYC 4545-929-1                                                                                           |Star                               |10 21 28.1381816256 +79 37 05.121209640|130.6415602483567 +35.1537599405827|  -1.870 -9.510   |10.09    |~                  |    ~     ~    |    1|  590.667   pc  | -16.8164    +16.8164  |paral   |2020yCat.1350....0G
82  |TYC 4545-1039-1                                                                                          |Star                               |10 29 09.7078155360 +79 54 59.208853860|130.0868983394910 +35.1479031299555|    7.355 3.212   |10.78    |~                  |    ~     ~    |    1| 1635.858   pc  | -29.9716    +29.9716  |paral   |2020yCat.1350....0G
83  |TYC 4545-1146-1                                                                                          |Star                               |10 16 38.8018430016 +79 30 14.061756600|130.9332048876307 +35.0917419541321| -14.918 -5.916   |10.41    |~                  |    ~     ~    |    1|  979.912   pc  | -12.7710    +12.7710  |paral   |2020yCat.1350....0G
84  |TYC 4545-1203-1                                                                                          |Star                               |10 27 27.7065650424 +79 21 26.684268588|130.5962465809468 +35.5296399072449|   1.886 -1.443   |10.41    |~                  |    ~     ~    |    1|  839.701   pc  |  -9.5188     +9.5188  |paral   |2020yCat.1350....0G
85  |TYC 4545-1218-1                                                                                          |Star                               |10 24 35.8802573232 +79 50 58.064816976|130.3273465854577 +35.0706902744521|    6.225 2.334   |10.12    |~                  |    ~     ~    |    1|  204.985   pc  |  -0.5715     +0.5715  |paral   |2020yCat.1350....0G
86  |TYC 4545-1395-1                                                                                          |Star                               |10 18 16.8909041280 +79 20 23.859566160|131.0016420019395 +35.2631411876023|  -4.857 -7.403   |10.91    |~                  |    ~     ~    |    1|  867.604   pc  |  -8.7317     +8.7317  |paral   |2020yCat.1350....0G
87  |TYC 4545-1536-1                                                                                          |Star                               |10 29 03.1623491976 +79 09 00.414030672|130.6895198527131 +35.7363388638091| -19.454 -0.588   |10.26    |~                  |    ~     ~    |    1|  269.825   pc  |  -0.9028     +0.9028  |paral   |2020yCat.1350....0G
88  |TYC 4545-1601-1                                                                                          |Star                               |10 29 37.7978247000 +78 36 55.007775576|131.0851223641255 +36.1655998604507|  3.270 -12.569   |10.48    |~                  |    ~     ~    |    1|  393.794   pc  |  -3.0549     +3.0549  |paral   |2020yCat.1350....0G
89  |TYC 4545-1646-1                                                                                          |Star                               |10 27 54.2890749120 +79 06 47.863857060|130.7697631024742 +35.7299656936050|    3.832 7.586   |10.54    |~                  |    ~     ~    |    1|  512.111   pc  | -11.6967    +11.6967  |paral   |2020yCat.1350....0G
90  |TYC 4545-1980-1                                                                                          |Star                               |10 29 28.3119845760 +78 54 18.462441492|130.8634383526154 +35.9376772237182|    2.766 3.866   |10.23    |~                  |    ~     ~    |    1|  569.833   pc  |  -4.8706     +4.8706  |paral   |2020yCat.1350....0G
91  |TYC 4548-294-1                                                                                           |High Proper Motion Star            |10 24 56.5152353520 +80 04 01.577705268|130.1410683232346 +34.9147893235954| 44.828 -32.494   |10.75    |~                  |    ~     ~    |    1|  221.553   pc  |  -1.5511     +1.5511  |paral   |2020yCat.1350....0G
92  |BD+77 398                                                                                                |Star                               |10 20 54.2803586496 +76 59 50.647258716|132.8473643885747 +37.0758521283974| -18.375 -2.253   |9.71     |K5                 |    ~     ~    |    1|  708.868   pc  |  -7.9394     +7.9394  |paral   |2020yCat.1350....0G
93  |HD 89969                                                                                                 |Star                               |10 26 50.0702995680 +76 19 08.966274060|133.1033788955547 +37.8077293816924|-11.057 -35.749   |9.05     |G5                 |    ~     ~    |    1|  425.731   pc  |  -2.7368     +2.7368  |paral   |2020yCat.1350....0G
94  |HD 90106                                                                                                 |Star                               |10 27 48.0871813248 +75 54 59.435508132|133.3876109359958 +38.1472757186356|  -3.736 -4.328   |8.36     |G5                 |    ~     ~    |    1|  386.250   pc  |  -2.2378     +2.2378  |paral   |2020yCat.1350....0G
95  |BD+76 390                                                                                                |Star                               |10 29 32.6253683640 +75 53 58.921583784|133.3004441593599 +38.2299555222922|-12.276 -10.458   |10.26    |F8                 |    ~     ~    |    1|  330.491   pc  |  -1.7257     +1.7257  |paral   |2020yCat.1350....0G
96  |HD 88636                                                                                                 |High Proper Motion Star            |10 17 49.6395632088 +77 27 56.640839904|132.6013043871544 +36.6181802172065| 17.747 -52.428   |8.93     |G5                 |    ~     ~    |    1|  396.684   pc  |  -2.2660     +2.2660  |paral   |2020yCat.1350....0G
97  |BD+78 346                                                                                                |High Proper Motion Star            |10 27 27.8179396344 +77 35 08.355200604|132.0196435089180 +36.8787550897661|-51.795 -49.673   |10.05    |G5                 |    ~     ~    |    1|  201.118   pc  |  -0.5622     +0.5622  |paral   |2020yCat.1350....0G
98  |HD 89616                                                                                                 |Star                               |10 24 29.9707845936 +76 39 53.248331592|132.9402244018405 +37.4593655585252| -11.988 -9.629   |9.12     |F8                 |    ~     ~    |    1|  376.265   pc  |  -3.6668     +3.6668  |paral   |2020yCat.1350....0G
99  |BD+77 400                                                                                                |High Proper Motion Star            |10 25 10.1121909144 +76 36 29.453295132|132.9518109004559 +37.5272960457106|-56.330 -47.024   |9.80     |F2                 |    ~     ~    |    1|  225.958   pc  |  -0.5769     +0.5769  |paral   |2020yCat.1350....0G
