C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:53:14

dec< 0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2790

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1649|TYC 9488-923-1                                                        |Star                              |23 11 28.0160122872 -81 38 09.324993696|307.2160923025036 -34.6437056464121|  14.163 -5.932   |10.361   |~                 |    ~     ~    |    1|  691.027   pc  | -18.2600    +18.2600    |ST-L    |2020AJ....160...83S
1650|TYC 9488-10-1                                                         |Star                              |23 11 53.3856922200 -82 01 16.724778312|306.9870427492823 -34.3074066260127|  10.090 -4.294   |10.597   |~                 |    ~     ~    |    1|  823.233   pc  | -30.5700    +30.5700    |ST-L    |2020AJ....160...83S
1651|TYC 9525-1600-1                                                       |Star                              |23 14 42.2705958240 -83 39 56.211744780|306.0167791623977 -32.8727862235459|  14.512 15.063   |10.230   |~                 |    ~     ~    |    1|  564.680   pc  | -17.1400    +17.1400    |ST-L    |2020AJ....160...83S
1652|TYC 9488-199-1                                                        |Star                              |23 01 26.8279955256 -82 21 37.121042556|307.1700190250759 -33.8408267447332|   9.972 -6.331   |10.562   |~                 |    ~     ~    |    1|  374.957   pc  |  -6.0780     +6.0780    |ST-L    |2020AJ....160...83S
1653|TYC 9488-848-1                                                        |Star                              |23 12 30.4998391704 -81 22 52.188256164|307.3156905391399 -34.8880129196567| 25.530 -21.902   |10.548   |~                 |    ~     ~    |    1|  311.092   pc  |  -5.4450     +5.4450    |ST-L    |2020AJ....160...83S
1654|TYC 9525-1118-1                                                       |Star                              |23 04 16.3634604312 -82 55 31.771157304|306.7442585295232 -33.3915057987039|   10.130 2.587   |10.648   |~                 |    ~     ~    |    1|  306.993   pc  |  -4.9750     +4.9750    |ST-L    |2020AJ....160...83S
1655|CD-81 859                                                             |High Proper Motion Star           |23 07 02.7337613400 -81 11 28.091999508|307.6469394050479 -34.9597599289783| 77.137 -47.287   |9.901    |K0                |    ~     ~    |    1|  114.023   pc  |  -0.6296     +0.6296    |ST-L    |2020AJ....160...83S
1656|HD 217978                                                             |Star                              |23 08 08.4300075528 -81 15 37.779550668|307.5619126815855 -34.9185813216626|   11.094 7.948   |9.08     |G8III             |    ~     ~    |    1|  461.787   pc  |  -3.1561     +3.1561    |paral   |2020yCat.1350....0G
1657|HD 217506                                                             |Long-Period Variable              |23 04 09.4100807568 -78 56 27.743346420|309.1418164232866 -36.8604703012433|   9.331 -5.944   |9.63     |M5/6              |    ~     ~    |    1| 1176.332   pc  | -43.7267    +43.7267    |paral   |2020yCat.1350....0G
1658|HD 217710                                                             |Star                              |23 05 20.0060543088 -78 33 53.822286648|309.3154004448452 -37.2147786051248| 15.411 -16.268   |9.91     |F2/3V             |    ~     ~    |    1|  265.035   pc  |  -4.5120     +4.5120    |ST-L    |2020AJ....160...83S
1659|HD 217729                                                             |Star                              |23 05 31.3594896048 -78 37 17.749953912|309.2697681285133 -37.1703380408008|   8.335 -2.917   |9.24     |K2                |    ~     ~    |    1|  557.383   pc  |  -4.0388     +4.0388    |paral   |2020yCat.1350....0G
1660|HD 217366                                                             |High Proper Motion Star           |23 03 20.3134900488 -79 17 16.069424316|308.9660996043010 -36.5412766881707| 74.182 -15.146   |9.56     |G3V               |    ~     ~    |    1|  113.097   pc  |  -0.6353     +0.6353    |ST-L    |2020AJ....160...83S
1661|HD 218065                                                             |Star                              |23 07 45.2043328032 -78 39 36.138188952|309.1260415011966 -37.1910691836690| 23.658 -19.253   |8.78     |F5II/III          |    ~     ~    |    1|  293.393   pc  |  -1.7388     +1.7388    |paral   |2020yCat.1350....0G
1662|HD 218374                                                             |High Proper Motion Star           |23 10 06.2948031576 -78 45 53.207256888|308.9360999769475 -37.1549498768452| 46.827 -40.840   |8.54     |K2III             |    ~     ~    |    1|  246.305   pc  |  -1.1102     +1.1102    |paral   |2020yCat.1350....0G
1663|CD-80 838                                                             |Star                              |23 08 03.0491297592 -79 23 42.448702776|308.6642733223479 -36.5553800520901|   16.583 0.448   |10.07    |B8                |    ~     ~    |    1|  353.243   pc  |  -6.9450     +6.9450    |ST-L    |2020AJ....160...83S
1664|HD 218108                                                             |High Proper Motion Star           |23 08 23.8404427608 -79 28 50.474822556|308.5956360281447 -36.4880701345597| 93.016 -35.907   |6.108    |A3/4V             |    ~     ~    |    1|   75.819   pc  |  -0.1357     +0.1357    |paral   |2020yCat.1350....0G
1665|CD-80 836                                                             |Star                              |23 02 02.2796791104 -79 53 12.937545888|308.6542576072292 -35.9942908549469|    9.105 6.050   |9.92     |~                 |    ~     ~    |    1|  332.111   pc  |  -4.9770     +4.9770    |ST-L    |2020AJ....160...83S
1666|HD 218109                                                             |Star                              |23 08 29.7491767680 -80 12 36.852865380|308.1580985948097 -35.8497100987893| 21.815 -16.363   |9.07     |K3III             |    ~     ~    |    1|  445.414   pc  |  -2.7775     +2.7775    |paral   |2020yCat.1350....0G
1667|CD-81 861                                                             |Double or Multiple Star           |23 10 21.533016 -80 44 21.97608        |307.767471889 -35.419365709        |       6.2 -3.3   |9.798    |F0                |    ~     ~    |    1|  579.910   pc  | -65.8300    +65.8300    |ST-L    |2020AJ....160...83S
1668|HD 218559                                                             |Star                              |23 12 12.5331196008 -80 54 45.709800300|307.5891553354812 -35.2997517941278| 27.897 -10.420   |6.41     |K4III             |    ~     ~    |    1|  212.382   pc  |  -0.8841     +0.8841    |paral   |2020yCat.1350....0G
1669|CD-81 863                                                             |Star                              |23 13 29.6290978272 -80 38 06.759810924|307.6880155298845 -35.5702374059100| 20.233 -17.124   |9.49     |F8                |    ~     ~    |    1|   92.581   pc  |  -1.0568     +1.0568    |paral   |2020yCat.1350....0G
1670|CD-79 923                                                             |Star                              |23 05 21.6148040496 -79 08 54.273468408|308.9507940263792 -36.7092567538189|   4.100 -5.585   |10.06    |~                 |    ~     ~    |    1|  608.164   pc  | -18.5600    +18.5600    |ST-L    |2020AJ....160...83S
1671|CD-80 840                                                             |Star                              |23 08 33.1865855808 -80 02 41.973365832|308.2527851077761 -35.9961076126409|  12.593 -7.559   |10.46    |~                 |    ~     ~    |    1| 2018.163   pc  | -50.0977    +50.0977    |paral   |2020yCat.1350....0G
1672|TYC 9480-892-1                                                        |Star                              |23 08 06.1897470264 -78 39 49.440343824|309.1049392389654 -37.1962254989041| 23.690 -17.229   |10.72    |~                 |    ~     ~    |    1|  297.469   pc  |  -4.0700     +4.0700    |ST-L    |2020AJ....160...83S
1673|TYC 9484-97-1                                                         |Star                              |23 13 21.9856190976 -79 16 40.782382248|308.4629666744292 -36.7747131638240|  48.094 -8.964   |10.88    |~                 |    ~     ~    |    1|  204.548   pc  |  -2.0040     +2.0040    |ST-L    |2020AJ....160...83S
1674|TYC 9484-117-1                                                        |Star                              |23 05 39.6056814144 -78 58 59.789271936|309.0375436248008 -36.8597376360797|   6.572 -1.025   |10.29    |~                 |    ~     ~    |    1|  636.319   pc  | -14.7900    +14.7900    |ST-L    |2020AJ....160...83S
1675|TYC 9484-148-1                                                        |Star                              |23 05 21.7707755400 -78 51 47.169415656|309.1276370291604 -36.9569778303204|   48.917 1.073   |10.59    |~                 |    ~     ~    |    1|  324.491   pc  |  -5.4570     +5.4570    |ST-L    |2020AJ....160...83S
1676|TYC 9484-249-1                                                        |Spectroscopic Binary              |23 02 23.0191188768 -80 30 33.667708824|308.2529579524606 -35.4637204329191|    0.395 3.127   |10.69    |~                 |    ~     ~    |    1|  379.630   pc  |  -8.8500     +8.8500    |ST-L    |2020AJ....160...83S
1677|TYC 9484-494-1                                                        |Star                              |23 02 37.4633606184 -80 09 44.159077188|308.4561040445265 -35.7691677852463|   18.802 2.876   |10.84    |~                 |    ~     ~    |    1|  230.629   pc  |  -2.6560     +2.6560    |ST-L    |2020AJ....160...83S
1678|TYC 9484-513-1                                                        |Star                              |23 00 16.9453982160 -80 05 39.962984748|308.6051234931899 -35.7768213120121| 16.416 -11.706   |10.32    |~                 |    ~     ~    |    1|  821.817   pc  | -33.2700    +33.2700    |ST-L    |2020AJ....160...83S
1679|TYC 9484-704-1                                                        |Star                              |23 12 36.9682960608 -79 13 33.260893284|308.5317903318373 -36.8046976955404| 30.909 -10.657   |10.50    |~                 |    ~     ~    |    1|  727.575   pc  | -22.6800    +22.6800    |ST-L    |2020AJ....160...83S
1680|TYC 9484-976-1                                                        |Star                              |23 14 29.1457985400 -80 20 19.824307260|307.8080251325995 -35.8531153239854|    6.625 6.916   |10.42    |~                 |    ~     ~    |    1|  742.584   pc  | -27.7200    +27.7200    |ST-L    |2020AJ....160...83S
1681|TYC 9484-992-1                                                        |Star                              |23 12 42.0446180136 -79 39 54.510443748|308.2740402958790 -36.4172219998086| 15.617 -21.193   |10.84    |~                 |    ~     ~    |    1|  274.636   pc  | -12.0300    +12.0300    |ST-L    |2020AJ....160...83S
1682|HD 218027                                                             |Spectroscopic Binary              |23 07 27.0447450096 -78 18 18.511556112|309.3613465481912 -37.4930344800016| -14.757 10.802   |9.39     |F6V               |    ~     ~    |    1|  205.086   pc  |  -0.5342     +0.5342    |paral   |2020yCat.1350....0G
1683|HD 218979                                                             |High Proper Motion Star           |23 14 42.8281195416 -78 17 48.307297272|308.9578553314339 -37.6757372406203|101.015 -82.286   |9.52     |G2/3III           |    ~     ~    |    1|  148.403   pc  |  -1.1610     +1.1610    |ST-L    |2020AJ....160...83S
1684|HD 218827                                                             |Double or Multiple Star           |23 13 25.81135 -78 20 46.6669          |309.00156939 -37.60173892          |   90.78 -46.98   |8.83     |G0IV              |    ~     ~    |    0|                |                         |        |                   
1685|HD 218864                                                             |Star                              |23 13 36.6817538736 -78 24 40.565393208|308.9532348848696 -37.5484744969462|   7.982 -2.565   |9.45     |K0                |    ~     ~    |    1|  457.834   pc  |  -2.6621     +2.6621    |paral   |2020yCat.1350....0G
1686|HD 219013                                                             |Star                              |23 14 52.9243686048 -78 20 06.222306120|308.9260336243540 -37.6456439479329|   11.554 8.465   |9.13     |K2                |    ~     ~    |    1|  496.500   pc  | -13.6814    +13.6814    |paral   |2020yCat.1350....0G
1687|CD-79 929                                                             |Star                              |23 13 19.4943927288 -78 28 18.972112368|308.9336674839797 -37.4880949256373| 16.830 -16.595   |10.29    |~                 |    ~     ~    |    1| 1002.010   pc  | -49.5600    +49.5600    |ST-L    |2020AJ....160...83S
1688|HD 218963                                                             |Star                              |23 14 18.7277792136 -76 40 24.365987040|309.9477390579048 -39.1018250201264|   24.109 2.329   |9.86     |G6/8              |    ~     ~    |    1|  829.531   pc  |  -7.5693     +7.5693    |paral   |2020yCat.1350....0G
1689|HD 218405                                                             |Double or Multiple Star           |23 10 05.4047 -77 34 15.029            |309.6628866 -38.2011993            |       6.2 -1.6   |9.70     |F5II/III          |    ~     ~    |    1|  340.370   pc  | -39.6600    +39.6600    |ST-L    |2020AJ....160...83S
1690|CD-78 1043                                                            |Star                              |23 08 28.8559855128 -77 39 19.686100356|309.7061730936914 -38.0852275156046|   4.523 -4.835   |10.20    |~                 |    ~     ~    |    1|  995.984   pc  | -48.2700    +48.2700    |ST-L    |2020AJ....160...83S
1691|HD 218842                                                             |Star                              |23 13 21.8198952744 -77 16 40.733913216|309.6420263855853 -38.5436104209014|    1.335 4.591   |9.08     |K2III             |    ~     ~    |    1|  863.334   pc  | -12.8945    +12.8945    |paral   |2020yCat.1350....0G
1692|HD 218948                                                             |Star                              |23 14 10.7111169888 -76 55 01.007956020|309.8087720762754 -38.8834439952641|   -1.085 0.968   |9.38     |G8/K1III          |    ~     ~    |    1|  526.039   pc  | -10.2662    +10.2662    |paral   |2020yCat.1350....0G
1693|HD 218512                                                             |Star                              |23 10 53.1890767488 -77 36 56.113525080|309.5877352924431 -38.1826679291536|   -1.098 1.282   |10.24    |F2                |    ~     ~    |    1|  272.459   pc  |  -4.6650     +4.6650    |ST-L    |2020AJ....160...83S
1694|HD 218657                                                             |Star                              |23 11 58.6653145152 -77 46 59.252498256|309.4210183960695 -38.0633123420042|    8.272 5.571   |9.05     |K5/M0             |    ~     ~    |    1| 1294.834   pc  | -37.2204    +37.2204    |paral   |2020yCat.1350....0G
1695|TYC 9480-641-1                                                        |Star                              |23 10 13.8029217168 -78 26 35.984308776|309.1226048646008 -37.4401812542591| 10.814 -18.776   |10.81    |~                 |    ~     ~    |    1|  845.201   pc  | -32.8500    +32.8500    |ST-L    |2020AJ....160...83S
1696|TYC 9480-701-1                                                        |Star                              |23 12 56.1563825952 -77 52 44.673893400|309.3069185590481 -38.0026551134799| -10.915 -4.570   |10.95    |~                 |    ~     ~    |    1|  457.041   pc  | -10.3500    +10.3500    |ST-L    |2020AJ....160...83S
1697|TYC 9480-717-1                                                        |Star                              |23 06 14.2186279104 -78 18 34.333422444|309.4259737859934 -37.4588212223087|  46.166 -3.939   |10.52    |~                 |    ~     ~    |    1|  274.955   pc  |  -4.1480     +4.1480    |ST-L    |2020AJ....160...83S
1698|TYC 9480-901-1                                                        |Spectroscopic Binary              |23 07 16.7854794552 -77 57 41.356587672|309.5849668228535 -37.7876864376349|   49.226 2.202   |10.70    |~                 |    ~     ~    |    1|  156.906   pc  |  -1.3250     +1.3250    |ST-L    |2020AJ....160...83S
1699|CD-79 922                                                             |High Proper Motion Star           |23 04 04.9487883120 -78 24 27.964840788|309.4824167060972 -37.3193558467526|  154.542 4.147   |10.35    |~                 |    ~     ~    |    1|  179.454   pc  |  -3.6920     +3.6920    |ST-L    |2020AJ....160...83S
1700|HD 217033                                                             |Spectroscopic Binary              |23 00 02.7370134768 -75 53 40.504304832|311.3973172744529 -39.3467896216963|  24.659 14.322   |9.84     |F6V               |    ~     ~    |    1|  170.654   pc  |  -2.1260     +2.1260    |paral   |2020yCat.1350....0G
1701|HD 217750                                                             |Star                              |23 05 06.2466684840 -75 45 40.423542192|311.1475877037363 -39.6233709572097|  27.489 33.146   |9.15     |G8IV              |    ~     ~    |    1|  178.161   pc  |  -0.4507     +0.4507    |paral   |2020yCat.1350....0G
1702|CD-76 1149                                                            |Star                              |23 07 18.8160526368 -76 08 42.495024084|310.7439909543820 -39.3619297725683|  39.352 12.353   |10.166   |F8                |    ~     ~    |    1|  201.286   pc  |  -2.1250     +2.1250    |ST-L    |2020AJ....160...83S
1703|CD-76 1150                                                            |Star                              |23 09 09.2613952272 -75 50 56.416725348|310.8119184647592 -39.6739342699511|  15.002 -1.122   |9.92     |K5                |    ~     ~    |    1|  657.895   pc  |  -5.9730     +5.9730    |paral   |2020yCat.1350....0G
1704|HD 218341                                                             |Star                              |23 09 12.0820143984 -75 53 52.522443852|310.7769951612524 -39.6329677706863| 22.946 -17.928   |8.44     |K1III+G           |    ~     ~    |    1|  305.111   pc  |  -1.7967     +1.7967    |paral   |2020yCat.1350....0G
1705|HD 217632                                                             |Star                              |23 04 46.1185311216 -77 07 45.871484412|310.2648582222109 -38.4392415074240| 35.023 -25.058   |10.07    |G2/3V             |    ~     ~    |    1|  157.075   pc  |  -1.2410     +1.2410    |ST-L    |2020AJ....160...83S
1706|HD 217689                                                             |Star                              |23 04 53.9743382016 -76 55 43.151379960|310.3877327920469 -38.6156404767681| 20.285 -14.738   |8.32     |M1III             |    ~     ~    |    1|  533.960   pc  |  -5.1320     +5.1320    |paral   |2020yCat.1350....0G
1707|CD-77 1147                                                            |Star                              |23 08 19.1556297336 -76 57 43.451706816|310.1525296598398 -38.6839484249502|   -2.631 1.328   |10.417   |F5                |    ~     ~    |    1|  482.490   pc  | -11.6300    +11.6300    |ST-L    |2020AJ....160...83S
1708|V* DP Oct                                                             |Long-Period Variable              |23 10 45.7881626568 -76 27 47.695979160|310.3109426071199 -39.1872876461046| -22.806 -1.656   |7.96     |M4III             |    ~     ~    |    1|  379.737   pc  |  -2.4802     +2.4802    |paral   |2020yCat.1350....0G
1709|HD 218534                                                             |High Proper Motion Star           |23 10 57.0625386336 -76 50 34.629298656|310.0608321839706 -38.8608861507777|-53.747 -11.416   |10.151   |F7V               |    ~     ~    |    1|  179.960   pc  |  -1.6550     +1.6550    |ST-L    |2020AJ....160...83S
1710|CD-78 1036                                                            |Star                              |23 00 11.5565608704 -77 25 00.656317092|310.3493878883565 -38.0627788021860|   10.804 8.335   |10.458   |G0                |    ~     ~    |    1|  166.380   pc  |  -1.4090     +1.4090    |ST-L    |2020AJ....160...83S
1711|HD 218841                                                             |Star                              |23 13 01.5958443312 -75 39 24.754259448|310.6646350471258 -39.9583129638448| -13.981 -1.517   |9.43     |K2                |    ~     ~    |    1|  648.803   pc  |  -5.8932     +5.8932    |paral   |2020yCat.1350....0G
1712|CD-76 1144                                                            |Star                              |23 00 54.2928233232 -75 44 45.130132248|311.4430634555869 -39.5005311574298| 14.695 -20.511   |10.63    |~                 |    ~     ~    |    1|  773.694   pc  |  -8.0811     +8.0811    |paral   |2020yCat.1350....0G
1713|CD-76 1146                                                            |High Proper Motion Star           |23 01 41.5999356864 -75 45 34.717192560|311.3803537440967 -39.5147475734098|  85.697 20.906   |10.98    |~                 |    ~     ~    |    1|  109.541   pc  |  -0.1620     +0.1620    |paral   |2020yCat.1350....0G
1714|TYC 9476-2862-1                                                       |Star                              |23 06 07.6867320192 -76 23 43.312833816|310.6585018764864 -39.1105798864333|   5.623 -7.367   |10.667   |~                 |    ~     ~    |    1|  306.426   pc  |  -4.4230     +4.4230    |ST-L    |2020AJ....160...83S
1715|TYC 9480-890-1                                                        |Star                              |23 07 14.5655824944 -77 40 49.007753508|309.7636401758878 -38.0310158295942|-19.247 -27.775   |10.499   |~                 |    ~     ~    |    1|  672.892   pc  | -21.0800    +21.0800    |ST-L    |2020AJ....160...83S
1716|CD-76 1152                                                            |Star                              |23 10 13.6426477536 -76 02 16.648961676|310.6168027166915 -39.5422088467942|  -3.333 -6.803   |10.215   |~                 |    ~     ~    |    1|  747.581   pc  | -27.7400    +27.7400    |ST-L    |2020AJ....160...83S
1717|TYC 9480-96-1                                                         |Star                              |23 09 40.8074276040 -77 05 54.371546304|309.9814554041337 -38.6028772908360|-12.899 -10.534   |10.865   |~                 |    ~     ~    |    1|  312.963   pc  |  -4.9240     +4.9240    |ST-L    |2020AJ....160...83S
1718|TYC 9480-866-1                                                        |Star                              |23 01 44.0492203488 -78 02 23.139216492|309.8490998092185 -37.5743730440632|  13.219 -4.005   |10.31    |~                 |    ~     ~    |    1| 1098.539   pc  | -18.4639    +18.4639    |paral   |2020yCat.1350....0G
1719|HD 217193                                                             |Star                              |23 01 10.2494748672 -75 28 22.416779316|311.6146417684214 -39.7399501278604|   -7.673 9.723   |9.09     |K5/M0             |    ~     ~    |    1|  750.638   pc  |  -8.7336     +8.7336    |paral   |2020yCat.1350....0G
1720|CD-76 1154                                                            |Star                              |23 14 51.6825599424 -75 34 28.607566836|310.5855852098347 -40.0851479768745|-31.663 -23.791   |10.188   |G5                |    ~     ~    |    1|  261.904   pc  |  -3.5380     +3.5380    |ST-L    |2020AJ....160...83S
1721|CD-75 1267                                                            |Star                              |23 03 33.5150549760 -75 17 29.323053420|311.5738944855599 -39.9736749622177|   4.276 -5.221   |10.03    |~                 |    ~     ~    |    1|  812.018   pc  |  -8.1762     +8.1762    |paral   |2020yCat.1350....0G
1722|CD-73 1635                                                            |Star                              |23 00 26.7727382328 -72 48 54.181802736|313.5888713975561 -41.9392072847549|    5.055 5.025   |9.56     |~                 |    ~     ~    |    1|  590.905   pc  | -17.1700    +17.1700    |ST-L    |2020AJ....160...83S
1723|HD 217991                                                             |Star                              |23 06 18.0741816840 -72 58 16.585671180|312.9884504392941 -42.0423213655860|   12.727 2.073   |8.95     |A2mA7-A9          |    ~     ~    |    1|  231.380   pc  |  -2.9445     +2.9445    |paral   |2020yCat.1350....0G
1724|HD 219012                                                             |Star                              |23 14 06.8253301560 -73 09 01.518015240|312.2061237171577 -42.1803873612334|-18.163 -10.369   |8.48     |K2/3III           |    ~     ~    |    1|  507.666   pc  |  -4.0205     +4.0205    |paral   |2020yCat.1350....0G
1725|HD 219062                                                             |Star                              |23 14 30.3878475144 -73 18 50.719817664|312.0640511969495 -42.0520026192195|   4.638 -6.859   |8.95     |K0III             |    ~     ~    |    1|  398.676   pc  |  -2.2570     +2.2570    |paral   |2020yCat.1350....0G
1726|CD-74 1531                                                            |Star                              |23 01 42.9660571440 -73 36 07.743236760|312.9056553165098 -41.3332288353339|       30.8 1.3   |9.88     |~                 |    ~     ~    |    1|  237.327   pc  | -40.996     +40.996     |ST-L    |2017AJ....153...75K
1727|HD 218288                                                             |Star                              |23 08 35.5958111232 -73 35 10.025542824|312.3680074492894 -41.6047867498336|  22.994 -2.554   |6.150    |K3III             |    ~     ~    |    1|  238.294   pc  |  -1.4253     +1.4253    |paral   |2020yCat.1350....0G
1728|CD-74 1538                                                            |Spectroscopic Binary              |23 13 06.2318300784 -73 31 30.117372744|312.0407834755409 -41.8191729721998|  -0.767 -2.453   |9.67     |~                 |    ~     ~    |    1|  571.070   pc  |  -3.4895     +3.4895    |paral   |2020yCat.1350....0G
1729|HD 217223                                                             |Star                              |23 01 18.0133944744 -74 03 34.518812868|312.6066898434102 -40.9339987497873|    8.158 2.023   |9.66     |G8(III)           |    ~     ~    |    1|  605.694   pc  |  -4.5491     +4.5491    |paral   |2020yCat.1350....0G
1730|HD 218167                                                             |High Proper Motion Star           |23 07 33.7028557608 -74 01 48.250186104|312.1440299847815 -41.1876132081972|-104.600 48.182   |9.84     |G2/3V             |    ~     ~    |    1|   90.846   pc  |  -0.4483     +0.4483    |ST-L    |2020AJ....160...83S
1731|HD 218712                                                             |Star                              |23 11 50.9110836624 -73 55 10.162778916|311.8798682446743 -41.4333420619731|   7.589 -6.302   |9.66     |G6/8(III)         |    ~     ~    |    1|  603.792   pc  |  -6.0153     +6.0153    |paral   |2020yCat.1350....0G
1732|HD 217293                                                             |High Proper Motion Star           |23 01 54.7809916392 -74 42 49.687915500|312.0942805394772 -40.4061254779876| 69.797 -19.515   |8.83     |F3V               |    ~     ~    |    1|  134.034   pc  |  -0.3395     +0.3395    |paral   |2020yCat.1350....0G
1733|HD 217552                                                             |Star                              |23 03 31.8841478184 -74 33 29.918173284|312.0844626734212 -40.5948392600401|  12.896 -2.406   |9.66     |G5/6III/IV        |    ~     ~    |    1|  803.536   pc  | -26.8598    +26.8598    |paral   |2020yCat.1350....0G
1734|HD 217917                                                             |Double or Multiple Star           |23 06 01.3229682456 -74 45 58.083833880|311.7563008396962 -40.5046209094822|  15.761 -8.864   |8.83     |A2mA5-A8          |    ~     ~    |    1|  218.012   pc  |  -0.8032     +0.8032    |paral   |2020yCat.1350....0G
1735|HD 218107                                                             |Star                              |23 07 21.0753086352 -75 01 04.288369980|311.4882669476440 -40.3336669465173| -29.108 -7.415   |9.76     |F5V               |    ~     ~    |    1|  290.827   pc  | -14.7500    +14.7500    |ST-L    |2020AJ....160...83S
1736|HD 218465                                                             |High Proper Motion Star           |23 10 07.9999946160 -74 36 26.973315180|311.5557268296695 -40.7797237679396|  63.713 40.458   |9.43     |G2/3V             |    ~     ~    |    1|   72.774   pc  |  -0.0588     +0.0588    |paral   |2020yCat.1350....0G
1737|HD 218736                                                             |Double or Multiple Star           |23 12 12.5293960728 -75 08 59.074607544|311.0465791646203 -40.3762270512865|    3.164 2.030   |10.304   |A0/1V             |    ~     ~    |    1|  485.885   pc  |  -4.2259     +4.2259    |paral   |2020yCat.1350....0G
1738|HD 218778                                                             |Star                              |23 12 29.1480888792 -74 54 24.232014324|311.1827479030113 -40.5967927154023|   6.769 -2.445   |9.43     |G5                |    ~     ~    |    1|  541.038   pc  |  -3.7468     +3.7468    |paral   |2020yCat.1350....0G
1739|HD 218891                                                             |High Proper Motion Star           |23 13 13.9380701256 -74 19 40.477512576|311.5012667901931 -41.1254270323600| 73.843 -67.936   |9.92     |G3/5              |    ~     ~    |    1|  124.097   pc  |  -0.7681     +0.7681    |ST-L    |2020AJ....160...83S
1740|TYC 9344-2114-1                                                       |High Proper Motion Star           |23 02 51.3272138160 -74 20 49.554784356|312.2836237119320 -40.7492565607992|15.772 -124.705   |10.349   |~                 |    ~     ~    |    1|  121.573   pc  |  -0.7242     +0.7242    |ST-L    |2020AJ....160...83S
1741|TYC 9344-2828-1                                                       |Star                              |23 03 23.7297292056 -74 45 04.973401116|311.9595540065151 -40.4264983618290|    5.820 1.053   |10.481   |~                 |    ~     ~    |    1| 1478.460   pc  |-107.3000   +107.3000    |ST-L    |2020AJ....160...83S
1742|TYC 9344-1134-1                                                       |Star                              |23 08 04.8626089056 -73 34 31.406946024|312.4168493588017 -41.5952332727436| 10.302 -12.924   |10.650   |~                 |    ~     ~    |    1|  920.738   pc  | -29.3700    +29.3700    |ST-L    |2020AJ....160...83S
1743|CD-75 1273                                                            |Star                              |23 09 46.0947649056 -75 15 03.944790360|311.1583010917693 -40.2109970203831|  15.625 -0.274   |9.99     |~                 |    ~     ~    |    1|  829.669   pc  |  -7.9160     +7.9160    |paral   |2020yCat.1350....0G
1744|CD-75 1275                                                            |High Proper Motion Star           |23 11 38.4152614320 -75 10 54.902575416|311.0674288631619 -40.3303240722561|-47.842 -37.315   |10.337   |~                 |    ~     ~    |    1|  207.447   pc  |  -2.3540     +2.3540    |ST-L    |2020AJ....160...83S
1745|CD-75 1278                                                            |Star                              |23 13 03.4433448648 -75 08 23.906920524|310.9905242462860 -40.4113109647250|   3.362 -6.118   |10.215   |~                 |    ~     ~    |    1|  747.369   pc  | -24.7800    +24.7800    |ST-L    |2020AJ....160...83S
1746|CD-75 1280                                                            |Star                              |23 13 21.6027567600 -74 34 53.783478372|311.3266824298743 -40.9084405590863|  -2.458 -8.669   |10.03    |~                 |    ~     ~    |    1| 1384.850   pc  | -22.4384    +22.4384    |paral   |2020yCat.1350....0G
1747|TYC 9344-2031-1                                                       |Star                              |23 13 29.2000004280 -73 19 43.829040108|312.1398710356037 -42.0030170938594| -11.131 -9.474   |10.327   |~                 |    ~     ~    |    1|  558.188   pc  | -15.6100    +15.6100    |ST-L    |2020AJ....160...83S
1748|CD-73 1648                                                            |Star                              |23 13 31.5185066640 -72 59 56.968165356|312.3577995745474 -42.2904047521304|    1.875 2.264   |10.577   |~                 |    ~     ~    |    1| 1002.820   pc  | -50.3800    +50.3800    |ST-L    |2020AJ....160...83S
1749|TYC 9344-2438-1                                                       |Star                              |23 13 58.9624878744 -74 35 32.999667720|311.2718512324784 -40.9190883434747|  11.572 -2.565   |10.75    |~                 |    ~     ~    |    1| 2214.349   pc  | -79.9245    +79.9245    |paral   |2020yCat.1350....0G
1750|TYC 9344-2974-1                                                       |Star                              |23 14 33.5377135440 -73 43 20.397067680|311.7907837988142 -41.6980606264953|   -4.925 2.760   |10.451   |~                 |    ~     ~    |    1|  874.181   pc  | -40.4600    +40.4600    |ST-L    |2020AJ....160...83S
1751|TYC 9344-937-1                                                        |Star                              |23 07 26.4902127000 -74 25 59.842866000|311.8771521807423 -40.8381830586048|  7.463 -12.272   |10.791   |~                 |    ~     ~    |    1|  672.220   pc  | -22.3300    +22.3300    |ST-L    |2020AJ....160...83S
1752|TYC 9344-952-1                                                        |Star                              |23 03 49.1001687480 -74 13 37.169470704|312.2956152936698 -40.8856134707231|   5.508 -5.736   |10.544   |~                 |    ~     ~    |    1|  823.743   pc  | -29.8300    +29.8300    |ST-L    |2020AJ....160...83S
