C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
31  |BD+82 445                                                                                                                                                                                                                                            |Spectroscopic Binary               |15 05 48.5281339104 +82 20 07.924386048|117.8596830055685 +33.4209142859350| -13.776 38.558   |10.11    |F5              |    ~     ~    |    1|  133.058   pc  |  -0.9808     +0.9808  |paral   |2020yCat.1350....0G
32  |TYC 4565-516-1                                                                                                                                                                                                                                       |Star                               |15 02 41.6241062424 +82 16 21.449804880|117.9170822384413 +33.5329020316463| -0.169 -17.997   |10.75    |~               |    ~     ~    |    1|  453.330   pc  |  -2.2811     +2.2811  |paral   |2020yCat.1350....0G
33  |TYC 4634-922-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 03 42.4494111384 +83 44 24.136676772|118.8950318849857 +32.3161590918395|   17.831 7.632   |10.84    |~               |    ~     ~    |    1|  229.880   pc  |  -6.7060     +6.7060  |paral   |2020yCat.1350....0G
34  |TYC 4634-1924-1                                                                                                                                                                                                                                      |Star                               |15 08 56.9669241216 +83 02 50.835913548|118.2684614133963 +32.7888285408018|   2.611 -5.263   |10.89    |~               |    ~     ~    |    1|  897.505   pc  | -10.1495    +10.1495  |paral   |2020yCat.1350....0G
35  |BD+79 461                                                                                                                                                                                                                                            |Star                               |15 08 53.3642254776 +78 30 23.699354652|114.9012467430515 +36.3863089337164| -25.264 -2.180   |10.03    |K0              |    ~     ~    |    1|  515.810   pc  |  -3.6450     +3.6450  |paral   |2020yCat.1350....0G
36  |BD+79 463                                                                                                                                                                                                                                            |High Proper Motion Star            |15 13 09.3167531856 +78 41 11.154808896|114.8392741324492 +36.1137186893965| -58.299 34.518   |9.74     |F8              |    ~     ~    |    1|  244.948   pc  |  -0.6840     +0.6840  |paral   |2020yCat.1350....0G
37  |HD 135180                                                                                                                                                                                                                                            |Star                               |15 05 54.4149081264 +78 24 25.365013056|114.9704268880803 +36.5568196580535| -15.147 -4.517   |8.29     |K0              |    ~     ~    |    1|  350.165   pc  |  -1.8515     +1.8515  |paral   |2020yCat.1350....0G
38  |HD 136401                                                                                                                                                                                                                                            |Star                               |15 12 24.7989255768 +78 23 27.488683572|114.6406635444222 +36.3647080912706|   4.219 -6.710   |8.37     |F5              |    ~     ~    |    1|  138.939   pc  |  -0.4054     +0.4054  |paral   |2020yCat.1350....0G
39  |TYC 4562-458-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 05 47.9968710672 +78 14 08.902242528|114.8447958560753 +36.6953357880226| 89.118 -83.068   |10.25    |~               |    ~     ~    |    1|   99.521   pc  |  -0.1070     +0.1070  |paral   |2020yCat.1350....0G
40  |TYC 4562-668-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 03 53.3186916312 +78 14 20.158697940|114.9434340829824 +36.7523221664329| 38.777 -31.166   |10.13    |~               |    ~     ~    |    1|  148.734   pc  |  -0.3429     +0.3429  |paral   |2020yCat.1350....0G
41  |TYC 4563-409-1                                                                                                                                                                                                                                       |Star                               |15 13 41.9459693424 +77 41 54.820214556|114.0230179135077 +36.8526065724346|  3.554 -14.047   |10.01    |~               |    ~     ~    |    1|  291.367   pc  |  -1.1376     +1.1376  |paral   |2020yCat.1350....0G
42  |TYC 4563-1161-1                                                                                                                                                                                                                                      |Star                               |15 14 51.5850705672 +77 47 56.227613172|114.0458262694139 +36.7362630548574|  -3.354 -4.427   |10.16    |~               |    ~     ~    |    1| 1851.509   pc  | -37.3661    +37.3661  |paral   |2020yCat.1350....0G
43  |TYC 4563-1474-1                                                                                                                                                                                                                                      |Star                               |15 09 31.6889953584 +78 24 18.833984532|114.7914842617664 +36.4453962517108| -2.880 -24.720   |10.66    |~               |    ~     ~    |    1|  329.229   pc  |  -1.3007     +1.3007  |paral   |2020yCat.1350....0G
44  |BD+82 444                                                                                                                                                                                                                                            |Star                               |15 06 14.3127952728 +81 47 52.715771124|117.4629446544511 +33.8452666152664| -11.944 -3.298   |10.28    |F8              |    ~     ~    |    1|  277.500   pc  |  -1.2398     +1.2398  |paral   |2020yCat.1350....0G
45  |BD+82 447                                                                                                                                                                                                                                            |Star                               |15 08 47.1561240648 +81 43 20.170264332|117.3203382057818 +33.8511388333900|   6.043 -6.459   |10.24    |K2              |    ~     ~    |    1| 1179.523   pc  | -15.4432    +15.4432  |paral   |2020yCat.1350....0G
46  |BD+82 442                                                                                                                                                                                                                                            |Star                               |15 03 04.3612901808 +81 32 44.650934628|117.3953752145686 +34.1166046483521|  -0.211 14.368   |10.45    |K0              |    ~     ~    |    1|  812.282   pc  |  -8.0496     +8.0496  |paral   |2020yCat.1350....0G
47  |BD+81 500                                                                                                                                                                                                                                            |Star                               |15 00 05.8758620232 +81 17 28.020525504|117.3264410739067 +34.3884434960390|  -0.164 -7.745   |10.40    |K2              |    ~     ~    |    1|  836.610   pc  |  -6.3692     +6.3692  |paral   |2020yCat.1350....0G
48  |BD+81 501                                                                                                                                                                                                                                            |Star                               |15 02 14.6831140800 +81 10 39.945633780|117.1660889691477 +34.4335785146753|  2.424 -42.170   |10.20    |G5              |    ~     ~    |    1|  179.524   pc  |  -0.7606     +0.7606  |paral   |2020yCat.1350....0G
49  |BD+81 502                                                                                                                                                                                                                                            |Star                               |15 04 45.9015725352 +80 59 11.832597420|116.9338552523478 +34.5306790949764|   9.615 -4.641   |10.21    |G5              |    ~     ~    |    1|  111.911   pc  |  -0.1428     +0.1428  |paral   |2020yCat.1350....0G
50  |HD 136673                                                                                                                                                                                                                                            |Star                               |15 11 37.8078198408 +80 41 42.580855428|116.4553821280119 +34.5962889565851|  -1.603 19.696   |8.96     |G0              |    ~     ~    |    1|  106.913   pc  |  -0.1909     +0.1909  |paral   |2020yCat.1350....0G
51  |BD+81 505                                                                                                                                                                                                                                            |Star                               |15 14 51.4877680272 +80 37 07.716174132|116.2732691738361 +34.5736207265025| 15.270 -14.889   |9.61     |F5              |    ~     ~    |    1|  311.139   pc  |  -1.3166     +1.3166  |paral   |2020yCat.1350....0G
52  |HD 135573                                                                                                                                                                                                                                            |Star                               |15 06 24.3988182720 +80 01 11.137068444|116.1610131368439 +35.2639029251392|  -1.463 10.508   |8.50     |K0              |    ~     ~    |    1|  524.852   pc  |  -4.0769     +4.0769  |paral   |2020yCat.1350....0G
53  |HD 136078                                                                                                                                                                                                                                            |Star                               |15 08 59.6443132920 +80 12 30.825640260|116.1941518978274 +35.0465450971340| -13.457 37.442   |8.03     |K0              |    ~     ~    |    1|  406.653   pc  |  -2.3317     +2.3317  |paral   |2020yCat.1350....0G
54  |HD 137225                                                                                                                                                                                                                                            |Star                               |15 14 48.3822775608 +80 15 30.004533252|115.9972270894627 +34.8537275473794| 10.016 -12.778   |8.58     |K0              |    ~     ~    |    1|  505.817   pc  |  -5.3985     +5.3985  |paral   |2020yCat.1350....0G
55  |HD 134492                                                                                                                                                                                                                                            |High Proper Motion Star            |15 01 29.1790430136 +79 27 46.655200764|115.9677692690542 +35.8411924554023| -7.868 -54.640   |9.00     |G5              |    ~     ~    |    1|  199.033   pc  |  -0.4754     +0.4754  |paral   |2020yCat.1350....0G
56  |HD 134880                                                                                                                                                                                                                                            |Star                               |15 03 44.4081405864 +79 11 16.433799792|115.6620378930311 +36.0000915201257| -36.676 12.326   |8.96     |F               |    ~     ~    |    1|  203.042   pc  |  -0.5607     +0.5607  |paral   |2020yCat.1350....0G
57  |BD+79 459                                                                                                                                                                                                                                            |Star                               |15 05 14.4339607128 +79 03 34.183496736|115.4964217573890 +36.0597409403037| 24.748 -30.571   |9.37     |G0              |    ~     ~    |    1|  178.929   pc  |  -0.3682     +0.3682  |paral   |2020yCat.1350....0G
58  |BD+79 462                                                                                                                                                                                                                                            |Star                               |15 11 36.6427703496 +79 13 46.267485744|115.3351863853274 +35.7406879988192|  -18.444 0.271   |9.97     |F8              |    ~     ~    |    1|  278.056   pc  |  -0.9046     +0.9046  |paral   |2020yCat.1350....0G
59  |TYC 4563-517-1                                                                                                                                                                                                                                       |Star                               |15 11 05.2300629912 +79 28 02.220880116|115.5420983233611 +35.5708290664822|   -9.733 2.082   |10.40    |~               |    ~     ~    |    1| 1601.537   pc  | -41.8082    +41.8082  |paral   |2020yCat.1350....0G
60  |TYC 4563-2270-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 13 08.1277875672 +79 20 07.434909960|115.3499490951048 +35.6138346573512| 48.399 -40.484   |10.80    |~               |    ~     ~    |    1|   86.679   pc  |  -0.0789     +0.0789  |paral   |2020yCat.1350....0G
61  |TYC 4563-2453-1                                                                                                                                                                                                                                      |Star                               |15 07 04.2334744224 +78 35 42.097250220|115.0573233016480 +36.3729280073068|  -4.823 -0.764   |9.95     |~               |    ~     ~    |    1| 1047.340   pc  | -13.6018    +13.6018  |paral   |2020yCat.1350....0G
62  |TYC 4565-1399-1                                                                                                                                                                                                                                      |Star                               |15 04 13.2160323000 +81 18 58.938750972|117.1907859642905 +34.2772296500402|  -22.883 4.357   |10.96    |~               |    ~     ~    |    1|  208.633   pc  |  -0.4745     +0.4745  |paral   |2020yCat.1350....0G
63  |TYC 4566-101-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 14 48.1718328000 +80 06 13.229088948|115.8775067466708 +34.9732340835214| -38.206 51.538   |10.83    |~               |    ~     ~    |    1|  235.383   pc  |  -0.4820     +0.4820  |paral   |2020yCat.1350....0G
64  |TYC 4566-1253-1                                                                                                                                                                                                                                      |Star                               |15 07 06.1594464000 +81 37 51.557263896|117.3128028772331 +33.9607017164021| -2.274 -10.151   |10.85    |~               |    ~     ~    |    1|  307.664   pc  |  -0.9655     +0.9655  |paral   |2020yCat.1350....0G
65  |TYC 4566-1629-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 07 08.5277761368 +80 54 42.341231916|116.7885600527812 +34.5347270509957| -60.341 63.988   |10.77    |~               |    ~     ~    |    1|  136.502   pc  |  -0.1789     +0.1789  |paral   |2020yCat.1350....0G
66  |BD+75 555                                                                                                                                                                                                                                            |Star                               |15 08 50.9123735688 +74 42 29.050721964|111.8410015640609 +39.3178631606137|   4.491 -0.583   |10.17    |A5              |    ~     ~    |    1|  470.677   pc  |  -4.3421     +4.3421  |paral   |2020yCat.1350....0G
67  |BD+75 554                                                                                                                                                                                                                                            |Star                               |15 07 34.3960699008 +74 34 56.318118456|111.8189600648528 +39.4683691731391|   -8.395 2.542   |9.63     |A2              |    ~     ~    |    1|  393.902   pc  |  -2.4360     +2.4360  |paral   |2020yCat.1350....0G
68  |BD+74 606                                                                                                                                                                                                                                            |Star                               |15 11 42.6017113200 +73 52 40.505737152|110.9436981570858 +39.8160359258794| 19.279 -18.113   |10.40    |K0              |    ~     ~    |    1|  553.403   pc  |  -4.3795     +4.3795  |paral   |2020yCat.1350....0G
69  |HD 136323                                                                                                                                                                                                                                            |Star                               |15 14 26.9403689904 +73 20 22.788771288|110.2848691118866 +40.0842944712114|   5.928 -1.614   |8.86     |A2              |    ~     ~    |    1|  216.535   pc  |  -0.8065     +0.8065  |paral   |2020yCat.1350....0G
