C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1090|HD 133314                                                                                                                                                                                                                                            |Star                               |15 03 38.0004782592 +03 44 53.540697660|002.2244781170562 +50.7331022268806| -4.527 -10.894   |8.30     |K5III           |    ~     ~    |    1|  742.942   pc  | -15.6757    +15.6757  |paral   |2020yCat.1350....0G
1091|HD 134438                                                                                                                                                                                                                                            |Star                               |15 09 47.4832420320 +03 42 30.462696108|003.6980407906644 +49.5209010517779| -14.977 21.696   |7.87     |K0III           |    ~     ~    |    1|  261.616   pc  |  -6.5842     +6.5842  |paral   |2020yCat.1350....0G
1092|HD 133129                                                                                                                                                                                                                                            |Star                               |15 02 44.4645728688 +02 28 23.673772668|000.4781840179274 +50.0725260933918| -15.224 -9.966   |9.17     |K1III           |    ~     ~    |    1|  510.230   pc  |  -5.2588     +5.2588  |paral   |2020yCat.1350....0G
1093|BD+03 2970                                                                                                                                                                                                                                           |Star                               |15 03 01.1518210344 +03 10 18.895650240|001.3754261967821 +50.4776882900731|  -3.935 11.141   |9.20     |K0              |    ~     ~    |    1|  895.656   pc  | -15.9638    +15.9638  |paral   |2020yCat.1350....0G
1094|HD 133828                                                                                                                                                                                                                                            |Star                               |15 06 24.8299376832 +02 39 42.726185064|001.6283668906443 +49.5019539133427|-29.279 -19.185   |9.04     |G2/3V           |    ~     ~    |    1|  153.231   pc  |  -0.5166     +0.5166  |paral   |2020yCat.1350....0G
1095|HD 133841                                                                                                                                                                                                                                            |Star                               |15 06 27.8797578936 +03 00 32.636331144|002.0498757518415 +49.7166731296162|   2.404 16.555   |7.30     |F2V             |    ~     ~    |    1|  165.038   pc  |  -0.8553     +0.8553  |paral   |2020yCat.1350....0G
1096|HD 133842                                                                                                                                                                                                                                            |Star                               |15 06 33.7760909112 +02 37 01.625279232|001.6131107589513 +49.4445881178565|-45.609 -16.886   |8.87     |F5/6V           |    ~     ~    |    1|  117.196   pc  |  -0.2994     +0.2994  |paral   |2020yCat.1350....0G
1097|BD+03 2981                                                                                                                                                                                                                                           |Star                               |15 07 30.8653165440 +02 36 46.354086000|001.8443640525236 +49.2607640052530|    0.196 2.603   |9.38     |M0              |    ~     ~    |    1| 1111.358   pc  | -29.7663    +29.7663  |paral   |2020yCat.1350....0G
1098|HD 134211                                                                                                                                                                                                                                            |Star                               |15 08 29.2242659664 +03 10 39.875562732|002.7485195199330 +49.4371767977693|-31.001 -24.035   |9.11     |G1V             |    ~     ~    |    1|   99.502   pc  |  -0.1663     +0.1663  |paral   |2020yCat.1350....0G
1099|HD 134497                                                                                                                                                                                                                                            |Star                               |15 10 03.7264215168 +03 17 53.220036372|003.2741467858744 +49.2098670862829|  -4.251 15.946   |9.23     |G8III/IV        |    ~     ~    |    1|  523.780   pc  |  -4.7736     +4.7736  |paral   |2020yCat.1350....0G
1100|HD 134628                                                                                                                                                                                                                                            |Star                               |15 10 47.9121451512 +02 42 08.485316028|002.7512045157160 +48.6894884917125|  3.392 -34.430   |9.24     |G8IV            |    ~     ~    |    1|  195.898   pc  |  -3.9220     +3.9220  |paral   |2020yCat.1350....0G
1101|* 110 Vir                                                                                                                                                                                                                                            |High Proper Motion Star            |15 02 54.0375635908 +02 05 28.695699730|000.0741951182167 +49.7899661099336| -55.569 13.628   |4.40     |K0+IIIbFe-0.5   |    ~     ~    |    1|   59.7108  pc  |  -0.4613     +0.4613  |paral   |2020yCat.1350....0G
1102|BD+02 2907                                                                                                                                                                                                                                           |Spectroscopic Binary               |15 03 17.6174514048 +02 22 21.252378792|000.5020240518119 +49.9023857199269|  -1.851 -5.495   |8.91     |M0              |    ~     ~    |    1| 1127.777   pc  | -35.8671    +35.8671  |paral   |2020yCat.1350....0G
1103|HD 133315                                                                                                                                                                                                                                            |Star                               |15 03 40.3861677000 +02 23 10.704256944|000.6149493923728 +49.8401255234211|  -24.848 0.896   |8.84     |K0III           |    ~     ~    |    1|  410.694   pc  |  -4.3011     +4.3011  |paral   |2020yCat.1350....0G
1104|HD 133374                                                                                                                                                                                                                                            |Star                               |15 04 01.8474918960 +02 06 25.914712896|000.3815858404115 +49.5888941578589|-12.087 -32.356   |9.50     |F0V             |    ~     ~    |    1|  203.670   pc  |  -3.4720     +3.4720  |paral   |2020yCat.1350....0G
1105|BD+02 2913                                                                                                                                                                                                                                           |Star                               |15 06 13.1870728320 +02 18 44.130238668|001.1719297860651 +49.3112467174679|-24.313 -32.585   |10.06    |K0              |    ~     ~    |    1|  633.754   pc  |  -6.7476     +6.7476  |paral   |2020yCat.1350....0G
1106|HD 133948                                                                                                                                                                                                                                            |Star                               |15 07 06.8624810256 +02 21 45.413677620|001.4534923752224 +49.1745666485444|  2.615 -17.658   |6.58     |K4III           |    ~     ~    |    1|  303.168   pc  |  -2.4081     +2.4081  |paral   |2020yCat.1350....0G
1107|NGC 5864                           NGC 5864                                                                                                                                                                                                          |Galaxy towards a Group of Galaxies |15 09 33.5680310184 +03 03 09.980709588|002.8622496447234 +49.1512029289148|  -0.156 -0.535   |     ~   |~               |1.937 0.620    |    1|   29.0     Mpc |                       |redshift|2011MNRAS.413..813C
1108|IRAS 15085+0322                                                                                                                                                                                                                                      |Long-Period Variable Candidate     |15 11 01.7942064360 +03 11 03.070074408|003.3724003865916 +48.9506553912075|   9.977 -8.613   |10.21    |M6:             |    ~     ~    |    1| 1550.63    pc  |-108.441    +108.441   |paral   |2020yCat.1350....0G
1109|NGC 5838                           NGC 5838                                                                                                                                                                                                          |Galaxy in Pair of Galaxies         |15 05 26.2447857696 +02 05 57.349108392|000.7286599959370 +49.3193481438856|            ~ ~   |     ~   |~               |2.650 1.113    |    1|   34.51    Mpc |                       |        |2016AJ....152...50T
1110|TYC 338-101-1                                                                                                                                                                                                                                        |Star                               |15 01 04.4156196096 +02 00 48.505739328|359.5115253073112 +50.0784997564743|-38.601 -17.247   |10.52    |~               |    ~     ~    |    1|  285.551   pc  |  -9.9152     +9.9152  |paral   |2020yCat.1350....0G
1111|TYC 338-475-1                                                                                                                                                                                                                                        |Star                               |15 07 09.8403912072 +02 45 08.182295028|001.9209014403535 +49.4176143740980|   17.066 5.225   |10.29    |~               |    ~     ~    |    1|  116.682   pc  |  -0.2764     +0.2764  |paral   |2020yCat.1350....0G
1112|TYC 338-485-1                                                                                                                                                                                                                                        |Star                               |15 05 44.3306510832 +02 29 10.657576572|001.2541262190917 +49.5158431839774|-36.641 -10.873   |10.58    |~               |    ~     ~    |    1|  878.580   pc  | -11.9645    +11.9645  |paral   |2020yCat.1350....0G
1113|TYC 338-500-1                                                                                                                                                                                                                                        |Star                               |15 07 02.3337770640 +02 28 01.325342244|001.5562453588919 +49.2567487796718|  5.200 -22.287   |10.11    |~               |    ~     ~    |    1|  597.800   pc  |  -5.2175     +5.2175  |paral   |2020yCat.1350....0G
1114|TYC 338-523-1                                                                                                                                                                                                                                        |Star                               |15 03 09.2481588312 +02 27 47.319598872|000.5722102247807 +49.9882787550744|   7.941 -3.882   |10.57    |~               |    ~     ~    |    1|  539.491   pc  | -16.4152    +16.4152  |paral   |2020yCat.1350....0G
1115|TYC 338-669-1                                                                                                                                                                                                                                        |Star                               |15 07 28.3253178504 +03 16 41.190417156|002.6184661016285 +49.6962933489903| -2.256 -24.607   |10.37    |~               |    ~     ~    |    1|  657.117   pc  | -20.9856    +20.9856  |paral   |2020yCat.1350....0G
1116|TYC 338-761-1                                                                                                                                                                                                                                        |Star                               |15 05 35.0866938888 +03 32 07.929670956|002.4582204524037 +50.2230537212150|-13.821 -15.537   |10.20    |~               |    ~     ~    |    1|  966.277   pc  | -16.3396    +16.3396  |paral   |2020yCat.1350....0G
1117|TYC 338-766-1                                                                                                                                                                                                                                        |Star                               |15 05 38.2951989192 +03 29 05.084273508|002.4106001692385 +50.1802913762715|   0.272 -6.818   |10.89    |~               |    ~     ~    |    1|  179.301   pc  |  -0.6526     +0.6526  |paral   |2020yCat.1350....0G
1118|TYC 338-907-1                                                                                                                                                                                                                                        |Star                               |15 03 52.2678426216 +03 37 40.784389680|002.1392244825187 +50.6104215981997|-23.393 -14.324   |10.43    |~               |    ~     ~    |    1| 1338.688   pc  | -28.3150    +28.3150  |paral   |2020yCat.1350....0G
1119|TYC 338-911-1                                                                                                                                                                                                                                        |Star                               |15 04 09.8729864424 +03 43 13.526722848|002.3249616483716 +50.6136107488898|     26.2 -40.2   |10.42    |~               |    ~     ~    |    0|                |                       |        |                   
1120|TYC 338-981-1                                                                                                                                                                                                                                        |Star                               |15 02 52.7322149496 +03 27 36.370785564|001.6849997132410 +50.6913304217102|  -15.872 1.728   |10.92    |~               |    ~     ~    |    1|  269.411   pc  |  -2.5186     +2.5186  |paral   |2020yCat.1350....0G
1121|TYC 339-11-1                                                                                                                                                                                                                                         |Star                               |15 09 41.2664134992 +02 51 07.402833360|002.6573615255610 +48.9985624415961| -1.243 -18.405   |9.75     |~               |    ~     ~    |    1|  245.809   pc  |  -1.0755     +1.0755  |paral   |2020yCat.1350....0G
1122|TYC 339-343-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 10 02.8265720880 +02 31 28.303135860|002.3621832436967 +48.7199710674582|  52.173 -3.699   |10.91    |~               |    ~     ~    |    1|  158.035   pc  |  -0.3447     +0.3447  |paral   |2020yCat.1350....0G
1123|TYC 339-432-1                                                                                                                                                                                                                                        |Star                               |15 10 07.9035902448 +02 15 34.057827216|002.0756255539685 +48.5333319381210|-39.055 -10.073   |10.53    |~               |    ~     ~    |    1|  163.239   pc  |  -0.4343     +0.4343  |paral   |2020yCat.1350....0G
1124|TYC 339-520-1                                                                                                                                                                                                                                        |Star                               |15 08 21.5248217808 +02 17 45.952392552|001.6841489013988 +48.8949656694296| -10.761 -7.300   |10.51    |~               |    ~     ~    |    1|  695.072   pc  | -17.2476    +17.2476  |paral   |2020yCat.1350....0G
1125|TYC 339-1106-1                                                                                                                                                                                                                                       |Star                               |15 07 57.6187212792 +03 17 12.908158620|002.7490171251417 +49.6080752721082|  -1.308 -2.516   |9.75     |~               |    ~     ~    |    1|  421.994   pc  |  -2.7602     +2.7602  |paral   |2020yCat.1350....0G
1126|TYC 342-30-1                                                                                                                                                                                                                                         |High Proper Motion Star            |15 06 41.7533139288 +03 57 03.897736560|003.2353854468162 +50.2734051393514| -50.005 14.650   |10.14    |~               |    ~     ~    |    1|  159.793   pc  |  -0.4928     +0.4928  |paral   |2020yCat.1350....0G
1127|TYC 342-535-1                                                                                                                                                                                                                                        |Star                               |15 04 55.4746681800 +03 48 06.613163280|002.6143876037433 +50.5199126317342|   1.837 -2.002   |10.21    |~               |    ~     ~    |    1|  253.331   pc  |  -1.3991     +1.3991  |paral   |2020yCat.1350....0G
1128|TYC 342-635-1                                                                                                                                                                                                                                        |Star                               |15 02 23.0279426256 +03 56 35.614957704|002.1441695906939 +51.0972658608599|  -8.074 12.440   |10.88    |~               |    ~     ~    |    1|  276.411   pc  |  -1.5586     +1.5586  |paral   |2020yCat.1350....0G
1129|TYC 343-904-1                                                                                                                                                                                                                                        |Star                               |15 08 17.6374038048 +04 04 07.570700148|003.7696515544429 +50.0377977028166| -34.729 -0.982   |10.14    |~               |    ~     ~    |    1| 2004.812   pc  | -67.5237    +67.5237  |paral   |2020yCat.1350....0G
1130|NGC 5854                           NGC 5854                                                                                                                                                                                                          |Galaxy towards a Group of Galaxies |15 07 47.6993537544 +02 34 07.059522288|001.8620156974338 +49.1786980209522|   -0.197 0.045   |     ~   |~               |1.847 0.591    |    1|   26.2     Mpc |                       |redshift|2011MNRAS.413..813C
1131|HD 134169                                                                                                                                                                                                                                            |Spectroscopic Binary               |15 08 18.0570477216 +03 55 50.144061360|003.6040414199305 +49.9497061182344| -0.731 -14.250   |7.70     |F7V             |    ~     ~    |    1|   54.027   pc  |  -0.3882     +0.3882  |paral   |2020yCat.1350....0G
1132|TYC 338-132-1                                                                                                                                                                                                                                        |Star                               |15 03 03.7572828768 +02 03 05.108905476|000.0695829626376 +49.7332213567199|  -36.171 7.873   |10.62    |~               |    ~     ~    |    1|  184.468   pc  |  -0.5172     +0.5172  |paral   |2020yCat.1350....0G
1133|TYC 338-240-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 03 05.4266005584 +02 02 26.189370168|000.0642093788292 +49.7208468545771|-43.356 -53.907   |10.38    |~               |    ~     ~    |    1|  783.576   pc  |  -9.0257     +9.0257  |paral   |2020yCat.1350....0G
1134|TYC 338-469-1                                                                                                                                                                                                                                        |Star                               |15 05 00.1101597792 +02 30 30.640029012|001.0946861162490 +49.6697797460634|-20.117 -16.268   |10.98    |~               |    ~     ~    |    1|  224.049   pc  |  -0.9738     +0.9738  |paral   |2020yCat.1350....0G
1135|GPM 226.540360+02.397622                                                                                                                                                                                                                             |Star                               |15 06 09.6264965376 +02 23 50.646621948|001.2561039221174 +49.3780426797821|-19.108 -15.094   |10.9     |~               |    ~     ~    |    1|  392.788   pc  |  -3.5639     +3.5639  |paral   |2020yCat.1350....0G
1136|BD+04 2975                                                                                                                                                                                                                                           |Star                               |15 11 21.6293983104 +04 00 31.414278240|004.4348710075929 +49.4026126385978|   6.788 -0.036   |10.93    |G0              |    ~     ~    |    1|  400.705   pc  |  -3.5966     +3.5966  |paral   |2020yCat.1350....0G
1137|HD 135004                                                                                                                                                                                                                                            |High Proper Motion Star            |15 12 45.0749333808 +03 32 39.042789648|004.2087854615849 +48.8420093610503| -90.719 36.212   |7.77     |F3V             |    ~     ~    |    1|  108.791   pc  |  -0.2983     +0.2983  |paral   |2020yCat.1350....0G
1138|HD 134753                                                                                                                                                                                                                                            |Star                               |15 11 26.2687095816 +03 11 35.702669004|003.4808650358074 +48.8773873674411|  -4.890 -1.594   |8.56     |K0III           |    ~     ~    |    1|  231.841   pc  |  -1.3760     +1.3760  |paral   |2020yCat.1350....0G
1139|HD 134754                                                                                                                                                                                                                                            |High Proper Motion Star            |15 11 29.8845000576 +02 49 42.236523048|003.0666960271740 +48.6349227259019|-55.603 -15.701   |7.58     |A3II            |    ~     ~    |    1|  111.686   pc  |  -0.3468     +0.3468  |paral   |2020yCat.1350....0G
1140|BD+03 2993                                                                                                                                                                                                                                           |High Proper Motion Star            |15 11 39.8753686968 +03 18 37.267527780|003.6734464366553 +48.9071290666766| -1.823 -96.402   |10.66    |G5              |    ~     ~    |    1|  216.962   pc  |  -0.8191     +0.8191  |paral   |2020yCat.1350....0G
1141|BD+03 2996                                                                                                                                                                                                                                           |Star                               |15 13 12.7209826080 +02 38 55.107393288|003.2659462605048 +48.1899481010692|  -6.010 -3.963   |9.66     |F8              |    ~     ~    |    1|  223.359   pc  |  -0.8132     +0.8132  |paral   |2020yCat.1350....0G
1142|BD+02 2923                                                                                                                                                                                                                                           |Double or Multiple Star            |15 11 49.7913123936 +02 14 01.530083544|002.4563333899532 +48.1918210949307| -12.826 15.211   |10.58    |F8              |0.0100  0.0    |    1|  284.762   pc  |  -2.9922     +2.9922  |paral   |2020yCat.1350....0G
1143|HD 134884                                                                                                                                                                                                                                            |Star                               |15 12 11.4717472008 +02 23 37.260430656|002.7274335220355 +48.2247198736333|-17.770 -24.183   |9.01     |F0V             |    ~     ~    |    1|  173.301   pc  |  -0.5887     +0.5887  |paral   |2020yCat.1350....0G
1144|HD 135150                                                                                                                                                                                                                                            |Star                               |15 13 35.5366102296 +02 15 01.621935468|002.8960961004637 +47.8637645683684|-45.107 -21.140   |9.07     |F5V             |    ~     ~    |    1|  115.421   pc  |  -0.2611     +0.2611  |paral   |2020yCat.1350....0G
1145|HD 135268                                                                                                                                                                                                                                            |Star                               |15 14 10.5151038288 +03 55 35.618099232|004.9989256567495 +48.7999643548092| -40.599 -4.808   |9.71     |F7V             |    ~     ~    |    1|  147.649   pc  |  -0.4207     +0.4207  |paral   |2020yCat.1350....0G
1146|HD 135224                                                                                                                                                                                                                                            |High Proper Motion Star            |15 13 54.6395858880 +02 41 44.537918568|003.4858166344769 +48.0844711191743|-89.917 -10.532   |8.81     |G8/K0IV         |    ~     ~    |    1|  151.144   pc  |  -0.4249     +0.4249  |paral   |2020yCat.1350....0G
1147|HD 135340                                                                                                                                                                                                                                            |Star                               |15 14 26.8828649568 +03 13 04.821681864|004.2223301853545 +48.3075683312074|  -16.709 7.065   |8.98     |F0/2V           |    ~     ~    |    1|  151.005   pc  |  -0.3968     +0.3968  |paral   |2020yCat.1350....0G
1148|TYC 339-268-1                                                                                                                                                                                                                                        |Star                               |15 11 22.1664217032 +02 32 37.138489260|002.7040044208243 +48.4784406125173| -8.535 -16.804   |9.71     |~               |    ~     ~    |    1|  652.358   pc  |  -9.3200     +9.3200  |paral   |2020yCat.1350....0G
1149|TYC 339-358-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 14 49.8690574248 +02 11 58.705655352|003.1302535235513 +47.5925546723176|-120.256 31.848   |10.22    |~               |    ~     ~    |    1|   57.502   pc  |  -0.0681     +0.0681  |paral   |2020yCat.1350....0G
1150|TYC 339-364-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 14 31.3316786352 +02 11 24.292547412|003.0465898090719 +47.6461106663111|-68.301 -20.280   |10.67    |~               |    ~     ~    |    1|  165.629   pc  |  -0.5980     +0.5980  |paral   |2020yCat.1350....0G
1151|2MASS J15144691+0207541                                                                                                                                                                                                                              |Red Giant Branch star              |15 14 46.9163212152 +02 07 54.160639752|003.0408958205531 +47.5589154603153|  12.235 -8.407   |10.37    |~               |    ~     ~    |    1|  820.479   pc  | -11.3768    +11.3768  |paral   |2020yCat.1350....0G
1152|TYC 339-667-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 13 24.6079399344 +03 11 29.062574916|003.9472340075078 +48.4932250803730|  -94.795 2.901   |9.86     |~               |    ~     ~    |    1|   92.628   pc  |  -0.1587     +0.1587  |paral   |2020yCat.1350....0G
1153|TYC 339-714-1                                                                                                                                                                                                                                        |Star                               |15 12 55.7847974544 +02 52 42.944814588|003.4668491859737 +48.3898956074468|  31.726 -3.369   |10.52    |~               |    ~     ~    |    1|  460.702   pc  |  -4.6906     +4.6906  |paral   |2020yCat.1350....0G
1154|TYC 339-742-1                                                                                                                                                                                                                                        |Star                               |15 13 57.2570541360 +03 17 14.188999020|004.1881383982684 +48.4471067183716|   15.663 0.358   |10.27    |~               |    ~     ~    |    1|  286.919   pc  |  -2.8731     +2.8731  |paral   |2020yCat.1350....0G
1155|TYC 339-1015-1                                                                                                                                                                                                                                       |Star                               |15 11 53.7766652592 +03 42 33.962054760|004.2031253670658 +49.1118216335005| -20.517 -5.154   |10.55    |~               |    ~     ~    |    1|  220.731   pc  |  -1.4032     +1.4032  |paral   |2020yCat.1350....0G
1156|TYC 339-1040-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 12 50.8905135696 +02 59 04.267997304|003.5714256909454 +48.4724772324492| 24.284 -63.089   |10.24    |~               |    ~     ~    |    1|  181.179   pc  |  -0.7255     +0.7255  |paral   |2020yCat.1350....0G
1157|TYC 339-1052-1                                                                                                                                                                                                                                       |Star                               |15 11 57.0663600360 +03 01 09.504522912|003.3987804962368 +48.6682258736811|    9.714 1.232   |10.94    |~               |    ~     ~    |    1|  378.573   pc  |  -2.8807     +2.8807  |paral   |2020yCat.1350....0G
1158|TYC 339-1100-1                                                                                                                                                                                                                                       |Star                               |15 13 18.4959720528 +03 00 51.711363684|003.7153209070168 +48.4019717161131|   -0.410 7.934   |9.35     |~               |    ~     ~    |    1| 1006.745   pc  | -16.6220    +16.6220  |paral   |2020yCat.1350....0G
1159|TYC 339-1117-1                                                                                                                                                                                                                                       |Star                               |15 12 18.1870273632 +03 28 54.369528636|004.0285579033732 +48.8904177022889|-30.802 -18.998   |10.30    |~               |    ~     ~    |    1|  214.156   pc  |  -0.7200     +0.7200  |paral   |2020yCat.1350....0G
1160|TYC 339-1126-1                                                                                                                                                                                                                                       |Star                               |15 12 42.4590057888 +03 24 48.014344908|004.0432622020412 +48.7688439212204| -16.458 -5.795   |10.65    |~               |    ~     ~    |    1|  137.518   pc  |  -0.2629     +0.2629  |paral   |2020yCat.1350....0G
1161|TYC 339-1128-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 13 49.9714652352 +02 48 53.829023220|003.6061793748706 +48.1747128808503| -55.570 -6.007   |10.85    |~               |    ~     ~    |    1|  221.951   pc  |  -0.7389     +0.7389  |paral   |2020yCat.1350....0G
1162|TYC 343-887-1                                                                                                                                                                                                                                        |Star                               |15 13 44.1178551984 +04 05 39.713635392|005.0975815522240 +48.9896738629876|-44.912 -18.629   |10.58    |~               |    ~     ~    |    1|  257.486   pc  |  -1.1602     +1.1602  |paral   |2020yCat.1350....0G
1163|HD 132682                                                                                                                                                                                                                                            |Star                               |15 00 14.1746644344 +05 58 30.457847712|004.1522891998484 +52.7952890083518| -7.397 -45.850   |9.02     |G0              |    ~     ~    |    1|  188.651   pc  |  -0.8221     +0.8221  |paral   |2020yCat.1350....0G
1164|HD 132894                                                                                                                                                                                                                                            |High Proper Motion Star            |15 01 29.8113045168 +05 45 05.521512672|004.1838080523515 +52.4106954990506|  -97.503 5.705   |10.17    |K0              |    ~     ~    |    1|  167.974   pc  |  -1.2669     +1.2669  |paral   |2020yCat.1350....0G
1165|HD 132952                                                                                                                                                                                                                                            |Star                               |15 01 45.1718306976 +05 37 54.298939944|004.0948494301569 +52.2863923351717|   -0.399 0.757   |9.92     |F8              |    ~     ~    |    1|  244.493   pc  |  -0.9026     +0.9026  |paral   |2020yCat.1350....0G
1166|BD+05 2959                                                                                                                                                                                                                                           |Star                               |15 00 03.0817950936 +04 32 45.707436888|002.2880522136704 +51.9300354580368|  5.821 -16.728   |9.73     |K2              |    ~     ~    |    1|  622.859   pc  | -12.5309    +12.5309  |paral   |2020yCat.1350....0G
1167|HD 132642                                                                                                                                                                                                                                            |Star                               |15 00 04.5249356712 +04 50 10.124888172|002.6571558005926 +52.1106209723126| -25.133 -6.097   |9.39     |F2              |    ~     ~    |    1|  187.998   pc  |  -0.4842     +0.4842  |paral   |2020yCat.1350....0G
1168|BD+04 2946                                                                                                                                                                                                                                           |Star                               |15 00 14.5700134152 +04 18 10.441983060|002.0358383253640 +51.7374242995087|-25.400 -25.440   |9.47     |M0              |    ~     ~    |    1|  408.614   pc  |  -2.6881     +2.6881  |paral   |2020yCat.1350....0G
1169|HD 132796                                                                                                                                                                                                                                            |Star                               |15 00 54.7509562632 +04 20 07.787394672|002.2490108816608 +51.6303490362332| 31.975 -35.596   |8.95     |F3V             |    ~     ~    |    1|  176.249   pc  |  -0.5809     +0.5809  |paral   |2020yCat.1350....0G
1170|BD+06 2991                                                                                                                                                                                                                                           |Star                               |15 05 51.9923038392 +06 07 02.477348796|005.7381457870256 +51.7761774266178| 18.722 -30.295   |9.09     |K2              |    ~     ~    |    1|  419.498   pc  |  -3.1148     +3.1148  |paral   |2020yCat.1350....0G
1171|BD+06 3010                                                                                                                                                                                                                                           |Star                               |15 11 11.0721555240 +06 01 06.120725808|006.8778813068362 +50.6590033074692|  -5.617 11.766   |10.96    |G               |    ~     ~    |    1|  692.233   pc  |  -6.3732     +6.3732  |paral   |2020yCat.1350....0G
1172|BD+06 2980                                                                                                                                                                                                                                           |Star                               |15 03 40.3754116224 +05 29 14.916120504|004.3926854364063 +51.8221448657799|   -5.110 1.181   |9.28     |K0              |    ~     ~    |    1|  519.076   pc  |  -4.3380     +4.3380  |paral   |2020yCat.1350....0G
1173|HD 133408B                                                                                                                                                                                                                                           |Star                               |15 04 06.2970314832 +05 29 43.994337864|004.5104082701028 +51.7426478313626| -1.737 -28.447   |7.33     |G0              |    ~     ~    |    1|   84.001   pc  |  -0.1870     +0.1870  |paral   |2020yCat.1350....0G
1174|HD 133408                                                                                                                                                                                                                                            |Star                               |15 04 06.4395083856 +05 29 34.186061472|004.5075380650923 +51.7404999105329| -4.470 -30.316   |7.16     |F0              |    ~     ~    |    1|   84.015   pc  |  -0.1786     +0.1786  |paral   |2020yCat.1350....0G
1175|BD+06 2986                                                                                                                                                                                                                                           |High Proper Motion Star            |15 04 53.5261634600 +05 38 17.160679455|004.8863177115492 +51.6761409696791|-607.626 -506.509 |9.815    |K8V             |    ~     ~    |    1|   19.0459  pc  |  -0.0085     +0.0085  |paral   |2020yCat.1350....0G
1176|HD 133818                                                                                                                                                                                                                                            |Star                               |15 06 18.1508444352 +05 33 01.354556808|005.1205835273759 +51.3451039919580| -10.316 -6.916   |7.23     |F0              |    ~     ~    |    1|   99.055   pc  |  -3.7678     +3.7678  |paral   |2020yCat.1350....0G
1177|HD 133876                                                                                                                                                                                                                                            |High Proper Motion Star            |15 06 36.9083160768 +05 46 30.281493432|005.4818820401585 +51.4205602355458| -54.013 45.884   |8.28     |F5              |    ~     ~    |    1|  111.367   pc  |  -0.3510     +0.3510  |paral   |2020yCat.1350....0G
1178|HD 134047                                                                                                                                                                                                                                            |Star                               |15 07 40.3216544856 +05 29 53.012052564|005.3866046129243 +51.0433066785244| -1.603 -22.779   |6.17     |G7IIIa:Fe-0.5:  |    ~     ~    |    1|  187.533   pc  |  -6.4218     +6.4218  |paral   |2020yCat.1350....0G
1179|BD+06 3005                                                                                                                                                                                                                                           |High Proper Motion Star            |15 08 26.4149480160 +05 29 02.797796580|005.5538208121330 +50.8831483883280|  -82.570 8.932   |10.88    |G0              |    ~     ~    |    1|  106.775   pc  |  -0.1596     +0.1596  |paral   |2020yCat.1350....0G
