C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
1104|BD+29 2512                                                            |Star                           |14 15 57.7822599144 +28 30 24.276902184|042.0774738866449 +71.2839830806515|   -6.453 4.945    |9.78     |F5                  |    ~     ~    
1105|HD 125077                                                             |High Proper Motion Star        |14 16 33.5252636352 +28 41 48.925144644|042.6721334386176 +71.1550867163557| -45.955 10.543    |8.81     |F5                  |    ~     ~    
1106|BD+29 2518                                                            |Star                           |14 17 10.4897128152 +28 32 47.466051864|042.2122655443883 +71.0184057213082| -6.714 -10.050    |9.87     |F2                  |    ~     ~    
1107|HD 124883                                                             |Spectroscopic Binary           |14 15 26.3796812472 +27 44 02.777979084|039.6531293352188 +71.3734236792168|   0.031 12.485    |7.295    |A2                  |    ~     ~    
1108|HD 125039                                                             |High Proper Motion Star        |14 16 29.0621005104 +26 37 44.080883040|036.2915645320562 +71.0513555405129|  27.718 55.180    |8.37     |F8                  |    ~     ~    
1109|BD+27 2356                                                            |Spectroscopic Binary           |14 16 52.7035376664 +26 21 57.101505732|035.5211794501717 +70.9329853519593| 10.979 -26.273    |9.12     |G0                  |    ~     ~    
1110|BD+27 2357                                                            |Spectroscopic Binary           |14 17 11.3895035880 +27 17 02.759373924|038.3410949206300 +70.9566391535488|  -2.106 20.636    |9.28     |G0                  |    ~     ~    
1111|BD+29 2521                                                            |Spectroscopic Binary           |14 17 59.4252695280 +28 41 30.109462548|042.6628650836643 +70.8410955147921|  -15.058 2.521    |9.71     |K5                  |    ~     ~    
1112|BD+29 2523                                                            |High Proper Motion Star        |14 18 09.5811457512 +28 22 53.587782768|041.7208422244244 +70.7987907244150|  9.738 -55.026    |10.12    |K0                  |    ~     ~    
1113|HD 125408                                                             |High Proper Motion Star        |14 18 33.7655538240 +28 26 21.767739288|041.9025350236200 +70.7115367733154| -64.668 78.268    |7.65     |F5                  |    ~     ~    
1114|BD+29 2526                                                            |Star                           |14 20 15.9791917824 +28 29 47.407590888|042.0990788490958 +70.3385224590712|    6.596 6.719    |9.49     |K0                  |    ~     ~    
1115|TYC 2014-113-1                                                        |Star                           |14 21 02.4447574080 +28 01 01.261546392|040.6989489149657 +70.1513256634391|  -27.026 9.676    |10.94    |G5                  |    ~     ~    
1116|BD+28 2316                                                            |Spectroscopic Binary           |14 22 11.9453988912 +28 07 43.027769856|041.0593289924339 +69.9011458955474|-121.240 66.794    |9.82     |K0                  |    ~     ~    
1117|BD+28 2320                                                            |Red Giant Branch star Candidate|14 24 19.1534042592 +28 03 06.388144596|040.9018976019814 +69.4304428239739|  -18.562 8.925    |10.55    |K0                  |    ~     ~    
1118|BD+28 2312                                                            |Star                           |14 17 49.7335128816 +27 34 19.472501532|039.2496764072374 +70.8357337801692|   1.707 -8.576    |9.26     |M0                  |    ~     ~    
1119|BD+28 2314                                                            |Red Giant Branch star Candidate|14 20 48.5779759848 +27 36 55.263555756|039.5085015795236 +70.1795523960558|   -9.098 8.724    |10.13    |G5                  |    ~     ~    
1120|HD 126307                                                             |Star                           |14 24 01.9805286792 +27 24 47.436935292|039.0754436759254 +69.4519898453321|  -4.836 -4.641    |6.41     |K4III               |    ~     ~    
1121|BD+28 2322                                                            |Star                           |14 25 04.3335693504 +27 39 41.750199936|039.8266050133419 +69.2408292762097|  -14.869 5.971    |9.80     |F0                  |    ~     ~    
1122|BD+27 2359                                                            |Spectroscopic Binary           |14 17 55.2365887440 +27 12 43.508673756|038.1618676919341 +70.7889536563400| -24.462 -7.573    |10.69    |F2                  |    ~     ~    
1123|HD 125320                                                             |High Proper Motion Star        |14 18 08.1514292736 +26 47 43.442147832|036.9172478450072 +70.7024599475107|  5.466 -58.941    |8.19     |G5IV                |    ~     ~    
1124|BD+27 2363                                                            |Star                           |14 19 17.2530928512 +26 21 39.701040948|035.7098051050901 +70.3969404766011|  -40.529 9.126    |10.84    |F8                  |    ~     ~    
1125|BD+27 2366                                                            |Star                           |14 20 20.6685580128 +26 59 18.015304956|037.6382450312856 +70.2316909996753|   5.479 -7.873    |9.53     |G5                  |    ~     ~    
1126|HD 125709                                                             |Double or Multiple Star        |14 20 32.9600010432 +26 34 22.151063460|036.4335401108137 +70.1421808189368|-24.878 -11.446    |7.58     |A2                  |    ~     ~    
1127|BD+27 2371                                                            |Star                           |14 22 29.0175699024 +26 31 42.006835056|036.4532184573995 +69.7073766148261| -17.627 14.295    |9.48     |G5                  |    ~     ~    
1128|BD+27 2372                                                            |Star                           |14 23 01.5684970896 +27 12 18.826585308|038.4284038539465 +69.6573753857397|-26.391 -13.352    |10.32    |A3                  |    ~     ~    
1129|HD 126268                                                             |Variable Star                  |14 23 52.2702950064 +27 16 14.700683244|038.6623285226677 +69.4759798611613|-11.531 -22.185    |7.66     |M0                  |    ~     ~    
1130|BD+27 2375                                                            |Red Giant Branch star Candidate|14 25 35.1847308024 +26 54 51.494541588|037.7626537909260 +69.0619972578553|  -5.543 -0.259    |9.70     |K0                  |    ~     ~    
1131|BD+26 2556                                                            |High Proper Motion Star        |14 21 33.9147440784 +26 03 52.497041652|035.0454235627710 +69.8511854000718| 19.485 -53.345    |10.57    |K0                  |    ~     ~    
1132|BD+26 2557                                                            |Star                           |14 21 52.5487730472 +26 03 51.026232384|035.0726774722449 +69.7820752988959|    1.328 1.501    |9.79     |F5                  |    ~     ~    
1133|BD+26 2560                                                            |Star                           |14 23 13.0982064888 +26 14 11.829788196|035.6824464908807 +69.5072759639797|  -25.832 1.074    |10.41    |F8                  |    ~     ~    
1134|BD+26 2567                                                            |Star                           |14 25 07.9306772928 +26 09 44.310477276|035.6388104299290 +69.0718537494295|  -11.598 2.407    |9.14     |G5                  |    ~     ~    
1135|HD 126598                                                             |High Proper Motion Star        |14 25 54.5816761224 +26 15 54.965222712|035.9893418362355 +68.9130426604210|-58.684 -34.736    |7.44     |K4III               |    ~     ~    
1136|BD+26 2570                                                            |Star                           |14 26 09.9170848128 +25 52 15.640290840|034.9300859051138 +68.8001079282048|-23.908 -16.769    |9.97     |G0                  |    ~     ~    
1137|BD+27 2361                                                            |Long-Period Variable           |14 18 20.9620597656 +27 08 48.327431280|037.9889385173614 +70.6884253949375|  -11.173 9.058    |10.00    |M7                  |    ~     ~    
1138|CCDM J14216+2604                                                      |Double or Multiple Star        |14 21 33.91 +26 03 52.3                |035.04526 +69.85120                |            ~ ~    |10.3     |~                   |    ~     ~    
1139|BD+27 2353                                                            |Star                           |14 15 46.0433091144 +27 18 10.783834020|038.3242274611553 +71.2731751577425|  -47.411 9.511    |10.74    |~                   |    ~     ~    
1140|TYC 2010-571-1                                                        |Star                           |14 15 10.1332668672 +26 54 03.162653892|037.0375455006431 +71.3714585137123| -17.445 -6.214    |10.86    |~                   |    ~     ~    
1141|TYC 2010-586-1                                                        |Star                           |14 18 17.1276106008 +27 20 42.780954876|038.5840196644016 +70.7187207829211|-22.144 -32.811    |10.47    |~                   |    ~     ~    
1142|TYC 2010-716-1                                                        |High Proper Motion Star        |14 18 40.8703223448 +27 12 57.335947920|038.2158664148572 +70.6207609729005|-55.960 -17.211    |10.18    |~                   |    ~     ~    
1143|TYC 2011-253-1                                                        |Star                           |14 22 51.5923129488 +26 40 28.319649024|036.8993845242963 +69.6408277623237|   12.564 5.410    |10.77    |~                   |    ~     ~    
1144|TYC 2011-322-1                                                        |Star                           |14 22 24.3016154232 +26 25 31.216755108|036.1522365558933 +69.7122875471309| 17.082 -10.297    |10.44    |~                   |    ~     ~    
1145|TYC 2011-349-1                                                        |Star                           |14 25 12.0429596832 +27 12 16.670722968|038.5498371775353 +69.1757595314953|   9.937 -1.457    |10.82    |~                   |    ~     ~    
1146|TYC 2011-558-1                                                        |Star                           |14 25 48.9538029408 +26 05 56.647707108|035.5237638486767 +68.9110810207967| -9.026 -19.058    |10.46    |~                   |    ~     ~    
1147|TYC 2011-770-1                                                        |Star                           |14 24 05.7578544096 +26 11 38.560065252|035.6378150166258 +69.3064909831414|   -4.592 2.650    |10.89    |~                   |    ~     ~    
1148|TYC 2011-800-1                                                        |Star                           |14 24 00.8141847024 +26 12 59.175480780|035.6935577475889 +69.3278310800350| -20.276 -0.436    |10.45    |~                   |    ~     ~    
1149|TYC 2011-928-1                                                        |Star                           |14 22 03.5143241136 +26 10 19.307997336|035.3979835451129 +69.7563538664890|   -7.166 5.303    |10.29    |~                   |    ~     ~    
1150|TYC 2013-829-1                                                        |Star                           |14 18 42.8603566608 +28 09 13.887795132|041.0424201152688 +70.6697400909129|   7.716 -1.045    |10.72    |~                   |    ~     ~    
1151|TYC 2013-1135-1                                                       |Star                           |14 18 32.2213588608 +28 02 23.557493400|040.6933828362522 +70.7043127624777|  -14.676 9.473    |10.84    |~                   |    ~     ~    
1152|TYC 2013-1157-1                                                       |Star                           |14 17 52.6220527080 +28 45 21.043952856|042.8579249141691 +70.8663951404002|    7.725 4.012    |10.75    |~                   |    ~     ~    
1153|TYC 2013-1166-1                                                       |Star                           |14 17 46.2796657224 +27 42 25.979956128|039.6584181692036 +70.8567140308128|  3.659 -26.335    |10.39    |~                   |    ~     ~    
1154|TYC 2014-456-1                                                        |Star                           |14 22 40.4522780472 +27 57 55.999864044|040.6012081363943 +69.7886200508322|  -38.424 5.312    |10.70    |~                   |    ~     ~    
1155|TYC 2014-680-1                                                        |Star                           |14 26 07.5317740392 +28 08 23.648128044|041.2063129406781 +69.0369823669392|   7.571 -9.357    |10.90    |~                   |    ~     ~    
1156|TYC 2014-902-1                                                        |Star                           |14 20 42.2040372048 +27 32 00.914198316|039.2630844186192 +70.1974650228441|  6.608 -10.142    |10.85    |~                   |    ~     ~    
1157|TYC 2014-929-1                                                        |Star                           |14 24 18.6930685368 +28 17 09.411894420|041.5676994648459 +69.4427119347969| -30.699 20.902    |10.71    |~                   |    ~     ~    
1158|V* IU Boo                                                             |BY Dra Variable                |14 16 30.8878514856 +26 55 25.055417820|037.1970360725983 +71.0749717787917| -11.905 17.234    |10.463   |~                   |    ~     ~    
1159|BD+26 2547                                                            |Star                           |14 16 38.1371945232 +25 56 50.375054904|034.2292334889533 +70.9308132584282|  -21.481 2.626    |9.06     |G5                  |    ~     ~    
1160|BD+26 2548                                                            |Spectroscopic Binary           |14 16 40.1619124824 +26 09 20.036315628|034.8639784649301 +70.9523255216714|  15.571 -3.527    |10.15    |G5                  |    ~     ~    
1161|BD+26 2546                                                            |Double or Multiple Star        |14 16 26.1901573572 +25 39 08.825754822|033.3163120158058 +70.9303626280772|  9.579 -38.009    |8.97     |K0                  |0.0117  0.0    
1162|BD+25 2749                                                            |Star                           |14 15 02.1371450856 +24 40 19.646957568|030.1779909661047 +71.0624007938405|  1.235 -32.855    |10.75    |F8                  |    ~     ~    
1163|BD+25 2752                                                            |Star                           |14 17 01.6742448936 +24 29 49.927324596|029.9483776362150 +70.5827703800803|  5.628 -12.392    |10.30    |G0                  |    ~     ~    
1164|BD+24 2708                                                            |Star                           |14 15 25.5919430280 +24 04 01.216682832|028.4304674454225 +70.8413662452531|-17.863 -39.580    |10.02    |G5                  |    ~     ~    
1165|BD+24 2712                                                            |Double or Multiple Star        |14 16 58.355016 +24 11 33.30132        |029.047716992 +70.527497141        |      -4.7 -4.1    |9.792    |F2                  |    ~     ~    
1166|HD 125728                                                             |Star                           |14 20 45.0834800616 +26 04 31.900480428|035.0023510610516 +70.0336786191692|   5.505 -1.282    |6.787    |G8II                |    ~     ~    
1167|BD+26 2561                                                            |Star                           |14 23 41.9160230304 +25 49 36.729816024|034.5723054266586 +69.3419657801471|  -28.836 9.516    |10.79    |F8                  |    ~     ~    
1168|BD+26 2553                                                            |Star                           |14 20 00.9780987696 +25 59 25.292152320|034.6858276322119 +70.1850851111189|   1.073 -3.820    |8.91     |K2                  |    ~     ~    
1169|BD+26 2552                                                            |Star                           |14 19 43.1709401400 +25 38 43.218419568|033.6495542652930 +70.1988034938663| 21.166 -15.981    |9.99     |K2                  |    ~     ~    
1170|BD+26 2565                                                            |Double or Multiple Star        |14 24 21.7033470456 +25 26 02.502252780|033.5465802354571 +69.1311483336011|   -5.209 4.946    |10.022   |K0                  |    ~     ~    
1171|BD+26 2566                                                            |Star                           |14 24 45.7198063200 +25 40 28.101373608|034.2532726330421 +69.0816968170636|   -9.488 7.539    |9.31     |A3                  |    ~     ~    
1172|BD+25 2755                                                            |Star                           |14 17 44.7543681864 +24 29 37.212260568|030.0430032950917 +70.4224693090989| 22.894 -18.147    |10.47    |F8                  |    ~     ~    
1173|BD+25 2757                                                            |Star                           |14 18 37.1271759360 +25 18 19.044659304|032.5318436856376 +70.3866744335588|  -7.813 -8.672    |9.43     |K0                  |    ~     ~    
1174|HD 125691                                                             |Star                           |14 20 31.1961756864 +24 44 42.219530880|031.1526706296615 +69.8580206743535|  -24.604 5.707    |9.11     |F8                  |    ~     ~    
1175|BD+25 2761                                                            |Star                           |14 20 47.3094054384 +24 54 36.826080120|031.6575149216589 +69.8309342057236| 25.692 -14.633    |9.82     |K0                  |    ~     ~    
1176|BD+25 2763                                                            |Star                           |14 21 03.8584366896 +25 18 17.798653044|032.8163923564324 +69.8424985255173|  -7.423 -5.140    |10.45    |F8                  |    ~     ~    
1177|BD+25 2765                                                            |Star                           |14 22 40.6826428800 +25 12 50.890969260|032.7458707343721 +69.4673089531423| -5.883 -12.228    |9.96     |K0                  |    ~     ~    
1178|BD+25 2766                                                            |High Proper Motion Star        |14 22 44.7386064408 +24 49 42.058970508|031.6760547456988 +69.3795761754969|-115.257 77.139    |9.83     |G0                  |    ~     ~    
1179|BD+25 2773                                                            |Spectroscopic Binary           |14 23 53.6566445016 +24 32 40.507865952|031.0422156818636 +69.0664515127010|  -24.910 0.367    |9.65     |A2                  |    ~     ~    
1180|BD+25 2774                                                            |High Proper Motion Star        |14 23 54.9653761248 +25 13 31.462587192|032.9196765274670 +69.1938709603941|-36.745 -59.937    |9.30     |G0                  |    ~     ~    
1181|BD+25 2775                                                            |Star                           |14 24 28.9183436472 +24 44 31.386329844|031.6584792487098 +68.9761896961002|  6.586 -12.059    |9.32     |K5                  |    ~     ~    
1182|BD+24 2715                                                            |Star                           |14 18 21.2221895784 +23 59 56.567255964|028.7062603723085 +70.1758973530862| -1.230 -13.712    |9.39     |F5                  |    ~     ~    
1183|BD+24 2717B                                                           |Star                           |14 19 03.3229235136 +24 05 56.732035740|029.1024379250162 +70.0435966466282|   6.360 -7.599    |10.90    |F8                  |    ~     ~    
1184|BD+24 2718                                                            |Star                           |14 19 22.3829740968 +24 09 41.084229852|029.3286999180002 +69.9874090159040|   5.195 -7.318    |10.50    |G0                  |    ~     ~    
1185|HD 125784                                                             |High Proper Motion Star        |14 21 12.5030204712 +24 07 59.723069844|029.5263841264600 +69.5733785122445|-18.611 -57.823    |8.13     |K0                  |    ~     ~    
1186|BD+24 2724                                                            |Star                           |14 21 38.6704971504 +24 08 40.827738192|029.6231018443124 +69.4791151129257|  -43.689 3.839    |9.54     |K0                  |    ~     ~    
1187|HD 126100                                                             |Star                           |14 22 59.0642282136 +24 06 24.104069676|029.7160722393467 +69.1728044287326|   6.951 -1.605    |8.530    |K0                  |    ~     ~    
1188|BD+24 2730                                                            |High Proper Motion Star        |14 23 51.6535548576 +24 15 31.131960264|030.2570864658665 +69.0122652808633| -56.176 28.085    |10.15    |F2                  |    ~     ~    
1189|V* UV Boo                                                             |Irregular Variable             |14 22 32.3504693112 +25 33 00.089282880|033.6757602160889 +69.5560348238369|-37.596 -17.444    |8.14     |F5V                 |    ~     ~    
1190|V* RX Boo                                                             |Asymptotic Giant Branch Star   |14 24 11.6253191184 +25 42 13.394221596|034.2773431948769 +69.2127346185192| 19.873 -48.615    |8.60     |M7.5-M8             |    ~     ~    
1191|BD+25 2756                                                            |Star                           |14 18 10.6083485190 +25 14 26.347489645|032.2890259032068 +70.4735467751600|   1.447 -4.725    |10.44    |~                   |    ~     ~    
1192|BD+24 2725                                                            |Star                           |14 22 12.2334564504 +23 38 14.663799348|028.3124565292072 +69.2338101242263| -17.450 -7.445    |8.97     |K5                  |    ~     ~    
1193|BD+24 2733                                                            |High Proper Motion Star        |14 25 43.4748820082 +23 37 01.490279666|028.8134411668405 +68.4476900669358|792.552 -1116.405  |9.720    |M3V                 |    ~     ~    
1194|BD+24 2733B                                                           |High Proper Motion Star        |14 25 46.6522460414 +23 37 13.708945219|028.8305648609049 +68.4367782135688|793.442 -1118.911  |9.973    |M3V                 |    ~     ~    
1195|BD+24 2734                                                            |Star                           |14 25 49.2918629928 +23 37 18.122495124|028.8405802167049 +68.4273181794207|   -7.190 1.517    |9.502    |K7                  |    ~     ~    
1196|TYC 2007-916-1                                                        |Star                           |14 16 05.0248401936 +24 19 40.390555296|029.3071453193170 +70.7554286182460|   -5.034 3.690    |10.98    |~                   |    ~     ~    
1197|TYC 2007-990-1                                                        |Star                           |14 18 39.7059725448 +23 54 41.557104072|028.5056628833743 +70.0866652843576|  -24.978 0.893    |10.62    |~                   |    ~     ~    
1198|TYC 2008-22-1                                                         |Star                           |14 25 18.9846211272 +23 40 43.975342596|028.9139782415165 +68.5535161992142|   7.400 -9.232    |9.96     |~                   |    ~     ~    
1199|TYC 2008-123-1                                                        |Star                           |14 23 08.1854976912 +24 45 15.737657724|031.5205754440131 +69.2779559850824|  2.314 -15.164    |10.59    |~                   |    ~     ~    
1200|TYC 2008-132-1                                                        |Star                           |14 20 29.5394878608 +24 00 39.497767920|029.0756729766579 +69.7040542575666|   -8.987 6.960    |10.62    |~                   |    ~     ~    
1201|TYC 2008-286-1                                                        |Star                           |14 23 32.4232106616 +23 46 32.923755984|028.8996447108233 +68.9713555083686|   -1.322 1.758    |10.35    |~                   |    ~     ~    
1202|TYC 2008-328-1                                                        |Star                           |14 20 48.7095053160 +24 05 58.144584840|029.3723970479543 +69.6536962636198| 24.918 -34.330    |10.94    |~                   |    ~     ~    
1203|TYC 2008-350-1                                                        |Star                           |14 22 43.8137476944 +24 05 12.396169032|029.6240312679467 +69.2246995435090|  -5.297 29.762    |10.28    |~                   |    ~     ~    
1204|TYC 2008-437-1                                                        |Star                           |14 23 44.9071485504 +24 55 20.619073560|032.0619939174942 +69.1748184684616|-16.990 -10.249    |10.73    |~                   |    ~     ~    
1205|TYC 2008-605-1                                                        |Star                           |14 24 47.5895603208 +24 36 28.423262484|031.3331187901236 +68.8796957407070|-36.683 -14.533    |10.25    |~                   |    ~     ~    
1206|TYC 2008-647-1                                                        |Star                           |14 25 50.3792747472 +24 31 42.626237268|031.2552225194106 +68.6304562141499|  1.253 -16.258    |10.14    |~                   |    ~     ~    
1207|TYC 2008-1051-1                                                       |High Proper Motion Star        |14 21 45.6691790256 +23 41 26.429504964|028.3870658345330 +69.3452495019706| 56.445 -20.249    |10.89    |~                   |    ~     ~    
1208|TYC 2010-972-1                                                        |Star                           |14 15 39.6190805568 +25 19 10.678383408|032.2190713684430 +71.0474114145000|-22.568 -33.998    |10.70    |~                   |    ~     ~    
1209|TYC 2010-1124-1                                                       |Spectroscopic Binary           |14 17 22.1807210640 +25 19 55.217257500|032.4623863905292 +70.6692694487936| -0.462 -19.723    |10.58    |~                   |    ~     ~    
1210|BD+25 2751                                                            |Star                           |14 16 42.3744549096 +25 19 15.285452232|032.3497670119488 +70.8149359539907| -16.820 -3.192    |10.96    |~                   |    ~     ~    
1211|TYC 2011-733-1                                                        |Star                           |14 22 50.5581837240 +25 19 18.519435372|033.0666795612567 +69.4497823993282|   1.038 -4.152    |10.52    |~                   |    ~     ~    
1212|TYC 2011-925-1                                                        |Star                           |14 23 21.5744790792 +25 09 05.840347896|032.6505844990367 +69.3043468038578|-15.031 -27.710    |10.83    |~                   |    ~     ~    
1213|TYC 2011-952-1                                                        |High Proper Motion Star        |14 19 35.8713656352 +25 32 34.509525252|033.3380093376792 +70.2092664051135|-81.617 -27.856    |10.83    |~                   |    ~     ~    
1214|BD+25 2760                                                            |Star                           |14 20 41.4381201264 +25 07 12.116842500|032.2437410409352 +69.8923631113646| -26.469 -0.050    |10.68    |~                   |    ~     ~    
1215|TYC 2011-1028-1                                                       |High Proper Motion Star        |14 20 28.7072748288 +25 48 20.540347956|034.1939791750022 +70.0549849881837| -49.970 47.030    |10.83    |~                   |    ~     ~    
1216|TYC 2011-1144-1                                                       |High Proper Motion Star        |14 23 01.7348318760 +25 16 11.841228048|032.9425299901303 +69.3992056783799|-65.593 -73.720    |10.15    |~                   |    ~     ~    
1217|BD+26 2549                                                            |Star                           |14 16 45.5394343128 +25 49 21.335812752|033.8645850809805 +70.8849595937196|   -4.614 0.109    |10.67    |~                   |    ~     ~    
1218|TYC 2007-737-1                                                        |Star                           |14 17 13.2775312224 +24 40 50.602068372|030.5158154022689 +70.5783664877142| -11.760 26.218    |10.59    |~                   |    ~     ~    
1219|BD+25 2758                                                            |Star                           |14 19 40.4094539616 +24 59 52.465856460|031.7670756103286 +70.0957916904026| -33.776 10.179    |10.75    |~                   |    ~     ~    
1220|TYC 2011-1215-1                                                       |Star                           |14 21 25.5262023888 +25 50 51.351067464|034.4089286196796 +69.8506891341073|-10.569 -14.441    |10.98    |~                   |    ~     ~    
1221|HD 124797                                                             |Pulsating Variable             |14 15 01.5624219456 +23 41 09.836304036|027.2368771213799 +70.8366531574197|-22.589 -19.855    |6.764    |F0                  |    ~     ~    
1222|HD 125054                                                             |Star                           |14 16 34.9639358280 +22 40 30.206937288|024.6193824962001 +70.2130523753643|  5.010 -36.104    |8.74     |G0                  |    ~     ~    
1223|BD+23 2670                                                            |Star                           |14 15 52.8100292928 +23 00 16.471548396|025.4158333894193 +70.4640041095529|-10.014 -16.497    |10.18    |~                   |    ~     ~    
1224|BD+24 2711                                                            |Double or Multiple Star        |14 16 35.8145781264 +23 28 36.361210296|026.9076976445918 +70.4348596270132| -30.646 19.587    |9.13     |~                   |    ~     ~    
1225|BD+24 2714                                                            |Star                           |14 17 59.9721346440 +23 36 31.100477040|027.5321539421641 +70.1584369478194| -6.127 -11.956    |9.39     |M0                  |    ~     ~    
1226|HD 125578                                                             |Double or Multiple Star        |14 19 40.8533134968 +23 30 16.177944456|027.5266306131004 +69.7593053041206|   3.909 15.982    |8.973    |G0                  |    ~     ~    
1227|BD+23 2677                                                            |High Proper Motion Star        |14 18 39.0492545736 +23 04 00.565572432|026.1208742372607 +69.8698780355778| 11.388 -63.615    |9.24     |K0                  |    ~     ~    
1228|BD+23 2680                                                            |Star                           |14 19 23.5330647360 +23 18 06.446626488|026.9108612842304 +69.7700191293208| -34.926 13.978    |10.99    |F8                  |    ~     ~    
1229|BD+23 2682                                                            |Star                           |14 20 07.9314396360 +23 03 18.239320296|026.3610236706751 +69.5392587361248|   -4.945 7.899    |9.54     |K2                  |    ~     ~    
1230|BD+23 2687                                                            |Red Giant Branch star Candidate|14 22 51.6406570344 +23 13 15.267348696|027.2932392518006 +68.9807004525418|  -5.896 -7.341    |9.83     |K0                  |    ~     ~    
1231|BD+23 2688                                                            |High Proper Motion Star        |14 23 05.5950802248 +22 37 44.117087916|025.7575036904590 +68.7640874658492|-151.097 -58.495   |9.461    |G5                  |    ~     ~    
1232|BD+23 2690                                                            |High Proper Motion Star        |14 23 59.0445101688 +22 33 04.353394428|025.7183856193479 +68.5447345524032|-112.085 10.923    |9.23     |G5                  |    ~     ~    
1233|BD+23 2692                                                            |Star                           |14 24 46.2315361752 +22 40 18.667658676|026.1766446504921 +68.4060708588148| -25.506 -4.593    |8.66     |G5                  |    ~     ~    
1234|BD+23 2694                                                            |Star                           |14 25 52.4978691168 +22 49 41.362485708|026.7774782764028 +68.2062178777276|  -9.685 -4.049    |8.90     |M1                  |    ~     ~    
1235|BD+22 2685                                                            |High Proper Motion Star        |14 19 15.8942304888 +22 05 55.693786128|023.5849122878738 +69.4454074178826| -120.921 6.961    |9.65     |G0                  |    ~     ~    
1236|HD 125770                                                             |High Proper Motion Star        |14 21 01.6253747808 +21 55 33.550947840|023.4930286067015 +69.0031179257157| -77.786 19.694    |8.42     |K2                  |    ~     ~    
1237|BD+22 2691                                                            |Star                           |14 22 35.6096732808 +21 52 49.541215008|023.6981695012452 +68.6445154647744|   1.629 -4.587    |10.59    |K2                  |    ~     ~    
1238|HD 126169                                                             |Spectroscopic Binary           |14 23 21.5578776192 +22 16 18.954532380|024.8706822958730 +68.5989266009061| -13.120 -8.075    |8.11     |K2                  |    ~     ~    
1239|HD 126495                                                             |Star                           |14 25 22.6843037256 +21 57 56.760023808|024.4749308788296 +68.0594956428900|-24.041 -27.636    |8.97     |F8                  |    ~     ~    
1240|HD 126568                                                             |Double or Multiple Star        |14 25 45.1390 +22 17 26.291            |025.3739211 +68.0770991            | -83.193 54.732    |9.38     |G5                  |    ~     ~    
1241|BD+22 2700                                                            |Star                           |14 25 50.5750263024 +22 16 03.804255048|025.3323756290404 +68.0502028180767|  17.381 -8.048    |10.30    |~                   |    ~     ~    
1242|BD+22 2701                                                            |Double or Multiple Star        |14 26 11.4553808760 +21 54 03.237084936|024.4692696801519 +67.8601540755060|   -9.357 6.470    |8.73     |K0                  |0.0033  0.0    
1243|BD+23 2673                                                            |Star                           |14 17 56.2134165480 +23 07 38.918172756|026.1580208821198 +70.0444358041870|  -14.206 8.576    |10.36    |~                   |    ~     ~    
1244|HD 125376                                                             |High Proper Motion Star        |14 18 31.2305383704 +21 28 23.513430540|021.7426614572395 +69.4003464415781| -55.488 -9.237    |7.77     |K0                  |    ~     ~    
1245|BD+22 2686                                                            |Star                           |14 21 02.2875164832 +21 43 12.845831520|022.9536080549697 +68.9333796451001|  -25.547 3.026    |9.17     |K2                  |    ~     ~    
1246|BD+22 2688                                                            |Star                           |14 21 26.3130116304 +21 21 19.453601268|022.0902208207169 +68.7223393990096| -0.036 -19.506    |9.20     |K5                  |    ~     ~    
1247|HD 126328                                                             |Star                           |14 24 17.1182692680 +21 27 15.165073620|022.9568418982004 +68.1330242161822|  -13.503 2.527    |8.11     |K2                  |    ~     ~    
1248|BD+22 2696                                                            |Star                           |14 24 19.2948670848 +21 42 19.223375364|023.6015750549715 +68.2082675043590|   3.752 -2.861    |9.10     |K7                  |    ~     ~    
1249|HD 126410                                                             |Star                           |14 24 48.5172152640 +21 21 28.420041672|022.8242512805541 +67.9858541780389|  5.566 -38.049    |7.24     |K2                  |    ~     ~    
1250|HD 125352                                                             |Star                           |14 18 21.3817963896 +21 18 15.459335208|021.2551933564034 +69.3770733002748|-32.830 -28.330    |7.01     |K0                  |    ~     ~    
1251|BD+21 2642                                                            |High Proper Motion Star        |14 21 29.9721425976 +21 14 44.797513056|021.8208288171885 +68.6709491962683|-40.342 -26.860    |9.99     |G5                  |    ~     ~    
1252|BD+21 2647                                                            |Star                           |14 24 07.0097500032 +21 10 08.450325084|022.2022137139333 +68.0724109015547| -13.011 -8.460    |9.65     |G5                  |    ~     ~    
1253|CCDM J14233+2110                                                      |Double or Multiple Star        |14 23 19.58 +21 10 27.9                |022.04342 +68.24705                |            ~ ~    |10.2     |~                   |    ~     ~    
1254|TYC 1475-183-1                                                        |Star                           |14 21 53.2960576176 +22 27 33.376420512|025.0797785145041 +68.9797631176081|  -10.750 4.477    |10.50    |~                   |    ~     ~    
1255|TYC 1475-223-1                                                        |Star                           |14 19 51.1978657368 +22 26 16.986998184|024.6232781941566 +69.4216406822767| 30.910 -16.059    |10.55    |~                   |    ~     ~    
