C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
90  |TYC 4562-1532-1                                                       |Star                           |14 26 15.5700278280 +78 12 45.433156824|116.9663226270266 +37.7947997458119|   -8.846 9.845    |10.72    |~                   |    ~     ~    
91  |HD 127983                                                             |Star                           |14 29 01.3184373168 +75 45 57.755710764|115.3260601058162 +39.8871817462906| 24.566 -17.161    |8.14     |K2                  |    ~     ~    
92  |* 5 UMi                                                               |Variable Star                  |14 27 31.5433513 +75 41 45.571658      |115.3883237578 +39.9926728604      |     8.79 21.76    |4.235    |K4-III              |    ~     ~    
93  |BD+76 529                                                             |Star                           |14 29 34.7252868192 +75 23 39.069215376|115.0525210438399 +40.1964147764428| 39.514 -29.040    |9.04     |K2                  |    ~     ~    
94  |HD 126361                                                             |Star                           |14 20 12.3674057280 +74 52 30.801983376|115.4359651949484 +40.9351178618961| -11.885 30.143    |8.59     |K0                  |    ~     ~    
95  |HD 126565                                                             |High Proper Motion Star        |14 21 21.8371666080 +75 03 39.198495744|115.4569133167368 +40.7354774828019| -62.100 13.240    |7.72     |K0                  |    ~     ~    
96  |BD+75 533                                                             |High Proper Motion Star        |14 23 55.3224420864 +74 59 40.572039264|115.2229739709179 +40.7193025789584| -61.314 -6.256    |9.56     |K0                  |    ~     ~    
97  |BD+75 534                                                             |Star                           |14 27 04.9940413248 +74 24 51.174083988|114.6183607860831 +41.1335744644000|  -4.775 -1.243    |10.43    |K0                  |    ~     ~    
98  |BD+75 535                                                             |Star                           |14 27 15.7851388080 +74 37 31.487120976|114.7384211729799 +40.9423996127544|  6.430 -15.402    |9.75     |F8                  |    ~     ~    
99  |BD+75 536                                                             |Star                           |14 29 34.8662289744 +74 29 07.252906236|114.4697963732943 +40.9902658061124|  -14.679 5.977    |10.40    |M2                  |    ~     ~    
100 |BD+74 574                                                             |Star                           |14 15 27.0038802792 +73 50 40.708350492|115.2195370628327 +42.0020953514583|-16.656 -16.074    |9.56     |G5                  |    ~     ~    
101 |TYC 4409-373-1                                                        |Star                           |14 18 01.0015256880 +73 58 21.361133100|115.0791112324192 +41.8095332539270|  9.294 -30.031    |10.42    |G                   |    ~     ~    
102 |HD 127433                                                             |Star                           |14 26 32.4574294464 +74 19 30.804028068|114.6044673813690 +41.2292004840051|   6.167 -0.972    |9.01     |F8                  |    ~     ~    
103 |BD+74 582                                                             |Star                           |14 27 56.1374420160 +74 14 27.755079144|114.4405149078001 +41.2576456527503|   10.427 1.813    |9.46     |F5                  |    ~     ~    
104 |BD+74 583                                                             |Star                           |14 29 48.1985865864 +73 54 31.569976800|114.0750385120528 +41.4847887200618|  -47.252 6.142    |9.97     |F8                  |    ~     ~    
105 |TYC 4416-1170-1                                                       |Star                           |14 29 42.5138980464 +73 55 14.185872192|114.0904621883380 +41.4777400719757|  -47.497 6.151    |9.97     |F5                  |    ~     ~    
106 |HD 125405                                                             |Star                           |14 15 06.3497372736 +73 20 01.220654400|114.9524038532307 +42.4738645436306|    3.117 4.490    |8.800    |F8                  |    ~     ~    
107 |BD+74 575                                                             |Star                           |14 16 49.4097622272 +73 20 35.224343340|114.8077217534648 +42.4118269582466|  -14.383 2.464    |9.87     |G5                  |    ~     ~    
108 |HD 126287                                                             |Spectroscopic Binary           |14 20 08.9394846984 +73 31 21.661864140|114.6291810022425 +42.1453930089843|    5.094 1.752    |9.47     |F8                  |    ~     ~    
109 |BD+73 626                                                             |Star                           |14 23 29.5357934520 +72 59 04.884640548|114.0037616371222 +42.5109541828596|   7.699 -8.237    |10.17    |K2                  |    ~     ~    
110 |BD+73 628                                                             |Star                           |14 26 24.9906791472 +72 47 48.324726924|113.6253098076495 +42.5727947901295|  -10.330 1.533    |9.94     |G5                  |    ~     ~    
111 |HD 127713                                                             |Star                           |14 28 31.8429718776 +73 03 18.349748280|113.6137837617132 +42.2715494694956|  11.109 -3.946    |8.61     |A2                  |    ~     ~    
112 |BD+73 631B                                                            |Star                           |14 28 28.1579439216 +73 03 06.707907432|113.6168812550393 +42.2765728539825|  10.655 -4.594    |10.08    |~                   |    ~     ~    
113 |TYC 4409-159-1                                                        |Star                           |14 20 56.8543831488 +73 23 49.014766788|114.4836141615474 +42.2314554185872| -42.945 19.098    |10.05    |~                   |    ~     ~    
114 |TYC 4409-265-1                                                        |Star                           |14 17 24.8448920568 +73 54 02.751380316|115.0870260469801 +41.8923784765662|   3.673 -5.918    |10.53    |~                   |    ~     ~    
115 |TYC 4409-573-1                                                        |High Proper Motion Star        |14 20 31.2290506944 +73 39 38.901185964|114.6820755362237 +42.0103945206959|-48.058 -23.805    |10.67    |~                   |    ~     ~    
116 |TYC 4409-731-1                                                        |Star                           |14 20 27.8468866368 +74 13 04.524678768|115.0243817846173 +41.5152140070163|   -7.974 9.950    |10.23    |~                   |    ~     ~    
117 |TYC 4409-764-1                                                        |Star                           |14 20 00.4665267816 +73 07 11.959199436|114.3940622653782 +42.5087810273535|   21.217 1.725    |9.99     |~                   |    ~     ~    
118 |TYC 4409-866-1                                                        |High Proper Motion Star        |14 20 53.5005993144 +73 09 44.771869224|114.3430743931482 +42.4417397663069| 39.890 -28.905    |10.68    |~                   |    ~     ~    
119 |TYC 4409-1704-1                                                       |Star                           |14 17 36.8546514648 +74 36 04.945780188|115.4793865663733 +41.2560726112777| -38.074 -1.992    |10.75    |~                   |    ~     ~    
120 |TYC 4409-1882-1                                                       |High Proper Motion Star        |14 19 11.2554986088 +74 47 18.864965544|115.4642573548667 +41.0423133546092| -64.046 18.073    |10.84    |~                   |    ~     ~    
121 |TYC 4409-1934-1                                                       |Star                           |14 19 42.9048716928 +74 42 10.061415684|115.3726524212892 +41.1038986629258| -16.518 11.292    |10.79    |~                   |    ~     ~    
