C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:59:55

dec< 0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5947

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |BD+00 2796                                                                                               |High Proper Motion Star               |11 31 27.4959106752 -00 18 47.119387572|264.6573258537375 +56.4950447793529|-55.325 -42.538   |10.3     |~                   |    ~     ~    |    1|  146.716   pc  |  -0.4090     +0.4090    |paral   |2020yCat.1350....0G
33  |TYC 4933-403-1                                                                                           |Star                                  |11 32 43.6215473880 -02 36 33.839985276|267.3075317736163 +54.7246078126549|-45.557 -15.917   |10.01    |~                   |    ~     ~    |    1|  503.373   pc  |  -4.5102     +4.5102    |paral   |2020yCat.1350....0G
34  |TYC 4930-39-1                                                                                            |Star                                  |11 33 32.0725510872 -01 15 26.945851248|266.3620342190091 +55.9814006365342|   -9.531 1.374   |10.78    |~                   |    ~     ~    |    1|  673.038   pc  |  -8.9690     +8.9690    |paral   |2020yCat.1350....0G
35  |2MASS J11350495-0040084                                                                                  |Spectroscopic Binary                  |11 35 04.9627181328 -00 40 08.455448964|266.3911621839031 +56.6855269352269|  -1.252 -8.009   |10.3     |~                   |    ~     ~    |    1| 1643.926   pc  | -60.5358    +60.5358    |paral   |2020yCat.1350....0G
36  |BD-00 2456                                                                                               |Star                                  |11 35 27.8479298760 -01 14 32.068187988|267.0834242055994 +56.2479888258604| 11.143 -13.170   |10.73    |~                   |    ~     ~    |    1|  748.335   pc  | -10.9761    +10.9761    |paral   |2020yCat.1350....0G
37  |TYC 4930-758-1                                                                                           |Spectroscopic Binary                  |11 35 38.7782353776 -02 26 02.371098372|268.2415395777372 +55.2492058250366|  -12.956 0.942   |10.151   |~                   |    ~     ~    |    1| 1807.540   pc  |-210.7000   +210.7000    |ST-L    |2020AJ....160...83S
38  |TYC 4930-979-1                                                                                           |Spectroscopic Binary                  |11 36 01.2545425344 -02 17 44.012440572|268.2599963585625 +55.4159664138619|  -37.010 5.717   |10.41    |~                   |    ~     ~    |    1|  716.510   pc  | -30.1000    +30.1000    |ST-L    |2020AJ....160...83S
39  |TYC 4930-64-1                                                                                            |Variable Star                         |11 32 42.1856156472 -01 12 36.465182028|266.0028963974677 +55.9107946379240|  6.704 -24.437   |10.81    |~                   |    ~     ~    |    1|  193.502   pc  |  -0.9323     +0.9323    |paral   |2020yCat.1350....0G
40  |TYC 4930-93-1                                                                                            |Star                                  |11 35 09.4879578240 -00 47 19.440995964|266.5354324164373 +56.5939083612358|  -0.286 -9.236   |10.847   |~                   |    ~     ~    |    1|  401.277   pc  | -16.4500    +16.4500    |ST-L    |2020AJ....160...83S
41  |TYC 4930-206-1                                                                                           |High Proper Motion Star               |11 30 53.1785406768 -01 35 08.382186204|265.6814672570185 +55.3501957356657|  -70.775 3.854   |10.75    |~                   |    ~     ~    |    1|  142.731   pc  |  -0.3484     +0.3484    |paral   |2020yCat.1350....0G
42  |TYC 4930-349-1                                                                                           |Star                                  |11 32 47.5126376448 -00 27 29.552339088|265.3072121152753 +56.5560677039299|  -0.399 -3.975   |10.9     |~                   |    ~     ~    |    1|  621.465   pc  | -22.5166    +22.5166    |paral   |2020yCat.1350....0G
43  |TYC 4930-393-1                                                                                           |Star                                  |11 36 12.3104562168 -02 23 08.684682972|268.4102053927022 +55.3614432209022|   -9.953 7.347   |10.44    |~                   |    ~     ~    |    1|  262.398   pc  |  -1.8384     +1.8384    |paral   |2020yCat.1350....0G
44  |TYC 4930-493-1                                                                                           |High Proper Motion Star               |11 35 44.3331688872 -00 02 50.460793692|266.0388881483004 +57.2991662911349| -51.896 17.697   |10.9     |~                   |    ~     ~    |    1|  127.036   pc  |  -1.0474     +1.0474    |paral   |2020yCat.1350....0G
45  |TYC 4930-509-1                                                                                           |Star                                  |11 35 36.7831982112 -00 00 46.324190952|265.9555378619518 +57.3114794356355| -44.998 -9.101   |10.8     |~                   |    ~     ~    |    1|  254.505   pc  |  -1.0169     +1.0169    |paral   |2020yCat.1350....0G
46  |TYC 4930-638-1                                                                                           |Star                                  |11 37 15.0893489280 -01 18 34.556860656|267.8362105015292 +56.4210942489047| -43.317 12.358   |10.58    |~                   |    ~     ~    |    1|  249.569   pc  |  -0.9280     +0.9280    |paral   |2020yCat.1350....0G
47  |TYC 4930-775-1                                                                                           |Spectroscopic Binary                  |11 37 07.7686331112 -01 37 14.435629536|268.0749481657085 +56.1380143030362| -37.490 -3.951   |10.85    |~                   |    ~     ~    |    1|  225.978   pc  |  -2.1346     +2.1346    |paral   |2020yCat.1350....0G
48  |TYC 4930-914-1                                                                                           |High Proper Motion Star               |11 32 56.4214151784 -02 04 18.633355320|266.8984714276010 +55.2110971127674|-31.031 -34.764   |10.77    |~                   |    ~     ~    |    1|  170.622   pc  |  -1.5167     +1.5167    |paral   |2020yCat.1350....0G
49  |* e Leo                                                                                                  |Star                                  |11 30 18.8933524920 -03 00 12.598924644|266.7788689585124 +54.0739254846008| 19.554 -16.149   |4.77     |K3+IIIFe-0.5        |    ~     ~    |    1|  151.763   pc  |  -2.5980     +2.5980    |paral   |2020yCat.1350....0G
50  |HD 100085                                                                                                |Star                                  |11 31 02.6479753032 -02 57 18.219594960|267.0001615601907 +54.2106389113980|  -28.188 1.484   |9.24     |G5/8w(A)            |    ~     ~    |    1|  679.163   pc  |  -7.4263     +7.4263    |paral   |2020yCat.1350....0G
51  |BD-02 3369                                                                                               |Star                                  |11 33 16.2042199464 -03 03 10.224055116|267.9021301640022 +54.4144280879428|  -15.750 5.949   |10.33    |K5                  |    ~     ~    |    1| 1230.466   pc  | -29.6753    +29.6753    |paral   |2020yCat.1350....0G
52  |HD 100996                                                                                                |Star                                  |11 37 25.5733849296 -02 53 31.835817132|269.3165030345110 +55.0747783674051| -10.944 -6.556   |9.027    |M0III               |    ~     ~    |    1|  686.945   pc  | -29.9000    +29.9000    |ST-L    |2020AJ....160...83S
53  |BD-02 3380                                                                                               |Star                                  |11 36 38.2440340296 -02 58 35.634793728|269.0909791147636 +54.9039918007976|  -3.752 -6.710   |10.360   |~                   |    ~     ~    |    1|  332.007   pc  |  -6.7520     +6.7520    |ST-L    |2020AJ....160...83S
54  |BD-02 3374                                                                                               |Star                                  |11 35 14.2536095880 -02 51 56.887977672|268.4688586758478 +54.8250460764736|   7.623 -1.456   |10.510   |~                   |    ~     ~    |    1|  986.657   pc  | -50.8400    +50.8400    |ST-L    |2020AJ....160...83S
55  |HD 100245                                                                                                |Star                                  |11 32 06.6391149096 -03 31 52.970596140|267.8957728939839 +53.8552094661294|-13.193 -13.760   |8.67     |K0III+(G)           |    ~     ~    |    1|  303.177   pc  |  -1.9854     +1.9854    |paral   |2020yCat.1350....0G
56  |HD 100245B                                                                                               |Double or Multiple Star               |11 32 07.2010655691 -03 31 59.778774343|267.9008178533890 +53.8547811093055|    -13.0 -17.0   |9.75     |~                   |    ~     ~    |    0|                |                         |        |                   
57  |HD 100564                                                                                                |Variable Star                         |11 34 21.2734396848 -03 30 12.898050624|268.6931746419646 +54.1629490667586| -39.554 12.273   |9.750    |F3/5V               |    ~     ~    |    1|  180.906   pc  |  -2.4900     +2.4900    |ST-L    |2020AJ....160...83S
58  |BD-02 3376                                                                                               |Star                                  |11 35 53.8110795288 -03 06 47.470174848|268.9306217366033 +54.6935169542411|-38.236 -10.162   |9.920    |F8                  |    ~     ~    |    1|  160.174   pc  |  -1.7340     +1.7340    |ST-L    |2020AJ....160...83S
59  |HD 100860                                                                                                |High Proper Motion Star               |11 36 30.2317999560 -03 35 10.038324984|269.5604796658580 +54.3573507969077|-111.584 -4.276   |9.46     |G8/K0V              |    ~     ~    |    1|   53.690   pc  |  -0.0516     +0.0516    |paral   |2020yCat.1350....0G
60  |HD 100519                                                                                                |Variable Star                         |11 34 04.0276158888 -04 09 57.795017148|269.1482512354230 +53.5530511621669| -27.679 22.614   |9.01     |G0V                 |    ~     ~    |    1|  120.038   pc  |  -0.3357     +0.3357    |paral   |2020yCat.1350....0G
61  |HD 100019                                                                                                |Star                                  |11 30 29.8986147480 -04 41 28.336992288|268.3056074653387 +52.6524111379455| -0.675 -30.686   |9.36     |K0III               |    ~     ~    |    1|  326.158   pc  |  -2.7339     +2.7339    |paral   |2020yCat.1350....0G
62  |V* CZ Leo                                                                                                |Long-Period Variable                  |11 31 20.0305877784 -04 17 59.134195500|268.2737706987865 +53.0953830341909|  -6.211 -3.365   |8.88     |M3III               |    ~     ~    |    1|  667.334   pc  | -14.4734    +14.4734    |paral   |2020yCat.1350....0G
63  |HD 100328                                                                                                |Star                                  |11 32 40.0892770200 -04 28 33.767593140|268.9002504571919 +53.1105722493040|-21.166 -19.165   |8.56     |G8/K0IV             |    ~     ~    |    1|  368.514   pc  |  -3.2049     +3.2049    |paral   |2020yCat.1350....0G
64  |BD-03 3139                                                                                               |Star                                  |11 33 51.9824094552 -04 46 57.294899976|269.5843429068873 +52.9921553999034|  -3.732 -6.696   |8.93     |M3                  |    ~     ~    |    1|  773.455   pc  | -14.3576    +14.3576    |paral   |2020yCat.1350....0G
