C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
56  |HD 327328                                                                                                |Star                           |17 19 56.4073681008 -43 05 13.909082460|345.3123285082000 -03.3729404311731|    0.268 0.035    |10.74    |A0                  |    ~     ~          
57  |HD 327320                                                                                                |Star                           |17 20 04.4621611440 -42 44 03.323004900|345.6167684366878 -03.1918560992542|   1.487 -1.689    |9.90     |B3                  |    ~     ~          
58  |HD 156674                                                                                                |Star                           |17 20 53.6887671816 -42 39 10.344970332|345.7697440529487 -03.2694632211180|  4.518 -32.147    |8.48     |F6V                 |    ~     ~          
59  |HD 156690                                                                                                |Star                           |17 20 59.1760238880 -42 44 44.723957892|345.7027503294875 -03.3360690689906|  -0.235 -2.455    |8.56     |F7/8V               |    ~     ~          
60  |HD 156785                                                                                                |Star                           |17 21 30.5144124216 -42 22 05.490993720|346.0687884399075 -03.2009470726958|  -6.697 -8.878    |9.13     |A8V                 |    ~     ~          
61  |HD 323283                                                                                                |Star                           |17 21 39.8906 -42 20 39.205            |346.1049567 -03.2111397            |  -2.358 -4.611    |10.65    |B9                  |    ~     ~          
62  |HD 156851                                                                                                |Star                           |17 21 47.3642596560 -42 44 21.291258588|345.7918991018360 -03.4538258984268|   1.230 -0.871    |9.70     |B9/A0III            |    ~     ~          
63  |CD-42 12067                                                                                              |Star                           |17 21 51.0093792576 -42 51 44.150333328|345.6966231729809 -03.5326511459499|   2.081 -6.050    |9.85     |F8                  |    ~     ~          
64  |HD 156884                                                                                                |Star                           |17 21 57.3235712568 -42 10 54.313040316|346.2695501626707 -03.1634010045755|   3.959 12.251    |7.26     |A5V                 |    ~     ~          
65  |CD-42 12079                                                                                              |Star                           |17 22 30.1327321320 -42 57 28.481188536|345.6851733539346 -03.6852062248778|-15.122 -14.852    |9.87     |F5                  |    ~     ~          
66  |HD 157099                                                                                                |Be Star                        |17 23 13.5659883528 -42 49 45.205765284|345.8665768532632 -03.7222054446672|  -0.346 -4.746    |8.83     |B3Vne               |    ~     ~          
67  |HD 157113                                                                                                |Star                           |17 23 15.8281195608 -42 30 38.165836536|346.1343785219025 -03.5486001508204|-11.541 -29.612    |8.53     |K0III               |    ~     ~          
68  |HD 157112                                                                                                |Star                           |17 23 17.3050340616 -42 22 04.309168512|346.2551342686256 -03.4720007466477|  -0.864 -1.214    |8.81     |K5                  |    ~     ~          
69  |HD 323484                                                                                                |Star                           |17 24 20.0702355984 -42 11 20.691265164|346.5122225027437 -03.5316324921775|  -2.356 -3.209    |10.01    |B0                  |    ~     ~          
70  |HD 323485                                                                                                |High Proper Motion Star        |17 25 15.6706252008 -42 24 00.383735412|346.4330304002315 -03.7917314220168|-26.607 -51.048    |10.01    |F5                  |    ~     ~          
71  |HD 157476                                                                                                |Star                           |17 25 21.2777279880 -42 17 04.050368520|346.5388486849611 -03.7414969143338|   -2.806 7.436    |9.03     |G8/K0(III)          |    ~     ~          
72  |HD 323486                                                                                                |Star                           |17 25 23.1294155928 -42 27 14.046060744|346.4011279572682 -03.8407915926803|  4.139 -25.818    |9.87     |G0                  |    ~     ~          
