C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
4197|CD-60 6671                                                                                               |Star                           |17 26 50.8886175840 -61 03 53.177469840|330.6594418632981 -14.1060157683862|  -6.304 -9.954    |10.03    |~                   |    ~     ~          
4198|CD-60 6677                                                                                               |Star                           |17 27 50.9885071032 -60 56 05.053730676|330.8388934789941 -14.1429328036597|  -3.427 -3.698    |9.897    |~                   |    ~     ~          
4199|CD-59 6579                                                                                               |Star                           |17 28 34.1232994008 -59 24 52.201706940|332.2273281276764 -13.4351885434641| -4.304 -11.179    |10.01    |~                   |    ~     ~          
4200|CD-60 6664                                                                                               |Star                           |17 25 17.0442495888 -60 51 58.888122228|330.7324299021496 -13.8407510033656| 13.099 -29.470    |9.99     |~                   |    ~     ~          
4201|CD-60 6682                                                                                               |Star                           |17 28 15.3063521736 -60 13 13.348133688|331.4963002631102 -13.8176123846149|   -2.411 0.572    |10.13    |~                   |    ~     ~          
4202|V* V796 Ara                                                                                              |Long-Period Variable           |17 25 31.3701003480 -60 39 19.406547576|330.9333368630169 -13.7553718841739|  6.595 -10.580    |9.876    |~                   |    ~     ~          
4203|TYC 8740-66-1                                                                                            |Star                           |17 25 44.8991465400 -59 01 31.633295736|332.3747025511752 -12.9243458997257|   9.858 -6.819    |10.84    |~                   |    ~     ~          
4204|TYC 8740-168-1                                                                                           |Star                           |17 25 00.8422484400 -58 58 49.166441220|332.3628300722463 -12.8202300175659|  -5.036 -6.831    |10.24    |~                   |    ~     ~          
4205|TYC 8740-389-1                                                                                           |Star                           |17 23 06.8590 -59 58 05.963            |331.3719968 -13.1397640            |      2.9 -14.8    |10.19    |~                   |    ~     ~          
4206|TYC 8740-393-1                                                                                           |Spectroscopic Binary           |17 25 36.0916984968 -58 56 49.735700700|332.4327468814573 -12.8670061946258|   16.609 5.632    |10.48    |~                   |    ~     ~          
4207|TYC 8740-525-1                                                                                           |Star                           |17 27 35.6631009864 -59 15 34.441916868|332.2971978959539 -13.2486029496707|  3.483 -18.693    |10.72    |~                   |    ~     ~          
4208|TYC 8740-599-1                                                                                           |Star                           |17 21 37.8739202064 -59 33 42.442235748|331.6221312586064 -12.7646621951549| -10.017 -7.659    |10.85    |~                   |    ~     ~          
4209|TYC 8740-710-1                                                                                           |Chemically Peculiar Star       |17 28 24.4040415120 -59 45 19.552454136|331.9162697973633 -13.5938737739936|  -1.002 -1.545    |10.83    |~                   |    ~     ~          
4210|TYC 8740-714-1                                                                                           |Star                           |17 25 42.9721498896 -58 52 02.778444228|332.5102218519584 -12.8375519871997|  1.068 -23.705    |10.91    |~                   |    ~     ~          
4211|TYC 8740-837-1                                                                                           |Star                           |17 25 40.3550102544 -59 10 19.399160388|332.2415651691503 -12.9932836729655|  -2.222 -7.780    |10.94    |~                   |    ~     ~          
4212|TYC 8740-1236-1                                                                                          |Star                           |17 29 10.1390413392 -59 15 50.811340860|332.4003580909617 -13.4230344919627| -6.342 -10.535    |10.64    |~                   |    ~     ~          
4213|TYC 8740-1296-1                                                                                          |High Proper Motion Star        |17 24 11.4777471120 -58 50 40.126518276|332.4231412180883 -12.6581416229761|-50.682 -74.947    |10.08    |~                   |    ~     ~          
4214|TYC 8740-1402-1                                                                                          |Star                           |17 22 25.3348160208 -59 00 16.478701812|332.1595018189590 -12.5506839664805| -5.002 -17.537    |10.08    |~                   |    ~     ~          
4215|TYC 8740-1520-1                                                                                          |Star                           |17 24 10.8002885112 -58 47 22.399684908|332.4700098686690 -12.6276890661425|  -2.628 -9.109    |10.55    |~                   |    ~     ~          
4216|TYC 8740-1622-1                                                                                          |Star                           |17 23 15.9180681648 -59 24 54.574716564|331.8629873272889 -12.8614090518272| -1.813 -23.875    |10.57    |~                   |    ~     ~          
4217|TYC 8740-1667-1                                                                                          |Star                           |17 24 59.9610919608 -59 15 41.434910892|332.1169499608693 -12.9672752464331| -5.563 -21.905    |10.43    |~                   |    ~     ~          
4218|TYC 8740-1729-1                                                                                          |Chemically Peculiar Star       |17 28 23.6410572096 -59 00 11.269365948|332.5770061269658 -13.2029384981591|   0.920 -8.119    |10.93    |~                   |    ~     ~          
4219|TYC 8740-1754-1                                                                                          |Star                           |17 25 49.4939445168 -59 12 36.147361716|332.2189473268276 -13.0298574910033|-10.088 -24.972    |10.66    |~                   |    ~     ~          
4220|TYC 8740-1969-1                                                                                          |Star                           |17 26 49.4327461776 -59 13 42.825057348|332.2715743307111 -13.1483915598406|   4.904 -0.517    |10.38    |~                   |    ~     ~          
4221|TYC 8740-2046-1                                                                                          |Star                           |17 24 05.5894152240 -59 18 39.489415308|332.0110371749303 -12.8953087254432|   2.795 -2.788    |10.63    |~                   |    ~     ~          
4222|TYC 8740-2075-1                                                                                          |Star                           |17 25 35.3795646120 -59 14 19.804168104|332.1775626724111 -13.0194230852258| -8.517 -21.150    |10.44    |~                   |    ~     ~          
4223|TYC 9052-169-1                                                                                           |Star                           |17 24 39.9193124664 -60 23 23.717400432|331.1090662645250 -13.5263766294802|   -2.200 0.097    |10.957   |~                   |    ~     ~          
4224|TYC 9052-330-1                                                                                           |Star                           |17 21 32.0710651896 -61 09 22.381094520|330.2321900366648 -13.6078594690049| -0.760 -14.380    |10.89    |~                   |    ~     ~          
4225|TYC 9052-664-1                                                                                           |Star                           |17 19 11.6957597352 -61 27 11.699756928|329.8193776728349 -13.5299945596383|  -3.468 -8.534    |10.46    |~                   |    ~     ~          
4226|TYC 9052-828-1                                                                                           |Star                           |17 22 35.7632035320 -61 16 11.025344352|330.2030748050764 -13.7764324086869| -3.237 -14.590    |10.96    |~                   |    ~     ~          
4227|TYC 9052-836-1                                                                                           |Star                           |17 24 00.7724103096 -61 19 38.097191496|330.2451011226193 -13.9513027012536| -3.057 -20.012    |10.82    |~                   |    ~     ~          
4228|TYC 9052-866-1                                                                                           |Spectroscopic Binary           |17 23 16.4104842960 -61 17 19.153185540|330.2308125964705 -13.8555295608543|  13.834 21.406    |10.16    |~                   |    ~     ~          
4229|TYC 9052-1097-1                                                                                          |Star                           |17 25 41.7840134280 -60 27 40.112264448|331.1152872173180 -13.6720528722711|  -2.714 -9.444    |10.58    |~                   |    ~     ~          
4230|TYC 9052-1142-1                                                                                          |Star                           |17 20 53.9843053440 -61 06 04.484718108|330.2379090868881 -13.5137198486072| -6.354 -10.975    |10.15    |~                   |    ~     ~          
4231|TYC 9052-1337-1                                                                                          |Star                           |17 20 37.0132119024 -60 20 30.811455132|330.8772715863838 -13.0770836918622| -0.616 -28.631    |10.73    |~                   |    ~     ~          
4232|TYC 9052-1525-1                                                                                          |Star                           |17 20 08.4280958016 -60 32 49.871545332|330.6671759475780 -13.1381353717556|  11.645 -5.464    |10.98    |~                   |    ~     ~          
4233|TYC 9052-2699-1                                                                                          |Spectroscopic Binary           |17 22 45.9865335312 -60 53 17.527321104|330.5473537462304 -13.5917897543733| -6.813 -23.041    |10.38    |~                   |    ~     ~          
4234|TYC 9052-2936-1                                                                                          |Star                           |17 22 47.4387273288 -61 01 43.797169596|330.4262291879073 -13.6687907748533|  -6.883 -3.831    |10.61    |~                   |    ~     ~          
4235|TYC 9052-2972-1                                                                                          |Star                           |17 20 53.8771752864 -61 02 23.130201588|330.2912082529198 -13.4806337093146|  -2.305 -6.266    |10.041   |~                   |    ~     ~          
4236|TYC 9053-220-1                                                                                           |Star                           |17 29 44.8733382000 -61 22 34.256473500|330.5679477503796 -14.5652812858794|  -0.740 -8.011    |10.981   |~                   |    ~     ~          
4237|TYC 9053-375-1                                                                                           |Star                           |17 27 47.0938419528 -60 14 40.741649160|331.4438636160655 -13.7801648438244|   0.164 -8.091    |10.45    |~                   |    ~     ~          
4238|TYC 9053-570-1                                                                                           |Star                           |17 27 12.0511482048 -61 31 54.417078048|330.2692318033367 -14.3832304697754|   -5.555 9.692    |10.527   |~                   |    ~     ~          
4239|TYC 9053-1067-1                                                                                          |Star                           |17 28 34.3466006304 -61 06 32.566425876|330.7308972190111 -14.3075088161375|  -3.932 -0.700    |10.76    |~                   |    ~     ~          
4240|TYC 9053-1128-1                                                                                          |Star                           |17 28 13.5190001808 -61 07 22.568916864|330.6964256835917 -14.2786254331634| -7.075 -18.588    |10.342   |~                   |    ~     ~          
4241|TYC 9053-1138-1                                                                                          |Star                           |17 28 14.6317210392 -60 49 56.228508840|330.9549261191961 -14.1313706092550|  -25.980 5.303    |10.46    |~                   |    ~     ~          
4242|TYC 9053-1219-1                                                                                          |Star                           |17 29 50.0172597264 -60 40 13.682878536|331.2007926954888 -14.2154428913131| -4.687 -32.377    |10.36    |~                   |    ~     ~          
4243|TYC 9053-1262-1                                                                                          |Star                           |17 29 24.6014610432 -61 04 10.239187224|330.8193359820417 -14.3743612779295|   3.211 -7.625    |10.61    |~                   |    ~     ~          
4244|TYC 9053-1415-1                                                                                          |High Proper Motion Star        |17 29 30.5272619616 -61 00 33.018671016|330.8792229647082 -14.3539159259668| 35.250 -75.911    |10.58    |~                   |    ~     ~          
4245|TYC 9053-1448-1                                                                                          |Star                           |17 29 24.6717682968 -60 03 07.322946588|331.7212065298205 -13.8544915066882|   3.394 -9.803    |9.41     |~                   |    ~     ~          
4246|CPD-55 8010                                                                                              |Star                           |17 18 25.2815597736 -55 49 11.908914708|334.5806217776047 -10.3594613166291|  -1.629 -9.635    |10.27    |~                   |    ~     ~          
4247|HD 156242                                                                                                |Star                           |17 19 36.0867692256 -55 53 44.613171816|334.6098128925048 -10.5392693521099|  -1.229 -1.831    |8.45     |B8III               |    ~     ~          
4248|HD 157245                                                                                                |Double or Multiple Star        |17 25 18.8607025608 -55 59 35.201224320|334.9699506964394 -11.2632055515533| -0.028 -16.968    |8.80     |M2/3III             |0.0033  0.0          
4249|HD 155635                                                                                                |Star                           |17 16 02.5986026016 -56 06 47.015253216|334.1445888768849 -10.2473600922324|  -1.676 -7.189    |9.80     |B9/A0V(pSi)         |    ~     ~          
4250|CD-55 7105                                                                                               |High Proper Motion Star        |17 16 40.7604340488 -56 03 29.776748904|334.2412680097007 -10.2900562027268|  26.775 57.915    |9.72     |~                   |    ~     ~          
4251|CPD-55 8001                                                                                              |Star                           |17 17 23.0752729080 -56 04 42.382229448|334.2802213987610 -10.3829233758188|  -1.839 -4.581    |10.30    |~                   |    ~     ~          
4252|HD 155512                                                                                                |Star                           |17 15 21.6048849480 -57 05 03.684945012|333.2737087200724 -10.7152590687726|  1.973 -16.304    |8.91     |K0III               |    ~     ~          
4253|HD 155779                                                                                                |Star                           |17 16 54.3604095216 -56 39 57.826010880|333.7467353858875 -10.6559999124810| -7.649 -23.755    |9.38     |F7V                 |    ~     ~          
4254|HD 156139                                                                                                |Star                           |17 19 03.9270901704 -56 21 01.347761592|334.1822895090606 -10.7282978454696| -5.557 -12.608    |8.66     |B9.5V               |    ~     ~          
4255|HD 155465                                                                                                |Star                           |17 15 14.6053401888 -57 49 07.176036828|332.6456826811168 -11.1142242763095| -6.782 -20.023    |7.80     |B9IV/V              |    ~     ~          
4256|HD 155574                                                                                                |Star                           |17 15 48.8393164176 -57 30 38.105260200|332.9493008970111 -11.0049564597236|   0.759 -5.592    |9.52     |G5II/III+A3V        |    ~     ~          
4257|HD 155813                                                                                                |Eclipsing Binary               |17 17 14.4486714552 -57 26 16.612404072|333.1196916694041 -11.1236863566475|-12.648 -12.434    |9.50     |F0IV                |    ~     ~          
4258|V* V858 Ara                                                                                              |alpha2 CVn Variable            |17 18 45.1085724744 -57 26 20.555378916|333.2334572097758 -11.2936307661139|-10.839 -20.293    |8.27     |ApCrEu              |    ~     ~          
4259|HD 156050                                                                                                |Double or Multiple Star        |17 18 47.8235359465 -57 34 04.799495986|333.1271192361767 -11.3697594157369|       2.4 -7.1    |9.62     |A0V                 |    ~     ~          
4260|HD 156072                                                                                                |Star                           |17 18 52.3775693424 -57 38 32.524548648|333.0695003435404 -11.4191922001373|  -0.137 -9.870    |9.96     |F0III/IV            |    ~     ~          
4261|HD 156087                                                                                                |Star                           |17 18 56.6474079120 -57 33 46.160015508|333.1426026884741 -11.3833696459763|  -13.196 1.359    |9.56     |F6IV/V              |    ~     ~          
4262|CD-55 7123                                                                                               |Star                           |17 19 36.5454274104 -56 04 12.986470632|334.4623746102100 -10.6365528094980| -16.955 11.950    |9.77     |~                   |    ~     ~          
4263|HD 156495                                                                                                |alpha2 CVn Variable            |17 21 03.9896765328 -56 05 49.317760284|334.5534230323437 -10.8210651925370|  4.514 -14.754    |8.91     |ApCrSrEu            |    ~     ~          
4264|HD 157271                                                                                                |Double or Multiple Star        |17 25 27.5649043584 -56 04 19.729530948|334.9129723877040 -11.3226631547197| -5.592 -16.459    |9.40     |G3/5III             |    ~     ~          
4265|HD 156412                                                                                                |Double or Multiple Star        |17 20 40.2717663120 -56 25 27.928881552|334.2439232282151 -10.9545783006840| -0.479 -11.418    |9.47     |A0/1IV              |    ~     ~          
4266|HD 156413                                                                                                |Star                           |17 20 43.1423488608 -56 25 36.027854868|334.2456997211444 -10.9613437625267|  -2.032 -9.489    |9.25     |A1V                 |    ~     ~          
4267|CPD-56 8164                                                                                              |Star                           |17 21 28.1815292136 -56 28 38.234717724|334.2603221003194 -11.0758483600677| -9.945 -18.029    |9.77     |~                   |    ~     ~          
4268|HD 156555                                                                                                |Star                           |17 21 30.7769039232 -56 28 17.745023064|334.2685034243859 -11.0777467472859| -2.805 -31.767    |8.63     |A2III/IV            |    ~     ~          
4269|HD 156726                                                                                                |Star                           |17 22 30.7957535448 -56 18 19.036169928|334.4874620720522 -11.1033032582918|  -1.525 -9.804    |8.20     |B7IV                |    ~     ~          
4270|HD 156750                                                                                                |Star                           |17 22 40.4284763472 -56 38 55.704834744|334.2055728274413 -11.3083304521429|   3.908 -6.386    |9.49     |A2IV/V              |    ~     ~          
4271|HD 156793                                                                                                |Star                           |17 22 44.9723697504 -56 24 54.542246580|334.4115239156407 -11.1904211046364|-34.137 -33.761    |8.79     |K0III               |    ~     ~          
4272|HD 156854                                                                                                |Star                           |17 23 07.1216344296 -56 31 31.976443020|334.3450646920745 -11.2930735216348|    8.266 3.392    |5.763    |G8/K0III            |    ~     ~          
4273|HD 156940                                                                                                |Star                           |17 23 43.5282913392 -56 49 57.048623328|334.1273386890907 -11.5289166503927|  -2.441 -7.926    |8.47     |B8III/IV            |    ~     ~          
4274|HD 157007                                                                                                |High Proper Motion Star        |17 23 59.9785902648 -56 32 46.048717032|334.3942548349721 -11.4064119523880|-48.215 -20.615    |9.40     |G5IV                |    ~     ~          
4275|HD 157023                                                                                                |High Proper Motion Star        |17 24 13.8712234512 -57 00 27.765444276|334.0143983473595 -11.6812885014133|-57.381 -55.797    |8.44     |K0III               |    ~     ~          
4276|CPD-56 8215                                                                                              |Star                           |17 24 35.9197556880 -56 29 02.889444228|334.4929003059597 -11.4427422505799| -6.214 -11.593    |9.09     |~                   |    ~     ~          
4277|CPD-56 8225B                                                                                             |Star                           |17 25 22.4565562200 -56 22 24.696725088|334.6468162223001 -11.4739824002616|  0.079 -15.954    |10.5     |~                   |    ~     ~          
4278|HD 156333                                                                                                |Star                           |17 20 23.1522169464 -57 30 37.354586040|333.2955995320741 -11.5163916336629| -8.370 -46.360    |8.01     |F3IV                |    ~     ~          
4279|HD 156357                                                                                                |Star                           |17 20 26.6718193056 -57 14 53.123308368|333.5240986659738 -11.3796375243091|    8.046 3.076    |7.39     |M0III               |    ~     ~          
4280|HD 156476                                                                                                |Star                           |17 21 16.2253284264 -57 53 10.312923336|333.0394793297551 -11.8201871982318| -0.998 -16.763    |9.518    |G8III               |    ~     ~          
4281|HD 156768                                                                                                |Star                           |17 22 55.2214013433 -58 00 37.178929093|333.0536211114396 -12.0714501569445| -5.959 -15.651    |5.87     |G8Ib/II             |    ~     ~          
4282|HD 156767                                                                                                |High Proper Motion Star        |17 22 55.5112530024 -57 52 55.280791056|333.1645620431072 -12.0029666015707| 11.614 -79.947    |8.50     |F8/G2               |    ~     ~          
4283|HD 156855                                                                                                |Star                           |17 23 18.6257817936 -57 31 53.812572312|333.4947452118757 -11.8578073659534|   1.091 -8.293    |9.21     |A0V                 |    ~     ~          
4284|HD 155477                                                                                                |Star                           |17 15 17.2614379656 -58 24 39.710452932|332.1483916644398 -11.4505357963677|   0.711 -6.683    |9.17     |K0III               |    ~     ~          
4285|HD 155575                                                                                                |Spectroscopic Binary           |17 15 53.0153802960 -58 16 01.823673612|332.3147073487800 -11.4351326564490|   14.330 7.963    |9.18     |F0V                 |    ~     ~          
4286|HD 155636                                                                                                |Star                           |17 16 22.1178778416 -58 11 02.540424048|332.4214358113405 -11.4418786801498|  6.364 -10.776    |9.75     |A3II/III            |    ~     ~          
4287|HD 155761                                                                                                |Star                           |17 17 01.0413879528 -58 26 03.133296384|332.2573000320227 -11.6515931475954| -1.070 -23.209    |9.12     |G3IV                |    ~     ~          
4288|HD 155901                                                                                                |Star                           |17 17 54.9625478304 -58 10 29.536990608|332.5445564302719 -11.6066055549843|  24.026 -9.147    |8.90     |F0IV                |    ~     ~          
4289|HD 156032                                                                                                |Star                           |17 18 42.6946297152 -58 15 41.890772808|332.5294853268562 -11.7418189173276|    2.366 2.341    |9.44     |K1(III)             |    ~     ~          
4290|HD 156088                                                                                                |Star                           |17 18 58.6466590152 -58 23 21.164469108|332.4401012709031 -11.8410049232631| -1.437 -17.713    |9.620    |G8/K0(III)          |    ~     ~          
4291|HD 156089                                                                                                |Star                           |17 19 05.1107662944 -58 34 46.632328284|332.2851908860192 -11.9570924507070| -7.647 -20.462    |9.85     |F2/3IV              |    ~     ~          
4292|HD 156308                                                                                                |Star                           |17 20 19.9437314736 -58 05 32.133147000|332.7937393408207 -11.8279752916814| -7.151 -12.230    |8.60     |K2III               |    ~     ~          
4293|HD 156815                                                                                                |Star                           |17 23 10.4178022632 -58 07 19.748692668|332.9755640635369 -12.1597790601665|  -1.077 -9.672    |9.17     |B8/9II              |    ~     ~          
4294|HD 156204                                                                                                |Star                           |17 19 43.4043247704 -58 36 28.562323212|332.3073989181567 -12.0421978434610| -6.864 -40.420    |9.56     |G3V                 |    ~     ~          
4295|HD 156334                                                                                                |Star                           |17 20 26.7261677880 -58 32 09.649665492|332.4214928766820 -12.0819772332212| -1.259 -16.508    |9.533    |K5                  |    ~     ~          
4296|HD 156387                                                                                                |Spectroscopic Binary           |17 20 41.9341643424 -58 17 06.690182568|332.6551998172892 -11.9735043204766|   7.572 -1.851    |9.66     |F7V                 |    ~     ~          
4297|HD 156645                                                                                                |Star                           |17 22 15.5443566048 -58 22 13.742291784|332.6951833435479 -12.1918777220234|   1.834 -3.230    |9.68     |F3V                 |    ~     ~          
4298|HD 156751                                                                                                |High Proper Motion Star        |17 22 47.8854372504 -58 28 23.679597756|332.6453706479694 -12.3066365134361|-52.910 -83.156    |6.84     |A7II/III            |    ~     ~          
4299|IRAS 17186-5726                                                                                          |Star                           |17 22 57.6955226040 -57 29 44.880349092|333.4998086925426 -11.7990527857558| -2.522 -13.946    |10.23    |~                   |    ~     ~          
4300|CD-56 6758                                                                                               |Star                           |17 15 59.4465965664 -56 20 57.192170784|333.9418346721543 -10.3739802967880| -2.681 -10.154    |10.38    |~                   |    ~     ~          
4301|* gam Ara                                                                                                |Be Star                        |17 25 23.6593111 -56 22 39.814775      |334.6447106735 -11.4785735560      |   -0.44 -15.77    |3.34     |B1Ib                |    ~     ~          
4302|CD-57 6783                                                                                               |Star                           |17 15 08.2143270792 -57 33 35.258690916|332.8559201908429 -10.9572721822645|   1.027 -1.789    |10.17    |~                   |    ~     ~          
4303|TYC 8739-60-1                                                                                            |Star                           |17 15 32.2164001392 -58 26 03.083889120|332.1473795700114 -11.4905367365434|  -2.406 -9.850    |10.10    |~                   |    ~     ~          
4304|CD-56 6759                                                                                               |Star                           |17 16 26.9164938576 -56 11 43.977007176|334.1073929494899 -10.3403648203409|-32.882 -25.588    |10.07    |~                   |    ~     ~          
4305|CD-57 6789                                                                                               |Star                           |17 16 33.5889674304 -57 17 00.958437348|333.1982489468808 -10.9614826951274|  6.046 -10.643    |10.35    |~                   |    ~     ~          
4306|CD-57 6796                                                                                               |Star                           |17 17 12.1469468160 -58 02 24.191226528|332.6060006471719 -11.4535207361379|  4.973 -19.149    |10.07    |~                   |    ~     ~          
4307|CD-57 6799                                                                                               |Star                           |17 18 05.4226456608 -57 53 04.466425452|332.8046232302489 -11.4656254423233| -4.846 -15.422    |9.64     |~                   |    ~     ~          
4308|CD-57 6800                                                                                               |Star                           |17 18 16.4554209696 -57 14 48.662214828|333.3605524498058 -11.1337997426887|  -1.946 -4.851    |10.988   |~                   |    ~     ~          
4309|CD-57 6808                                                                                               |Star                           |17 19 21.5976913056 -57 36 54.204580116|333.1293375325618 -11.4586308092143|    2.409 6.078    |10.083   |~                   |    ~     ~          
4310|CD-56 6783                                                                                               |Star                           |17 19 32.8681279176 -57 07 32.539258236|333.5605424509541 -11.2109391363478|  -2.453 -6.414    |10.196   |~                   |    ~     ~          
4311|CD-56 6786                                                                                               |Star                           |17 19 53.8531945800 -56 20 32.149659768|334.2539238257809 -10.8199685322189|  -5.407 -6.973    |9.45     |~                   |    ~     ~          
4312|CPD-56 8152                                                                                              |Star                           |17 20 28.3209227136 -56 47 49.622527716|333.9110014061880 -11.1359126457546|-20.241 -10.815    |10.355   |~                   |    ~     ~          
4313|CD-57 6821                                                                                               |Star                           |17 20 47.0038762176 -57 41 51.749138292|333.1649920571630 -11.6632197303301|  -0.282 -3.837    |10.59    |~                   |    ~     ~          
4314|CD-56 6798                                                                                               |Star                           |17 21 30.4181223192 -57 03 02.646588672|333.7729991543732 -11.3927067052129|  -8.024 -6.681    |9.85     |~                   |    ~     ~          
4315|CD-55 7140                                                                                               |Star                           |17 22 46.6945 -56 07 39.073            |334.6599407 -11.0376819            |      2.2 -23.9    |10.32    |~                   |    ~     ~          
4316|CPD-57 8480                                                                                              |Star                           |17 22 51.2837211360 -57 13 07.904082180|333.7300014850065 -11.6374999844132|  -0.818 -1.421    |9.61     |~                   |    ~     ~          
4317|CD-57 6850                                                                                               |Star                           |17 24 42.5650743336 -57 08 17.002708440|333.9375542721900 -11.8059983071434|  3.906 -21.162    |10.12    |~                   |    ~     ~          
4318|CD-57 6852                                                                                               |Star                           |17 24 49.8459266544 -57 09 29.465482248|333.9291675266793 -11.8306680936328|  -1.192 -7.018    |10.470   |~                   |    ~     ~          
4319|CD-56 6757                                                                                               |Star                           |17 15 41.4548625912 -56 18 14.581123092|333.9560663650112 -10.3142144100124| -4.443 -13.489    |9.75     |~                   |    ~     ~          
4320|CPD-56 8136                                                                                              |Star                           |17 17 58.3960982904 -56 12 38.481222888|334.2150186163385 -10.5247000251216|   3.581 -5.399    |10.15    |~                   |    ~     ~          
4321|CPD-57 8443                                                                                              |Star                           |17 20 24.1263344160 -58 05 10.346444664|332.8040530065800 -11.8324010956207|  -4.761 -0.733    |10.351   |~                   |    ~     ~          
4322|CPD-58 7092                                                                                              |Star                           |17 23 13.5958562256 -58 08 07.553054832|332.9679405722312 -12.1728052471810|    1.872 3.395    |10.40    |~                   |    ~     ~          
4323|TYC 8731-16-1                                                                                            |Star                           |17 17 56.0688391896 -56 08 52.682775072|334.2649679279851 -10.4853153302418| 18.633 -24.588    |10.62    |~                   |    ~     ~          
4324|IRAS 17145-5610                                                                                          |Long-Period Variable Candidate |17 18 43.8474165840 -56 13 43.419945864|334.2592298092068 -10.6222915645674|  -1.360 -7.104    |10.60    |~                   |    ~     ~          
4325|TYC 8731-116-1                                                                                           |Star                           |17 17 43.0853005848 -56 09 30.054232584|334.2391363625317 -10.4660683502655|   5.873 -8.240    |10.60    |~                   |    ~     ~          
4326|TYC 8731-131-1                                                                                           |Star                           |17 19 55.9977588192 -56 07 23.951900136|334.4427194165139 -10.7035208055899|  4.323 -49.255    |10.33    |~                   |    ~     ~          
4327|TYC 8731-146-1                                                                                           |High Proper Motion Star        |17 17 43.8478065336 -56 10 07.482643104|334.2313585234094 -10.4733295842354|-27.956 -42.535    |10.21    |~                   |    ~     ~          
4328|TYC 8731-517-1                                                                                           |Star                           |17 16 34.8462001464 -56 00 05.340019860|334.2812215023947 -10.2468252847988| -5.922 -10.486    |10.150   |~                   |    ~     ~          
4329|TYC 8731-732-1                                                                                           |Star                           |17 16 03.7540029024 -56 02 50.673455952|334.2013038285403 -10.2126891134497| -7.641 -22.718    |10.498   |~                   |    ~     ~          
4330|TYC 8731-952-1                                                                                           |Star                           |17 16 09.7201417560 -55 57 34.543461672|334.2830415571420 -10.1748383386151|  -0.667 -1.852    |10.79    |~                   |    ~     ~          
4331|TYC 8731-989-1                                                                                           |Star                           |17 16 29.3389331064 -55 53 50.434639296|334.3615027220962 -10.1777758462395|   0.056 -4.059    |10.635   |~                   |    ~     ~          
4332|TYC 8732-266-1                                                                                           |Star                           |17 25 05.7650446560 -56 12 16.978719852|334.7711559450484 -11.3509707830064| -3.940 -18.552    |9.88     |~                   |    ~     ~          
4333|TYC 8732-365-1                                                                                           |Star                           |17 26 02.2349014008 -56 02 03.585189192|334.9895628033934 -11.3706069768782| -18.031 -2.800    |10.29    |~                   |    ~     ~          
4334|TYC 8735-79-1                                                                                            |Star                           |17 16 48.4639489944 -58 01 59.087491788|332.5823528238701 -11.4061896133300|  -0.959 -6.740    |10.66    |~                   |    ~     ~          
4335|TYC 8735-136-1                                                                                           |Star                           |17 17 02.4140992944 -57 23 42.584099028|333.1406388191281 -11.0774553544071| -9.899 -23.176    |10.41    |~                   |    ~     ~          
4336|TYC 8735-172-1                                                                                           |Star                           |17 17 54.8515775808 -57 23 47.454863172|333.2060795340831 -11.1761415540854| -2.909 -22.259    |10.97    |~                   |    ~     ~          
4337|TYC 8735-187-1                                                                                           |Star                           |17 18 32.7954807744 -58 02 47.376030876|332.7007676390554 -11.6053506236268| -7.694 -13.359    |10.67    |~                   |    ~     ~          
4338|TYC 8735-206-1                                                                                           |High Proper Motion Star        |17 17 20.8838046264 -57 27 16.418682612|333.1137778475308 -11.1449108875665| -51.899 -0.977    |10.510   |~                   |    ~     ~          
4339|TYC 8735-343-1                                                                                           |Star                           |17 15 30.1863043200 -58 01 51.375126288|332.4860319742667 -11.2616063529588|  2.549 -24.051    |10.73    |~                   |    ~     ~          
4340|TYC 8735-535-1                                                                                           |Star                           |17 15 32.0294274264 -56 52 35.234101416|333.4622710527323 -10.6180670517672|  0.310 -10.152    |10.35    |~                   |    ~     ~          
4341|TYC 8735-662-1                                                                                           |Star                           |17 17 03.1650531984 -57 06 07.297683876|333.3896967848006 -10.9157202532382|    5.126 4.358    |10.708   |~                   |    ~     ~          
4342|CD-56 6756                                                                                               |Star                           |17 15 39.2320905960 -57 04 29.922580560|333.3044116900543 -10.7430306429174|    3.780 3.700    |10.32    |~                   |    ~     ~          
4343|TYC 8735-817-1                                                                                           |Star                           |17 16 59.8516505856 -57 32 46.009369680|333.0095273582880 -11.1566271824659|   1.484 -1.137    |10.640   |~                   |    ~     ~          
4344|TYC 8735-1197-1                                                                                          |Star                           |17 17 36.6210542328 -57 50 12.308871048|332.8092759646223 -11.3859900933504|   6.015 -3.374    |10.92    |~                   |    ~     ~          
4345|TYC 8735-1255-1                                                                                          |Star                           |17 19 53.5467886560 -57 51 07.358340672|332.9667559615233 -11.6479479984306|   0.246 -6.327    |10.94    |~                   |    ~     ~          
