C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
55  |BD-01 2343                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 06 12.7222001736 -02 38 35.671791372|243.0954743657757 +40.3015132285062|  -4.894 12.567   |10.05    |~               |    ~     ~    
56  |HD 87373                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 04 36.4959003600 -02 42 20.723130648|242.8252017387492 +39.9527906141485| 24.436 -19.544   |9.33     |G8IV/V          |    ~     ~    
57  |HD 86829                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 59.2069379832 -03 11 21.397951068|242.5676212348751 +38.9469285570843|  -19.565 2.941   |7.07     |K4III           |    ~     ~    
58  |HD 86903                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 36.3021479112 -02 54 26.883112356|242.4117299421898 +39.2445883861010|  -45.528 9.702   |9.31     |G8/K0IV         |    ~     ~    
59  |HD 86988                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 03.5903915256 -03 34 20.066821176|243.1665215844638 +38.9106868899581| 12.522 -29.013   |9.34     |F5V             |    ~     ~    
60  |HD 87128                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 55.7445697872 -03 00 35.880772068|242.7848076850227 +39.4357131116475|  -8.498 -9.170   |9.40     |G8/K0(III)      |    ~     ~    
61  |BD-02 3043                                                                                                                                                                                                                                                                                                                                                    |High Proper Motion Star               |10 03 03.4344972648 -03 00 30.865458708|242.8097079571580 +39.4613265631815| 67.897 -35.369   |9.89     |K4/5            |    ~     ~    
62  |HD 87245                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 03 37.5742836768 -02 46 37.120990368|242.6942850450731 +39.7180522535275| 54.633 -69.037   |9.507    |F6V             |    ~     ~    
63  |HD 87246                                                                                                                                                                                                                                                                                                                                                      |Double or Multiple Star               |10 03 38.5520760264 -03 28 50.643893136|243.4007902690433 +39.2730112632861|  -26.840 1.163   |8.10     |K0III           |0.0033  0.0    
64  |HD 87486                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 05 12.3225526560 -03 31 02.476036884|243.7609692684598 +39.5486708812438|  -17.413 4.282   |7.31     |K4/5III         |    ~     ~    
65  |HD 87502                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 05 20.8569614136 -03 22 27.248460708|243.6482735641529 +39.6678542530893| -25.264 38.988   |7.57     |K1III           |    ~     ~    
66  |BD-02 3062                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 06 29.1603837000 -03 21 32.611751712|243.8710007757120 +39.8951204391908|  2.495 -10.112   |10.08    |K0              |    ~     ~    
