C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
4512|TYC 8607-552-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 11 24.8061364389 -57 10 52.467172714|282.5389343281430 -00.7866239439734|   -8.284 4.765   |10.96    |~               |    ~     ~    
4513|HD 302530                                                                                                                                                                                                                                                                                                                                                     |Double or Multiple Star               |10 08 59.9080350096 -57 23 20.420588148|282.3917712855205 -01.1443724990061|   -4.484 1.382   |10.522   |A2              |    ~     ~    
4514|HD 302528                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 09 34.1434690776 -57 22 51.336942276|282.4498190942292 -01.0932995626907|    1.612 0.892   |10.18    |A0              |    ~     ~    
4515|TYC 8607-645-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 07 04.3887322080 -57 38 23.782484940|282.3276996223846 -01.4989063039783| 40.381 -28.927   |10.23    |~               |    ~     ~    
4516|TYC 8607-694-1                                                                                                                                                                                                                                                                                                                                                |High Proper Motion Star               |10 10 51.3184879704 -58 04 28.569090648|282.9897971912401 -01.5615345209776|-77.878 -22.730   |10.96    |~               |    ~     ~    
4517|HD 302575                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 08.4147558192 -57 24 30.581935956|282.6388239689997 -00.9940622750969| -39.357 14.458   |10.32    |G0              |    ~     ~    
4518|HD 302572                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 29.8770234720 -57 17 50.715202920|282.7257315163555 -00.7983210689530|  -11.172 5.540   |10.47    |B8              |    ~     ~    
4519|TYC 8607-718-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 49.9783008024 -57 24 03.805389360|282.8218316583887 -00.8578949262788|   -7.280 5.743   |10.63    |~               |    ~     ~    
4520|TYC 8607-723-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 10 32.5838090472 -57 18 48.223160676|282.5182862801876 -00.9623984812208| -12.665 10.627   |10.79    |~               |    ~     ~    
4521|TYC 8607-824-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 10 22.3047187824 -57 40 06.552395400|282.7037019134956 -01.2661317186071|  -11.091 2.975   |10.97    |~               |    ~     ~    
4522|HD 302539                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 07 27.9373937448 -57 59 28.334159448|282.5755552040755 -01.7533373749151|  -13.529 5.124   |10.34    |A3              |    ~     ~    
4523|TYC 8607-853-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 00.4965753384 -57 59 21.385503024|282.4178885119592 -01.8649869293252|  -12.979 5.476   |10.93    |~               |    ~     ~    
4524|TYC 8607-1072-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 12 40.6148259360 -56 18 34.105472604|282.1840538841041 +00.0282641911980|  9.971 -49.659   |10.99    |~               |    ~     ~    
4525|TYC 8607-1289-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 16.7837696976 -57 03 10.388173212|282.5621961514090 -00.6141137897891|  -15.162 6.202   |10.59    |~               |    ~     ~    
4526|TYC 8607-1341-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 23.4152389536 -56 57 12.787751448|282.5180004878218 -00.5238890530391|  -20.100 2.891   |10.92    |~               |    ~     ~    
4527|TYC 8607-1459-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 06.4035291312 -56 55 35.621123016|282.4708430428906 -00.5237344159778|   -9.894 6.207   |9.72     |~               |    ~     ~    
4528|CPD-56 2960                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 11 13.5538046856 -56 59 44.460490668|282.4118110771284 -00.6490640580986|   -7.156 5.448   |10.83    |B8/9            |    ~     ~    
4529|HD 302573                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 55.7112932352 -57 17 26.061178200|282.7696999000647 -00.7596311458574| -19.699 11.735   |10.99    |A               |    ~     ~    
4530|TYC 8607-1639-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 09 02.3442628848 -57 03 23.210656308|282.2035610664170 -00.8701223223648|   -7.474 5.062   |10.75    |~               |    ~     ~    
4531|HD 302616                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 14 45.2597259216 -57 56 57.402898116|283.3436230796638 -01.1650293517941|  -13.584 7.957   |10.43    |A2              |    ~     ~    
4532|GSC 08608-00419                                                                                                                                                                                                                                                                                                                                               |Double or Multiple Star               |10 13 23.3694623064 -57 26 59.253248796|282.9111765388794 -00.8555513308370|  -17.165 4.520   |10.986   |~               |    ~     ~    
4533|TYC 8608-450-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 13 40.0913431707 -57 30 36.937269456|282.9762845320844 -00.8842091800624|      -19.3 9.4   |10.74    |~               |    ~     ~    
4534|TYC 8608-687-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 14 47.8066158600 -57 58 16.096463544|283.3605718054544 -01.1799419423902|   -0.740 4.721   |10.82    |~               |    ~     ~    
4535|TYC 8608-774-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 14 29.1255019272 -57 37 51.419943696|283.1348588961857 -00.9220291403793|  30.126 14.154   |10.17    |~               |    ~     ~    
4536|TYC 8608-796-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 14 00.1335614784 -57 45 47.483047116|283.1560967717890 -01.0676442247190|  -12.595 3.665   |10.41    |~               |    ~     ~    
4537|TYC 8608-1045-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 14 46.8693120384 -57 03 52.995132432|282.8492828715474 -00.4314532803219| -71.500 -4.220   |10.29    |~               |    ~     ~    
4538|TYC 8608-1081-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 49.9108252848 -57 00 01.053402408|282.7062852586116 -00.4510031467738|   -9.241 3.321   |10.54    |~               |    ~     ~    
4539|TYC 8608-1118-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 14 35.6958193944 -56 20 14.196830136|282.4190652159846 +00.1556952741419|   -3.902 0.303   |10.12    |~               |    ~     ~    
4540|TYC 8608-1309-1                                                                                                                                                                                                                                                                                                                                               |Spectroscopic Binary                  |10 14 39.2770657464 -56 42 12.237422652|282.6318290322559 -00.1423735421440|  -5.890 -1.007   |10.49    |~               |    ~     ~    
4541|TYC 8611-20-1                                                                                                                                                                                                                                                                                                                                                 |Star                                  |10 09 43.0453998072 -58 20 34.467821844|283.0217531665396 -01.8671929538595|  -18.952 7.592   |10.87    |~               |    ~     ~    
4542|HD 302502                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 03 19.2683922984 -58 28 12.604802736|282.4178046116908 -02.4619446305573|  -11.007 5.403   |10.43    |A0              |    ~     ~    
4543|HD 302589                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 01.6718614080 -58 18 11.993443164|283.2475114766301 -01.6606743720349|   -7.057 3.429   |10.51    |B8              |    ~     ~    
4544|TYC 8611-79-1                                                                                                                                                                                                                                                                                                                                                 |Star                                  |10 07 57.7601885040 -58 47 36.030799860|283.0967963276347 -02.3667926738338|  -12.387 0.867   |10.46    |~               |    ~     ~    
4545|TYC 8611-114-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 08 22.8853688304 -58 11 43.959592392|282.7930791913634 -01.8488776497992|   -6.389 3.360   |10.8     |~               |    ~     ~    
4546|HD 302594                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 28.1565200640 -58 42 25.568551620|283.4184647008553 -02.0337139883226|  -16.973 6.935   |10.58    |A4              |    ~     ~    
4547|HD 302553                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 06 52.8717970440 -58 30 12.549348828|282.8130301971938 -02.2137914171481|   -7.012 3.083   |10.04    |B8              |    ~     ~    
4548|TYC 8611-165-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 48.4313775768 -58 57 54.535004676|283.7080108590603 -02.1469462886051|  -11.905 8.928   |10.10    |~               |    ~     ~    
4549|HD 302597                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 37.8191038536 -58 57 37.387373760|283.6865335995702 -02.1559926384719|   -8.520 5.721   |10.27    |A2              |    ~     ~    
4550|TYC 8611-262-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 10 58.9227079632 -58 32 16.935861084|283.2695178256410 -01.9315056004654| 20.293 -10.130   |10.52    |~               |    ~     ~    
4551|TYC 8611-285-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 50.6471665608 -58 33 04.256114112|282.8370778308520 -02.2552757485715|  -15.119 4.141   |10.72    |~               |    ~     ~    
4552|HD 302552                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 07 26.2412648088 -58 24 44.385462828|282.8186815532085 -02.0973096339823|  4.376 -15.117   |10.62    |G0              |    ~     ~    
4553|TYC 8611-332-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 16.6649097168 -58 14 54.039668964|282.9198966297239 -01.8234302448493|   -4.054 2.830   |10.34    |~               |    ~     ~    
4554|HD 302544                                                                                                                                                                                                                                                                                                                                                     |Eclipsing Binary                      |10 08 47.7851047968 -58 13 09.156958716|282.8513499734274 -01.8363961335888|   -8.821 5.024   |10.57    |A2              |    ~     ~    
4555|HD 302557                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 43.1846501376 -58 39 16.934687856|283.0960770703488 -02.1968660200281| -21.112 22.669   |10.30    |A5              |    ~     ~    
4556|TYC 8611-340-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 13 05.6879219208 -58 49 54.479400528|283.6628178758188 -02.0160964669384|  -10.971 9.479   |10.02    |~               |    ~     ~    
4557|TYC 8611-374-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 13 07.3940558736 -58 08 17.374358976|283.2721630172405 -01.4427905120808|  -0.617 -1.065   |10.17    |~               |    ~     ~    
4558|TYC 8611-410-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 02.7239349408 -58 42 34.145388900|283.4812546626084 -01.9929175969712|   -7.328 3.481   |10.39    |~               |    ~     ~    
4559|TYC 8611-417-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 24.0674965848 -58 16 15.074415120|282.6254833380667 -02.0622973327188|  1.116 -14.563   |10.60    |~               |    ~     ~    
4560|HD 302588                                                                                                                                                                                                                                                                                                                                                     |Classical Cepheid Variable            |10 10 16.0918024584 -58 11 12.813946296|282.9909454670391 -01.6979655148039|   -6.199 3.868   |9.643    |G5              |    ~     ~    
4561|HD 302543                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 09 02.1637086072 -58 13 24.221782056|282.8794967504674 -01.8215108906163|  -13.485 2.986   |10.67    |A3              |    ~     ~    
4562|TYC 8611-464-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 05.6377032192 -58 09 20.979944172|282.5250893233109 -01.9930087506347|   -3.098 5.269   |10.37    |~               |    ~     ~    
4563|TYC 8611-467-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 06.0978572904 -58 29 18.295335672|282.7216699695315 -02.2613832899413|  -22.108 8.357   |10.74    |~               |    ~     ~    
4564|HD 302549                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 06 33.8682522672 -58 21 42.296273532|282.6962556389900 -02.1232882638928|   -8.516 4.555   |10.29    |A0              |    ~     ~    
4565|HD 302545                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 02.1861214560 -58 14 57.253846092|282.7873851202394 -01.9189738428550|  -15.356 3.469   |9.94     |A0              |    ~     ~    
4566|TYC 8611-571-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 51.9244491000 -58 08 04.851266352|282.9174093634895 -01.6859183407088|   -6.943 6.492   |10.79    |~               |    ~     ~    
4567|TYC 8611-607-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 11.4085116408 -58 08 16.101828888|282.5247558327226 -01.9709702085471| -12.875 11.315   |10.04    |~               |    ~     ~    
4568|TYC 8611-667-1                                                                                                                                                                                                                                                                                                                                                |Spectroscopic Binary                  |10 04 38.9143426656 -58 08 56.355262080|282.3670451035759 -02.1000381545027|   -9.089 7.739   |10.68    |~               |    ~     ~    
4569|TYC 8611-681-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 46.4598285504 -58 09 30.761958888|282.9213704227245 -01.7123420497739|   -5.666 1.933   |9.79     |~               |    ~     ~    
4570|HD 302598                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 30.8244865728 -58 57 48.635109936|283.5700327990580 -02.2406848151359|  -15.787 8.030   |10.21    |A2              |    ~     ~    
4571|HD 302546                                                                                                                                                                                                                                                                                                                                                     |Pulsating Variable                    |10 07 03.3085575103 -58 11 50.945902509|282.6522107420389 -01.9523940775391|   -7.154 3.463   |10.57    |A0              |    ~     ~    
4572|HD 302500                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 04 38.4666610512 -58 21 47.718706860|282.4932911633709 -02.2732337796809|   -3.735 0.562   |9.73     |F8              |    ~     ~    
4573|HD 302590                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 13.4591241216 -58 20 07.936681524|283.1793401930884 -01.7474195787325|   -7.616 5.030   |10.94    |A0              |    ~     ~    
4574|TYC 8611-959-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 02 34.2409385640 -58 22 46.709212548|282.2848194245435 -02.4480488641410|   -5.896 4.439   |10.93    |~               |    ~     ~    
4575|TYC 8611-1001-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 10 15.9663316008 -58 48 24.475219488|283.3479245098012 -02.2049151932958|  -23.895 8.809   |10.86    |~               |    ~     ~    
4576|HD 302542                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 56.8728105288 -58 10 53.635777860|282.8457694315132 -01.7941569625479| -16.114 14.767   |10.12    |A3              |    ~     ~    
4577|TYC 8611-1066-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 09 45.5975712744 -58 11 42.794700180|282.9410050386453 -01.7433828740325|-100.164 75.038   |10.41    |~               |    ~     ~    
4578|HD 302555                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 25.6728379488 -58 32 24.454047408|282.9984976294960 -02.1256949305228|  -21.103 5.157   |10.81    |A               |    ~     ~    
4579|GSC 08611-01643                                                                                                                                                                                                                                                                                                                                               |Spectroscopic Binary                  |10 03 16.5271939296 -58 29 46.397260356|282.4285627045299 -02.4864172819364| -12.700 19.240   |10.947   |~               |    ~     ~    
4580|HD 302556                                                                                                                                                                                                                                                                                                                                                     |Pulsating Variable                    |10 09 23.4287974920 -58 38 43.336177296|283.1618105566053 -02.1387007822883|  -13.843 8.000   |10.48    |A3              |    ~     ~    
4581|HD 302599                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 09 46.4385994536 -58 54 16.813467828|283.3523906958768 -02.3215682375158|   -8.725 4.455   |10.33    |B9              |    ~     ~    
4582|TYC 8611-1863-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 06 19.2943819248 -58 39 23.017825296|282.8437249997346 -02.3804033267543|  -10.236 8.226   |10.40    |~               |    ~     ~    
4583|TYC 8611-1911-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 15.4791483336 -58 50 03.111307188|283.6815778627537 -02.0060947102392|   -6.806 3.317   |10.26    |~               |    ~     ~    
4584|TYC 8611-1919-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 59.3047926600 -58 47 55.997111076|283.6327797167084 -01.9968181473633|  -11.966 3.736   |10.16    |~               |    ~     ~    
4585|HD 302592                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 35.5092163392 -58 36 17.411030784|283.4800224628548 -01.8664313664989|  -16.456 4.484   |10.07    |A0              |    ~     ~    
4586|TYC 8612-1046-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 14 44.5282126992 -58 22 18.126377940|283.5798959498445 -01.5152432520043|   -7.886 4.322   |10.86    |~               |    ~     ~    
4587|TYC 8612-1093-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 23.6872977648 -58 24 09.765941868|283.4516015204528 -01.6404980483576|  -15.686 2.874   |10.65    |~               |    ~     ~    
4588|TYC 8612-1207-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 14 30.6909370632 -58 33 57.364570188|283.6643100518427 -01.6927688846085| -64.103 58.883   |10.90    |~               |    ~     ~    
4589|TYC 8612-1402-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 14 32.1059421264 -58 19 17.046111288|283.5291209260403 -01.4889457562514|   -6.407 0.701   |10.04    |~               |    ~     ~    
4590|TYC 8612-1487-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 34.0244498160 -58 32 59.759707992|283.5535675976708 -01.7490937907638|   0.709 -0.642   |9.95     |~               |    ~     ~    
4591|HD 302634                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 14 45.7445566872 -58 49 43.448262852|283.8392319698522 -01.8916624604066|  -13.746 3.867   |10.41    |A2              |    ~     ~    
4592|TYC 8612-1879-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 28.2039930048 -58 46 44.908256712|283.6730007011781 -01.9451700704883|   -4.284 1.317   |9.98     |~               |    ~     ~    
4593|HD 302492                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 06 15.7686784752 -57 46 10.589663460|282.3160508214366 -01.6674100414429|   -7.760 4.603   |10.71    |B8              |    ~     ~    
4594|HD 302498                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 02 53.1728169888 -58 12 26.111038536|282.2148853514989 -02.2850945564687|   -5.532 3.934   |10.96    |A               |    ~     ~    
4595|HD 302529                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 43.7929986768 -57 20 13.974797508|282.3322267003561 -01.1231723681776|  -11.235 1.154   |10.80    |A               |    ~     ~    
4596|HD 302548                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 06 25.9121598408 -58 14 55.979269980|282.6158475397984 -02.0421394837706|  -10.667 6.003   |10.99    |A               |    ~     ~    
