C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1804|IRC +30088                                                                                               |Long-Period Variable Candidate |04 32 25.0929031128 +31 07 04.386414072|168.7955594827421 -11.4606730644896|   9.956 12.169    |10.30    |M7               |    ~     ~    
1805|SA 48-310                                                                                                |Star                           |04 30 07.5 +30 32 04                   |168.9036 -12.2167                  |            ~ ~    |9.30     |~                |    ~     ~    
1806|HD 282272                                                                                                |High Proper Motion Star        |04 30 17.1029216016 +29 47 33.565846884|169.4922509467915 -12.6868138803276| 48.058 -14.210    |10.98    |F8               |    ~     ~    
1807|HD 282264                                                                                                |Star                           |04 31 00.8310280704 +30 05 29.071483368|169.3721310976919 -12.3699078744175|  -7.220 -9.269    |10.61    |K0               |    ~     ~    
1808|HD 282275                                                                                                |Star                           |04 31 25.9166725440 +29 18 28.056729744|170.0334520142307 -12.8235093134831|  4.639 -13.246    |9.83     |M0               |    ~     ~    
1809|HD 28592                                                                                                 |Star                           |04 31 36.1579993032 +29 55 37.468085304|169.5845469339845 -12.3842308139203| 15.118 -35.616    |8.42     |F0               |    ~     ~    
1810|HD 282270                                                                                                |Star                           |04 33 06.0431343936 +29 46 41.293947468|169.9191747897910 -12.2399753488358|   7.035 -7.518    |10.49    |A2               |    ~     ~    
1811|HD 28417                                                                                                 |Star                           |04 30 03.7481733336 +29 02 28.291424856|170.0336900505020 -13.2240569254966| -6.614 -32.981    |8.71     |F2               |    ~     ~    
1812|HD 282274                                                                                                |Star                           |04 31 09.2777002056 +29 18 03.256039980|169.9975375511052 -12.8732733674127|  9.670 -20.751    |9.89     |G0               |    ~     ~    
1813|IRAS 04289+2947                                                                                          |Star                           |04 32 07.6126297440 +29 54 10.670237748|169.6802672371037 -12.3153625070244|    2.225 3.660    |10.73    |~                |    ~     ~    
1814|HD 282233                                                                                                |Long-Period Variable           |04 32 10.8863127720 +31 13 29.056979640|168.6798288129742 -11.4272601079223| 18.734 -11.428    |9.45     |M0               |    ~     ~    
1815|HD 28804                                                                                                 |Star                           |04 33 38.8659654648 +31 39 35.372174688|168.5609352661129 -10.9042778522419|  -6.033 -4.980    |8.3      |A0V              |    ~     ~    
1816|HD 282304                                                                                                |Star                           |04 35 55.5018075480 +31 41 13.711317648|168.8665547450367 -10.5230572516385|  -2.630 -0.892    |10.32    |K2               |    ~     ~    
1817|HD 282308                                                                                                |Star                           |04 36 37.2855809136 +31 27 12.493180008|169.1447711079928 -10.5653953243622|  0.544 -13.197    |9.61     |A2               |    ~     ~    
1818|HD 29418                                                                                                 |Star                           |04 39 14.4526726416 +31 44 29.273182872|169.2952303971176 -09.9553650458863| 29.788 -22.482    |7.92     |F0               |    ~     ~    
1819|HD 282362                                                                                                |Star                           |04 39 53.8387639680 +32 01 25.432163976|169.1704433439126 -09.6655841662642| 15.666 -17.669    |9.45     |A0               |    ~     ~    
1820|HD 282366                                                                                                |High Proper Motion Star        |04 41 10.8642831312 +31 39 44.854539840|169.6287066151127 -09.6934979929558| 67.756 -77.968    |10.20    |G0               |    ~     ~    
1821|HD 282234                                                                                                |Star                           |04 33 37.4544790080 +31 12 37.668315384|168.8999168488965 -11.2063847911431|   2.389 -5.099    |10.29    |A3               |    ~     ~    
1822|HD 282236                                                                                                |High Proper Motion Star        |04 33 45.4675903848 +31 10 00.683973516|168.9524980485614 -11.2139389620610| 48.290 -78.359    |9.75     |G5               |    ~     ~    
1823|HD 282238                                                                                                |Star                           |04 33 47.5367328072 +30 55 05.263370652|169.1473915087620 -11.3732922353607|   4.737 -2.627    |9.59     |K7               |    ~     ~    
1824|HD 28855                                                                                                 |Star                           |04 34 00.4750621824 +31 12 09.077621292|168.9614326151559 -11.1502448924583|-37.200 -14.931    |8.51     |K0III            |    ~     ~    
1825|HD 282330                                                                                                |Star                           |04 34 34.2255609120 +30 41 07.487088972|169.4381699208012 -11.4019591732819| -12.865 -2.430    |10.44    |K7               |    ~     ~    
1826|HD 28928                                                                                                 |Star                           |04 34 48.6605399376 +30 37 46.550667972|169.5157823854145 -11.3999551871346| 24.607 -24.301    |9.35     |A5               |    ~     ~    
1827|HD 282331                                                                                                |Star                           |04 35 00.9035545344 +30 37 44.260628988|169.5458116388102 -11.3673885848672|-22.195 -22.546    |9.19     |K0               |    ~     ~    
1828|HD 282314                                                                                                |Star                           |04 35 05.5952825208 +31 06 53.045784828|169.1850455809140 -11.0341967863707|     14.8 -13.9    |10.22    |F8               |    ~     ~    
1829|HD 282317                                                                                                |Star                           |04 35 12.2162948784 +30 55 58.541446956|169.3401204328754 -11.1364387335065|   1.807 -6.558    |9.58     |M0               |    ~     ~    
1830|HD 282329                                                                                                |Star                           |04 35 14.8654085448 +30 46 25.344435720|169.4684875908820 -11.2343325083218|   2.286 -0.985    |10.13    |K5               |    ~     ~    
1831|HD 282327                                                                                                |Star                           |04 35 42.7055198832 +30 45 21.270145464|169.5490858506895 -11.1710771123027|   1.615 -3.315    |10.03    |K0               |    ~     ~    
1832|HD 282318                                                                                                |Star                           |04 36 27.4957504608 +30 54 30.129870240|169.5394760752774 -10.9500892574790|-28.402 -26.273    |9.34     |F5               |    ~     ~    
1833|HD 282319                                                                                                |Star                           |04 37 02.8102871496 +30 47 14.482962708|169.7169179001080 -10.9342246439223|   0.954 -6.606    |10.18    |B9               |    ~     ~    
1834|HD 29214                                                                                                 |High Proper Motion Star        |04 37 14.4036083496 +30 23 59.493472548|170.0429581904995 -11.1566718800568|25.094 -120.270    |7.78     |F8               |    ~     ~    
1835|HD 282310                                                                                                |Double or Multiple Star        |04 37 46.9100011320 +31 16 00.077999772|169.4534944585485 -10.5011421485029|      2.1 -17.7    |9.14     |K0               |    ~     ~    
1836|HD 29259                                                                                                 |Star                           |04 37 45.3246869808 +30 24 27.502866936|170.1110259582492 -11.0675254099507|   1.131 -7.827    |8.51     |B9/A0            |    ~     ~    
1837|HD 282323                                                                                                |Star                           |04 37 54.1343596056 +30 31 36.891431400|170.0401115504143 -10.9656323063247|  -11.551 2.643    |9.31     |F8               |    ~     ~    
1838|HD 282380                                                                                                |Emission-line Star             |04 38 51.6753714552 +30 26 59.047041444|170.2369523036095 -10.8594055746815|   1.369 -2.565    |9.69     |B8               |    ~     ~    
1839|HD 282377                                                                                                |Star                           |04 40 12.4545726888 +30 33 32.099621436|170.3443858205527 -10.5680740583477|  -0.255 -9.154    |10.43    |A0               |    ~     ~    
1840|HD 29581                                                                                                 |High Proper Motion Star        |04 40 46.8019107192 +30 17 29.482574424|170.6329427430965 -10.6473507653173| 31.531 -54.852    |8.06     |F5               |    ~     ~    
1841|HD 282256                                                                                                |Star                           |04 33 43.0314968280 +30 12 48.463677972|169.6756557561895 -11.8518967746866| 19.013 -16.194    |9.71     |K5               |    ~     ~    
1842|HD 282307                                                                                                |Spectroscopic Binary           |04 34 19.5712185960 +31 50 11.814254700|168.5237987985797 -10.6790554667999| -7.846 -19.489    |10.51    |G0               |    ~     ~    
1843|HD 282301                                                                                                |Star                           |04 37 02.4637805568 +31 56 27.192639048|168.8312689869696 -10.1775236198867|  -3.111 -1.218    |10.74    |K0               |    ~     ~    
1844|HD 282309                                                                                                |Star                           |04 37 07.847376 +31 21 14.41224        |169.293691585 -10.548849024        |       3.3 -2.3    |10.326   |K0               |    ~     ~    
1845|HD 282303                                                                                                |Star                           |04 36 58.1905787952 +31 37 16.042653768|169.0659781038308 -10.3992148110851|  -2.136 -0.301    |10.51    |A2               |    ~     ~    
1846|HD 282368                                                                                                |Star                           |04 38 45.5233492944 +31 25 57.498323160|169.4646283090328 -10.2348341624485|  -1.511 -7.270    |10.93    |F8               |    ~     ~    
1847|HD 282378                                                                                                |High Proper Motion Star        |04 39 20.0411189208 +30 41 04.795708704|170.1229023483501 -10.6292030837178|  68.698 71.449    |10.88    |G0               |    ~     ~    
1848|HD 282325                                                                                                |Star                           |04 36 35.6462731368 +30 30 55.560277116|169.8609875707406 -11.1860793948400|  -1.389 -6.553    |10.32    |F0               |    ~     ~    
1849|HD 282313                                                                                                |Star                           |04 36 44.8804713024 +31 11 54.278703168|169.3583993459253 -10.7127203769631| -6.732 -10.438    |10.43    |K0               |    ~     ~    
1850|HD 282312                                                                                                |Star                           |04 37 59.4442409328 +31 04 35.723805204|169.6294136697792 -10.5918252069496|   4.546 -7.482    |10.18    |A2               |    ~     ~    
1851|HD 282322                                                                                                |Star                           |04 38 29.5184810904 +30 40 20.376976800|170.0123508368711 -10.7745670264957|   6.544 -6.494    |10.38    |K7               |    ~     ~    
1852|HD 282364                                                                                                |Star                           |04 39 38.0585829936 +31 36 05.867682552|169.4582807431164 -09.9831581677973|   5.624 -6.042    |10.81    |K5               |    ~     ~    
1853|HD 282365                                                                                                |High Proper Motion Star        |04 41 13.6732898712 +31 46 27.442907256|169.5489464838292 -09.6133587150442| 56.334 -69.365    |10.29    |G5               |    ~     ~    
1854|HD 282276                                                                                                |Young Stellar Object           |04 33 04.2302284416 +29 21 49.832827884|170.2328992313868 -12.5188733598631|   0.558 -4.112    |10.37    |B8               |    ~     ~    
1855|HD 282339                                                                                                |High Proper Motion Star        |04 35 12.1249286640 +29 51 16.651931724|170.1678306657232 -11.8469560467949|-52.954 -137.987   |9.42     |G5               |    ~     ~    
1856|HD 282340                                                                                                |Star                           |04 37 03.6021816864 +29 46 46.139138940|170.4956232309132 -11.5919283939845| 21.918 -42.105    |9.91     |G0               |    ~     ~    
1857|HD 29333                                                                                                 |Star                           |04 38 25.9928583288 +29 23 14.495156196|170.9978611334408 -11.6211599030266|    2.215 2.815    |8.790    |A0V              |    ~     ~    
1858|HD 29537                                                                                                 |High Proper Motion Star        |04 40 22.6913422200 +29 58 19.926728184|170.8234805516299 -10.9202635567087| 49.211 -33.336    |6.78     |F0               |    ~     ~    
1859|HD 282383                                                                                                |High Proper Motion Star        |04 41 02.9954818776 +29 43 40.538490960|171.1092064982328 -10.9670412849144| 40.993 -36.395    |9.28     |F8               |    ~     ~    
1860|HD 282385                                                                                                |Star                           |04 38 55.6612439544 +29 42 27.715101084|170.8207582191452 -11.3312317793733| 12.107 -19.621    |10.44    |F0               |    ~     ~    
1861|HD 282387                                                                                                |Star                           |04 38 46.9529189256 +29 28 31.096032096|170.9800841988970 -11.5061969093592|   4.741 -9.694    |10.39    |A0               |    ~     ~    
1862|HD 282381                                                                                                |Star                           |04 38 48.4342004736 +29 51 37.147073796|170.6851681060229 -11.2518840814684|  7.984 -13.603    |10.91    |A5               |    ~     ~    
1863|HD 282386                                                                                                |Spectroscopic Binary           |04 39 47.9606341656 +29 34 06.251148300|171.0541651039376 -11.2774591721448| -7.470 -80.868    |10.94    |K0               |    ~     ~    
1864|HD 282268                                                                                                |Star                           |04 33 30.5780524176 +30 05 58.933816476|169.7325187429222 -11.9607920243009|  -1.980 -3.940    |10.95    |A2               |    ~     ~    
1865|HD 282343                                                                                                |Star                           |04 36 20.8827991296 +29 17 32.496698616|170.7686899060191 -12.0276235202579| 16.181 -20.097    |10.67    |G5               |    ~     ~    
1866|HD 282382                                                                                                |Star                           |04 39 35.7323615688 +29 53 03.699228840|170.7796812321289 -11.1063333242660| 20.533 -21.364    |10.49    |F5               |    ~     ~    
1867|IRAS 04368+3137                                                                                          |Star                           |04 40 04.4506779984 +31 43 39.396969912|169.4231728558393 -09.8300721324897|    6.204 0.569    |10.99    |~                |    ~     ~    
1868|HD 29309                                                                                                 |Star                           |04 38 15.2337944184 +31 59 55.642902504|168.9584582823189 -09.9455076753015|   1.373 -8.562    |7.14     |B2V              |    ~     ~    
1869|HD 28714                                                                                                 |Star                           |04 32 52.8555574968 +31 47 08.195529192|168.3548050270589 -10.9423466703892|  -4.272 -2.130    |8.51     |B9/A0            |    ~     ~    
1870|HD 282220                                                                                                |Star                           |04 32 39.5839846416 +31 46 53.863852872|168.3259215344987 -10.9800469052131|  0.208 -12.936    |10.84    |F5               |    ~     ~    
1871|HD 282302                                                                                                |Star                           |04 38 01.8083956752 +32 01 07.890149316|168.9114959978584 -09.9681630540906| -1.231 -11.266    |10.01    |K5               |    ~     ~    
1872|HD 282363                                                                                                |Star                           |04 39 09.2019691104 +32 03 36.411625332|169.0380561890808 -09.7612445163988| 18.506 -34.295    |10.48    |K0               |    ~     ~    
1873|HD 282278                                                                                                |Star                           |04 34 20.5365905856 +29 17 50.759957580|170.4712185624745 -12.3543137033876|  -3.168 -2.861    |10.58    |B9               |    ~     ~    
1874|TYC 2373-1081-1                                                                                          |Star                           |04 32 58.3456427184 +31 04 57.241373844|168.9029817634001 -11.3955895688525|   -1.981 1.126    |10.42    |~                |    ~     ~    
1875|TYC 2373-1454-1                                                                                          |Star                           |04 33 46.3691624568 +31 07 27.478166268|168.9871473626045 -11.2397533571327|  -0.550 -2.299    |10.57    |~                |    ~     ~    
1876|TYC 2377-1003-1                                                                                          |Star                           |04 36 06.5069075952 +31 56 46.067535888|168.6948006956582 -10.3229097734650|   5.687 -8.793    |10.81    |~                |    ~     ~    
1877|HD 283677                                                                                                |Star                           |04 32 10.9401374112 +29 00 56.090293200|170.3692432868998 -12.8946015561639|   1.737 -6.766    |9.19     |B8               |    ~     ~    
1878|HD 283678                                                                                                |Star                           |04 32 35.7908849928 +28 53 43.788827004|170.5231183797577 -12.9060602413979| -5.933 -29.901    |10.36    |F8               |    ~     ~    
1879|HD 283687                                                                                                |Variable Star                  |04 32 41.2682874936 +28 19 22.756416348|170.9782472528709 -13.2688929944155| 10.055 -22.534    |9.59     |K0               |    ~     ~    
1880|HD 28447                                                                                                 |High Proper Motion Star        |04 30 20.0590750584 +28 07 54.709154004|170.7730075903962 -13.7841098316473| 142.178 49.697    |6.515    |G5V              |    ~     ~    
1881|HD 283688                                                                                                |Star                           |04 32 26.1055438728 +28 19 02.667237420|170.9448660855537 -13.3143782926601| -3.286 -11.241    |10.61    |F5               |    ~     ~    
1882|HD 283695                                                                                                |High Proper Motion Star        |04 30 36.8213347152 +27 29 45.112184916|171.3060980082241 -14.1592005514852|-34.071 -102.517   |10.4     |G0               |    ~     ~    
1883|HD 283699                                                                                                |Star                           |04 32 25.343 +27 22 03.09              |171.678388 -13.942158              |     17.9 -28.5    |10.9     |G5               |    ~     ~    
1884|HD 283694                                                                                                |Star                           |04 32 49.2926535624 +27 44 20.853507156|171.4500355988630 -13.6311421948028| 28.507 -33.791    |10.1     |G0               |    ~     ~    
1885|HD 283693                                                                                                |Star                           |04 32 59.3031953568 +27 35 57.667401708|171.5834278538108 -13.6951788279221|-25.331 -19.371    |10.00    |K7               |    ~     ~    
1886|HD 283698                                                                                                |Star                           |04 30 50.3065748040 +27 11 47.918664348|171.5718113748377 -14.3194876686712|  25.676 -8.472    |9.6      |K5               |    ~     ~    
1887|HD 283703                                                                                                |Star                           |04 31 46.8553723440 +26 24 25.660054836|172.3286646391922 -14.6809449864931|  11.683 -3.708    |10.50    |K                |    ~     ~    
1888|HD 283679                                                                                                |High Proper Motion Star        |04 33 27.8846933232 +28 55 41.719336500|170.6264792944627 -12.7416898463083| 10.509 -88.145    |9.41     |G0               |    ~     ~    
1889|HD 283682                                                                                                |Star                           |04 33 42.8692672920 +28 43 46.156721448|170.8167886886465 -12.8314488729935| 15.860 -37.618    |9.95     |G0               |    ~     ~    
1890|HD 28929                                                                                                 |Star                           |04 34 37.9927914408 +28 57 40.141956564|170.7734644097632 -12.5275479713991|  1.083 -21.408    |5.9      |B8/9             |    ~     ~    
1891|BD+28 666B                                                                                               |Star                           |04 34 39.8781734904 +28 57 34.733822976|170.7792493775973 -12.5233516599752|  0.238 -21.470    |10.3     |~                |    ~     ~    
1892|HD 283722                                                                                                |Star                           |04 36 13.7158112160 +29 07 40.199498976|170.8785368628642 -12.1549483519121| -1.166 -11.698    |10.81    |F0               |    ~     ~    
1893|HD 283723                                                                                                |Star                           |04 37 08.3533129728 +29 08 14.831222388|171.0038957128637 -11.9980741371161|   41.257 1.094    |9.35     |K0               |    ~     ~    
1894|HD 29342                                                                                                 |High Proper Motion Star        |04 38 28.3701043944 +28 43 03.440014248|171.5239964488673 -12.0494717335264|-59.089 -23.312    |8.35     |F8               |    ~     ~    
1895|HD 283725                                                                                                |Star                           |04 39 07.0251574752 +28 50 29.652791532|171.5210273892334 -11.8616339217003|  2.134 -27.545    |10.02    |F5               |    ~     ~    
1896|HD 29477                                                                                                 |Star                           |04 39 38.7641412984 +28 47 01.919567040|171.6425797938978 -11.8106138843244|    4.077 8.678    |8.70     |A2               |    ~     ~    
1897|HD 283732                                                                                                |Star                           |04 36 12.4895554992 +28 15 16.610137020|171.5527473004758 -12.7285999877329| 10.177 -19.763    |9.35     |A2               |    ~     ~    
1898|HD 283735                                                                                                |Star                           |04 36 52.3469831064 +28 12 10.117691388|171.6907343068813 -12.6513221690383| 16.123 -41.919    |10.40    |G5               |    ~     ~    
1899|HD 283737                                                                                                |Star                           |04 38 57.6945620472 +28 10 22.779363432|172.0197639557223 -12.3202598364682|   1.096 -9.531    |8.98     |M0               |    ~     ~    
1900|HD 283766                                                                                                |Star                           |04 41 14.2713969984 +28 14 28.225566168|172.2968696414006 -11.8927895583664|   1.262 -5.579    |10.87    |F8               |    ~     ~    
1901|HD 283742                                                                                                |Star                           |04 35 33.6696183648 +28 07 54.789566628|171.5527017078735 -12.9167099774710|  6.716 -31.738    |9.87     |F5               |    ~     ~    
1902|HD 283729                                                                                                |Star                           |04 37 07.8686756400 +28 33 38.985149124|171.4502264273869 -12.3751220705089|  -7.022 -0.605    |10.23    |G0               |    ~     ~    
1903|HD 283686                                                                                                |Star                           |04 33 07.1108295840 +28 25 23.788726896|170.9648965082166 -13.1315446933084|    3.943 6.954    |10.69    |F2               |    ~     ~    
1904|HD 282341                                                                                                |Star                           |04 38 40.9611977880 +29 18 02.257783992|171.1012366509750 -11.6361891840894| 16.474 -10.162    |10.18    |K5               |    ~     ~    
1905|HD 283733                                                                                                |Star                           |04 36 29.7970355688 +28 17 35.103075180|171.5652797022949 -12.6553599670611| -10.105 -2.857    |10.47    |F5               |    ~     ~    
1906|HD 283771                                                                                                |Star                           |04 39 39.1640552544 +28 09 01.717783560|172.1380246433163 -12.2184815358860|  6.648 -10.067    |10.30    |G0               |    ~     ~    
1907|HD 283731                                                                                                |Star                           |04 36 24.7398677376 +28 24 01.252870848|171.4695294246138 -12.5995077005567|  -0.678 -2.055    |10.50    |F8               |    ~     ~    
1908|HD 283736                                                                                                |Star                           |04 37 33.2046545736 +28 18 59.204474280|171.7021457654438 -12.4635090976159|  -3.972 -3.666    |10.42    |A3               |    ~     ~    
1909|HD 283727                                                                                                |Star                           |04 39 32.3462083752 +28 28 04.491627276|171.8735273433342 -12.0326861567357| -3.832 -11.015    |9.69     |K7               |    ~     ~    
1910|HD 283691                                                                                                |Star                           |04 34 42.4725511680 +27 32 04.597207080|171.8905899803231 -13.4497148702152|   3.317 20.386    |9.2      |F8               |    ~     ~    
1911|HD 283690                                                                                                |High Proper Motion Star        |04 34 53.9753824656 +28 03 51.737989932|171.5072565544691 -13.0712547723519| 42.928 -66.456    |9.2      |F5               |    ~     ~    
1912|HD 283743                                                                                                |High Proper Motion Star        |04 36 36.5513564856 +27 57 32.741807004|171.8417520071440 -12.8539895408646|-14.742 -49.924    |10.717   |K0               |    ~     ~    
1913|HD 283740                                                                                                |Star                           |04 37 02.5641486624 +28 00 40.294255356|171.8649877500497 -12.7473980121633|    3.322 1.531    |10.38    |A0               |    ~     ~    
1914|HD 29224                                                                                                 |Star                           |04 37 09.0630641736 +27 55 32.647979100|171.9475314153733 -12.7847365309218|-18.540 -10.497    |7.46     |B9/A0            |    ~     ~    
1915|HD 283744                                                                                                |Star                           |04 37 24.2108318496 +27 45 35.228299860|172.1141532547398 -12.8499861820817| 11.640 -28.154    |10.56    |F5               |    ~     ~    
1916|HD 283745                                                                                                |Star                           |04 38 15.2064807384 +27 52 50.832538176|172.1444816281675 -12.6284439312877|  1.538 -11.381    |10.67    |A0               |    ~     ~    
1917|HD 283738                                                                                                |Double or Multiple Star        |04 39 32.2864429848 +28 01 17.935286052|172.2220883714976 -12.3208944237658|  5.716 -10.011    |9.00     |M0               |0.0050  0.0    
1918|HD 283795                                                                                                |High Proper Motion Star        |04 40 04.0429543632 +27 11 05.295104700|172.9556255957379 -12.7696381538346| 17.973 -42.909    |10.99    |F5               |    ~     ~    
1919|HD 283773                                                                                                |Red Giant Branch star          |04 40 14.9817921312 +27 54 56.334827052|172.4086542309854 -12.2689896736256|  5.677 -14.871    |10.45    |K5               |    ~     ~    
1920|HD 283775                                                                                                |Star                           |04 40 36.2935320600 +27 49 05.875972932|172.5366109235896 -12.2714397919488| 17.071 -22.478    |9.40     |M0               |    ~     ~    
1921|HD 283772                                                                                                |Star                           |04 40 59.2503619896 +27 59 25.513518372|172.4571717093269 -12.0961059867033|   1.404 -2.687    |10.63    |A3               |    ~     ~    
1922|HD 283776                                                                                                |Star                           |04 41 02.7658403592 +27 50 38.755692240|172.5804446739258 -12.1800892618732| 10.070 -20.948    |9.69     |K2               |    ~     ~    
1923|HD 283701                                                                                                |Star                           |04 34 54.9740171088 +27 12 11.277228744|172.1799338770682 -13.6310622378502| -1.070 -11.190    |9.6      |A5               |    ~     ~    
1924|HD 283749                                                                                                |Star                           |04 36 44.5555287768 +27 15 19.307128104|172.4106802504933 -13.2887201595101|-36.828 -22.836    |9.5      |F8               |    ~     ~    
1925|HD 29364A                                                                                                |Double or Multiple Star        |04 38 29.5187810136 +26 56 21.352342992|172.9170224825730 -13.1961187226992| 41.522 -69.275    |7.17     |F0               |    ~     ~    
1926|HD 283794                                                                                                |Star                           |04 39 51.3620 +27 11 20.257            |172.9214071 -12.8029954            |   0.969 -4.960    |9.66     |A0               |    ~     ~    
1927|HD 283700                                                                                                |Star                           |04 33 59.1703019880 +27 07 26.061300120|172.1026344258690 -13.8394704550204| 17.889 -24.391    |10.7     |A3               |    ~     ~    
1928|HD 283793                                                                                                |Star                           |04 39 57.9601339320 +27 23 19.188706524|172.7806255941849 -12.6559538658163|  -1.202 -5.028    |10.79    |F5               |    ~     ~    
1929|HD 283748                                                                                                |Star                           |04 36 22.2639257064 +27 35 33.065826072|172.0923450902660 -13.1324324126928|   -1.056 0.990    |10.82    |F5               |    ~     ~    
1930|HD 283739                                                                                                |Star                           |04 38 43.9036729248 +28 04 32.970313956|172.0621086643059 -12.4217451123454|   -4.449 0.151    |10.54    |A7               |    ~     ~    
1931|HD 283790                                                                                                |Star                           |04 40 20.0667870864 +27 32 12.204439044|172.7181801966750 -12.4981971175327|  -5.011 -7.952    |10.75    |K2               |    ~     ~    
1932|HD 283797                                                                                                |Star                           |04 40 54.7068917928 +27 02 36.062755800|173.1904250284063 -12.7160936073262|   25.654 1.298    |10.00    |G0               |    ~     ~    
1933|HD 283746                                                                                                |Star                           |04 39 22.2828520800 +27 45 55.506068568|172.3982984267575 -12.5142771972075|  -1.185 -9.176    |10.14    |A3               |    ~     ~    
1934|HD 282342                                                                                                |Star                           |04 37 25.8561065544 +29 11 53.864640564|170.9991749602382 -11.9101211888076|  0.580 -10.426    |10.98    |A2               |    ~     ~    
1935|HD 282345                                                                                                |Double or Multiple Star        |04 35 21.177480 +29 11 29.16132        |170.701265377 -12.257755102        |     12.8 -46.0    |10.433   |K2               |    ~     ~    
1936|HD 282279                                                                                                |Star                           |04 33 27.3726111336 +29 06 20.427781932|170.4884872063177 -12.6261164019875|    8.345 0.826    |10.60    |K7               |    ~     ~    
1937|HD 283752                                                                                                |Star                           |04 38 49.7156619936 +27 23 25.041097680|172.6126956332894 -12.8481005415633| -14.525 -4.801    |10.69    |F5               |    ~     ~    
1938|TYC 1841-259-1                                                                                           |Star                           |04 34 39.8417019072 +28 53 49.565474988|170.8274831113344 -12.5645264669842| 13.745 -13.540    |10.40    |~                |    ~     ~    
1939|HD 283680                                                                                                |Double or Multiple Star        |04 34 09.566616 +29 03 29.37204        |170.628821555 -12.541824620        |      -6.9 -3.8    |10.446   |A5               |    ~     ~    
1940|HD 283689                                                                                                |Star                           |04 34 55.8640487544 +28 12 45.176875596|171.3969186627970 -12.9690382791008|  -0.976 -0.551    |10.50    |K0               |    ~     ~    
1941|HD 283710                                                                                                |Star                           |04 30 07.3704451056 +25 26 57.918310872|172.8232217433112 -15.5910366124044|   2.764 -1.799    |10.29    |M0               |    ~     ~    
1942|HD 283707                                                                                                |Variable Star                  |04 31 49.6443609360 +25 53 06.724570920|172.7434432380954 -15.0152696974096|  7.889 -42.571    |9.78     |G0               |    ~     ~    
1943|HD 283713                                                                                                |Star                           |04 31 45.7316984712 +25 19 15.637152360|173.1756594736517 -15.3954911915923|   5.241 -9.621    |10.55    |G5               |    ~     ~    
1944|HD 28580                                                                                                 |High Proper Motion Star        |04 31 16.4742404880 +25 01 49.648469088|173.3290610047266 -15.6688917606557|-55.687 -63.550    |8.5      |G8V              |    ~     ~    
1945|HD 28697                                                                                                 |Star                           |04 32 21.7995210504 +25 11 07.760406948|173.3741649122415 -15.3809800453786| -2.308 -28.565    |7.5      |A2               |    ~     ~    
1946|HD 283714                                                                                                |Star                           |04 32 39.8030963160 +25 07 21.759815352|173.4694401644296 -15.3703773739256|   2.210 -2.400    |10.0     |A3               |    ~     ~    
1947|V* GW Tau                                                                                                |Eclipsing Binary               |04 30 09.4651906272 +25 32 26.956951368|172.7570829676600 -15.5250343039726| -0.635 -13.319    |10.86    |A2               |    ~     ~    
1948|HD 284472                                                                                                |Star                           |04 31 26.5111714584 +23 41 04.598936916|174.4175033186725 -16.5168930880235|  7.028 -24.512    |10.56    |F5               |    ~     ~    
1949|HD 283715                                                                                                |Star                           |04 34 40.1726535288 +25 18 32.856661692|173.6279160470891 -14.9042924128368|   6.162 -9.352    |10.72    |K5               |    ~     ~    
1950|HD 29246                                                                                                 |Star                           |04 37 24.5953527672 +25 43 38.538304464|173.7104253994153 -14.1621371777180| 27.970 -29.683    |7.5      |K2III            |    ~     ~    
1951|HD 283810                                                                                                |High Proper Motion Star        |04 40 09.2282801952 +25 35 32.599442832|174.2254986032968 -13.7739389554925| 98.542 -60.690    |10.626   |K5               |    ~     ~    
1952|HD 28866                                                                                                 |High Proper Motion Star        |04 33 51.8152181904 +24 30 07.188803784|174.1427703411624 -15.5661754359920| 16.122 -61.392    |9.1      |G0               |    ~     ~    
1953|HD 283717                                                                                                |Star                           |04 34 18.1455866112 +24 58 44.525456868|173.8326018990929 -15.1814014578951|  2.998 -12.158    |9.47     |K0               |    ~     ~    
1954|HD 283757                                                                                                |Star                           |04 36 02.0978619336 +25 05 13.366708476|174.0097618032756 -14.8120813120665|  -0.918 -5.039    |10.9     |A5               |    ~     ~    
1955|HD 29334                                                                                                 |Star                           |04 38 09.7959738576 +24 33 13.252768344|174.7533904799854 -14.7840688719351|  0.351 -14.765    |9.1      |A3               |    ~     ~    
1956|HD 283758                                                                                                |Star                           |04 38 55.8997014792 +24 45 35.810093340|174.7045617678220 -14.5179986128270|  7.666 -17.276    |9.16     |K2               |    ~     ~    
1957|HD 29459                                                                                                 |Star                           |04 39 23.1491915976 +25 13 05.795870016|174.4082173146417 -14.1462217233831| 17.992 -10.528    |6.200    |A3               |    ~     ~    
1958|HD 283813                                                                                                |Star                           |04 40 21.0148643760 +25 03 07.733422476|174.6836655601229 -14.0839032025312| -4.577 -33.326    |9.82     |F2               |    ~     ~    
