C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
44  |HD 24681                                                              |High Proper Motion Star        |03 55 20.4037114488 -01 43 45.202862820|190.9653527035129 -39.1970248185502| 43.501 -91.466   |9.04     |G5V                 |    ~     ~    
45  |V* SU Eri                                                             |Long-Period Variable           |03 51 27.0237925776 -01 22 16.336692408|189.8672144011580 -39.7928406502430|   2.319 -9.357   |8.545    |M6III               |    ~     ~    
46  |HD 23877                                                              |Star                           |03 48 27.7351238616 -02 07 46.050612960|190.1221836610104 -40.8391153707054|   3.142 -0.261   |8.42     |K1III               |    ~     ~    
47  |HD 23888                                                              |Star                           |03 48 31.6700532480 -02 03 59.282047728|190.0662378082184 -40.7896831218642| 21.816 -27.697   |9.16     |K1/2(III)           |    ~     ~    
48  |HD 24077                                                              |Star                           |03 50 04.5839622744 -01 58 34.117867956|190.2593904503925 -40.4204326125341|   2.476 -4.304   |9.25     |K2III               |    ~     ~    
49  |HD 24255                                                              |Star                           |03 51 28.6945624464 -01 58 28.008349752|190.5186882124546 -40.1313930728853|-24.293 -40.497   |9.11     |F2/3V               |    ~     ~    
50  |HD 24644                                                              |Star                           |03 55 02.8709083608 -02 00 10.150662672|191.2044713224403 -39.4113862610820| -4.807 -16.744   |10.06    |F0V                 |    ~     ~    
51  |BD-02 725                                                             |Star                           |03 49 26.3680702824 -02 09 05.453804808|190.3298051756986 -40.6511128292201| -6.415 -23.492   |10.492   |~                   |    ~     ~    
52  |BD-00 612                                                             |Star                           |03 52 33.0892165848 -00 01 51.731597568|188.6615235141962 -38.7922442650303|  12.245 33.049   |10.26    |~                   |    ~     ~    
53  |BD-02 744                                                             |Star                           |03 53 05.6327748720 -02 02 06.989804700|190.8823562144959 -39.8330757394559|   8.460 -5.028   |10.78    |~                   |    ~     ~    
54  |BD-02 748                                                             |Star                           |03 53 20.3951452824 -02 02 50.999068356|190.9406501859357 -39.7892243069710|   1.118 -4.668   |10.01    |~                   |    ~     ~    
55  |BD-01 555                                                             |High Proper Motion Star        |03 53 53.4322266696 -00 45 15.436898748|189.6675486372187 -38.9391600460078| -2.030 -86.834   |10.50    |~                   |    ~     ~    
56  |BD-02 756                                                             |Spectroscopic Binary           |03 55 34.6540439952 -02 01 43.952568708|191.3284456836060 -39.3164763383626|  1.051 -37.485   |10.52    |~                   |    ~     ~    
57  |TYC 4718-26-1                                                         |Star                           |03 56 08.7959578992 -00 55 22.295103672|190.2591347639129 -38.5735902642430|   37.510 3.084   |10.505   |~                   |    ~     ~    
58  |TYC 4717-21-1                                                         |Star                           |03 49 52.0241156208 -01 56 17.454625152|190.1792382816659 -40.4417473865807|  0.461 -16.050   |10.82    |~                   |    ~     ~    
59  |TYC 4717-101-1                                                        |Star                           |03 49 33.4530665880 -00 18 22.578029532|188.3836442285381 -39.5600825091008|   9.850 16.941   |10.253   |~                   |    ~     ~    
60  |TYC 4717-552-1                                                        |Star                           |03 49 27.1502688264 -00 02 10.645201860|188.0807492610315 -39.4224583792031|-11.815 -19.862   |10.5     |~                   |    ~     ~    
61  |TYC 4717-666-1                                                        |High Proper Motion Star        |03 47 00.0355438104 -01 44 30.697698876|189.4251555404699 -40.9155799281792| 19.757 -63.284   |10.92    |~                   |    ~     ~    
62  |TYC 4717-835-1                                                        |Star                           |03 49 05.9753032104 -00 41 41.136935316|188.7059025824217 -39.8803794201169| 23.791 -16.574   |10.47    |~                   |    ~     ~    
63  |TYC 4717-961-1                                                        |Star                           |03 48 10.1649380904 -00 52 51.229537464|188.7258885403502 -40.1778332577462|  2.210 -12.238   |10.24    |~                   |    ~     ~    
