C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
1807|CD-45 1340                                                            |Spectroscopic Binary           |03 56 51.3750702480 -45 06 45.502933788|251.5858081949971 -49.1616805513387|  -3.033 21.970   |10.53    |~                   |    ~     ~    
1808|HD 25138                                                              |Star                           |03 57 42.4440027336 -44 44 18.955605336|250.9837302561604 -49.0760891277870|  8.236 -25.742   |9.258    |G8IV                |    ~     ~    
1809|CD-45 1353                                                            |High Proper Motion Star        |03 58 52.3220371848 -44 45 13.016680488|250.9555695729811 -48.8695799486941|-44.103 -102.690  |10.82    |~                   |    ~     ~    
1810|CD-46 1228                                                            |Star                           |03 54 50.5258385568 -45 46 37.984683108|252.6865406989928 -49.3868982136540|  -3.143 10.434   |10.19    |~                   |    ~     ~    
1811|CD-46 1254                                                            |Star                           |03 59 13.4931600960 -45 40 21.536383296|252.3143311821488 -48.6544796796379| 21.486 -30.851   |10.469   |~                   |    ~     ~    
1812|HD 25336                                                              |High Proper Motion Star        |03 59 30.5206877808 -46 08 59.931343860|253.0107975775436 -48.5201569665691|  93.522 10.785   |9.25     |G2V                 |    ~     ~    
1813|HD 25372                                                              |Star                           |03 59 49.2291665856 -46 13 57.723340476|253.1184979897817 -48.4519011793842| 22.435 -10.951   |9.37     |K0III               |    ~     ~    
1814|CD-45 1299                                                            |Spectroscopic Binary           |03 51 58.5559517088 -45 04 58.157409864|251.7825491536138 -50.0139523663305|    4.957 9.845   |10.54    |~                   |    ~     ~    
1815|CD-45 1314                                                            |Star                           |03 53 25.4250254616 -45 02 57.847612272|251.6570715062297 -49.7691330914825|  36.460 16.482   |10.95    |~                   |    ~     ~    
1816|CD-46 1230                                                            |Star                           |03 55 10.1984940240 -45 41 45.912108732|252.5473757348764 -49.3463736600562|   12.929 8.926   |9.62     |~                   |    ~     ~    
1817|CD-44 1331                                                            |Star                           |03 55 43.3967961168 -44 11 31.536535632|250.2441949881786 -49.5135551811620|  -5.292 22.734   |10.951   |~                   |    ~     ~    
1818|CD-46 1234                                                            |Star                           |03 56 06.9755477280 -45 53 03.974597448|252.7822817918793 -49.1484536191229|  29.452 27.426   |10.75    |~                   |    ~     ~    
1819|CD-44 1334                                                            |Star                           |03 56 14.2239502944 -44 28 41.717003664|250.6557772790534 -49.3767377568142|  41.736 14.487   |10.41    |~                   |    ~     ~    
1820|CD-45 1334                                                            |Star                           |03 56 15.7555076472 -44 54 16.504056684|251.2996845410098 -49.3009205304075|-23.635 -21.195   |10.667   |~                   |    ~     ~    
1821|CD-44 1335                                                            |Star                           |03 56 22.2903178320 -44 24 17.745524712|250.5386836398451 -49.3649534427427|  34.775 34.514   |10.470   |~                   |    ~     ~    
1822|CD-45 1342                                                            |Spectroscopic Binary           |03 56 53.6866558008 -45 14 44.273596632|251.7841832212924 -49.1317675888950| 23.434 -48.569   |10.52    |~                   |    ~     ~    
1823|CD-45 1345                                                            |Star                           |03 57 39.3176621904 -45 03 14.177077236|251.4605627460216 -49.0327822658473|  -5.538 16.547   |10.384   |~                   |    ~     ~    
1824|CD-45 1290                                                            |Star                           |03 50 42.0666696048 -45 17 16.367245728|252.1644888061250 -50.1942150435248|   -4.360 8.481   |10.86    |~                   |    ~     ~    
1825|CD-45 1300                                                            |Star                           |03 52 00.2191201056 -44 57 58.675816764|251.6030312144913 -50.0312368012833|  -2.988 -4.232   |10.46    |~                   |    ~     ~    
1826|CD-46 1219                                                            |Star                           |03 53 40.4431440576 -45 45 36.106982712|252.7220269313918 -49.5900127402423| 27.304 -12.729   |10.381   |~                   |    ~     ~    
1827|CD-45 1316                                                            |Star                           |03 53 47.9032831920 -44 47 10.187740644|251.2377058456325 -49.7516838334869|    6.928 5.157   |10.04    |~                   |    ~     ~    
1828|CD-44 1349                                                            |Star                           |03 58 07.1849291328 -43 42 30.036099996|249.4107532512100 -49.1598244277425|    8.263 6.693   |10.34    |~                   |    ~     ~    
1829|CD-46 1247                                                            |Star                           |03 58 24.1934525400 -46 07 22.214547480|253.0241887119759 -48.7133726028357| -0.831 -20.632   |10.886   |~                   |    ~     ~    
1830|CD-45 1279                                                            |Star                           |03 49 12.9622527768 -45 27 15.615643896|252.5030018911075 -50.4155502674195|   4.902 19.583   |10.62    |~                   |    ~     ~    
1831|CD-45 1273                                                            |High Proper Motion Star        |03 47 52.9353426864 -45 34 06.002259816|252.7562425503673 -50.6196781485362|  47.658 40.362   |10.46    |~                   |    ~     ~    
1832|CD-45 1275                                                            |High Proper Motion Star        |03 48 00.5865819504 -45 33 59.049724608|252.7456814283419 -50.5983024791789| -3.853 -51.018   |10.78    |~                   |    ~     ~    
1833|CD-45 1285                                                            |High Proper Motion Star        |03 49 58.6479764856 -45 17 13.468953696|252.2032834832930 -50.3190575779167|  84.232 18.689   |9.49     |~                   |    ~     ~    
1834|HD 24317                                                              |Star                           |03 50 13.2776318112 -45 10 35.136647184|252.0200593214192 -50.2992273079068|  -3.569 -3.499   |9.10     |F3V                 |    ~     ~    
1835|CD-44 1360                                                            |Star                           |03 59 38.0 -44 37 36                   |250.7330 -48.7558                  |            ~ ~   |10.61    |~                   |    ~     ~    
1836|TYC 8067-452-1                                                        |Star                           |03 59 45.8066481960 -45 12 55.520991756|251.6080554759597 -48.6392306042129|   20.094 7.161   |10.97    |~                   |    ~     ~    
1837|TYC 8067-797-1                                                        |High Proper Motion Star        |03 54 11.9435906088 -45 50 56.189140296|252.8284335863930 -49.4827351543943|  57.912 26.022   |10.66    |~                   |    ~     ~    
1838|TYC 8067-1097-1                                                       |Star                           |03 52 37.5527810184 -45 33 26.659752588|252.4709873916807 -49.8096405854648|  -0.299 14.548   |10.790   |~                   |    ~     ~    
1839|TYC 8067-1159-1                                                       |Star                           |03 52 40.1510299296 -45 15 53.312439492|252.0237489506802 -49.8592069831940|   5.227 10.729   |10.903   |~                   |    ~     ~    
1840|TYC 8067-1697-1                                                       |Star                           |03 53 23.3628632832 -45 51 39.465213408|252.8899108038773 -49.6184895289009| -3.267 -28.394   |10.645   |~                   |    ~     ~    
1841|TYC 8067-1975-1                                                       |Star                           |03 54 05.9863622184 -45 11 47.751634716|251.8466005685860 -49.6247115862951|   33.508 4.076   |10.873   |~                   |    ~     ~    
1842|CD-45 1260                                                            |Star                           |03 45 53.0453451072 -45 18 30.909745152|252.4754559118337 -51.0182524010630| -12.927 24.884   |10.211   |~                   |    ~     ~    
1843|HD 23769                                                              |Double or Multiple Star        |03 46 01.7563916208 -43 31 53.899611456|249.6893323189472 -51.3477584907404|  11.215 -5.169   |9.73     |G0/2IV/V            |    ~     ~    
1844|HD 23832                                                              |Star                           |03 46 24.7354354464 -43 19 28.895426292|249.3435977056367 -51.3161669554741| -5.609 -17.582   |9.44     |K2/3(III)           |    ~     ~    
1845|HD 23959                                                              |Star                           |03 47 25.3791663192 -42 44 28.226333580|248.3746325571788 -51.2315754492506|   9.377 18.524   |8.36     |K0III               |    ~     ~    
1846|HD 24234                                                              |Star                           |03 49 43.6356741768 -43 04 57.151344900|248.8038218474279 -50.7608538554420| 46.403 -12.088   |9.09     |K2(III)             |    ~     ~    
1847|HD 24281                                                              |Carbon Star                    |03 50 05.8557463368 -43 32 03.533177580|249.4902793983947 -50.6211221065879|  0.442 -15.115   |8.29     |C-H4:IIIa:          |    ~     ~    
1848|HD 24476                                                              |Star                           |03 51 49.0061289864 -43 32 21.318294984|249.4180826688004 -50.3129194669713|  -4.356 -5.313   |9.26     |G8(III)             |    ~     ~    
1849|HD 24976                                                              |Star                           |03 56 17.7093653040 -43 37 05.239662492|249.3464358234689 -49.4993401203659|  -3.440 16.308   |8.15     |F5/6V               |    ~     ~    
1850|HD 23906                                                              |Star                           |03 46 57.0802793640 -43 48 24.963114780|250.0732244044050 -51.1336808480817|    3.398 6.191   |8.21     |K2/3III             |    ~     ~    
1851|HD 24235                                                              |Star                           |03 49 39.5467331832 -43 45 44.729098776|249.8659571648662 -50.6606751263245|  37.302 13.726   |9.52     |F3V                 |    ~     ~    
1852|CD-44 1306                                                            |Star                           |03 51 45.6350855568 -43 42 21.863900088|249.6783945869203 -50.2959423907230|   22.957 2.040   |10.063   |F2                  |    ~     ~    
1853|CD-44 1263B                                                           |Star                           |03 45 17.7821548128 -44 23 01.490412480|251.0683201489406 -51.3143079384324|   11.452 6.783   |9.5      |~                   |    ~     ~    
1854|HD 23696                                                              |Double or Multiple Star        |03 45 17.889 -44 22 59.79              |251.067477 -51.314091              |     -7.5 -16.0   |9.5      |F7/G0               |    ~     ~    
1855|HD 23858                                                              |Star                           |03 46 29.8032766248 -44 30 04.588658208|251.1835272899951 -51.0808484670638|  0.987 -10.267   |9.952    |F2V                 |    ~     ~    
1856|HD 23770                                                              |Star                           |03 45 49.5277386768 -44 37 05.742742476|251.4045643220891 -51.1743363952466|   -0.252 7.106   |9.868    |F6V                 |    ~     ~    
1857|HD 23980                                                              |Star                           |03 47 29.8767215112 -44 25 57.347932044|251.0206569436954 -50.9192305606581|    2.642 4.819   |9.62     |G8III               |    ~     ~    
1858|HD 24048                                                              |High Proper Motion Star        |03 48 01.6839044952 -44 12 02.069783208|250.6308709725902 -50.8704385731121|  60.918 62.432   |9.25     |G2V                 |    ~     ~    
1859|HD 24210                                                              |Star                           |03 49 24.6356166840 -44 20 36.205299024|250.7796722713745 -50.6006692957337| 31.809 -10.094   |9.06     |G0V                 |    ~     ~    
1860|HD 24391                                                              |Star                           |03 50 58.9163622696 -44 04 16.575532644|250.2794276033988 -50.3725487736395|  -8.982 -3.567   |8.22     |A6V                 |    ~     ~    
1861|HD 24406                                                              |Star                           |03 51 03.0941289144 -44 21 53.812204668|250.7288624178752 -50.3083254846203|  30.828 20.110   |8.01     |F2III               |    ~     ~    
1862|CD-44 1311                                                            |Star                           |03 52 22.9043442312 -44 10 49.319025348|250.3796616863752 -50.1062922340793| 23.727 -14.881   |10.11    |F2                  |    ~     ~    
1863|HD 24557                                                              |Star                           |03 52 27.9140658768 -44 09 59.636059668|250.3544752686472 -50.0938988250660|  -7.346 -7.413   |8.86     |A5III               |    ~     ~    
1864|CD-44 1330                                                            |Star                           |03 55 32.8099252632 -43 57 43.204895280|249.9016668636044 -49.5810574041598|   15.359 3.941   |10.218   |~                   |    ~     ~    
1865|CD-45 1272                                                            |Star                           |03 47 45.4537759104 -44 42 18.901231920|251.4298618041398 -50.8202925318443|    0.545 5.245   |10.065   |F8                  |    ~     ~    
1866|HD 24113                                                              |High Proper Motion Star        |03 48 34.3236371808 -45 10 23.562552684|252.1074643431434 -50.5845201335527|  70.211 -1.512   |8.79     |F8/G0V              |    ~     ~    
1867|HD 24200                                                              |High Proper Motion Star        |03 49 19.7051706120 -44 46 47.196178392|251.4585674942639 -50.5321461183285|  57.601 66.702   |9.32     |F6V                 |    ~     ~    
1868|HD 24392                                                              |Star                           |03 50 58.3819670352 -44 37 20.114182272|251.1288461989254 -50.2751372615425|  16.167 26.679   |9.10     |G8III               |    ~     ~    
1869|CD-44 1274                                                            |Spectroscopic Binary           |03 46 48.2091007632 -44 10 46.294579956|250.6641330468192 -51.0899643728213|  -1.875 -9.485   |10.35    |~                   |    ~     ~    
1870|CD-45 1276                                                            |Star                           |03 48 03.0861624240 -45 10 41.443652676|252.1449880524320 -50.6732695508123|   4.700 17.994   |10.19    |~                   |    ~     ~    
1871|CD-44 1295                                                            |Double or Multiple Star        |03 50 15.983016 -44 10 10.29000        |250.466784205 -50.481633706        |      21.1 -0.5   |10.89    |~                   |    ~     ~    
1872|CPD-43 395                                                            |Star                           |03 50 29.4775425384 -43 37 06.233381904|249.6021706135169 -50.5368260649776|   6.059 24.813   |10.46    |~                   |    ~     ~    
1873|CD-44 1305                                                            |Star                           |03 51 36.9627209640 -44 30 19.090410732|250.9163682364895 -50.1839261658932| 31.561 -11.318   |10.768   |~                   |    ~     ~    
1874|CD-45 1304                                                            |Star                           |03 52 21.3806294880 -44 38 33.505984104|251.0898709767889 -50.0294596855787|    9.973 9.452   |10.48    |~                   |    ~     ~    
1875|CD-43 1225                                                            |Star                           |03 54 32.4143214312 -43 33 46.019490336|249.3347349836409 -49.8217992805952|  0.963 -17.278   |10.64    |~                   |    ~     ~    
1876|CD-43 1184                                                            |Star                           |03 48 27.8374731696 -43 25 52.169797344|249.4082146490181 -50.9305766980250| 18.279 -11.471   |10.64    |~                   |    ~     ~    
1877|CD-44 1284                                                            |Star                           |03 48 54.4443722208 -44 27 22.140281556|250.9808597063667 -50.6678216910965| -0.439 -11.214   |10.55    |~                   |    ~     ~    
1878|CD-43 1200                                                            |Star                           |03 50 32.9546806248 -43 16 06.984637356|249.0561975048877 -50.5833832940427| -0.109 -14.482   |10.77    |~                   |    ~     ~    
1879|CD-44 1300                                                            |Star                           |03 50 46.0074151488 -43 56 30.648301440|250.0899421083898 -50.4330518280025| -7.051 -15.753   |10.55    |~                   |    ~     ~    
1880|CD-44 1320                                                            |Star                           |03 53 54.2030130216 -43 52 31.369941984|249.8414092136637 -49.8869576976851|   35.453 3.294   |10.59    |~                   |    ~     ~    
1881|CD-44 1326                                                            |Star                           |03 54 35.0107858584 -44 11 50.840153448|250.3032634885097 -49.7143055881962|   -3.749 3.116   |10.06    |~                   |    ~     ~    
1882|TYC 7576-1310-1                                                       |Star                           |03 51 01.4193679896 -43 59 02.492870424|250.1426532258944 -50.3802600111194|   6.271 35.484   |10.995   |~                   |    ~     ~    
1883|TYC 7576-1661-1                                                       |Spectroscopic Binary           |03 49 48.1919259912 -43 57 15.918887700|250.1568845483049 -50.6016560184787|  6.251 -37.072   |10.93    |~                   |    ~     ~    
1884|CD-48 1102                                                            |Star                           |03 51 04.6893973128 -48 35 47.501307528|257.1270850730839 -49.3652245573661|  -20.318 8.218   |9.96     |F5                  |    ~     ~    
1885|CD-48 1107                                                            |Spectroscopic Binary           |03 51 32.3701607808 -48 32 24.632663496|257.0129926155884 -49.3062901814185|-18.907 -56.287   |9.85     |G0                  |    ~     ~    
1886|CD-49 1109                                                            |Star                           |03 50 58.8545759952 -48 44 25.202605992|257.3465138318734 -49.3426797740911|  0.612 -29.272   |10.072   |~                   |    ~     ~    
1887|CD-49 1122                                                            |Star                           |03 53 01.2481481400 -48 49 15.526287624|257.3305219673461 -48.9972538127526|  15.760 -7.453   |10.477   |F5                  |    ~     ~    
1888|HD 25097                                                              |Star                           |03 57 03.4060551216 -49 02 42.974472012|257.4046968496854 -48.2992130252871| -16.001 -8.077   |9.27     |K0/1(III)           |    ~     ~    
1889|HD 25190                                                              |Star                           |03 57 55.8593702232 -49 05 53.075984640|257.4286100871015 -48.1474407830633|-10.063 -42.130   |10.035   |G5/6(III)           |    ~     ~    
1890|CD-47 1215                                                            |Star                           |03 57 17.0791354920 -47 29 38.293796544|255.1160862441769 -48.6231567309418|  28.782 -1.801   |10.000   |~                   |    ~     ~    
1891|CD-48 1126                                                            |Star                           |03 55 18.0889496064 -47 47 13.215387732|255.6628444887697 -48.8829941915864|   38.002 5.993   |9.62     |G5                  |    ~     ~    
1892|CD-48 1137                                                            |Star                           |03 57 09.1456837944 -47 43 37.996913856|255.4676223384957 -48.5935600862865|  -3.245 41.721   |10.127   |F8                  |    ~     ~    
1893|CD-47 1230                                                            |High Proper Motion Star        |03 59 44.8517175456 -47 27 47.628000972|254.9374912090719 -48.2230660046986| -4.907 103.244   |10.950   |G8                  |    ~     ~    
1894|HD 24543                                                              |Double or Multiple Star        |03 52 08.1453243552 -48 25 04.633075632|256.7929664309806 -49.2423007727849|-17.097 -21.903   |9.66     |G0/2V               |    ~     ~    
1895|CD-48 1130                                                            |Star                           |03 55 53.9868982200 -48 00 23.959956780|255.9519969554889 -48.7345324842112|        7.6 0.5   |10.05    |~                   |    ~     ~    
1896|HD 25074                                                              |Star                           |03 56 51.3539897688 -48 28 42.311044776|256.5887628456665 -48.4688441810382| -6.983 -38.770   |7.24     |K0III               |    ~     ~    
1897|HD 25222                                                              |Star                           |03 58 15.4605186720 -48 10 13.509442488|256.0561459461309 -48.3136949687000|   1.266 10.789   |7.96     |K0                  |    ~     ~    
1898|HD 25130                                                              |Star                           |03 57 21.8682555912 -48 47 57.118371540|257.0274072960757 -48.3103805544168|    6.602 9.265   |10.257   |F0V                 |    ~     ~    
1899|HD 25315                                                              |Star                           |03 59 08.4146747856 -48 54 53.129845836|257.0908422301098 -47.9991277882182|  8.543 -12.204   |7.86     |A1IV                |    ~     ~    
1900|CD-48 1139                                                            |Star                           |03 57 38.1628481088 -48 28 50.526477264|256.5460953117328 -48.3426770282657|   5.623 -1.241   |10.82    |~                   |    ~     ~    
1901|CD-48 1147                                                            |Double or Multiple Star        |03 58 25.295664 -48 00 31.63032        |255.810050990 -48.323343872        |        8.3 5.6   |10.605   |~                   |    ~     ~    
1902|CD-48 1146                                                            |Star                           |03 58 21.7793856240 -48 31 51.631336056|256.5772971869661 -48.2138453641383|  2.204 -18.730   |10.91    |~                   |    ~     ~    
1903|HD 25326                                                              |Star                           |03 59 21.4818504720 -46 45 23.393468016|253.9164940984411 -48.4305388074550|   7.496 -7.375   |8.87     |K0III               |    ~     ~    
1904|CD-48 1128                                                            |Star                           |03 55 34.4019109536 -47 39 54.010313892|255.4663548320275 -48.8664480746046|  8.624 -29.236   |10.537   |~                   |    ~     ~    
1905|TYC 8070-1057-1                                                       |Star                           |03 57 56.2076168280 -49 09 20.763581364|257.5120685271525 -48.1323595311915|   13.897 6.466   |10.624   |~                   |    ~     ~    
1906|TYC 8070-1109-1                                                       |Star                           |03 55 16.2941612304 -48 44 25.899887148|257.0692071517481 -48.6590865001861|   5.027 -0.366   |10.828   |~                   |    ~     ~    
1907|GSC 08070-01167                                                       |Double or Multiple Star        |03 58 19.697448 -48 22 01.42104        |256.339832606 -48.257374637        |      19.4 28.6   |10.829   |~                   |    ~     ~    
1908|HD 24426                                                              |Star                           |03 50 59.7207496656 -48 31 37.265749824|257.0295790631573 -49.3966851005833|  -7.459 42.318   |7.88     |F5V                 |    ~     ~    
1909|CD-46 1167                                                            |Star                           |03 46 18.0143748792 -46 11 23.047518192|253.8097114213886 -50.7478595338016|   13.461 9.329   |9.86     |K0                  |    ~     ~    
1910|HD 23719                                                              |Red Giant Branch star          |03 45 15.8761413144 -47 21 34.111078056|255.6677484395150 -50.6288927843995|  -3.569 -8.661   |5.708    |K1III               |    ~     ~    
1911|HD 23771                                                              |High Proper Motion Star        |03 45 40.6872138384 -47 30 18.476845668|255.8600985222663 -50.5231324159053| 76.747 134.145   |9.51     |F7V                 |    ~     ~    
1912|HD 23845                                                              |Star                           |03 46 13.3663715256 -46 48 28.297493400|254.7615034645296 -50.6117536499881|  20.053 15.501   |9.71     |F2IV/V              |    ~     ~    
1913|CD-46 1170                                                            |Star                           |03 46 48.7176500832 -46 12 24.966053172|253.8034083846120 -50.6577441973964|   -0.291 8.246   |10.12    |~                   |    ~     ~    
1914|HD 24499                                                              |Spectroscopic Binary           |03 51 51.1978619688 -46 09 44.933447664|253.4315102302066 -49.8170480508566|   6.986 22.351   |7.86     |F5III               |    ~     ~    
1915|HD 24564                                                              |Star                           |03 52 22.0911315240 -46 34 52.679933076|254.0344812765372 -49.6399039205257|    0.632 3.360   |8.25     |M2/3III             |    ~     ~    
1916|HD 24756                                                              |Star                           |03 54 05.4705813720 -46 16 22.611867816|253.4729919827119 -49.4153859470857|   8.225 24.857   |8.78     |K2III               |    ~     ~    
1917|HD 24805                                                              |Star                           |03 54 37.4889119664 -46 25 00.790943304|253.6599557570659 -49.2955149823385| -14.749 -5.390   |6.885    |A3V                 |    ~     ~    
1918|CD-46 1232                                                            |Star                           |03 55 38.5143186384 -46 17 45.318586092|253.4238092413465 -49.1484049017346|  27.960 39.518   |9.36     |K0                  |    ~     ~    
1919|HD 24034                                                              |Double or Multiple Star        |03 47 43.06511 -47 00 50.7321          |254.97657820 -50.31346950          |      3.35 1.88   |9.55     |F7V                 |    ~     ~    
1920|HD 24222                                                              |Star                           |03 49 21.2996784456 -46 44 37.516029180|254.4616586522487 -50.1066685143247|   9.248 -9.841   |8.96     |F7V                 |    ~     ~    
1921|CD-47 1172                                                            |Star                           |03 49 58.0472917320 -47 29 10.664132460|255.5434621539214 -49.8273222084429|-19.778 -25.278   |9.75     |G5                  |    ~     ~    
1922|CD-47 1175                                                            |Star                           |03 50 49.6702197889 -46 38 34.308717576|254.2185514430591 -49.8840924687288|   -7.364 8.132   |9.76     |~                   |    ~     ~    
1923|CD-47 1176                                                            |Star                           |03 51 34.9106923824 -47 11 30.144176808|254.9994920499643 -49.6325120248155|   -5.207 3.424   |9.13     |~                   |    ~     ~    
1924|HD 24500                                                              |Star                           |03 51 41.8141314024 -47 19 00.688591416|255.1801389956403 -49.5841306336817|  31.908 29.825   |6.696    |A8III/IV            |    ~     ~    
1925|HD 24706                                                              |Star                           |03 53 33.3431392008 -46 53 37.265782632|254.4349190976474 -49.3727564692216| 19.562 -34.128   |5.921    |K2III               |    ~     ~    
1926|CD-47 1189                                                            |Star                           |03 53 33.7454906736 -46 52 20.925817428|254.4027633618890 -49.3763105212908| 28.313 -35.408   |8.41     |~                   |    ~     ~    
1927|CD-47 1190                                                            |Star                           |03 53 35.5799662728 -46 49 43.110019092|254.3353107362019 -49.3808376490123|  13.568 14.906   |9.877    |~                   |    ~     ~    
1928|CD-47 1200                                                            |Star                           |03 55 38.5353778720 -47 30 35.293268155|255.2324773541857 -48.8901888762122| -4.342 -12.175   |9.40     |G5                  |    ~     ~    
1929|HD 25005                                                              |High Proper Motion Star        |03 56 14.3847837816 -47 17 07.382747904|254.8657913704591 -48.8411718392400|  45.659 42.875   |8.70     |F6V                 |    ~     ~    
1930|HD 24122                                                              |High Proper Motion Star        |03 48 26.2758211536 -47 37 24.146824800|255.8500360174378 -50.0428419937713|  70.658 24.854   |9.04     |G2V                 |    ~     ~    
1931|HD 23870                                                              |High Proper Motion Star        |03 46 18.3776785896 -47 53 39.561180036|256.4047895434072 -50.3177119217283|   51.052 1.098   |8.10     |F6/7IV/V            |    ~     ~    
1932|HD 24223                                                              |Star                           |03 49 12.0928866864 -48 17 25.477262412|256.7984379396990 -49.7461582395344| 17.131 -14.066   |8.56     |G8/K0III/IV         |    ~     ~    
1933|HD 24490                                                              |Star                           |03 51 32.2729203600 -48 06 31.875565212|256.3728807703902 -49.4169203981626|  26.114 11.512   |9.07     |G5                  |    ~     ~    
1934|CD-48 1116                                                            |Spectroscopic Binary           |03 52 55.0264433088 -47 52 28.997647248|255.9373000030485 -49.2510926202495|  33.465 -2.345   |10.086   |~                   |    ~     ~    
1935|CD-47 1197                                                            |Long-Period Variable           |03 55 04.2432317352 -47 10 10.272244944|254.7597773314527 -49.0601857518273|   -4.587 5.466   |9.14     |~                   |    ~     ~    
1936|CD-47 1149                                                            |Star                           |03 45 29.1922404144 -46 41 45.558673152|254.6397594799726 -50.7616521080881|   5.529 13.891   |10.71    |~                   |    ~     ~    
1937|CD-47 1155                                                            |Star                           |03 46 28.9884946440 -47 26 13.391762424|255.7010362646323 -50.4095949625499|    2.338 2.422   |10.155   |~                   |    ~     ~    
1938|CD-47 1157                                                            |High Proper Motion Star        |03 46 31.8733758384 -47 19 56.655153336|255.5390528826787 -50.4287074451008|  36.508 34.554   |10.650   |~                   |    ~     ~    
1939|CD-48 1080                                                            |Star                           |03 48 03.0405037968 -47 46 08.457901068|256.0953389277232 -50.0683939940243|   9.041 16.265   |10.10    |~                   |    ~     ~    
1940|CD-47 1167                                                            |Star                           |03 48 20.7460234032 -47 05 54.560897412|255.0635110584292 -50.1890744629473|   38.072 5.291   |10.57    |~                   |    ~     ~    
1941|CD-48 1087                                                            |Star                           |03 48 41.6827876872 -47 42 07.815047724|255.9514416246783 -49.9809421168370| 20.294 -16.852   |10.93    |~                   |    ~     ~    
1942|CD-48 1092                                                            |Star                           |03 49 26.2212880656 -48 04 13.318045032|256.4538143140719 -49.7659300920809| -9.803 -13.288   |10.53    |~                   |    ~     ~    
1943|CD-48 1094                                                            |Star                           |03 49 46.2856897272 -47 46 36.326093196|255.9920895884050 -49.7869147547908|   4.965 17.771   |10.24    |~                   |    ~     ~    
1944|CD-46 1192                                                            |Star                           |03 49 53.8107702408 -45 51 04.547667456|253.0711713417510 -50.2153653895100|  -1.586 -7.653   |10.85    |~                   |    ~     ~    
1945|CD-46 1193                                                            |Star                           |03 50 12.8537751840 -45 49 18.537445452|253.0078274711291 -50.1676320621763|   28.847 8.994   |9.88     |~                   |    ~     ~    
1946|CD-46 1195                                                            |Star                           |03 50 52.7508093264 -46 26 17.474608680|253.9057822835250 -49.9213480265069|   -8.466 3.635   |10.73    |~                   |    ~     ~    
1947|CD-46 1196                                                            |Star                           |03 51 00.6282611424 -45 54 39.527641440|253.0979324775932 -50.0132892954294|   5.569 10.649   |9.47     |~                   |    ~     ~    
1948|CD-46 1197                                                            |Double or Multiple Star        |03 51 02.4161819064 -46 30 39.686438592|254.0064554905559 -49.8781122294853|    1.560 2.673   |10.564   |~                   |    ~     ~    
1949|CD-46 1203                                                            |Star                           |03 51 40.6370006568 -45 57 57.429553428|253.1435709354249 -49.8883913182885|-29.001 -14.278   |10.44    |~                   |    ~     ~    
1950|CD-46 1209                                                            |Star                           |03 52 38.5734069264 -46 26 26.962662876|253.8069230830382 -49.6242679626788|  0.646 -28.202   |10.840   |~                   |    ~     ~    
1951|CD-46 1213                                                            |High Proper Motion Star        |03 53 17.6352570624 -46 29 32.804093256|253.8475916068275 -49.5037011213827| -9.834 -53.265   |10.62    |~                   |    ~     ~    
1952|CD-46 1235                                                            |Star                           |03 56 12.6435252720 -46 22 09.484601412|253.5035062208031 -49.0374910208397|  16.756 16.496   |10.00    |~                   |    ~     ~    
1953|CD-46 1240                                                            |Star                           |03 57 29.8916426664 -46 30 21.450795516|253.6400695470798 -48.7929063774175|   3.822 17.023   |9.94     |~                   |    ~     ~    
1954|CD-47 1216                                                            |Star                           |03 58 03.0654985752 -46 50 33.078402960|254.1110398072301 -48.6326033558278| -29.906 -1.066   |10.76    |~                   |    ~     ~    
1955|CD-46 1175                                                            |Star                           |03 47 26.2358953008 -46 33 07.817364432|254.2916881727173 -50.4716760259412|    3.207 0.387   |10.16    |~                   |    ~     ~    
1956|CD-46 1183                                                            |Star                           |03 48 49.4541601992 -45 47 50.908758324|253.0520038782347 -50.4094318761816|  10.535 11.360   |10.39    |~                   |    ~     ~    
1957|HD 23921                                                              |Star                           |03 46 52.4285858184 -45 50 08.325632760|253.2289898939437 -50.7324077330281|  30.655 15.629   |9.16     |F3V                 |    ~     ~    
1958|CD-46 1178                                                            |Star                           |03 48 01.0808760624 -46 05 13.867514772|253.5444017316261 -50.4819209747988|   1.228 -8.430   |9.76     |~                   |    ~     ~    
1959|CD-46 1200                                                            |Star                           |03 51 22.0 -45 54 48                   |253.0812 -49.9522                  |            ~ ~   |7.55     |~                   |    ~     ~    
1960|TYC 8067-39-1                                                         |Star                           |03 56 45.6883866408 -46 46 08.369487444|254.0701836564966 -48.8636433002458|   6.989 21.631   |10.759   |~                   |    ~     ~    
1961|TYC 8067-457-1                                                        |Star                           |03 56 06.9295135200 -47 24 05.767761420|255.0450829717092 -48.8362521595845|  -3.718 -5.182   |10.85    |~                   |    ~     ~    
1962|TYC 8067-479-1                                                        |Star                           |03 58 33.8062890600 -46 43 10.664296212|253.9024061170045 -48.5712740929564|    7.423 6.059   |10.92    |~                   |    ~     ~    
