C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
49  |TYC 2833-658-1                                                                                           |Star                              |02 02 20.2756306056 +41 06 57.068814492|137.0420279385693 -19.8052100483915|-14.685 -23.201     |10.36    |~                  |    ~     ~    |    1|  252.385   pc  |  -2.2931     +2.2931  |paral   |2020yCat.1350....0G
50  |TYC 2833-1136-1                                                                                          |Star                              |02 03 57.3199021512 +41 07 59.548222020|137.3462800993334 -19.6999486917843|   3.993 -9.748     |10.49    |~                  |    ~     ~    |    1|  370.494   pc  |  -2.5943     +2.5943  |paral   |2020yCat.1350....0G
51  |TYC 2833-1356-1                                                                                          |Star                              |02 00 58.9497120144 +41 10 04.898899596|136.7662297575485 -19.8280209227613|   0.780 -4.443     |10.84    |~                  |    ~     ~    |    1|  715.308   pc  |  -8.7495     +8.7495  |paral   |2020yCat.1350....0G
52  |TYC 2833-1647-1                                                                                          |Star                              |02 02 17.0978658408 +40 45 42.886227924|137.1403718107121 -20.1470149163664| 29.872 -27.539     |10.47    |~                  |    ~     ~    |    1|  970.780   pc  | -13.9477    +13.9477  |paral   |2020yCat.1350....0G
53  |TYC 2833-1882-1                                                                                          |Star                              |02 03 09.4979661936 +40 54 31.890657312|137.2633106608435 -19.9584850120386|   15.547 7.276     |10.45    |~                  |    ~     ~    |    1|  399.840   pc  |  -2.3821     +2.3821  |paral   |2020yCat.1350....0G
54  |TYC 2837-20-1                                                                                            |Star                              |02 03 22.2854586024 +42 08 45.321789624|136.9224062603853 -18.7632943885639| -4.815 -19.288     |10.65    |~                  |    ~     ~    |    1|  307.711   pc  |  -1.6097     +1.6097  |paral   |2020yCat.1350....0G
55  |TYC 2837-122-1                                                                                           |Star                              |02 02 21.3981391824 +42 06 38.959866072|136.7427701606650 -18.8511477786736|   1.090 -5.686     |10.23    |~                  |    ~     ~    |    1|  992.162   pc  | -16.0455    +16.0455  |paral   |2020yCat.1350....0G
56  |TYC 2837-149-1                                                                                           |Star                              |02 06 07.2462261240 +42 31 27.632760996|137.3165824961153 -18.2517905266814|-16.754 -14.151     |10.04    |~                  |    ~     ~    |    1|  295.186   pc  |  -2.0128     +2.0128  |paral   |2020yCat.1350....0G
57  |TYC 2837-255-1                                                                                           |Star                              |02 02 55.9321281552 +42 42 45.344158164|136.6679447269166 -18.2442004541299|  -2.679 -1.071     |10.71    |~                  |    ~     ~    |    1|  338.329   pc  |  -7.1885     +7.1885  |paral   |2020yCat.1350....0G
58  |TYC 2837-321-1                                                                                           |Star                              |02 04 40.9998953352 +42 41 29.545543428|136.9984202331170 -18.1707382784147|   2.933 -4.960     |10.57    |~                  |    ~     ~    |    1| 1294.498   pc  | -38.7093    +38.7093  |paral   |2020yCat.1350....0G
59  |TYC 2837-322-1                                                                                           |Star                              |02 08 51.3312408504 +41 42 23.738476896|138.0897777122754 -18.8752249858183|  12.669 -5.754     |10.71    |~                  |    ~     ~    |    1|  265.760   pc  |  -1.1230     +1.1230  |paral   |2020yCat.1350....0G
60  |TYC 2837-346-1                                                                                           |Star                              |02 07 38.0915906088 +42 10 53.866183116|137.7069412002139 -18.4935754268150| -16.784 -8.805     |10.87    |~                  |    ~     ~    |    1|  216.291   pc  |  -0.9403     +0.9403  |paral   |2020yCat.1350....0G
61  |TYC 2837-497-1                                                                                           |Star                              |02 09 51.3862686120 +42 41 40.849586232|137.9496938290607 -17.8787305991442|   4.606 -7.571     |10.05    |~                  |    ~     ~    |    1|  929.023   pc  | -17.8658    +17.8658  |paral   |2020yCat.1350....0G
62  |TYC 2837-513-1                                                                                           |Spectroscopic Binary              |02 05 33.7140319776 +42 56 14.337065148|137.0838368821466 -17.8883057327056|113.722 -27.167     |10.71    |~                  |    ~     ~    |    1|  202.016   pc  |  -1.0937     +1.0937  |paral   |2020yCat.1350....0G
63  |TYC 2837-514-1                                                                                           |Star                              |02 06 50.0069447856 +41 46 29.428044492|137.6882360214333 -18.9264105966423|  -0.628 -7.400     |10.19    |~                  |    ~     ~    |    0|                |                       |        |                   
64  |TYC 2837-570-1                                                                                           |Star                              |02 08 58.4377975656 +42 12 19.510867980|137.9478785877243 -18.3943585030994|  3.953 -14.274     |9.95     |~                  |    ~     ~    |    1|  283.374   pc  |  -2.1119     +2.1119  |paral   |2020yCat.1350....0G
65  |TYC 2837-586-1                                                                                           |Star                              |02 07 08.7340490112 +41 37 51.151747476|137.7933028599032 -19.0457814694241| -13.398 16.317     |10.15    |~                  |    ~     ~    |    1|  299.347   pc  |  -1.6130     +1.6130  |paral   |2020yCat.1350....0G
66  |TYC 2837-608-1                                                                                           |Star                              |02 01 55.7204741256 +42 00 35.805596760|136.6927623233605 -18.9705111662514|  -5.413 -0.130     |9.94     |~                  |    ~     ~    |    1|  479.570   pc  |  -5.3587     +5.3587  |paral   |2020yCat.1350....0G
67  |TYC 2837-677-1                                                                                           |Spectroscopic Binary              |02 04 23.1768211824 +42 48 32.945852484|136.9072332971050 -18.0743244102553|  16.221 -6.527     |10.39    |~                  |    ~     ~    |    1|  410.475   pc  |  -5.9814     +5.9814  |paral   |2020yCat.1350....0G
68  |TYC 2837-711-1                                                                                           |Star                              |02 03 18.9076253184 +42 30 53.828731116|136.7990729108637 -18.4131148136854|   1.060 -1.641     |9.65     |~                  |    ~     ~    |    1| 1501.276   pc  | -62.2057    +62.2057  |paral   |2020yCat.1350....0G
69  |TYC 2837-777-1                                                                                           |Star                              |02 04 26.9663559744 +42 34 12.273860172|136.9927180480368 -18.2994823121049|  9.615 -13.862     |9.92     |~                  |    ~     ~    |    1|  309.914   pc  |  -2.0458     +2.0458  |paral   |2020yCat.1350....0G
