C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2730|BD+07 341                                                                                                |High Proper Motion Star           |02 10 03.1642377768 +07 47 10.892755284|154.3267272554760 -50.2315234396751|-49.734 -59.597     |10.43    |G0                 |    ~     ~    |    1|  130.303   pc  |  -0.3820     +0.3820  |paral   |2020yCat.1350....0G
2731|BD+07 343                                                                                                |Star                              |02 10 40.6222201992 +07 44 03.534053676|154.5783012340583 -50.2048521910678|   4.931 -3.304     |10.66    |K0                 |    ~     ~    |    1| 1811.266   pc  | -65.9418    +65.9418  |paral   |2020yCat.1350....0G
2732|BD+07 344                                                                                                |Star                              |02 10 48.2908682304 +07 53 21.157373508|154.5080945394941 -50.0532966271111|   22.500 1.622     |10.45    |G0                 |    ~     ~    |    1|  170.596   pc  |  -0.5384     +0.5384  |paral   |2020yCat.1350....0G
2733|BD+07 351                                                                                                |Star                              |02 14 10.3614151536 +08 02 10.667171004|155.5342365751149 -49.5259640418910| -6.072 -15.554     |9.18     |K2                 |    ~     ~    |    1|  222.040   pc  |  -1.0551     +1.0551  |paral   |2020yCat.1350....0G
2734|BD+06 334                                                                                                |Star                              |02 11 00.7045557384 +07 33 39.965572152|154.8207094936080 -50.3182793364253| 28.559 -14.596     |9.46     |K2                 |    ~     ~    |    1|  503.195   pc  |  -5.0135     +5.0135  |paral   |2020yCat.1350....0G
2735|BD+06 338                                                                                                |Star                              |02 14 15.6968169648 +07 22 13.297836612|156.0670397167810 -50.0967078005566|   26.770 1.602     |10.48    |G0                 |    ~     ~    |    1|  244.858   pc  |  -1.1571     +1.1571  |paral   |2020yCat.1350....0G
2736|NGC 840                            NGC 840                                                               |Galaxy                            |02 10 16.2191421720 +07 50 43.399819824|154.3579399836372 -50.1541325402143|            ~ ~     |     ~   |~                  |0.863 0.449    |    1|   93.33    Mpc |  -8.40       +8.40    |T-F     |2020ApJ...902..145K
2737|NGC 827                            NGC 827                                                               |Galaxy towards a Group of Galaxies|02 08 56.3030818848 +07 58 17.596109028|153.8104053943036 -50.1957318907027|            ~ ~     |     ~   |~                  |1.013 0.426    |    1|   42.66    Mpc |  -2.30       +2.30    |T-F     |2020ApJ...902..145K
2738|TYC 43-19-1                                                                                              |Star                              |02 06 32.6250994848 +07 13 33.663436392|153.5183012438921 -51.1304324508556|  -3.546 -0.538     |10.31    |~                  |    ~     ~    |    1|  240.437   pc  |  -1.7863     +1.7863  |paral   |2020yCat.1350....0G
2739|TYC 44-393-1                                                                                             |Star                              |02 10 01.5347137656 +07 24 07.953289956|154.6004033400655 -50.5738513157042|  -0.470 -6.119     |10.20    |~                  |    ~     ~    |    1|  455.477   pc  |  -3.8795     +3.8795  |paral   |2020yCat.1350....0G
2740|TYC 630-362-1                                                                                            |High Proper Motion Star           |02 08 29.8856575080 +09 19 50.660713020|152.7072349593067 -49.0345108707542| 20.754 -74.659     |10.45    |~                  |    ~     ~    |    1|   92.280   pc  |  -0.1822     +0.1822  |paral   |2020yCat.1350....0G
2741|TYC 630-458-1                                                                                            |High Proper Motion Star           |02 11 51.2968388520 +08 00 53.115936768|154.7720274623674 -49.8198362462367|  3.429 -59.240     |10.91    |~                  |    ~     ~    |    1|  264.340   pc  |  -1.3905     +1.3905  |paral   |2020yCat.1350....0G
2742|TYC 630-486-1                                                                                            |Star                              |02 12 08.4257803344 +07 41 22.256507076|155.1093182851115 -50.0721629744411|  29.124 24.962     |10.33    |~                  |    ~     ~    |    1|  344.495   pc  |  -2.3617     +2.3617  |paral   |2020yCat.1350....0G
2743|TYC 630-536-1                                                                                            |Star                              |02 06 27.7604227560 +08 01 39.280865844|152.9159486106461 -50.4248554166495|    5.752 4.366     |10.38    |~                  |    ~     ~    |    1|  385.758   pc  | -10.7143    +10.7143  |paral   |2020yCat.1350....0G
2744|TYC 630-615-1                                                                                            |Star                              |02 11 19.4152265136 +09 24 29.479642272|153.5973479962560 -48.6490724737495|  15.061 -9.089     |10.23    |~                  |    ~     ~    |    1|  403.258   pc  |  -3.3174     +3.3174  |paral   |2020yCat.1350....0G
2745|TYC 630-692-1                                                                                            |Star                              |02 11 39.2875969272 +08 38 58.855013304|154.2437565364125 -49.2830592287930| -12.945 12.196     |10.26    |~                  |    ~     ~    |    1|  254.110   pc  |  -1.6595     +1.6595  |paral   |2020yCat.1350....0G
2746|TYC 630-781-1                                                                                            |Star                              |02 08 49.0578401280 +08 33 03.485334780|153.3563344176584 -49.6945008894083|  14.502 -5.618     |10.80    |~                  |    ~     ~    |    1|  309.645   pc  |  -1.7450     +1.7450  |paral   |2020yCat.1350....0G
2747|TYC 630-806-1                                                                                            |Star                              |02 07 55.3005282288 +08 37 47.086243068|152.9958328974111 -49.7246923684397|  43.271 -7.084     |10.28    |~                  |    ~     ~    |    1|  144.555   pc  |  -0.3782     +0.3782  |paral   |2020yCat.1350....0G
2748|TYC 630-829-1                                                                                            |High Proper Motion Star           |02 07 34.1128833384 +09 06 16.300577700|152.5478203071387 -49.3393605438777|-36.909 -32.078     |10.32    |~                  |    ~     ~    |    1|  229.991   pc  |  -4.9722     +4.9722  |paral   |2020yCat.1350....0G
2749|TYC 630-832-1                                                                                            |Star                              |02 05 13.2810444456 +08 50 27.632389560|151.9246644985269 -49.8314873607726|   0.879 -5.792     |10.41    |~                  |    ~     ~    |    1| 1042.753   pc  | -23.7039    +23.7039  |paral   |2020yCat.1350....0G
2750|TYC 630-877-1                                                                                            |Star                              |02 10 27.8869187400 +08 51 52.362266724|153.6919077991152 -49.2292661867061|  6.976 -13.027     |9.64     |~                  |    ~     ~    |    1|  524.879   pc  |  -5.0967     +5.0967  |paral   |2020yCat.1350....0G
2751|TYC 630-900-1                                                                                            |Star                              |02 09 16.7304927120 +07 48 59.971683348|154.0393420363083 -50.2940454699665|  14.594 -3.725     |10.29    |~                  |    ~     ~    |    1|  403.015   pc  |  -3.4108     +3.4108  |paral   |2020yCat.1350....0G
2752|TYC 630-906-1                                                                                            |High Proper Motion Star           |02 03 46.4599777512 +09 05 08.170506996|151.2616703814060 -49.7653302370580| 29.394 -43.638     |10.12    |~                  |    ~     ~    |    1|  128.611   pc  |  -0.7890     +0.7890  |paral   |2020yCat.1350....0G
2753|TYC 630-931-1                                                                                            |High Proper Motion Star           |02 08 18.3585967536 +08 17 45.647778192|153.3618124167252 -49.9791062956569|  66.843 48.327     |10.60    |~                  |    ~     ~    |    1|  260.600   pc  |  -1.7453     +1.7453  |paral   |2020yCat.1350....0G
2754|TYC 630-1040-1                                                                                           |Star                              |02 06 17.5066527792 +08 30 51.902483076|152.5169465252383 -50.0081838882477| 38.312 -20.250     |10.53    |~                  |    ~     ~    |    1|  244.672   pc  |  -4.8849     +4.8849  |paral   |2020yCat.1350....0G
2755|TYC 630-1161-1                                                                                           |Star                              |02 12 35.3314432368 +07 36 53.385547932|155.3170594433702 -50.0844128714220|   0.861 -4.258     |10.19    |~                  |    ~     ~    |    1| 1549.427   pc  | -49.6950    +49.6950  |paral   |2020yCat.1350....0G
2756|TYC 630-1169-1                                                                                           |Star                              |02 12 21.0425725392 +08 32 54.828459348|154.5494035728590 -49.2915004544770| -0.164 -22.773     |10.14    |~                  |    ~     ~    |    1|  627.274   pc  |  -7.6727     +7.6727  |paral   |2020yCat.1350....0G
2757|TYC 630-1246-1                                                                                           |High Proper Motion Star           |02 09 44.6823655536 +08 16 17.732274456|153.8702464373589 -49.8374474794737| -5.382 -51.527     |10.71    |~                  |    ~     ~    |    1|  125.009   pc  |  -0.2719     +0.2719  |paral   |2020yCat.1350....0G
2758|TYC 631-1008-1                                                                                           |Star                              |02 13 35.0216221320 +08 51 01.716899688|154.7410626591178 -48.8813320163149|   9.208 -1.214     |10.44    |~                  |    ~     ~    |    1|  313.165   pc  |  -1.8634     +1.8634  |paral   |2020yCat.1350....0G
2759|TYC 631-1349-1                                                                                           |Star                              |02 13 21.7685831376 +09 16 30.681960240|154.3641278904657 -48.5327885557698| -4.624 -27.919     |9.34     |~                  |    ~     ~    |    1| 1066.667   pc  | -25.1449    +25.1449  |paral   |2020yCat.1350....0G
2760|TYC 631-1452-1                                                                                           |Star                              |02 14 24.9899375280 +07 32 35.837731644|155.9872320945846 -49.9271560760975|-17.696 -24.285     |10.21    |~                  |    ~     ~    |    1|  598.838   pc  |  -6.0963     +6.0963  |paral   |2020yCat.1350....0G
2761|BD+09 258                                                                                                |Star                              |02 02 41.0949373560 +09 58 02.162783892|150.3157109449129 -49.0791260674746|   5.645 -9.074     |9.95     |G5                 |    ~     ~    |    1|  716.589   pc  |  -8.4727     +8.4727  |paral   |2020yCat.1350....0G
2762|BD+11 267                                                                                                |Star                              |02 02 49.3737992400 +11 50 16.819139544|149.2133984282908 -47.3582021602503|-28.581 -12.998     |9.46     |G5                 |    ~     ~    |    1|   63.968   pc  |  -0.1129     +0.1129  |paral   |2020yCat.1350....0G
2763|BD+10 269                                                                                                |High Proper Motion Star           |02 00 39.6757718448 +11 34 35.099190480|148.6483524530773 -47.8089662036342| 45.646 -31.282     |10.91    |F8                 |    ~     ~    |    1|  235.018   pc  |  -1.0494     +1.0494  |paral   |2020yCat.1350....0G
2764|HD 12327                                                                                                 |Star                              |02 01 09.9180806640 +10 50 22.826070564|149.2575103114770 -48.4356410046348| -9.744 -18.071     |8.83     |K0                 |    ~     ~    |    1|  293.066   pc  |  -2.1128     +2.1128  |paral   |2020yCat.1350....0G
2765|BD+10 272                                                                                                |Star                              |02 02 43.6492075368 +11 40 40.294488972|149.2772085724683 -47.5141798158536|   1.081 -4.790     |10.46    |G5                 |    ~     ~    |    1|  887.075   pc  | -23.1349    +23.1349  |paral   |2020yCat.1350....0G
2766|HD 12504                                                                                                 |Star                              |02 02 51.4286525352 +11 22 20.229962052|149.5038822360217 -47.7807589169869|   15.027 0.854     |8.85     |A0                 |    ~     ~    |    1|  246.221   pc  |  -1.5762     +1.5762  |paral   |2020yCat.1350....0G
2767|AG+11 194                                                                                                |Star                              |02 02 52.9621886904 +11 21 58.513721364|149.5160475225114 -47.7837268588502|   15.683 1.731     |10.13    |F5                 |    ~     ~    |    1|  246.506   pc  |  -1.6528     +1.6528  |paral   |2020yCat.1350....0G
2768|HD 12512                                                                                                 |Star                              |02 02 57.5710543248 +11 01 07.530792168|149.7531906643199 -48.0933538710359|   8.846 -0.664     |6.52     |K0                 |    ~     ~    |    1|  227.609   pc  |  -2.0256     +2.0256  |paral   |2020yCat.1350....0G
2769|BD+10 277                                                                                                |Star                              |02 03 17.4048786840 +11 39 13.109821884|149.4781484735061 -47.4805787266165|  35.789 -2.545     |9.28     |K0                 |    ~     ~    |    1|  214.505   pc  |  -1.0445     +1.0445  |paral   |2020yCat.1350....0G
2770|TYC 633-627-1                                                                                            |Star                              |02 03 25.9805028528 +11 01 03.062037648|149.9125282994578 -48.0468202406519|   3.555 -6.485     |10.27    |G5                 |    ~     ~    |    1|  750.469   pc  | -16.8961    +16.8961  |paral   |2020yCat.1350....0G
2771|HD 12249                                                                                                 |Star                              |02 00 22.7329263744 +10 37 47.717097168|149.1170760570691 -48.7052211528034|   1.702 -7.640     |7.60     |G5                 |    ~     ~    |    1|  216.680   pc  |  -1.3663     +1.3663  |paral   |2020yCat.1350....0G
2772|BD+09 255                                                                                                |Star                              |02 01 11.1613776936 +10 23 58.644253320|149.5332581694986 -48.8362217138095| -5.148 -33.930     |10.30    |K2                 |    ~     ~    |    1|   67.551   pc  |  -0.0716     +0.0716  |paral   |2020yCat.1350....0G
2773|BD+09 256                                                                                                |Star                              |02 01 55.4344362336 +10 33 02.909346912|149.6913864318837 -48.6243663928698|   1.513 -4.348     |9.89     |K0                 |    ~     ~    |    1|  574.020   pc  |  -4.4812     +4.4812  |paral   |2020yCat.1350....0G
2774|TYC 630-167-1                                                                                            |Star                              |02 03 36.8167266576 +09 54 56.302407324|150.6656522559982 -49.0304262414532|-31.978 -12.945     |10.33    |~                  |    ~     ~    |    1|  253.133   pc  |  -3.5306     +3.5306  |paral   |2020yCat.1350....0G
2775|TYC 633-242-1                                                                                            |Star                              |02 03 38.3798208504 +11 10 02.429157000|149.8895107019244 -47.8894031685759|   7.913 -5.508     |10.76    |~                  |    ~     ~    |    1|  264.417   pc  |  -1.3843     +1.3843  |paral   |2020yCat.1350....0G
2776|TYC 633-301-1                                                                                            |Star                              |02 03 07.6360788960 +12 04 09.886708812|149.1765679495923 -47.1164049318837|   -4.500 0.878     |9.65     |~                  |    ~     ~    |    1|  980.681   pc  | -18.8500    +18.8500  |paral   |2020yCat.1350....0G
2777|TYC 633-642-1                                                                                            |Star                              |02 02 57.9427867080 +11 54 54.209681604|149.2148030604222 -47.2736028871499|   8.072 -8.841     |10.35    |~                  |    ~     ~    |    1|  242.636   pc  | -15.5482    +15.5482  |paral   |2020yCat.1350....0G
2778|TYC 633-890-1                                                                                            |High Proper Motion Star           |02 03 29.1922065408 +10 28 53.848330356|150.2635154836088 -48.5293279197992| 90.814 -35.486     |10.88    |~                  |    ~     ~    |    1|  233.858   pc  |  -1.3071     +1.3071  |paral   |2020yCat.1350....0G
2779|TYC 633-949-1                                                                                            |High Proper Motion Star           |02 03 07.9771651176 +10 15 30.075968052|150.2842419991660 -48.7685405722496|-93.065 -90.068     |10.32    |~                  |    ~     ~    |    1|  106.870   pc  |  -0.2170     +0.2170  |paral   |2020yCat.1350....0G
2780|HD 13454                                                                                                 |Star                              |02 11 46.6933339176 +09 34 36.150575952|153.6304586842153 -48.4478625914988|-41.074 -14.061     |8.81     |F0                 |    ~     ~    |    1|  141.571   pc  |  -0.5351     +0.5351  |paral   |2020yCat.1350....0G
2781|BD+08 344                                                                                                |Star                              |02 12 51.4629 +09 27 23.819            |154.0698574 -48.4308553            |  20.943 -9.382     |9.64     |K0                 |    ~     ~    |    0|                |                       |        |                   
2782|TYC 633-124-1                                                                                            |Star                              |02 05 42.5035854432 +11 54 26.050820832|150.1194835764405 -47.0062081538777|  -2.066 -3.815     |10.56    |F8                 |    ~     ~    |    1|  395.601   pc  |  -3.1926     +3.1926  |paral   |2020yCat.1350....0G
2783|HD 12721                                                                                                 |High Proper Motion Star           |02 04 53.4722496888 +11 24 18.666340272|150.1586838746642 -47.5460057891049|  61.321 61.582     |8.80     |G5                 |    ~     ~    |    1|   54.273   pc  |  -0.0698     +0.0698  |paral   |2020yCat.1350....0G
2784|BD+10 285                                                                                                |Star                              |02 04 50.8705786368 +10 48 18.985173948|150.5172825024210 -48.0955813051155|    6.889 8.541     |9.49     |F2                 |    ~     ~    |    1|  250.369   pc  |  -2.3319     +2.3319  |paral   |2020yCat.1350....0G
2785|BD+10 286                                                                                                |Star                              |02 05 31.6028496936 +11 14 57.371780184|150.4650491293997 -47.6226599410388|    8.776 6.905     |10.58    |G5                 |    ~     ~    |    1|  849.257   pc  | -14.2805    +14.2805  |paral   |2020yCat.1350....0G
2786|BD+09 265                                                                                                |Star                              |02 05 12.8022776304 +10 31 22.408648932|150.8180527349107 -48.3138075251246| 23.755 -12.190     |9.87     |F2                 |    ~     ~    |    1|  265.506   pc  |  -2.5801     +2.5801  |paral   |2020yCat.1350....0G
2787|HD 12639                                                                                                 |Star                              |02 04 00.2380017408 +10 06 04.223054592|150.6795620553690 -48.8216798713182|  24.520 -5.368     |9.14     |K0                 |    ~     ~    |    1|  321.110   pc  |  -1.6292     +1.6292  |paral   |2020yCat.1350....0G
2788|HD 12736                                                                                                 |Star                              |02 05 00.5060577768 +10 06 57.779739864|151.0098116053080 -48.7035784437758|   8.773 -8.943     |7.02     |K0                 |    ~     ~    |    1|  206.958   pc  |  -5.3582     +5.3582  |paral   |2020yCat.1350....0G
2789|HD 12773                                                                                                 |Double or Multiple Star           |02 05 23.3016769944 +10 04 36.690888432|151.1632915682912 -48.6991386865508|    3.425 6.018     |6.97     |M2e                |0.0017  0.0    |    1|  523.725   pc  |  -9.6001     +9.6001  |paral   |2020yCat.1350....0G
2790|BD+11 284                                                                                                |High Proper Motion Star           |02 08 46.9370067912 +11 53 35.949728868|151.1246225501143 -46.7009980041449| 63.388 -27.954     |10.20    |F2                 |    ~     ~    |    1|  228.932   pc  |  -9.7273     +9.7273  |paral   |2020yCat.1350....0G
2791|BD+11 304                                                                                                |Star                              |02 14 55.9041123720 +11 43 55.136096580|153.1853249173308 -46.1775338620174| -4.135 -13.329     |9.82     |A5                 |    ~     ~    |    1|  334.571   pc  |  -2.7089     +2.7089  |paral   |2020yCat.1350....0G
2792|BD+10 288                                                                                                |Star                              |02 06 53.3807418816 +11 16 36.334118676|150.8965103587587 -47.4565489823360| 24.824 -40.274     |9.96     |G5                 |    ~     ~    |    1|  577.001   pc  |  -7.1913     +7.1913  |paral   |2020yCat.1350....0G
2793|BD+10 289                                                                                                |Star                              |02 07 18.2213947560 +11 37 24.863690712|150.8144619797190 -47.0995169875998|   7.889 -0.660     |9.98     |G5                 |    ~     ~    |    1|  622.587   pc  |  -7.0934     +7.0934  |paral   |2020yCat.1350....0G
2794|BD+10 290                                                                                                |Star                              |02 07 31.2830912280 +11 19 23.359926684|151.0741674759894 -47.3484903313187|   23.778 6.047     |9.83     |K0                 |    ~     ~    |    1|  506.919   pc  |  -5.9616     +5.9616  |paral   |2020yCat.1350....0G
2795|BD+10 291                                                                                                |Star                              |02 07 38.7935893392 +11 37 17.703132960|150.9272737632070 -47.0655737514861|  10.360 -6.683     |10.01    |K0                 |    ~     ~    |    1|  579.609   pc  | -18.8802    +18.8802  |paral   |2020yCat.1350....0G
2796|HD 13072                                                                                                 |Star                              |02 08 07.2432348216 +11 11 25.748084760|151.3543285063747 -47.4050874982142|    8.181 6.165     |7.770    |K5                 |    ~     ~    |    1|  300.336   pc  |  -2.4264     +2.4264  |paral   |2020yCat.1350....0G
2797|BD+10 293                                                                                                |Star                              |02 08 18.5708896488 +11 00 25.358442732|151.5336027030980 -47.5503958066774|  9.512 -41.143     |9.29     |G0                 |    ~     ~    |    1|  456.413   pc  |  -4.0829     +4.0829  |paral   |2020yCat.1350....0G
2798|BD+10 295                                                                                                |Star                              |02 11 42.6566607408 +11 18 50.385722904|152.4373930354496 -46.9072933487746|  -7.824 -6.865     |10.41    |K0                 |    ~     ~    |    1|  785.546   pc  |  -9.8116     +9.8116  |paral   |2020yCat.1350....0G
2799|BD+10 296                                                                                                |High Proper Motion Star           |02 11 58.5612327504 +11 01 49.225774980|152.7092939630247 -47.1316278033876| 47.033 -50.538     |10.48    |K0                 |    ~     ~    |    1|  281.666   pc  |  -1.4122     +1.4122  |paral   |2020yCat.1350....0G
2800|BD+10 297                                                                                                |Star                              |02 12 14.8744063464 +10 44 42.756173664|152.9868386623700 -47.3557992459016|  16.417 10.411     |10.61    |G5                 |    ~     ~    |    1|  178.403   pc  |  -0.7766     +0.7766  |paral   |2020yCat.1350....0G
2801|BD+10 298                                                                                                |Star                              |02 13 01.4529334752 +11 33 12.406009896|152.7000233959410 -46.5488452689777|   9.049 -0.143     |10.43    |K2                 |    ~     ~    |    1|  733.245   pc  |  -8.1723     +8.1723  |paral   |2020yCat.1350....0G
2802|BD+10 299                                                                                                |Star                              |02 13 52.8049783896 +10 47 12.069042756|153.4841027582302 -47.1356682651246|  -0.717 -9.829     |10.12    |K2                 |    ~     ~    |    1|  549.541   pc  |  -5.2245     +5.2245  |paral   |2020yCat.1350....0G
2803|HD 12907                                                                                                 |High Proper Motion Star           |02 06 39.5523765696 +10 28 39.163926360|151.3298639260843 -48.2030827770745|-64.150 -14.658     |7.74     |F8                 |    ~     ~    |    1|   92.552   pc  |  -0.4146     +0.4146  |paral   |2020yCat.1350....0G
2804|HD 13103                                                                                                 |Star                              |02 08 22.9886327064 +10 36 08.869423248|151.8198782994470 -47.9066720407676|   -6.203 9.372     |9.35     |F5                 |    ~     ~    |    1|  347.996   pc  |  -2.1677     +2.1677  |paral   |2020yCat.1350....0G
2805|BD+09 276                                                                                                |Star                              |02 10 36.2616789816 +10 34 43.582332972|152.5641430057046 -47.6863544937855|   6.241 -2.077     |10.87    |K0                 |    ~     ~    |    1|  730.353   pc  |  -9.9749     +9.9749  |paral   |2020yCat.1350....0G
2806|HD 13556                                                                                                 |Star                              |02 12 29.9703363888 +10 19 43.718985624|153.3494609180113 -47.6982285953846|-13.646 -17.527     |8.27     |F0                 |    ~     ~    |    1|  113.025   pc  |  -0.3449     +0.3449  |paral   |2020yCat.1350....0G
2807|BD+09 273                                                                                                |Star                              |02 09 19.8647689824 +10 03 17.230272120|152.4953212628059 -48.2950563361021|   3.812 -5.979     |10.32    |K0                 |    ~     ~    |    1|  731.529   pc  | -12.9503    +12.9503  |paral   |2020yCat.1350....0G
2808|BD+09 274                                                                                                |Double or Multiple Star           |02 09 36.7321273632 +09 59 40.911730476|152.6287714401400 -48.3178884816012|-104.443 -63.971    |10.98    |K0                 |    ~     ~    |    1|  174.593   pc  |  -0.7377     +0.7377  |paral   |2020yCat.1350....0G
2809|BD+09 278                                                                                                |Star                              |02 11 39.6771307728 +10 12 43.294924332|153.1557590719777 -47.8962809077262|  19.856 -9.971     |10.21    |K2                 |    ~     ~    |    1| 1029.972   pc  | -19.8378    +19.8378  |paral   |2020yCat.1350....0G
2810|BD+09 284                                                                                                |Star                              |02 13 55.5206972016 +09 59 06.734632380|154.0487656114209 -47.8405885590987|  -1.233 -1.053     |10.57    |K5                 |    ~     ~    |    1| 1721.763   pc  | -53.0640    +53.0640  |paral   |2020yCat.1350....0G
2811|BD+09 285                                                                                                |Star                              |02 14 02.5268434128 +10 06 46.557646056|153.9978785472769 -47.7142104559679|  -6.150 21.590     |10.17    |G5                 |    ~     ~    |    1|  123.509   pc  |  -0.7383     +0.7383  |paral   |2020yCat.1350....0G
2812|IRAS 02101+1009                                                                                          |Star                              |02 12 48.7004139408 +10 23 32.551225980|153.4074814566144 -47.6065419734400|  19.888 -2.804     |9.70     |~                  |    ~     ~    |    1|  875.733   pc  | -15.1848    +15.1848  |paral   |2020yCat.1350....0G
2813|TYC 630-21-1                                                                                             |Star                              |02 06 40.4029883160 +09 41 22.115987340|151.8508011589326 -48.9117369730799|  31.656 -9.373     |10.76    |~                  |    ~     ~    |    1|  154.404   pc  |  -0.4816     +0.4816  |paral   |2020yCat.1350....0G
2814|TYC 630-28-1                                                                                             |Star                              |02 09 56.5706127504 +09 42 49.835141640|152.9286647490845 -48.5321489721438| 15.410 -22.419     |10.81    |~                  |    ~     ~    |    1|  322.956   pc  |  -2.0443     +2.0443  |paral   |2020yCat.1350....0G
2815|TYC 630-174-1                                                                                            |Star                              |02 06 47.8961290440 +09 53 24.947802780|151.7598711467175 -48.7176323417249|   6.060 -3.689     |10.65    |~                  |    ~     ~    |    1| 1194.458   pc  | -28.1066    +28.1066  |paral   |2020yCat.1350....0G
2816|TYC 633-104-1                                                                                            |Spectroscopic Binary              |02 05 49.3741882296 +11 47 44.727974412|150.2249758946319 -47.0959085901080|  15.690 -6.829     |10.74    |~                  |    ~     ~    |    1| 1158.212   pc  | -40.2436    +40.2436  |paral   |2020yCat.1350....0G
2817|TYC 633-108-1                                                                                            |Star                              |02 05 30.0988139256 +10 52 04.153422468|150.6956940909818 -47.9712803063168| -12.530 -0.397     |10.79    |~                  |    ~     ~    |    1|  425.604   pc  |  -2.9707     +2.9707  |paral   |2020yCat.1350....0G
2818|TYC 633-134-1                                                                                            |Star                              |02 07 47.4736554624 +11 46 04.229795748|150.8828324143171 -46.9181742090145| 19.081 -30.677     |10.27    |~                  |    ~     ~    |    1|   97.101   pc  |  -0.1537     +0.1537  |paral   |2020yCat.1350....0G
2819|GSC 00633-00272                                                                                          |Double or Multiple Star           |02 04 58.2241248024 +10 22 46.943003424|150.8278417240153 -48.4688168074291| -4.241 -18.047     |10.379   |~                  |    ~     ~    |    1|  181.061   pc  |  -2.3833     +2.3833  |paral   |2020yCat.1350....0G
2820|TYC 633-328-1                                                                                            |Star                              |02 04 34.2534958080 +11 11 33.433685448|150.1837312259967 -47.7719824490485|-16.256 -19.158     |10.44    |~                  |    ~     ~    |    1|  551.968   pc  |  -5.2708     +5.2708  |paral   |2020yCat.1350....0G
2821|TYC 633-357-1                                                                                            |Star                              |02 05 16.5251907192 +11 25 38.886344472|150.2717122052963 -47.4865577708675| 14.358 -31.494     |10.96    |~                  |    ~     ~    |    1|  200.184   pc  |  -5.5302     +5.5302  |paral   |2020yCat.1350....0G
2822|TYC 633-432-1                                                                                            |Star                              |02 10 40.7868567672 +11 38 15.491065092|151.8967445483849 -46.7292790458688|    5.836 1.237     |10.88    |~                  |    ~     ~    |    1|  559.065   pc  |  -8.4077     +8.4077  |paral   |2020yCat.1350....0G
2823|TYC 633-469-1                                                                                            |Star                              |02 08 17.4467200536 +11 45 20.653621272|151.0521777122213 -46.8768760191888| -1.044 -11.817     |10.64    |~                  |    ~     ~    |    1|  477.464   pc  |  -7.2039     +7.2039  |paral   |2020yCat.1350....0G
2824|TYC 633-514-1                                                                                            |Star                              |02 07 10.9578704160 +10 30 10.781244900|151.4874155872640 -48.1245968276205|  17.451 -2.837     |10.93    |~                  |    ~     ~    |    1|  456.997   pc  | -14.2015    +14.2015  |paral   |2020yCat.1350....0G
2825|TYC 633-535-1                                                                                            |Star                              |02 06 01.1422113456 +11 39 10.656727560|150.3768535777249 -47.2055799492685|   4.896 -3.391     |9.73     |~                  |    ~     ~    |    1|  499.151   pc  | -12.0590    +12.0590  |paral   |2020yCat.1350....0G
2826|TYC 633-546-1                                                                                            |Star                              |02 04 31.6938798240 +11 10 35.877286596|150.1794512091055 -47.7908717383424| 13.734 -19.516     |9.31     |~                  |    ~     ~    |    1|  128.385   pc  |  -0.2753     +0.2753  |paral   |2020yCat.1350....0G
2827|TYC 633-664-1                                                                                            |Star                              |02 10 39.4575366552 +10 11 20.909914512|152.8424725351131 -48.0285648986850|  -2.460 -4.512     |10.46    |~                  |    ~     ~    |    1|  623.014   pc  |  -7.0255     +7.0255  |paral   |2020yCat.1350....0G
2828|TYC 633-694-1                                                                                            |Star                              |02 07 06.5345650128 +11 41 36.438594468|150.7075131872438 -47.0564668301788|   -5.777 7.406     |10.85    |~                  |    ~     ~    |    1|  183.867   pc  |  -0.5849     +0.5849  |paral   |2020yCat.1350....0G
2829|TYC 633-804-1                                                                                            |Star                              |02 05 36.1681643112 +11 04 02.339330844|150.6038472672371 -47.7799171944157| -6.469 -32.506     |10.82    |~                  |    ~     ~    |    1|  317.712   pc  |  -1.8674     +1.8674  |paral   |2020yCat.1350....0G
2830|TYC 633-817-1                                                                                            |Star                              |02 05 02.3147758896 +10 11 03.394307436|150.9760373748480 -48.6386754746743|-11.941 -27.493     |10.67    |~                  |    ~     ~    |    1|  831.463   pc  | -13.3427    +13.3427  |paral   |2020yCat.1350....0G
2831|TYC 633-882-1                                                                                            |Star                              |02 07 48.1711329816 +11 57 17.460606492|150.7702929450015 -46.7477258645662|   43.789 9.939     |10.67    |~                  |    ~     ~    |    1|  186.452   pc  |  -0.6014     +0.6014  |paral   |2020yCat.1350....0G
2832|TYC 633-909-1                                                                                            |Star                              |02 04 08.6523089676 +11 15 33.102995558|150.0010333139715 -47.7547236381480| 16.110 -21.009     |10.30    |~                  |    ~     ~    |    0|                |                       |        |                   
