C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
33  |HD 135984                                                             |Double or Multiple Star           |15 19 22.44430 -36 41 51.6912          |333.27902457 +17.30912893          |   30.00 -11.62    |8.7      |A9V            |    ~     ~          |    0|                |                         |        |                   
34  |CD-36 10060B                                                          |Star                              |15 19 21.5 -36 42 01                   |333.2748 +17.3088                  |            ~ ~    |9.4      |~              |    ~     ~          |    0|                |                         |        |                   
35  |HD 136014                                                             |High Proper Motion Star           |15 19 31.7208685704 -37 05 49.778326068|333.0714961235212 +16.9609892542962|-77.469 -144.693   |6.178    |G8III/IV       |    ~     ~          |    1|  118.677   pc  |  -1.0803     +1.0803    |paral   |2020yCat.1350....0G
36  |HD 136368                                                             |Star                              |15 21 34.0881444576 -36 59 50.640348516|333.4816059536404 +16.8141678558067|  -0.294 -4.915    |9.55     |K3/4(III)      |    ~     ~          |    1| 1468.644   pc  | -50.0405    +50.0405    |paral   |2020yCat.1350....0G
37  |HD 136051                                                             |Star                              |15 19 43.5604128576 -35 36 16.928781732|333.9864560416411 +18.1726641826482|  -13.582 1.118    |8.82     |K4III          |    ~     ~          |    1|  750.300   pc  | -17.7329    +17.7329    |paral   |2020yCat.1350....0G
38  |CD-36 10074                                                           |Star                              |15 20 21.37 -36 43 36.1                |333.43239 +17.17449                |            ~ ~    |10.3     |~              |    ~     ~          |    0|                |                         |        |                   
39  |CD-34 10273                                                           |High Proper Motion Star           |15 15 31.0072397136 -34 58 11.065805940|333.6098334534770 +19.1794758009617|22.702 -100.228    |10.68    |~              |    ~     ~          |    1|  131.397   pc  |  -0.4144     +0.4144    |paral   |2020yCat.1350....0G
40  |CD-35 10155                                                           |Star                              |15 15 56.5279379832 -35 56 16.266321312|333.1202099812134 +18.3251971269124|  -1.540 -9.029    |10.34    |~              |    ~     ~          |    1| 1331.381   pc  | -34.9197    +34.9197    |paral   |2020yCat.1350....0G
41  |CD-36 10014                                                           |High Proper Motion Star           |15 16 06.0138939000 -36 47 22.348903416|332.6540227474300 +17.5973728392118|-57.360 -37.148    |9.94     |~              |    ~     ~          |    1|  383.024   pc  |  -2.4060     +2.4060    |paral   |2020yCat.1350....0G
42  |CD-35 10158                                                           |Star                              |15 16 10.0706398872 -35 32 22.096964832|333.3929595783261 +18.6316049018576| -25.243 -7.110    |10.52    |~              |    ~     ~          |    1|  271.120   pc  |  -1.4701     +1.4701    |paral   |2020yCat.1350....0G
43  |CD-35 10166                                                           |Star                              |15 16 27.5291848896 -36 15 15.708171816|333.0274915323897 +18.0037746449089| 18.340 -30.230    |10.59    |~              |    ~     ~          |    1|  287.778   pc  |  -1.6232     +1.6232    |paral   |2020yCat.1350....0G
44  |CD-34 10287                                                           |High Proper Motion Star           |15 16 48.8169834216 -35 05 51.830953656|333.7680322135868 +18.9255203488009|-64.399 -39.370    |10.92    |~              |    ~     ~          |    1|   93.324   pc  |  -0.1463     +0.1463    |paral   |2020yCat.1350....0G
45  |CD-36 10028                                                           |High Proper Motion Star           |15 17 20.9154388440 -36 48 58.278022776|332.8569417661601 +17.4370304369426|-33.752 -45.183    |10.81    |~              |    ~     ~          |    1|  104.732   pc  |  -0.1898     +0.1898    |paral   |2020yCat.1350....0G
46  |CD-36 10031                                                           |Star                              |15 17 26.6100234336 -36 32 23.673357204|333.0343841845246 +17.6562752248221|  -5.356 -1.932    |10.85    |~              |    ~     ~          |    1|  410.256   pc  |  -5.6889     +5.6889    |paral   |2020yCat.1350....0G
47  |CD-35 10179                                                           |Star                              |15 17 28.8039479304 -35 52 17.506836768|333.4317685520538 +18.2074940191796| -15.842 -7.698    |10.71    |~              |    ~     ~          |    1| 3001.200   pc  |-203.5628   +203.5628    |paral   |2020yCat.1350....0G
48  |CD-34 10304                                                           |Star                              |15 17 56.3087229720 -35 21 58.619049984|333.8107022806815 +18.5744490872889| 10.000 -22.613    |10.39    |~              |    ~     ~          |    1|  517.143   pc  |  -4.4127     +4.4127    |paral   |2020yCat.1350....0G
49  |CD-36 10045                                                           |Star                              |15 18 13.4598660504 -37 03 40.118866776|332.8667970217219 +17.1361380055538|  -6.377 -4.582    |10.5     |~              |    ~     ~          |    1| 2029.633   pc  |-121.1106   +121.1106    |paral   |2020yCat.1350....0G
50  |CD-35 10192                                                           |High Proper Motion Star           |15 18 45.3074324856 -36 26 43.244741292|333.3193107914957 +17.5877772419571| -4.799 -64.309    |10.61    |~              |    ~     ~          |    1|   94.414   pc  |  -0.1587     +0.1587    |paral   |2020yCat.1350....0G
51  |CD-36 10059                                                           |Star                              |15 19 23.8657395528 -37 11 49.810444908|332.9903668229928 +16.8927369837985| -15.370 -9.222    |10.32    |~              |    ~     ~          |    1|  736.431   pc  |  -9.9789     +9.9789    |paral   |2020yCat.1350....0G
52  |CD-35 10206                                                           |Star                              |15 19 30.3780403536 -36 13 03.463406976|333.5847846902121 +17.6914020730459|   1.729 -8.817    |10.43    |~              |    ~     ~          |    1|  677.874   pc  |  -8.5469     +8.5469    |paral   |2020yCat.1350....0G
53  |CD-35 10214                                                           |Star                              |15 20 13.3974934536 -35 27 25.116792840|334.1622424129993 +18.2372707159285| -10.453 -1.858    |10.74    |~              |    ~     ~          |    1|  631.632   pc  |  -7.6999     +7.6999    |paral   |2020yCat.1350....0G
54  |CD-36 10084                                                           |Star                              |15 21 19.8917910648 -36 43 29.083653948|333.6022709024164 +17.0656761738752|  -3.534 -2.852    |10.36    |~              |    ~     ~          |    1|  836.400   pc  | -13.7115    +13.7115    |paral   |2020yCat.1350....0G
