C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
3507|HD 136112                                                             |Star                              |15 21 01.7256710496 -52 55 49.207666548|324.4510824185845 +03.5754728041419|-12.058 -10.884    |9.54     |F0V            |    ~     ~          |    1|  380.735   pc  |  -4.3923     +4.3923    |paral   |2020yCat.1350....0G
3508|HD 136152                                                             |Star                              |15 21 13.5586675488 -52 42 39.777590952|324.5952563295455 +03.7436177632033|-10.051 -15.699    |7.81     |M2/3III        |    ~     ~          |    1|  579.845   pc  |  -8.7753     +8.7753    |paral   |2020yCat.1350....0G
3509|HD 136316                                                             |High Proper Motion Star           |15 22 17.9431633296 -53 14 15.206658000|324.4442369846222 +03.2139165263976|-28.482 -63.789    |7.65     |G0/2IV/V       |    ~     ~          |    1|  637.024   pc  |  -8.6841     +8.6841    |paral   |2020yCat.1350....0G
3510|HD 136354                                                             |High Proper Motion Star           |15 22 26.7807083280 -52 31 23.306561292|324.8534771962803 +03.8004620551501|-88.227 -68.681    |8.66     |G3V            |    ~     ~          |    1|   87.761   pc  |  -0.1471     +0.1471    |paral   |2020yCat.1350....0G
3511|HD 136427                                                             |Star                              |15 22 55.8190174920 -53 08 08.482148196|324.5793078115069 +03.2475828335717|  -4.104 -1.485    |8.88     |A3IV           |    ~     ~          |    0|                |                         |        |                   
3512|CD-52 6604                                                            |Star                              |15 23 32.0931681768 -53 08 24.601283412|324.6528019603068 +03.1941361416086|  -1.881 -1.154    |9.51     |B8             |    ~     ~          |    1| 1145.344   pc  | -31.2212    +31.2212    |paral   |2020yCat.1350....0G
3513|CD-52 6610                                                            |Star                              |15 24 03.5888138352 -52 45 49.780215468|324.9262694308136 +03.4649686928360|  -9.430 -4.424    |10.44    |A6             |    ~     ~          |    1|  815.661   pc  | -12.6407    +12.6407    |paral   |2020yCat.1350....0G
3514|HD 136707                                                             |Star                              |15 24 20.1771254736 -52 42 56.012697072|324.9879054506533 +03.4821720506349|  -3.319 -3.636    |7.78     |K3III          |    ~     ~          |    1|  964.972   pc  | -21.4169    +21.4169    |paral   |2020yCat.1350....0G
3515|HD 136788                                                             |Double or Multiple Star           |15 24 48.3083625864 -52 43 51.122392320|325.0387195007147 +03.4301955680625|     -2.5 -13.4    |9.40     |F0/2V          |    ~     ~          |    0|                |                         |        |                   
3516|HD 135057                                                             |Star                              |15 15 20.4040878000 -53 30 12.098873736|323.4231808607121 +03.5442177223275|   8.479 -7.307    |9.44     |G6/8III        |    ~     ~          |    1|  427.113   pc  |  -2.8823     +2.8823    |paral   |2020yCat.1350....0G
3517|HD 135214                                                             |Star                              |15 16 11.5608790848 -54 08 09.206167992|323.1978388357769 +02.9398088571659|  -4.479 -4.830    |9.86     |B9V            |    ~     ~          |    1|  902.690   pc  | -18.8230    +18.8230    |paral   |2020yCat.1350....0G
3518|HD 135239                                                             |Star                              |15 16 21.5093953248 -54 08 03.609551112|323.2193335192832 +02.9283455833291|-44.423 -19.194    |9.05     |F8/G2V         |    ~     ~          |    1|   92.514   pc  |  -0.1352     +0.1352    |paral   |2020yCat.1350....0G
3519|HD 135288                                                             |Star                              |15 16 37.6282651200 -53 54 42.506913060|323.3703776871274 +03.0966438383175|  -3.258 -2.957    |9.26     |B9V            |    ~     ~          |    1|  693.145   pc  |  -9.1285     +9.1285    |paral   |2020yCat.1350....0G
3520|HD 135314                                                             |Star                              |15 16 44.0039656584 -54 06 23.703776640|323.2807216469375 +02.9229610340176|  -2.681 -5.189    |9.34     |B4IV/V         |    ~     ~          |    1|  935.716   pc  | -24.1656    +24.1656    |paral   |2020yCat.1350....0G
3521|HD 135459                                                             |Star                              |15 17 22.3186720704 -53 43 39.017158572|323.5614247732447 +03.1949387276334|  -5.694 -8.372    |10.25    |ApEuCr(Sr)     |    ~     ~          |    1|  927.472   pc  | -92.2999    +92.2999    |paral   |2020yCat.1350....0G
3522|HD 135647                                                             |Star                              |15 18 31.4837885640 -53 41 38.959321020|323.7238565505530 +03.1324760813103|  -4.665 -3.524    |9.11     |G8/K2III       |    ~     ~          |    1| 1462.416   pc  | -44.2703    +44.2703    |paral   |2020yCat.1350....0G
3523|HD 135863                                                             |Star                              |15 19 39.1947621408 -53 32 59.659389276|323.9427451464329 +03.1647361703183| -11.570 -7.874    |9.49     |A2V            |    ~     ~          |    1|  365.925   pc  |  -3.1065     +3.1065    |paral   |2020yCat.1350....0G
3524|V* GH Lup                                                             |Classical Cepheid Variable        |15 24 38.3402056752 -52 51 13.897364040|324.9496422287879 +03.3415896337439|  -1.337 -2.202    |7.83     |G2Iab          |    ~     ~          |    1| 1189.343   pc  | -29.8468    +29.8468    |paral   |2020yCat.1350....0G
3525|CD-53 5953                                                            |Star                              |15 15 43.1360094480 -53 36 25.115695020|323.4167446849172 +03.4264857077066|  -8.876 -9.888    |9.92     |~              |    ~     ~          |    1|  640.082   pc  |  -6.1046     +6.1046    |paral   |2020yCat.1350....0G
3526|CD-53 5956                                                            |Star                              |15 15 59.7683522520 -53 40 34.858544844|323.4152543356157 +03.3458735992164| -20.310 -5.403    |9.40     |~              |    ~     ~          |    1|  491.063   pc  |  -4.0512     +4.0512    |paral   |2020yCat.1350....0G
3527|CD-51 9000                                                            |Star                              |15 21 12.8336501736 -52 13 47.866103544|324.8552714254930 +04.1487847246525|  -0.783 -5.173    |9.71     |~              |    ~     ~          |    1|  864.006   pc  | -11.6455    +11.6455    |paral   |2020yCat.1350....0G
3528|TYC 8306-26-1                                                         |Star                              |15 20 08.6089770336 -52 17 34.078276104|324.6830662894897 +04.1845225896282|  -8.977 -6.612    |10.99    |~              |    ~     ~          |    1|  893.336   pc  | -24.2607    +24.2607    |paral   |2020yCat.1350....0G
3529|TYC 8306-42-1                                                         |Star                              |15 20 37.3888072776 -52 24 10.178120844|324.6853223379956 +04.0523598936529|    6.656 0.858    |10.99    |~              |    ~     ~          |    1| 1087.784   pc  | -22.7189    +22.7189    |paral   |2020yCat.1350....0G
3530|TYC 8306-52-1                                                         |Star                              |15 17 43.7595051336 -52 27 47.651914188|324.2795571782565 +04.2378758911003| -8.191 -20.271    |10.06    |~              |    ~     ~          |    1|  617.894   pc  |  -5.7269     +5.7269    |paral   |2020yCat.1350....0G
3531|TYC 8306-152-1                                                        |Star                              |15 17 49.8599604024 -52 23 46.560724620|324.3284392469589 +04.2863413124715|  -4.515 -7.434    |10.73    |~              |    ~     ~          |    1|  728.491   pc  | -15.0719    +15.0719    |paral   |2020yCat.1350....0G
3532|TYC 8306-181-1                                                        |Star                              |15 22 05.7601074816 -52 26 23.349281172|324.8542348680360 +03.8993922838860|  -4.642 -4.592    |10.13    |~              |    ~     ~          |    1| 1077.238   pc  | -23.7891    +23.7891    |paral   |2020yCat.1350....0G
3533|TYC 8306-237-1                                                        |Star                              |15 18 33.2912543184 -52 17 23.792740944|324.4790868673505 +04.3173345256419| -29.477 -6.388    |10.66    |~              |    ~     ~          |    1|  685.354   pc  | -24.8007    +24.8007    |paral   |2020yCat.1350....0G
3534|TYC 8306-280-1                                                        |Star                              |15 21 23.193672 -52 23 44.15028        |324.787369177 +03.995344987        |       21.7 5.4    |10.482   |~              |    ~     ~          |    0|                |                         |        |                   
3535|TYC 8306-298-1                                                        |Star                              |15 19 15.7676826216 -52 19 10.052178132|324.5548914079859 +04.2344590977126|  -4.866 -3.919    |9.67     |~              |    ~     ~          |    1|  877.039   pc  | -19.3838    +19.3838    |paral   |2020yCat.1350....0G
3536|TYC 8306-316-1                                                        |Star                              |15 19 17.6154276840 -52 22 51.927584880|324.5257120520032 +04.1799267743661|-23.628 -11.683    |10.15    |~              |    ~     ~          |    1|  343.595   pc  |  -2.2785     +2.2785    |paral   |2020yCat.1350....0G
3537|TYC 8306-328-1                                                        |Star                              |15 18 16.3203103032 -52 05 39.652936008|324.5470877302925 +04.5058535564127|  -6.034 -4.335    |10.58    |~              |    ~     ~          |    1|  759.013   pc  | -23.4473    +23.4473    |paral   |2020yCat.1350....0G
3538|TYC 8306-330-1                                                        |Star                              |15 22 13.4796895296 -52 29 40.138095120|324.8408247624876 +03.8428850037319|   -4.708 1.519    |9.54     |~              |    ~     ~          |    1|  583.056   pc  |  -7.0711     +7.0711    |paral   |2020yCat.1350....0G
3539|TYC 8306-338-1                                                        |Star                              |15 17 26.5312243032 -52 05 28.777117632|324.4404672742996 +04.5762642582399|  16.427 -3.449    |10.94    |~              |    ~     ~          |    1|  366.932   pc  |  -2.1677     +2.1677    |paral   |2020yCat.1350....0G
3540|TYC 8306-365-1                                                        |Star                              |15 21 35.5711362552 -52 16 59.184233148|324.8751563867234 +04.0726661312698|  -6.921 -6.011    |10.47    |~              |    ~     ~          |    1|  753.580   pc  | -11.3009    +11.3009    |paral   |2020yCat.1350....0G
3541|TYC 8306-1013-1                                                       |Star                              |15 18 34.6788510216 -51 51 21.776048100|324.7147548843239 +04.6821342617633| -12.371 -5.327    |10.35    |~              |    ~     ~          |    1|  452.591   pc  |  -3.7281     +3.7281    |paral   |2020yCat.1350....0G
3542|TYC 8306-1509-1                                                       |Star                              |15 17 46.9729992864 -51 56 20.978521980|324.5661759436778 +04.6772723614479|  -9.479 -2.773    |10.89    |~              |    ~     ~          |    1|  558.628   pc  |  -7.8016     +7.8016    |paral   |2020yCat.1350....0G
3543|TYC 8306-1569-1                                                       |Star                              |15 19 26.8109325552 -51 54 34.784924364|324.7994835928654 +04.5650017427081|  -2.375 -1.735    |10.45    |~              |    ~     ~          |    1|  921.744   pc  | -15.0381    +15.0381    |paral   |2020yCat.1350....0G
3544|TYC 8306-1602-1                                                       |Star                              |15 15 49.4998887480 -52 06 28.835606628|324.2201063605356 +04.6933831451781|  -6.184 -6.551    |10.64    |~              |    ~     ~          |    1|  802.890   pc  |  -8.8959     +8.8959    |paral   |2020yCat.1350....0G
3545|TYC 8307-91-1                                                         |Star                              |15 23 38.2540475784 -52 27 10.861604892|325.0440120076406 +03.7597638995396|  -9.661 -6.200    |10.24    |~              |    ~     ~          |    1|  842.460   pc  | -10.0783    +10.0783    |paral   |2020yCat.1350....0G
3546|TYC 8307-373-1                                                        |Star                              |15 23 03.9210045984 -52 23 14.078520276|325.0071045463547 +03.8626302181924|  -7.907 -8.257    |10.70    |~              |    ~     ~          |    1|  344.436   pc  |  -1.7202     +1.7202    |paral   |2020yCat.1350....0G
3547|TYC 8694-148-1                                                        |Star                              |15 18 34.2879229560 -52 57 49.200063048|324.1204144513340 +03.7464563470496| 17.764 -16.695    |10.80    |~              |    ~     ~          |    1|   96.720   pc  |  -0.1225     +0.1225    |paral   |2020yCat.1350....0G
3548|TYC 8694-460-1                                                        |Star                              |15 18 30.6081747960 -52 52 30.471385764|324.1599616712762 +03.8262490463324| -14.835 -0.941    |10.71    |~              |    ~     ~          |    1|  448.833   pc  |  -2.6390     +2.6390    |paral   |2020yCat.1350....0G
3549|TYC 8694-463-1                                                        |Star                              |15 17 45.7996921848 -52 49 35.628843036|324.0902650060277 +03.9274193858197|  -1.520 -1.911    |10.70    |~              |    ~     ~          |    1| 1780.310   pc  | -48.4934    +48.4934    |paral   |2020yCat.1350....0G
3550|TYC 8694-483-1                                                        |Star                              |15 16 21.2998959936 -54 03 51.133149000|323.2558862633181 +02.9882309903629|  -12.484 4.667    |10.22    |~              |    ~     ~          |    1|  321.626   pc  |  -3.3412     +3.3412    |paral   |2020yCat.1350....0G
3551|TYC 8694-518-1                                                        |Star                              |15 17 45.7380244512 -53 40 17.628209076|323.6401975379218 +03.2117016666006|  -5.881 -5.252    |9.75     |~              |    ~     ~          |    1| 1205.546   pc  | -29.3575    +29.3575    |paral   |2020yCat.1350....0G
3552|TYC 8694-671-1                                                        |Star                              |15 15 06.5483560368 -53 54 43.546858776|323.1797223351627 +03.2138142341034|  -6.472 -4.334    |9.93     |~              |    ~     ~          |    1|  684.275   pc  |  -6.3211     +6.3211    |paral   |2020yCat.1350....0G
3553|TYC 8694-737-1                                                        |Star                              |15 19 37.2703386312 -53 17 17.553567228|324.0794959889404 +03.3880475663928|  -2.348 -0.596    |10.50    |~              |    ~     ~          |    1| 1818.843   pc  | -61.5323    +61.5323    |paral   |2020yCat.1350....0G
3554|TYC 8694-772-1                                                        |Star                              |15 19 54.8726020104 -52 52 42.105674352|324.3374945293868 +03.7099278578276|  -4.177 -4.381    |10.01    |~              |    ~     ~          |    1| 1360.174   pc  | -25.3460    +25.3460    |paral   |2020yCat.1350....0G
3555|TYC 8694-892-1                                                        |Star                              |15 19 45.8031121368 -52 42 41.749049592|324.4081118947801 +03.8627933971970|  -1.030 -5.695    |10.59    |~              |    ~     ~          |    1|  748.223   pc  | -24.6329    +24.6329    |paral   |2020yCat.1350....0G
3556|CD-52 6545                                                            |Star                              |15 17 24.9946896600 -53 16 23.618816580|323.8083262435214 +03.5765987609501|  -8.853 -5.934    |9.61     |~              |    ~     ~          |    1|  531.915   pc  |  -4.1591     +4.1591    |paral   |2020yCat.1350....0G
3557|TYC 8694-1021-1                                                       |Star                              |15 18 01.0319227104 -52 56 23.682279192|324.0623283200163 +03.8110677025286|-27.729 -24.705    |9.93     |~              |    ~     ~          |    1|  195.775   pc  |  -4.9941     +4.9941    |paral   |2020yCat.1350....0G
3558|TYC 8694-1236-1                                                       |Star                              |15 15 53.3653359936 -54 11 22.554435840|323.1317583979905 +02.9174563004656|-15.623 -15.224    |10.62    |~              |    ~     ~          |    1|  449.216   pc  |  -2.9664     +2.9664    |paral   |2020yCat.1350....0G
3559|TYC 8694-1413-1                                                       |Star                              |15 16 17.1707907120 -54 00 32.150091096|323.2764333939221 +03.0405395045842|  -1.244 -6.075    |10.45    |~              |    ~     ~          |    1|  546.956   pc  |  -4.6370     +4.6370    |paral   |2020yCat.1350....0G
3560|TYC 8694-1423-1                                                       |Star                              |15 19 57.1392330576 -52 30 32.937362388|324.5415550110109 +04.0179860147950|  -3.566 -4.328    |10.83    |~              |    ~     ~          |    1|  846.883   pc  | -18.7909    +18.7909    |paral   |2020yCat.1350....0G
3561|TYC 8694-1477-1                                                       |Star                              |15 15 22.3515282288 -52 53 09.472218864|323.7515764037859 +04.0675092977232|  -9.970 -5.657    |10.66    |~              |    ~     ~          |    1|  717.772   pc  | -13.3436    +13.3436    |paral   |2020yCat.1350....0G
3562|TYC 8694-1635-1                                                       |Star                              |15 16 04.5665198664 -53 59 06.456098724|323.2626877569213 +03.0770259814574|  -7.263 -5.865    |10.75    |~              |    ~     ~          |    1|  786.164   pc  |  -9.1472     +9.1472    |paral   |2020yCat.1350....0G
3563|TYC 8694-1670-1                                                       |Star                              |15 18 01.9880650200 -53 22 41.602332828|323.8305811509626 +03.4387365702632|-18.478 -10.959    |10.47    |~              |    ~     ~          |    1|  945.269   pc  | -17.6920    +17.6920    |paral   |2020yCat.1350....0G
3564|TYC 8694-1687-1                                                       |Star                              |15 15 24.9284510040 -52 40 06.162507336|323.8715171625401 +04.2493766660223|  -6.027 -1.457    |10.55    |~              |    ~     ~          |    1|  836.330   pc  |  -9.7223     +9.7223    |paral   |2020yCat.1350....0G
3565|TYC 8694-1828-1                                                       |Star                              |15 15 35.2595050224 -53 24 42.328305792|323.5027408601198 +03.6029048619234|  -1.537 -1.054    |10.60    |~              |    ~     ~          |    1| 1203.514   pc  | -26.6514    +26.6514    |paral   |2020yCat.1350....0G
3566|TYC 8694-1907-1                                                       |Star                              |15 19 31.8667115328 -53 17 57.928474392|324.0620905175903 +03.3858127601811|  -1.476 -2.544    |10.37    |~              |    ~     ~          |    1| 1737.016   pc  | -41.6377    +41.6377    |paral   |2020yCat.1350....0G
3567|TYC 8694-2033-1                                                       |High Proper Motion Star           |15 15 03.7319369424 -53 46 52.221572796|323.2423787524416 +03.3290353310043|-73.938 -66.627    |10.54    |~              |    ~     ~          |    1|  105.969   pc  |  -0.1864     +0.1864    |paral   |2020yCat.1350....0G
3568|TYC 8694-2154-1                                                       |Star                              |15 16 50.1369336720 -53 05 28.721689224|323.8308617253235 +03.7770065766230|  12.071 -2.767    |10.86    |~              |    ~     ~          |    1|  896.218   pc  | -12.3694    +12.3694    |paral   |2020yCat.1350....0G
3569|TYC 8694-2247-1                                                       |Star                              |15 19 11.0897164800 -53 14 14.943691968|324.0515924555015 +03.4658592092027|   5.501 -5.883    |9.70     |~              |    ~     ~          |    1|  490.268   pc  |  -3.4372     +3.4372    |paral   |2020yCat.1350....0G
3570|TYC 8694-2282-1                                                       |Star                              |15 18 34.7092273152 -53 26 13.445968524|323.8680463086446 +03.3456266498491|  -6.106 -6.623    |10.38    |~              |    ~     ~          |    1|  988.826   pc  | -23.3689    +23.3689    |paral   |2020yCat.1350....0G
3571|TYC 8694-2342-1                                                       |Star                              |15 16 41.6505935496 -53 17 21.631568100|323.7079827394595 +03.6200717806730|-21.347 -16.100    |10.66    |~              |    ~     ~          |    1|  497.092   pc  |  -4.2995     +4.2995    |paral   |2020yCat.1350....0G
3572|TYC 8694-2412-1                                                       |Star                              |15 19 16.0531618320 -53 26 54.582059292|323.9487623424760 +03.2810876274531|-24.145 -29.047    |10.84    |~              |    ~     ~          |    1|  289.293   pc  |  -1.7910     +1.7910    |paral   |2020yCat.1350....0G
3573|TYC 8695-154-1                                                        |Star                              |15 20 49.6586179200 -52 31 35.678954676|324.6444837260503 +03.9314278018153|  -6.265 -1.086    |10.53    |~              |    ~     ~          |    1|  862.738   pc  | -11.3136    +11.3136    |paral   |2020yCat.1350....0G
3574|TYC 8695-175-1                                                        |Star                              |15 24 40.1491563696 -52 31 32.680204032|325.1351288628528 +03.6125180860510|  -1.545 -5.624    |10.12    |~              |    ~     ~          |    1|  695.749   pc  |  -7.2610     +7.2610    |paral   |2020yCat.1350....0G
3575|TYC 8695-241-1                                                        |Star                              |15 22 38.0077962336 -52 31 57.482182524|324.8721672243000 +03.7769615657874|  -2.830 -3.081    |10.67    |~              |    ~     ~          |    1| 1688.619   pc  | -44.4824    +44.4824    |paral   |2020yCat.1350....0G
3576|TYC 8695-614-1                                                        |Star                              |15 21 10.7909279904 -53 12 29.389277268|324.3194073664918 +03.3296513691593|  -0.192 -3.086    |10.71    |~              |    ~     ~          |    1|  823.249   pc  | -12.1315    +12.1315    |paral   |2020yCat.1350....0G
3577|TYC 8695-926-1                                                        |Star                              |15 22 43.6972071432 -53 06 38.763761580|324.5675459626780 +03.2850242653837|  -1.299 -2.662    |10.57    |~              |    ~     ~          |    1| 1322.227   pc  | -39.3364    +39.3364    |paral   |2020yCat.1350....0G
3578|TYC 8695-1126-1                                                       |Star                              |15 21 15.5492519136 -53 24 28.675242396|324.2209157666249 +03.1553198248525|-13.061 -10.031    |10.44    |~              |    ~     ~          |    1|  668.762   pc  |  -6.3508     +6.3508    |paral   |2020yCat.1350....0G
3579|TYC 8695-1222-1                                                       |Star                              |15 22 15.1088757096 -53 18 25.126159932|324.4003992855487 +03.1595704483953|  -4.747 -2.804    |10.84    |~              |    ~     ~          |    1|  515.916   pc  |  -4.6313     +4.6313    |paral   |2020yCat.1350....0G
3580|IRAS 15172-5317                                                       |Star                              |15 20 57.0503095416 -53 28 04.552323564|324.1497337409754 +03.1297763119267|  -5.519 -3.152    |9.81     |~              |    ~     ~          |    1| 1208.021   pc  | -30.9375    +30.9375    |paral   |2020yCat.1350....0G
3581|IRAS 15198-5251                                                       |Star                              |15 23 30.4194125040 -53 01 35.467003884|324.7117957173514 +03.2914211980056|  -0.755 -2.104    |9.46     |~              |    ~     ~          |    1| 1506.932   pc  | -59.0419    +59.0419    |paral   |2020yCat.1350....0G
3582|TYC 8695-2644-1                                                       |Star                              |15 20 19.2472833768 -53 05 26.048578380|324.2745472448450 +03.4982127568404|-15.530 -17.511    |10.39    |~              |    ~     ~          |    1|  500.175   pc  |  -4.2780     +4.2780    |paral   |2020yCat.1350....0G
3583|TYC 8695-2679-1                                                       |Star                              |15 21 58.3503250632 -53 09 12.009229128|324.4491189708805 +03.3111865331933|-10.385 -11.573    |10.65    |~              |    ~     ~          |    1|  294.403   pc  |  -2.2275     +2.2275    |paral   |2020yCat.1350....0G
3584|TYC 8695-2712-1                                                       |Star                              |15 21 22.4283947856 -52 43 32.733457680|324.6061043764307 +03.7191158717233|  -0.371 -6.975    |10.58    |~              |    ~     ~          |    1|  820.345   pc  | -14.1323    +14.1323    |paral   |2020yCat.1350....0G
3585|TYC 8695-2734-1                                                       |Pulsating Variable                |15 20 10.2824786640 -53 29 57.404619312|324.0350328423382 +03.1659942648656|  -3.005 -1.680    |10.42    |~              |    ~     ~          |    1|  897.022   pc  | -15.1274    +15.1274    |paral   |2020yCat.1350....0G
3586|TYC 8695-2768-1                                                       |Pulsating Variable                |15 21 55.9531496496 -52 45 06.329309292|324.6630770804366 +03.6513214462854|  -3.744 -3.800    |10.77    |~              |    ~     ~          |    1| 1130.838   pc  | -26.3432    +26.3432    |paral   |2020yCat.1350....0G
3587|TYC 8695-2823-1                                                       |Star                              |15 23 03.5700025848 -53 00 10.820827800|324.6683354259020 +03.3479911277523|    -2.50 -4.80    |10.93    |~              |    ~     ~          |    0|                |                         |        |                   
3588|TYC 8695-2827-1                                                       |Star                              |15 20 23.7500845848 -52 44 19.890671280|324.4742415123362 +03.7882327366126|  -0.513 -2.730    |10.23    |~              |    ~     ~          |    1|  897.263   pc  | -14.4110    +14.4110    |paral   |2020yCat.1350....0G
3589|TYC 8695-2954-1                                                       |High Proper Motion Star           |15 23 00.0372793104 -52 43 16.150350144|324.8155366058644 +03.5886801074564| 49.925 -24.734    |10.03    |~              |    ~     ~          |    1|  176.582   pc  |  -0.5956     +0.5956    |paral   |2020yCat.1350....0G
3590|TYC 8695-3001-1                                                       |Star                              |15 21 41.5348943832 -52 45 14.454818640|324.6312752847263 +03.6692101025026|  -2.726 -2.178    |10.64    |~              |    ~     ~          |    1| 1815.211   pc  |-116.9722   +116.9722    |paral   |2020yCat.1350....0G
3591|TYC 8695-3045-1                                                       |Star                              |15 23 43.8463811712 -52 40 38.948265336|324.9322001545230 +03.5644798602809|   -1.143 3.798    |10.00    |~              |    ~     ~          |    1|  973.805   pc  | -16.2159    +16.2159    |paral   |2020yCat.1350....0G
3592|IRAS 15174-5251                                                       |Star                              |15 21 05.1901923864 -53 02 39.053203692|324.3966204157205 +03.4750659800059|  -3.187 -4.369    |9.96     |~              |    ~     ~          |    1| 1752.541   pc  | -61.4280    +61.4280    |paral   |2020yCat.1350....0G
3593|TYC 8695-3097-1                                                       |Star                              |15 22 03.6163977504 -52 58 17.598873288|324.5593541028476 +03.4564746309109| -6.230 -18.628    |10.11    |~              |    ~     ~          |    1| 1071.123   pc  | -25.1259    +25.1259    |paral   |2020yCat.1350....0G
3594|TYC 8695-3108-1                                                       |Star                              |15 22 20.2998751872 -53 10 03.549670752|324.4873602180725 +03.2693024331413| 23.508 -25.467    |9.78     |~              |    ~     ~          |    1|  143.532   pc  |  -0.3935     +0.3935    |paral   |2020yCat.1350....0G
3595|TYC 8695-3142-1                                                       |Star                              |15 20 18.1983214992 -52 49 33.468762324|324.4153342363177 +03.7224462271441|  -0.839 -2.118    |10.12    |~              |    ~     ~          |    1| 1685.772   pc  | -42.3432    +42.3432    |paral   |2020yCat.1350....0G
3596|TYC 8695-3155-1                                                       |Star                              |15 21 18.9138771936 -52 52 32.562003900|324.5171207704306 +03.5979620038224| 13.477 -10.723    |10.90    |~              |    ~     ~          |    1|  359.054   pc  |  -2.1272     +2.1272    |paral   |2020yCat.1350....0G
3597|TYC 8695-3176-1                                                       |Star                              |15 22 39.1221183168 -52 46 47.847619272|324.7390606882267 +03.5683175449840|  -8.069 -1.710    |10.44    |~              |    ~     ~          |    1|  490.990   pc  |  -6.3402     +6.3402    |paral   |2020yCat.1350....0G
3598|TYC 8695-3241-1                                                       |Star                              |15 20 49.5361 -52 42 00.460            |324.5500955 +03.7856506            |   0.627 -6.294    |10.99    |~              |    ~     ~          |    0|                |                         |        |                   
3599|TYC 8695-3329-1                                                       |Star                              |15 21 30.8635702392 -52 37 01.268805108|324.6832107508899 +03.7988579868075| -14.803 -9.475    |10.96    |~              |    ~     ~          |    1|  459.580   pc  |  -7.0334     +7.0334    |paral   |2020yCat.1350....0G
3600|TYC 8695-3434-1                                                       |Star                              |15 20 20.5336207704 -53 00 07.978205916|324.3250140947499 +03.5708721755956|  -5.611 -3.039    |10.64    |~              |    ~     ~          |    1|  781.555   pc  | -12.3998    +12.3998    |paral   |2020yCat.1350....0G
3601|TYC 8695-3534-1                                                       |Star                              |15 21 56.4445599648 -52 37 18.821638668|324.7349743134357 +03.7595729202074|  -6.808 -3.436    |10.47    |~              |    ~     ~          |    1| 1014.713   pc  | -15.3417    +15.3417    |paral   |2020yCat.1350....0G
3602|TYC 8695-3565-1                                                       |Star                              |15 25 45.3989916840 -52 34 17.713520472|325.2475181159612 +03.4827092618945|   0.862 -7.702    |10.38    |~              |    ~     ~          |    1|  577.001   pc  |  -6.4921     +6.4921    |paral   |2020yCat.1350....0G
3603|CD-52 6550                                                            |Young Stellar Object              |15 18 01.7463658656 -53 17 28.866197580|323.8763903469553 +03.5126025883664|-29.926 -32.588    |10.138   |G9IV           |    ~     ~          |    1|  104.967   pc  |  -0.1818     +0.1818    |paral   |2020yCat.1350....0G
3604|HD 136557                                                             |Star                              |15 23 34.7315109048 -53 09 33.358710456|324.6478158462722 +03.1745539126213|  -1.872 -1.083    |8.96     |B4V            |    ~     ~          |    1| 1005.632   pc  | -43.0812    +43.0812    |paral   |2020yCat.1350....0G
3605|CD-52 6624                                                            |Star                              |15 25 10.6648725243 -52 56 21.728117970|324.9700397784187 +03.2254062324357|  -3.508 -9.483    |10.63    |A6             |    ~     ~          |    0|                |                         |        |                   
3606|CD-52 6628                                                            |Star                              |15 25 21.2706830232 -53 00 43.901414388|324.9517857976431 +03.1500437127681|  -3.333 -5.153    |10.71    |F0             |    ~     ~          |    1|  602.627   pc  |  -5.9558     +5.9558    |paral   |2020yCat.1350....0G
3607|HD 136898                                                             |Double or Multiple Star           |15 25 25.2263057545 -53 09 15.268093156|324.8811297990691 +03.0263611399689|      -1.5 -6.7    |9.98     |A5V            |    ~     ~          |    0|                |                         |        |                   
3608|HD 136947                                                             |Star                              |15 25 44.8471749792 -53 03 28.631724300|324.9755470694428 +03.0791893466518|   31.715 4.374    |6.71     |F0IV/V         |    ~     ~          |    1|   59.913   pc  |  -0.0887     +0.0887    |paral   |2020yCat.1350....0G
3609|HD 136993                                                             |Star                              |15 25 55.6606662672 -53 24 41.224546188|324.8012015066996 +02.7703675066134|  -7.279 -8.711    |10.25    |A6III/IV       |    ~     ~          |    1|  793.336   pc  | -12.9023    +12.9023    |paral   |2020yCat.1350....0G
3610|HD 137019                                                             |Star                              |15 26 04.0037478240 -53 24 08.557311096|324.8234956604852 +02.7663776735018|-11.486 -13.012    |8.61     |A2V            |    ~     ~          |    1|  359.467   pc  |  -6.2541     +6.2541    |paral   |2020yCat.1350....0G
3611|HD 137064                                                             |Star                              |15 26 17.5470312960 -53 17 19.924459440|324.9148033397436 +02.8418897490976|  -2.809 -2.803    |9.55     |A0V            |    ~     ~          |    1|  659.196   pc  |  -8.0390     +8.0390    |paral   |2020yCat.1350....0G
