C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
33  |HD 104606                                                             |Spectroscopic Binary              |12 02 50.7449338800 -01 26 03.626003976|278.7232798561547 +59.1342993097500| -63.716 -6.622   |9.34     |F3/5V           |    ~     ~    |    1|  141.343   pc  |  -0.6293     +0.6293    |paral   |2020yCat.1350....0G
34  |HD 104676                                                             |Spectroscopic Binary              |12 03 15.4449544752 -01 37 46.389038736|279.0475109239614 +58.9897086542415| -0.974 -32.515   |8.52     |G8IV            |    ~     ~    |    1|  426.785   pc  | -17.6317    +17.6317    |paral   |2020yCat.1350....0G
35  |HD 104727                                                             |Star                              |12 03 37.5486905688 -00 51 46.697044068|278.6696167148450 +59.7374026650321|  -18.067 1.160   |9.62     |F5V             |    ~     ~    |    1|  259.558   pc  |  -1.4552     +1.4552    |paral   |2020yCat.1350....0G
36  |HD 104865                                                             |High Proper Motion Star           |12 04 35.0174093784 -01 18 31.185308916|279.4277433567211 +59.4079397872502| 81.075 -75.733   |9.41     |G5V             |    ~     ~    |    1|   86.522   pc  |  -0.1617     +0.1617    |paral   |2020yCat.1350....0G
37  |HD 104909                                                             |Star                              |12 04 46.4367459408 -01 09 36.945212688|279.4115266018797 +59.5635599223633|  -35.118 0.441   |8.62     |F3IV/V          |    ~     ~    |    1|  241.856   pc  |  -1.4214     +1.4214    |paral   |2020yCat.1350....0G
38  |HD 104988                                                             |High Proper Motion Star           |12 05 12.5286696282 -01 30 32.540210901|279.8528807120922 +59.2753907270964|-513.614 57.130   |8.17     |G8/K0V          |    ~     ~    |    1|   32.6109  pc  |  -0.0310     +0.0310    |paral   |2020yCat.1350....0G
39  |HD 105022                                                             |High Proper Motion Star           |12 05 27.9799825512 -00 58 18.583592844|279.6000830686053 +59.8010465074297|-139.349 -10.803  |9.34     |G8V             |    ~     ~    |    1|   84.042   pc  |  -1.8788     +1.8788    |paral   |2020yCat.1350....0G
40  |BD-00 2536                                                            |Star                              |12 06 50.8019270472 -00 56 11.443341264|280.2201316038256 +59.9542677599456| 25.783 -37.700   |10.13    |G0              |    ~     ~    |    1|  201.296   pc  |  -0.8307     +0.8307    |paral   |2020yCat.1350....0G
41  |HD 105202                                                             |Star                              |12 06 51.7108213080 -00 49 00.153514920|280.1447441571175 +60.0680534318101| 18.846 -15.686   |9.92     |A3+F0/2(II/III) |    ~     ~    |    1|  484.402   pc  | -14.1491    +14.1491    |paral   |2020yCat.1350....0G
42  |HD 105653                                                             |High Proper Motion Star           |12 09 48.8054338848 -01 00 22.131547884|281.6669034501116 +60.1357719595512|  0.211 -62.214   |8.70     |K2III           |    ~     ~    |    1|  359.299   pc  | -12.1092    +12.1092    |paral   |2020yCat.1350....0G
43  |HD 104607                                                             |High Proper Motion Star           |12 02 47.1865930008 -02 01 14.330719056|279.1074227747283 +58.5824733383036|  -50.067 7.335   |10.47    |B9III/IV        |    ~     ~    |    1|  765.052   pc  | -48.1706    +48.1706    |paral   |2020yCat.1350....0G
44  |BD-01 2620                                                            |Horizontal Branch Star            |12 06 04.9980865488 -02 09 46.431371484|280.6870924508904 +58.7361740157245|  3.879 -11.835   |10.03    |K0              |    ~     ~    |    1|  749.569   pc  | -10.9561    +10.9561    |paral   |2020yCat.1350....0G
45  |HD 105427                                                             |Star                              |12 08 19.0678896816 -02 05 25.414341000|281.6598536578109 +58.9889176851525|  -40.086 3.978   |8.80     |F2III           |    ~     ~    |    1|  264.950   pc  |  -1.8111     +1.8111    |paral   |2020yCat.1350....0G
46  |BD-01 2623                                                            |Star                              |12 09 40.0059278880 -01 59 19.796267472|282.2185970195448 +59.1926978975291|    8.720 8.774   |10.385   |K0              |    ~     ~    |    1|  368.742   pc  | -10.6800    +10.6800    |ST-L    |2020AJ....160...83S
47  |HD 105757                                                             |Star                              |12 10 28.3540828104 -02 14 29.613463980|282.7443423164764 +59.0151593110234| -0.433 -27.247   |9.17     |F3V             |    ~     ~    |    1|  191.026   pc  |  -4.2366     +4.2366    |paral   |2020yCat.1350....0G
48  |BD-01 2628B                                                           |Star                              |12 10 26.7816908232 -02 14 26.246720292|282.7316834145861 +59.0140364084691| -0.755 -27.263   |9.51     |F2              |    ~     ~    |    1|  183.797   pc  |  -8.2190     +8.2190    |paral   |2020yCat.1350....0G
49  |HD 105847                                                             |Star                              |12 11 03.0284463720 -02 05 57.935557824|282.9273176862607 +59.1946539758158|   5.429 -6.622   |10.58    |A0/1V           |    ~     ~    |    1|  683.527   pc  | -21.5851    +21.5851    |paral   |2020yCat.1350....0G
50  |HD 105883                                                             |High Proper Motion Star           |12 11 14.8335136608 -02 00 49.680123228|282.9679172957915 +59.2911792853454|-148.011 26.943   |8.26     |F5V             |    ~     ~    |    1|   86.882   pc  |  -0.2393     +0.2393    |paral   |2020yCat.1350....0G
51  |BD-01 2611                                                            |Star                              |12 02 36.0908244744 -02 36 56.187335808|279.4300652267930 +58.0103158363423|-32.402 -11.962   |10.135   |G5              |    ~     ~    |    1|  658.914   pc  | -31.4600    +31.4600    |ST-L    |2020AJ....160...83S
52  |HD 104711                                                             |Double or Multiple Star           |12 03 31.76939 -02 26 48.9360          |279.72792905 +58.24997413          |    -36.62 5.62   |9.090    |F2V             |    ~     ~    |    0|                |                         |        |                   
53  |BD-01 2614                                                            |Star                              |12 04 47.0344200408 -02 18 45.341699400|280.1990778436585 +58.4848441039779|-13.113 -12.089   |9.99     |F5              |    ~     ~    |    1|  254.251   pc  |  -4.4230     +4.4230    |ST-L    |2020AJ....160...83S
54  |HD 105076                                                             |Star                              |12 05 54.6500986416 -02 27 47.747607732|280.8030938071032 +58.4388185905233|-42.514 -12.578   |8.24     |F0V             |    ~     ~    |    1|  193.968   pc  |  -2.4831     +2.4831    |paral   |2020yCat.1350....0G
55  |BD-01 2621                                                            |Star                              |12 07 23.7460848096 -02 39 14.498489124|281.5915740004044 +58.3810798697134| -40.699 -9.357   |10.31    |F8              |    ~     ~    |    1|  278.156   pc  |  -1.7873     +1.7873    |paral   |2020yCat.1350....0G
56  |HD 105640                                                             |Star                              |12 09 46.5040450608 -02 22 33.623966964|282.5038455458650 +58.8334356040164|-23.863 -16.586   |9.804    |F3V             |    ~     ~    |    1|  192.460   pc  |  -2.6410     +2.6410    |ST-L    |2020AJ....160...83S
57  |BD-01 2626                                                            |Star                              |12 09 49.4972385336 -02 25 55.799112288|282.5603859787175 +58.7839205204623| -40.968 10.199   |10.073   |K5              |    ~     ~    |    1|  424.287   pc  | -12.5900    +12.5900    |ST-L    |2020AJ....160...83S
58  |HD 105758                                                             |Star                              |12 10 26.1731246880 -02 21 19.164084084|282.7953170309465 +58.9041015561023| -12.643 -5.257   |9.48     |F0/2V           |    ~     ~    |    1|  239.825   pc  |  -1.4782     +1.4782    |paral   |2020yCat.1350....0G
59  |TYC 4939-564-1                                                        |Star                              |12 05 28.5365863392 -02 19 47.463991932|280.5211870713220 +58.5277016914359| -22.551 -4.539   |10.02    |K0              |    ~     ~    |    1|  494.286   pc  | -19.3200    +19.3200    |ST-L    |2020AJ....160...83S
60  |NGC 4079                           NGC 4079                           |Galaxy towards a Group of Galaxies|12 04 49.8536459520 -02 22 56.621663400|280.2660033871807 +58.4233315061780|            ~ ~   |     ~   |~               |1.100 0.792    |    1|   93.76    Mpc |                         |        |2016AJ....152...50T
61  |BD+00 2885                                                            |High Proper Motion Star           |12 03 57.5734763088 -00 35 01.886477640|278.6207078768778 +60.0276834551445| -74.678 -7.016   |10.6     |~               |    ~     ~    |    1|  237.580   pc  |  -1.3716     +1.3716    |paral   |2020yCat.1350....0G
62  |BD-01 2617                                                            |High Proper Motion Star           |12 05 47.5709066952 -02 06 33.697140336|280.5205550190265 +58.7620020583333|-111.176 31.938   |10.15    |~               |    ~     ~    |    1|  124.875   pc  |  -0.5614     +0.5614    |paral   |2020yCat.1350....0G
63  |TYC 4939-528-1                                                        |Star                              |12 07 06.0853739256 -01 02 16.380864996|280.4087143085916 +59.8808167256722|   -9.607 9.519   |10.90    |~               |    ~     ~    |    1|  943.396   pc  | -16.9989    +16.9989    |paral   |2020yCat.1350....0G
64  |BD-00 2528                                                            |Red Giant Branch star             |12 04 11.9257274376 -01 32 16.310356656|279.4110847154658 +59.1595196817262|  -1.966 -3.786   |10.94    |~               |    ~     ~    |    1|  585.861   pc  | -24.5300    +24.5300    |ST-L    |2020AJ....160...83S
